* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 7:13:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Singularity R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.435 177.0421
20.600000 88.418 176.5737
20.900000 88.394 176.0559
21.200001 88.368 175.5430
21.400000 88.352 175.2049
21.799999 88.321 174.5358
22.000000 88.306 174.2045
22.400000 88.278 173.5505
22.700001 88.257 173.0685
23.000000 88.235 172.5941
23.299999 88.212 172.1265
23.600000 88.187 171.6649
24.000000 88.152 171.0589
24.299999 88.125 170.6131
24.700001 88.090 170.0336
25.000000 88.065 169.6112
25.400000 88.033 169.0625
25.799999 88.004 168.5250
26.200001 87.975 167.9933
26.500000 87.951 167.5973
26.900000 87.917 167.0761
27.200001 87.890 166.6934
27.600000 87.851 166.1970
28.000000 87.813 165.7151
28.500000 87.768 165.1238
29.000000 87.726 164.5359
29.500000 87.683 163.9555
30.000000 87.639 163.3959
30.400000 87.602 162.9675
30.700001 87.574 162.6545
31.100000 87.537 162.2418
31.500000 87.500 161.8280
32.000000 87.453 161.3082
32.500000 87.405 160.7951
33.000000 87.358 160.2992
33.500000 87.311 159.8217
34.000000 87.266 159.3572
34.500000 87.220 158.9009
35.000000 87.173 158.4529
35.500000 87.125 158.0149
36.000000 87.077 157.5876
36.500000 87.029 157.1703
37.000000 86.981 156.7623
37.500000 86.932 156.3629
38.200001 86.865 155.8146
38.700001 86.817 155.4280
39.500000 86.740 154.8206
40.000000 86.691 154.4544
40.599998 86.634 154.0322
41.200001 86.577 153.6230
41.799999 86.521 153.2177
42.500000 86.454 152.7469
43.099998 86.396 152.3496
43.700001 86.338 151.9617
44.400002 86.271 151.5225
45.000000 86.214 151.1584
45.500000 86.167 150.8627
46.200001 86.102 150.4574
46.799999 86.045 150.1169
47.500000 85.980 149.7287
48.200001 85.914 149.3500
48.700001 85.868 149.0855
49.400002 85.803 148.7260
50.000000 85.748 148.4281
50.799999 85.674 148.0412
51.500000 85.610 147.7099
52.200001 85.546 147.3865
53.000000 85.473 147.0273
53.799999 85.401 146.6765
54.500000 85.337 146.3743
55.200001 85.275 146.0781
56.000000 85.205 145.7515
57.000000 85.118 145.3618
58.000000 85.029 144.9922
59.000000 84.941 144.6318
60.000000 84.855 144.2697
60.799999 84.787 143.9874
61.500000 84.728 143.7467
62.200001 84.669 143.5089
63.000000 84.601 143.2437
64.000000 84.516 142.9277
65.000000 84.432 142.6248
66.000000 84.348 142.3318
67.000000 84.265 142.0473
68.000000 84.183 141.7767
69.000000 84.102 141.5181
70.000000 84.023 141.2588
71.000000 83.947 140.9951
72.000000 83.870 140.7428
73.000000 83.789 140.5353
74.000000 83.707 140.3385
75.000000 83.627 140.1073
76.199997 83.536 139.8301
77.500000 83.442 139.5716
78.800003 83.344 139.3747
80.000000 83.250 139.1620
81.199997 83.153 138.9000
82.500000 83.056 138.6611
83.800003 82.971 138.4938
85.000000 82.887 138.3340
86.199997 82.800 138.1620
87.500000 82.705 137.9893
88.500000 82.624 137.8008
90.000000 82.487 137.4113
91.199997 82.407 137.3351
92.500000 82.348 137.3510
93.800003 82.268 137.2863
95.000000 82.188 137.1793
96.199997 82.112 137.1043
97.500000 82.029 137.0591
98.800003 81.949 136.9825
100.000000 81.877 136.8749
101.500000 81.787 136.7505
103.000000 81.700 136.6148
104.400002 81.620 136.5047
106.000000 81.528 136.4025
107.500000 81.441 136.2869
109.000000 81.352 136.1644
110.599998 81.256 136.0524
112.000000 81.173 135.9681
113.800003 81.067 135.8920
115.000000 80.997 135.8439
117.199997 80.869 135.7288
118.000000 80.822 135.6916
120.599998 80.672 135.6191
122.000000 80.589 135.6011
124.099998 80.469 135.6024
125.000000 80.418 135.6068
126.500000 80.333 135.6167
128.000000 80.249 135.6159
131.500000 80.039 135.7148
132.000000 80.011 135.7469
134.000000 79.898 135.9027
136.000000 79.792 136.2519
138.000000 79.738 136.4309
140.000000 79.699 136.3725
143.000000 79.626 136.5813
145.000000 79.574 136.6561
147.500000 79.487 136.5866
150.000000 79.384 136.4331
152.500000 79.279 136.3652
155.000000 79.167 136.3276
157.500000 79.061 136.3268
160.000000 78.961 136.3684
162.500000 78.851 136.4198
165.000000 78.744 136.4602
167.500000 78.640 136.5374
170.000000 78.540 136.6267
172.500000 78.442 136.7226
175.000000 78.346 136.8161
177.500000 78.252 136.8992
180.000000 78.162 136.9847
182.500000 78.073 137.0844
185.000000 77.984 137.1982
187.500000 77.894 137.3165
190.000000 77.807 137.4313
192.500000 77.722 137.5524
195.000000 77.639 137.6855
197.500000 77.556 137.8255
200.000000 77.474 137.9773
203.000000 77.379 138.1708
206.000000 77.282 138.3475
209.000000 77.186 138.5094
212.000000 77.091 138.6505
214.000000 77.031 138.7775
218.000000 76.917 139.1008
220.000000 76.860 139.2481
224.000000 76.746 139.4745
227.000000 76.661 139.6783
230.000000 76.578 139.9088
233.000000 76.496 140.1315
236.000000 76.414 140.3523
240.000000 76.306 140.6373
243.000000 76.227 140.8512
247.000000 76.124 141.1964
250.000000 76.048 141.4557
254.000000 75.951 141.7723
258.000000 75.855 142.1176
262.000000 75.763 142.5061
265.000000 75.694 142.7727
269.000000 75.611 143.1142
272.000000 75.560 143.3575
276.000000 75.490 143.6631
280.000000 75.406 143.9876
285.000000 75.298 144.3784
290.000000 75.196 144.7671
295.000000 75.099 145.2222
300.000000 75.005 145.6613
304.000000 74.932 146.0033
307.000000 74.879 146.2666
311.000000 74.807 146.6225
315.000000 74.739 146.9770
320.000000 74.658 147.4021
325.000000 74.577 147.8029
330.000000 74.497 148.2321
335.000000 74.416 148.6709
340.000000 74.338 149.1087
345.000000 74.264 149.5530
350.000000 74.193 149.9987
355.000000 74.123 150.4458
360.000000 74.056 150.8932
365.000000 73.991 151.3401
370.000000 73.929 151.7831
375.000000 73.869 152.2211
382.000000 73.789 152.8218
387.000000 73.733 153.2410
395.000000 73.647 153.9021
400.000000 73.594 154.3105
406.000000 73.530 154.7985
412.000000 73.468 155.2672
418.000000 73.406 155.7344
425.000000 73.335 156.2926
431.000000 73.275 156.7659
437.000000 73.216 157.2444
444.000000 73.148 157.8054
450.000000 73.091 158.2871
455.000000 73.044 158.6929
462.000000 72.981 159.2615
468.000000 72.927 159.7496
475.000000 72.867 160.3188
482.000000 72.808 160.8904
487.000000 72.767 161.3026
494.000000 72.711 161.8799
500.000000 72.663 162.3763
508.000000 72.603 163.0420
515.000000 72.552 163.6287
522.000000 72.502 164.2206
530.000000 72.446 164.8999
538.000000 72.394 165.5831
545.000000 72.350 166.1815
552.000000 72.307 166.7774
560.000000 72.261 167.4605
570.000000 72.206 168.3238
580.000000 72.154 169.1901
590.000000 72.106 170.0586
600.000000 72.061 170.9316
608.000000 72.027 171.6308
615.000000 71.999 172.2443
622.000000 71.973 172.8581
630.000000 71.945 173.5607
640.000000 71.913 174.4435
650.000000 71.884 175.3306
660.000000 71.859 176.2182
670.000000 71.837 177.1070
680.000000 71.818 177.9977
690.000000 71.803 178.8932
700.000000 71.791 179.7908
710.000000 71.783 -179.3113
720.000000 71.778 -178.4134
730.000000 71.778 -177.5172
740.000000 71.781 -176.6217
750.000000 71.788 -175.7253
762.000000 71.802 -174.6514
775.000000 71.823 -173.4923
788.000000 71.851 -172.3399
800.000000 71.884 -171.2840
812.000000 71.922 -170.2383
825.000000 71.971 -169.1208
838.000000 72.027 -168.0208
850.000000 72.085 -167.0208
862.000000 72.150 -166.0434
875.000000 72.226 -165.0164
885.000000 72.289 -164.2492
900.000000 72.391 -163.1365
912.000000 72.479 -162.2817
925.000000 72.579 -161.3960
938.000000 72.683 -160.5573
950.000000 72.784 -159.8270
962.000000 72.888 -159.1391
975.000000 73.003 -158.4421
988.000000 73.121 -157.7940
1000.000000 73.231 -157.2418
1015.000000 73.369 -156.6147
1030.000000 73.507 -156.0517
1044.000000 73.635 -155.5817
1060.000000 73.779 -155.1081
1075.000000 73.912 -154.7198
1090.000000 74.042 -154.3807
1106.000000 74.176 -154.0671
1120.000000 74.289 -153.8276
1138.000000 74.430 -153.5646
1150.000000 74.521 -153.4139
1172.000000 74.681 -153.1784
1180.000000 74.737 -153.1030
1206.000000 74.911 -152.8869
1220.000000 74.999 -152.7854
1241.000000 75.126 -152.6486
1250.000000 75.179 -152.5936
1265.000000 75.265 -152.5052
1280.000000 75.348 -152.4210
1315.000000 75.533 -152.2300
1320.000000 75.558 -152.2027
1340.000000 75.658 -152.0924
1360.000000 75.756 -151.9814
1380.000000 75.852 -151.8679
1400.000000 75.946 -151.7517
1430.000000 76.086 -151.5743
1450.000000 76.179 -151.4547
1475.000000 76.294 -151.3041
1500.000000 76.410 -151.1541
1525.000000 76.526 -151.0071
1550.000000 76.643 -150.8665
1575.000000 76.761 -150.7332
1600.000000 76.880 -150.6089
1625.000000 77.000 -150.4966
1650.000000 77.122 -150.3987
1675.000000 77.246 -150.3170
1700.000000 77.371 -150.2523
1725.000000 77.497 -150.2063
1750.000000 77.625 -150.1812
1775.000000 77.754 -150.1801
1800.000000 77.884 -150.2036
1825.000000 78.015 -150.2511
1850.000000 78.146 -150.3247
1875.000000 78.278 -150.4272
1900.000000 78.410 -150.5592
1925.000000 78.543 -150.7213
1950.000000 78.676 -150.9150
1975.000000 78.808 -151.1381
2000.000000 78.943 -151.3869
2030.000000 79.107 -151.7526
2060.000000 79.270 -152.1751
2090.000000 79.425 -152.6190
2120.000000 79.574 -153.1126
2140.000000 79.671 -153.4719
2180.000000 79.858 -154.2539
2200.000000 79.949 -154.6764
2240.000000 80.124 -155.5779
2270.000000 80.248 -156.3015
2300.000000 80.365 -157.0639
2330.000000 80.475 -157.8617
2360.000000 80.578 -158.6929
2400.000000 80.703 -159.8459
2430.000000 80.788 -160.7378
2470.000000 80.886 -161.9564
2500.000000 80.950 -162.8869
2540.000000 81.021 -164.1414
2580.000000 81.076 -165.4024
2620.000000 81.115 -166.6577
2650.000000 81.134 -167.5870
2690.000000 81.145 -168.8035
2720.000000 81.143 -169.6924
2760.000000 81.129 -170.8354
2800.000000 81.100 -171.9188
2850.000000 81.046 -173.1653
2900.000000 80.976 -174.2601
2950.000000 80.898 -175.1651
3000.000000 80.823 -175.8595
3040.000000 80.779 -176.2925
3070.000000 80.759 -176.5922
3110.000000 80.749 -177.0362
3150.000000 80.747 -177.5890
3200.000000 80.737 -178.4282
3250.000000 80.707 -179.3500
3300.000000 80.653 179.7399
3350.000000 80.581 178.8961
3400.000000 80.496 178.1510
3450.000000 80.402 177.5267
3500.000000 80.307 177.0262
3550.000000 80.217 176.6421
3600.000000 80.137 176.3374
3650.000000 80.067 176.0688
3700.000000 80.006 175.8083
3750.000000 79.950 175.5392
3820.000000 79.873 175.1417
3870.000000 79.815 174.8568
3950.000000 79.706 174.5374
4000.000000 79.646 174.5729
4060.000000 79.635 174.7309
4120.000000 79.675 174.5065
4180.000000 79.696 173.8881
4250.000000 79.680 173.0577
4310.000000 79.647 172.3601
4370.000000 79.607 171.6622
4440.000000 79.553 170.8172
4500.000000 79.499 170.0534
4550.000000 79.446 169.3869
4620.000000 79.357 168.4167
4680.000000 79.264 167.5682
4750.000000 79.134 166.5979
4820.000000 78.979 165.7058
4870.000000 78.857 165.1461
4940.000000 78.673 164.4966
5000.000000 78.512 164.0549
5080.000000 78.304 163.5559
5150.000000 78.127 163.1818
5220.000000 77.949 162.8586
5300.000000 77.741 162.5626
5380.000000 77.527 162.3619
5450.000000 77.337 162.2743
5520.000000 77.147 162.2733
5600.000000 76.929 162.3792
5700.000000 76.662 162.6616
5800.000000 76.400 163.0989
5900.000000 76.143 163.6876
6000.000000 75.892 164.4499
6080.000000 75.697 165.2112
6150.000000 75.533 166.0066
6220.000000 75.381 166.9339
6300.000000 75.226 168.1590
