* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:34:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (S&S) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.512 172.1855
20.600000 88.493 171.7261
20.900000 88.465 171.2149
21.200001 88.434 170.7072
21.400000 88.413 170.3736
21.799999 88.372 169.7195
22.000000 88.351 169.3998
22.400000 88.312 168.7749
22.700001 88.283 168.3168
23.000000 88.254 167.8649
23.299999 88.224 167.4176
23.600000 88.192 166.9754
24.000000 88.149 166.3973
24.299999 88.117 165.9747
24.700001 88.075 165.4250
25.000000 88.045 165.0194
25.400000 88.008 164.4811
25.799999 87.971 163.9442
26.200001 87.932 163.4165
26.500000 87.901 163.0339
26.900000 87.858 162.5467
27.200001 87.826 162.1965
27.600000 87.783 161.7399
28.000000 87.742 161.2826
28.500000 87.690 160.7014
29.000000 87.635 160.1208
29.500000 87.579 159.5597
30.000000 87.523 159.0260
30.400000 87.479 158.6153
30.700001 87.447 158.3138
31.100000 87.404 157.9181
31.500000 87.361 157.5279
32.000000 87.307 157.0464
32.500000 87.253 156.5707
33.000000 87.198 156.1026
33.500000 87.142 155.6463
34.000000 87.087 155.2035
34.500000 87.033 154.7713
35.000000 86.979 154.3464
35.500000 86.924 153.9304
36.000000 86.868 153.5283
36.500000 86.812 153.1405
37.000000 86.757 152.7603
37.500000 86.702 152.3800
38.200001 86.625 151.8513
38.700001 86.570 151.4881
39.500000 86.484 150.9390
40.000000 86.432 150.6066
40.599998 86.369 150.2124
41.200001 86.304 149.8253
41.799999 86.238 149.4419
42.500000 86.161 148.9932
43.099998 86.094 148.6181
43.700001 86.029 148.2648
44.400002 85.956 147.8745
45.000000 85.894 147.5481
45.500000 85.842 147.2834
46.200001 85.767 146.9280
46.799999 85.704 146.6296
47.500000 85.631 146.2793
48.200001 85.558 145.9325
48.700001 85.506 145.6923
49.400002 85.432 145.3676
50.000000 85.369 145.0971
50.799999 85.287 144.7478
51.500000 85.215 144.4663
52.200001 85.147 144.2145
53.000000 85.073 143.9274
53.799999 84.998 143.6078
54.500000 84.929 143.3273
55.200001 84.862 143.0667
56.000000 84.788 142.7821
57.000000 84.694 142.4487
58.000000 84.600 142.1246
59.000000 84.509 141.7699
60.000000 84.418 141.4407
60.799999 84.348 141.2016
61.500000 84.286 140.9919
62.200001 84.222 140.7880
63.000000 84.148 140.5767
64.000000 84.059 140.3219
65.000000 83.971 140.0469
66.000000 83.880 139.7677
67.000000 83.791 139.5034
68.000000 83.703 139.2653
69.000000 83.616 139.0450
70.000000 83.529 138.8325
71.000000 83.445 138.6318
72.000000 83.362 138.4313
73.000000 83.278 138.2316
74.000000 83.194 138.0379
75.000000 83.114 137.8575
76.199997 83.019 137.6794
77.500000 82.915 137.4936
78.800003 82.808 137.2835
80.000000 82.713 137.1113
81.199997 82.619 136.9673
82.500000 82.517 136.7940
83.800003 82.420 136.6166
85.000000 82.333 136.4789
86.199997 82.242 136.3400
87.500000 82.141 136.2201
88.500000 82.063 136.1635
90.000000 81.936 136.0846
91.199997 81.849 135.9889
92.500000 81.770 135.8129
93.800003 81.685 135.6958
95.000000 81.602 135.6355
96.199997 81.516 135.6079
97.500000 81.419 135.6054
98.800003 81.321 135.5517
100.000000 81.234 135.5093
101.500000 81.131 135.5065
103.000000 81.033 135.4988
104.400002 80.962 135.5705
106.000000 80.890 135.6981
107.500000 80.811 135.6227
109.000000 80.730 135.4778
110.599998 80.648 135.3407
112.000000 80.570 135.2653
113.800003 80.449 135.2368
115.000000 80.365 135.2229
117.199997 80.254 135.1693
118.000000 80.214 135.1480
120.599998 80.073 135.1447
122.000000 79.998 135.1256
124.099998 79.880 135.1099
125.000000 79.828 135.1214
126.500000 79.744 135.1640
128.000000 79.662 135.2712
131.500000 79.465 135.8075
132.000000 79.438 135.7575
134.000000 79.343 135.2500
136.000000 79.238 135.5899
138.000000 79.152 135.8567
140.000000 79.080 135.7910
143.000000 78.934 135.9781
145.000000 78.839 136.1193
147.500000 78.723 136.2417
150.000000 78.600 136.4342
152.500000 78.502 136.6818
155.000000 78.422 136.9318
157.500000 78.343 137.1699
160.000000 78.269 137.3625
162.500000 78.196 137.4741
165.000000 78.102 137.5007
167.500000 78.013 137.4696
170.000000 77.934 137.5212
172.500000 77.841 137.6011
175.000000 77.736 137.6234
177.500000 77.637 137.7170
180.000000 77.542 137.8324
182.500000 77.448 137.9730
185.000000 77.356 138.1580
187.500000 77.265 138.3601
190.000000 77.177 138.5346
192.500000 77.091 138.6930
195.000000 77.003 138.8458
197.500000 76.916 139.0177
200.000000 76.835 139.2199
203.000000 76.735 139.4835
206.000000 76.638 139.7020
209.000000 76.545 139.9424
212.000000 76.453 140.2226
214.000000 76.390 140.4272
218.000000 76.269 140.8041
220.000000 76.213 140.9660
224.000000 76.103 141.3517
227.000000 76.022 141.6757
230.000000 75.944 141.9896
233.000000 75.868 142.3059
236.000000 75.795 142.6243
240.000000 75.702 143.0117
243.000000 75.633 143.2934
247.000000 75.552 143.6853
250.000000 75.492 143.9820
254.000000 75.406 144.3654
258.000000 75.320 144.7134
262.000000 75.240 145.0728
265.000000 75.180 145.3424
269.000000 75.099 145.6779
272.000000 75.039 145.9505
276.000000 74.960 146.3329
280.000000 74.882 146.6893
285.000000 74.784 147.1166
290.000000 74.689 147.5923
295.000000 74.594 148.0697
300.000000 74.501 148.5589
304.000000 74.429 148.9633
307.000000 74.377 149.2673
311.000000 74.309 149.6695
315.000000 74.243 150.0932
320.000000 74.166 150.6470
325.000000 74.092 151.1890
330.000000 74.023 151.7234
335.000000 73.958 152.2725
340.000000 73.896 152.8094
345.000000 73.838 153.3318
350.000000 73.784 153.8449
355.000000 73.733 154.3614
360.000000 73.685 154.8722
365.000000 73.636 155.3636
370.000000 73.590 155.8301
375.000000 73.546 156.2856
382.000000 73.487 156.9040
387.000000 73.445 157.3285
395.000000 73.380 157.9924
400.000000 73.341 158.3990
406.000000 73.292 158.8716
412.000000 73.244 159.3431
418.000000 73.195 159.8112
425.000000 73.137 160.3616
431.000000 73.088 160.8292
437.000000 73.041 161.2861
444.000000 72.988 161.8309
450.000000 72.943 162.3041
455.000000 72.906 162.6971
462.000000 72.854 163.2446
468.000000 72.811 163.7139
475.000000 72.761 164.2605
482.000000 72.712 164.8124
487.000000 72.678 165.2088
494.000000 72.631 165.7651
500.000000 72.593 166.2445
508.000000 72.542 166.8863
515.000000 72.499 167.4525
522.000000 72.457 168.0260
530.000000 72.412 168.6820
538.000000 72.368 169.3365
545.000000 72.332 169.9129
552.000000 72.296 170.4918
560.000000 72.258 171.1516
570.000000 72.212 171.9767
580.000000 72.170 172.8085
590.000000 72.131 173.6418
600.000000 72.094 174.4762
608.000000 72.067 175.1464
615.000000 72.044 175.7358
622.000000 72.023 176.3257
630.000000 72.000 177.0006
640.000000 71.974 177.8483
650.000000 71.952 178.6974
660.000000 71.932 179.5472
670.000000 71.915 -179.6008
680.000000 71.901 -178.7462
690.000000 71.890 -177.8889
700.000000 71.882 -177.0308
710.000000 71.877 -176.1697
720.000000 71.875 -175.3076
730.000000 71.876 -174.4423
740.000000 71.881 -173.5748
750.000000 71.889 -172.7082
762.000000 71.904 -171.6670
775.000000 71.925 -170.5376
788.000000 71.952 -169.4138
800.000000 71.984 -168.3806
812.000000 72.020 -167.3505
825.000000 72.066 -166.2413
838.000000 72.120 -165.1446
850.000000 72.176 -164.1430
862.000000 72.238 -163.1576
875.000000 72.312 -162.1119
885.000000 72.373 -161.3221
900.000000 72.473 -160.1682
912.000000 72.560 -159.2773
925.000000 72.660 -158.3470
938.000000 72.766 -157.4543
950.000000 72.868 -156.6697
962.000000 72.975 -155.9266
975.000000 73.095 -155.1691
988.000000 73.219 -154.4629
1000.000000 73.336 -153.8583
1015.000000 73.484 -153.1675
1030.000000 73.634 -152.5497
1044.000000 73.774 -152.0401
1060.000000 73.933 -151.5323
1075.000000 74.080 -151.1221
1090.000000 74.224 -150.7694
1106.000000 74.374 -150.4544
1120.000000 74.500 -150.2242
1138.000000 74.657 -149.9796
1150.000000 74.757 -149.8446
1172.000000 74.933 -149.6438
1180.000000 74.994 -149.5835
1206.000000 75.184 -149.4218
1220.000000 75.281 -149.3516
1241.000000 75.419 -149.2617
1250.000000 75.476 -149.2264
1265.000000 75.568 -149.1694
1280.000000 75.657 -149.1144
1315.000000 75.855 -148.9872
1320.000000 75.882 -148.9687
1340.000000 75.990 -148.8937
1360.000000 76.095 -148.8142
1380.000000 76.198 -148.7300
1400.000000 76.299 -148.6432
1430.000000 76.448 -148.5060
1450.000000 76.547 -148.4129
1475.000000 76.671 -148.2964
1500.000000 76.794 -148.1801
1525.000000 76.918 -148.0667
1550.000000 77.044 -147.9616
1575.000000 77.170 -147.8676
1600.000000 77.297 -147.7834
1625.000000 77.426 -147.7133
1650.000000 77.556 -147.6608
1675.000000 77.688 -147.6278
1700.000000 77.820 -147.6160
1725.000000 77.954 -147.6248
1750.000000 78.089 -147.6573
1775.000000 78.224 -147.7163
1800.000000 78.361 -147.8018
1825.000000 78.497 -147.9141
1850.000000 78.634 -148.0566
1875.000000 78.771 -148.2264
1900.000000 78.911 -148.4235
1925.000000 79.055 -148.6763
1950.000000 79.197 -148.9680
1975.000000 79.335 -149.2706
2000.000000 79.468 -149.6047
2030.000000 79.623 -150.0625
2060.000000 79.775 -150.5697
2090.000000 79.922 -151.1250
2120.000000 80.065 -151.7277
2140.000000 80.156 -152.1550
2180.000000 80.332 -153.0666
2200.000000 80.415 -153.5492
2240.000000 80.570 -154.5596
2270.000000 80.677 -155.3485
2300.000000 80.776 -156.1580
2330.000000 80.866 -156.9800
2360.000000 80.949 -157.8112
2400.000000 81.047 -158.9341
2430.000000 81.111 -159.7888
2470.000000 81.183 -160.9423
2500.000000 81.223 -161.7968
2540.000000 81.260 -162.8749
2580.000000 81.285 -163.8308
2620.000000 81.311 -164.6360
2650.000000 81.341 -165.1747
2690.000000 81.404 -165.9183
2720.000000 81.461 -166.5744
2760.000000 81.533 -167.6292
2800.000000 81.583 -168.8416
2850.000000 81.603 -170.4258
2900.000000 81.583 -171.9489
2950.000000 81.535 -173.3398
3000.000000 81.469 -174.5839
3040.000000 81.409 -175.4734
3070.000000 81.363 -176.0873
3110.000000 81.301 -176.8576
3150.000000 81.238 -177.5807
3200.000000 81.158 -178.4266
3250.000000 81.078 -179.2278
3300.000000 80.996 179.9972
3350.000000 80.907 179.2340
3400.000000 80.806 178.4905
3450.000000 80.686 177.8097
3500.000000 80.547 177.2800
3550.000000 80.400 177.0027
3600.000000 80.268 177.0004
3650.000000 80.169 177.1678
3700.000000 80.106 177.3585
3750.000000 80.070 177.4691
3820.000000 80.042 177.4399
3870.000000 80.025 177.3038
3950.000000 79.987 176.9732
4000.000000 79.953 176.7902
4060.000000 79.922 176.7216
4120.000000 79.940 176.6697
4180.000000 79.987 176.2113
4250.000000 79.999 175.2969
4310.000000 79.976 174.4851
4370.000000 79.936 173.6913
4440.000000 79.874 172.7634
4500.000000 79.808 171.9570
4550.000000 79.745 171.2757
4620.000000 79.641 170.3204
4680.000000 79.537 169.5182
4750.000000 79.397 168.6251
4820.000000 79.237 167.8103
4870.000000 79.113 167.2933
4940.000000 78.928 166.6804
5000.000000 78.761 166.2652
5080.000000 78.539 165.8222
5150.000000 78.348 165.5223
5220.000000 78.158 165.3045
5300.000000 77.938 165.1562
5380.000000 77.716 165.1273
5450.000000 77.521 165.2045
5520.000000 77.327 165.3820
5600.000000 77.109 165.7125
5700.000000 76.846 166.3136
5800.000000 76.598 167.1157
5900.000000 76.370 168.1009
6000.000000 76.167 169.2505
6080.000000 76.024 170.2815
6150.000000 75.916 171.2561
6220.000000 75.826 172.2897
6300.000000 75.745 173.5318
