* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:23:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (FTE) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.306 171.7446
20.600000 88.285 171.3133
20.900000 88.256 170.8321
21.200001 88.226 170.3444
21.400000 88.205 170.0148
21.799999 88.164 169.3442
22.000000 88.143 169.0068
22.400000 88.101 168.3413
22.700001 88.068 167.8604
23.000000 88.035 167.3998
23.299999 88.003 166.9581
23.600000 87.973 166.5290
24.000000 87.933 165.9641
24.299999 87.905 165.5385
24.700001 87.866 164.9659
25.000000 87.835 164.5365
25.400000 87.793 163.9745
25.799999 87.749 163.4353
26.200001 87.706 162.9238
26.500000 87.674 162.5559
26.900000 87.632 162.0783
27.200001 87.602 161.7244
27.600000 87.561 161.2539
28.000000 87.519 160.7857
28.500000 87.465 160.2108
29.000000 87.411 159.6540
29.500000 87.356 159.1146
30.000000 87.301 158.5882
30.400000 87.257 158.1745
30.700001 87.223 157.8679
31.100000 87.177 157.4632
31.500000 87.131 157.0615
32.000000 87.074 156.5648
32.500000 87.016 156.0806
33.000000 86.959 155.6164
33.500000 86.903 155.1707
34.000000 86.849 154.7336
34.500000 86.795 154.2980
35.000000 86.739 153.8686
35.500000 86.683 153.4559
36.000000 86.628 153.0636
36.500000 86.574 152.6857
37.000000 86.521 152.3134
37.500000 86.466 151.9424
38.200001 86.388 151.4262
38.700001 86.331 151.0616
39.500000 86.242 150.4890
40.000000 86.187 150.1397
40.599998 86.122 149.7322
41.200001 86.056 149.3423
41.799999 85.990 148.9752
42.500000 85.913 148.5703
43.099998 85.849 148.2278
43.700001 85.786 147.8812
44.400002 85.712 147.4798
45.000000 85.649 147.1475
45.500000 85.596 146.8794
46.200001 85.523 146.5138
46.799999 85.459 146.2086
47.500000 85.385 145.8611
48.200001 85.311 145.5199
48.700001 85.259 145.2803
49.400002 85.187 144.9541
50.000000 85.126 144.6838
50.799999 85.046 144.3337
51.500000 84.975 144.0377
52.200001 84.904 143.7524
53.000000 84.823 143.4347
53.799999 84.743 143.1231
54.500000 84.673 142.8599
55.200001 84.605 142.6066
56.000000 84.529 142.3248
57.000000 84.433 141.9843
58.000000 84.337 141.6592
59.000000 84.242 141.3472
60.000000 84.146 141.0497
60.799999 84.071 140.8113
61.500000 84.007 140.6010
62.200001 83.943 140.3981
63.000000 83.870 140.1817
64.000000 83.781 139.9281
65.000000 83.691 139.6863
66.000000 83.601 139.4497
67.000000 83.512 139.2186
68.000000 83.424 138.9970
69.000000 83.338 138.7855
70.000000 83.253 138.5800
71.000000 83.168 138.3789
72.000000 83.084 138.1921
73.000000 82.999 138.0110
74.000000 82.916 137.8324
75.000000 82.836 137.6700
76.199997 82.742 137.5201
77.500000 82.640 137.3363
78.800003 82.542 137.0862
80.000000 82.450 136.8457
81.199997 82.352 136.7517
82.500000 82.253 136.6791
83.800003 82.144 136.5394
85.000000 82.049 136.4076
86.199997 81.964 136.2960
87.500000 81.874 136.1459
88.500000 81.822 135.9323
90.000000 81.779 135.4840
91.199997 81.682 135.4174
92.500000 81.545 135.6635
93.800003 81.433 135.6647
95.000000 81.351 135.6038
96.199997 81.271 135.5471
97.500000 81.182 135.4625
98.800003 81.097 135.3835
100.000000 81.020 135.3362
101.500000 80.924 135.2758
103.000000 80.828 135.2328
104.400002 80.740 135.2178
106.000000 80.643 135.1950
107.500000 80.551 135.1429
109.000000 80.462 135.0950
110.599998 80.368 135.0738
112.000000 80.286 135.0649
113.800003 80.177 135.1200
115.000000 80.104 135.1552
117.199997 79.985 135.0361
118.000000 79.943 135.0161
120.599998 79.796 135.0503
122.000000 79.713 135.0558
124.099998 79.589 135.0488
125.000000 79.536 135.0298
126.500000 79.449 135.0166
128.000000 79.368 134.9952
131.500000 79.227 134.6632
132.000000 79.218 134.6611
134.000000 79.154 134.9628
136.000000 78.987 135.5117
138.000000 78.845 135.8800
140.000000 78.735 135.8430
143.000000 78.586 136.0555
145.000000 78.486 136.3005
147.500000 78.396 136.3270
150.000000 78.308 136.5496
152.500000 78.214 137.1450
155.000000 78.148 137.3255
157.500000 78.099 137.2613
160.000000 78.020 137.2000
162.500000 77.929 137.1705
165.000000 77.835 137.1409
167.500000 77.734 137.1906
170.000000 77.625 137.3763
172.500000 77.515 137.4834
175.000000 77.413 137.5736
177.500000 77.315 137.7067
180.000000 77.218 137.8573
182.500000 77.124 138.0472
185.000000 77.034 138.2366
187.500000 76.944 138.4091
190.000000 76.856 138.6021
192.500000 76.770 138.8157
195.000000 76.687 139.0482
197.500000 76.604 139.2716
200.000000 76.519 139.4614
203.000000 76.419 139.6806
206.000000 76.322 139.9557
209.000000 76.226 140.2555
212.000000 76.135 140.5773
214.000000 76.080 140.7756
218.000000 75.965 141.2394
220.000000 75.904 141.4921
224.000000 75.785 141.9986
227.000000 75.691 142.3256
230.000000 75.609 142.5130
233.000000 75.558 142.8468
236.000000 75.511 143.2129
240.000000 75.424 143.6453
243.000000 75.360 143.8887
247.000000 75.281 144.2974
250.000000 75.218 144.6138
254.000000 75.129 144.9501
258.000000 75.049 145.3114
262.000000 74.972 145.5674
265.000000 74.911 145.8109
269.000000 74.828 146.2043
272.000000 74.765 146.4844
276.000000 74.685 146.8612
280.000000 74.605 147.2693
285.000000 74.502 147.7368
290.000000 74.403 148.2245
295.000000 74.310 148.7571
300.000000 74.219 149.3100
304.000000 74.150 149.7559
307.000000 74.101 150.0980
311.000000 74.038 150.5563
315.000000 73.978 151.0096
320.000000 73.908 151.5822
325.000000 73.841 152.1521
330.000000 73.779 152.7059
335.000000 73.722 153.2620
340.000000 73.668 153.8024
345.000000 73.617 154.3103
350.000000 73.570 154.8083
355.000000 73.524 155.2900
360.000000 73.479 155.7576
365.000000 73.435 156.2103
370.000000 73.392 156.6397
375.000000 73.349 157.0602
382.000000 73.287 157.6396
387.000000 73.244 158.0503
395.000000 73.176 158.6997
400.000000 73.132 159.0965
406.000000 73.080 159.5763
412.000000 73.029 160.0555
418.000000 72.978 160.5357
425.000000 72.920 161.1020
431.000000 72.870 161.5744
437.000000 72.822 162.0476
444.000000 72.767 162.6138
450.000000 72.721 163.1047
455.000000 72.684 163.5129
462.000000 72.632 164.0836
468.000000 72.589 164.5754
475.000000 72.540 165.1517
482.000000 72.492 165.7256
487.000000 72.459 166.1392
494.000000 72.414 166.7241
500.000000 72.377 167.2224
508.000000 72.329 167.8843
515.000000 72.289 168.4657
522.000000 72.250 169.0509
530.000000 72.207 169.7229
538.000000 72.166 170.3936
545.000000 72.131 170.9823
552.000000 72.098 171.5722
560.000000 72.063 172.2444
570.000000 72.021 173.0899
580.000000 71.981 173.9389
590.000000 71.945 174.7889
600.000000 71.912 175.6395
608.000000 71.888 176.3239
615.000000 71.868 176.9237
622.000000 71.849 177.5226
630.000000 71.829 178.2053
640.000000 71.806 179.0609
650.000000 71.787 179.9221
660.000000 71.771 -179.2148
670.000000 71.757 -178.3483
680.000000 71.747 -177.4843
690.000000 71.739 -176.6192
700.000000 71.734 -175.7510
710.000000 71.733 -174.8788
720.000000 71.734 -174.0044
730.000000 71.739 -173.1331
740.000000 71.747 -172.2626
750.000000 71.759 -171.3899
762.000000 71.778 -170.3421
775.000000 71.804 -169.2087
788.000000 71.836 -168.0756
800.000000 71.871 -167.0360
812.000000 71.912 -166.0005
825.000000 71.963 -164.8876
838.000000 72.021 -163.7892
850.000000 72.081 -162.7883
862.000000 72.146 -161.8023
875.000000 72.224 -160.7541
885.000000 72.289 -159.9640
900.000000 72.394 -158.8126
912.000000 72.484 -157.9238
925.000000 72.588 -156.9957
938.000000 72.699 -156.1052
950.000000 72.805 -155.3197
962.000000 72.916 -154.5782
975.000000 73.039 -153.8249
988.000000 73.167 -153.1250
1000.000000 73.287 -152.5258
1015.000000 73.440 -151.8423
1030.000000 73.594 -151.2344
1044.000000 73.738 -150.7312
1060.000000 73.901 -150.2294
1075.000000 74.051 -149.8271
1090.000000 74.199 -149.4807
1106.000000 74.353 -149.1705
1120.000000 74.483 -148.9461
1138.000000 74.644 -148.7109
1150.000000 74.747 -148.5826
1172.000000 74.928 -148.3936
1180.000000 74.991 -148.3372
1206.000000 75.188 -148.1903
1220.000000 75.289 -148.1279
1241.000000 75.433 -148.0497
1250.000000 75.493 -148.0204
1265.000000 75.589 -147.9746
1280.000000 75.683 -147.9313
1315.000000 75.892 -147.8375
1320.000000 75.921 -147.8251
1340.000000 76.035 -147.7761
1360.000000 76.146 -147.7261
1380.000000 76.255 -147.6746
1400.000000 76.362 -147.6223
1430.000000 76.521 -147.5470
1450.000000 76.626 -147.4995
1475.000000 76.756 -147.4450
1500.000000 76.887 -147.3997
1525.000000 77.017 -147.3641
1550.000000 77.148 -147.3405
1575.000000 77.278 -147.3315
1600.000000 77.410 -147.3401
1625.000000 77.542 -147.3699
1650.000000 77.674 -147.4231
1675.000000 77.807 -147.5037
1700.000000 77.938 -147.6137
1725.000000 78.070 -147.7534
1750.000000 78.200 -147.9218
1775.000000 78.329 -148.1199
1800.000000 78.456 -148.3505
1825.000000 78.582 -148.6130
1850.000000 78.705 -148.9028
1875.000000 78.828 -149.2165
1900.000000 78.952 -149.5837
1925.000000 79.073 -149.9945
1950.000000 79.187 -150.4134
1975.000000 79.290 -150.8478
2000.000000 79.387 -151.3152
2030.000000 79.493 -151.9042
2060.000000 79.590 -152.5127
2090.000000 79.675 -153.1265
2120.000000 79.747 -153.7281
2140.000000 79.788 -154.1107
2180.000000 79.856 -154.7907
2200.000000 79.886 -155.0695
2240.000000 79.946 -155.4809
2270.000000 80.005 -155.6924
2300.000000 80.081 -155.9045
2330.000000 80.168 -156.1974
2360.000000 80.253 -156.5951
2400.000000 80.346 -157.2024
2430.000000 80.401 -157.6146
2470.000000 80.468 -158.0190
2500.000000 80.526 -158.2088
2540.000000 80.632 -158.3934
2580.000000 80.774 -158.6542
2620.000000 80.939 -159.1194
2650.000000 81.069 -159.6445
2690.000000 81.236 -160.6002
2720.000000 81.343 -161.4858
2760.000000 81.453 -162.8037
2800.000000 81.521 -164.1596
2850.000000 81.560 -165.7648
2900.000000 81.564 -167.1987
2950.000000 81.548 -168.4301
3000.000000 81.531 -169.4691
3040.000000 81.523 -170.2062
3070.000000 81.523 -170.7377
3110.000000 81.529 -171.4581
3150.000000 81.536 -172.2035
3200.000000 81.544 -173.1623
3250.000000 81.550 -174.1598
3300.000000 81.552 -175.2176
3350.000000 81.542 -176.3578
3400.000000 81.511 -177.5722
3450.000000 81.448 -178.8028
3500.000000 81.345 -179.9205
3550.000000 81.213 179.2432
3600.000000 81.082 178.7924
3650.000000 80.987 178.6428
3700.000000 80.945 178.5769
3750.000000 80.948 178.3925
3820.000000 80.989 177.7549
3870.000000 81.019 177.0178
3950.000000 81.025 175.4922
4000.000000 80.992 174.5208
4060.000000 80.949 173.5678
4120.000000 80.957 172.5651
4180.000000 80.966 171.0015
4250.000000 80.890 168.8298
4310.000000 80.760 167.0156
4370.000000 80.588 165.3175
4440.000000 80.346 163.5242
4500.000000 80.114 162.1666
4550.000000 79.908 161.1563
4620.000000 79.604 159.9094
4680.000000 79.331 158.9973
4750.000000 79.000 158.1274
4820.000000 78.659 157.4693
4870.000000 78.410 157.1270
4940.000000 78.063 156.7901
5000.000000 77.770 156.6345
5080.000000 77.382 156.6319
5150.000000 77.046 156.8208
5220.000000 76.716 157.1886
5300.000000 76.349 157.8244
5380.000000 75.998 158.6746
5450.000000 75.706 159.5784
5520.000000 75.431 160.6161
5600.000000 75.138 161.9437
5700.000000 74.804 163.7915
5800.000000 74.508 165.8330
5900.000000 74.254 168.0430
6000.000000 74.045 170.3902
6080.000000 73.911 172.3437
6150.000000 73.821 174.0933
6220.000000 73.754 175.8691
