* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Jan 29, 2024 8:28:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Nightjar Sing (Sony) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 88.317 171.5856
20.600000 88.293 171.1388
20.900000 88.262 170.6405
21.200001 88.228 170.1395
21.400000 88.206 169.8047
21.799999 88.164 169.1330
22.000000 88.144 168.7979
22.400000 88.105 168.1367
22.700001 88.076 167.6536
23.000000 88.047 167.1841
23.299999 88.017 166.7285
23.600000 87.986 166.2857
24.000000 87.943 165.7127
24.299999 87.909 165.2947
24.700001 87.865 164.7511
25.000000 87.833 164.3515
25.400000 87.791 163.8249
25.799999 87.752 163.3008
26.200001 87.713 162.7778
26.500000 87.683 162.3886
26.900000 87.642 161.8792
27.200001 87.609 161.5080
27.600000 87.566 161.0294
28.000000 87.523 160.5670
28.500000 87.470 160.0033
29.000000 87.417 159.4476
29.500000 87.362 158.9006
30.000000 87.306 158.3693
30.400000 87.260 157.9576
30.700001 87.226 157.6550
31.100000 87.181 157.2564
31.500000 87.136 156.8598
32.000000 87.080 156.3669
32.500000 87.023 155.8852
33.000000 86.964 155.4230
33.500000 86.906 154.9792
34.000000 86.849 154.5441
34.500000 86.792 154.1100
35.000000 86.735 153.6799
35.500000 86.678 153.2629
36.000000 86.623 152.8634
36.500000 86.569 152.4775
37.000000 86.515 152.0977
37.500000 86.461 151.7203
38.200001 86.383 151.1992
38.700001 86.326 150.8369
39.500000 86.237 150.2775
40.000000 86.182 149.9375
40.599998 86.117 149.5354
41.200001 86.052 149.1441
41.799999 85.985 148.7718
42.500000 85.909 148.3595
43.099998 85.845 148.0144
43.700001 85.779 147.6739
44.400002 85.703 147.2859
45.000000 85.639 146.9534
45.500000 85.586 146.6713
46.200001 85.512 146.2822
46.799999 85.448 145.9723
47.500000 85.376 145.6350
48.200001 85.305 145.3011
48.700001 85.254 145.0621
49.400002 85.180 144.7377
50.000000 85.117 144.4725
50.799999 85.034 144.1277
51.500000 84.963 143.8308
52.200001 84.891 143.5427
53.000000 84.810 143.2246
53.799999 84.731 142.9133
54.500000 84.662 142.6465
55.200001 84.594 142.3879
56.000000 84.516 142.1026
57.000000 84.418 141.7593
58.000000 84.322 141.4280
59.000000 84.227 141.1065
60.000000 84.132 140.8046
60.799999 84.057 140.5769
61.500000 83.991 140.3839
62.200001 83.926 140.1946
63.000000 83.853 139.9768
64.000000 83.763 139.7016
65.000000 83.671 139.4480
66.000000 83.583 139.2201
67.000000 83.496 138.9921
68.000000 83.407 138.7627
69.000000 83.320 138.5432
70.000000 83.234 138.3337
71.000000 83.148 138.1379
72.000000 83.063 137.9532
73.000000 82.979 137.7726
74.000000 82.897 137.5976
75.000000 82.815 137.4386
76.199997 82.713 137.2645
77.500000 82.609 137.0550
78.800003 82.518 136.8942
80.000000 82.437 136.8156
81.199997 82.340 136.6839
82.500000 82.229 136.4770
83.800003 82.121 136.2595
85.000000 82.029 136.0919
86.199997 81.942 135.9598
87.500000 81.846 135.8130
88.500000 81.782 135.6042
90.000000 81.708 135.0874
91.199997 81.611 135.0330
92.500000 81.497 135.3072
93.800003 81.392 135.3399
95.000000 81.307 135.2670
96.199997 81.223 135.2006
97.500000 81.130 135.1213
98.800003 81.041 135.0459
100.000000 80.959 135.0055
101.500000 80.856 134.9879
103.000000 80.755 134.9840
104.400002 80.665 134.9698
106.000000 80.565 134.9199
107.500000 80.468 134.8971
109.000000 80.373 134.9225
110.599998 80.275 134.9526
112.000000 80.191 134.9785
113.800003 80.097 135.0335
115.000000 80.030 135.0745
117.199997 79.874 135.1448
118.000000 79.825 135.2287
120.599998 79.702 135.6013
122.000000 79.645 135.7322
124.099998 79.573 135.8076
125.000000 79.535 135.7649
126.500000 79.471 135.5187
128.000000 79.402 135.1004
131.500000 79.132 135.1064
132.000000 79.093 135.2045
134.000000 78.969 135.4622
136.000000 78.962 135.0567
138.000000 78.889 134.9365
140.000000 78.783 135.3610
143.000000 78.648 136.0241
145.000000 78.583 136.3888
147.500000 78.526 136.3912
150.000000 78.446 136.3307
152.500000 78.323 136.4162
155.000000 78.217 136.4194
157.500000 78.115 136.3942
160.000000 78.008 136.4444
162.500000 77.905 136.5230
165.000000 77.794 136.6253
167.500000 77.684 136.7466
170.000000 77.589 136.9490
172.500000 77.490 137.1006
175.000000 77.390 137.2139
177.500000 77.294 137.3675
180.000000 77.200 137.5345
182.500000 77.106 137.7062
185.000000 77.014 137.8809
187.500000 76.924 138.0669
190.000000 76.836 138.2781
192.500000 76.749 138.4929
195.000000 76.662 138.6910
197.500000 76.576 138.8937
200.000000 76.494 139.1413
203.000000 76.396 139.4532
206.000000 76.300 139.6937
209.000000 76.204 139.9554
212.000000 76.111 140.2564
214.000000 76.050 140.4614
218.000000 75.931 140.8930
220.000000 75.873 141.1297
224.000000 75.760 141.6265
227.000000 75.677 141.9863
230.000000 75.608 142.3118
233.000000 75.553 142.6561
236.000000 75.496 142.9779
240.000000 75.413 143.3528
243.000000 75.347 143.5829
247.000000 75.264 143.9204
250.000000 75.204 144.1969
254.000000 75.122 144.5308
258.000000 75.043 144.8456
262.000000 74.962 145.1645
265.000000 74.899 145.4047
269.000000 74.817 145.7553
272.000000 74.756 146.0193
276.000000 74.675 146.3484
280.000000 74.591 146.7000
285.000000 74.485 147.1912
290.000000 74.386 147.7055
295.000000 74.290 148.2253
300.000000 74.200 148.7337
304.000000 74.130 149.1585
307.000000 74.079 149.4920
311.000000 74.012 149.9365
315.000000 73.947 150.3754
320.000000 73.871 150.9465
325.000000 73.799 151.5107
330.000000 73.733 152.0661
335.000000 73.673 152.6284
340.000000 73.616 153.1818
345.000000 73.561 153.7139
350.000000 73.509 154.2329
355.000000 73.461 154.7366
360.000000 73.416 155.2241
365.000000 73.372 155.6914
370.000000 73.329 156.1362
375.000000 73.288 156.5722
382.000000 73.230 157.1638
387.000000 73.188 157.5703
395.000000 73.121 158.2076
400.000000 73.080 158.6036
406.000000 73.028 159.0775
412.000000 72.977 159.5421
418.000000 72.927 160.0060
425.000000 72.869 160.5549
431.000000 72.820 161.0285
437.000000 72.771 161.5020
444.000000 72.715 162.0584
450.000000 72.669 162.5357
455.000000 72.631 162.9344
462.000000 72.578 163.4961
468.000000 72.535 163.9799
475.000000 72.485 164.5444
482.000000 72.436 165.1096
487.000000 72.402 165.5172
494.000000 72.356 166.0912
500.000000 72.318 166.5818
508.000000 72.269 167.2360
515.000000 72.227 167.8127
522.000000 72.187 168.3918
530.000000 72.143 169.0516
538.000000 72.101 169.7147
545.000000 72.065 170.2962
552.000000 72.031 170.8793
560.000000 71.994 171.5472
570.000000 71.950 172.3817
580.000000 71.909 173.2214
590.000000 71.872 174.0596
600.000000 71.836 174.8987
608.000000 71.810 175.5734
615.000000 71.789 176.1637
622.000000 71.769 176.7539
630.000000 71.748 177.4287
640.000000 71.724 178.2791
650.000000 71.702 179.1318
660.000000 71.684 179.9838
670.000000 71.668 -179.1647
680.000000 71.656 -178.3071
690.000000 71.646 -177.4472
700.000000 71.639 -176.5907
710.000000 71.635 -175.7323
720.000000 71.634 -174.8682
730.000000 71.637 -174.0030
740.000000 71.643 -173.1384
750.000000 71.652 -172.2752
762.000000 71.668 -171.2397
775.000000 71.690 -170.1207
788.000000 71.719 -169.0000
800.000000 71.752 -167.9683
812.000000 71.790 -166.9431
825.000000 71.837 -165.8423
838.000000 71.891 -164.7555
850.000000 71.948 -163.7628
862.000000 72.010 -162.7866
875.000000 72.084 -161.7499
885.000000 72.146 -160.9673
900.000000 72.246 -159.8245
912.000000 72.332 -158.9427
925.000000 72.432 -158.0232
938.000000 72.538 -157.1420
950.000000 72.640 -156.3679
962.000000 72.746 -155.6337
975.000000 72.865 -154.8851
988.000000 72.988 -154.1891
1000.000000 73.104 -153.5946
1015.000000 73.251 -152.9178
1030.000000 73.399 -152.3132
1044.000000 73.538 -151.8128
1060.000000 73.695 -151.3131
1075.000000 73.839 -150.9121
1090.000000 73.981 -150.5699
1106.000000 74.127 -150.2646
1120.000000 74.251 -150.0422
1138.000000 74.404 -149.8050
1150.000000 74.502 -149.6736
1172.000000 74.673 -149.4803
1180.000000 74.732 -149.4223
1206.000000 74.916 -149.2688
1220.000000 75.009 -149.2006
1241.000000 75.140 -149.1085
1250.000000 75.194 -149.0715
1265.000000 75.281 -149.0110
1280.000000 75.365 -148.9498
1315.000000 75.549 -148.7870
1320.000000 75.574 -148.7599
1340.000000 75.672 -148.6382
1360.000000 75.769 -148.4939
1380.000000 75.866 -148.3203
1400.000000 75.968 -148.1244
1430.000000 76.133 -147.8419
1450.000000 76.249 -147.7062
1475.000000 76.395 -147.6264
1500.000000 76.532 -147.6213
1525.000000 76.661 -147.6416
1550.000000 76.782 -147.6626
1575.000000 76.899 -147.6737
1600.000000 77.014 -147.6759
1625.000000 77.130 -147.6743
1650.000000 77.246 -147.6777
1675.000000 77.364 -147.6987
1700.000000 77.483 -147.7502
1725.000000 77.599 -147.8374
1750.000000 77.713 -147.9551
1775.000000 77.822 -148.0956
1800.000000 77.927 -148.2550
1825.000000 78.026 -148.4278
1850.000000 78.120 -148.6073
1875.000000 78.209 -148.7911
1900.000000 78.291 -148.9721
1925.000000 78.366 -149.1411
1950.000000 78.434 -149.2837
1975.000000 78.494 -149.3823
2000.000000 78.547 -149.4191
2030.000000 78.602 -149.3404
2060.000000 78.654 -149.0550
2090.000000 78.718 -148.4836
2120.000000 78.826 -147.5906
2140.000000 78.943 -146.8767
2180.000000 79.313 -145.6354
2200.000000 79.552 -145.3267
2240.000000 80.056 -145.6390
2270.000000 80.397 -146.6111
2300.000000 80.679 -147.9481
2330.000000 80.904 -149.4402
2360.000000 81.084 -150.9832
2400.000000 81.266 -153.0440
2430.000000 81.367 -154.5649
2470.000000 81.459 -156.5284
2500.000000 81.500 -157.9326
2540.000000 81.522 -159.6802
2580.000000 81.513 -161.2403
2620.000000 81.484 -162.5795
2650.000000 81.458 -163.4396
2690.000000 81.428 -164.4188
2720.000000 81.413 -165.0704
2760.000000 81.406 -165.9160
2800.000000 81.405 -166.8081
2850.000000 81.389 -167.9812
2900.000000 81.348 -169.1015
2950.000000 81.290 -170.0523
3000.000000 81.235 -170.8234
3040.000000 81.199 -171.3667
3070.000000 81.176 -171.7571
3110.000000 81.147 -172.2688
3150.000000 81.118 -172.7558
3200.000000 81.085 -173.3008
3250.000000 81.061 -173.7888
3300.000000 81.048 -174.2697
3350.000000 81.043 -174.7961
3400.000000 81.038 -175.3610
3450.000000 81.031 -175.9420
3500.000000 81.023 -176.5210
3550.000000 81.016 -177.0924
3600.000000 81.012 -177.6683
3650.000000 81.012 -178.2693
3700.000000 81.014 -178.9144
3750.000000 81.016 -179.6184
3820.000000 81.010 179.2920
3870.000000 80.995 178.4513
3950.000000 80.941 177.0692
4000.000000 80.888 176.2903
4060.000000 80.831 175.5776
4120.000000 80.828 174.8785
4180.000000 80.845 173.6960
4250.000000 80.800 171.9414
4310.000000 80.710 170.4547
4370.000000 80.592 169.0423
4440.000000 80.428 167.4821
4500.000000 80.269 166.2134
4550.000000 80.124 165.2041
4620.000000 79.902 163.8651
4680.000000 79.694 162.7953
4750.000000 79.432 161.6599
4820.000000 79.150 160.6695
4870.000000 78.938 160.0630
4940.000000 78.625 159.3757
5000.000000 78.346 158.9530
5080.000000 77.971 158.6078
5150.000000 77.646 158.5259
5220.000000 77.327 158.6468
5300.000000 76.973 159.0094
5380.000000 76.635 159.5820
5450.000000 76.353 160.2306
5520.000000 76.084 161.0045
5600.000000 75.794 162.0340
5700.000000 75.461 163.5197
5800.000000 75.162 165.1887
5900.000000 74.900 167.0089
6000.000000 74.675 168.9571
6080.000000 74.522 170.5966
6150.000000 74.410 172.0839
6220.000000 74.319 173.6142
