* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 22, 2023 12:56:37 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oneplus Nord Buds L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 93.160 -111.0769
20.600000 93.227 -111.4009
20.900000 93.307 -111.7279
21.200001 93.390 -112.0378
21.400000 93.446 -112.2488
21.799999 93.554 -112.7047
22.000000 93.601 -112.9449
22.400000 93.679 -113.4031
22.700001 93.725 -113.6865
23.000000 93.768 -113.9046
23.299999 93.817 -114.0850
23.600000 93.876 -114.2869
24.000000 93.967 -114.6936
24.299999 94.034 -115.1374
24.700001 94.105 -115.8632
25.000000 94.139 -116.4230
25.400000 94.162 -117.0619
25.799999 94.178 -117.5136
26.200001 94.204 -117.8281
26.500000 94.231 -118.0478
26.900000 94.272 -118.4072
27.200001 94.299 -118.7498
27.600000 94.325 -119.2887
28.000000 94.341 -119.8779
28.500000 94.358 -120.6221
29.000000 94.374 -121.3119
29.500000 94.385 -121.8684
30.000000 94.391 -122.2353
30.400000 94.392 -122.4180
30.700001 94.389 -122.5313
31.100000 94.375 -122.6982
31.500000 94.346 -122.9048
32.000000 94.291 -123.1949
32.500000 94.233 -123.4892
33.000000 94.191 -123.8131
33.500000 94.160 -124.1988
34.000000 94.124 -124.5881
34.500000 94.076 -124.8531
35.000000 94.027 -124.9315
35.500000 93.991 -124.9001
36.000000 93.969 -124.8915
36.500000 93.947 -124.9661
37.000000 93.916 -125.0778
37.500000 93.874 -125.1466
38.200001 93.806 -125.1064
38.700001 93.757 -125.0153
39.500000 93.690 -124.9309
40.000000 93.653 -124.9778
40.599998 93.610 -125.0778
41.200001 93.570 -125.0725
41.799999 93.538 -124.8595
42.500000 93.505 -124.4283
43.099998 93.460 -124.0562
43.700001 93.381 -123.7403
44.400002 93.267 -123.3625
45.000000 93.195 -122.9932
45.500000 93.175 -122.7170
46.200001 93.184 -122.4881
46.799999 93.177 -122.3762
47.500000 93.120 -122.1214
48.200001 93.041 -121.6586
48.700001 92.997 -121.2987
49.400002 92.961 -120.8750
50.000000 92.945 -120.5456
50.799999 92.930 -120.0523
51.500000 92.912 -119.6489
52.200001 92.873 -119.3538
53.000000 92.804 -118.9917
53.799999 92.746 -118.4326
54.500000 92.722 -117.9303
55.200001 92.705 -117.6067
56.000000 92.676 -117.4258
57.000000 92.639 -117.1730
58.000000 92.601 -116.6540
59.000000 92.543 -115.9662
60.000000 92.474 -115.5401
60.799999 92.405 -115.2826
61.500000 92.348 -114.8513
62.200001 92.312 -114.2716
63.000000 92.286 -113.7363
64.000000 92.239 -113.3799
65.000000 92.178 -112.9725
66.000000 92.116 -112.2582
67.000000 92.055 -111.5429
68.000000 91.987 -111.1189
69.000000 91.909 -110.7721
70.000000 91.817 -110.2230
71.000000 91.730 -109.6638
72.000000 91.665 -109.4163
73.000000 91.618 -109.2069
74.000000 91.539 -108.7424
75.000000 91.359 -107.7704
76.199997 91.165 -106.4838
77.500000 91.067 -106.2013
78.800003 91.018 -105.6518
80.000000 90.942 -104.8413
81.199997 90.778 -103.7671
82.500000 90.606 -102.3783
83.800003 90.474 -101.1561
85.000000 90.366 -100.2298
86.199997 90.271 -99.3768
87.500000 90.164 -98.3643
88.500000 90.053 -97.1808
90.000000 89.873 -94.8685
91.199997 89.751 -93.9867
92.500000 89.596 -93.6387
93.800003 89.478 -92.6505
95.000000 89.392 -91.4048
96.199997 89.299 -90.2363
97.500000 89.205 -89.0272
98.800003 89.134 -87.7409
100.000000 89.058 -86.3540
101.500000 88.929 -84.5840
103.000000 88.775 -83.0281
104.400002 88.632 -81.5554
106.000000 88.493 -79.7433
107.500000 88.397 -78.0227
109.000000 88.307 -76.4352
110.599998 88.207 -74.8523
112.000000 88.109 -73.2868
113.800003 87.961 -71.5863
115.000000 87.882 -70.6339
117.199997 87.796 -67.5429
118.000000 87.763 -66.3409
120.599998 87.623 -63.3520
122.000000 87.539 -61.8279
124.099998 87.424 -59.5280
125.000000 87.383 -58.5918
126.500000 87.313 -56.8999
128.000000 87.230 -55.0616
131.500000 87.072 -51.2197
132.000000 87.059 -50.6189
134.000000 87.017 -48.1827
136.000000 86.924 -45.9537
138.000000 86.795 -43.6209
140.000000 86.693 -41.2596
143.000000 86.623 -38.2342
145.000000 86.539 -35.8538
147.500000 86.453 -32.6998
150.000000 86.391 -30.0996
152.500000 86.317 -27.3456
155.000000 86.262 -24.2816
157.500000 86.238 -21.3552
160.000000 86.197 -18.9224
162.500000 86.125 -16.4223
165.000000 86.015 -13.6557
167.500000 85.928 -10.7130
170.000000 85.874 -7.6639
172.500000 85.831 -4.7296
175.000000 85.788 -1.9181
177.500000 85.741 0.9345
180.000000 85.698 3.8804
182.500000 85.667 6.9436
185.000000 85.676 10.0805
187.500000 85.719 13.0278
190.000000 85.796 15.6136
192.500000 85.861 17.9089
195.000000 85.910 20.2407
197.500000 85.954 22.6475
200.000000 85.961 25.0640
203.000000 85.911 27.8973
206.000000 85.871 30.6471
209.000000 85.885 33.3494
212.000000 85.910 36.3348
214.000000 85.907 38.4253
218.000000 85.876 42.1874
220.000000 85.883 43.9831
224.000000 85.896 47.9299
227.000000 85.891 50.8457
230.000000 85.899 53.6954
233.000000 85.900 56.5780
236.000000 85.905 59.4583
240.000000 85.917 63.3520
243.000000 85.920 66.2870
247.000000 85.939 70.5040
250.000000 86.004 73.7733
254.000000 86.163 77.8126
258.000000 86.342 81.2304
262.000000 86.472 84.1950
265.000000 86.528 86.3434
269.000000 86.580 89.2683
272.000000 86.611 91.5166
276.000000 86.655 94.5984
280.000000 86.693 97.7179
285.000000 86.745 101.6450
290.000000 86.786 105.5819
295.000000 86.813 109.3610
300.000000 86.845 113.1323
304.000000 86.884 116.2135
307.000000 86.915 118.5456
311.000000 86.947 121.6328
315.000000 86.976 124.6000
320.000000 87.017 128.2839
325.000000 87.047 131.9774
330.000000 87.080 135.6790
335.000000 87.115 139.4081
340.000000 87.152 143.1380
345.000000 87.191 146.8388
350.000000 87.228 150.5112
355.000000 87.264 154.1171
360.000000 87.299 157.7242
365.000000 87.341 161.3659
370.000000 87.384 164.9848
375.000000 87.428 168.5837
382.000000 87.494 173.5540
387.000000 87.543 176.9985
395.000000 87.623 -177.5225
400.000000 87.678 -174.0945
406.000000 87.746 -169.9914
412.000000 87.816 -165.9008
418.000000 87.891 -161.8993
425.000000 87.960 -157.2872
431.000000 88.023 -153.3963
437.000000 88.096 -149.5129
444.000000 88.177 -145.0702
450.000000 88.248 -141.3434
455.000000 88.307 -138.2812
462.000000 88.387 -134.0377
468.000000 88.452 -130.4163
475.000000 88.524 -126.2635
482.000000 88.590 -122.1699
487.000000 88.635 -119.2763
494.000000 88.697 -115.2507
500.000000 88.751 -111.8231
508.000000 88.820 -107.3607
515.000000 88.870 -103.4523
522.000000 88.928 -99.5806
530.000000 88.984 -95.3310
538.000000 89.020 -91.0116
545.000000 89.056 -87.2301
552.000000 89.089 -83.5605
560.000000 89.117 -79.4599
570.000000 89.137 -74.2982
580.000000 89.126 -69.1687
590.000000 89.111 -64.1599
600.000000 89.106 -59.1155
608.000000 89.092 -54.9852
615.000000 89.071 -51.4282
622.000000 89.047 -47.8779
630.000000 89.015 -43.8093
640.000000 88.969 -38.7352
650.000000 88.923 -33.6217
660.000000 88.871 -28.4541
670.000000 88.817 -23.3041
680.000000 88.760 -18.2253
690.000000 88.688 -13.0597
700.000000 88.619 -7.8269
710.000000 88.556 -2.6171
720.000000 88.498 2.5773
730.000000 88.438 7.8148
740.000000 88.368 13.0634
750.000000 88.298 18.2789
762.000000 88.234 24.5803
775.000000 88.168 31.4583
788.000000 88.114 38.2666
800.000000 88.059 44.5321
812.000000 88.001 50.8343
825.000000 87.957 57.6279
838.000000 87.926 64.4490
850.000000 87.902 70.8246
862.000000 87.888 77.1783
875.000000 87.875 83.9466
885.000000 87.854 89.0563
900.000000 87.812 96.6271
912.000000 87.806 102.5853
925.000000 87.831 109.1205
938.000000 87.863 115.8980
950.000000 87.884 121.8878
962.000000 87.908 127.7177
975.000000 87.936 134.1211
988.000000 87.955 140.4848
1000.000000 87.971 146.3442
1015.000000 88.038 153.3679
1030.000000 88.102 160.1044
1044.000000 88.128 166.6555
1060.000000 88.183 174.2724
1075.000000 88.260 -178.6908
1090.000000 88.337 -171.9507
1106.000000 88.433 -164.9344
1120.000000 88.509 -158.6815
1138.000000 88.593 -150.7444
1150.000000 88.648 -145.6053
1172.000000 88.749 -136.1602
1180.000000 88.800 -132.7345
1206.000000 88.946 -121.8885
1220.000000 89.000 -115.8965
1241.000000 89.106 -107.2986
1250.000000 89.157 -103.8298
1265.000000 89.236 -98.0507
1280.000000 89.310 -92.1420
1315.000000 89.483 -78.2688
1320.000000 89.509 -76.3545
1340.000000 89.614 -68.5500
1360.000000 89.712 -60.9596
1380.000000 89.810 -53.5398
1400.000000 89.923 -46.1038
1430.000000 90.103 -34.9395
1450.000000 90.210 -27.6301
1475.000000 90.364 -18.8007
1500.000000 90.501 -10.1291
1525.000000 90.633 -1.1240
1550.000000 90.781 7.4277
1575.000000 90.893 15.7113
1600.000000 91.023 24.1442
1625.000000 91.184 32.3221
1650.000000 91.381 40.2704
1675.000000 91.582 48.2465
1700.000000 91.755 56.0702
1725.000000 91.905 63.6158
1750.000000 92.036 71.1938
1775.000000 92.197 78.7261
1800.000000 92.368 85.8820
1825.000000 92.509 93.2234
1850.000000 92.611 100.1796
1875.000000 92.751 106.9122
1900.000000 92.951 113.6117
1925.000000 93.138 120.2720
1950.000000 93.307 126.9434
1975.000000 93.452 133.3734
2000.000000 93.553 139.6140
2030.000000 93.674 147.1747
2060.000000 93.828 154.3837
2090.000000 93.958 161.3982
2120.000000 94.062 168.2855
2140.000000 94.131 172.9553
2180.000000 94.282 -177.9254
2200.000000 94.349 -173.5530
2240.000000 94.428 -164.7031
2270.000000 94.513 -158.3855
2300.000000 94.621 -152.2083
2330.000000 94.737 -145.8820
2360.000000 94.846 -139.9033
2400.000000 94.921 -132.2239
2430.000000 94.940 -126.5009
2470.000000 94.970 -118.7458
2500.000000 94.955 -112.9308
2540.000000 94.930 -105.4739
2580.000000 94.895 -98.3508
2620.000000 94.856 -90.9725
2650.000000 94.827 -85.5374
2690.000000 94.716 -78.1941
2720.000000 94.674 -72.4685
2760.000000 94.689 -65.0912
2800.000000 94.648 -57.6978
2850.000000 94.602 -48.7804
2900.000000 94.570 -40.0338
2950.000000 94.488 -31.6062
3000.000000 94.427 -23.5081
3040.000000 94.398 -16.7351
3070.000000 94.361 -11.7122
3110.000000 94.297 -5.2078
3150.000000 94.238 1.3137
3200.000000 94.188 9.5101
3250.000000 94.154 17.5388
3300.000000 94.085 25.2089
3350.000000 94.068 32.4703
3400.000000 94.133 39.6957
3450.000000 94.154 46.7620
3500.000000 94.127 53.3652
3550.000000 94.048 59.8560
3600.000000 94.014 66.3947
3650.000000 94.026 72.8159
3700.000000 94.013 79.0195
3750.000000 93.997 85.0071
3820.000000 93.952 93.0201
3870.000000 93.929 98.6008
3950.000000 93.826 107.2107
4000.000000 93.711 112.4424
4060.000000 93.575 118.7836
4120.000000 93.471 125.1040
4180.000000 93.363 131.6626
4250.000000 93.272 139.2500
4310.000000 93.228 145.4639
4370.000000 93.238 151.4332
4440.000000 93.295 158.2684
4500.000000 93.307 163.9027
4550.000000 93.303 168.3738
4620.000000 93.360 174.3685
4680.000000 93.453 179.4032
4750.000000 93.565 -174.9922
4820.000000 93.659 -169.8119
4870.000000 93.719 -166.4729
4940.000000 93.805 -162.1552
5000.000000 93.855 -158.7283
5080.000000 93.854 -153.9103
5150.000000 93.891 -148.7961
5220.000000 94.146 -143.5208
5300.000000 94.617 -138.8679
5380.000000 95.046 -135.5188
5450.000000 95.438 -133.0383
