* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 22, 2023 12:40:28 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Oneplus Nord Buds R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.707 -108.3345
20.600000 100.771 -108.8274
20.900000 100.843 -109.3600
21.200001 100.916 -109.8579
21.400000 100.965 -110.1661
21.799999 101.071 -110.7411
22.000000 101.127 -111.0198
22.400000 101.238 -111.5874
22.700001 101.316 -112.0324
23.000000 101.385 -112.4930
23.299999 101.446 -112.9638
23.600000 101.501 -113.4444
24.000000 101.571 -114.1169
24.299999 101.624 -114.6654
24.700001 101.695 -115.4729
25.000000 101.746 -116.1227
25.400000 101.804 -116.9892
25.799999 101.851 -117.7699
26.200001 101.890 -118.4045
26.500000 101.918 -118.7900
26.900000 101.958 -119.2454
27.200001 101.987 -119.5978
27.600000 102.020 -120.1411
28.000000 102.037 -120.7838
28.500000 102.036 -121.6639
29.000000 102.017 -122.5067
29.500000 101.998 -123.2172
30.000000 101.990 -123.7718
30.400000 101.994 -124.1301
30.700001 102.002 -124.3768
31.100000 102.017 -124.7162
31.500000 102.031 -125.1059
32.000000 102.034 -125.6726
32.500000 102.012 -126.2519
33.000000 101.965 -126.7255
33.500000 101.909 -127.0599
34.000000 101.856 -127.3568
34.500000 101.800 -127.7422
35.000000 101.729 -128.2019
35.500000 101.647 -128.5780
36.000000 101.583 -128.7551
36.500000 101.559 -128.8103
37.000000 101.560 -128.9263
37.500000 101.543 -129.1687
38.200001 101.450 -129.5007
38.700001 101.362 -129.6067
39.500000 101.267 -129.7279
40.000000 101.239 -129.8661
40.599998 101.217 -129.9803
41.200001 101.198 -129.9630
41.799999 101.166 -129.9181
42.500000 101.085 -129.9025
43.099998 100.999 -129.8251
43.700001 100.943 -129.6844
44.400002 100.930 -129.5872
45.000000 100.927 -129.5503
45.500000 100.909 -129.4749
46.200001 100.857 -129.3063
46.799999 100.788 -129.1870
47.500000 100.693 -129.0966
48.200001 100.617 -129.0041
48.700001 100.586 -128.9171
49.400002 100.570 -128.7349
50.000000 100.568 -128.5175
50.799999 100.551 -128.2393
51.500000 100.502 -128.0629
52.200001 100.433 -127.8965
53.000000 100.368 -127.7030
53.799999 100.335 -127.5879
54.500000 100.313 -127.6238
55.200001 100.273 -127.7555
56.000000 100.202 -127.7497
57.000000 100.122 -127.2387
58.000000 100.011 -126.4406
59.000000 99.865 -125.3335
60.000000 99.843 -125.0572
60.799999 99.816 -125.8959
61.500000 99.714 -126.4409
62.200001 99.606 -126.2505
63.000000 99.549 -125.6451
64.000000 99.480 -125.0998
65.000000 99.345 -124.3810
66.000000 99.199 -123.6242
67.000000 99.064 -122.9347
68.000000 98.998 -121.9873
69.000000 98.964 -120.6513
70.000000 98.991 -119.3963
71.000000 99.042 -119.6268
72.000000 99.012 -120.1545
73.000000 99.056 -119.7063
74.000000 99.086 -119.3604
75.000000 98.920 -119.1637
76.199997 98.609 -119.0855
77.500000 98.415 -119.2651
78.800003 98.381 -119.2369
80.000000 98.282 -118.5899
81.199997 98.138 -117.9940
82.500000 97.982 -117.6602
83.800003 97.830 -116.9521
85.000000 97.683 -116.2128
86.199997 97.553 -115.6687
87.500000 97.418 -114.9740
88.500000 97.279 -114.3079
90.000000 97.012 -113.2931
91.199997 96.877 -112.3333
92.500000 96.806 -111.2536
93.800003 96.681 -109.9477
95.000000 96.506 -108.7597
96.199997 96.325 -107.8403
97.500000 96.156 -107.1375
98.800003 95.996 -106.3452
100.000000 95.847 -105.3105
101.500000 95.681 -103.8763
103.000000 95.523 -102.4577
104.400002 95.359 -100.9630
106.000000 95.154 -99.3067
107.500000 94.967 -97.9077
109.000000 94.787 -96.3326
110.599998 94.584 -94.3776
112.000000 94.435 -92.6813
113.800003 94.291 -90.0911
115.000000 94.213 -88.2895
117.199997 94.162 -85.6192
118.000000 94.175 -84.6897
120.599998 94.157 -82.2732
122.000000 94.098 -81.1404
124.099998 94.012 -79.3691
125.000000 93.956 -78.6522
126.500000 93.841 -77.3936
128.000000 93.740 -76.1636
131.500000 93.551 -72.5712
132.000000 93.522 -72.0284
134.000000 93.416 -70.2212
136.000000 93.286 -68.6742
138.000000 93.159 -66.8203
140.000000 93.024 -64.6880
143.000000 92.855 -61.8524
145.000000 92.747 -59.9384
147.500000 92.595 -57.5153
150.000000 92.444 -54.9565
152.500000 92.309 -52.4370
155.000000 92.209 -49.9238
157.500000 92.109 -47.5331
160.000000 91.980 -45.3036
162.500000 91.826 -42.9334
165.000000 91.663 -40.2517
167.500000 91.525 -37.4090
170.000000 91.415 -34.6011
172.500000 91.317 -31.9781
175.000000 91.231 -29.4284
177.500000 91.148 -26.8862
180.000000 91.065 -24.3612
182.500000 90.996 -21.9747
185.000000 90.969 -19.5890
187.500000 90.948 -16.9781
190.000000 90.896 -14.3858
192.500000 90.843 -11.9012
195.000000 90.793 -9.3896
197.500000 90.728 -6.9332
200.000000 90.658 -4.6473
203.000000 90.594 -1.8964
206.000000 90.530 0.9707
209.000000 90.461 3.8966
212.000000 90.392 6.8418
214.000000 90.351 8.7351
218.000000 90.302 12.4694
220.000000 90.279 14.4287
224.000000 90.211 18.0980
227.000000 90.179 20.7831
230.000000 90.144 23.5194
233.000000 90.111 26.2075
236.000000 90.082 28.8922
240.000000 90.037 32.4300
243.000000 90.009 35.0965
247.000000 89.973 38.6113
250.000000 89.944 41.2506
254.000000 89.908 44.7560
258.000000 89.872 48.2037
262.000000 89.838 51.6224
265.000000 89.823 54.1565
269.000000 89.807 57.4424
272.000000 89.791 59.8697
276.000000 89.769 63.1121
280.000000 89.745 66.3429
285.000000 89.714 70.3696
290.000000 89.683 74.2999
295.000000 89.647 78.1785
300.000000 89.609 82.0876
304.000000 89.587 85.2173
307.000000 89.574 87.5344
311.000000 89.551 90.6002
315.000000 89.518 93.6546
320.000000 89.469 97.4734
325.000000 89.422 101.3113
330.000000 89.385 105.1078
335.000000 89.355 108.8828
340.000000 89.323 112.6486
345.000000 89.287 116.4691
350.000000 89.252 120.2503
355.000000 89.228 123.9417
360.000000 89.213 127.6612
365.000000 89.188 131.3995
370.000000 89.164 135.1036
375.000000 89.142 138.7979
382.000000 89.110 143.9544
387.000000 89.094 147.6292
395.000000 89.071 153.3863
400.000000 89.055 156.9967
406.000000 89.041 161.3038
412.000000 89.035 165.5924
418.000000 89.045 169.8975
425.000000 89.065 174.9079
431.000000 89.084 179.1822
437.000000 89.124 -176.6691
444.000000 89.190 -171.9761
450.000000 89.244 -168.0792
455.000000 89.283 -164.9281
462.000000 89.327 -160.5815
468.000000 89.353 -156.9044
475.000000 89.374 -152.7095
482.000000 89.389 -148.5463
487.000000 89.396 -145.5869
494.000000 89.399 -141.4747
500.000000 89.399 -137.9758
508.000000 89.397 -133.3476
515.000000 89.391 -129.3377
522.000000 89.383 -125.3579
530.000000 89.376 -120.8436
538.000000 89.364 -116.3970
545.000000 89.342 -112.4964
552.000000 89.310 -108.5695
560.000000 89.270 -104.1694
570.000000 89.216 -98.7777
580.000000 89.173 -93.3236
590.000000 89.096 -88.0002
600.000000 89.011 -82.5453
608.000000 88.949 -78.2092
615.000000 88.888 -74.4738
622.000000 88.820 -70.7365
630.000000 88.744 -66.4596
640.000000 88.652 -61.1339
650.000000 88.554 -55.7379
660.000000 88.444 -50.1892
670.000000 88.331 -44.6676
680.000000 88.228 -39.2637
690.000000 88.121 -33.8565
700.000000 88.022 -28.3932
710.000000 87.930 -22.8671
720.000000 87.819 -17.3639
730.000000 87.718 -11.8162
740.000000 87.639 -6.2541
750.000000 87.561 -0.6943
762.000000 87.432 5.8721
775.000000 87.295 13.0873
788.000000 87.192 20.2421
800.000000 87.118 26.8754
812.000000 87.045 33.5536
825.000000 86.959 40.7650
838.000000 86.869 47.8019
850.000000 86.807 54.3779
862.000000 86.767 60.8977
875.000000 86.711 67.9302
885.000000 86.673 73.3062
900.000000 86.629 81.3595
912.000000 86.600 87.8013
925.000000 86.577 94.6956
938.000000 86.569 101.4829
950.000000 86.544 107.7327
962.000000 86.506 114.0127
975.000000 86.488 120.7832
988.000000 86.482 127.2184
1000.000000 86.472 133.1902
1015.000000 86.478 140.6897
1030.000000 86.518 148.1406
1044.000000 86.562 155.0845
1060.000000 86.566 162.9973
1075.000000 86.573 170.4899
1090.000000 86.614 177.9254
1106.000000 86.661 -174.0936
1120.000000 86.695 -167.2806
1138.000000 86.770 -158.7250
1150.000000 86.829 -153.0104
1172.000000 86.963 -142.6992
1180.000000 87.025 -138.9337
1206.000000 87.296 -126.8939
1220.000000 87.468 -121.0032
1241.000000 87.684 -112.5242
1250.000000 87.754 -108.8686
1265.000000 87.841 -102.9561
1280.000000 87.905 -97.2192
1315.000000 87.998 -83.8192
1320.000000 88.013 -81.8890
1340.000000 88.064 -73.9785
1360.000000 88.117 -66.0248
1380.000000 88.176 -58.2479
1400.000000 88.250 -50.5599
1430.000000 88.318 -39.0413
1450.000000 88.362 -31.2913
1475.000000 88.446 -21.8547
1500.000000 88.522 -12.4799
1525.000000 88.562 -3.1754
1550.000000 88.584 6.1910
1575.000000 88.596 16.0466
1600.000000 88.717 26.2770
1625.000000 88.914 36.4985
1650.000000 89.174 46.4347
1675.000000 89.485 55.6314
1700.000000 89.740 64.4938
1725.000000 89.977 73.2914
1750.000000 90.232 82.0142
1775.000000 90.586 91.0720
1800.000000 91.060 100.1731
1825.000000 91.568 108.6068
1850.000000 92.099 115.9982
1875.000000 92.582 122.4014
1900.000000 92.975 127.9460
1925.000000 93.293 133.3861
1950.000000 93.560 139.0906
1975.000000 93.796 144.7378
2000.000000 94.030 150.4097
2030.000000 94.310 157.2737
2060.000000 94.578 163.8354
2090.000000 94.820 170.2400
2120.000000 95.019 176.1987
2140.000000 95.113 179.9535
2180.000000 95.250 -172.2115
2200.000000 95.323 -168.0846
2240.000000 95.477 -159.6030
2270.000000 95.591 -153.7756
2300.000000 95.695 -148.0123
2330.000000 95.780 -142.3516
2360.000000 95.876 -136.9264
2400.000000 95.964 -129.7262
2430.000000 95.991 -124.3678
2470.000000 95.967 -117.2993
2500.000000 95.934 -111.8989
2540.000000 95.931 -104.9823
2580.000000 95.902 -98.0155
2620.000000 95.819 -90.9491
2650.000000 95.784 -85.6847
2690.000000 95.749 -78.6412
2720.000000 95.700 -73.3313
2760.000000 95.618 -66.4111
2800.000000 95.525 -59.5745
2850.000000 95.453 -50.7644
2900.000000 95.373 -42.3799
2950.000000 95.270 -34.2982
3000.000000 95.177 -25.7120
3040.000000 95.150 -19.3354
3070.000000 95.102 -14.7516
3110.000000 95.026 -8.5013
3150.000000 94.987 -2.3008
3200.000000 94.952 5.0908
3250.000000 94.852 12.6453
3300.000000 94.780 20.1088
3350.000000 94.717 27.1010
3400.000000 94.647 34.1412
3450.000000 94.540 41.2571
3500.000000 94.451 48.1121
3550.000000 94.370 54.8990
3600.000000 94.270 61.2853
3650.000000 94.162 67.6692
3700.000000 94.094 74.2085
3750.000000 94.044 80.2225
3820.000000 93.943 88.3367
3870.000000 93.867 94.4844
3950.000000 93.745 103.9194
4000.000000 93.701 109.6553
4060.000000 93.637 116.2677
4120.000000 93.572 122.6879
4180.000000 93.492 128.9319
4250.000000 93.428 136.0123
4310.000000 93.412 141.9336
4370.000000 93.364 147.6537
4440.000000 93.301 154.3204
4500.000000 93.309 159.9875
4550.000000 93.337 164.2815
4620.000000 93.347 169.8518
4680.000000 93.337 174.4116
4750.000000 93.312 179.5352
4820.000000 93.276 -175.4042
4870.000000 93.242 -171.6764
4940.000000 93.234 -166.2141
5000.000000 93.302 -161.6459
5080.000000 93.515 -155.8549
5150.000000 93.715 -151.3108
5220.000000 93.920 -147.3385
5300.000000 94.139 -143.3633
5380.000000 94.354 -139.7861
5450.000000 94.581 -137.0460
