* Measurement data measured by REW V5.20.13
* Source: /home/tedthepraimortis/Squig-Link/data/Poke DT200 L.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 13, 2023 6:48:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /home/tedthepraimortis/Squig-Link/data/Poke DT200 L.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Poke DT200 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.726 -144.1525
20.299999 82.747 -144.6606
20.600000 82.774 -145.3325
20.900000 82.802 -146.0136
21.200001 82.828 -146.6871
21.400000 82.845 -147.1307
21.799999 82.876 -148.0028
22.000000 82.890 -148.4299
22.400000 82.917 -149.2648
22.700001 82.937 -149.8746
23.000000 82.956 -150.4725
23.299999 82.974 -151.0611
23.600000 82.991 -151.6422
24.000000 83.012 -152.4052
24.299999 83.026 -152.9662
24.700001 83.042 -153.6950
25.000000 83.053 -154.2251
25.400000 83.067 -154.9107
25.799999 83.081 -155.5768
26.200001 83.094 -156.2293
26.500000 83.103 -156.7119
26.900000 83.115 -157.3467
27.200001 83.123 -157.8155
27.600000 83.133 -158.4292
28.000000 83.142 -159.0298
28.500000 83.151 -159.7647
29.000000 83.159 -160.4846
29.500000 83.165 -161.1895
30.000000 83.170 -161.8766
30.400000 83.173 -162.4127
30.700001 83.174 -162.8071
31.100000 83.175 -163.3237
31.500000 83.176 -163.8305
32.000000 83.176 -164.4507
32.500000 83.175 -165.0558
33.000000 83.174 -165.6465
33.500000 83.172 -166.2245
34.000000 83.169 -166.7911
34.500000 83.165 -167.3463
35.000000 83.160 -167.8895
35.500000 83.155 -168.4209
36.000000 83.148 -168.9403
36.500000 83.141 -169.4477
37.000000 83.133 -169.9441
37.500000 83.124 -170.4315
38.200001 83.111 -171.0986
38.700001 83.100 -171.5590
39.500000 83.083 -172.2661
40.000000 83.074 -172.6995
40.599998 83.063 -173.2212
41.200001 83.050 -173.7419
41.799999 83.034 -174.2496
42.500000 83.016 -174.8186
43.099998 83.000 -175.2920
43.700001 82.984 -175.7571
44.400002 82.964 -176.2881
45.000000 82.947 -176.7310
45.500000 82.932 -177.0917
46.200001 82.911 -177.5853
46.799999 82.893 -177.9980
47.500000 82.871 -178.4686
48.200001 82.849 -178.9301
48.700001 82.832 -179.2535
49.400002 82.808 -179.6946
50.000000 82.788 179.9386
50.799999 82.760 179.4607
51.500000 82.736 179.0504
52.200001 82.712 178.6485
53.000000 82.684 178.2001
53.799999 82.655 177.7645
54.500000 82.630 177.3940
55.200001 82.604 177.0320
56.000000 82.575 176.6269
57.000000 82.538 176.1308
58.000000 82.500 175.6483
59.000000 82.462 175.1826
60.000000 82.424 174.7336
60.799999 82.394 174.3874
61.500000 82.367 174.0885
62.200001 82.340 173.7945
63.000000 82.310 173.4698
64.000000 82.272 173.0741
65.000000 82.233 172.6890
66.000000 82.194 172.3203
67.000000 82.155 171.9572
68.000000 82.115 171.6085
69.000000 82.077 171.2694
70.000000 82.038 170.9344
71.000000 81.999 170.6143
72.000000 81.961 170.3035
73.000000 81.923 170.0006
74.000000 81.884 169.7072
75.000000 81.845 169.4196
76.199997 81.798 169.0909
77.500000 81.749 168.7471
78.800003 81.699 168.4104
80.000000 81.652 168.1190
81.199997 81.607 167.8336
82.500000 81.559 167.5284
83.800003 81.511 167.2310
85.000000 81.466 166.9631
86.199997 81.421 166.7105
87.500000 81.373 166.4484
88.500000 81.336 166.2514
90.000000 81.280 165.9719
91.199997 81.235 165.7628
92.500000 81.188 165.5476
93.800003 81.142 165.3389
95.000000 81.099 165.1454
96.199997 81.055 164.9575
97.500000 81.009 164.7700
98.800003 80.964 164.5909
100.000000 80.922 164.4294
101.500000 80.871 164.2447
103.000000 80.824 164.0618
104.400002 80.779 163.8734
106.000000 80.724 163.6713
107.500000 80.673 163.5153
109.000000 80.625 163.3667
110.599998 80.576 163.2021
112.000000 80.532 163.0556
113.800003 80.475 162.8700
115.000000 80.435 162.7598
117.199997 80.365 162.5995
118.000000 80.342 162.5446
120.599998 80.271 162.3264
122.000000 80.228 162.1861
124.099998 80.154 162.0112
125.000000 80.121 161.9704
126.500000 80.070 161.9458
128.000000 80.028 161.9359
131.500000 79.957 161.7929
132.000000 79.947 161.7521
134.000000 79.899 161.5444
136.000000 79.839 161.3272
138.000000 79.769 161.1583
140.000000 79.697 161.0619
143.000000 79.597 161.0214
145.000000 79.536 161.0234
147.500000 79.465 161.0319
150.000000 79.398 161.0396
152.500000 79.334 161.0422
155.000000 79.276 161.0434
157.500000 79.224 161.0695
160.000000 79.180 161.1544
162.500000 79.140 161.3120
165.000000 79.102 161.5482
167.500000 79.061 161.8574
170.000000 79.011 162.1638
172.500000 78.959 162.3231
175.000000 78.933 162.2959
177.500000 78.941 162.2299
180.000000 78.959 162.2549
182.500000 78.956 162.2845
185.000000 78.932 162.1673
187.500000 78.906 161.9294
190.000000 78.882 161.7158
192.500000 78.849 161.5721
195.000000 78.806 161.4489
197.500000 78.762 161.3312
200.000000 78.721 161.2466
203.000000 78.672 161.1822
206.000000 78.624 161.1210
209.000000 78.577 161.0640
212.000000 78.531 161.0107
214.000000 78.500 160.9710
218.000000 78.436 160.8918
220.000000 78.404 160.8610
224.000000 78.340 160.8177
227.000000 78.292 160.7972
230.000000 78.244 160.7868
233.000000 78.196 160.7844
236.000000 78.149 160.7900
240.000000 78.087 160.8110
243.000000 78.042 160.8378
247.000000 77.983 160.8866
250.000000 77.941 160.9313
254.000000 77.886 160.9992
258.000000 77.835 161.0704
262.000000 77.787 161.1380
265.000000 77.753 161.1832
269.000000 77.708 161.2352
272.000000 77.674 161.2678
276.000000 77.629 161.3045
280.000000 77.584 161.3372
285.000000 77.526 161.3800
290.000000 77.468 161.4308
295.000000 77.410 161.4891
300.000000 77.352 161.5551
304.000000 77.307 161.6129
307.000000 77.273 161.6586
311.000000 77.229 161.7224
315.000000 77.185 161.7896
320.000000 77.131 161.8782
325.000000 77.077 161.9704
330.000000 77.025 162.0648
335.000000 76.974 162.1619
340.000000 76.924 162.2619
345.000000 76.874 162.3641
350.000000 76.824 162.4677
355.000000 76.775 162.5729
360.000000 76.726 162.6812
365.000000 76.678 162.7932
370.000000 76.630 162.9089
375.000000 76.583 163.0282
382.000000 76.519 163.1995
387.000000 76.473 163.3240
395.000000 76.402 163.5269
400.000000 76.358 163.6571
406.000000 76.306 163.8153
412.000000 76.254 163.9745
418.000000 76.202 164.1373
425.000000 76.143 164.3318
431.000000 76.093 164.5005
437.000000 76.043 164.6700
444.000000 75.985 164.8717
450.000000 75.936 165.0521
455.000000 75.896 165.2057
462.000000 75.841 165.4213
468.000000 75.795 165.6092
475.000000 75.741 165.8356
482.000000 75.687 166.0681
487.000000 75.649 166.2376
494.000000 75.596 166.4803
500.000000 75.552 166.6922
508.000000 75.494 166.9785
515.000000 75.444 167.2327
522.000000 75.395 167.4912
530.000000 75.339 167.7910
538.000000 75.285 168.0954
545.000000 75.238 168.3672
552.000000 75.192 168.6443
560.000000 75.140 168.9670
570.000000 75.076 169.3787
580.000000 75.014 169.7994
590.000000 74.953 170.2306
600.000000 74.893 170.6734
608.000000 74.847 171.0332
615.000000 74.807 171.3493
622.000000 74.769 171.6678
630.000000 74.726 172.0380
640.000000 74.674 172.5105
650.000000 74.623 172.9924
660.000000 74.574 173.4822
670.000000 74.527 173.9802
680.000000 74.482 174.4862
690.000000 74.439 174.9999
700.000000 74.397 175.5199
710.000000 74.358 176.0454
720.000000 74.321 176.5775
730.000000 74.286 177.1165
740.000000 74.252 177.6620
750.000000 74.221 178.2138
762.000000 74.186 178.8842
775.000000 74.151 179.6212
788.000000 74.120 -179.6306
800.000000 74.094 -178.9306
812.000000 74.073 -178.2215
825.000000 74.054 -177.4438
838.000000 74.040 -176.6577
850.000000 74.031 -175.9268
862.000000 74.027 -175.1943
875.000000 74.028 -174.4034
885.000000 74.033 -173.7988
900.000000 74.045 -172.9000
912.000000 74.060 -172.1901
925.000000 74.081 -171.4328
938.000000 74.106 -170.6894
950.000000 74.134 -170.0175
962.000000 74.165 -169.3617
975.000000 74.202 -168.6715
988.000000 74.243 -168.0043
1000.000000 74.284 -167.4099
1015.000000 74.338 -166.6967
1030.000000 74.395 -166.0180
1044.000000 74.451 -165.4169
1060.000000 74.517 -164.7681
1075.000000 74.580 -164.1953
1090.000000 74.644 -163.6551
1106.000000 74.712 -163.1129
1120.000000 74.771 -162.6657
1138.000000 74.845 -162.1243
1150.000000 74.894 -161.7825
1172.000000 74.982 -161.1903
1180.000000 75.013 -160.9846
1206.000000 75.111 -160.3444
1220.000000 75.162 -160.0149
1241.000000 75.236 -159.5375
1250.000000 75.268 -159.3376
1265.000000 75.318 -159.0091
1280.000000 75.368 -158.6846
1315.000000 75.479 -157.9379
1320.000000 75.495 -157.8318
1340.000000 75.556 -157.4073
1360.000000 75.617 -156.9819
1380.000000 75.677 -156.5549
1400.000000 75.737 -156.1250
1430.000000 75.827 -155.4743
1450.000000 75.888 -155.0367
1475.000000 75.965 -154.4855
1500.000000 76.044 -153.9311
1525.000000 76.125 -153.3744
1550.000000 76.209 -152.8169
1575.000000 76.295 -152.2599
1600.000000 76.384 -151.7047
1625.000000 76.476 -151.1524
1650.000000 76.571 -150.6058
1675.000000 76.670 -150.0670
1700.000000 76.772 -149.5371
1725.000000 76.878 -149.0182
1750.000000 76.988 -148.5127
1775.000000 77.101 -148.0222
1800.000000 77.218 -147.5485
1825.000000 77.338 -147.0935
1850.000000 77.461 -146.6590
1875.000000 77.587 -146.2461
1900.000000 77.717 -145.8564
1925.000000 77.850 -145.4919
1950.000000 77.985 -145.1538
1975.000000 78.123 -144.8435
2000.000000 78.263 -144.5628
2030.000000 78.435 -144.2670
2060.000000 78.608 -144.0177
2090.000000 78.784 -143.8171
2120.000000 78.961 -143.6666
2140.000000 79.080 -143.5956
2180.000000 79.318 -143.5220
2200.000000 79.436 -143.5195
2240.000000 79.670 -143.5821
2270.000000 79.842 -143.6835
2300.000000 80.010 -143.8264
2330.000000 80.174 -143.9997
2360.000000 80.333 -144.1891
2400.000000 80.540 -144.4339
2430.000000 80.695 -144.5874
2470.000000 80.913 -144.7473
2500.000000 81.096 -144.8728
2540.000000 81.368 -145.1751
2580.000000 81.660 -145.7892
2620.000000 81.942 -146.7778
2650.000000 82.132 -147.7221
2690.000000 82.347 -149.1397
2720.000000 82.482 -150.2538
2760.000000 82.630 -151.7476
2800.000000 82.750 -153.2140
2850.000000 82.867 -154.9844
2900.000000 82.954 -156.6735
2950.000000 83.018 -158.2715
3000.000000 83.061 -159.7706
3040.000000 83.085 -160.8951
3070.000000 83.098 -161.6943
3110.000000 83.111 -162.7033
3150.000000 83.119 -163.6519
3200.000000 83.125 -164.7609
3250.000000 83.129 -165.7930
3300.000000 83.133 -166.7542
3350.000000 83.138 -167.6504
3400.000000 83.147 -168.4899
3450.000000 83.162 -169.2848
3500.000000 83.183 -170.0520
3550.000000 83.213 -170.8116
3600.000000 83.252 -171.5848
3650.000000 83.297 -172.3904
3700.000000 83.346 -173.2403
3750.000000 83.397 -174.1356
3820.000000 83.468 -175.4375
3870.000000 83.522 -176.3743
3950.000000 83.625 -177.8789
4000.000000 83.710 -178.8807
4060.000000 83.837 179.7395
4120.000000 83.980 178.0576
4180.000000 84.122 175.9962
4250.000000 84.263 173.0898
4310.000000 84.341 170.1921
4370.000000 84.363 166.9706
4440.000000 84.300 162.9321
4500.000000 84.161 159.3707
4550.000000 83.983 156.4366
4620.000000 83.646 152.5281
4680.000000 83.287 149.4641
4750.000000 82.802 146.2943
4820.000000 82.263 143.5833
4870.000000 81.851 141.9416
4940.000000 81.246 140.0652
5000.000000 80.708 138.8642
5080.000000 79.980 137.8637
5150.000000 79.351 137.5296
5220.000000 78.749 137.6155
5300.000000 78.101 138.0721
5380.000000 77.489 138.8172
5450.000000 76.978 139.6959
5520.000000 76.492 140.7820
5600.000000 75.969 142.2517
