* Measurement data measured by REW V5.20.13
* Source: /home/tedthepraimortis/Squig-Link/data/Poke DT200 R.txt
* Format: Comma/Tab/Space delimited data
* Dated: Nov 13, 2023 6:48:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from /home/tedthepraimortis/Squig-Link/data/Poke DT200 R.txt Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 19,753 Hz log spaced 
* Measurement: Poke DT200 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 81.253 13.6740
20.299999 81.249 13.3597
20.600000 81.246 12.9521
20.900000 81.243 12.5466
21.200001 81.242 12.1484
21.400000 81.241 11.8847
21.799999 81.240 11.3606
22.000000 81.239 11.1013
22.400000 81.236 10.5926
22.700001 81.233 10.2236
23.000000 81.230 9.8665
23.299999 81.227 9.5193
23.600000 81.225 9.1784
24.000000 81.222 8.7291
24.299999 81.219 8.3948
24.700001 81.214 7.9546
25.000000 81.209 7.6316
25.400000 81.201 7.2140
25.799999 81.192 6.8114
26.200001 81.182 6.4211
26.500000 81.175 6.1346
26.900000 81.164 5.7594
27.200001 81.156 5.4828
27.600000 81.144 5.1205
28.000000 81.132 4.7653
28.500000 81.116 4.3306
29.000000 81.100 3.9064
29.500000 81.083 3.4934
30.000000 81.066 3.0921
30.400000 81.052 2.7790
30.700001 81.042 2.5485
31.100000 81.029 2.2472
31.500000 81.015 1.9534
32.000000 80.997 1.5973
32.500000 80.980 1.2526
33.000000 80.963 0.9166
33.500000 80.946 0.5883
34.000000 80.928 0.2688
34.500000 80.909 -0.0399
35.000000 80.889 -0.3372
35.500000 80.869 -0.6237
36.000000 80.848 -0.9007
36.500000 80.828 -1.1700
37.000000 80.808 -1.4347
37.500000 80.787 -1.6964
38.200001 80.757 -2.0556
38.700001 80.735 -2.3028
39.500000 80.701 -2.6828
40.000000 80.681 -2.9166
40.599998 80.657 -3.1965
41.200001 80.631 -3.4712
41.799999 80.605 -3.7349
42.500000 80.574 -4.0281
43.099998 80.549 -4.2696
43.700001 80.523 -4.5031
44.400002 80.493 -4.7664
45.000000 80.468 -4.9862
45.500000 80.447 -5.1653
46.200001 80.416 -5.4074
46.799999 80.390 -5.6058
47.500000 80.360 -5.8300
48.200001 80.330 -6.0493
48.700001 80.308 -6.2020
49.400002 80.277 -6.4079
50.000000 80.251 -6.5775
50.799999 80.218 -6.7958
51.500000 80.188 -6.9802
52.200001 80.159 -7.1577
53.000000 80.126 -7.3528
53.799999 80.093 -7.5405
54.500000 80.065 -7.6982
55.200001 80.036 -7.8495
56.000000 80.003 -8.0166
57.000000 79.962 -8.2201
58.000000 79.920 -8.4142
59.000000 79.879 -8.5971
60.000000 79.840 -8.7744
60.799999 79.808 -8.9120
61.500000 79.781 -9.0280
62.200001 79.754 -9.1397
63.000000 79.723 -9.2614
64.000000 79.685 -9.4040
65.000000 79.649 -9.5391
66.000000 79.612 -9.6670
67.000000 79.575 -9.7847
68.000000 79.539 -9.8958
69.000000 79.503 -10.0053
70.000000 79.467 -10.1111
71.000000 79.431 -10.2089
72.000000 79.396 -10.3001
73.000000 79.361 -10.3880
74.000000 79.326 -10.4711
75.000000 79.291 -10.5479
76.199997 79.250 -10.6363
77.500000 79.206 -10.7290
78.800003 79.161 -10.8071
80.000000 79.121 -10.8589
81.199997 79.083 -10.9049
82.500000 79.042 -10.9622
83.800003 78.999 -11.0151
85.000000 78.960 -11.0539
86.199997 78.921 -11.0851
87.500000 78.879 -11.1099
88.500000 78.847 -11.1201
90.000000 78.800 -11.1191
91.199997 78.762 -11.1070
92.500000 78.720 -11.0790
93.800003 78.678 -11.0306
95.000000 78.640 -10.9724
96.199997 78.603 -10.9083
97.500000 78.563 -10.8270
98.800003 78.525 -10.7210
100.000000 78.493 -10.6015
101.500000 78.460 -10.4397
103.000000 78.432 -10.2722
104.400002 78.411 -10.1061
106.000000 78.395 -9.9244
107.500000 78.384 -9.7923
109.000000 78.372 -9.7017
110.599998 78.356 -9.6240
112.000000 78.340 -9.5417
113.800003 78.318 -9.3855
115.000000 78.305 -9.2378
117.199997 78.294 -8.8850
118.000000 78.297 -8.7455
120.599998 78.330 -8.3291
122.000000 78.364 -8.1598
124.099998 78.433 -8.0497
125.000000 78.467 -8.0875
126.500000 78.516 -8.2756
128.000000 78.549 -8.5810
131.500000 78.562 -9.4354
132.000000 78.559 -9.5513
134.000000 78.535 -9.9706
136.000000 78.499 -10.3112
138.000000 78.457 -10.5708
140.000000 78.412 -10.7576
143.000000 78.342 -10.9390
145.000000 78.297 -11.0131
147.500000 78.246 -11.0631
150.000000 78.200 -11.0709
152.500000 78.160 -11.0432
155.000000 78.124 -10.9886
157.500000 78.095 -10.9218
160.000000 78.072 -10.8635
162.500000 78.054 -10.8250
165.000000 78.040 -10.8089
167.500000 78.029 -10.8237
170.000000 78.018 -10.8772
172.500000 78.005 -10.9604
175.000000 77.988 -11.0577
177.500000 77.968 -11.1611
180.000000 77.947 -11.2675
182.500000 77.921 -11.3705
185.000000 77.893 -11.4653
187.500000 77.863 -11.5526
190.000000 77.832 -11.6315
192.500000 77.800 -11.6976
195.000000 77.768 -11.7478
197.500000 77.736 -11.7835
200.000000 77.703 -11.8076
203.000000 77.665 -11.8262
206.000000 77.627 -11.8385
209.000000 77.590 -11.8481
212.000000 77.554 -11.8556
214.000000 77.530 -11.8601
218.000000 77.483 -11.8683
220.000000 77.461 -11.8709
224.000000 77.418 -11.8688
227.000000 77.387 -11.8578
230.000000 77.356 -11.8408
233.000000 77.324 -11.8223
236.000000 77.292 -11.8042
240.000000 77.251 -11.7785
243.000000 77.221 -11.7565
247.000000 77.180 -11.7201
250.000000 77.150 -11.6878
254.000000 77.110 -11.6445
258.000000 77.070 -11.6008
262.000000 77.030 -11.5479
265.000000 77.000 -11.4998
269.000000 76.961 -11.4280
272.000000 76.932 -11.3703
276.000000 76.893 -11.2903
280.000000 76.855 -11.2069
285.000000 76.808 -11.0954
290.000000 76.759 -10.9727
295.000000 76.711 -10.8326
300.000000 76.664 -10.6748
304.000000 76.627 -10.5360
307.000000 76.601 -10.4218
311.000000 76.566 -10.2522
315.000000 76.533 -10.0621
320.000000 76.496 -9.8032
325.000000 76.466 -9.5278
330.000000 76.447 -9.2381
335.000000 76.441 -8.9610
340.000000 76.445 -8.7381
345.000000 76.454 -8.5908
350.000000 76.466 -8.5154
355.000000 76.474 -8.5055
360.000000 76.472 -8.5613
365.000000 76.460 -8.6648
370.000000 76.440 -8.7751
375.000000 76.412 -8.8644
382.000000 76.366 -8.9505
387.000000 76.330 -8.9859
395.000000 76.269 -8.9971
400.000000 76.229 -8.9804
406.000000 76.181 -8.9413
412.000000 76.134 -8.8855
418.000000 76.087 -8.8141
425.000000 76.032 -8.7117
431.000000 75.985 -8.6091
437.000000 75.939 -8.4964
444.000000 75.885 -8.3553
450.000000 75.840 -8.2251
455.000000 75.803 -8.1098
462.000000 75.752 -7.9395
468.000000 75.709 -7.7870
475.000000 75.660 -7.6025
482.000000 75.611 -7.4120
487.000000 75.576 -7.2720
494.000000 75.528 -7.0692
500.000000 75.487 -6.8887
508.000000 75.434 -6.6395
515.000000 75.388 -6.4140
522.000000 75.343 -6.1818
530.000000 75.292 -5.9092
538.000000 75.241 -5.6303
545.000000 75.197 -5.3800
552.000000 75.154 -5.1228
560.000000 75.106 -4.8213
570.000000 75.047 -4.4350
580.000000 74.990 -4.0373
590.000000 74.934 -3.6271
600.000000 74.879 -3.2073
608.000000 74.837 -2.8647
615.000000 74.800 -2.5586
622.000000 74.764 -2.2467
630.000000 74.724 -1.8837
640.000000 74.676 -1.4219
650.000000 74.629 -0.9519
660.000000 74.583 -0.4733
670.000000 74.540 0.0153
680.000000 74.499 0.5140
690.000000 74.459 1.0220
700.000000 74.422 1.5400
710.000000 74.386 2.0668
720.000000 74.353 2.6004
730.000000 74.322 3.1412
740.000000 74.293 3.6895
750.000000 74.266 4.2452
762.000000 74.237 4.9206
775.000000 74.210 5.6605
788.000000 74.189 6.4067
800.000000 74.173 7.1001
812.000000 74.161 7.7959
825.000000 74.152 8.5491
838.000000 74.148 9.2990
850.000000 74.149 9.9878
862.000000 74.154 10.6723
875.000000 74.164 11.4062
885.000000 74.175 11.9631
900.000000 74.196 12.7836
912.000000 74.217 13.4254
925.000000 74.244 14.1042
938.000000 74.275 14.7640
950.000000 74.307 15.3542
962.000000 74.342 15.9239
975.000000 74.383 16.5162
988.000000 74.426 17.0827
1000.000000 74.467 17.5825
1015.000000 74.521 18.1748
1030.000000 74.577 18.7308
1044.000000 74.630 19.2175
1060.000000 74.690 19.7361
1075.000000 74.747 20.1872
1090.000000 74.804 20.6065
1106.000000 74.863 21.0213
1120.000000 74.913 21.3593
1138.000000 74.975 21.7652
1150.000000 75.014 22.0200
1172.000000 75.083 22.4599
1180.000000 75.107 22.6123
1206.000000 75.180 23.0869
1220.000000 75.216 23.3333
1241.000000 75.268 23.6964
1250.000000 75.289 23.8509
1265.000000 75.322 24.1077
1280.000000 75.354 24.3649
1315.000000 75.422 24.9723
1320.000000 75.432 25.0606
1340.000000 75.468 25.4210
1360.000000 75.503 25.7920
1380.000000 75.538 26.1740
1400.000000 75.573 26.5678
1430.000000 75.625 27.1788
1450.000000 75.662 27.5999
1475.000000 75.709 28.1415
1500.000000 75.760 28.6973
1525.000000 75.814 29.2645
1550.000000 75.872 29.8395
1575.000000 75.933 30.4199
1600.000000 75.999 31.0052
1625.000000 76.069 31.5945
1650.000000 76.143 32.1855
1675.000000 76.223 32.7758
1700.000000 76.307 33.3638
1725.000000 76.398 33.9469
1750.000000 76.493 34.5217
1775.000000 76.595 35.0856
1800.000000 76.701 35.6371
1825.000000 76.814 36.1744
1850.000000 76.932 36.6952
1875.000000 77.057 37.1967
1900.000000 77.187 37.6765
1925.000000 77.323 38.1332
1950.000000 77.466 38.5657
1975.000000 77.616 38.9728
2000.000000 77.774 39.3459
2030.000000 77.975 39.7354
2060.000000 78.184 40.0655
2090.000000 78.399 40.3403
2120.000000 78.619 40.5463
2140.000000 78.769 40.6392
2180.000000 79.078 40.7232
2200.000000 79.237 40.7129
2240.000000 79.565 40.5798
2270.000000 79.818 40.3720
2300.000000 80.078 40.0543
2330.000000 80.343 39.6132
2360.000000 80.613 39.0318
2400.000000 80.973 38.0256
2430.000000 81.239 37.0887
2470.000000 81.582 35.5969
2500.000000 81.828 34.3001
2540.000000 82.135 32.3420
2580.000000 82.413 30.1430
2620.000000 82.655 27.7291
2650.000000 82.810 25.7972
2690.000000 82.979 23.0953
2720.000000 83.074 21.0020
2760.000000 83.157 18.1640
2800.000000 83.191 15.3282
2850.000000 83.165 11.8727
2900.000000 83.071 8.6150
2950.000000 82.916 5.6436
3000.000000 82.714 3.0205
3040.000000 82.527 1.1984
3070.000000 82.377 0.0007
3110.000000 82.168 -1.3747
3150.000000 81.957 -2.5072
3200.000000 81.696 -3.6100
3250.000000 81.448 -4.4115
3300.000000 81.217 -4.9652
3350.000000 81.004 -5.3235
3400.000000 80.809 -5.5253
3450.000000 80.632 -5.5947
3500.000000 80.471 -5.5456
3550.000000 80.327 -5.3884
3600.000000 80.201 -5.1347
3650.000000 80.092 -4.7996
3700.000000 80.002 -4.3995
3750.000000 79.931 -3.9498
3820.000000 79.863 -3.2683
3870.000000 79.837 -2.7651
3950.000000 79.832 -1.9754
4000.000000 79.851 -1.5199
4060.000000 79.894 -1.0388
4120.000000 79.956 -0.6492
4180.000000 80.035 -0.3724
4250.000000 80.143 -0.2183
4310.000000 80.246 -0.2568
4370.000000 80.352 -0.4802
4440.000000 80.473 -0.9948
4500.000000 80.565 -1.6601
4550.000000 80.627 -2.3720
4620.000000 80.682 -3.5788
4680.000000 80.691 -4.7674
4750.000000 80.648 -6.2610
4820.000000 80.542 -7.7650
4870.000000 80.427 -8.7767
4940.000000 80.213 -10.0103
5000.000000 79.987 -10.8143
5080.000000 79.637 -11.4134
5150.000000 79.305 -11.4181
5220.000000 78.970 -10.8860
