* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), no input selected, 0, volume: no control
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 10, 2023 6:28:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke Luna R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	94.957	-116.2976
20.299999	95.032	-116.9057
20.600000	95.104	-117.5076
20.900000	95.172	-118.0976
21.200001	95.236	-118.6684
21.400000	95.278	-119.0356
21.799999	95.359	-119.7402
22.000000	95.399	-120.0805
22.400000	95.480	-120.7479
22.700001	95.541	-121.2454
23.000000	95.600	-121.7443
23.299999	95.656	-122.2416
23.600000	95.711	-122.7322
24.000000	95.781	-123.3693
24.299999	95.832	-123.8339
24.700001	95.899	-124.4422
25.000000	95.948	-124.8953
25.400000	96.011	-125.4962
25.799999	96.071	-126.0839
26.200001	96.128	-126.6454
26.500000	96.170	-127.0477
26.900000	96.228	-127.5673
27.200001	96.272	-127.9548
27.600000	96.330	-128.4785
28.000000	96.386	-129.0089
28.500000	96.449	-129.6594
29.000000	96.508	-130.2719
29.500000	96.566	-130.8485
30.000000	96.624	-131.4101
30.400000	96.668	-131.8548
30.700001	96.700	-132.1823
31.100000	96.741	-132.6036
31.500000	96.780	-133.0048
32.000000	96.831	-133.4863
32.500000	96.881	-133.9627
33.000000	96.931	-134.4424
33.500000	96.978	-134.9185
34.000000	97.023	-135.3826
34.500000	97.067	-135.8369
35.000000	97.109	-136.2877
35.500000	97.149	-136.7304
36.000000	97.187	-137.1527
36.500000	97.224	-137.5527
37.000000	97.264	-137.9473
37.500000	97.302	-138.3515
38.200001	97.348	-138.9072
38.700001	97.377	-139.2588
39.500000	97.432	-139.7560
40.000000	97.473	-140.0888
40.599998	97.520	-140.5434
41.200001	97.557	-141.0162
41.799999	97.586	-141.4554
42.500000	97.619	-141.9186
43.099998	97.650	-142.2988
43.700001	97.680	-142.6743
44.400002	97.715	-143.1033
45.000000	97.744	-143.4582
45.500000	97.770	-143.7462
46.200001	97.807	-144.1502
46.799999	97.837	-144.5029
47.500000	97.868	-144.8986
48.200001	97.899	-145.2590
48.700001	97.922	-145.5100
49.400002	97.954	-145.8770
50.000000	97.976	-146.1913
50.799999	98.002	-146.5695
51.500000	98.025	-146.8699
52.200001	98.050	-147.1688
53.000000	98.079	-147.5149
53.799999	98.108	-147.8633
54.500000	98.133	-148.1701
55.200001	98.156	-148.4760
56.000000	98.183	-148.8207
57.000000	98.215	-149.2428
58.000000	98.243	-149.6549
59.000000	98.267	-150.0103
60.000000	98.298	-150.3087
60.799999	98.328	-150.5784
61.500000	98.350	-150.8370
62.200001	98.367	-151.0818
63.000000	98.387	-151.3399
64.000000	98.411	-151.6591
65.000000	98.434	-151.9652
66.000000	98.457	-152.2601
67.000000	98.479	-152.5536
68.000000	98.502	-152.8342
69.000000	98.524	-153.1124
70.000000	98.546	-153.3865
71.000000	98.568	-153.6553
72.000000	98.589	-153.9237
73.000000	98.609	-154.1834
74.000000	98.628	-154.4331
75.000000	98.647	-154.6771
76.199997	98.668	-154.9574
77.500000	98.691	-155.2547
78.800003	98.713	-155.5389
80.000000	98.734	-155.7925
81.199997	98.754	-156.0491
82.500000	98.775	-156.3132
83.800003	98.797	-156.5818
85.000000	98.816	-156.8325
86.199997	98.833	-157.0739
87.500000	98.851	-157.3171
88.500000	98.865	-157.4967
90.000000	98.888	-157.7652
91.199997	98.905	-157.9780
92.500000	98.922	-158.2037
93.800003	98.939	-158.4224
95.000000	98.954	-158.6212
96.199997	98.968	-158.8156
97.500000	98.984	-159.0253
98.800003	98.999	-159.2339
100.000000	99.013	-159.4205
101.500000	99.030	-159.6520
103.000000	99.045	-159.8753
104.400002	99.059	-160.0794
106.000000	99.075	-160.3147
107.500000	99.089	-160.5358
109.000000	99.101	-160.7559
110.599998	99.113	-160.9708
112.000000	99.124	-161.1562
113.800003	99.136	-161.4071
115.000000	99.143	-161.5734
117.199997	99.151	-161.8702
118.000000	99.153	-161.9710
120.599998	99.153	-162.2491
122.000000	99.150	-162.3446
124.099998	99.148	-162.4154
125.000000	99.150	-162.4272
126.500000	99.162	-162.4468
128.000000	99.181	-162.4894
131.500000	99.240	-162.7403
132.000000	99.248	-162.7940
134.000000	99.274	-163.0331
136.000000	99.292	-163.2798
138.000000	99.306	-163.5260
140.000000	99.315	-163.7767
143.000000	99.318	-164.1392
145.000000	99.312	-164.3656
147.500000	99.297	-164.5988
150.000000	99.274	-164.7549
152.500000	99.240	-164.7764
155.000000	99.212	-164.5952
157.500000	99.215	-164.2516
160.000000	99.260	-163.9141
162.500000	99.333	-163.7412
165.000000	99.412	-163.7778
167.500000	99.482	-163.9786
170.000000	99.535	-164.2654
172.500000	99.574	-164.5700
175.000000	99.604	-164.8656
177.500000	99.628	-165.1497
180.000000	99.648	-165.4180
182.500000	99.662	-165.6620
185.000000	99.675	-165.8706
187.500000	99.689	-166.0743
190.000000	99.702	-166.2787
192.500000	99.714	-166.4730
195.000000	99.726	-166.6562
197.500000	99.737	-166.8307
200.000000	99.747	-167.0009
203.000000	99.758	-167.1988
206.000000	99.770	-167.3924
209.000000	99.782	-167.5808
212.000000	99.793	-167.7711
214.000000	99.799	-167.8988
218.000000	99.812	-168.1448
220.000000	99.818	-168.2682
224.000000	99.829	-168.5213
227.000000	99.836	-168.7038
230.000000	99.841	-168.8778
233.000000	99.843	-169.0610
236.000000	99.845	-169.2462
240.000000	99.847	-169.4657
243.000000	99.846	-169.6118
247.000000	99.844	-169.7749
250.000000	99.844	-169.8727
254.000000	99.848	-170.0006
258.000000	99.859	-170.1529
262.000000	99.872	-170.3271
265.000000	99.879	-170.4700
269.000000	99.884	-170.6694
272.000000	99.887	-170.8176
276.000000	99.888	-171.0148
280.000000	99.887	-171.2085
285.000000	99.888	-171.4396
290.000000	99.886	-171.6585
295.000000	99.881	-171.8677
300.000000	99.878	-172.0633
304.000000	99.874	-172.2185
307.000000	99.871	-172.3378
311.000000	99.866	-172.4920
315.000000	99.860	-172.6383
320.000000	99.852	-172.8156
325.000000	99.843	-172.9904
330.000000	99.834	-173.1689
335.000000	99.824	-173.3325
340.000000	99.812	-173.4873
345.000000	99.800	-173.6368
350.000000	99.787	-173.7799
355.000000	99.773	-173.9216
360.000000	99.760	-174.0585
365.000000	99.746	-174.1845
370.000000	99.732	-174.3052
375.000000	99.717	-174.4218
382.000000	99.693	-174.5791
387.000000	99.676	-174.6838
395.000000	99.648	-174.8340
400.000000	99.630	-174.9278
406.000000	99.608	-175.0429
412.000000	99.586	-175.1381
418.000000	99.563	-175.2243
425.000000	99.535	-175.3214
431.000000	99.510	-175.4014
437.000000	99.484	-175.4708
444.000000	99.454	-175.5428
450.000000	99.429	-175.5963
455.000000	99.407	-175.6320
462.000000	99.376	-175.6777
468.000000	99.348	-175.7123
475.000000	99.314	-175.7368
482.000000	99.282	-175.7501
487.000000	99.259	-175.7530
494.000000	99.227	-175.7500
500.000000	99.199	-175.7473
508.000000	99.160	-175.7355
515.000000	99.127	-175.7025
522.000000	99.093	-175.6495
530.000000	99.055	-175.5898
538.000000	99.016	-175.5309
545.000000	98.983	-175.4578
552.000000	98.949	-175.3700
560.000000	98.909	-175.2812
570.000000	98.863	-175.1592
580.000000	98.816	-174.9996
590.000000	98.768	-174.8384
600.000000	98.723	-174.6449
608.000000	98.687	-174.4743
615.000000	98.656	-174.3184
622.000000	98.625	-174.1574
630.000000	98.589	-173.9693
640.000000	98.546	-173.7207
650.000000	98.504	-173.4540
660.000000	98.463	-173.1727
670.000000	98.424	-172.8782
680.000000	98.385	-172.5697
690.000000	98.349	-172.2464
700.000000	98.314	-171.9126
710.000000	98.280	-171.5680
720.000000	98.249	-171.2142
730.000000	98.219	-170.8539
740.000000	98.191	-170.4846
750.000000	98.164	-170.1062
762.000000	98.135	-169.6422
775.000000	98.106	-169.1341
788.000000	98.079	-168.6227
800.000000	98.056	-168.1456
812.000000	98.036	-167.6681
825.000000	98.016	-167.1520
838.000000	97.996	-166.6354
850.000000	97.977	-166.1546
862.000000	97.958	-165.6658
875.000000	97.936	-165.1199
885.000000	97.919	-164.6817
900.000000	97.892	-163.9821
912.000000	97.872	-163.3764
925.000000	97.854	-162.6660
938.000000	97.842	-161.9008
950.000000	97.841	-161.1538
962.000000	97.849	-160.3813
975.000000	97.871	-159.5348
988.000000	97.905	-158.7005
1000.000000	97.947	-157.9586
1015.000000	98.011	-157.0861
1030.000000	98.085	-156.2854
1044.000000	98.160	-155.6077
1060.000000	98.249	-154.9160
1075.000000	98.334	-154.3429
1090.000000	98.420	-153.8362
1106.000000	98.509	-153.3598
1120.000000	98.585	-152.9906
1138.000000	98.678	-152.5727
1150.000000	98.737	-152.3246
1172.000000	98.839	-151.9237
1180.000000	98.873	-151.7924
1206.000000	98.976	-151.3979
1220.000000	99.025	-151.1995
1241.000000	99.092	-150.9111
1250.000000	99.118	-150.7880
1265.000000	99.159	-150.5791
1280.000000	99.196	-150.3617
1315.000000	99.269	-149.8083
1320.000000	99.279	-149.7223
1340.000000	99.315	-149.3578
1360.000000	99.350	-148.9615
1380.000000	99.384	-148.5337
1400.000000	99.418	-148.0718
1430.000000	99.472	-147.3204
1450.000000	99.511	-146.7899
1475.000000	99.564	-146.0986
1500.000000	99.623	-145.3799
1525.000000	99.687	-144.6417
1550.000000	99.757	-143.8931
1575.000000	99.834	-143.1402
1600.000000	99.915	-142.3839
1625.000000	100.001	-141.6244
1650.000000	100.094	-140.8663
1675.000000	100.191	-140.1109
1700.000000	100.294	-139.3542
1725.000000	100.403	-138.5972
1750.000000	100.520	-137.8500
1775.000000	100.645	-137.1269
1800.000000	100.776	-136.4407
1825.000000	100.911	-135.7937
1850.000000	101.048	-135.1793
1875.000000	101.188	-134.5876
1900.000000	101.329	-134.0121
1925.000000	101.475	-133.4516
1950.000000	101.623	-132.9103
1975.000000	101.776	-132.3895
2000.000000	101.932	-131.8899
2030.000000	102.125	-131.3209
2060.000000	102.324	-130.7878
2090.000000	102.529	-130.2938
2120.000000	102.740	-129.8467
2140.000000	102.885	-129.5801
2180.000000	103.180	-129.1340
2200.000000	103.330	-128.9554
2240.000000	103.633	-128.6819
2270.000000	103.863	-128.5488
2300.000000	104.095	-128.4789
2330.000000	104.328	-128.4750
2360.000000	104.563	-128.5394
2400.000000	104.876	-128.7360
2430.000000	105.111	-128.9682
2470.000000	105.422	-129.3959
2500.000000	105.652	-129.8086
2540.000000	105.953	-130.4806
2580.000000	106.245	-131.2925
2620.000000	106.525	-132.2398
2650.000000	106.726	-133.0327
2690.000000	106.977	-134.1870
2720.000000	107.152	-135.1147
2760.000000	107.368	-136.4131
2800.000000	107.562	-137.7500
2850.000000	107.779	-139.4263
2900.000000	107.981	-141.1026
2950.000000	108.171	-142.8626
3000.000000	108.335	-144.7784
3040.000000	108.436	-146.3860
3070.000000	108.490	-147.5881
3110.000000	108.538	-149.1350
3150.000000	108.562	-150.5800
3200.000000	108.570	-152.2113
3250.000000	108.562	-153.6392
3300.000000	108.550	-154.8884
3350.000000	108.538	-156.0111
3400.000000	108.526	-157.0408
3450.000000	108.509	-157.9660
3500.000000	108.490	-158.7558
3550.000000	108.475	-159.3909
3600.000000	108.474	-159.8754
3650.000000	108.494	-160.2435
3700.000000	108.542	-160.5545
3750.000000	108.617	-160.8707
3820.000000	108.763	-161.4076
3870.000000	108.892	-161.9048
3950.000000	109.130	-162.9585
4000.000000	109.292	-163.7787
4060.000000	109.498	-164.9190
4120.000000	109.721	-166.2485
4180.000000	109.960	-167.8105
4250.000000	110.259	-170.0102
4310.000000	110.526	-172.3168
4370.000000	110.791	-175.1099
4440.000000	111.068	-179.0712
4500.000000	111.249	176.9220
4550.000000	111.341	173.1962
4620.000000	111.354	167.5269
4680.000000	111.240	162.4266
4750.000000	110.949	156.4816
4820.000000	110.494	150.8668
4870.000000	110.077	147.2240
