* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 12, 2023 11:58:06 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Poke RE-2 Coreir L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.493	-117.6190
20.299999	93.576	-118.3317
20.600000	93.656	-119.0433
20.900000	93.733	-119.7513
21.200001	93.807	-120.4500
21.400000	93.854	-120.9076
21.799999	93.945	-121.8011
22.000000	93.989	-122.2372
22.400000	94.076	-123.0914
22.700001	94.140	-123.7206
23.000000	94.203	-124.3436
23.299999	94.266	-124.9629
23.600000	94.327	-125.5808
24.000000	94.406	-126.4050
24.299999	94.463	-127.0228
24.700001	94.534	-127.8396
25.000000	94.583	-128.4370
25.400000	94.645	-129.1990
25.799999	94.707	-129.9148
26.200001	94.771	-130.5964
26.500000	94.821	-131.1021
26.900000	94.890	-131.7887
27.200001	94.941	-132.3177
27.600000	95.004	-133.0322
28.000000	95.061	-133.7333
28.500000	95.127	-134.5651
29.000000	95.194	-135.3611
29.500000	95.262	-136.1600
30.000000	95.323	-136.9727
30.400000	95.365	-137.6095
30.700001	95.394	-138.0646
31.100000	95.431	-138.6369
31.500000	95.471	-139.1833
32.000000	95.524	-139.8655
32.500000	95.576	-140.5712
33.000000	95.622	-141.2877
33.500000	95.663	-141.9873
34.000000	95.702	-142.6586
34.500000	95.740	-143.3111
35.000000	95.778	-143.9544
35.500000	95.815	-144.5903
36.000000	95.852	-145.2193
36.500000	95.887	-145.8455
37.000000	95.921	-146.4688
37.500000	95.951	-147.0801
38.200001	95.992	-147.9052
38.700001	96.022	-148.4829
39.500000	96.066	-149.4089
40.000000	96.089	-149.9744
40.599998	96.114	-150.6207
41.200001	96.140	-151.2414
41.799999	96.167	-151.8553
42.500000	96.195	-152.5643
43.099998	96.219	-153.1624
43.700001	96.242	-153.7619
44.400002	96.263	-154.4595
45.000000	96.278	-155.0308
45.500000	96.289	-155.4819
46.200001	96.309	-156.1001
46.799999	96.325	-156.6353
47.500000	96.342	-157.2545
48.200001	96.358	-157.8599
48.700001	96.369	-158.2917
49.400002	96.383	-158.8978
50.000000	96.392	-159.4059
50.799999	96.403	-160.0600
51.500000	96.412	-160.6206
52.200001	96.419	-161.1698
53.000000	96.427	-161.7772
53.799999	96.435	-162.3729
54.500000	96.441	-162.8900
55.200001	96.446	-163.4005
56.000000	96.449	-163.9721
57.000000	96.450	-164.6564
58.000000	96.452	-165.3086
59.000000	96.455	-165.9552
60.000000	96.456	-166.5991
60.799999	96.456	-167.1119
61.500000	96.455	-167.5583
62.200001	96.451	-167.9953
63.000000	96.446	-168.4781
64.000000	96.440	-169.0655
65.000000	96.434	-169.6465
66.000000	96.426	-170.2167
67.000000	96.416	-170.7689
68.000000	96.406	-171.3091
69.000000	96.395	-171.8389
70.000000	96.383	-172.3542
71.000000	96.370	-172.8584
72.000000	96.357	-173.3564
73.000000	96.343	-173.8419
74.000000	96.328	-174.3130
75.000000	96.313	-174.7782
76.199997	96.294	-175.3281
77.500000	96.272	-175.9072
78.800003	96.249	-176.4648
80.000000	96.227	-176.9716
81.199997	96.203	-177.4612
82.500000	96.177	-177.9723
83.800003	96.151	-178.4710
85.000000	96.126	-178.9257
86.199997	96.100	-179.3703
87.500000	96.071	-179.8404
88.500000	96.048	179.8049
90.000000	96.014	179.2905
91.199997	95.987	178.8848
92.500000	95.956	178.4554
93.800003	95.925	178.0352
95.000000	95.895	177.6582
96.199997	95.866	177.2926
97.500000	95.833	176.9033
98.800003	95.800	176.5331
100.000000	95.770	176.2044
101.500000	95.731	175.7904
103.000000	95.690	175.4012
104.400002	95.652	175.0421
106.000000	95.608	174.6583
107.500000	95.571	174.3184
109.000000	95.534	173.9612
110.599998	95.492	173.6092
112.000000	95.455	173.3025
113.800003	95.406	172.9266
115.000000	95.375	172.6750
117.199997	95.314	172.1735
118.000000	95.289	172.0077
120.599998	95.214	171.5587
122.000000	95.178	171.3061
124.099998	95.120	170.8997
125.000000	95.093	170.7293
126.500000	95.047	170.4650
128.000000	95.001	170.2283
131.500000	94.902	169.6947
132.000000	94.887	169.6157
134.000000	94.827	169.2979
136.000000	94.763	168.9974
138.000000	94.697	168.7264
140.000000	94.629	168.4854
143.000000	94.528	168.1626
145.000000	94.459	167.9573
147.500000	94.371	167.7224
150.000000	94.279	167.5222
152.500000	94.181	167.3680
155.000000	94.077	167.2734
157.500000	93.965	167.2711
160.000000	93.845	167.4120
162.500000	93.722	167.7442
165.000000	93.611	168.3133
167.500000	93.547	169.1045
170.000000	93.558	169.9315
172.500000	93.645	170.4721
175.000000	93.772	170.5754
177.500000	93.886	170.3033
180.000000	93.949	169.8544
182.500000	93.949	169.3509
185.000000	93.916	168.7297
187.500000	93.872	168.1353
190.000000	93.831	167.6226
192.500000	93.783	167.3300
195.000000	93.727	167.0708
197.500000	93.663	166.8843
200.000000	93.611	166.6894
203.000000	93.538	166.4787
206.000000	93.475	166.3429
209.000000	93.406	166.1755
212.000000	93.341	166.1177
214.000000	93.302	166.0096
218.000000	93.211	165.8868
220.000000	93.178	165.8857
224.000000	93.103	165.7333
227.000000	93.029	165.7315
230.000000	92.980	165.7688
233.000000	92.929	165.6613
236.000000	92.857	165.6163
240.000000	92.778	165.7410
243.000000	92.735	165.7632
247.000000	92.665	165.7192
250.000000	92.605	165.7318
254.000000	92.527	165.8158
258.000000	92.458	165.9318
262.000000	92.394	166.0478
265.000000	92.350	166.1227
269.000000	92.290	166.2056
272.000000	92.244	166.2695
276.000000	92.182	166.3747
280.000000	92.120	166.4940
285.000000	92.044	166.6544
290.000000	91.973	166.8331
295.000000	91.902	167.0125
300.000000	91.831	167.2015
304.000000	91.775	167.3526
307.000000	91.735	167.4771
311.000000	91.683	167.6630
315.000000	91.632	167.8465
320.000000	91.571	168.0652
325.000000	91.516	168.3052
330.000000	91.456	168.5387
335.000000	91.396	168.7813
340.000000	91.345	169.0795
345.000000	91.291	169.3267
350.000000	91.238	169.6179
355.000000	91.191	169.9004
360.000000	91.145	170.1497
365.000000	91.099	170.4045
370.000000	91.055	170.6688
375.000000	91.013	170.9368
382.000000	90.955	171.3089
387.000000	90.913	171.5735
395.000000	90.848	172.0031
400.000000	90.810	172.2810
406.000000	90.764	172.6191
412.000000	90.717	172.9551
418.000000	90.672	173.2907
425.000000	90.622	173.6940
431.000000	90.579	174.0464
437.000000	90.538	174.4011
444.000000	90.493	174.8203
450.000000	90.455	175.1771
455.000000	90.425	175.4802
462.000000	90.383	175.9130
468.000000	90.349	176.2838
475.000000	90.310	176.7189
482.000000	90.272	177.1642
487.000000	90.246	177.4831
494.000000	90.212	177.9282
500.000000	90.184	178.3127
508.000000	90.147	178.8234
515.000000	90.116	179.2698
522.000000	90.088	179.7209
530.000000	90.058	-179.7606
538.000000	90.029	-179.2360
545.000000	90.004	-178.7704
552.000000	89.980	-178.3057
560.000000	89.955	-177.7771
570.000000	89.926	-177.1170
580.000000	89.900	-176.4516
590.000000	89.875	-175.7715
600.000000	89.854	-175.0923
608.000000	89.839	-174.5496
615.000000	89.827	-174.0730
622.000000	89.816	-173.5943
630.000000	89.804	-173.0439
640.000000	89.793	-172.3479
650.000000	89.784	-171.6481
660.000000	89.777	-170.9483
670.000000	89.774	-170.2472
680.000000	89.773	-169.5468
690.000000	89.775	-168.8455
700.000000	89.779	-168.1408
710.000000	89.786	-167.4303
720.000000	89.795	-166.7171
730.000000	89.808	-166.0016
740.000000	89.824	-165.2821
750.000000	89.842	-164.5654
762.000000	89.869	-163.7073
775.000000	89.903	-162.7780
788.000000	89.942	-161.8517
800.000000	89.982	-160.9979
812.000000	90.028	-160.1513
825.000000	90.084	-159.2434
838.000000	90.145	-158.3440
850.000000	90.206	-157.5259
862.000000	90.273	-156.7208
875.000000	90.351	-155.8656
885.000000	90.415	-155.2204
900.000000	90.518	-154.2770
912.000000	90.606	-153.5470
925.000000	90.706	-152.7866
938.000000	90.813	-152.0576
950.000000	90.915	-151.4152
962.000000	91.021	-150.8057
975.000000	91.142	-150.1848
988.000000	91.266	-149.6074
1000.000000	91.385	-149.1163
1015.000000	91.537	-148.5638
1030.000000	91.695	-148.0833
1044.000000	91.844	-147.7097
1060.000000	92.018	-147.3830
1075.000000	92.180	-147.1777
1090.000000	92.339	-147.0763
1106.000000	92.500	-147.0794
1120.000000	92.632	-147.1580
1138.000000	92.791	-147.3339
1150.000000	92.893	-147.5085
1172.000000	93.063	-148.0709
1180.000000	93.108	-148.3658
1206.000000	93.153	-149.2742
1220.000000	93.130	-149.4541
1241.000000	93.098	-149.2153
1250.000000	93.097	-148.9839
1265.000000	93.117	-148.5206
1280.000000	93.160	-148.0311
1315.000000	93.321	-147.0057
1320.000000	93.348	-146.8798
1340.000000	93.461	-146.4279
