* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:08:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ QKZ x HBB L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 105.592 -152.0849
20.299999 105.607 -152.7708
20.600000 105.625 -153.4410
20.900000 105.645 -154.1086
21.200001 105.667 -154.7849
21.400000 105.682 -155.2439
21.799999 105.707 -156.1781
22.000000 105.716 -156.6478
22.400000 105.728 -157.5708
22.700001 105.732 -158.2330
23.000000 105.735 -158.8622
23.299999 105.737 -159.4616
23.600000 105.741 -160.0411
24.000000 105.748 -160.8022
24.299999 105.754 -161.3722
24.700001 105.758 -162.1282
25.000000 105.759 -162.6835
25.400000 105.759 -163.3966
25.799999 105.758 -164.0765
26.200001 105.759 -164.7341
26.500000 105.761 -165.2217
26.900000 105.764 -165.8723
27.200001 105.766 -166.3609
27.600000 105.765 -167.0076
28.000000 105.762 -167.6405
28.500000 105.756 -168.4033
29.000000 105.748 -169.1344
29.500000 105.741 -169.8420
30.000000 105.733 -170.5348
30.400000 105.725 -171.0797
30.700001 105.718 -171.4811
31.100000 105.708 -172.0034
31.500000 105.697 -172.5095
32.000000 105.685 -173.1248
32.500000 105.673 -173.7341
33.000000 105.662 -174.3476
33.500000 105.647 -174.9600
34.000000 105.629 -175.5551
34.500000 105.610 -176.1231
35.000000 105.593 -176.6710
35.500000 105.577 -177.2156
36.000000 105.562 -177.7671
36.500000 105.545 -178.3200
37.000000 105.525 -178.8597
37.500000 105.505 -179.3755
38.200001 105.478 179.9370
38.700001 105.462 179.4510
39.500000 105.438 178.6484
40.000000 105.419 178.1373
40.599998 105.392 177.5413
41.200001 105.364 176.9770
41.799999 105.335 176.4336
42.500000 105.301 175.8178
43.099998 105.269 175.3206
43.700001 105.239 174.8548
44.400002 105.208 174.3238
45.000000 105.182 173.8613
45.500000 105.159 173.4724
46.200001 105.124 172.9314
46.799999 105.092 172.4813
47.500000 105.052 171.9837
48.200001 105.015 171.4964
48.700001 104.988 171.1390
49.400002 104.946 170.6444
50.000000 104.908 170.2551
50.799999 104.864 169.7579
51.500000 104.824 169.3024
52.200001 104.777 168.8832
53.000000 104.727 168.5103
53.799999 104.692 168.1563
54.500000 104.665 167.8045
55.200001 104.633 167.4615
56.000000 104.600 167.1101
57.000000 104.568 166.6502
58.000000 104.536 166.1245
59.000000 104.497 165.5782
60.000000 104.453 165.0257
60.799999 104.415 164.5912
61.500000 104.381 164.2220
62.200001 104.347 163.8498
63.000000 104.305 163.4228
64.000000 104.247 162.9335
65.000000 104.193 162.4832
66.000000 104.139 162.0408
67.000000 104.085 161.6164
68.000000 104.033 161.1982
69.000000 103.979 160.7905
70.000000 103.926 160.4023
71.000000 103.874 160.0238
72.000000 103.822 159.6475
73.000000 103.769 159.2769
74.000000 103.716 158.9163
75.000000 103.663 158.5624
76.199997 103.599 158.1374
77.500000 103.528 157.6855
78.800003 103.456 157.2659
80.000000 103.391 156.9027
81.199997 103.327 156.5467
82.500000 103.258 156.1683
83.800003 103.188 155.8035
85.000000 103.123 155.4844
86.199997 103.058 155.1848
87.500000 102.987 154.8756
88.500000 102.932 154.6519
90.000000 102.851 154.3414
91.199997 102.787 154.0953
92.500000 102.718 153.8367
93.800003 102.650 153.6050
95.000000 102.592 153.4045
96.199997 102.536 153.2087
97.500000 102.477 153.0039
98.800003 102.420 152.7985
100.000000 102.368 152.6048
101.500000 102.303 152.3499
103.000000 102.239 152.0758
104.400002 102.178 151.8148
106.000000 102.106 151.5313
107.500000 102.038 151.2884
109.000000 101.970 151.0606
110.599998 101.896 150.8140
112.000000 101.829 150.5959
113.800003 101.741 150.3590
115.000000 101.686 150.2205
117.199997 101.589 149.9585
118.000000 101.553 149.8639
120.599998 101.435 149.5858
122.000000 101.373 149.4426
124.099998 101.283 149.2410
125.000000 101.245 149.1576
126.500000 101.182 149.0256
128.000000 101.119 148.9077
131.500000 100.970 148.6646
132.000000 100.949 148.6306
134.000000 100.865 148.4965
136.000000 100.783 148.3683
138.000000 100.702 148.2526
140.000000 100.622 148.1487
143.000000 100.503 148.0138
145.000000 100.425 147.9304
147.500000 100.328 147.8245
150.000000 100.229 147.7351
152.500000 100.133 147.6668
155.000000 100.040 147.6219
157.500000 99.949 147.5926
160.000000 99.860 147.5714
162.500000 99.772 147.5680
165.000000 99.687 147.5625
167.500000 99.603 147.5583
170.000000 99.521 147.5642
172.500000 99.441 147.5708
175.000000 99.362 147.5761
177.500000 99.281 147.5720
180.000000 99.199 147.5692
182.500000 99.118 147.5897
185.000000 99.039 147.6221
187.500000 98.960 147.6620
190.000000 98.883 147.7010
192.500000 98.807 147.7434
195.000000 98.733 147.7908
197.500000 98.659 147.8449
200.000000 98.587 147.9082
203.000000 98.501 148.0005
206.000000 98.414 148.0986
209.000000 98.327 148.1934
212.000000 98.244 148.2919
214.000000 98.190 148.3703
218.000000 98.080 148.5536
220.000000 98.025 148.6492
224.000000 97.915 148.8613
227.000000 97.834 149.0464
230.000000 97.754 149.2453
233.000000 97.675 149.4655
236.000000 97.599 149.7176
240.000000 97.504 150.1104
243.000000 97.443 150.4562
247.000000 97.380 150.9343
250.000000 97.345 151.2331
254.000000 97.308 151.4822
258.000000 97.267 151.6148
262.000000 97.213 151.7049
265.000000 97.166 151.7725
269.000000 97.098 151.8867
272.000000 97.047 151.9887
276.000000 96.977 152.1345
280.000000 96.904 152.2897
285.000000 96.812 152.5063
290.000000 96.720 152.7639
295.000000 96.631 153.0648
300.000000 96.546 153.4040
304.000000 96.486 153.6854
307.000000 96.445 153.8936
311.000000 96.393 154.1562
315.000000 96.340 154.3957
320.000000 96.273 154.6674
325.000000 96.205 154.9261
330.000000 96.136 155.1937
335.000000 96.067 155.4772
340.000000 95.999 155.7748
345.000000 95.932 156.0827
350.000000 95.867 156.3989
355.000000 95.802 156.7223
360.000000 95.740 157.0503
365.000000 95.680 157.3805
370.000000 95.621 157.7171
375.000000 95.565 158.0581
382.000000 95.489 158.5379
387.000000 95.436 158.8804
395.000000 95.354 159.4188
400.000000 95.305 159.7565
406.000000 95.248 160.1686
412.000000 95.192 160.5816
418.000000 95.139 160.9977
425.000000 95.077 161.4872
431.000000 95.025 161.9077
437.000000 94.977 162.3238
444.000000 94.923 162.8056
450.000000 94.878 163.2220
455.000000 94.842 163.5688
462.000000 94.793 164.0529
468.000000 94.752 164.4663
475.000000 94.705 164.9501
482.000000 94.660 165.4316
487.000000 94.629 165.7732
494.000000 94.588 166.2515
500.000000 94.554 166.6630
508.000000 94.510 167.2109
515.000000 94.473 167.6876
522.000000 94.438 168.1654
530.000000 94.400 168.7094
538.000000 94.364 169.2472
545.000000 94.333 169.7221
552.000000 94.302 170.1984
560.000000 94.270 170.7362
570.000000 94.233 171.4088
580.000000 94.199 172.0897
590.000000 94.167 172.7664
600.000000 94.138 173.4399
608.000000 94.117 173.9710
615.000000 94.100 174.4352
622.000000 94.084 174.8986
630.000000 94.068 175.4271
640.000000 94.049 176.0828
650.000000 94.035 176.7293
660.000000 94.022 177.3696
670.000000 94.013 177.9908
680.000000 94.007 178.5889
690.000000 94.001 179.1508
700.000000 93.993 179.6585
710.000000 93.972 -179.8884
720.000000 93.930 -179.4078
730.000000 93.872 -178.7213
740.000000 93.834 -177.7543
750.000000 93.837 -176.7382
762.000000 93.875 -175.7165
775.000000 93.920 -174.8399
788.000000 93.954 -174.0987
800.000000 93.971 -173.4471
812.000000 93.977 -172.7357
825.000000 93.986 -171.8470
838.000000 94.009 -170.8845
850.000000 94.045 -170.0097
862.000000 94.091 -169.1723
875.000000 94.147 -168.3039
885.000000 94.194 -167.6644
900.000000 94.269 -166.7486
912.000000 94.333 -166.0469
925.000000 94.406 -165.3180
938.000000 94.483 -164.6167
950.000000 94.556 -163.9925
962.000000 94.632 -163.3949
975.000000 94.716 -162.7820
988.000000 94.802 -162.1998
1000.000000 94.884 -161.6900
1015.000000 94.989 -161.0903
1030.000000 95.095 -160.5382
1044.000000 95.195 -160.0692
1060.000000 95.311 -159.5757
1075.000000 95.419 -159.1484
1090.000000 95.527 -158.7604
1106.000000 95.641 -158.3900
1120.000000 95.740 -158.1011
1138.000000 95.866 -157.7744
1150.000000 95.949 -157.5795
1172.000000 96.097 -157.2716
1180.000000 96.150 -157.1740
1206.000000 96.316 -156.8980
1220.000000 96.402 -156.7722
1241.000000 96.528 -156.6119
1250.000000 96.581 -156.5534
1265.000000 96.667 -156.4666
1280.000000 96.752 -156.3904
1315.000000 96.943 -156.2576
1320.000000 96.969 -156.2426
1340.000000 97.073 -156.1896
1360.000000 97.173 -156.1478
1380.000000 97.271 -156.1172
1400.000000 97.366 -156.0946
1430.000000 97.507 -156.0773
1450.000000 97.599 -156.0787
1475.000000 97.713 -156.0939
1500.000000 97.824 -156.1208
1525.000000 97.933 -156.1590
1550.000000 98.040 -156.2078
1575.000000 98.146 -156.2691
1600.000000 98.250 -156.3459
1625.000000 98.354 -156.4362
1650.000000 98.457 -156.5406
1675.000000 98.558 -156.6600
1700.000000 98.659 -156.7959
1725.000000 98.758 -156.9462
1750.000000 98.855 -157.1085
1775.000000 98.952 -157.2861
1800.000000 99.047 -157.4789
1825.000000 99.140 -157.6870
1850.000000 99.231 -157.9079
1875.000000 99.323 -158.1283
1900.000000 99.417 -158.3765
1925.000000 99.512 -158.6581
1950.000000 99.605 -158.9401
1975.000000 99.692 -159.2102
2000.000000 99.776 -159.4930
2030.000000 99.875 -159.8577
2060.000000 99.974 -160.2436
2090.000000 100.072 -160.6543
2120.000000 100.171 -161.0933
2140.000000 100.236 -161.4059
2180.000000 100.365 -162.0894
2200.000000 100.428 -162.4704
2240.000000 100.547 -163.3270
2270.000000 100.626 -164.0502
2300.000000 100.692 -164.8238
2330.000000 100.743 -165.6246
2360.000000 100.779 -166.4224
2400.000000 100.803 -167.4327
2430.000000 100.808 -168.1270
2470.000000 100.803 -168.9615
2500.000000 100.793 -169.5195
2540.000000 100.776 -170.1816
2580.000000 100.756 -170.7573
2620.000000 100.736 -171.2569
2650.000000 100.721 -171.5846
2690.000000 100.702 -171.9537
2720.000000 100.689 -172.1719
2760.000000 100.678 -172.3763
2800.000000 100.681 -172.4996
2850.000000 100.716 -172.6228
2900.000000 100.785 -172.8695
2950.000000 100.867 -173.3612
3000.000000 100.937 -174.0712
3040.000000 100.975 -174.7153
3070.000000 100.995 -175.2051
3110.000000 101.011 -175.8445
3150.000000 101.020 -176.4589
3200.000000 101.027 -177.1930
3250.000000 101.031 -177.9004
3300.000000 101.035 -178.5969
3350.000000 101.039 -179.2989
3400.000000 101.044 179.9822
3450.000000 101.048 179.2312
3500.000000 101.050 178.4337
3550.000000 101.048 177.5778
3600.000000 101.040 176.6539
3650.000000 101.021 175.6572
3700.000000 100.986 174.5972
3750.000000 100.930 173.5061
3820.000000 100.809 172.0369
3870.000000 100.698 171.1215
3950.000000 100.510 169.9650
4000.000000 100.403 169.3735
4060.000000 100.288 168.6708
4120.000000 100.180 167.8973
4180.000000 100.067 167.0382
4250.000000 99.917 165.9618
4310.000000 99.769 165.0193
4370.000000 99.600 164.0972
4440.000000 99.379 163.0852
4500.000000 99.167 162.3009
4550.000000 98.976 161.7303
4620.000000 98.697 161.0408
4680.000000 98.451 160.5622
4750.000000 98.157 160.1573
4820.000000 97.856 159.9210
4870.000000 97.638 159.8558
4940.000000 97.332 159.9080
5000.000000 97.070 160.0856
5080.000000 96.725 160.5074
5150.000000 96.428 161.0440
5220.000000 96.139 161.7281
5300.000000 95.815 162.6778
5380.000000 95.494 163.8449
5450.000000 95.224 165.1537
5520.000000 94.989 166.6960
5600.000000 94.768 168.5351
5700.000000 94.544 170.8539
5800.000000 94.359 173.1451
5900.000000 94.200 175.5074
6000.000000 94.077 177.9858
