* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:11:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: QKZ QKZ x HBB R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 105.177 -154.0490
20.299999 105.199 -154.7929
20.600000 105.218 -155.5342
20.900000 105.233 -156.2648
21.200001 105.245 -156.9808
21.400000 105.253 -157.4496
21.799999 105.263 -158.3651
22.000000 105.267 -158.8100
22.400000 105.271 -159.6660
22.700001 105.272 -160.2721
23.000000 105.272 -160.8456
23.299999 105.275 -161.3911
23.600000 105.280 -161.9197
24.000000 105.291 -162.6226
24.299999 105.301 -163.1648
24.700001 105.313 -163.9185
25.000000 105.317 -164.5017
25.400000 105.314 -165.2797
25.799999 105.302 -166.0252
26.200001 105.284 -166.7131
26.500000 105.271 -167.1901
26.900000 105.257 -167.7900
27.200001 105.249 -168.2280
27.600000 105.242 -168.8130
28.000000 105.236 -169.4051
28.500000 105.228 -170.1511
29.000000 105.217 -170.8969
29.500000 105.200 -171.6231
30.000000 105.177 -172.2798
30.400000 105.161 -172.7248
30.700001 105.154 -173.0195
31.100000 105.157 -173.4062
31.500000 105.171 -173.8486
32.000000 105.183 -174.5180
32.500000 105.172 -175.2268
33.000000 105.143 -175.8291
33.500000 105.118 -176.3005
34.000000 105.108 -176.7562
34.500000 105.100 -177.2798
35.000000 105.081 -177.8211
35.500000 105.061 -178.3190
36.000000 105.054 -178.8445
36.500000 105.048 -179.5194
37.000000 105.015 179.6911
37.500000 104.947 178.9990
38.200001 104.851 178.4461
38.700001 104.823 178.1740
39.500000 104.817 177.4781
40.000000 104.799 176.9476
40.599998 104.774 176.3941
41.200001 104.764 175.8673
41.799999 104.754 175.2521
42.500000 104.715 174.5564
43.099998 104.676 174.1253
43.700001 104.654 173.7635
44.400002 104.636 173.2538
45.000000 104.609 172.7684
45.500000 104.578 172.3940
46.200001 104.535 171.9285
46.799999 104.502 171.5396
47.500000 104.467 171.0549
48.200001 104.431 170.5213
48.700001 104.400 170.1292
49.400002 104.349 169.6279
50.000000 104.309 169.2658
50.799999 104.270 168.8058
51.500000 104.240 168.3601
52.200001 104.204 167.8925
53.000000 104.155 167.3942
53.799999 104.102 166.9749
54.500000 104.063 166.6399
55.200001 104.027 166.2609
56.000000 103.973 165.7880
57.000000 103.892 165.3139
58.000000 103.829 164.9561
59.000000 103.782 164.5179
60.000000 103.728 164.0033
60.799999 103.677 163.6277
61.500000 103.635 163.3354
62.200001 103.595 163.0486
63.000000 103.549 162.7206
64.000000 103.489 162.3358
65.000000 103.428 162.0018
66.000000 103.374 161.7111
67.000000 103.325 161.3933
68.000000 103.271 161.0865
69.000000 103.222 160.8416
70.000000 103.183 160.5937
71.000000 103.152 160.2957
72.000000 103.122 159.8954
73.000000 103.081 159.4705
74.000000 103.042 159.0386
75.000000 102.992 158.5516
76.199997 102.918 158.1400
77.500000 102.865 157.7747
78.800003 102.809 157.3174
80.000000 102.745 156.9133
81.199997 102.675 156.5681
82.500000 102.598 156.2172
83.800003 102.520 155.8773
85.000000 102.447 155.5477
86.199997 102.373 155.2444
87.500000 102.297 154.9605
88.500000 102.244 154.7534
90.000000 102.168 154.4203
91.199997 102.100 154.1498
92.500000 102.021 153.9217
93.800003 101.945 153.7408
95.000000 101.879 153.5654
96.199997 101.815 153.3661
97.500000 101.747 153.0912
98.800003 101.674 152.7971
100.000000 101.605 152.5474
101.500000 101.518 152.2799
103.000000 101.433 152.0541
104.400002 101.349 151.8635
106.000000 101.248 151.7112
107.500000 101.153 151.5994
109.000000 101.058 151.5152
110.599998 100.959 151.4670
112.000000 100.873 151.4579
113.800003 100.759 151.5425
115.000000 100.683 151.6944
117.199997 100.556 152.1339
118.000000 100.516 152.3364
120.599998 100.448 153.0637
122.000000 100.447 153.3060
124.099998 100.464 153.4730
125.000000 100.475 153.4756
126.500000 100.491 153.3807
128.000000 100.498 153.1716
131.500000 100.467 152.5219
132.000000 100.459 152.4268
134.000000 100.416 152.0410
136.000000 100.357 151.6725
138.000000 100.285 151.3350
140.000000 100.207 151.0278
143.000000 100.096 150.6752
145.000000 100.026 150.4869
147.500000 99.937 150.2663
150.000000 99.845 150.0676
152.500000 99.754 149.8795
155.000000 99.660 149.7307
157.500000 99.565 149.6139
160.000000 99.473 149.5320
162.500000 99.385 149.4731
165.000000 99.295 149.4232
167.500000 99.206 149.3982
170.000000 99.117 149.3988
172.500000 99.032 149.4202
175.000000 98.946 149.3924
177.500000 98.862 149.3660
180.000000 98.782 149.3579
182.500000 98.705 149.3797
185.000000 98.630 149.4120
187.500000 98.556 149.4487
190.000000 98.482 149.4944
192.500000 98.407 149.5544
195.000000 98.332 149.6130
197.500000 98.260 149.6746
200.000000 98.190 149.7549
203.000000 98.106 149.8608
206.000000 98.023 149.9629
209.000000 97.942 150.0773
212.000000 97.863 150.2061
214.000000 97.811 150.2979
218.000000 97.709 150.4971
220.000000 97.659 150.6040
224.000000 97.561 150.8186
227.000000 97.491 150.9843
230.000000 97.422 151.1662
233.000000 97.355 151.3663
236.000000 97.293 151.5692
240.000000 97.217 151.8356
243.000000 97.159 152.0270
247.000000 97.084 152.2716
250.000000 97.032 152.4425
254.000000 96.963 152.6648
258.000000 96.892 152.8566
262.000000 96.820 153.0388
265.000000 96.766 153.1857
269.000000 96.694 153.3900
272.000000 96.640 153.5458
276.000000 96.567 153.7655
280.000000 96.493 154.0069
285.000000 96.402 154.3254
290.000000 96.315 154.6725
295.000000 96.231 155.1007
300.000000 96.158 155.5833
304.000000 96.109 155.9346
307.000000 96.078 156.1809
311.000000 96.042 156.4768
315.000000 96.006 156.7060
320.000000 95.956 156.9327
325.000000 95.899 157.1658
330.000000 95.838 157.4120
335.000000 95.775 157.6771
340.000000 95.712 157.9633
345.000000 95.651 158.2651
350.000000 95.590 158.5776
355.000000 95.532 158.8953
360.000000 95.476 159.2206
365.000000 95.421 159.5517
370.000000 95.367 159.8860
375.000000 95.316 160.2115
382.000000 95.246 160.6789
387.000000 95.197 161.0198
395.000000 95.124 161.5475
400.000000 95.080 161.8846
406.000000 95.028 162.2986
412.000000 94.977 162.7116
418.000000 94.927 163.1165
425.000000 94.875 163.5888
431.000000 94.831 164.0109
437.000000 94.787 164.4203
444.000000 94.736 164.8915
450.000000 94.695 165.2959
455.000000 94.663 165.6315
462.000000 94.620 166.1046
468.000000 94.583 166.5161
475.000000 94.543 166.9862
482.000000 94.503 167.4592
487.000000 94.476 167.8009
494.000000 94.441 168.2722
500.000000 94.411 168.6682
508.000000 94.372 169.1914
515.000000 94.339 169.6503
522.000000 94.309 170.1219
530.000000 94.276 170.6680
538.000000 94.246 171.2053
545.000000 94.220 171.6675
552.000000 94.194 172.1263
560.000000 94.167 172.6515
570.000000 94.136 173.3104
580.000000 94.107 173.9710
590.000000 94.081 174.6280
600.000000 94.056 175.2797
608.000000 94.039 175.8085
615.000000 94.025 176.2682
622.000000 94.013 176.7247
630.000000 94.000 177.2412
640.000000 93.986 177.8882
650.000000 93.974 178.5370
660.000000 93.965 179.1846
670.000000 93.958 179.8286
680.000000 93.953 -179.5278
690.000000 93.952 -178.8875
700.000000 93.952 -178.2554
710.000000 93.955 -177.6302
720.000000 93.960 -177.0093
730.000000 93.969 -176.3943
740.000000 93.980 -175.7911
750.000000 93.992 -175.1999
762.000000 94.007 -174.5072
775.000000 94.025 -173.7723
788.000000 94.042 -173.0443
800.000000 94.055 -172.3642
812.000000 94.069 -171.6615
825.000000 94.086 -170.8654
838.000000 94.111 -170.0309
850.000000 94.141 -169.2488
862.000000 94.180 -168.4707
875.000000 94.230 -167.6506
885.000000 94.273 -167.0376
900.000000 94.346 -166.1426
912.000000 94.408 -165.4502
925.000000 94.480 -164.7363
938.000000 94.556 -164.0566
950.000000 94.630 -163.4559
962.000000 94.707 -162.8793
975.000000 94.793 -162.2834
988.000000 94.881 -161.7232
1000.000000 94.964 -161.2375
1015.000000 95.072 -160.6683
1030.000000 95.180 -160.1469
1044.000000 95.282 -159.7046
1060.000000 95.399 -159.2440
1075.000000 95.510 -158.8522
1090.000000 95.620 -158.4960
1106.000000 95.736 -158.1612
1120.000000 95.836 -157.9036
1138.000000 95.964 -157.6108
1150.000000 96.048 -157.4423
1172.000000 96.199 -157.1843
1180.000000 96.252 -157.1046
1206.000000 96.422 -156.8891
1220.000000 96.511 -156.7961
1241.000000 96.641 -156.6877
1250.000000 96.695 -156.6499
1265.000000 96.783 -156.5983
1280.000000 96.869 -156.5603
1315.000000 97.062 -156.5153
1320.000000 97.089 -156.5120
1340.000000 97.195 -156.5080
1360.000000 97.297 -156.5203
1380.000000 97.397 -156.5457
1400.000000 97.495 -156.5765
1430.000000 97.637 -156.6414
1450.000000 97.730 -156.6991
1475.000000 97.844 -156.7785
1500.000000 97.955 -156.8692
1525.000000 98.064 -156.9752
1550.000000 98.171 -157.0929
1575.000000 98.278 -157.2233
1600.000000 98.382 -157.3701
1625.000000 98.485 -157.5273
1650.000000 98.587 -157.6997
1675.000000 98.688 -157.8850
1700.000000 98.787 -158.0876
1725.000000 98.884 -158.3046
1750.000000 98.980 -158.5359
1775.000000 99.074 -158.7820
1800.000000 99.167 -159.0416
1825.000000 99.259 -159.3078
1850.000000 99.353 -159.5955
1875.000000 99.448 -159.9187
1900.000000 99.541 -160.2529
1925.000000 99.629 -160.5789
1950.000000 99.711 -160.9160
1975.000000 99.791 -161.2768
2000.000000 99.870 -161.6526
2030.000000 99.962 -162.1226
2060.000000 100.050 -162.6121
2090.000000 100.136 -163.1261
2120.000000 100.218 -163.6633
2140.000000 100.271 -164.0327
2180.000000 100.372 -164.8008
2200.000000 100.420 -165.2020
2240.000000 100.509 -166.0388
2270.000000 100.568 -166.6939
2300.000000 100.621 -167.3674
2330.000000 100.667 -168.0611
2360.000000 100.704 -168.7654
2400.000000 100.738 -169.6968
2430.000000 100.754 -170.3718
2470.000000 100.764 -171.2353
2500.000000 100.764 -171.8451
2540.000000 100.759 -172.6073
2580.000000 100.746 -173.3097
2620.000000 100.729 -173.9523
2650.000000 100.712 -174.4004
2690.000000 100.688 -174.9433
2720.000000 100.668 -175.3051
2760.000000 100.640 -175.7176
2800.000000 100.616 -176.0397
2850.000000 100.600 -176.3301
2900.000000 100.610 -176.5687
2950.000000 100.645 -176.8611
3000.000000 100.696 -177.2883
3040.000000 100.739 -177.7538
3070.000000 100.768 -178.1672
3110.000000 100.798 -178.7786
3150.000000 100.818 -179.4247
3200.000000 100.829 179.7622
3250.000000 100.831 178.9649
3300.000000 100.827 178.1861
3350.000000 100.820 177.4130
3400.000000 100.811 176.6386
3450.000000 100.800 175.8510
3500.000000 100.786 175.0406
3550.000000 100.769 174.2051
3600.000000 100.748 173.3376
3650.000000 100.722 172.4285
3700.000000 100.691 171.4762
3750.000000 100.652 170.4772
3820.000000 100.580 168.9898
3870.000000 100.514 167.8632
3950.000000 100.370 165.9582
4000.000000 100.250 164.7336
4060.000000 100.068 163.2909
4120.000000 99.843 161.9883
4180.000000 99.585 160.9408
4250.000000 99.268 160.1020
4310.000000 99.004 159.6675
4370.000000 98.759 159.3494
4440.000000 98.494 159.0125
4500.000000 98.273 158.7377
4550.000000 98.087 158.5227
4620.000000 97.820 158.2665
4680.000000 97.585 158.1140
4750.000000 97.304 158.0397
4820.000000 97.019 158.0907
4870.000000 96.813 158.2083
4940.000000 96.526 158.4917
5000.000000 96.283 158.8448
5080.000000 95.964 159.4645
5150.000000 95.692 160.1353
5220.000000 95.425 160.9139
5300.000000 95.121 161.9537
5380.000000 94.825 163.2943
5450.000000 94.601 164.6757
5520.000000 94.405 166.0584
5600.000000 94.194 167.6725
5700.000000 93.955 169.8526
5800.000000 93.754 172.1911
5900.000000 93.595 174.6486
6000.000000 93.478 177.1965
