* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 22, 2023 11:04:52 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	85.556	-169.1920
20.299999	85.565	-169.9216
20.600000	85.574	-170.6324
20.900000	85.583	-171.3284
21.200001	85.593	-172.0145
21.400000	85.600	-172.4688
21.799999	85.612	-173.3716
22.000000	85.618	-173.8200
22.400000	85.627	-174.7074
22.700001	85.633	-175.3608
23.000000	85.637	-176.0005
23.299999	85.640	-176.6256
23.600000	85.643	-177.2374
24.000000	85.647	-178.0364
24.299999	85.650	-178.6268
24.700001	85.654	-179.4056
25.000000	85.656	-179.9842
25.400000	85.659	179.2521
25.799999	85.662	178.4976
26.200001	85.663	177.7514
26.500000	85.664	177.1965
26.900000	85.664	176.4629
27.200001	85.664	175.9188
27.600000	85.662	175.2039
28.000000	85.660	174.5030
28.500000	85.658	173.6437
29.000000	85.657	172.7950
29.500000	85.656	171.9501
30.000000	85.653	171.1096
30.400000	85.650	170.4442
30.700001	85.647	169.9511
31.100000	85.642	169.3027
31.500000	85.637	168.6649
32.000000	85.629	167.8823
32.500000	85.621	167.1149
33.000000	85.613	166.3593
33.500000	85.606	165.6104
34.000000	85.598	164.8648
34.500000	85.588	164.1236
35.000000	85.578	163.3912
35.500000	85.566	162.6718
36.000000	85.553	161.9661
36.500000	85.541	161.2715
37.000000	85.530	160.5839
37.500000	85.518	159.8993
38.200001	85.502	158.9434
38.700001	85.489	158.2642
39.500000	85.467	157.1908
40.000000	85.453	156.5290
40.599998	85.435	155.7429
41.200001	85.417	154.9659
41.799999	85.398	154.1996
42.500000	85.376	153.3179
43.099998	85.357	152.5700
43.700001	85.338	151.8276
44.400002	85.316	150.9668
45.000000	85.296	150.2324
45.500000	85.279	149.6237
46.200001	85.255	148.7802
46.799999	85.233	148.0669
47.500000	85.208	147.2450
48.200001	85.182	146.4335
48.700001	85.163	145.8607
49.400002	85.137	145.0676
50.000000	85.114	144.3944
50.799999	85.084	143.5042
51.500000	85.057	142.7311
52.200001	85.029	141.9634
53.000000	84.995	141.0950
53.799999	84.962	140.2356
54.500000	84.932	139.4886
55.200001	84.902	138.7465
56.000000	84.868	137.9034
57.000000	84.824	136.8597
58.000000	84.782	135.8306
59.000000	84.740	134.7911
60.000000	84.692	133.7668
60.799999	84.652	132.9933
61.500000	84.620	132.3332
62.200001	84.590	131.6690
63.000000	84.553	130.9079
64.000000	84.506	129.9648
65.000000	84.458	129.0278
66.000000	84.409	128.0970
67.000000	84.358	127.1732
68.000000	84.308	126.2581
69.000000	84.258	125.3504
70.000000	84.208	124.4510
71.000000	84.158	123.5641
72.000000	84.108	122.6895
73.000000	84.057	121.8282
74.000000	84.005	120.9769
75.000000	83.954	120.1298
76.199997	83.890	119.1234
77.500000	83.820	118.0497
78.800003	83.751	116.9892
80.000000	83.687	116.0226
81.199997	83.623	115.0685
82.500000	83.553	114.0484
83.800003	83.481	113.0429
85.000000	83.414	112.1299
86.199997	83.348	111.2301
87.500000	83.275	110.2592
88.500000	83.218	109.5199
90.000000	83.132	108.4301
91.199997	83.064	107.5717
92.500000	82.989	106.6565
93.800003	82.915	105.7551
95.000000	82.845	104.9359
96.199997	82.776	104.1301
97.500000	82.700	103.2712
98.800003	82.624	102.4238
100.000000	82.554	101.6518
101.500000	82.464	100.7021
103.000000	82.373	99.7719
104.400002	82.287	98.9230
106.000000	82.188	97.9673
107.500000	82.094	97.0888
109.000000	81.998	96.2382
110.599998	81.895	95.3608
