* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Sep 22, 2023 11:05:19 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Meteor R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	84.766	-170.3582
20.299999	84.778	-171.0913
20.600000	84.789	-171.8074
20.900000	84.800	-172.5067
21.200001	84.811	-173.1877
21.400000	84.819	-173.6325
21.799999	84.836	-174.5076
22.000000	84.845	-174.9426
22.400000	84.863	-175.8174
22.700001	84.875	-176.4798
23.000000	84.884	-177.1424
23.299999	84.889	-177.7946
23.600000	84.891	-178.4273
24.000000	84.892	-179.2321
24.299999	84.892	-179.8081
24.700001	84.893	179.4495
25.000000	84.896	178.9017
25.400000	84.899	178.1740
25.799999	84.903	177.4472
26.200001	84.905	176.7243
26.500000	84.907	176.1860
26.900000	84.908	175.4725
27.200001	84.909	174.9390
27.600000	84.908	174.2296
28.000000	84.907	173.5257
28.500000	84.903	172.6626
29.000000	84.899	171.8212
29.500000	84.896	170.9927
30.000000	84.894	170.1664
30.400000	84.891	169.5082
30.700001	84.888	169.0203
31.100000	84.884	168.3823
31.500000	84.880	167.7582
32.000000	84.875	166.9882
32.500000	84.871	166.2173
33.000000	84.864	165.4468
33.500000	84.855	164.6916
34.000000	84.844	163.9626
34.500000	84.833	163.2539
35.000000	84.825	162.5496
35.500000	84.816	161.8396
36.000000	84.806	161.1277
36.500000	84.794	160.4236
37.000000	84.781	159.7324
37.500000	84.769	159.0516
38.200001	84.752	158.1045
38.700001	84.741	157.4276
39.500000	84.720	156.3495
40.000000	84.706	155.6857
40.599998	84.690	154.9026
41.200001	84.673	154.1303
41.799999	84.656	153.3649
42.500000	84.636	152.4830
43.099998	84.618	151.7397
43.700001	84.600	151.0048
44.400002	84.579	150.1539
45.000000	84.559	149.4309
45.500000	84.543	148.8337
46.200001	84.519	148.0038
46.799999	84.497	147.2973
47.500000	84.471	146.4830
48.200001	84.444	145.6822
48.700001	84.426	145.1154
49.400002	84.400	144.3245
50.000000	84.378	143.6490
50.799999	84.348	142.7548
51.500000	84.321	141.9788
52.200001	84.294	141.2098
53.000000	84.262	140.3438
53.799999	84.230	139.4903
54.500000	84.202	138.7495
55.200001	84.173	138.0133
56.000000	84.139	137.1796
57.000000	84.095	136.1521
58.000000	84.051	135.1391
59.000000	84.006	134.1328
60.000000	83.960	133.1387
60.799999	83.923	132.3517
61.500000	83.891	131.6663
62.200001	83.859	130.9857
63.000000	83.822	130.2157
64.000000	83.776	129.2631
65.000000	83.730	128.3224
66.000000	83.683	127.3948
67.000000	83.636	126.4789
68.000000	83.588	125.5760
69.000000	83.540	124.6851
70.000000	83.490	123.8038
71.000000	83.439	122.9374
72.000000	83.389	122.0826
73.000000	83.339	121.2302
74.000000	83.288	120.3779
75.000000	83.236	119.5267
76.199997	83.172	118.5123
77.500000	83.103	117.4371
78.800003	83.035	116.3826
80.000000	82.974	115.4147
81.199997	82.911	114.4495
82.500000	82.839	113.4417
83.800003	82.770	112.4682
85.000000	82.707	111.5706
86.199997	82.642	110.6779
87.500000	82.571	109.7222
88.500000	82.515	108.9966
90.000000	82.432	107.9207
91.199997	82.365	107.0727
92.500000	82.292	106.1699
93.800003	82.219	105.2821
95.000000	82.152	104.4725
96.199997	82.084	103.6734
97.500000	82.010	102.8200
98.800003	81.934	101.9782
100.000000	81.864	101.2115
101.500000	81.775	100.2717
103.000000	81.684	99.3627
104.400002	81.600	98.5397
106.000000	81.502	97.6277
107.500000	81.407	96.8015
109.000000	81.310	96.0167
110.599998	81.204	95.2443
112.000000	81.111	94.6314
113.800003	80.994	93.9514
115.000000	80.922	93.5857
117.199997	80.822	93.0771
118.000000	80.801	92.9104
120.599998	80.797	92.2568
122.000000	80.827	91.6659
124.099998	80.859	90.3398
125.000000	80.856	89.6628
126.500000	80.826	88.4803
128.000000	80.769	87.3195
131.500000	80.588	84.9489
132.000000	80.560	84.6476
134.000000	80.445	83.5250
136.000000	80.329	82.5058
138.000000	80.217	81.5379
140.000000	80.110	80.5869
143.000000	79.951	79.2219
145.000000	79.846	78.3854
147.500000	79.717	77.4077
150.000000	79.592	76.4560
152.500000	79.470	75.5101
155.000000	79.348	74.6030
157.500000	79.227	73.7603
160.000000	79.105	72.9409
162.500000	78.981	72.1392
165.000000	78.865	71.4415
167.500000	78.767	70.8176
170.000000	78.675	70.2345
172.500000	78.588	69.6895
175.000000	78.515	69.1349
177.500000	78.455	68.5294
180.000000	78.400	67.8604
182.500000	78.343	67.1350
185.000000	78.279	66.3662
187.500000	78.208	65.5854
190.000000	78.131	64.8234
192.500000	78.052	64.0962
195.000000	77.970	63.4066
197.500000	77.886	62.7488
200.000000	77.802	62.1174
203.000000	77.703	61.3893
206.000000	77.606	60.6895
209.000000	77.510	60.0231
212.000000	77.416	59.3954
214.000000	77.353	58.9941
218.000000	77.230	58.2215
220.000000	77.169	57.8531
224.000000	77.051	57.1581
227.000000	76.964	56.6746
230.000000	76.877	56.2229
233.000000	76.792	55.7999
236.000000	76.707	55.4107
240.000000	76.595	54.9476
243.000000	76.514	54.6445
247.000000	76.414	54.3687
250.000000	76.346	54.2961
254.000000	76.277	54.3146
258.000000	76.255	54.3798
262.000000	76.282	54.2926
265.000000	76.319	53.9951
269.000000	76.358	53.2807
272.000000	76.362	52.6035
276.000000	76.331	51.6822
280.000000	76.271	50.8592
285.000000	76.176	50.0258
290.000000	76.076	49.3940
295.000000	75.980	48.9278
300.000000	75.893	48.6296
304.000000	75.835	48.5366
307.000000	75.803	48.5386
311.000000	75.790	48.5811
315.000000	75.814	48.5557
320.000000	75.879	48.2308
325.000000	75.936	47.5275
330.000000	75.954	46.6344
335.000000	75.936	45.7625
340.000000	75.899	44.9934
345.000000	75.854	44.3419
350.000000	75.809	43.7817
355.000000	75.767	43.2824
360.000000	75.727	42.8290
365.000000	75.691	42.4068
370.000000	75.660	42.0022
375.000000	75.633	41.5995
382.000000	75.598	41.0388
387.000000	75.573	40.6500
395.000000	75.535	40.0567
400.000000	75.513	39.7083
406.000000	75.488	39.3088
412.000000	75.464	38.9224
418.000000	75.442	38.5487
425.000000	75.420	38.1288
431.000000	75.405	37.7765
437.000000	75.391	37.4256
444.000000	75.375	37.0117
450.000000	75.362	36.6500
455.000000	75.350	36.3462
462.000000	75.336	35.9309
468.000000	75.324	35.5848
475.000000	75.309	35.1857
482.000000	75.293	34.7934
487.000000	75.281	34.5169
494.000000	75.263	34.1402
500.000000	75.247	33.8279
508.000000	75.226	33.4246
515.000000	75.206	33.0869
522.000000	75.187	32.7654
530.000000	75.166	32.4087
538.000000	75.145	32.0591
545.000000	75.126	31.7697
552.000000	75.108	31.4950
560.000000	75.087	31.1922
570.000000	75.061	30.8326
580.000000	75.034	30.4932
590.000000	75.007	30.1708
600.000000	74.980	29.8686
608.000000	74.960	29.6451
615.000000	74.942	29.4652
622.000000	74.925	29.2952
630.000000	74.905	29.1049
640.000000	74.878	28.8906
650.000000	74.853	28.6990
660.000000	74.828	28.5231
670.000000	74.804	28.3715
680.000000	74.779	28.2458
690.000000	74.756	28.1336
700.000000	74.733	28.0347
710.000000	74.712	27.9555
720.000000	74.693	27.9012
730.000000	74.675	27.8696
740.000000	74.659	27.8599
750.000000	74.644	27.8699
762.000000	74.631	27.8953
775.000000	74.619	27.9477
788.000000	74.610	28.0208
800.000000	74.605	28.0996
812.000000	74.603	28.1874
825.000000	74.606	28.2980
838.000000	74.611	28.4204
850.000000	74.619	28.5415
862.000000	74.630	28.6721
875.000000	74.647	28.8183
885.000000	74.664	28.9311
900.000000	74.692	29.0979
912.000000	74.718	29.2317
925.000000	74.751	29.3702
938.000000	74.787	29.4995
950.000000	74.823	29.6086
962.000000	74.863	29.7075
975.000000	74.908	29.8012
988.000000	74.956	29.8775
1000.000000	75.001	29.9288
1015.000000	75.060	29.9667
1030.000000	75.120	29.9781
1044.000000	75.177	29.9688
1060.000000	75.241	29.9347
1075.000000	75.302	29.8832
1090.000000	75.362	29.8076
1106.000000	75.428	29.6990
1120.000000	75.484	29.5838
1138.000000	75.554	29.4050
1150.000000	75.598	29.2672
1172.000000	75.674	28.9901
1180.000000	75.700	28.8836
1206.000000	75.778	28.5259
1220.000000	75.815	28.3303
1241.000000	75.868	28.0408
1250.000000	75.889	27.9208
1265.000000	75.923	27.7258
1280.000000	75.954	27.5382
1315.000000	76.023	27.1362
1320.000000	76.033	27.0828
1340.000000	76.068	26.8763
1360.000000	76.102	26.6864
1380.000000	76.136	26.5172
1400.000000	76.169	26.3662
1430.000000	76.220	26.1741
1450.000000	76.254	26.0687
1475.000000	76.299	25.9559
1500.000000	76.346	25.8600
1525.000000	76.395	25.7864
1550.000000	76.448	25.7325
1575.000000	76.505	25.6874
1600.000000	76.566	25.6547
1625.000000	76.630	25.6323
1650.000000	76.700	25.6108
1675.000000	76.774	25.5898
1700.000000	76.853	25.5721
1725.000000	76.937	25.5508
1750.000000	77.026	25.5258
1775.000000	77.121	25.4973
1800.000000	77.224	25.4613
1825.000000	77.333	25.4091
1850.000000	77.451	25.3250
1875.000000	77.576	25.1946
1900.000000	77.706	25.0080
1925.000000	77.838	24.7666
