* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 31, 2023 4:38:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim One DSP (Dflt) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 102.749 -141.9902
20.600000 102.785 -142.7791
20.900000 102.825 -143.6575
21.200001 102.861 -144.5366
21.400000 102.884 -145.1210
21.799999 102.928 -146.2870
22.000000 102.950 -146.8676
22.400000 102.995 -148.0213
22.700001 103.030 -148.8810
23.000000 103.066 -149.7404
23.299999 103.102 -150.6032
23.600000 103.136 -151.4676
24.000000 103.172 -152.6046
24.299999 103.193 -153.4239
24.700001 103.214 -154.4430
25.000000 103.228 -155.1485
25.400000 103.250 -156.0360
25.799999 103.277 -156.9138
26.200001 103.305 -157.8251
26.500000 103.322 -158.5326
26.900000 103.335 -159.4776
27.200001 103.340 -160.1611
27.600000 103.345 -161.0172
28.000000 103.355 -161.8226
28.500000 103.379 -162.8217
29.000000 103.408 -163.8712
29.500000 103.430 -164.9569
30.000000 103.444 -166.0166
30.400000 103.453 -166.8193
30.700001 103.460 -167.3970
31.100000 103.472 -168.1450
31.500000 103.482 -168.8755
32.000000 103.493 -169.7637
32.500000 103.501 -170.6245
33.000000 103.509 -171.4747
33.500000 103.517 -172.3367
34.000000 103.521 -173.2111
34.500000 103.523 -174.0748
35.000000 103.524 -174.9077
35.500000 103.526 -175.7121
36.000000 103.528 -176.5041
36.500000 103.529 -177.2918
37.000000 103.527 -178.0678
37.500000 103.526 -178.8203
38.200001 103.527 -179.8319
38.700001 103.530 179.4645
39.500000 103.528 178.3566
40.000000 103.522 177.6739
40.599998 103.515 176.8514
41.200001 103.511 176.0123
41.799999 103.507 175.1805
42.500000 103.503 174.2837
43.099998 103.502 173.5791
43.700001 103.503 172.8742
44.400002 103.501 172.0079
45.000000 103.499 171.2481
45.500000 103.497 170.6231
46.200001 103.488 169.7974
46.799999 103.473 169.1594
47.500000 103.459 168.3929
48.200001 103.449 167.3872
48.700001 103.431 166.5423
49.400002 103.390 165.5008
50.000000 103.371 164.9388
50.799999 103.398 164.4282
51.500000 103.428 163.8619
52.200001 103.425 163.1807
53.000000 103.406 162.3797
53.799999 103.397 161.5331
54.500000 103.392 160.7863
55.200001 103.384 160.0903
56.000000 103.373 159.3237
57.000000 103.358 158.3378
58.000000 103.346 157.3523
59.000000 103.335 156.3911
60.000000 103.320 155.4453
60.799999 103.306 154.6883
61.500000 103.296 154.0262
62.200001 103.286 153.3701
63.000000 103.273 152.6350
64.000000 103.256 151.7357
65.000000 103.240 150.8414
66.000000 103.222 149.9542
67.000000 103.204 149.0755
68.000000 103.186 148.2009
69.000000 103.166 147.3368
70.000000 103.143 146.4929
71.000000 103.120 145.6723
72.000000 103.100 144.8312
73.000000 103.079 143.9686
74.000000 103.056 143.1367
75.000000 103.031 142.3260
76.199997 102.999 141.3640
77.500000 102.968 140.3169
78.800003 102.935 139.2901
80.000000 102.902 138.3759
81.199997 102.867 137.4647
82.500000 102.827 136.4744
83.800003 102.786 135.5052
85.000000 102.750 134.6099
86.199997 102.714 133.7248
87.500000 102.672 132.8100
88.500000 102.638 132.1179
90.000000 102.586 131.0698
91.199997 102.544 130.2335
92.500000 102.495 129.3412
93.800003 102.446 128.4625
95.000000 102.399 127.6744
96.199997 102.353 126.9037
97.500000 102.309 126.0820
98.800003 102.266 125.2845
100.000000 102.215 124.5461
101.500000 102.141 123.6155
103.000000 102.071 122.6902
104.400002 102.008 121.8592
106.000000 101.939 120.9435
107.500000 101.872 120.0926
109.000000 101.803 119.2528
110.599998 101.730 118.3826
112.000000 101.663 117.6417
113.800003 101.577 116.7011
115.000000 101.519 116.0915
117.199997 101.412 115.0116
118.000000 101.372 114.6197
120.599998 101.241 113.3732
122.000000 101.171 112.7455
124.099998 101.066 111.8183
125.000000 101.021 111.4330
126.500000 100.946 110.8171
128.000000 100.868 110.2218
131.500000 100.685 108.8380
132.000000 100.659 108.6462
134.000000 100.557 107.9088
136.000000 100.457 107.1956
138.000000 100.353 106.5266
140.000000 100.244 105.9266
143.000000 100.090 105.0246
145.000000 99.991 104.4351
147.500000 99.864 103.7014
150.000000 99.733 103.0597
152.500000 99.606 102.5543
155.000000 99.486 102.0407
157.500000 99.367 101.5683
160.000000 99.252 101.1676
162.500000 99.142 100.7875
165.000000 99.028 100.4165
167.500000 98.908 100.1727
170.000000 98.793 99.9515
172.500000 98.704 99.4659
175.000000 98.612 99.1286
177.500000 98.517 98.9181
180.000000 98.417 98.6241
182.500000 98.319 98.3746
185.000000 98.226 98.2013
187.500000 98.140 98.0826
190.000000 98.060 97.9527
192.500000 97.980 97.8535
195.000000 97.899 97.8273
197.500000 97.821 97.8397
200.000000 97.740 97.8274
203.000000 97.642 97.8551
206.000000 97.551 97.9770
209.000000 97.471 98.1717
212.000000 97.399 98.4763
214.000000 97.357 98.7340
218.000000 97.293 99.4306
220.000000 97.279 99.8261
224.000000 97.294 100.6063
227.000000 97.343 101.1627
230.000000 97.428 101.6013
233.000000 97.536 101.8377
236.000000 97.650 101.8272
240.000000 97.793 101.4687
243.000000 97.887 101.0424
247.000000 97.983 100.2775
250.000000 98.040 99.6685
254.000000 98.098 98.8916
258.000000 98.127 98.1400
262.000000 98.138 97.4196
265.000000 98.139 96.9218
269.000000 98.137 96.2978
272.000000 98.135 95.8466
276.000000 98.129 95.2767
280.000000 98.122 94.7453
285.000000 98.113 94.1214
290.000000 98.103 93.5351
295.000000 98.092 92.9696
300.000000 98.083 92.4356
304.000000 98.074 91.9948
307.000000 98.068 91.6705
311.000000 98.062 91.2586
315.000000 98.058 90.8590
320.000000 98.049 90.3779
325.000000 98.035 89.9145
330.000000 98.028 89.4621
335.000000 98.025 88.9794
340.000000 98.021 88.4988
345.000000 98.013 88.0245
350.000000 98.004 87.5764
355.000000 97.997 87.1308
360.000000 97.989 86.6958
365.000000 97.982 86.2912
370.000000 97.972 85.8794
375.000000 97.959 85.4561
382.000000 97.944 84.9000
387.000000 97.932 84.4987
395.000000 97.913 83.9223
400.000000 97.901 83.5740
406.000000 97.887 83.1585
412.000000 97.873 82.7628
418.000000 97.858 82.3759
425.000000 97.840 81.9281
431.000000 97.824 81.5607
437.000000 97.808 81.2070
444.000000 97.789 80.8082
450.000000 97.773 80.4810
455.000000 97.760 80.2170
462.000000 97.741 79.8611
468.000000 97.724 79.5736
475.000000 97.705 79.2578
482.000000 97.686 78.9602
487.000000 97.672 78.7565
494.000000 97.652 78.4836
500.000000 97.636 78.2617
508.000000 97.614 77.9908
515.000000 97.595 77.7743
522.000000 97.578 77.5734
530.000000 97.558 77.3644
538.000000 97.538 77.1724
545.000000 97.520 77.0267
552.000000 97.503 76.8969
560.000000 97.484 76.7669
570.000000 97.461 76.6289
580.000000 97.438 76.5331
590.000000 97.416 76.4632
600.000000 97.394 76.4254
608.000000 97.378 76.4157
615.000000 97.364 76.4240
622.000000 97.351 76.4507
630.000000 97.337 76.5015
640.000000 97.321 76.5836
650.000000 97.306 76.6797
660.000000 97.290 76.7988
670.000000 97.277 76.9341
680.000000 97.265 77.0865
690.000000 97.255 77.2660
700.000000 97.247 77.4731
710.000000 97.240 77.7071
720.000000 97.235 77.9657
730.000000 97.231 78.2443
740.000000 97.230 78.5483
750.000000 97.230 78.8740
762.000000 97.233 79.2921
775.000000 97.239 79.7810
788.000000 97.249 80.3056
800.000000 97.261 80.8167
812.000000 97.277 81.3528
825.000000 97.298 81.9578
838.000000 97.324 82.5835
850.000000 97.352 83.1799
862.000000 97.382 83.7938
875.000000 97.419 84.4752
885.000000 97.450 85.0072
900.000000 97.501 85.8163
912.000000 97.545 86.4709
925.000000 97.595 87.1850
938.000000 97.648 87.9071
950.000000 97.700 88.5758
962.000000 97.753 89.2427
975.000000 97.813 89.9628
988.000000 97.875 90.6715
1000.000000 97.933 91.3111
1015.000000 98.005 92.0854
1030.000000 98.077 92.8238
1044.000000 98.143 93.4897
1060.000000 98.218 94.2353
1075.000000 98.286 94.9214
1090.000000 98.352 95.5907
1106.000000 98.419 96.2929
1120.000000 98.473 96.9062
1138.000000 98.539 97.6974
1150.000000 98.580 98.2282
1172.000000 98.648 99.2145
1180.000000 98.671 99.5820
1206.000000 98.738 100.8188
1220.000000 98.771 101.5130
1241.000000 98.817 102.6001
1250.000000 98.836 103.0843
1265.000000 98.867 103.9177
1280.000000 98.897 104.7857
1315.000000 98.972 106.9363
1320.000000 98.984 107.2573
1340.000000 99.034 108.5722
1360.000000 99.090 109.9307
1380.000000 99.152 111.3265
1400.000000 99.222 112.7523
1430.000000 99.342 114.9269
1450.000000 99.436 116.3947
1475.000000 99.573 118.1805
1500.000000 99.720 119.8949
1525.000000 99.869 121.5824
1550.000000 100.017 123.2224
1575.000000 100.166 124.8059
1600.000000 100.318 126.3513
1625.000000 100.471 127.8477
1650.000000 100.623 129.2735
1675.000000 100.773 130.6235
1700.000000 100.920 131.9134
1725.000000 101.066 133.1717
1750.000000 101.211 134.4108
1775.000000 101.354 135.6292
1800.000000 101.496 136.8331
1825.000000 101.636 138.0229
1850.000000 101.775 139.1963
1875.000000 101.913 140.3589
1900.000000 102.051 141.5090
1925.000000 102.187 142.6469
1950.000000 102.323 143.7719
1975.000000 102.459 144.8813
2000.000000 102.595 145.9753
2030.000000 102.758 147.2642
2060.000000 102.921 148.5285
2090.000000 103.084 149.7658
2120.000000 103.246 150.9702
2140.000000 103.354 151.7564
2180.000000 103.570 153.2818
2200.000000 103.678 154.0196
2240.000000 103.892 155.4420
2270.000000 104.051 156.4581
2300.000000 104.208 157.4290
2330.000000 104.363 158.3529
2360.000000 104.514 159.2303
2400.000000 104.710 160.3196
2430.000000 104.850 161.0803
2470.000000 105.029 162.0262
2500.000000 105.156 162.6862
2540.000000 105.314 163.5118
2580.000000 105.459 164.2785
2620.000000 105.589 164.9970
2650.000000 105.677 165.5115
2690.000000 105.782 166.1736
2720.000000 105.850 166.6573
2760.000000 105.929 167.2899
2800.000000 105.995 167.9200
2850.000000 106.058 168.7116
2900.000000 106.102 169.5204
2950.000000 106.128 170.3541
3000.000000 106.139 171.2206
3040.000000 106.137 171.9385
3070.000000 106.129 172.4930
3110.000000 106.113 173.2545
3150.000000 106.089 174.0382
3200.000000 106.049 175.0574
3250.000000 105.999 176.1216
3300.000000 105.940 177.2297
3350.000000 105.871 178.3792
3400.000000 105.795 179.5688
3450.000000 105.712 -179.1962
3500.000000 105.624 -177.9160
3550.000000 105.532 -176.5886
3600.000000 105.436 -175.2190
3650.000000 105.338 -173.8093
3700.000000 105.238 -172.3640
3750.000000 105.138 -170.8904
3820.000000 104.995 -168.7862
3870.000000 104.892 -167.2585
3950.000000 104.726 -164.7660
4000.000000 104.622 -163.1739
4060.000000 104.498 -161.2327
4120.000000 104.376 -159.2776
4180.000000 104.257 -157.3676
4250.000000 104.118 -155.3151
4310.000000 104.000 -153.6975
4370.000000 103.886 -152.1561
4440.000000 103.757 -150.4410
4500.000000 103.650 -149.0431
4550.000000 103.563 -147.9346
4620.000000 103.444 -146.4711
4680.000000 103.346 -145.3022
4750.000000 103.235 -144.0441
4820.000000 103.126 -142.9032
4870.000000 103.050 -142.1643
4940.000000 102.943 -141.2349
5000.000000 102.851 -140.5336
5080.000000 102.724 -139.7295
5150.000000 102.607 -139.1216
5220.000000 102.483 -138.5489
5300.000000 102.342 -137.8295
5380.000000 102.235 -136.9843
5450.000000 102.200 -136.3167
5520.000000 102.215 -136.0160
5600.000000 102.243 -136.2706
5700.000000 102.239 -137.2255
5800.000000 102.187 -138.5407
5900.000000 102.108 -140.0625
6000.000000 102.014 -141.7579
6080.000000 101.934 -143.2193
6150.000000 101.863 -144.5229
6220.000000 101.794 -145.7987
6300.000000 101.716 -147.2426
6400.000000 101.622 -149.1014
