* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 31, 2023 4:45:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim One DSP (Dflt) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 102.288 -141.0026
20.600000 102.328 -141.8151
20.900000 102.370 -142.7392
21.200001 102.407 -143.6722
21.400000 102.429 -144.2884
21.799999 102.470 -145.4944
22.000000 102.490 -146.0833
22.400000 102.534 -147.2443
22.700001 102.567 -148.1141
23.000000 102.600 -148.9910
23.299999 102.630 -149.8712
23.600000 102.655 -150.7413
24.000000 102.683 -151.8595
24.299999 102.705 -152.6579
24.700001 102.739 -153.6841
25.000000 102.769 -154.4475
25.400000 102.811 -155.4823
25.799999 102.848 -156.5312
26.200001 102.877 -157.5553
26.500000 102.894 -158.2833
26.900000 102.918 -159.1974
27.200001 102.939 -159.8602
27.600000 102.973 -160.7544
28.000000 103.005 -161.6854
28.500000 103.031 -162.8688
29.000000 103.039 -163.9837
29.500000 103.041 -164.9877
30.000000 103.049 -165.9397
30.400000 103.061 -166.7229
30.700001 103.069 -167.3342
31.100000 103.078 -168.1678
31.500000 103.084 -168.9938
32.000000 103.091 -169.9850
32.500000 103.101 -170.9304
33.000000 103.112 -171.8472
33.500000 103.121 -172.7430
34.000000 103.128 -173.6214
34.500000 103.133 -174.4955
35.000000 103.138 -175.3786
35.500000 103.141 -176.2646
36.000000 103.140 -177.1298
36.500000 103.140 -177.9577
37.000000 103.142 -178.7558
37.500000 103.147 -179.5453
38.200001 103.152 179.3441
38.700001 103.152 178.5561
39.500000 103.148 177.3257
40.000000 103.145 176.5699
40.599998 103.143 175.6700
41.200001 103.141 174.7855
41.799999 103.139 173.9267
42.500000 103.135 172.9592
43.099998 103.132 172.1500
43.700001 103.131 171.3352
44.400002 103.133 170.3588
45.000000 103.131 169.5403
45.500000 103.128 168.9066
46.200001 103.121 168.0546
46.799999 103.111 167.2812
47.500000 103.095 166.3369
48.200001 103.102 165.4033
48.700001 103.132 164.6982
49.400002 103.173 163.6138
50.000000 103.168 162.7499
50.799999 103.113 161.9643
51.500000 103.073 161.4410
52.200001 103.053 160.7355
53.000000 103.038 159.7364
53.799999 103.030 158.7796
54.500000 103.027 157.9996
55.200001 103.019 157.2305
56.000000 103.005 156.3474
57.000000 102.991 155.2188
58.000000 102.979 154.1117
59.000000 102.965 153.0399
60.000000 102.949 151.9608
60.799999 102.936 151.1036
61.500000 102.925 150.3671
62.200001 102.914 149.6399
63.000000 102.900 148.8113
64.000000 102.882 147.7747
65.000000 102.864 146.7497
66.000000 102.846 145.7476
67.000000 102.826 144.7518
68.000000 102.805 143.7519
69.000000 102.784 142.7484
70.000000 102.761 141.7585
71.000000 102.740 140.7964
72.000000 102.718 139.8396
73.000000 102.695 138.8857
74.000000 102.671 137.9422
75.000000 102.646 137.0037
76.199997 102.614 135.8837
77.500000 102.579 134.6794
78.800003 102.543 133.4880
80.000000 102.507 132.4113
81.199997 102.472 131.3484
82.500000 102.431 130.2072
83.800003 102.388 129.0783
85.000000 102.348 128.0423
86.199997 102.309 127.0239
87.500000 102.265 125.9423
88.500000 102.227 125.1230
90.000000 102.169 123.8833
91.199997 102.126 122.8854
92.500000 102.080 121.8146
93.800003 102.031 120.7742
95.000000 101.986 119.8305
96.199997 101.939 118.8968
97.500000 101.886 117.8824
98.800003 101.835 116.8391
100.000000 101.785 115.9043
101.500000 101.716 114.8653
103.000000 101.646 113.8243
104.400002 101.584 112.8277
106.000000 101.511 111.7189
107.500000 101.442 110.6920
109.000000 101.372 109.6650
110.599998 101.295 108.5970
112.000000 101.227 107.6878
113.800003 101.140 106.5574
115.000000 101.083 105.8178
117.199997 100.974 104.4760
118.000000 100.934 103.9957
120.599998 100.803 102.4722
122.000000 100.732 101.6752
124.099998 100.623 100.5061
125.000000 100.576 100.0186
126.500000 100.497 99.2205
128.000000 100.418 98.4359
131.500000 100.235 96.6980
132.000000 100.209 96.4593
134.000000 100.105 95.5104
136.000000 99.998 94.6013
138.000000 99.891 93.7168
140.000000 99.789 92.8621
143.000000 99.626 91.6278
145.000000 99.520 90.8566
147.500000 99.390 89.9515
150.000000 99.261 89.0748
152.500000 99.130 88.2303
155.000000 99.003 87.4527
157.500000 98.877 86.7030
160.000000 98.751 85.9940
162.500000 98.631 85.3006
165.000000 98.511 84.6634
167.500000 98.380 84.2239
170.000000 98.246 83.9184
172.500000 98.152 83.1730
175.000000 98.064 82.5203
177.500000 97.983 81.9691
180.000000 97.889 81.5590
182.500000 97.769 81.3227
185.000000 97.659 81.0196
187.500000 97.553 80.6642
190.000000 97.440 80.3721
192.500000 97.340 80.1612
195.000000 97.243 80.0768
197.500000 97.145 80.1752
200.000000 97.062 80.4067
203.000000 96.995 80.6766
206.000000 96.968 81.0912
209.000000 97.002 81.5574
212.000000 97.101 81.8031
214.000000 97.183 81.7271
218.000000 97.320 81.0136
220.000000 97.363 80.4707
224.000000 97.415 79.3638
227.000000 97.423 78.5290
230.000000 97.415 77.8557
233.000000 97.408 77.4593
236.000000 97.404 77.2164
240.000000 97.412 76.8995
243.000000 97.454 76.3308
247.000000 97.535 75.5992
250.000000 97.591 74.9838
254.000000 97.650 74.0410
258.000000 97.693 72.9976
262.000000 97.719 71.8924
265.000000 97.729 71.0649
269.000000 97.734 70.0473
272.000000 97.733 69.3063
276.000000 97.730 68.3470
280.000000 97.725 67.4302
285.000000 97.719 66.2813
290.000000 97.712 65.1629
295.000000 97.704 64.0944
300.000000 97.697 63.0375
304.000000 97.693 62.2095
307.000000 97.689 61.6032
311.000000 97.683 60.8086
315.000000 97.673 60.0312
320.000000 97.661 59.0891
325.000000 97.664 58.1600
330.000000 97.669 57.2059
335.000000 97.670 56.2562
340.000000 97.669 55.3150
345.000000 97.664 54.3882
350.000000 97.658 53.4801
355.000000 97.653 52.5725
360.000000 97.648 51.6745
365.000000 97.645 50.8074
370.000000 97.640 49.9547
375.000000 97.632 49.1067
382.000000 97.621 47.9410
387.000000 97.616 47.1201
395.000000 97.604 45.8456
400.000000 97.596 45.0615
406.000000 97.585 44.1277
412.000000 97.573 43.2091
418.000000 97.560 42.3034
425.000000 97.547 41.2605
431.000000 97.535 40.3810
437.000000 97.523 39.5154
444.000000 97.509 38.5338
450.000000 97.497 37.7017
455.000000 97.488 37.0205
462.000000 97.475 36.0919
468.000000 97.463 35.3111
475.000000 97.449 34.4076
482.000000 97.436 33.5174
487.000000 97.426 32.8927
494.000000 97.412 32.0412
500.000000 97.399 31.3254
508.000000 97.383 30.3903
515.000000 97.369 29.5948
522.000000 97.355 28.8167
530.000000 97.339 27.9445
538.000000 97.323 27.0936
545.000000 97.309 26.3685
552.000000 97.295 25.6622
560.000000 97.279 24.8774
570.000000 97.261 23.9258
580.000000 97.243 23.0034
590.000000 97.225 22.1108
600.000000 97.209 21.2433
608.000000 97.196 20.5638
615.000000 97.185 19.9827
622.000000 97.176 19.4166
630.000000 97.165 18.7917
640.000000 97.153 18.0408
650.000000 97.142 17.3201
660.000000 97.132 16.6246
670.000000 97.122 15.9589
680.000000 97.114 15.3263
690.000000 97.108 14.7211
700.000000 97.102 14.1400
710.000000 97.099 13.5881
720.000000 97.097 13.0654
730.000000 97.096 12.5652
740.000000 97.097 12.0867
750.000000 97.100 11.6321
762.000000 97.106 11.1212
775.000000 97.116 10.6096
788.000000 97.130 10.1282
800.000000 97.145 9.7117
812.000000 97.164 9.3254
825.000000 97.188 8.9336
838.000000 97.216 8.5692
850.000000 97.246 8.2555
862.000000 97.280 7.9565
875.000000 97.320 7.6374
885.000000 97.352 7.3948
900.000000 97.403 7.0291
912.000000 97.447 6.7368
925.000000 97.499 6.4293
938.000000 97.553 6.1295
950.000000 97.606 5.8578
962.000000 97.660 5.5878
975.000000 97.721 5.2952
988.000000 97.783 5.0011
1000.000000 97.841 4.7278
1015.000000 97.913 4.3879
1030.000000 97.985 4.0485
1044.000000 98.052 3.7285
1060.000000 98.127 3.3611
1075.000000 98.194 3.0184
1090.000000 98.259 2.6849
1106.000000 98.325 2.3372
1120.000000 98.380 2.0442
1138.000000 98.446 1.6919
1150.000000 98.486 1.4774
1172.000000 98.555 1.1324
1180.000000 98.578 1.0229
1206.000000 98.647 0.7402
1220.000000 98.681 0.6379
1241.000000 98.728 0.5592
1250.000000 98.747 0.5538
1265.000000 98.779 0.5823
1280.000000 98.811 0.6594
1315.000000 98.890 0.9815
1320.000000 98.902 1.0399
1340.000000 98.951 1.2968
1360.000000 99.006 1.5923
1380.000000 99.067 1.9283
1400.000000 99.134 2.2937
1430.000000 99.244 2.8854
1450.000000 99.323 3.3159
1475.000000 99.435 3.8940
1500.000000 99.563 4.4697
1525.000000 99.702 5.0620
1550.000000 99.844 5.6705
1575.000000 99.994 6.2574
1600.000000 100.155 6.8425
1625.000000 100.333 7.3907
1650.000000 100.528 7.8185
1675.000000 100.725 8.0569
1700.000000 100.906 8.1453
1725.000000 101.065 8.1878
1750.000000 101.209 8.2570
1775.000000 101.344 8.3729
1800.000000 101.475 8.5270
1825.000000 101.604 8.7117
1850.000000 101.731 8.9200
1875.000000 101.859 9.1435
1900.000000 101.986 9.3755
1925.000000 102.113 9.6116
1950.000000 102.239 9.8520
1975.000000 102.366 10.0978
2000.000000 102.493 10.3467
2030.000000 102.647 10.6329
2060.000000 102.799 10.8743
2090.000000 102.949 11.0671
2120.000000 103.099 11.2269
2140.000000 103.200 11.3258
2180.000000 103.399 11.5063
2200.000000 103.499 11.5869
2240.000000 103.697 11.7264
2270.000000 103.844 11.8102
2300.000000 103.990 11.8772
2330.000000 104.134 11.9232
2360.000000 104.277 11.9442
2400.000000 104.464 11.9283
2430.000000 104.600 11.8820
2470.000000 104.776 11.7809
2500.000000 104.904 11.6722
2540.000000 105.066 11.4871
2580.000000 105.219 11.2618
2620.000000 105.360 10.9985
2650.000000 105.458 10.7803
2690.000000 105.578 10.4689
2720.000000 105.660 10.2240
2760.000000 105.757 9.8894
2800.000000 105.841 9.5542
2850.000000 105.929 9.1427
2900.000000 105.996 8.7478
2950.000000 106.045 8.3822
3000.000000 106.075 8.0527
3040.000000 106.088 7.8257
3070.000000 106.090 7.6790
3110.000000 106.085 7.5170
3150.000000 106.072 7.3929
3200.000000 106.043 7.2943
3250.000000 106.002 7.2620
3300.000000 105.950 7.2954
3350.000000 105.888 7.3993
3400.000000 105.817 7.5735
3450.000000 105.739 7.8213
3500.000000 105.655 8.1371
3550.000000 105.565 8.5198
3600.000000 105.471 8.9684
3650.000000 105.374 9.4799
3700.000000 105.273 10.0511
3750.000000 105.169 10.6729
3820.000000 105.018 11.6329
3870.000000 104.908 12.3823
3950.000000 104.730 13.6617
4000.000000 104.618 14.4348
4060.000000 104.479 15.2721
4120.000000 104.341 16.0526
4180.000000 104.202 16.8180
4250.000000 104.043 17.6921
4310.000000 103.907 18.4120
4370.000000 103.773 19.1064
4440.000000 103.617 19.8868
4500.000000 103.485 20.5275
4550.000000 103.376 21.0371
4620.000000 103.225 21.7155
4680.000000 103.097 22.2616
4750.000000 102.950 22.8444
4820.000000 102.804 23.3673
4870.000000 102.699 23.7044
4940.000000 102.552 24.1332
5000.000000 102.423 24.4686
5080.000000 102.245 24.8868
5150.000000 102.082 25.2849
5220.000000 101.916 25.8191
5300.000000 101.756 26.7366
5380.000000 101.691 27.8591
5450.000000 101.738 28.4933
5520.000000 101.827 28.3948
5600.000000 101.891 27.5197
5700.000000 101.875 25.9747
5800.000000 101.798 24.3641
5900.000000 101.700 22.7373
6000.000000 101.600 21.0278
6080.000000 101.523 19.5654
6150.000000 101.459 18.2031
6220.000000 101.398 16.7560
6300.000000 101.334 14.9862
6400.000000 101.262 12.5830
6500.000000 101.199 9.9558
6600.000000 101.145 7.1023
6700.000000 101.101 4.0143
