* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 31, 2023 5:03:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim One DSP (Flat) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 104.350 -130.0829
20.600000 104.403 -130.8117
20.900000 104.462 -131.6292
21.200001 104.520 -132.4554
21.400000 104.557 -133.0083
21.799999 104.630 -134.1136
22.000000 104.666 -134.6618
22.400000 104.739 -135.7413
22.700001 104.796 -136.5379
23.000000 104.854 -137.3312
23.299999 104.913 -138.1290
23.600000 104.968 -138.9338
24.000000 105.034 -140.0045
24.299999 105.076 -140.7877
24.700001 105.127 -141.7821
25.000000 105.165 -142.4881
25.400000 105.220 -143.3959
25.799999 105.279 -144.2984
26.200001 105.337 -145.2127
26.500000 105.376 -145.8978
26.900000 105.422 -146.7843
27.200001 105.454 -147.4171
27.600000 105.497 -148.2258
28.000000 105.544 -149.0313
28.500000 105.607 -150.0972
29.000000 105.662 -151.2400
29.500000 105.704 -152.3907
30.000000 105.738 -153.4698
30.400000 105.769 -154.2694
30.700001 105.794 -154.8462
31.100000 105.832 -155.6079
31.500000 105.870 -156.3781
32.000000 105.913 -157.3539
32.500000 105.949 -158.3292
33.000000 105.979 -159.2931
33.500000 106.006 -160.2460
34.000000 106.032 -161.1877
34.500000 106.057 -162.1118
35.000000 106.082 -163.0128
35.500000 106.106 -163.8934
36.000000 106.130 -164.7622
36.500000 106.153 -165.6274
37.000000 106.175 -166.4923
37.500000 106.195 -167.3546
38.200001 106.222 -168.5485
38.700001 106.239 -169.3872
39.500000 106.266 -170.7050
40.000000 106.282 -171.5147
40.599998 106.301 -172.4712
41.200001 106.319 -173.4133
41.799999 106.333 -174.3453
42.500000 106.344 -175.4165
43.099998 106.351 -176.3201
43.700001 106.361 -177.2276
44.400002 106.374 -178.3027
45.000000 106.384 -179.2063
45.500000 106.391 -179.9290
46.200001 106.400 179.0684
46.799999 106.405 178.1843
47.500000 106.408 177.1693
48.200001 106.430 176.2041
48.700001 106.459 175.4911
49.400002 106.491 174.4154
50.000000 106.487 173.5254
50.799999 106.452 172.5460
51.500000 106.432 171.7615
52.200001 106.426 170.8725
53.000000 106.422 169.7877
53.799999 106.422 168.7555
54.500000 106.421 167.8781
55.200001 106.416 167.0026
56.000000 106.409 166.0116
57.000000 106.402 164.7776
58.000000 106.392 163.5595
59.000000 106.380 162.3684
60.000000 106.367 161.1884
60.799999 106.357 160.2497
61.500000 106.348 159.4327
62.200001 106.338 158.6189
63.000000 106.327 157.6932
64.000000 106.311 156.5511
65.000000 106.293 155.4296
66.000000 106.275 154.3185
67.000000 106.257 153.2125
68.000000 106.238 152.1210
69.000000 106.219 151.0517
70.000000 106.200 149.9895
71.000000 106.179 148.9214
72.000000 106.156 147.8563
73.000000 106.133 146.8052
74.000000 106.111 145.7737
75.000000 106.088 144.7584
76.199997 106.060 143.5482
77.500000 106.028 142.2461
78.800003 105.995 140.9615
80.000000 105.964 139.7836
81.199997 105.933 138.6088
82.500000 105.899 137.3509
83.800003 105.863 136.1112
85.000000 105.829 134.9834
86.199997 105.797 133.8677
87.500000 105.762 132.6512
88.500000 105.734 131.7150
90.000000 105.691 130.3336
91.199997 105.656 129.2527
92.500000 105.617 128.0997
93.800003 105.580 126.9452
95.000000 105.544 125.8959
96.199997 105.508 124.8534
97.500000 105.470 123.7030
98.800003 105.433 122.5454
100.000000 105.397 121.5295
101.500000 105.351 120.3137
103.000000 105.305 119.0741
104.400002 105.262 117.9209
106.000000 105.212 116.6151
107.500000 105.166 115.3974
109.000000 105.120 114.1915
110.599998 105.069 112.9200
112.000000 105.025 111.8171
113.800003 104.968 110.4142
115.000000 104.930 109.4887
117.199997 104.859 107.8099
118.000000 104.832 107.2026
120.599998 104.747 105.2467
122.000000 104.704 104.2045
124.099998 104.639 102.6540
125.000000 104.610 101.9968
126.500000 104.562 100.9160
128.000000 104.517 99.8460
131.500000 104.405 97.3306
132.000000 104.388 96.9785
134.000000 104.321 95.5935
136.000000 104.254 94.2131
138.000000 104.189 92.8368
140.000000 104.123 91.4879
143.000000 104.026 89.4714
145.000000 103.961 88.1382
147.500000 103.879 86.4945
150.000000 103.797 84.8771
152.500000 103.715 83.2866
155.000000 103.632 81.7166
157.500000 103.547 80.1599
160.000000 103.464 78.6181
162.500000 103.382 77.1030
165.000000 103.301 75.6084
167.500000 103.225 74.0989
170.000000 103.150 72.6121
172.500000 103.053 71.2290
175.000000 102.962 69.8453
177.500000 102.881 68.4644
180.000000 102.788 67.1019
182.500000 102.689 65.7885
185.000000 102.591 64.5014
187.500000 102.492 63.2233
190.000000 102.390 62.0038
192.500000 102.286 60.8939
195.000000 102.184 59.8956
197.500000 102.086 59.0431
200.000000 101.992 58.2736
203.000000 101.899 57.4561
206.000000 101.857 56.7941
209.000000 101.878 56.1310
212.000000 101.945 55.2181
214.000000 102.001 54.3848
218.000000 102.103 52.3422
220.000000 102.127 51.1321
224.000000 102.106 48.4731
227.000000 102.049 46.5593
230.000000 101.969 44.8634
233.000000 101.889 43.4373
236.000000 101.810 42.1743
240.000000 101.727 40.5628
243.000000 101.706 39.4133
247.000000 101.712 37.8900
250.000000 101.735 36.6212
254.000000 101.768 34.6541
258.000000 101.774 32.4462
262.000000 101.743 30.1674
265.000000 101.702 28.5061
269.000000 101.634 26.3671
272.000000 101.583 24.8288
276.000000 101.512 22.8573
280.000000 101.436 20.9419
285.000000 101.339 18.6307
290.000000 101.243 16.3881
295.000000 101.151 14.1865
300.000000 101.061 12.0641
304.000000 100.990 10.3926
307.000000 100.938 9.1536
311.000000 100.871 7.5230
315.000000 100.806 5.9054
320.000000 100.726 3.9253
325.000000 100.643 2.0175
330.000000 100.565 0.1184
335.000000 100.491 -1.7584
340.000000 100.420 -3.6063
345.000000 100.348 -5.4294
350.000000 100.279 -7.2292
355.000000 100.210 -9.0027
360.000000 100.144 -10.7497
365.000000 100.080 -12.4500
370.000000 100.018 -14.1365
375.000000 99.957 -15.8372
382.000000 99.874 -18.1750
387.000000 99.817 -19.8170
395.000000 99.726 -22.3704
400.000000 99.673 -23.9530
406.000000 99.611 -25.8564
412.000000 99.548 -27.7325
418.000000 99.485 -29.5775
425.000000 99.412 -31.6871
431.000000 99.352 -33.4755
437.000000 99.293 -35.2610
444.000000 99.228 -37.3331
450.000000 99.175 -39.1012
455.000000 99.133 -40.5593
462.000000 99.076 -42.5651
468.000000 99.027 -44.2622
475.000000 98.972 -46.2278
482.000000 98.920 -48.1683
487.000000 98.882 -49.5394
494.000000 98.831 -51.4373
500.000000 98.789 -53.0485
508.000000 98.734 -55.1716
515.000000 98.687 -57.0022
522.000000 98.643 -58.8112
530.000000 98.595 -60.8570
538.000000 98.549 -62.8857
545.000000 98.510 -64.6414
552.000000 98.473 -66.3753
560.000000 98.431 -68.3345
570.000000 98.381 -70.7473
580.000000 98.333 -73.1205
590.000000 98.287 -75.4509
600.000000 98.243 -77.7428
608.000000 98.211 -79.5504
615.000000 98.185 -81.1085
622.000000 98.159 -82.6459
630.000000 98.130 -84.3839
640.000000 98.098 -86.5300
650.000000 98.067 -88.6354
660.000000 98.039 -90.7057
670.000000 98.013 -92.7482
680.000000 97.989 -94.7634
690.000000 97.968 -96.7564
700.000000 97.949 -98.7233
710.000000 97.933 -100.6599
720.000000 97.920 -102.5629
730.000000 97.909 -104.4300
740.000000 97.902 -106.2674
750.000000 97.897 -108.0748
762.000000 97.895 -110.2039
775.000000 97.897 -112.4674
788.000000 97.905 -114.6821
800.000000 97.916 -116.6871
812.000000 97.932 -118.6544
825.000000 97.955 -120.7461
838.000000 97.983 -122.8025
850.000000 98.013 -124.6700
862.000000 98.048 -126.5095
875.000000 98.091 -128.4733
885.000000 98.128 -129.9649
900.000000 98.188 -132.1737
912.000000 98.241 -133.9213
925.000000 98.303 -135.7983
938.000000 98.369 -137.6595
950.000000 98.434 -139.3643
962.000000 98.501 -141.0601
975.000000 98.579 -142.8920
988.000000 98.660 -144.7208
1000.000000 98.737 -146.4133
1015.000000 98.835 -148.5410
1030.000000 98.933 -150.6907
1044.000000 99.027 -152.7207
1060.000000 99.135 -155.0485
1075.000000 99.236 -157.2397
1090.000000 99.337 -159.4266
1106.000000 99.447 -161.7697
1120.000000 99.545 -163.8476
1138.000000 99.668 -166.5270
1150.000000 99.747 -168.2971
1172.000000 99.882 -171.5083
1180.000000 99.929 -172.6792
1206.000000 100.075 -176.4720
1220.000000 100.151 -178.4951
1241.000000 100.260 178.4964
1250.000000 100.305 177.2187
1265.000000 100.378 175.1050
1280.000000 100.448 173.0117
1315.000000 100.602 168.2225
1320.000000 100.623 167.5504
1340.000000 100.704 164.8934
1360.000000 100.783 162.2896
1380.000000 100.861 159.7476
1400.000000 100.939 157.2657
1430.000000 101.060 153.6171
1450.000000 101.142 151.1943
1475.000000 101.239 148.1750
1500.000000 101.332 145.1986
1525.000000 101.424 142.3000
1550.000000 101.517 139.4689
1575.000000 101.610 136.6974
1600.000000 101.704 133.9835
1625.000000 101.798 131.3255
1650.000000 101.891 128.7263
1675.000000 101.986 126.1860
1700.000000 102.082 123.7039
1725.000000 102.179 121.2803
1750.000000 102.278 118.9084
1775.000000 102.379 116.5820
1800.000000 102.482 114.3011
1825.000000 102.586 112.0634
1850.000000 102.691 109.8705
1875.000000 102.798 107.7202
1900.000000 102.907 105.6094
1925.000000 103.018 103.5369
1950.000000 103.130 101.5025
1975.000000 103.245 99.5034
2000.000000 103.360 97.5349
2030.000000 103.501 95.2127
2060.000000 103.645 92.9299
2090.000000 103.792 90.6810
2120.000000 103.941 88.4385
2140.000000 104.040 86.9329
2180.000000 104.238 83.8981
2200.000000 104.339 82.3823
2240.000000 104.542 79.3750
2270.000000 104.695 77.1378
2300.000000 104.847 74.9149
2330.000000 104.999 72.7051
2360.000000 105.151 70.5040
2400.000000 105.349 67.5825
2430.000000 105.494 65.4025
2470.000000 105.683 62.5062
2500.000000 105.819 60.3412
2540.000000 105.992 57.4681
2580.000000 106.153 54.6218
2620.000000 106.302 51.8073
2650.000000 106.404 49.7245
2690.000000 106.530 46.9957
2720.000000 106.614 44.9913
2760.000000 106.715 42.3858
2800.000000 106.803 39.8586
2850.000000 106.895 36.8256
2900.000000 106.969 33.9434
2950.000000 107.027 31.2195
3000.000000 107.069 28.6563
3040.000000 107.092 26.7296
3070.000000 107.104 25.3579
3110.000000 107.114 23.6240
3150.000000 107.119 21.9785
3200.000000 107.115 19.9886
3250.000000 107.102 18.0580
3300.000000 107.082 16.2227
3350.000000 107.057 14.4984
3400.000000 107.027 12.8862
3450.000000 106.992 11.3848
3500.000000 106.954 9.9930
3550.000000 106.914 8.7092
3600.000000 106.873 7.5337
3650.000000 106.833 6.4563
3700.000000 106.793 5.4666
3750.000000 106.754 4.5578
3820.000000 106.700 3.4165
3870.000000 106.663 2.6967
3950.000000 106.608 1.7043
4000.000000 106.578 1.1772
4060.000000 106.545 0.6254
4120.000000 106.517 0.1552
4180.000000 106.495 -0.2380
4250.000000 106.476 -0.6010
4310.000000 106.467 -0.8423
4370.000000 106.464 -1.0291
4440.000000 106.467 -1.1891
4500.000000 106.476 -1.2892
4550.000000 106.488 -1.3499
4620.000000 106.511 -1.4105
4680.000000 106.535 -1.4468
4750.000000 106.567 -1.4743
4820.000000 106.602 -1.4936
4870.000000 106.628 -1.5114
4940.000000 106.663 -1.5787
5000.000000 106.689 -1.7321
5080.000000 106.711 -2.0597
5150.000000 106.718 -2.3063
5220.000000 106.720 -2.3555
5300.000000 106.754 -2.0894
5380.000000 106.871 -1.7750
5450.000000 107.024 -1.8936
5520.000000 107.168 -2.4628
5600.000000 107.284 -3.4191
5700.000000 107.359 -4.7139
5800.000000 107.376 -5.9348
5900.000000 107.352 -7.0449
