* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Dec 31, 2023 5:07:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Tanchjim One DSP (Flat) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 103.736 -131.2443
20.600000 103.799 -132.0225
20.900000 103.873 -132.9093
21.200001 103.945 -133.8187
21.400000 103.991 -134.4322
21.799999 104.079 -135.6631
22.000000 104.120 -136.2727
22.400000 104.200 -137.4633
22.700001 104.259 -138.3271
23.000000 104.319 -139.1712
23.299999 104.379 -140.0070
23.600000 104.440 -140.8457
24.000000 104.518 -141.9778
24.299999 104.571 -142.8330
24.700001 104.635 -143.9632
25.000000 104.678 -144.7899
25.400000 104.731 -145.8558
25.799999 104.785 -146.8882
26.200001 104.839 -147.9083
26.500000 104.881 -148.6767
26.900000 104.935 -149.7106
27.200001 104.974 -150.4890
27.600000 105.024 -151.5200
28.000000 105.073 -152.5333
28.500000 105.133 -153.7732
29.000000 105.193 -154.9948
29.500000 105.249 -156.2082
30.000000 105.298 -157.4110
30.400000 105.332 -158.3597
30.700001 105.356 -159.0615
31.100000 105.387 -159.9845
31.500000 105.418 -160.8943
32.000000 105.457 -162.0145
32.500000 105.498 -163.1153
33.000000 105.539 -164.1992
33.500000 105.578 -165.2745
34.000000 105.614 -166.3503
34.500000 105.646 -167.4284
35.000000 105.674 -168.5019
35.500000 105.702 -169.5616
36.000000 105.730 -170.6054
36.500000 105.759 -171.6374
37.000000 105.786 -172.6610
37.500000 105.810 -173.6739
38.200001 105.837 -175.0671
38.700001 105.855 -176.0464
39.500000 105.883 -177.5968
40.000000 105.900 -178.5525
40.599998 105.918 -179.6791
41.200001 105.934 179.2097
41.799999 105.951 178.0919
42.500000 105.973 176.7590
43.099998 105.991 175.6091
43.700001 106.006 174.4925
44.400002 106.019 173.2485
45.000000 106.028 172.1970
45.500000 106.035 171.3090
46.200001 106.046 170.0590
46.799999 106.063 168.9977
47.500000 106.079 167.7902
48.200001 106.070 166.7036
48.700001 106.052 166.0453
49.400002 106.042 165.1624
50.000000 106.057 164.2156
50.799999 106.081 162.6094
51.500000 106.088 161.1902
52.200001 106.092 159.9666
53.000000 106.100 158.7001
53.799999 106.096 157.4409
54.500000 106.090 156.3334
55.200001 106.087 155.2192
56.000000 106.082 153.9677
57.000000 106.074 152.4658
58.000000 106.066 150.9643
59.000000 106.059 149.4839
60.000000 106.054 148.0106
60.799999 106.041 146.8082
61.500000 106.025 145.7650
62.200001 106.011 144.7444
63.000000 106.001 143.5933
64.000000 105.989 142.1594
65.000000 105.973 140.7382
66.000000 105.955 139.3352
67.000000 105.936 137.9444
68.000000 105.917 136.5552
69.000000 105.899 135.1633
70.000000 105.878 133.7864
71.000000 105.857 132.4377
72.000000 105.836 131.1026
73.000000 105.813 129.7775
74.000000 105.791 128.4637
75.000000 105.769 127.1472
76.199997 105.741 125.5764
77.500000 105.709 123.9056
78.800003 105.677 122.2539
80.000000 105.646 120.7284
81.199997 105.614 119.2221
82.500000 105.581 117.6212
83.800003 105.546 116.0363
85.000000 105.511 114.5847
86.199997 105.477 113.1385
87.500000 105.441 111.5876
88.500000 105.412 110.4072
90.000000 105.366 108.6461
91.199997 105.332 107.2300
92.500000 105.295 105.7080
93.800003 105.256 104.2088
95.000000 105.219 102.8330
96.199997 105.182 101.4750
97.500000 105.141 100.0104
98.800003 105.097 98.5280
100.000000 105.059 97.1949
101.500000 105.018 95.5876
103.000000 104.975 93.9852
104.400002 104.931 92.4823
106.000000 104.878 90.7790
107.500000 104.829 89.1958
109.000000 104.781 87.6367
110.599998 104.728 85.9780
112.000000 104.682 84.5295
113.800003 104.626 82.6671
115.000000 104.589 81.4322
117.199997 104.520 79.2129
118.000000 104.494 78.4141
120.599998 104.410 75.8134
122.000000 104.366 74.4274
124.099998 104.298 72.3801
125.000000 104.270 71.5132
126.500000 104.221 70.0838
128.000000 104.170 68.6557
131.500000 104.059 65.3243
132.000000 104.044 64.8593
134.000000 103.982 63.0174
136.000000 103.916 61.1877
138.000000 103.849 59.3596
140.000000 103.784 57.5527
143.000000 103.685 54.8598
145.000000 103.618 53.0959
147.500000 103.534 50.9488
150.000000 103.449 48.8042
152.500000 103.367 46.6323
155.000000 103.284 44.4988
157.500000 103.199 42.4159
160.000000 103.113 40.3613
162.500000 103.027 38.2971
165.000000 102.940 36.2905
167.500000 102.847 34.3746
170.000000 102.755 32.5013
172.500000 102.666 30.4639
175.000000 102.571 28.4926
177.500000 102.472 26.5453
180.000000 102.368 24.7457
182.500000 102.263 23.1049
185.000000 102.163 21.4943
187.500000 102.064 19.9667
190.000000 101.972 18.5207
192.500000 101.879 17.1974
195.000000 101.810 15.9611
197.500000 101.791 14.6896
200.000000 101.799 13.4917
203.000000 101.824 12.0586
206.000000 101.866 10.1021
209.000000 101.880 7.8710
212.000000 101.850 5.5735
214.000000 101.810 4.0741
218.000000 101.701 1.3369
220.000000 101.647 0.1257
224.000000 101.568 -1.8927
227.000000 101.552 -3.2372
230.000000 101.560 -4.7504
233.000000 101.587 -6.6175
236.000000 101.610 -8.4425
240.000000 101.634 -11.1637
243.000000 101.655 -13.4260
247.000000 101.668 -16.3630
250.000000 101.655 -18.5566
254.000000 101.613 -21.4675
258.000000 101.556 -24.3232
262.000000 101.491 -27.1027
265.000000 101.439 -29.1162
269.000000 101.365 -31.7233
272.000000 101.306 -33.6207
276.000000 101.228 -36.1102
280.000000 101.151 -38.5472
285.000000 101.057 -41.5125
290.000000 100.963 -44.4127
295.000000 100.874 -47.2346
300.000000 100.789 -50.0074
304.000000 100.721 -52.1934
307.000000 100.671 -53.8192
311.000000 100.605 -55.9668
315.000000 100.539 -58.1034
320.000000 100.461 -60.7462
325.000000 100.389 -63.3096
330.000000 100.318 -65.8470
335.000000 100.249 -68.3596
340.000000 100.180 -70.8455
345.000000 100.112 -73.2922
350.000000 100.047 -75.7156
355.000000 99.983 -78.1133
360.000000 99.919 -80.4723
365.000000 99.855 -82.8122
370.000000 99.795 -85.1306
375.000000 99.742 -87.4147
382.000000 99.667 -90.5811
387.000000 99.614 -92.8112
395.000000 99.529 -96.3456
400.000000 99.478 -98.5211
406.000000 99.418 -101.0988
412.000000 99.360 -103.6583
418.000000 99.301 -106.1947
425.000000 99.234 -109.0939
431.000000 99.178 -111.5397
437.000000 99.124 -113.9537
444.000000 99.062 -116.7391
450.000000 99.009 -119.1064
455.000000 98.967 -121.0687
462.000000 98.911 -123.7976
468.000000 98.867 -126.0986
475.000000 98.817 -128.7334
482.000000 98.769 -131.3348
487.000000 98.736 -133.1733
494.000000 98.691 -135.7135
500.000000 98.653 -137.8647
508.000000 98.605 -140.6910
515.000000 98.565 -143.1284
522.000000 98.525 -145.5323
530.000000 98.481 -148.2401
538.000000 98.438 -150.9040
545.000000 98.402 -153.2024
552.000000 98.367 -155.4656
560.000000 98.328 -158.0017
570.000000 98.281 -161.1141
580.000000 98.238 -164.1714
590.000000 98.197 -167.1783
600.000000 98.158 -170.1367
608.000000 98.127 -172.4717
615.000000 98.102 -174.4915
622.000000 98.078 -176.4827
630.000000 98.052 -178.7306
640.000000 98.022 178.4996
650.000000 97.994 175.7788
660.000000 97.969 173.1096
670.000000 97.946 170.4876
680.000000 97.925 167.9103
690.000000 97.908 165.3803
700.000000 97.892 162.8936
710.000000 97.880 160.4524
720.000000 97.869 158.0569
730.000000 97.862 155.7068
740.000000 97.858 153.3962
750.000000 97.857 151.1183
762.000000 97.859 148.4297
775.000000 97.866 145.5706
788.000000 97.877 142.7660
800.000000 97.892 140.2315
812.000000 97.911 137.7478
825.000000 97.938 135.1124
838.000000 97.969 132.5293
850.000000 98.003 130.1929
862.000000 98.040 127.8986
875.000000 98.084 125.4559
885.000000 98.122 123.6074
900.000000 98.184 120.8773
912.000000 98.238 118.7287
925.000000 98.301 116.4307
938.000000 98.368 114.1655
950.000000 98.434 112.0995
962.000000 98.504 110.0470
975.000000 98.582 107.8314
988.000000 98.661 105.6176
1000.000000 98.737 103.5747
1015.000000 98.834 101.0275
1030.000000 98.933 98.4888
1044.000000 99.026 96.1404
1060.000000 99.139 93.4586
1075.000000 99.246 90.9322
1090.000000 99.352 88.4133
1106.000000 99.463 85.7635
1120.000000 99.556 83.4719
1138.000000 99.670 80.5287
1150.000000 99.745 78.5809
1172.000000 99.879 75.0463
1180.000000 99.927 73.7740
1206.000000 100.076 69.6920
1220.000000 100.153 67.5267
1241.000000 100.265 64.3194
1250.000000 100.311 62.9577
1265.000000 100.384 60.7065
1280.000000 100.455 58.4815
1315.000000 100.612 53.4215
1320.000000 100.634 52.7156
1340.000000 100.717 49.9327
1360.000000 100.797 47.2186
1380.000000 100.871 44.5759
1400.000000 100.940 42.0058
1430.000000 101.035 38.3129
1450.000000 101.095 35.9786
1475.000000 101.171 33.2092
1500.000000 101.252 30.5836
1525.000000 101.338 28.0829
1550.000000 101.429 25.7077
1575.000000 101.531 23.4581
1600.000000 101.650 21.2852
1625.000000 101.786 19.0812
1650.000000 101.928 16.7651
1675.000000 102.059 14.3818
1700.000000 102.172 12.0383
1725.000000 102.270 9.8060
1750.000000 102.362 7.7077
1775.000000 102.452 5.7331
1800.000000 102.544 3.8679
1825.000000 102.639 2.0999
1850.000000 102.736 0.4154
1875.000000 102.836 -1.1898
1900.000000 102.939 -2.7244
1925.000000 103.044 -4.1921
1950.000000 103.151 -5.5920
1975.000000 103.259 -6.9282
2000.000000 103.370 -8.2045
2030.000000 103.506 -9.6674
2060.000000 103.643 -11.0849
2090.000000 103.781 -12.4812
2120.000000 103.919 -13.8552
2140.000000 104.012 -14.7492
2180.000000 104.201 -16.4874
2200.000000 104.296 -17.3338
2240.000000 104.487 -18.9839
2270.000000 104.630 -20.1875
2300.000000 104.774 -21.3656
2330.000000 104.917 -22.5222
2360.000000 105.059 -23.6530
2400.000000 105.247 -25.1276
2430.000000 105.385 -26.2106
2470.000000 105.565 -27.6267
2500.000000 105.697 -28.6725
2540.000000 105.867 -30.0389
2580.000000 106.029 -31.3720
2620.000000 106.182 -32.6693
2650.000000 106.291 -33.6273
2690.000000 106.426 -34.9103
2720.000000 106.519 -35.8834
2760.000000 106.632 -37.1757
2800.000000 106.735 -38.4186
2850.000000 106.847 -39.8790
2900.000000 106.942 -41.2186
2950.000000 107.020 -42.4279
3000.000000 107.083 -43.4993
3040.000000 107.122 -44.2544
3070.000000 107.146 -44.7607
3110.000000 107.169 -45.3508
3150.000000 107.185 -45.8446
3200.000000 107.196 -46.3242
3250.000000 107.197 -46.6536
3300.000000 107.188 -46.8302
3350.000000 107.171 -46.8522
3400.000000 107.146 -46.7216
3450.000000 107.116 -46.4389
3500.000000 107.082 -46.0126
3550.000000 107.045 -45.4769
3600.000000 107.004 -44.9031
3650.000000 106.959 -44.3053
3700.000000 106.915 -43.6483
3750.000000 106.872 -42.9150
3820.000000 106.811 -41.7663
3870.000000 106.768 -40.8704
3950.000000 106.703 -39.3173
4000.000000 106.664 -38.2748
4060.000000 106.620 -36.9498
4120.000000 106.578 -35.5565
4180.000000 106.541 -34.0989
4250.000000 106.502 -32.3271
4310.000000 106.473 -30.7583
4370.000000 106.450 -29.1507
4440.000000 106.428 -27.2358
4500.000000 106.415 -25.5688
4550.000000 106.407 -24.1693
4620.000000 106.401 -22.1974
4680.000000 106.399 -20.5040
4750.000000 106.401 -18.5360
4820.000000 106.404 -16.5828
4870.000000 106.406 -15.1992
4940.000000 106.405 -13.2695
5000.000000 106.399 -11.6151
5080.000000 106.383 -9.3915
5150.000000 106.358 -7.4174
5220.000000 106.329 -5.3499
5300.000000 106.339 -2.7076
5380.000000 106.461 -0.0057
5450.000000 106.651 1.8068
5520.000000 106.839 2.8775
5600.000000 106.983 3.5491
5700.000000 107.055 4.2134
5800.000000 107.055 4.9786
