* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 31, 2023 5:21:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tanchjim One DSP (C1) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 109.857 -115.6260
20.600000 109.946 -116.6057
20.900000 110.049 -117.7014
21.200001 110.150 -118.8281
21.400000 110.216 -119.5929
21.799999 110.343 -121.1498
22.000000 110.404 -121.9367
22.400000 110.520 -123.5143
22.700001 110.601 -124.6937
23.000000 110.678 -125.8688
23.299999 110.749 -127.0434
23.600000 110.816 -128.2231
24.000000 110.898 -129.8119
24.299999 110.954 -131.0175
24.700001 111.023 -132.6402
25.000000 111.070 -133.8634
25.400000 111.128 -135.4936
25.799999 111.182 -137.1146
26.200001 111.232 -138.7208
26.500000 111.269 -139.9148
26.900000 111.315 -141.4939
27.200001 111.348 -142.6702
27.600000 111.390 -144.2292
28.000000 111.431 -145.7769
28.500000 111.480 -147.6878
29.000000 111.526 -149.5577
29.500000 111.569 -151.3717
30.000000 111.606 -153.1190
30.400000 111.630 -154.4656
30.700001 111.645 -155.4456
31.100000 111.660 -156.7148
31.500000 111.672 -157.9465
32.000000 111.684 -159.4447
32.500000 111.694 -160.9053
33.000000 111.704 -162.3249
33.500000 111.712 -163.6885
34.000000 111.720 -164.9817
34.500000 111.727 -166.2018
35.000000 111.733 -167.3569
35.500000 111.736 -168.4574
36.000000 111.737 -169.5084
36.500000 111.736 -170.5107
37.000000 111.734 -171.4640
37.500000 111.732 -172.3676
38.200001 111.726 -173.5444
38.700001 111.721 -174.3199
39.500000 111.714 -175.4610
40.000000 111.711 -176.1256
40.599998 111.708 -176.8837
41.200001 111.703 -177.6001
41.799999 111.694 -178.2770
42.500000 111.676 -179.0268
43.099998 111.654 -179.6505
43.700001 111.628 179.7265
44.400002 111.593 178.9953
45.000000 111.560 178.3845
45.500000 111.532 177.8982
46.200001 111.493 177.2316
46.799999 111.461 176.6465
47.500000 111.421 175.9638
48.200001 111.387 175.3206
48.700001 111.369 174.8693
49.400002 111.342 174.1974
50.000000 111.304 173.5929
50.799999 111.232 172.8099
51.500000 111.171 172.1116
52.200001 111.122 171.3130
53.000000 111.070 170.2980
53.799999 111.019 169.2802
54.500000 110.973 168.4022
55.200001 110.923 167.5078
56.000000 110.860 166.4521
57.000000 110.777 165.0826
58.000000 110.689 163.6718
59.000000 110.598 162.2227
60.000000 110.501 160.7250
60.799999 110.419 159.5045
61.500000 110.348 158.4169
62.200001 110.280 157.3050
63.000000 110.205 156.0173
64.000000 110.117 154.4126
65.000000 110.035 152.8257
66.000000 109.954 151.2636
67.000000 109.874 149.7242
68.000000 109.790 148.2109
69.000000 109.702 146.7408
70.000000 109.617 145.3165
71.000000 109.534 143.9441
72.000000 109.454 142.6294
73.000000 109.375 141.3516
74.000000 109.296 140.0999
75.000000 109.217 138.8842
76.199997 109.121 137.4833
77.500000 109.020 136.0430
78.800003 108.922 134.6989
80.000000 108.831 133.5647
81.199997 108.738 132.5290
82.500000 108.638 131.5123
83.800003 108.539 130.6319
85.000000 108.453 129.9264
86.199997 108.370 129.2878
87.500000 108.280 128.6761
88.500000 108.212 128.2770
90.000000 108.115 127.7784
91.199997 108.041 127.4654
92.500000 107.963 127.2308
93.800003 107.887 127.0865
95.000000 107.818 127.0269
96.199997 107.749 127.0340
97.500000 107.674 127.0952
98.800003 107.597 127.2002
100.000000 107.521 127.3561
101.500000 107.429 127.5900
103.000000 107.340 127.7996
104.400002 107.258 128.0256
106.000000 107.167 128.3565
107.500000 107.083 128.6979
109.000000 107.000 129.0376
110.599998 106.910 129.3784
112.000000 106.834 129.6686
113.800003 106.736 130.0323
115.000000 106.670 130.2443
117.199997 106.548 130.5598
118.000000 106.505 130.6506
120.599998 106.361 130.8452
122.000000 106.278 130.8914
124.099998 106.147 130.9204
125.000000 106.091 130.9172
126.500000 106.001 130.8707
128.000000 105.916 130.7704
131.500000 105.719 130.3711
132.000000 105.692 130.2963
134.000000 105.582 129.9487
136.000000 105.477 129.5322
138.000000 105.374 129.0551
140.000000 105.269 128.5143
143.000000 105.109 127.5724
145.000000 105.002 126.7976
147.500000 104.870 125.6903
150.000000 104.734 124.4216
152.500000 104.592 122.9715
155.000000 104.450 121.4032
157.500000 104.305 119.7359
160.000000 104.147 117.9630
162.500000 103.986 116.0855
165.000000 103.825 114.1448
167.500000 103.659 112.1942
170.000000 103.490 110.2490
172.500000 103.341 108.3637
175.000000 103.183 106.5877
177.500000 103.025 104.9438
180.000000 102.871 103.2231
182.500000 102.704 101.6028
185.000000 102.531 100.1415
187.500000 102.365 98.8188
190.000000 102.203 97.6822
192.500000 102.045 96.7753
195.000000 101.912 96.0258
197.500000 101.820 95.3296
200.000000 101.740 94.7418
203.000000 101.647 94.0407
206.000000 101.570 93.1953
209.000000 101.481 92.3089
212.000000 101.377 91.6077
214.000000 101.302 91.2858
218.000000 101.135 90.9580
220.000000 101.057 91.0085
224.000000 100.947 91.4461
227.000000 100.900 91.9453
230.000000 100.881 92.3529
233.000000 100.886 92.5465
236.000000 100.908 92.6978
240.000000 100.953 93.0732
243.000000 100.985 93.4874
247.000000 101.019 94.0659
250.000000 101.039 94.5398
254.000000 101.057 95.3660
258.000000 101.059 96.3623
262.000000 101.050 97.4793
265.000000 101.043 98.4018
269.000000 101.030 99.7103
272.000000 101.013 100.7426
276.000000 100.988 102.1652
280.000000 100.957 103.5945
285.000000 100.911 105.3316
290.000000 100.862 107.0520
295.000000 100.811 108.7792
300.000000 100.754 110.4850
304.000000 100.708 111.8175
307.000000 100.676 112.8310
311.000000 100.633 114.2133
315.000000 100.591 115.6345
320.000000 100.536 117.4177
325.000000 100.481 119.1790
330.000000 100.426 121.0028
335.000000 100.372 122.8792
340.000000 100.317 124.7789
345.000000 100.262 126.7250
350.000000 100.207 128.7000
355.000000 100.152 130.7070
360.000000 100.096 132.7550
365.000000 100.041 134.8332
370.000000 99.989 136.9270
375.000000 99.942 139.0056
382.000000 99.871 142.0116
387.000000 99.819 144.1880
395.000000 99.740 147.7223
400.000000 99.691 149.9640
406.000000 99.634 152.6860
412.000000 99.578 155.4276
418.000000 99.523 158.2030
425.000000 99.460 161.4704
431.000000 99.407 164.2885
437.000000 99.353 167.1342
444.000000 99.291 170.4947
450.000000 99.238 173.4158
455.000000 99.195 175.8748
462.000000 99.136 179.3391
468.000000 99.086 -177.6828
475.000000 99.031 -174.1984
482.000000 98.981 -170.6923
487.000000 98.947 -168.1688
494.000000 98.900 -164.6168
500.000000 98.859 -161.5602
508.000000 98.807 -157.4582
515.000000 98.762 -153.8475
522.000000 98.718 -150.2267
530.000000 98.671 -146.0732
538.000000 98.626 -141.9018
545.000000 98.586 -138.2373
552.000000 98.548 -134.5554
560.000000 98.506 -130.3313
570.000000 98.456 -125.0290
580.000000 98.409 -119.7017
590.000000 98.364 -114.3547
600.000000 98.322 -108.9952
608.000000 98.290 -104.7062
615.000000 98.263 -100.9438
622.000000 98.238 -97.1788
630.000000 98.210 -92.8764
640.000000 98.177 -87.4888
650.000000 98.147 -82.0927
660.000000 98.119 -76.6948
670.000000 98.094 -71.2910
680.000000 98.071 -65.8832
690.000000 98.051 -60.4815
700.000000 98.034 -55.0827
710.000000 98.020 -49.6920
720.000000 98.008 -44.3152
730.000000 97.998 -38.9446
740.000000 97.992 -33.5867
750.000000 97.988 -28.2481
762.000000 97.986 -21.8615
775.000000 97.989 -14.9630
788.000000 97.998 -8.0962
800.000000 98.012 -1.7856
812.000000 98.030 4.4980
825.000000 98.054 11.2644
838.000000 98.082 17.9919
850.000000 98.114 24.1721
862.000000 98.151 30.3077
875.000000 98.195 36.9021
885.000000 98.233 41.9381
900.000000 98.296 49.4251
912.000000 98.350 55.3485
925.000000 98.414 61.7013
938.000000 98.482 67.9862
950.000000 98.549 73.7194
962.000000 98.619 79.3878
975.000000 98.698 85.4568
988.000000 98.780 91.4453
1000.000000 98.858 96.8981
1015.000000 98.958 103.6135
1030.000000 99.059 110.2255
1044.000000 99.155 116.2962
1060.000000 99.267 123.1367
1075.000000 99.374 129.4526
1090.000000 99.483 135.6423
1106.000000 99.599 142.1233
1120.000000 99.699 147.7163
1138.000000 99.821 154.8157
1150.000000 99.899 159.4757
1172.000000 100.037 167.8768
1180.000000 100.087 170.8929
1206.000000 100.241 -179.4499
1220.000000 100.321 -174.3375
1241.000000 100.437 -166.7820
1250.000000 100.485 -163.5815
1265.000000 100.563 -158.2956
1280.000000 100.638 -153.0669
1315.000000 100.807 -141.0498
1320.000000 100.830 -139.3535
1340.000000 100.922 -132.6200
1360.000000 101.010 -125.9663
1380.000000 101.096 -119.3857
1400.000000 101.182 -112.8643
1430.000000 101.312 -103.2000
1450.000000 101.400 -96.8493
1475.000000 101.513 -89.0316
1500.000000 101.627 -81.3521
1525.000000 101.739 -73.7931
1550.000000 101.850 -66.3428
1575.000000 101.963 -58.9935
1600.000000 102.078 -51.7393
1625.000000 102.195 -44.5949
1650.000000 102.314 -37.5590
1675.000000 102.435 -30.6237
1700.000000 102.559 -23.7885
1725.000000 102.686 -17.0524
1750.000000 102.816 -10.4205
1775.000000 102.948 -3.8947
1800.000000 103.085 2.5333
1825.000000 103.226 8.8561
1850.000000 103.371 15.0746
1875.000000 103.519 21.1874
1900.000000 103.670 27.1899
1925.000000 103.826 33.0851
1950.000000 103.984 38.8768
1975.000000 104.146 44.5651
2000.000000 104.313 50.1353
2030.000000 104.516 56.6569
2060.000000 104.723 63.0049
2090.000000 104.933 69.1792
2120.000000 105.145 75.1789
2140.000000 105.287 79.0770
2180.000000 105.572 86.6184
2200.000000 105.713 90.2578
2240.000000 105.993 97.2828
2270.000000 106.198 102.3356
2300.000000 106.397 107.2026
2330.000000 106.588 111.8904
2360.000000 106.769 116.3993
2400.000000 106.992 122.1376
2430.000000 107.145 126.2590
2470.000000 107.328 131.5374
2500.000000 107.448 135.3499
2540.000000 107.584 140.2573
2580.000000 107.693 144.9934
2620.000000 107.776 149.5881
2650.000000 107.822 152.9596
2690.000000 107.864 157.3740
2720.000000 107.882 160.6324
2760.000000 107.889 164.9221
2800.000000 107.878 169.1508
2850.000000 107.843 174.3656
2900.000000 107.789 179.5189
2950.000000 107.720 -175.3848
3000.000000 107.638 -170.3442
3040.000000 107.566 -166.3618
3070.000000 107.508 -163.4071
3110.000000 107.426 -159.5118
3150.000000 107.339 -155.6609
3200.000000 107.226 -150.9103
3250.000000 107.109 -146.2234
3300.000000 106.995 -141.5679
3350.000000 106.898 -137.4457
3400.000000 106.770 -134.9495
3450.000000 106.614 -133.7859
3500.000000 106.476 -133.1456
3550.000000 106.346 -132.7240
3600.000000 106.216 -132.4835
3650.000000 106.085 -132.4216
3700.000000 105.951 -132.5460
3750.000000 105.816 -132.8470
3820.000000 105.623 -133.5450
3870.000000 105.485 -134.2333
3950.000000 105.263 -135.6641
4000.000000 105.124 -136.7549
4060.000000 104.958 -138.2648
4120.000000 104.791 -140.0037
4180.000000 104.626 -141.9745
4250.000000 104.434 -144.5512
4310.000000 104.272 -146.9940
4370.000000 104.111 -149.6533
4440.000000 103.925 -153.0234
4500.000000 103.766 -156.1362
4550.000000 103.633 -158.8784
4620.000000 103.448 -162.9408
4680.000000 103.289 -166.6339
4750.000000 103.104 -171.1691
4820.000000 102.919 -175.9325
4870.000000 102.788 -179.4679
4940.000000 102.604 175.4019
5000.000000 102.447 170.8412
5080.000000 102.238 164.5444
5150.000000 102.053 158.8765
5220.000000 101.870 153.1587
5300.000000 101.682 146.7742
5380.000000 101.564 140.6211
5450.000000 101.545 134.9733
5520.000000 101.583 128.5685
5600.000000 101.643 120.3359
5700.000000 101.707 109.2435
5800.000000 101.766 97.5806
5900.000000 101.833 85.3504
6000.000000 101.914 72.5079
6080.000000 101.992 61.7549
