* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Dec 31, 2023 5:19:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Tanchjim One DSP (C1) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 109.274 -117.4585
20.600000 109.361 -118.5910
20.900000 109.463 -119.8670
21.200001 109.563 -121.1557
21.400000 109.629 -122.0165
21.799999 109.759 -123.7405
22.000000 109.823 -124.6023
22.400000 109.948 -126.3190
22.700001 110.038 -127.5950
23.000000 110.124 -128.8570
23.299999 110.205 -130.1028
23.600000 110.282 -131.3320
24.000000 110.378 -132.9474
24.299999 110.446 -134.1444
24.700001 110.534 -135.7262
25.000000 110.596 -136.9046
25.400000 110.676 -138.4656
25.799999 110.750 -140.0118
26.200001 110.820 -141.5378
26.500000 110.868 -142.6672
26.900000 110.930 -144.1547
27.200001 110.974 -145.2596
27.600000 111.030 -146.7226
28.000000 111.082 -148.1753
28.500000 111.143 -149.9707
29.000000 111.197 -151.7343
29.500000 111.248 -153.4651
30.000000 111.293 -155.1713
30.400000 111.326 -156.5236
30.700001 111.347 -157.5303
31.100000 111.373 -158.8607
31.500000 111.396 -160.1753
32.000000 111.422 -161.7954
32.500000 111.446 -163.3911
33.000000 111.467 -164.9617
33.500000 111.484 -166.5055
34.000000 111.498 -168.0241
34.500000 111.509 -169.5225
35.000000 111.516 -171.0037
35.500000 111.519 -172.4658
36.000000 111.521 -173.9059
36.500000 111.520 -175.3234
37.000000 111.518 -176.7203
37.500000 111.513 -178.0971
38.200001 111.503 -179.9914
38.700001 111.493 178.6754
39.500000 111.475 176.5701
40.000000 111.460 175.2772
40.599998 111.439 173.7593
41.200001 111.415 172.2758
41.799999 111.392 170.8085
42.500000 111.363 169.0987
43.099998 111.336 167.6462
43.700001 111.308 166.2291
44.400002 111.273 164.6220
45.000000 111.240 163.2662
45.500000 111.210 162.1487
46.200001 111.167 160.6118
46.799999 111.136 159.3116
47.500000 111.099 157.8163
48.200001 111.050 156.4191
48.700001 111.012 155.5089
49.400002 110.966 154.2532
50.000000 110.934 153.0524
50.799999 110.880 151.2723
51.500000 110.824 149.7512
52.200001 110.774 148.3624
53.000000 110.724 146.8551
53.799999 110.666 145.3723
54.500000 110.610 144.0929
55.200001 110.557 142.8176
56.000000 110.498 141.3722
57.000000 110.423 139.6173
58.000000 110.347 137.8947
59.000000 110.270 136.1888
60.000000 110.193 134.5222
60.799999 110.132 133.2136
61.500000 110.078 132.0765
62.200001 110.024 130.9470
63.000000 109.962 129.6729
64.000000 109.884 128.1079
65.000000 109.806 126.5690
66.000000 109.728 125.0513
67.000000 109.650 123.5536
68.000000 109.573 122.0782
69.000000 109.497 120.6246
70.000000 109.421 119.1877
71.000000 109.344 117.7664
72.000000 109.267 116.3619
73.000000 109.190 114.9715
74.000000 109.114 113.5991
75.000000 109.039 112.2494
76.199997 108.951 110.6493
77.500000 108.853 108.9331
78.800003 108.756 107.2448
80.000000 108.669 105.6992
81.199997 108.582 104.1695
82.500000 108.487 102.5346
83.800003 108.394 100.9268
85.000000 108.308 99.4600
86.199997 108.223 98.0053
87.500000 108.132 96.4509
88.500000 108.063 95.2747
90.000000 107.961 93.5299
91.199997 107.879 92.1339
92.500000 107.788 90.6350
93.800003 107.699 89.1601
95.000000 107.619 87.8067
96.199997 107.539 86.4677
97.500000 107.452 85.0436
98.800003 107.362 83.6378
100.000000 107.285 82.3351
101.500000 107.193 80.6849
103.000000 107.099 79.0610
104.400002 107.010 77.5849
106.000000 106.910 75.9278
107.500000 106.817 74.3757
109.000000 106.725 72.8322
110.599998 106.629 71.2047
112.000000 106.543 69.7927
113.800003 106.433 68.0009
115.000000 106.362 66.8196
117.199997 106.232 64.6696
118.000000 106.185 63.8881
120.599998 106.035 61.3672
122.000000 105.953 60.0453
124.099998 105.832 58.0791
125.000000 105.781 57.2388
126.500000 105.695 55.8420
128.000000 105.608 54.4547
131.500000 105.415 51.2704
132.000000 105.387 50.8191
134.000000 105.276 49.0256
136.000000 105.166 47.2589
138.000000 105.055 45.5092
140.000000 104.947 43.7806
143.000000 104.781 41.2067
145.000000 104.669 39.5045
147.500000 104.532 37.4005
150.000000 104.394 35.3347
152.500000 104.256 33.2961
155.000000 104.119 31.2826
157.500000 103.980 29.2996
160.000000 103.840 27.3742
162.500000 103.694 25.4880
165.000000 103.544 23.5755
167.500000 103.388 21.6912
170.000000 103.231 19.8888
172.500000 103.093 18.1191
175.000000 102.946 16.3066
177.500000 102.793 14.4985
180.000000 102.635 12.9480
182.500000 102.467 11.5143
185.000000 102.299 10.0439
187.500000 102.131 8.6400
190.000000 101.962 7.3745
192.500000 101.797 6.3827
195.000000 101.644 5.5627
197.500000 101.515 4.9058
200.000000 101.437 4.1545
203.000000 101.403 2.9512
206.000000 101.375 1.5999
209.000000 101.323 0.0542
212.000000 101.243 -1.6659
214.000000 101.178 -2.7999
218.000000 101.023 -4.7333
220.000000 100.936 -5.4727
224.000000 100.787 -6.5537
227.000000 100.733 -7.1530
230.000000 100.723 -7.7793
233.000000 100.741 -8.6431
236.000000 100.774 -9.5283
240.000000 100.808 -11.1552
243.000000 100.823 -12.5776
247.000000 100.862 -14.6539
250.000000 100.897 -16.2785
254.000000 100.919 -18.4923
258.000000 100.921 -20.7118
262.000000 100.907 -22.9205
265.000000 100.887 -24.5608
269.000000 100.856 -26.7087
272.000000 100.832 -28.2524
276.000000 100.797 -30.2734
280.000000 100.762 -32.2765
285.000000 100.719 -34.7439
290.000000 100.673 -37.1786
295.000000 100.624 -39.5922
300.000000 100.573 -41.9617
304.000000 100.532 -43.8271
307.000000 100.501 -45.2077
311.000000 100.461 -47.0299
315.000000 100.418 -48.8265
320.000000 100.364 -51.0508
325.000000 100.315 -53.2858
330.000000 100.262 -55.4613
335.000000 100.209 -57.5948
340.000000 100.157 -59.7062
345.000000 100.105 -61.7903
350.000000 100.054 -63.8397
355.000000 100.003 -65.8507
360.000000 99.954 -67.8335
365.000000 99.907 -69.7882
370.000000 99.859 -71.7151
375.000000 99.807 -73.6324
382.000000 99.738 -76.2589
387.000000 99.691 -78.0898
395.000000 99.617 -81.0065
400.000000 99.572 -82.7960
406.000000 99.517 -84.8953
412.000000 99.464 -86.9608
418.000000 99.411 -88.9830
425.000000 99.351 -91.3031
431.000000 99.302 -93.2690
437.000000 99.253 -95.2048
444.000000 99.195 -97.4176
450.000000 99.146 -99.2670
455.000000 99.106 -100.7754
462.000000 99.051 -102.8575
468.000000 99.003 -104.6182
475.000000 98.951 -106.6517
482.000000 98.903 -108.6550
487.000000 98.871 -110.0568
494.000000 98.827 -111.9737
500.000000 98.790 -113.5913
508.000000 98.741 -115.7139
515.000000 98.700 -117.5294
522.000000 98.660 -119.3135
530.000000 98.616 -121.3101
538.000000 98.574 -123.2682
545.000000 98.538 -124.9389
552.000000 98.502 -126.5757
560.000000 98.464 -128.4111
570.000000 98.418 -130.6489
580.000000 98.374 -132.8247
590.000000 98.332 -134.9371
600.000000 98.293 -136.9902
608.000000 98.264 -138.5856
615.000000 98.241 -139.9513
622.000000 98.218 -141.2917
630.000000 98.193 -142.7932
640.000000 98.163 -144.6176
650.000000 98.136 -146.3842
660.000000 98.111 -148.0999
670.000000 98.089 -149.7643
680.000000 98.070 -151.3796
690.000000 98.053 -152.9448
700.000000 98.038 -154.4629
710.000000 98.027 -155.9363
720.000000 98.017 -157.3633
730.000000 98.010 -158.7425
740.000000 98.005 -160.0799
750.000000 98.003 -161.3752
762.000000 98.005 -162.8738
775.000000 98.011 -164.4351
788.000000 98.023 -165.9350
800.000000 98.038 -167.2631
812.000000 98.058 -168.5385
825.000000 98.085 -169.8652
838.000000 98.116 -171.1385
850.000000 98.150 -172.2759
862.000000 98.188 -173.3743
875.000000 98.234 -174.5199
885.000000 98.273 -175.3724
900.000000 98.338 -176.6120
912.000000 98.394 -177.5729
925.000000 98.460 -178.5823
938.000000 98.529 -179.5654
950.000000 98.597 179.5509
962.000000 98.668 178.6835
975.000000 98.748 177.7575
988.000000 98.831 176.8503
1000.000000 98.910 176.0264
1015.000000 99.010 175.0122
1030.000000 99.113 174.0140
1044.000000 99.212 173.1086
1060.000000 99.328 172.0693
1075.000000 99.439 171.0842
1090.000000 99.549 170.1216
1106.000000 99.663 169.1376
1120.000000 99.759 168.3012
1138.000000 99.877 167.2322
1150.000000 99.955 166.5366
1172.000000 100.094 165.3010
1180.000000 100.143 164.8655
1206.000000 100.297 163.5073
1220.000000 100.377 162.8121
1241.000000 100.492 161.8234
1250.000000 100.541 161.4191
1265.000000 100.619 160.7723
1280.000000 100.695 160.1625
1315.000000 100.865 158.8680
1320.000000 100.888 158.6985
1340.000000 100.979 158.0622
1360.000000 101.067 157.4916
1380.000000 101.153 156.9880
1400.000000 101.236 156.5493
1430.000000 101.354 156.0159
1450.000000 101.430 155.7545
1475.000000 101.520 155.5515
1500.000000 101.613 155.4917
1525.000000 101.710 155.5560
1550.000000 101.814 155.7244
1575.000000 101.925 155.9907
1600.000000 102.044 156.3573
1625.000000 102.177 156.8011
1650.000000 102.328 157.2635
1675.000000 102.491 157.6701
1700.000000 102.654 157.9978
1725.000000 102.805 158.2985
1750.000000 102.943 158.6422
1775.000000 103.075 159.0602
1800.000000 103.205 159.5552
1825.000000 103.336 160.1197
1850.000000 103.471 160.7383
1875.000000 103.611 161.3990
1900.000000 103.754 162.0917
1925.000000 103.901 162.8087
1950.000000 104.052 163.5439
1975.000000 104.207 164.2834
2000.000000 104.365 165.0204
2030.000000 104.560 165.9064
2060.000000 104.758 166.7858
2090.000000 104.960 167.6514
2120.000000 105.163 168.4975
2140.000000 105.300 169.0471
2180.000000 105.573 170.0927
2200.000000 105.708 170.5822
2240.000000 105.975 171.4885
2270.000000 106.171 172.0960
2300.000000 106.360 172.6453
2330.000000 106.542 173.1427
2360.000000 106.715 173.5913
2400.000000 106.929 174.1187
2430.000000 107.077 174.4724
2470.000000 107.254 174.9066
2500.000000 107.372 175.2037
2540.000000 107.508 175.5792
2580.000000 107.621 175.9548
2620.000000 107.712 176.3420
2650.000000 107.765 176.6512
2690.000000 107.819 177.0958
2720.000000 107.848 177.4489
2760.000000 107.870 177.9402
2800.000000 107.876 178.4667
2850.000000 107.865 179.1939
2900.000000 107.835 179.9984
2950.000000 107.789 -179.1099
3000.000000 107.731 -178.1538
3040.000000 107.674 -177.3619
3070.000000 107.627 -176.7546
3110.000000 107.559 -175.9186
3150.000000 107.486 -175.0630
3200.000000 107.388 -173.9806
3250.000000 107.283 -172.8728
3300.000000 107.172 -171.7383
3350.000000 107.055 -170.6021
3400.000000 106.932 -169.4752
3450.000000 106.806 -168.3486
3500.000000 106.676 -167.2408
3550.000000 106.541 -166.1517
3600.000000 106.405 -165.0599
3650.000000 106.268 -163.9757
3700.000000 106.127 -162.9254
3750.000000 105.986 -161.9166
3820.000000 105.788 -160.5637
3870.000000 105.646 -159.6613
3950.000000 105.415 -158.3477
4000.000000 105.270 -157.5907
4060.000000 105.096 -156.7321
4120.000000 104.921 -155.9526
4180.000000 104.743 -155.2783
4250.000000 104.535 -154.6094
4310.000000 104.355 -154.1464
4370.000000 104.174 -153.8195
4440.000000 103.961 -153.6146
4500.000000 103.777 -153.5558
4550.000000 103.623 -153.5791
4620.000000 103.407 -153.7356
4680.000000 103.219 -153.9958
4750.000000 102.999 -154.4297
4820.000000 102.779 -154.9943
4870.000000 102.620 -155.4923
4940.000000 102.395 -156.3345
5000.000000 102.199 -157.1621
5080.000000 101.939 -158.3564
5150.000000 101.710 -159.4498
5220.000000 101.486 -160.5536
5300.000000 101.258 -161.7106
5380.000000 101.113 -162.7170
5450.000000 101.096 -163.7995
5520.000000 101.164 -165.5419
5600.000000 101.269 -168.5211
5700.000000 101.366 -173.2355
5800.000000 101.429 -178.5569
