* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 22, 2023 8:27:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Hola R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 100.558 -160.8427
20.600000 100.561 -161.3696
20.900000 100.558 -161.9580
21.200001 100.552 -162.5442
21.400000 100.547 -162.9303
21.799999 100.539 -163.6891
22.000000 100.537 -164.0609
22.400000 100.535 -164.7865
22.700001 100.536 -165.3138
23.000000 100.536 -165.8262
23.299999 100.535 -166.3240
23.600000 100.532 -166.8087
24.000000 100.524 -167.4385
24.299999 100.515 -167.9031
24.700001 100.503 -168.5204
25.000000 100.495 -168.9869
25.400000 100.486 -169.6174
25.799999 100.480 -170.2535
26.200001 100.476 -170.8822
26.500000 100.472 -171.3386
26.900000 100.466 -171.9171
27.200001 100.460 -172.3283
27.600000 100.451 -172.8554
28.000000 100.440 -173.3738
28.500000 100.419 -174.0244
29.000000 100.393 -174.6667
29.500000 100.366 -175.2713
30.000000 100.345 -175.8281
30.400000 100.335 -176.2559
30.700001 100.330 -176.5793
31.100000 100.322 -177.0223
31.500000 100.310 -177.4761
32.000000 100.287 -178.0394
32.500000 100.258 -178.5783
33.000000 100.228 -179.0896
33.500000 100.200 -179.5793
34.000000 100.176 179.9501
34.500000 100.155 179.4958
35.000000 100.137 179.0455
35.500000 100.117 178.5839
36.000000 100.094 178.1118
36.500000 100.067 177.6489
37.000000 100.039 177.2136
37.500000 100.014 176.8037
38.200001 99.983 176.2405
38.700001 99.962 175.8347
39.500000 99.922 175.1975
40.000000 99.894 174.8129
40.599998 99.858 174.3597
41.200001 99.818 173.9148
41.799999 99.778 173.4824
42.500000 99.737 172.9861
43.099998 99.708 172.5601
43.700001 99.682 172.1433
44.400002 99.652 171.6841
45.000000 99.623 171.3076
45.500000 99.593 171.0007
46.200001 99.544 170.5909
46.799999 99.501 170.2647
47.500000 99.457 169.8964
48.200001 99.418 169.5188
48.700001 99.391 169.2431
49.400002 99.351 168.8568
50.000000 99.315 168.5322
50.799999 99.265 168.1241
51.500000 99.222 167.7934
52.200001 99.182 167.4727
53.000000 99.135 167.1126
53.799999 99.086 166.7665
54.500000 99.045 166.4686
55.200001 99.006 166.1693
56.000000 98.960 165.8261
57.000000 98.900 165.4025
58.000000 98.839 165.0027
59.000000 98.783 164.6038
60.000000 98.726 164.2142
60.799999 98.680 163.9449
61.500000 98.641 163.7236
62.200001 98.602 163.4954
63.000000 98.556 163.2335
64.000000 98.499 162.9241
65.000000 98.441 162.6228
66.000000 98.384 162.3260
67.000000 98.328 162.0408
68.000000 98.275 161.7629
69.000000 98.220 161.5036
70.000000 98.164 161.2661
71.000000 98.109 161.0323
72.000000 98.054 160.8028
73.000000 97.999 160.5866
74.000000 97.946 160.3718
75.000000 97.892 160.1481
76.199997 97.827 159.8907
77.500000 97.760 159.6399
78.800003 97.692 159.4002
80.000000 97.628 159.1918
81.199997 97.567 158.9945
82.500000 97.501 158.7831
83.800003 97.435 158.5795
85.000000 97.375 158.4069
86.199997 97.316 158.2393
87.500000 97.252 158.0826
88.500000 97.205 157.9743
90.000000 97.136 157.8093
91.199997 97.081 157.6684
92.500000 97.021 157.5225
93.800003 96.959 157.3961
95.000000 96.903 157.2900
96.199997 96.847 157.1926
97.500000 96.785 157.0988
98.800003 96.726 157.0115
100.000000 96.675 156.9316
101.500000 96.611 156.8184
103.000000 96.543 156.7042
104.400002 96.481 156.6260
106.000000 96.416 156.5467
107.500000 96.353 156.4756
109.000000 96.290 156.4239
110.599998 96.226 156.3789
112.000000 96.170 156.3305
113.800003 96.096 156.2799
115.000000 96.049 156.2498
117.199997 95.966 156.1916
118.000000 95.936 156.1692
120.599998 95.841 156.1220
122.000000 95.788 156.1223
124.099998 95.710 156.1211
125.000000 95.677 156.1211
126.500000 95.624 156.1191
128.000000 95.571 156.1265
131.500000 95.453 156.1713
132.000000 95.436 156.1775
134.000000 95.368 156.2003
136.000000 95.301 156.2404
138.000000 95.236 156.2789
140.000000 95.173 156.3152
143.000000 95.078 156.4135
145.000000 95.017 156.4700
147.500000 94.942 156.5449
150.000000 94.868 156.6282
152.500000 94.796 156.7248
155.000000 94.724 156.8179
157.500000 94.653 156.9253
160.000000 94.585 157.0354
162.500000 94.517 157.1597
165.000000 94.450 157.2910
167.500000 94.385 157.4334
170.000000 94.321 157.5740
172.500000 94.258 157.7291
175.000000 94.194 157.8887
177.500000 94.127 158.0389
180.000000 94.063 158.1987
182.500000 94.008 158.3766
185.000000 93.958 158.5936
187.500000 93.906 158.8079
190.000000 93.851 159.0018
192.500000 93.797 159.2100
195.000000 93.746 159.4322
197.500000 93.697 159.6540
200.000000 93.648 159.8658
203.000000 93.591 160.1380
206.000000 93.540 160.4198
209.000000 93.492 160.7074
212.000000 93.446 161.0197
214.000000 93.420 161.2351
218.000000 93.374 161.6548
220.000000 93.355 161.8419
224.000000 93.322 162.1598
227.000000 93.298 162.3622
230.000000 93.272 162.5424
233.000000 93.243 162.7032
236.000000 93.213 162.8577
240.000000 93.172 163.0655
243.000000 93.141 163.2363
247.000000 93.100 163.4516
250.000000 93.068 163.6264
254.000000 93.019 163.8701
258.000000 92.973 164.1081
262.000000 92.932 164.3405
265.000000 92.903 164.5178
269.000000 92.865 164.7547
272.000000 92.838 164.9321
276.000000 92.802 165.1738
280.000000 92.767 165.4109
285.000000 92.723 165.6909
290.000000 92.679 165.9536
295.000000 92.634 166.2220
300.000000 92.591 166.5017
304.000000 92.555 166.7422
307.000000 92.529 166.9204
311.000000 92.495 167.1539
315.000000 92.462 167.3887
320.000000 92.421 167.6840
325.000000 92.380 167.9875
330.000000 92.341 168.2877
335.000000 92.304 168.5864
340.000000 92.268 168.8920
345.000000 92.233 169.2021
350.000000 92.199 169.5125
355.000000 92.166 169.8188
360.000000 92.134 170.1237
365.000000 92.102 170.4286
370.000000 92.071 170.7341
375.000000 92.041 171.0377
382.000000 91.999 171.4651
387.000000 91.970 171.7757
395.000000 91.924 172.2814
400.000000 91.896 172.6060
406.000000 91.863 173.0038
412.000000 91.832 173.4100
418.000000 91.802 173.8216
425.000000 91.769 174.3416
431.000000 91.745 174.8220
437.000000 91.728 175.3265
444.000000 91.724 175.9130
450.000000 91.732 176.3610
455.000000 91.744 176.6619
462.000000 91.755 176.9771
468.000000 91.756 177.2003
475.000000 91.745 177.4531
482.000000 91.729 177.7287
487.000000 91.715 177.9394
494.000000 91.694 178.2550
500.000000 91.677 178.5411
508.000000 91.655 178.9380
515.000000 91.637 179.2975
522.000000 91.619 179.6660
530.000000 91.601 -179.9121
538.000000 91.584 -179.4937
545.000000 91.570 -179.1170
552.000000 91.558 -178.7336
560.000000 91.545 -178.3014
570.000000 91.530 -177.7586
580.000000 91.516 -177.2159
590.000000 91.504 -176.6713
600.000000 91.494 -176.1255
608.000000 91.488 -175.6861
615.000000 91.484 -175.2980
622.000000 91.480 -174.9121
630.000000 91.476 -174.4706
640.000000 91.472 -173.9181
650.000000 91.471 -173.3659
660.000000 91.471 -172.8127
670.000000 91.473 -172.2526
680.000000 91.476 -171.6902
690.000000 91.482 -171.1300
700.000000 91.489 -170.5701
710.000000 91.497 -170.0075
720.000000 91.508 -169.4435
730.000000 91.522 -168.8804
740.000000 91.537 -168.3150
750.000000 91.555 -167.7489
762.000000 91.578 -167.0678
775.000000 91.608 -166.3356
788.000000 91.640 -165.6087
800.000000 91.674 -164.9389
812.000000 91.712 -164.2707
825.000000 91.757 -163.5557
838.000000 91.805 -162.8487
850.000000 91.853 -162.2080
862.000000 91.906 -161.5781
875.000000 91.967 -160.9114
885.000000 92.015 -160.4102
900.000000 92.093 -159.6776
912.000000 92.159 -159.1090
925.000000 92.233 -158.5149
938.000000 92.310 -157.9441
950.000000 92.384 -157.4384
962.000000 92.459 -156.9539
975.000000 92.543 -156.4511
988.000000 92.630 -155.9747
1000.000000 92.711 -155.5576
1015.000000 92.814 -155.0698
1030.000000 92.919 -154.6159
1044.000000 93.018 -154.2245
1060.000000 93.133 -153.8162
1075.000000 93.240 -153.4727
1090.000000 93.347 -153.1648
1106.000000 93.461 -152.8754
1120.000000 93.560 -152.6516
1138.000000 93.685 -152.4035
1150.000000 93.767 -152.2650
1172.000000 93.914 -152.0502
1180.000000 93.966 -151.9831
1206.000000 94.130 -151.8062
1220.000000 94.215 -151.7335
1241.000000 94.340 -151.6484
1250.000000 94.392 -151.6185
1265.000000 94.476 -151.5769
1280.000000 94.559 -151.5446
1315.000000 94.743 -151.4973
1320.000000 94.769 -151.4934
1340.000000 94.870 -151.4846
1360.000000 94.968 -151.4841
1380.000000 95.064 -151.4902
1400.000000 95.157 -151.5003
1430.000000 95.293 -151.5247
1450.000000 95.382 -151.5469
1475.000000 95.492 -151.5816
1500.000000 95.600 -151.6252
1525.000000 95.706 -151.6769
1550.000000 95.810 -151.7385
1575.000000 95.913 -151.8072
1600.000000 96.014 -151.8839
1625.000000 96.114 -151.9682
1650.000000 96.212 -152.0601
1675.000000 96.310 -152.1584
1700.000000 96.406 -152.2656
1725.000000 96.502 -152.3810
1750.000000 96.597 -152.5037
1775.000000 96.690 -152.6346
1800.000000 96.784 -152.7745
1825.000000 96.876 -152.9230
1850.000000 96.968 -153.0822
1875.000000 97.059 -153.2527
1900.000000 97.149 -153.4342
1925.000000 97.239 -153.6268
1950.000000 97.328 -153.8314
1975.000000 97.415 -154.0483
2000.000000 97.502 -154.2782
2030.000000 97.604 -154.5704
2060.000000 97.705 -154.8797
2090.000000 97.803 -155.2062
2120.000000 97.900 -155.5502
2140.000000 97.963 -155.7888
2180.000000 98.085 -156.2888
2200.000000 98.144 -156.5498
2240.000000 98.259 -157.0916
2270.000000 98.343 -157.5137
2300.000000 98.423 -157.9485
2330.000000 98.499 -158.3946
2360.000000 98.573 -158.8517
2400.000000 98.666 -159.4779
2430.000000 98.732 -159.9580
2470.000000 98.815 -160.6094
2500.000000 98.873 -161.1064
2540.000000 98.946 -161.7783
2580.000000 99.012 -162.4574
2620.000000 99.073 -163.1406
2650.000000 99.114 -163.6544
2690.000000 99.164 -164.3416
2720.000000 99.198 -164.8566
2760.000000 99.238 -165.5395
2800.000000 99.273 -166.2171
2850.000000 99.310 -167.0553
2900.000000 99.340 -167.8780
2950.000000 99.368 -168.6808
3000.000000 99.396 -169.4998
3040.000000 99.406 -170.1263
3070.000000 99.405 -170.5687
3110.000000 99.401 -171.1502
3150.000000 99.403 -171.7508
3200.000000 99.407 -172.4994
3250.000000 99.398 -173.1772
3300.000000 99.387 -173.8608
3350.000000 99.375 -174.5476
3400.000000 99.352 -175.1979
3450.000000 99.320 -175.8206
3500.000000 99.289 -176.4500
3550.000000 99.259 -177.0657
3600.000000 99.226 -177.6592
3650.000000 99.191 -178.2307
3700.000000 99.154 -178.7752
3750.000000 99.116 -179.2949
3820.000000 99.067 179.9957
3870.000000 99.034 179.4788
3950.000000 98.979 178.5999
4000.000000 98.941 178.0186
4060.000000 98.888 177.2969
4120.000000 98.827 176.5598
4180.000000 98.757 175.8197
4250.000000 98.664 174.9613
4310.000000 98.575 174.2374
4370.000000 98.479 173.5294
4440.000000 98.357 172.7261
4500.000000 98.244 172.0633
4550.000000 98.145 171.5342
4620.000000 97.996 170.8391
4680.000000 97.863 170.2948
4750.000000 97.701 169.7300
4820.000000 97.538 169.2420
4870.000000 97.421 168.9306
4940.000000 97.259 168.5237
5000.000000 97.120 168.1871
5080.000000 96.927 167.7590
5150.000000 96.749 167.4319
5220.000000 96.563 167.1792
5300.000000 96.346 166.9987
5380.000000 96.127 166.9369
5450.000000 95.935 166.9794
5520.000000 95.745 167.1165
5600.000000 95.534 167.3916
5700.000000 95.287 167.8848
5800.000000 95.061 168.4872
5900.000000 94.854 169.1520
6000.000000 94.660 169.8718
