* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:00:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.871 -179.9172
20.299999 99.804 179.2564
20.600000 99.739 178.4202
20.900000 99.677 177.5894
21.200001 99.621 176.7727
21.400000 99.589 176.2358
21.799999 99.534 175.1695
22.000000 99.512 174.6356
22.400000 99.474 173.5672
22.700001 99.448 172.7809
23.000000 99.422 172.0296
23.299999 99.397 171.3309
23.600000 99.376 170.6924
24.000000 99.354 169.9242
24.299999 99.343 169.3937
24.700001 99.331 168.7266
25.000000 99.322 168.2523
25.400000 99.305 167.6573
25.799999 99.283 167.1045
26.200001 99.255 166.5820
26.500000 99.227 166.2038
26.900000 99.181 165.7231
27.200001 99.138 165.3938
27.600000 99.074 165.0162
28.000000 99.009 164.7066
28.500000 98.939 164.3502
29.000000 98.884 163.9171
29.500000 98.829 163.3442
30.000000 98.766 162.6682
30.400000 98.707 162.1089
30.700001 98.661 161.7014
31.100000 98.602 161.1836
31.500000 98.548 160.6898
32.000000 98.491 160.0834
32.500000 98.443 159.4643
33.000000 98.397 158.8284
33.500000 98.347 158.2039
34.000000 98.290 157.6345
34.500000 98.231 157.1440
35.000000 98.173 156.7166
35.500000 98.116 156.3199
36.000000 98.055 155.9412
36.500000 97.991 155.5914
37.000000 97.927 155.2716
37.500000 97.868 154.9494
38.200001 97.790 154.4139
38.700001 97.730 153.9631
39.500000 97.620 153.2319
40.000000 97.549 152.8275
40.599998 97.471 152.3988
41.200001 97.405 151.9936
41.799999 97.347 151.5849
42.500000 97.282 151.1138
43.099998 97.225 150.7329
43.700001 97.168 150.3726
44.400002 97.097 149.9715
45.000000 97.032 149.6497
45.500000 96.976 149.3966
46.200001 96.895 149.0490
46.799999 96.824 148.7481
47.500000 96.738 148.4006
48.200001 96.655 148.0558
48.700001 96.596 147.8055
49.400002 96.516 147.4556
50.000000 96.449 147.1673
50.799999 96.364 146.7985
51.500000 96.291 146.4798
52.200001 96.218 146.1680
53.000000 96.133 145.8395
53.799999 96.048 145.5490
54.500000 95.976 145.3068
55.200001 95.906 145.0555
56.000000 95.825 144.7636
57.000000 95.724 144.4087
58.000000 95.623 144.0728
59.000000 95.524 143.7838
60.000000 95.431 143.5005
60.799999 95.353 143.2620
61.500000 95.281 143.0700
62.200001 95.209 142.8992
63.000000 95.128 142.7119
64.000000 95.029 142.4715
65.000000 94.931 142.2360
66.000000 94.837 142.0090
67.000000 94.744 141.7891
68.000000 94.652 141.5947
69.000000 94.562 141.4188
70.000000 94.473 141.2488
71.000000 94.385 141.0604
72.000000 94.293 140.8497
73.000000 94.196 140.6797
74.000000 94.103 140.5537
75.000000 94.012 140.4725
76.199997 93.915 140.3992
77.500000 93.806 140.2484
78.800003 93.689 140.1345
80.000000 93.584 139.9807
81.199997 93.473 139.7888
82.500000 93.358 139.6036
83.800003 93.241 139.4246
85.000000 93.143 139.4893
86.199997 93.080 139.5233
87.500000 92.993 139.3990
88.500000 92.907 139.4015
90.000000 92.795 139.5883
91.199997 92.724 139.5468
92.500000 92.622 139.4025
93.800003 92.519 139.3652
95.000000 92.430 139.3463
96.199997 92.346 139.3588
97.500000 92.260 139.3795
98.800003 92.171 139.3849
100.000000 92.085 139.4142
101.500000 91.982 139.4521
103.000000 91.881 139.4485
104.400002 91.786 139.4473
106.000000 91.679 139.4914
107.500000 91.583 139.5543
109.000000 91.485 139.6298
110.599998 91.381 139.7247
112.000000 91.292 139.8134
113.800003 91.180 139.9313
115.000000 91.107 140.0178
117.199997 90.973 140.2165
118.000000 90.924 140.3001
120.599998 90.773 140.5483
122.000000 90.692 140.6462
124.099998 90.571 140.8330
125.000000 90.521 140.9258
126.500000 90.439 141.0946
128.000000 90.358 141.2742
131.500000 90.164 141.6974
132.000000 90.137 141.7601
134.000000 90.032 142.0092
136.000000 89.932 142.2574
138.000000 89.833 142.5072
140.000000 89.737 142.7838
143.000000 89.604 143.1542
145.000000 89.515 143.4265
147.500000 89.407 143.7809
150.000000 89.295 144.1350
152.500000 89.186 144.5569
155.000000 89.087 144.9810
157.500000 88.987 145.3672
160.000000 88.881 145.7577
162.500000 88.780 146.1688
165.000000 88.684 146.5887
167.500000 88.590 147.0089
170.000000 88.497 147.4430
172.500000 88.407 147.8984
175.000000 88.318 148.3635
177.500000 88.228 148.8254
180.000000 88.140 149.3047
182.500000 88.057 149.8217
185.000000 87.975 150.3629
187.500000 87.894 150.9259
190.000000 87.818 151.5107
192.500000 87.751 152.1413
195.000000 87.691 152.7964
197.500000 87.637 153.4640
200.000000 87.593 154.1238
203.000000 87.555 154.9109
206.000000 87.527 155.6525
209.000000 87.506 156.3369
212.000000 87.498 156.9456
214.000000 87.499 157.2975
218.000000 87.496 157.8487
220.000000 87.486 158.0776
224.000000 87.453 158.4944
227.000000 87.421 158.7598
230.000000 87.384 159.0836
233.000000 87.345 159.4744
236.000000 87.307 159.8497
240.000000 87.256 160.3471
243.000000 87.220 160.7825
247.000000 87.177 161.3672
250.000000 87.145 161.7903
254.000000 87.104 162.3591
258.000000 87.066 162.9286
262.000000 87.031 163.4866
265.000000 87.008 163.9029
269.000000 86.981 164.4557
272.000000 86.962 164.8648
276.000000 86.937 165.4109
280.000000 86.915 165.9498
285.000000 86.891 166.6140
290.000000 86.870 167.2550
295.000000 86.854 167.8796
300.000000 86.843 168.4917
304.000000 86.827 168.9838
307.000000 86.817 169.3440
311.000000 86.808 169.8015
315.000000 86.802 170.2499
320.000000 86.793 170.8010
325.000000 86.786 171.3451
330.000000 86.783 171.8741
335.000000 86.782 172.3932
340.000000 86.779 172.9070
345.000000 86.777 173.4039
350.000000 86.776 173.8839
355.000000 86.777 174.3516
360.000000 86.777 174.8102
365.000000 86.778 175.2583
370.000000 86.781 175.7009
375.000000 86.784 176.1359
382.000000 86.787 176.7340
387.000000 86.789 177.1612
395.000000 86.794 177.8467
400.000000 86.799 178.2849
406.000000 86.810 178.8226
412.000000 86.828 179.3510
418.000000 86.856 179.8544
425.000000 86.889 -179.6391
431.000000 86.911 -179.2874
437.000000 86.930 -178.9764
444.000000 86.945 -178.6257
450.000000 86.955 -178.3129
455.000000 86.962 -178.0418
462.000000 86.971 -177.6577
468.000000 86.977 -177.3186
475.000000 86.987 -176.9193
482.000000 86.996 -176.5286
487.000000 87.003 -176.2523
494.000000 87.012 -175.8635
500.000000 87.021 -175.5286
508.000000 87.033 -175.0889
515.000000 87.042 -174.7164
522.000000 87.052 -174.3461
530.000000 87.062 -173.9181
538.000000 87.073 -173.4931
545.000000 87.084 -173.1267
552.000000 87.096 -172.7684
560.000000 87.108 -172.3623
570.000000 87.124 -171.8503
580.000000 87.140 -171.3351
590.000000 87.155 -170.8254
600.000000 87.172 -170.3088
608.000000 87.185 -169.9158
615.000000 87.197 -169.5754
622.000000 87.208 -169.2269
630.000000 87.221 -168.8240
640.000000 87.236 -168.3202
650.000000 87.253 -167.8162
660.000000 87.272 -167.3068
670.000000 87.293 -166.7997
680.000000 87.315 -166.2852
690.000000 87.338 -165.7719
700.000000 87.360 -165.2573
710.000000 87.382 -164.7413
720.000000 87.406 -164.2256
730.000000 87.433 -163.6881
740.000000 87.461 -163.1508
750.000000 87.490 -162.6156
762.000000 87.527 -161.9753
775.000000 87.570 -161.2794
788.000000 87.618 -160.5820
800.000000 87.664 -159.9383
812.000000 87.713 -159.2945
825.000000 87.770 -158.5976
838.000000 87.831 -157.9076
850.000000 87.891 -157.2900
862.000000 87.956 -156.6746
875.000000 88.030 -156.0174
885.000000 88.090 -155.5222
900.000000 88.183 -154.8012
912.000000 88.261 -154.2409
925.000000 88.349 -153.6531
938.000000 88.441 -153.0924
950.000000 88.530 -152.5978
962.000000 88.620 -152.1287
975.000000 88.720 -151.6500
988.000000 88.822 -151.2022
1000.000000 88.918 -150.8166
1015.000000 89.040 -150.3768
1030.000000 89.161 -149.9839
1044.000000 89.274 -149.6559
1060.000000 89.402 -149.3272
1075.000000 89.522 -149.0630
1090.000000 89.640 -148.8363
1106.000000 89.763 -148.6349
1120.000000 89.869 -148.4896
1138.000000 90.001 -148.3395
1150.000000 90.086 -148.2653
1172.000000 90.235 -148.1628
1180.000000 90.288 -148.1345
1206.000000 90.451 -148.0704
1220.000000 90.535 -148.0524
1241.000000 90.653 -148.0408
1250.000000 90.702 -148.0409
1265.000000 90.781 -148.0423
1280.000000 90.857 -148.0411
1315.000000 91.024 -148.0308
1320.000000 91.046 -148.0285
1340.000000 91.134 -148.0129
1360.000000 91.219 -147.9872
1380.000000 91.302 -147.9508
1400.000000 91.381 -147.9057
1430.000000 91.497 -147.8172
1450.000000 91.572 -147.7417
1475.000000 91.664 -147.6275
1500.000000 91.757 -147.4987
1525.000000 91.849 -147.3559
1550.000000 91.941 -147.1979
1575.000000 92.034 -147.0232
1600.000000 92.128 -146.8360
1625.000000 92.224 -146.6420
1650.000000 92.321 -146.4406
1675.000000 92.420 -146.2324
1700.000000 92.522 -146.0249
1725.000000 92.626 -145.8130
1750.000000 92.731 -145.6023
1775.000000 92.839 -145.3948
1800.000000 92.950 -145.1910
1825.000000 93.064 -144.9938
1850.000000 93.180 -144.8052
1875.000000 93.298 -144.6244
1900.000000 93.418 -144.4536
1925.000000 93.541 -144.2939
1950.000000 93.666 -144.1500
1975.000000 93.794 -144.0230
2000.000000 93.924 -143.9092
2030.000000 94.082 -143.7931
2060.000000 94.244 -143.7071
2090.000000 94.409 -143.6547
2120.000000 94.576 -143.6371
2140.000000 94.688 -143.6441
2180.000000 94.916 -143.7062
2200.000000 95.031 -143.7639
2240.000000 95.264 -143.9365
2270.000000 95.440 -144.1184
2300.000000 95.617 -144.3426
2330.000000 95.794 -144.6121
2360.000000 95.970 -144.9330
2400.000000 96.206 -145.4452
2430.000000 96.381 -145.8951
2470.000000 96.610 -146.5822
2500.000000 96.779 -147.1621
2540.000000 96.999 -148.0202
2580.000000 97.211 -148.9773
2620.000000 97.414 -150.0339
2650.000000 97.560 -150.8910
2690.000000 97.744 -152.1208
2720.000000 97.873 -153.1074
2760.000000 98.030 -154.5033
2800.000000 98.168 -155.9799
2850.000000 98.312 -157.9193
2900.000000 98.421 -159.9296
2950.000000 98.493 -161.9707
3000.000000 98.528 -164.0047
3040.000000 98.531 -165.6039
3070.000000 98.520 -166.7744
3110.000000 98.487 -168.2843
3150.000000 98.436 -169.7273
3200.000000 98.350 -171.4217
3250.000000 98.243 -172.9801
3300.000000 98.119 -174.3938
3350.000000 97.983 -175.6614
3400.000000 97.837 -176.7867
3450.000000 97.685 -177.7705
3500.000000 97.527 -178.6142
3550.000000 97.367 -179.3213
3600.000000 97.206 -179.8928
3650.000000 97.047 179.6709
3700.000000 96.893 179.3661
3750.000000 96.748 179.1843
3820.000000 96.566 179.0954
3870.000000 96.453 179.1061
3950.000000 96.297 179.1721
4000.000000 96.212 179.2287
4060.000000 96.118 179.3183
4120.000000 96.035 179.4315
4180.000000 95.964 179.5635
4250.000000 95.896 179.7225
4310.000000 95.851 179.8453
4370.000000 95.818 179.9372
4440.000000 95.791 179.9813
4500.000000 95.775 179.9530
4550.000000 95.765 179.8803
4620.000000 95.752 179.7092
4680.000000 95.740 179.5069
4750.000000 95.723 179.2170
4820.000000 95.700 178.8864
4870.000000 95.681 178.6379
4940.000000 95.647 178.2908
5000.000000 95.614 178.0054
5080.000000 95.564 177.6540
5150.000000 95.517 177.3855
5220.000000 95.469 177.1634
5300.000000 95.410 176.9818
5380.000000 95.352 176.8969
5450.000000 95.305 176.9189
5520.000000 95.266 177.0366
5600.000000 95.236 177.2792
5700.000000 95.227 177.7188
5800.000000 95.259 178.2668
5900.000000 95.339 178.8714
6000.000000 95.477 179.4608
6080.000000 95.633 179.8411
