* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 21, 2023 8:04:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Truthear Nova R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 99.464 -176.5184
20.299999 99.346 -177.1275
20.600000 99.224 -177.4684
20.900000 99.118 -177.5277
21.200001 99.052 -177.3615
21.400000 99.039 -177.1932
21.799999 99.095 -176.9809
22.000000 99.157 -177.0565
22.400000 99.308 -177.7561
22.700001 99.403 -178.7523
23.000000 99.452 179.9825
23.299999 99.443 178.6424
23.600000 99.384 177.4212
24.000000 99.265 176.1971
24.299999 99.181 175.5988
24.700001 99.114 175.0443
25.000000 99.097 174.6364
25.400000 99.094 173.9426
25.799999 99.081 173.1002
26.200001 99.042 172.2671
26.500000 99.003 171.7331
26.900000 98.955 171.1602
27.200001 98.928 170.7928
27.600000 98.903 170.3099
28.000000 98.879 169.8024
28.500000 98.840 169.1750
29.000000 98.795 168.6076
29.500000 98.752 168.0680
30.000000 98.705 167.5075
30.400000 98.657 167.0662
30.700001 98.616 166.7675
31.100000 98.561 166.4278
31.500000 98.515 166.1304
32.000000 98.472 165.7264
32.500000 98.436 165.2050
33.000000 98.390 164.5797
33.500000 98.328 163.9441
34.000000 98.258 163.3801
34.500000 98.196 162.8915
35.000000 98.149 162.4025
35.500000 98.110 161.8283
36.000000 98.060 161.1681
36.500000 97.987 160.5396
37.000000 97.898 160.0958
37.500000 97.822 159.8820
38.200001 97.776 159.6986
38.700001 97.773 159.3937
39.500000 97.740 158.5750
40.000000 97.688 158.0620
40.599998 97.610 157.5980
41.200001 97.536 157.3020
41.799999 97.481 157.1336
42.500000 97.462 156.9086
43.099998 97.470 156.4064
43.700001 97.443 155.5949
44.400002 97.329 154.7585
45.000000 97.217 154.4914
45.500000 97.161 154.4554
46.200001 97.129 154.2299
46.799999 97.088 153.8204
47.500000 97.008 153.4236
48.200001 96.937 153.1988
48.700001 96.900 153.0035
49.400002 96.839 152.6067
50.000000 96.768 152.2677
50.799999 96.669 151.9584
51.500000 96.601 151.7107
52.200001 96.539 151.3635
53.000000 96.457 150.9167
53.799999 96.374 150.5314
54.500000 96.308 150.2296
55.200001 96.248 149.9366
56.000000 96.183 149.6248
57.000000 96.108 149.2497
58.000000 96.030 148.8754
59.000000 95.946 148.5355
60.000000 95.857 148.2225
60.799999 95.785 147.9709
61.500000 95.720 147.7535
62.200001 95.655 147.5385
63.000000 95.583 147.2832
64.000000 95.494 146.9689
65.000000 95.412 146.6573
66.000000 95.329 146.3226
67.000000 95.240 146.0472
68.000000 95.156 145.8301
69.000000 95.076 145.6298
70.000000 94.999 145.4226
71.000000 94.920 145.1827
72.000000 94.835 144.9614
73.000000 94.751 144.7807
74.000000 94.673 144.6096
75.000000 94.597 144.4299
76.199997 94.506 144.2138
77.500000 94.404 143.9946
78.800003 94.304 143.8056
80.000000 94.213 143.6290
81.199997 94.124 143.4594
82.500000 94.028 143.2601
83.800003 93.929 143.1064
85.000000 93.845 143.0022
86.199997 93.766 142.8729
87.500000 93.676 142.7136
88.500000 93.603 142.6105
90.000000 93.494 142.5000
91.199997 93.412 142.4404
92.500000 93.324 142.3455
93.800003 93.235 142.2580
95.000000 93.153 142.1917
96.199997 93.073 142.1403
97.500000 92.988 142.0899
98.800003 92.903 142.0525
100.000000 92.825 142.0369
101.500000 92.729 142.0550
103.000000 92.638 142.0875
104.400002 92.558 142.0955
106.000000 92.467 142.0864
107.500000 92.386 142.0704
109.000000 92.306 142.0362
110.599998 92.220 142.0012
112.000000 92.145 141.9804
113.800003 92.045 141.9637
115.000000 91.978 141.9667
117.199997 91.852 142.0025
118.000000 91.807 142.0198
120.599998 91.663 142.1106
122.000000 91.589 142.1399
124.099998 91.475 142.1865
125.000000 91.426 142.2174
126.500000 91.350 142.2816
128.000000 91.277 142.3553
131.500000 91.112 142.5005
132.000000 91.087 142.5251
134.000000 90.986 142.6510
136.000000 90.887 142.7988
138.000000 90.794 142.9499
140.000000 90.703 143.0876
143.000000 90.565 143.3129
145.000000 90.476 143.4703
147.500000 90.367 143.6859
150.000000 90.264 143.9336
152.500000 90.159 144.1609
155.000000 90.054 144.3938
157.500000 89.949 144.6359
160.000000 89.850 144.9044
162.500000 89.754 145.1790
165.000000 89.660 145.4709
167.500000 89.570 145.7541
170.000000 89.481 146.0353
172.500000 89.395 146.3159
175.000000 89.309 146.5912
177.500000 89.227 146.8646
180.000000 89.147 147.1472
182.500000 89.067 147.4841
185.000000 88.986 147.8510
187.500000 88.906 148.1902
190.000000 88.830 148.5054
192.500000 88.757 148.8356
195.000000 88.688 149.1867
197.500000 88.620 149.5356
200.000000 88.554 149.8697
203.000000 88.476 150.2756
206.000000 88.399 150.7045
209.000000 88.325 151.1361
212.000000 88.254 151.5565
214.000000 88.207 151.8383
218.000000 88.118 152.4068
220.000000 88.074 152.6875
224.000000 87.989 153.2609
227.000000 87.929 153.7097
230.000000 87.871 154.1589
233.000000 87.814 154.5958
236.000000 87.759 155.0398
240.000000 87.693 155.6423
243.000000 87.642 156.0724
247.000000 87.578 156.6562
250.000000 87.533 157.1015
254.000000 87.477 157.6923
258.000000 87.426 158.2598
262.000000 87.376 158.8191
265.000000 87.340 159.2309
269.000000 87.295 159.7805
272.000000 87.264 160.2027
276.000000 87.223 160.7550
280.000000 87.184 161.2943
285.000000 87.139 161.9587
290.000000 87.097 162.6145
295.000000 87.056 163.2607
300.000000 87.018 163.9239
304.000000 86.994 164.3998
307.000000 86.977 164.7433
311.000000 86.953 165.2095
315.000000 86.929 165.6805
320.000000 86.899 166.2577
325.000000 86.872 166.8230
330.000000 86.849 167.4015
335.000000 86.827 167.9915
340.000000 86.805 168.5674
345.000000 86.785 169.1211
350.000000 86.765 169.6693
355.000000 86.747 170.2328
360.000000 86.731 170.8281
365.000000 86.720 171.4332
370.000000 86.716 172.0378
375.000000 86.723 172.6206
382.000000 86.742 173.3081
387.000000 86.751 173.7188
395.000000 86.753 174.3456
400.000000 86.751 174.7546
406.000000 86.749 175.2607
412.000000 86.748 175.7855
418.000000 86.749 176.3055
425.000000 86.762 176.8936
431.000000 86.775 177.3568
437.000000 86.785 177.7846
444.000000 86.794 178.2570
450.000000 86.800 178.6611
455.000000 86.804 179.0000
462.000000 86.810 179.4825
468.000000 86.816 179.8982
475.000000 86.823 -179.6186
482.000000 86.831 -179.1572
487.000000 86.838 -178.8436
494.000000 86.848 -178.3995
500.000000 86.856 -178.0138
508.000000 86.866 -177.5166
515.000000 86.874 -177.0887
522.000000 86.884 -176.6563
530.000000 86.895 -176.1683
538.000000 86.909 -175.6833
545.000000 86.920 -175.2906
552.000000 86.930 -174.9104
560.000000 86.942 -174.4600
570.000000 86.958 -173.8871
580.000000 86.971 -173.3132
590.000000 86.987 -172.7520
600.000000 87.005 -172.2080
608.000000 87.019 -171.7702
615.000000 87.032 -171.3861
622.000000 87.045 -171.0016
630.000000 87.059 -170.5547
640.000000 87.078 -169.9926
650.000000 87.097 -169.4289
660.000000 87.119 -168.8761
670.000000 87.143 -168.3497
680.000000 87.168 -167.8231
690.000000 87.192 -167.2794
700.000000 87.217 -166.7286
710.000000 87.242 -166.1735
720.000000 87.269 -165.6292
730.000000 87.299 -165.0750
740.000000 87.332 -164.5281
750.000000 87.367 -163.9848
762.000000 87.409 -163.3281
775.000000 87.456 -162.6082
788.000000 87.506 -161.8886
800.000000 87.556 -161.2356
812.000000 87.611 -160.5969
825.000000 87.674 -159.9120
838.000000 87.739 -159.2316
850.000000 87.802 -158.5973
862.000000 87.868 -157.9654
875.000000 87.943 -157.2916
885.000000 88.005 -156.7929
900.000000 88.105 -156.0725
912.000000 88.187 -155.5157
925.000000 88.280 -154.9293
938.000000 88.376 -154.3631
950.000000 88.467 -153.8661
962.000000 88.560 -153.3989
975.000000 88.664 -152.9283
988.000000 88.769 -152.4924
1000.000000 88.869 -152.1196
1015.000000 88.995 -151.6950
1030.000000 89.122 -151.3236
1044.000000 89.240 -151.0150
1060.000000 89.373 -150.7107
1075.000000 89.496 -150.4665
1090.000000 89.617 -150.2595
1106.000000 89.744 -150.0800
1120.000000 89.853 -149.9599
1138.000000 89.989 -149.8498
1150.000000 90.077 -149.7938
1172.000000 90.231 -149.7273
1180.000000 90.285 -149.7140
1206.000000 90.452 -149.7001
1220.000000 90.537 -149.7087
1241.000000 90.660 -149.7370
1250.000000 90.710 -149.7532
1265.000000 90.793 -149.7873
1280.000000 90.872 -149.8272
1315.000000 91.044 -149.9115
1320.000000 91.067 -149.9215
1340.000000 91.157 -149.9569
1360.000000 91.242 -149.9860
1380.000000 91.325 -150.0046
1400.000000 91.406 -150.0146
1430.000000 91.524 -150.0164
1450.000000 91.600 -150.0018
1475.000000 91.692 -149.9625
1500.000000 91.782 -149.9062
1525.000000 91.871 -149.8242
1550.000000 91.960 -149.7284
1575.000000 92.051 -149.6239
1600.000000 92.143 -149.5067
1625.000000 92.236 -149.3794
1650.000000 92.331 -149.2428
1675.000000 92.427 -149.0997
1700.000000 92.523 -148.9472
1725.000000 92.622 -148.7917
1750.000000 92.723 -148.6400
1775.000000 92.828 -148.4927
1800.000000 92.935 -148.3509
1825.000000 93.044 -148.2123
1850.000000 93.153 -148.0767
1875.000000 93.264 -147.9464
1900.000000 93.378 -147.8258
1925.000000 93.496 -147.7197
1950.000000 93.616 -147.6297
1975.000000 93.738 -147.5560
2000.000000 93.862 -147.4943
2030.000000 94.012 -147.4375
2060.000000 94.163 -147.4067
2090.000000 94.318 -147.4042
2120.000000 94.475 -147.4341
2140.000000 94.582 -147.4747
2180.000000 94.799 -147.6044
2200.000000 94.908 -147.6928
2240.000000 95.128 -147.9200
2270.000000 95.293 -148.1383
2300.000000 95.457 -148.4006
2330.000000 95.622 -148.7077
2360.000000 95.787 -149.0616
2400.000000 96.007 -149.6108
2430.000000 96.170 -150.0788
2470.000000 96.383 -150.7729
2500.000000 96.538 -151.3470
2540.000000 96.740 -152.1860
2580.000000 96.936 -153.1065
2620.000000 97.126 -154.1052
2650.000000 97.264 -154.9096
2690.000000 97.441 -156.0638
2720.000000 97.566 -156.9917
2760.000000 97.722 -158.3141
2800.000000 97.862 -159.7324
2850.000000 98.011 -161.6196
2900.000000 98.126 -163.5980
2950.000000 98.208 -165.6283
3000.000000 98.253 -167.6732
3040.000000 98.264 -169.2919
3070.000000 98.258 -170.4863
3110.000000 98.233 -172.0440
3150.000000 98.188 -173.5473
3200.000000 98.110 -175.3283
3250.000000 98.008 -176.9878
3300.000000 97.887 -178.5164
3350.000000 97.753 -179.9093
3400.000000 97.607 178.8336
3450.000000 97.451 177.7122
3500.000000 97.288 176.7226
3550.000000 97.120 175.8585
3600.000000 96.950 175.1176
3650.000000 96.779 174.4958
3700.000000 96.610 173.9866
3750.000000 96.444 173.5879
3820.000000 96.216 173.2126
3870.000000 96.059 173.0686
3950.000000 95.826 173.0430
4000.000000 95.697 173.1355
4060.000000 95.564 173.3091
4120.000000 95.454 173.4913
4180.000000 95.360 173.6366
4250.000000 95.263 173.7478
4310.000000 95.185 173.8039
4370.000000 95.112 173.8323
4440.000000 95.032 173.8350
4500.000000 94.967 173.8160
4550.000000 94.913 173.7847
4620.000000 94.840 173.7162
4680.000000 94.778 173.6369
4750.000000 94.703 173.5271
4820.000000 94.624 173.4127
4870.000000 94.564 173.3374
4940.000000 94.475 173.2574
5000.000000 94.394 173.2368
5080.000000 94.284 173.3139
5150.000000 94.192 173.4907
5220.000000 94.107 173.7635
5300.000000 94.021 174.1736
5380.000000 93.951 174.6685
5450.000000 93.901 175.1714
5520.000000 93.865 175.7455
5600.000000 93.841 176.4865
5700.000000 93.848 177.5233
5800.000000 93.902 178.6459
5900.000000 94.011 179.8017
6000.000000 94.182 -179.0970
6080.000000 94.366 -178.3328
