* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:06:35 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cate RE-2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	90.474	-122.3269
20.299999	90.560	-123.1855
20.600000	90.618	-124.0431
20.900000	90.651	-124.8009
21.200001	90.672	-125.3936
21.400000	90.688	-125.6999
21.799999	90.737	-126.1701
22.000000	90.773	-126.3804
22.400000	90.862	-126.8541
22.700001	90.935	-127.3004
23.000000	91.003	-127.8259
23.299999	91.060	-128.3930
23.600000	91.106	-128.9604
24.000000	91.153	-129.6594
24.299999	91.184	-130.1183
24.700001	91.227	-130.6556
25.000000	91.265	-131.0365
25.400000	91.322	-131.5687
25.799999	91.377	-132.1674
26.200001	91.422	-132.8178
26.500000	91.445	-133.3005
26.900000	91.465	-133.8840
27.200001	91.478	-134.2593
27.600000	91.501	-134.6977
28.000000	91.534	-135.1326
28.500000	91.580	-135.7566
29.000000	91.614	-136.4452
29.500000	91.633	-137.0827
30.000000	91.653	-137.6087
30.400000	91.678	-137.9923
30.700001	91.703	-138.2923
31.100000	91.737	-138.7255
31.500000	91.769	-139.1787
32.000000	91.805	-139.7263
32.500000	91.843	-140.2400
33.000000	91.883	-140.7523
33.500000	91.919	-141.2731
34.000000	91.948	-141.7605
34.500000	91.972	-142.1738
35.000000	91.999	-142.5206
35.500000	92.031	-142.8386
36.000000	92.064	-143.1565
36.500000	92.096	-143.4852
37.000000	92.123	-143.8210
37.500000	92.142	-144.1380
38.200001	92.163	-144.4832
38.700001	92.188	-144.6732
39.500000	92.251	-145.0933
40.000000	92.288	-145.5009
40.599998	92.312	-146.0626
41.200001	92.317	-146.5630
41.799999	92.320	-146.9482
42.500000	92.337	-147.3287
43.099998	92.359	-147.6885
43.700001	92.378	-148.0736
44.400002	92.394	-148.4722
45.000000	92.413	-148.7813
45.500000	92.430	-149.0739
46.200001	92.439	-149.4959
46.799999	92.438	-149.7373
