* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:05:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cate RE-2 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	93.924	-112.2213
20.299999	95.481	-113.4182
20.600000	96.456	-120.6504
20.900000	96.777	-130.6915
21.200001	96.479	-140.9351
21.400000	95.945	-146.9482
21.799999	94.084	-154.0070
22.000000	92.843	-153.4801
22.400000	90.238	-142.2543
22.700001	89.334	-128.2312
23.000000	90.110	-116.0334
23.299999	91.407	-109.5755
23.600000	92.607	-108.6187
24.000000	93.664	-112.7808
24.299999	94.089	-117.2969
24.700001	94.280	-123.4114
25.000000	94.215	-127.5295
25.400000	93.938	-131.9655
25.799999	93.555	-134.9702
26.200001	93.176	-136.6735
26.500000	92.936	-137.3447
26.900000	92.684	-137.7142
27.200001	92.533	-137.6536
27.600000	92.378	-137.0158
28.000000	92.323	-135.6647
28.500000	92.493	-133.4625
29.000000	92.917	-131.8546
29.500000	93.447	-131.5999
30.000000	93.944	-132.6215
30.400000	94.278	-134.0972
30.700001	94.484	-135.5044
31.100000	94.685	-137.6904
31.500000	94.789	-140.0587
32.000000	94.781	-142.8411
32.500000	94.675	-144.9594
33.000000	94.568	-146.3369
33.500000	94.524	-147.3608
34.000000	94.532	-148.4832
34.500000	94.538	-149.8021
35.000000	94.512	-151.1041
35.500000	94.460	-152.1461
36.000000	94.405	-152.8456
36.500000	94.361	-153.2219
37.000000	94.340	-153.3130
37.500000	94.353	-153.1994
38.200001	94.431	-153.0294
38.700001	94.496	-153.0800
39.500000	94.547	-153.1848
40.000000	94.566	-153.0037
40.599998	94.623	-152.6235
41.200001	94.712	-152.4325
41.799999	94.780	-152.5106
42.500000	94.800	-152.5675
43.099998	94.802	-152.3828
43.700001	94.815	-152.1644
44.400002	94.814	-152.0925
45.000000	94.768	-152.0970
45.500000	94.703	-152.0247
46.200001	94.601	-151.8083
46.799999	94.520	-151.6707
47.500000	94.433	-151.6835
48.200001	94.364	-151.8977
48.700001	94.337	-152.2340
49.400002	94.322	-153.0527
50.000000	94.311	-153.9788
50.799999	94.303	-155.1667
51.500000	94.330	-155.9979
52.200001	94.393	-156.6605
53.000000	94.487	-157.1655
53.799999	94.596	-157.4113
54.500000	94.681	-157.5615
55.200001	94.725	-157.6343
56.000000	94.734	-157.4987
57.000000	94.726	-157.2930
58.000000	94.686	-157.3050
59.000000	94.664	-157.5392
60.000000	94.649	-158.3425
60.799999	94.608	-158.9824
61.500000	94.595	-159.3040
62.200001	94.620	-159.6169
63.000000	94.650	-160.0645
64.000000	94.661	-160.4114
65.000000	94.680	-160.5751
66.000000	94.690	-160.8801
67.000000	94.672	-161.2437
68.000000	94.658	-161.5894
69.000000	94.662	-161.9927
70.000000	94.671	-162.3641
71.000000	94.690	-162.5562
72.000000	94.718	-162.6048
73.000000	94.742	-162.6287
74.000000	94.741	-162.7127
75.000000	94.713	-162.8412
76.199997	94.672	-163.1042
77.500000	94.638	-163.6418
78.800003	94.623	-164.1765
80.000000	94.645	-164.4976
81.199997	94.695	-164.6431
82.500000	94.747	-164.8062
83.800003	94.731	-164.9533
85.000000	94.685	-164.8647
86.199997	94.663	-164.8384
87.500000	94.657	-165.1104
88.500000	94.655	-165.4674
90.000000	94.641	-165.9307
91.199997	94.639	-166.0621
92.500000	94.649	-166.0559
93.800003	94.674	-166.0044
95.000000	94.702	-166.0964
96.199997	94.717	-166.4193
97.500000	94.691	-166.8821
98.800003	94.631	-167.1675
100.000000	94.582	-167.0959
101.500000	94.594	-166.8879
103.000000	94.649	-166.9850
104.400002	94.686	-167.3658
106.000000	94.689	-167.7628
107.500000	94.683	-167.9958
109.000000	94.678	-168.1389
110.599998	94.660	-168.3033
112.000000	94.640	-168.3824
113.800003	94.630	-168.5667
115.000000	94.627	-168.7748
117.199997	94.625	-169.1438
118.000000	94.627	-169.2517
120.599998	94.647	-169.3751
122.000000	94.667	-169.4516
124.099998	94.651	-169.7106
125.000000	94.624	-169.7534
126.500000	94.589	-169.6694
128.000000	94.589	-169.6217
131.500000	94.581	-170.0566
132.000000	94.575	-170.1030
134.000000	94.552	-170.2436
136.000000	94.531	-170.3287
138.000000	94.517	-170.3728
140.000000	94.515	-170.4913
143.000000	94.467	-170.8456
145.000000	94.417	-170.8942
147.500000	94.384	-170.9260
150.000000	94.352	-171.0198
152.500000	94.307	-171.0307
155.000000	94.257	-171.0117
157.500000	94.206	-171.0900
160.000000	94.119	-171.1801
162.500000	94.004	-170.7633
165.000000	93.933	-169.8605
167.500000	93.918	-168.7723
170.000000	93.974	-167.7575
172.500000	94.065	-167.1201
175.000000	94.155	-166.7126
177.500000	94.259	-166.3856
180.000000	94.383	-166.3010
182.500000	94.497	-166.5657
185.000000	94.579	-167.0287
187.500000	94.626	-167.5276
190.000000	94.648	-168.0134
192.500000	94.660	-168.4876
195.000000	94.668	-168.8743
197.500000	94.671	-169.1053
200.000000	94.663	-169.1914
203.000000	94.651	-169.1962
206.000000	94.643	-169.2230
209.000000	94.630	-169.3219
212.000000	94.617	-169.4142
214.000000	94.613	-169.4648
218.000000	94.587	-169.5554
220.000000	94.569	-169.6007
224.000000	94.559	-169.7444
227.000000	94.559	-169.7696
230.000000	94.552	-169.7171
233.000000	94.539	-169.7266
236.000000	94.527	-169.7446
240.000000	94.515	-169.6937
243.000000	94.503	-169.6837
247.000000	94.489	-169.6903
250.000000	94.483	-169.6525
254.000000	94.471	-169.5665
258.000000	94.457	-169.5092
262.000000	94.446	-169.5115
265.000000	94.435	-169.4717
269.000000	94.427	-169.3542
272.000000	94.424	-169.2712
276.000000	94.421	-169.2071
280.000000	94.412	-169.1609
285.000000	94.392	-169.0270
290.000000	94.382	-168.8734
295.000000	94.376	-168.7714
300.000000	94.363	-168.6600
304.000000	94.355	-168.5253
307.000000	94.351	-168.4415
311.000000	94.346	-168.3561
315.000000	94.341	-168.2567
320.000000	94.335	-168.1052
325.000000	94.330	-167.9420
330.000000	94.324	-167.7694
335.000000	94.317	-167.6240
340.000000	94.314	-167.4814
345.000000	94.309	-167.3259
350.000000	94.304	-167.1760
355.000000	94.298	-167.0222
360.000000	94.294	-166.8446
365.000000	94.289	-166.6589
370.000000	94.284	-166.4890
375.000000	94.280	-166.3303
382.000000	94.277	-166.0894
387.000000	94.275	-165.9043
395.000000	94.270	-165.5980
400.000000	94.267	-165.4128
406.000000	94.264	-165.1948
412.000000	94.263	-164.9758
418.000000	94.263	-164.7487
425.000000	94.262	-164.4659
431.000000	94.262	-164.2276
437.000000	94.262	-163.9943
444.000000	94.262	-163.7130
450.000000	94.262	-163.4621
455.000000	94.261	-163.2577
462.000000	94.263	-162.9771
468.000000	94.266	-162.7276
475.000000	94.269	-162.4369
482.000000	94.271	-162.1400
487.000000	94.273	-161.9274
494.000000	94.277	-161.6323
500.000000	94.280	-161.3734
508.000000	94.286	-161.0187
515.000000	94.292	-160.7081
522.000000	94.299	-160.3981
530.000000	94.308	-160.0401
538.000000	94.317	-159.6794
545.000000	94.324	-159.3621
552.000000	94.332	-159.0432
560.000000	94.342	-158.6716
570.000000	94.356	-158.2018
580.000000	94.371	-157.7346
590.000000	94.387	-157.2639
600.000000	94.404	-156.7829
608.000000	94.419	-156.3914
615.000000	94.432	-156.0446
622.000000	94.446	-155.6968
630.000000	94.463	-155.2981
640.000000	94.486	-154.7984
650.000000	94.510	-154.2967
660.000000	94.535	-153.7866
670.000000	94.562	-153.2701
680.000000	94.591	-152.7485
690.000000	94.621	-152.2212
700.000000	94.653	-151.6920
710.000000	94.688	-151.1631
