* Exported with UsyTrace, available at https://usyless.github.io/trace
* Freq(Hz)	SPL(dB)
20.000000	59.849095
20.290907	59.849095
20.586045	59.844160
20.885476	59.791355
21.189262	59.819303
21.497467	59.842001
21.810155	59.841251
22.127391	59.799697
22.449241	59.789430
22.775773	59.812190
23.107054	59.798808
23.443154	59.810791
23.784142	59.822948
24.130091	59.835282
24.481071	59.847796
24.837156	59.851321
25.198421	59.853836
25.564940	59.856389
25.936791	59.858978
26.314050	59.861605
26.696797	59.864270
27.085111	59.866975
27.479073	59.869718
27.878765	59.872501
28.284271	59.875325
28.695675	59.878190
29.113064	59.881097
29.536523	59.884045
29.966142	59.887037
30.402009	59.890072
30.844217	59.893152
31.292856	59.896276
31.748021	59.899446
32.209807	59.902661
32.678309	59.905924
33.153626	59.909234
33.635857	59.910312
34.125101	59.911242
34.621462	59.912185
35.125043	59.913142
35.635949	59.914113
36.154286	59.915098
36.680162	59.916097
37.213687	59.917111
37.754973	59.918140
38.304131	59.919183
38.861278	59.920242
39.426528	59.921316
40.000000	59.922406
40.581813	59.923511
41.172089	59.924633
41.770951	59.925771
42.378524	59.926926
42.994934	59.928097
43.620309	59.929285
44.254781	59.930491
44.898482	59.931714
45.551545	59.932955
46.214108	59.934214
46.886308	59.935492
47.568285	59.936788
48.260181	59.938102
48.962142	59.939436
49.674312	59.940790
50.396842	59.942163
51.129881	59.943556
51.873582	59.944969
52.628101	59.946403
53.393594	59.947857
54.170222	59.949333
54.958146	59.950830
55.757531	59.952349
56.568542	59.953891
57.391351	59.955454
58.226127	59.957040
59.073046	59.958650
59.932283	59.960283
60.804018	59.961939
61.688433	59.963620
62.585712	59.965325
63.496042	59.967055
64.419613	59.968810
65.356618	59.970399
66.307252	59.971758
67.271713	59.973137
68.250203	59.974535
69.242925	59.975954
70.250086	59.977394
71.271897	59.978854
72.308571	59.980336
73.360323	59.981840
74.427374	59.983365
75.509945	59.984912
76.608262	59.986482
77.722555	59.988075
78.853056	59.989691
80.000000	59.991330
81.163627	59.992994
82.344179	59.994681
83.541903	59.996393
84.757048	59.998130
85.989867	59.999892
87.240619	60.001680
88.509563	60.003494
89.796964	60.005334
91.103091	60.007201
92.428216	60.009095
93.772615	60.011017
95.136569	60.012966
96.520362	60.014944
97.924283	60.016951
99.348625	60.018987
100.793684	60.021053
102.259762	60.023148
103.747164	60.025274
105.256202	60.027431
106.787188	60.029620
108.340444	60.024565
109.916292	60.016939
111.515061	60.009201
113.137085	60.001351
114.782702	59.993387
116.452255	59.985308
118.146092	59.977110
119.864566	59.968989
121.608036	59.962156
123.376866	59.955224
125.171424	59.948191
126.992084	59.941056
128.839227	59.933818
130.713236	59.926473
132.614504	59.919023
134.543426	59.911463
136.500406	59.896289
138.485850	59.878195
140.500173	59.859839
