* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 18, 2023 9:13:34 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Bare) 1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 74.760 -106.3718
20.299999 74.755 -106.9031
20.600000 74.761 -106.9957
20.900000 74.817 -106.7614
21.200001 74.945 -106.4824
21.400000 75.064 -106.4354
21.799999 75.323 -106.9285
22.000000 75.429 -107.4512
22.400000 75.541 -108.6783
22.700001 75.537 -109.3330
23.000000 75.507 -109.4400
23.299999 75.521 -108.9713
23.600000 75.643 -108.2467
24.000000 75.985 -107.8048
24.299999 76.303 -108.3896
24.700001 76.659 -110.4504
25.000000 76.800 -112.5838
25.400000 76.794 -115.4125
25.799999 76.630 -117.4288
26.200001 76.447 -118.2707
26.500000 76.378 -118.3274
26.900000 76.410 -118.2747
27.200001 76.495 -118.4829
27.600000 76.612 -119.1707
28.000000 76.685 -120.0016
28.500000 76.751 -120.6627
29.000000 76.897 -120.9310
29.500000 77.147 -121.5148
30.000000 77.392 -122.8201
30.400000 77.514 -124.1213
30.700001 77.559 -125.0006
31.100000 77.588 -125.8566
31.500000 77.628 -126.3671
32.000000 77.720 -126.8459
32.500000 77.828 -127.4481
33.000000 77.911 -128.1196
33.500000 77.975 -128.6759
34.000000 78.049 -129.1384
34.500000 78.133 -129.6517
35.000000 78.210 -130.2124
35.500000 78.290 -130.7217
36.000000 78.402 -131.2705
36.500000 78.543 -132.1409
37.000000 78.658 -133.4369
37.500000 78.697 -134.8734
38.200001 78.662 -136.3284
38.700001 78.654 -136.8208
39.500000 78.756 -137.3949
40.000000 78.847 -137.9510
40.599998 78.933 -138.6693
41.200001 79.008 -139.1252
41.799999 79.127 -139.3442
42.500000 79.334 -139.8933
43.099998 79.486 -140.8638
43.700001 79.555 -141.8633
44.400002 79.603 -142.4981
45.000000 79.700 -142.8978
45.500000 79.798 -143.5197
46.200001 79.868 -144.7070
46.799999 79.869 -145.5240
47.500000 79.885 -146.1199
48.200001 79.941 -146.7450
48.700001 79.981 -147.2979
49.400002 80.029 -148.1002
50.000000 80.070 -148.7800
50.799999 80.122 -149.6736
51.500000 80.166 -150.3644
52.200001 80.223 -150.9550
53.000000 80.311 -151.5763
53.799999 80.422 -152.2645
54.500000 80.518 -153.0013
55.200001 80.594 -153.7595
56.000000 80.671 -154.5443
57.000000 80.761 -155.5681
58.000000 80.819 -156.4916
59.000000 80.896 -157.2484
60.000000 80.993 -158.1644
60.799999 81.067 -158.9903
61.500000 81.128 -159.7595
62.200001 81.180 -160.5053
63.000000 81.244 -161.2322
64.000000 81.355 -162.1630
65.000000 81.450 -163.2773
66.000000 81.514 -164.2302
67.000000 81.590 -165.0363
68.000000 81.665 -165.9653
69.000000 81.714 -166.8890
70.000000 81.764 -167.6950
71.000000 81.836 -168.5378
72.000000 81.914 -169.5352
73.000000 81.986 -170.5564
74.000000 82.064 -171.5621
75.000000 82.135 -172.5803
76.199997 82.204 -173.6510
77.500000 82.283 -174.6277
78.800003 82.370 -175.6682
80.000000 82.429 -176.8037
81.199997 82.462 -177.9351
82.500000 82.506 -179.1047
83.800003 82.564 179.7047
85.000000 82.634 178.6198
86.199997 82.703 177.5435
87.500000 82.781 176.4980
88.500000 82.836 175.7047
90.000000 82.915 174.6201
91.199997 82.984 173.6379
92.500000 83.051 172.4577
93.800003 83.110 171.1518
95.000000 83.156 169.9242
96.199997 83.193 168.6892
97.500000 83.217 167.4315
98.800003 83.241 166.3300
100.000000 83.275 165.3601
101.500000 83.328 164.0417
103.000000 83.378 162.6779
104.400002 83.430 161.3848
106.000000 83.471 159.8970
107.500000 83.497 158.6818
109.000000 83.519 157.4172
110.599998 83.511 156.1176
112.000000 83.516 155.0815
113.800003 83.544 153.6018
115.000000 83.567 152.5951
117.199997 83.624 150.7430
118.000000 83.643 150.0223
120.599998 83.644 147.6961
122.000000 83.633 146.5708
124.099998 83.623 144.8848
125.000000 83.622 144.1673
126.500000 83.621 142.9795
128.000000 83.620 141.8109
131.500000 83.600 139.2598
132.000000 83.598 138.9117
134.000000 83.586 137.4614
136.000000 83.555 135.9436
138.000000 83.522 134.4684
140.000000 83.502 132.9338
143.000000 83.472 130.6995
145.000000 83.437 129.3431
147.500000 83.374 127.7181
150.000000 83.298 126.0905
152.500000 83.258 124.4282
155.000000 83.221 122.7352
157.500000 83.169 121.1251
160.000000 83.101 119.5255
162.500000 83.024 118.0573
165.000000 82.954 116.7414
167.500000 82.888 115.4041
170.000000 82.833 113.9791
172.500000 82.768 112.5569
175.000000 82.686 111.3508
177.500000 82.583 110.1585
180.000000 82.485 108.9153
182.500000 82.421 107.6126
185.000000 82.351 106.3097
187.500000 82.255 105.2317
190.000000 82.167 104.1309
192.500000 82.096 102.9429
195.000000 82.022 101.8076
197.500000 81.928 100.8369
200.000000 81.823 99.9339
203.000000 81.707 98.7488
206.000000 81.603 97.5279
209.000000 81.488 96.4993
212.000000 81.364 95.6437
214.000000 81.284 95.0765
218.000000 81.145 93.9233
220.000000 81.080 93.3687
224.000000 80.939 92.3228
227.000000 80.837 91.6472
230.000000 80.747 91.0087
233.000000 80.667 90.3679
236.000000 80.596 89.6276
240.000000 80.498 88.6621
243.000000 80.422 88.1877
247.000000 80.314 87.5432
250.000000 80.213 87.0466
254.000000 80.098 86.4443
258.000000 80.027 85.6974
262.000000 79.934 84.9999
265.000000 79.852 84.6364
269.000000 79.761 84.2538
272.000000 79.703 83.9423
276.000000 79.644 83.4100
280.000000 79.598 82.9591
285.000000 79.543 82.5694
290.000000 79.490 82.0950
295.000000 79.424 81.5595
300.000000 79.379 80.9740
304.000000 79.351 80.6218
307.000000 79.331 80.3515
311.000000 79.307 79.9055
315.000000 79.284 79.4858
320.000000 79.248 79.0563
325.000000 79.218 78.4780
330.000000 79.197 77.8755
335.000000 79.163 77.4429
340.000000 79.132 77.0360
345.000000 79.108 76.6125
350.000000 79.086 76.2369
355.000000 79.071 75.9276
360.000000 79.060 75.5641
365.000000 79.059 75.1380
370.000000 79.060 74.6738
375.000000 79.047 74.2843
382.000000 79.008 73.9327
387.000000 79.006 73.5588
395.000000 79.018 73.0366
400.000000 79.035 72.7554
406.000000 79.048 72.4321
412.000000 79.054 72.0829
418.000000 79.069 71.6384
425.000000 79.104 71.2112
431.000000 79.140 70.8113
437.000000 79.168 70.3859
444.000000 79.192 69.7669
450.000000 79.221 69.3282
455.000000 79.245 69.0573
462.000000 79.271 68.6443
468.000000 79.290 68.1827
475.000000 79.333 67.6289
482.000000 79.372 67.1627
487.000000 79.396 66.8677
494.000000 79.427 66.3555
500.000000 79.449 65.8717
508.000000 79.491 65.2839
515.000000 79.536 64.8048
522.000000 79.578 64.2455
530.000000 79.611 63.6205
538.000000 79.642 63.1218
545.000000 79.678 62.5297
552.000000 79.715 61.8710
560.000000 79.748 61.1631
570.000000 79.781 60.3544
580.000000 79.809 59.5150
590.000000 79.831 58.6906
600.000000 79.850 57.9090
608.000000 79.870 57.2913
615.000000 79.878 56.7490
622.000000 79.881 56.2112
630.000000 79.891 55.5750
640.000000 79.899 54.7377
650.000000 79.895 54.0225
660.000000 79.888 53.4151
670.000000 79.872 52.8032
680.000000 79.848 52.1482
690.000000 79.831 51.4434
700.000000 79.815 50.7863
710.000000 79.797 50.2298
720.000000 79.785 49.7531
730.000000 79.766 49.2734
740.000000 79.734 48.8123
750.000000 79.702 48.4147
762.000000 79.676 47.9603
775.000000 79.646 47.4969
788.000000 79.608 47.0926
800.000000 79.573 46.7668
812.000000 79.543 46.4349
825.000000 79.519 46.0541
838.000000 79.504 45.6793
850.000000 79.490 45.3981
862.000000 79.471 45.0597
875.000000 79.444 44.6329
885.000000 79.416 44.3313
900.000000 79.354 43.9573
912.000000 79.290 43.8259
925.000000 79.224 43.7869
938.000000 79.167 43.8052
950.000000 79.133 43.9202
962.000000 79.110 44.0787
975.000000 79.086 44.2137
988.000000 79.065 44.3262
1000.000000 79.045 44.4805
1015.000000 79.018 44.6916
1030.000000 79.008 44.9471
1044.000000 79.014 45.2402
1060.000000 79.031 45.5761
1075.000000 79.044 45.8401
1090.000000 79.060 46.1118
1106.000000 79.103 46.4032
1120.000000 79.132 46.6469
1138.000000 79.161 47.0561
1150.000000 79.193 47.3245
1172.000000 79.267 47.6149
1180.000000 79.296 47.6906
1206.000000 79.398 48.0969
1220.000000 79.463 48.3845
1241.000000 79.565 48.6595
1250.000000 79.609 48.7402
1265.000000 79.686 48.8748
1280.000000 79.775 48.9631
1315.000000 79.984 49.0751
1320.000000 80.013 49.0666
1340.000000 80.127 48.9760
1360.000000 80.238 48.8029
1380.000000 80.346 48.6492
1400.000000 80.454 48.4044
1430.000000 80.611 47.9490
1450.000000 80.704 47.5994
1475.000000 80.808 47.0483
1500.000000 80.905 46.5016
1525.000000 80.983 45.9316
1550.000000 81.046 45.3371
1575.000000 81.101 44.7567
1600.000000 81.141 44.1639
1625.000000 81.168 43.5793
1650.000000 81.190 43.0753
1675.000000 81.202 42.6034
1700.000000 81.206 42.1725
1725.000000 81.202 41.8076
1750.000000 81.192 41.4967
1775.000000 81.181 41.2705
1800.000000 81.169 41.1130
1825.000000 81.153 41.0091
1850.000000 81.136 40.9695
1875.000000 81.123 40.9951
1900.000000 81.113 41.0651
1925.000000 81.108 41.1909
1950.000000 81.107 41.3756
1975.000000 81.110 41.5842
2000.000000 81.119 41.8185
2030.000000 81.139 42.1552
2060.000000 81.167 42.5444
2090.000000 81.206 42.9801
2120.000000 81.260 43.4435
2140.000000 81.304 43.7471
2180.000000 81.405 44.3280
2200.000000 81.462 44.6189
2240.000000 81.589 45.1929
2270.000000 81.699 45.5922
2300.000000 81.817 45.9379
2330.000000 81.941 46.2388
2360.000000 82.068 46.4861
2400.000000 82.230 46.7996
2430.000000 82.343 47.2948
2470.000000 82.623 48.5296
2500.000000 82.937 48.7275
2540.000000 83.335 48.2237
2580.000000 83.671 46.9389
2620.000000 83.911 45.6947
2650.000000 84.088 44.8730
2690.000000 84.333 43.6762
2720.000000 84.514 42.6485
2760.000000 84.743 41.0863
2800.000000 84.948 39.3027
2850.000000 85.159 36.7800
2900.000000 85.302 34.0352
2950.000000 85.368 31.2253
3000.000000 85.362 28.4983
3040.000000 85.314 26.4524
3070.000000 85.258 25.0024
3110.000000 85.161 23.1921
3150.000000 85.040 21.5507
3200.000000 84.865 19.7558
3250.000000 84.670 18.2555
3300.000000 84.469 17.0837
3350.000000 84.279 16.1953
3400.000000 84.106 15.5064
3450.000000 83.954 14.9667
3500.000000 83.834 14.5349
3550.000000 83.745 14.0630
3600.000000 83.672 13.4893
3650.000000 83.606 12.7907
3700.000000 83.536 11.9552
3750.000000 83.454 11.0143
3820.000000 83.304 9.5515
3870.000000 83.162 8.5133
3950.000000 82.889 7.0645
4000.000000 82.698 6.2983
4060.000000 82.454 5.5373
4120.000000 82.198 4.9565
4180.000000 81.935 4.5361
4250.000000 81.616 4.3112
4310.000000 81.342 4.3905
4370.000000 81.082 4.6676
4440.000000 80.791 5.2368
4500.000000 80.572 5.9656
4550.000000 80.409 6.6245
4620.000000 80.204 7.6901
4680.000000 80.064 8.6903
4750.000000 79.931 9.8647
4820.000000 79.843 11.0801
4870.000000 79.797 11.8789
4940.000000 79.768 13.1162
5000.000000 79.795 13.9634
5080.000000 79.833 14.6820
5150.000000 79.861 15.2581
5220.000000 79.913 15.7480
5300.000000 79.995 16.0980
5380.000000 80.092 16.1712
5450.000000 80.200 16.0509
5520.000000 80.325 15.3031
5600.000000 80.344 13.8354
5700.000000 80.269 12.4108
5800.000000 80.147 10.6171
5900.000000 79.832 9.0325
6000.000000 79.496 8.6617
6080.000000 79.231 8.4849
6150.000000 78.963 8.7990
6220.000000 78.740 9.6355
6300.000000 78.535 10.5131
