* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 18, 2023 8:36:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Foam) 2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 77.365 -108.1913
20.299999 77.375 -108.9274
20.600000 77.399 -109.4213
20.900000 77.449 -109.7896
21.200001 77.523 -110.1479
21.400000 77.581 -110.4115
21.799999 77.707 -110.9945
22.000000 77.775 -111.3038
22.400000 77.930 -111.9857
22.700001 78.065 -112.6329
23.000000 78.204 -113.4761
23.299999 78.327 -114.5267
23.600000 78.415 -115.7051
24.000000 78.465 -117.2134
24.299999 78.468 -118.1042
24.700001 78.474 -118.8546
25.000000 78.512 -119.1777
25.400000 78.620 -119.5733
25.799999 78.769 -120.1863
26.200001 78.915 -121.0566
26.500000 79.008 -121.7935
26.900000 79.113 -122.7721
27.200001 79.185 -123.4810
27.600000 79.274 -124.4188
28.000000 79.347 -125.3558
28.500000 79.407 -126.4116
29.000000 79.454 -127.1902
29.500000 79.529 -127.7890
30.000000 79.632 -128.4988
30.400000 79.706 -129.2239
30.700001 79.745 -129.8010
31.100000 79.778 -130.5134
31.500000 79.806 -131.1089
32.000000 79.859 -131.7872
32.500000 79.922 -132.5634
33.000000 79.967 -133.4329
33.500000 79.986 -134.1928
34.000000 80.010 -134.6844
34.500000 80.081 -134.9930
35.000000 80.213 -135.4115
35.500000 80.374 -136.2164
36.000000 80.508 -137.4202
36.500000 80.571 -138.7109
37.000000 80.578 -139.6613
37.500000 80.597 -140.0999
38.200001 80.740 -140.4906
38.700001 80.881 -141.1570
39.500000 81.003 -142.5787
40.000000 81.035 -143.0898
40.599998 81.135 -143.3829
41.200001 81.302 -144.0389
41.799999 81.424 -145.2546
42.500000 81.450 -146.6007
43.099998 81.454 -147.2438
43.700001 81.511 -147.7397
44.400002 81.597 -148.6019
45.000000 81.641 -149.4160
45.500000 81.673 -149.9641
46.200001 81.750 -150.6559
46.799999 81.835 -151.4148
47.500000 81.911 -152.4680
48.200001 81.958 -153.4297
48.700001 81.992 -154.0018
49.400002 82.054 -154.7437
50.000000 82.114 -155.4062
50.799999 82.188 -156.2913
51.500000 82.253 -157.0042
52.200001 82.326 -157.7128
53.000000 82.409 -158.5922
53.799999 82.478 -159.4714
54.500000 82.535 -160.1904
55.200001 82.594 -160.8944
56.000000 82.661 -161.7053
57.000000 82.741 -162.7492
58.000000 82.812 -163.8064
59.000000 82.883 -164.8284
60.000000 82.955 -165.9269
60.799999 83.000 -166.8065
61.500000 83.037 -167.4978
62.200001 83.083 -168.1375
63.000000 83.147 -168.8992
64.000000 83.219 -169.9191
65.000000 83.282 -170.8420
66.000000 83.358 -171.7294
67.000000 83.427 -172.7098
68.000000 83.487 -173.6569
69.000000 83.552 -174.6596
70.000000 83.604 -175.7600
71.000000 83.647 -176.8080
72.000000 83.699 -177.8377
73.000000 83.752 -178.8901
74.000000 83.803 -179.8923
75.000000 83.857 179.1457
76.199997 83.916 178.0497
77.500000 83.974 176.9270
78.800003 84.037 175.8879
80.000000 84.107 174.7673
81.199997 84.160 173.5361
82.500000 84.212 172.2054
83.800003 84.259 170.9266
85.000000 84.303 169.8064
86.199997 84.341 168.6949
87.500000 84.368 167.5245
88.500000 84.385 166.6766
90.000000 84.431 165.4561
91.199997 84.495 164.3056
92.500000 84.546 162.9137
93.800003 84.588 161.7170
95.000000 84.638 160.6969
96.199997 84.688 159.6859
97.500000 84.736 158.5134
98.800003 84.762 157.2247
100.000000 84.773 156.0665
101.500000 84.794 154.6216
103.000000 84.816 153.1436
104.400002 84.825 151.8176
106.000000 84.825 150.4386
107.500000 84.822 149.2245
109.000000 84.833 148.0703
110.599998 84.867 146.6656
112.000000 84.882 145.3696
113.800003 84.888 143.8365
115.000000 84.884 142.8352
117.199997 84.854 140.9579
118.000000 84.842 140.2495
120.599998 84.823 137.8548
122.000000 84.822 136.5411
124.099998 84.811 134.8397
125.000000 84.809 134.1918
126.500000 84.803 133.1100
128.000000 84.793 131.9815
131.500000 84.742 129.0237
132.000000 84.729 128.6000
134.000000 84.681 127.0557
136.000000 84.650 125.5576
138.000000 84.618 124.0608
140.000000 84.575 122.6204
143.000000 84.489 120.5887
145.000000 84.436 119.2188
147.500000 84.397 117.4288
150.000000 84.347 115.5782
152.500000 84.249 114.0446
155.000000 84.143 112.5439
157.500000 84.047 110.8810
160.000000 83.969 109.2949
162.500000 83.887 107.8542
165.000000 83.792 106.4371
167.500000 83.694 105.0298
170.000000 83.612 103.6964
172.500000 83.521 102.3659
175.000000 83.400 101.0740
177.500000 83.280 99.8652
180.000000 83.179 98.6315
182.500000 83.080 97.4289
185.000000 82.982 96.3626
187.500000 82.901 95.3752
190.000000 82.829 94.2101
192.500000 82.741 93.0016
195.000000 82.650 91.9504
197.500000 82.560 90.9687
200.000000 82.460 90.0483
203.000000 82.338 88.9437
206.000000 82.217 87.7839
209.000000 82.091 86.6744
212.000000 81.956 85.6985
214.000000 81.864 85.1401
218.000000 81.687 84.0789
220.000000 81.607 83.5132
224.000000 81.460 82.3328
227.000000 81.344 81.5261
230.000000 81.232 80.8964
233.000000 81.131 80.2869
236.000000 81.029 79.7327
240.000000 80.902 78.9677
243.000000 80.810 78.1425
247.000000 80.681 77.1727
250.000000 80.587 76.6550
254.000000 80.443 75.9877
258.000000 80.297 75.4045
262.000000 80.185 74.8705
265.000000 80.102 74.4269
269.000000 79.976 73.9643
272.000000 79.881 73.7443
276.000000 79.773 73.5098
280.000000 79.684 73.2277
285.000000 79.590 72.8848
290.000000 79.487 72.5164
295.000000 79.391 72.1667
300.000000 79.310 71.8611
304.000000 79.267 71.6122
307.000000 79.240 71.4053
311.000000 79.200 71.1178
315.000000 79.156 70.9112
320.000000 79.110 70.6147
325.000000 79.066 70.1614
330.000000 79.025 69.8519
335.000000 78.982 69.6624
340.000000 78.954 69.4501
345.000000 78.940 69.1960
350.000000 78.917 68.9431
355.000000 78.888 68.7278
360.000000 78.863 68.4920
365.000000 78.852 68.1931
370.000000 78.839 67.9337
375.000000 78.827 67.7473
382.000000 78.835 67.4069
387.000000 78.840 67.1411
395.000000 78.817 66.8480
400.000000 78.809 66.6530
406.000000 78.804 66.3665
412.000000 78.807 66.1447
418.000000 78.835 65.8130
425.000000 78.851 65.4170
431.000000 78.855 65.1462
437.000000 78.868 64.7521
444.000000 78.892 64.2766
450.000000 78.923 64.1332
455.000000 78.949 64.0672
462.000000 78.972 63.7203
468.000000 78.986 63.3751
475.000000 79.012 63.0618
482.000000 79.035 62.6228
487.000000 79.048 62.3111
494.000000 79.079 61.9840
500.000000 79.107 61.6705
508.000000 79.135 61.1901
515.000000 79.169 60.7643
522.000000 79.207 60.3834
530.000000 79.245 59.9976
538.000000 79.269 59.5139
545.000000 79.298 59.0615
552.000000 79.331 58.6367
560.000000 79.350 58.0814
570.000000 79.367 57.3854
580.000000 79.403 56.7572
590.000000 79.424 56.1288
600.000000 79.437 55.4907
608.000000 79.452 55.0205
615.000000 79.464 54.6262
622.000000 79.473 54.2130
630.000000 79.476 53.7145
640.000000 79.470 53.0969
650.000000 79.464 52.5265
660.000000 79.462 52.0207
670.000000 79.437 51.4997
680.000000 79.399 50.9354
690.000000 79.368 50.4290
700.000000 79.334 50.0572
710.000000 79.305 49.6975
720.000000 79.277 49.2896
730.000000 79.234 48.8774
740.000000 79.191 48.5756
750.000000 79.154 48.3771
762.000000 79.110 48.1863
775.000000 79.068 48.0593
788.000000 79.028 47.9772
800.000000 78.993 47.8700
812.000000 78.966 47.7785
825.000000 78.940 47.6906
838.000000 78.907 47.6226
850.000000 78.880 47.5223
862.000000 78.855 47.4153
875.000000 78.825 47.3207
885.000000 78.790 47.2485
900.000000 78.728 47.2107
912.000000 78.678 47.3028
925.000000 78.627 47.4699
938.000000 78.583 47.6957
950.000000 78.548 47.9495
962.000000 78.516 48.1843
975.000000 78.484 48.4487
988.000000 78.454 48.7390
1000.000000 78.429 49.0442
1015.000000 78.399 49.5084
1030.000000 78.384 50.0061
1044.000000 78.381 50.5070
1060.000000 78.385 51.1308
1075.000000 78.393 51.6285
1090.000000 78.398 52.0737
1106.000000 78.407 52.6528
1120.000000 78.430 53.1647
1138.000000 78.476 53.6851
1150.000000 78.516 54.1041
1172.000000 78.603 54.7545
1180.000000 78.632 54.9530
1206.000000 78.691 55.7721
1220.000000 78.731 56.1546
1241.000000 78.830 56.7574
1250.000000 78.880 56.9945
1265.000000 78.953 57.3469
1280.000000 79.013 57.6722
1315.000000 79.176 58.1901
1320.000000 79.200 58.2578
1340.000000 79.297 58.5549
1360.000000 79.393 58.7908
1380.000000 79.493 58.9734
1400.000000 79.593 59.0817
1430.000000 79.729 59.1370
1450.000000 79.811 59.1558
1475.000000 79.903 59.1700
1500.000000 79.989 59.1414
1525.000000 80.073 59.0330
1550.000000 80.143 58.9271
1575.000000 80.203 58.8826
1600.000000 80.258 58.7928
1625.000000 80.306 58.7128
1650.000000 80.347 58.6870
1675.000000 80.384 58.6755
1700.000000 80.415 58.6904
1725.000000 80.441 58.7329
1750.000000 80.466 58.8152
1775.000000 80.492 58.9678
1800.000000 80.520 59.1497
1825.000000 80.540 59.3182
1850.000000 80.560 59.5579
1875.000000 80.587 59.8442
1900.000000 80.619 60.1657
1925.000000 80.654 60.4999
1950.000000 80.689 60.8225
1975.000000 80.724 61.2036
2000.000000 80.769 61.6418
2030.000000 80.834 62.1811
2060.000000 80.903 62.6956
2090.000000 80.978 63.2207
2120.000000 81.065 63.7578
2140.000000 81.127 64.1050
2180.000000 81.258 64.8167
2200.000000 81.334 65.2054
2240.000000 81.506 65.9203
2270.000000 81.645 66.3813
2300.000000 81.788 66.8015
2330.000000 81.941 67.1919
2360.000000 82.101 67.5074
2400.000000 82.302 67.8440
2430.000000 82.437 68.3033
2470.000000 82.740 69.5156
2500.000000 83.067 69.7416
2540.000000 83.493 69.3314
2580.000000 83.860 68.0623
2620.000000 84.125 66.7809
2650.000000 84.315 65.9260
2690.000000 84.572 64.6921
2720.000000 84.755 63.6537
2760.000000 84.986 62.1706
2800.000000 85.202 60.5040
2850.000000 85.443 58.2069
2900.000000 85.639 55.5940
2950.000000 85.763 52.8049
3000.000000 85.826 49.9768
3040.000000 85.832 47.7059
3070.000000 85.804 46.0192
3110.000000 85.724 43.9202
3150.000000 85.616 42.0664
3200.000000 85.457 40.0459
3250.000000 85.285 38.3885
3300.000000 85.124 37.0031
3350.000000 84.967 35.7497
3400.000000 84.809 34.7035
3450.000000 84.678 33.8701
3500.000000 84.583 33.0614
3550.000000 84.515 32.1252
3600.000000 84.443 31.0310
3650.000000 84.359 29.8218
3700.000000 84.262 28.5342
3750.000000 84.141 27.2054
3820.000000 83.938 25.4891
3870.000000 83.789 24.2961
3950.000000 83.485 22.3066
4000.000000 83.259 21.2840
4060.000000 82.967 20.3953
4120.000000 82.699 19.9008
4180.000000 82.467 19.4006
4250.000000 82.191 18.8190
4310.000000 81.955 18.3868
4370.000000 81.720 17.9852
4440.000000 81.410 17.5699
4500.000000 81.118 17.7049
4550.000000 80.914 18.1681
4620.000000 80.700 18.8214
4680.000000 80.555 19.3132
4750.000000 80.421 19.7441
4820.000000 80.306 20.0928
4870.000000 80.246 20.2070
4940.000000 80.140 20.1562
5000.000000 80.043 20.2548
5080.000000 79.938 20.3459
5150.000000 79.870 20.4887
5220.000000 79.856 20.4097
5300.000000 79.823 19.6260
5380.000000 79.716 18.7657
5450.000000 79.597 18.1307
5520.000000 79.490 17.5641
5600.000000 79.369 16.4916
5700.000000 79.088 15.0120
5800.000000 78.743 14.2479
5900.000000 78.408 13.5377
6000.000000 77.972 13.3909
6080.000000 77.673 13.9552
6150.000000 77.432 14.4008
6220.000000 77.184 15.1615
6300.000000 76.959 16.3138
