* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 18, 2023 11:19:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Foam) 3 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 78.565 -138.9955
20.299999 78.656 -139.7930
20.600000 78.783 -140.5228
20.900000 78.943 -141.3821
21.200001 79.113 -142.5076
21.400000 79.216 -143.4167
21.799999 79.362 -145.4730
22.000000 79.398 -146.5093
22.400000 79.409 -148.3137
22.700001 79.395 -149.2893
23.000000 79.400 -149.9450
23.299999 79.448 -150.4234
23.600000 79.545 -150.9356
24.000000 79.719 -151.9502
24.299999 79.846 -153.0068
24.700001 79.972 -154.6311
25.000000 80.031 -155.8260
25.400000 80.094 -157.2067
25.799999 80.179 -158.3860
26.200001 80.306 -159.6134
26.500000 80.414 -160.7077
26.900000 80.539 -162.4133
27.200001 80.601 -163.7723
27.600000 80.646 -165.4885
28.000000 80.675 -166.9673
28.500000 80.736 -168.5943
29.000000 80.822 -170.2830
29.500000 80.882 -172.0599
30.000000 80.903 -173.5861
30.400000 80.931 -174.4781
30.700001 80.983 -175.0341
31.100000 81.099 -175.8376
31.500000 81.240 -176.9135
32.000000 81.390 -178.6255
32.500000 81.476 179.6000
33.000000 81.526 178.0885
33.500000 81.588 176.8377
34.000000 81.674 175.6531
34.500000 81.771 174.4183
35.000000 81.870 173.1204
35.500000 81.968 171.7230
36.000000 82.048 170.2028
36.500000 82.089 168.6906
37.000000 82.103 167.4157
37.500000 82.137 166.4348
38.200001 82.271 165.0488
38.700001 82.389 163.7133
39.500000 82.511 161.2210
40.000000 82.552 159.7481
40.599998 82.599 158.0992
41.200001 82.637 156.5236
41.799999 82.669 155.0956
42.500000 82.730 153.5479
43.099998 82.790 152.1190
43.700001 82.824 150.6812
44.400002 82.855 149.2784
45.000000 82.921 148.1372
45.500000 82.984 147.0225
46.200001 83.037 145.3881
46.799999 83.077 144.1902
47.500000 83.174 142.7938
48.200001 83.278 141.0071
48.700001 83.316 139.6394
49.400002 83.339 137.9525
50.000000 83.376 136.6747
50.799999 83.443 134.9250
51.500000 83.496 133.3786
52.200001 83.554 131.8450
53.000000 83.615 130.0275
53.799999 83.658 128.2747
54.500000 83.707 126.8442
55.200001 83.773 125.3460
56.000000 83.840 123.4668
57.000000 83.887 121.1373
58.000000 83.930 119.0011
59.000000 83.981 116.9225
60.000000 84.035 114.9421
60.799999 84.096 113.3755
61.500000 84.154 111.9191
62.200001 84.203 110.4141
63.000000 84.249 108.7282
64.000000 84.308 106.6639
65.000000 84.363 104.6103
66.000000 84.414 102.5777
67.000000 84.458 100.5591
68.000000 84.496 98.6218
69.000000 84.545 96.7084
70.000000 84.594 94.7126
71.000000 84.635 92.7003
72.000000 84.677 90.6980
73.000000 84.717 88.6887
74.000000 84.756 86.7281
75.000000 84.803 84.7956
76.199997 84.859 82.4222
77.500000 84.904 79.9119
78.800003 84.947 77.4197
80.000000 84.972 75.2058
81.199997 85.015 73.0552
82.500000 85.061 70.6330
83.800003 85.108 68.2361
85.000000 85.153 65.9726
86.199997 85.189 63.6977
87.500000 85.224 61.3042
88.500000 85.260 59.4511
90.000000 85.293 56.5051
91.199997 85.292 54.2720
92.500000 85.304 51.9530
93.800003 85.317 49.5696
95.000000 85.328 47.4134
96.199997 85.345 45.2818
97.500000 85.373 43.0005
98.800003 85.407 40.6977
100.000000 85.429 38.5105
101.500000 85.429 35.8334
103.000000 85.438 33.3231
104.400002 85.464 30.8138
106.000000 85.480 27.8623
107.500000 85.496 25.1691
109.000000 85.511 22.4766
110.599998 85.504 19.6629
112.000000 85.488 17.2662
113.800003 85.467 14.2119
115.000000 85.460 12.1708
117.199997 85.468 8.3867
118.000000 85.472 7.0050
120.599998 85.458 2.6051
122.000000 85.436 0.3446
124.099998 85.400 -3.0158
125.000000 85.385 -4.4731
126.500000 85.356 -6.9059
128.000000 85.325 -9.3020
131.500000 85.259 -14.6908
132.000000 85.252 -15.4806
134.000000 85.215 -18.7518
136.000000 85.160 -21.9266
138.000000 85.118 -24.9772
140.000000 85.076 -28.0591
143.000000 84.984 -32.5736
145.000000 84.926 -35.5447
147.500000 84.858 -39.2885
150.000000 84.782 -42.9921
152.500000 84.692 -46.5312
155.000000 84.605 -49.9852
157.500000 84.511 -53.4275
160.000000 84.417 -56.8488
162.500000 84.317 -60.1632
165.000000 84.221 -63.3974
167.500000 84.132 -66.6647
170.000000 84.045 -69.9836
172.500000 83.957 -73.2376
175.000000 83.862 -76.2957
177.500000 83.757 -79.2214
180.000000 83.654 -82.0961
182.500000 83.569 -85.1251
185.000000 83.472 -88.2401
187.500000 83.356 -91.1830
190.000000 83.237 -94.0380
192.500000 83.134 -96.8404
195.000000 83.048 -99.6281
197.500000 82.957 -102.3772
200.000000 82.859 -105.1102
203.000000 82.741 -108.3724
206.000000 82.628 -111.4696
209.000000 82.523 -114.5657
212.000000 82.413 -117.7605
214.000000 82.336 -119.7963
218.000000 82.180 -123.7263
220.000000 82.098 -125.6951
224.000000 81.951 -129.5629
227.000000 81.849 -132.3860
230.000000 81.742 -135.1185
233.000000 81.641 -137.8532
236.000000 81.552 -140.6370
240.000000 81.436 -144.2806
243.000000 81.340 -146.8792
247.000000 81.212 -150.3740
250.000000 81.121 -152.8678
254.000000 81.012 -156.1845
258.000000 80.895 -159.6513
262.000000 80.766 -162.9653
265.000000 80.670 -165.3748
269.000000 80.545 -168.5412
272.000000 80.454 -170.8643
276.000000 80.343 -173.9145
280.000000 80.233 -176.8868
285.000000 80.095 179.5843
290.000000 79.964 176.1127
295.000000 79.850 172.6957
300.000000 79.751 169.2680
304.000000 79.700 166.5865
307.000000 79.663 164.5639
311.000000 79.607 161.8821
315.000000 79.554 159.2938
320.000000 79.499 156.2294
325.000000 79.456 153.1202
330.000000 79.417 150.0360
335.000000 79.376 146.9455
340.000000 79.340 143.8619
345.000000 79.309 140.7656
350.000000 79.284 137.7154
355.000000 79.275 134.6586
360.000000 79.275 131.6410
365.000000 79.268 128.7036
370.000000 79.260 125.6658
375.000000 79.259 122.6492
382.000000 79.253 118.7033
387.000000 79.252 115.8160
395.000000 79.282 111.0823
400.000000 79.314 108.1809
406.000000 79.338 104.7762
412.000000 79.338 101.3280
418.000000 79.349 97.8417
425.000000 79.400 93.7900
431.000000 79.431 90.3524
437.000000 79.462 86.9838
444.000000 79.512 83.0676
450.000000 79.541 79.7428
455.000000 79.553 76.9438
462.000000 79.590 73.0380
468.000000 79.641 69.6697
475.000000 79.690 65.8009
482.000000 79.743 62.0463
487.000000 79.790 59.3917
494.000000 79.844 55.5570
500.000000 79.879 52.2106
508.000000 79.924 47.8192
515.000000 79.956 44.0283
522.000000 79.993 40.3158
530.000000 80.044 36.0956
538.000000 80.110 31.8480
545.000000 80.158 28.1688
552.000000 80.192 24.4940
560.000000 80.231 20.3098
570.000000 80.283 15.0413
580.000000 80.340 9.9277
590.000000 80.398 4.8132
600.000000 80.444 -0.3406
608.000000 80.474 -4.3956
615.000000 80.498 -7.9355
622.000000 80.525 -11.4341
630.000000 80.553 -15.4038
640.000000 80.575 -20.3467
650.000000 80.590 -25.1196
660.000000 80.586 -30.0381
670.000000 80.583 -34.8911
680.000000 80.586 -39.6162
690.000000 80.579 -44.1991
700.000000 80.568 -48.7467
710.000000 80.552 -53.2837
720.000000 80.526 -57.6918
730.000000 80.493 -62.0701
740.000000 80.468 -66.4324
750.000000 80.448 -70.7018
762.000000 80.416 -75.6644
775.000000 80.367 -80.9735
788.000000 80.317 -86.1334
800.000000 80.275 -90.7957
812.000000 80.219 -95.4418
825.000000 80.143 -100.3142
838.000000 80.068 -104.9415
850.000000 80.010 -109.0549
862.000000 79.963 -113.0811
875.000000 79.919 -117.4418
885.000000 79.887 -120.7523
900.000000 79.837 -125.6326
912.000000 79.801 -129.4351
925.000000 79.766 -133.4445
938.000000 79.736 -137.3887
950.000000 79.712 -140.9725
962.000000 79.688 -144.4958
975.000000 79.656 -148.2633
988.000000 79.628 -151.9316
1000.000000 79.609 -155.2526
1015.000000 79.590 -159.3563
1030.000000 79.576 -163.3496
1044.000000 79.568 -166.9739
1060.000000 79.563 -171.0508
1075.000000 79.572 -174.7859
1090.000000 79.589 -178.4659
1106.000000 79.603 177.6694
1120.000000 79.615 174.3438
1138.000000 79.645 170.1377
1150.000000 79.674 167.3700
1172.000000 79.733 162.3805
1180.000000 79.756 160.6119
1206.000000 79.844 154.7710
1220.000000 79.900 151.6750
1241.000000 79.981 147.1108
1250.000000 80.016 145.1809
1265.000000 80.075 141.9902
1280.000000 80.134 138.8220
1315.000000 80.290 131.5056
1320.000000 80.314 130.4666
1340.000000 80.408 126.3835
1360.000000 80.497 122.3462
1380.000000 80.588 118.2905
1400.000000 80.679 114.3268
1430.000000 80.818 108.4612
1450.000000 80.907 104.5564
1475.000000 81.007 99.7214
1500.000000 81.098 94.9877
1525.000000 81.182 90.3633
1550.000000 81.263 85.7804
1575.000000 81.328 81.3126
1600.000000 81.382 76.9302
1625.000000 81.433 72.7197
1650.000000 81.474 68.6260
1675.000000 81.506 64.6969
1700.000000 81.534 60.9093
1725.000000 81.560 57.2563
1750.000000 81.585 53.7161
1775.000000 81.610 50.3124
1800.000000 81.628 47.0524
1825.000000 81.645 43.9474
1850.000000 81.664 40.9769
1875.000000 81.686 38.1448
1900.000000 81.710 35.4315
1925.000000 81.738 32.8350
1950.000000 81.772 30.3608
1975.000000 81.809 27.9905
2000.000000 81.852 25.7513
2030.000000 81.913 23.2456
2060.000000 81.979 20.8787
2090.000000 82.054 18.6102
2120.000000 82.141 16.4642
2140.000000 82.203 15.1101
2180.000000 82.344 12.5408
2200.000000 82.420 11.3125
2240.000000 82.578 8.9922
2270.000000 82.701 7.3685
2300.000000 82.821 5.8788
2330.000000 82.946 4.7186
2360.000000 83.157 3.9707
2400.000000 83.560 2.0485
2430.000000 83.784 0.1423
2470.000000 84.035 -1.9906
2500.000000 84.232 -3.4337
2540.000000 84.508 -5.2955
2580.000000 84.794 -7.1460
2620.000000 85.089 -9.0492
2650.000000 85.310 -10.5291
2690.000000 85.595 -12.5576
2720.000000 85.797 -14.1113
2760.000000 86.050 -16.2483
2800.000000 86.279 -18.4562
2850.000000 86.521 -21.2668
2900.000000 86.696 -24.0891
2950.000000 86.785 -26.7656
3000.000000 86.818 -28.8350
3040.000000 86.890 -30.3535
3070.000000 86.906 -31.8779
3110.000000 86.815 -33.6616
3150.000000 86.674 -34.8710
3200.000000 86.472 -35.7917
3250.000000 86.246 -36.1685
3300.000000 86.003 -35.9927
3350.000000 85.754 -35.2933
3400.000000 85.507 -34.1163
3450.000000 85.264 -32.4952
3500.000000 85.026 -30.4487
3550.000000 84.801 -27.9790
3600.000000 84.594 -25.1060
3650.000000 84.411 -21.8737
3700.000000 84.256 -18.3168
3750.000000 84.134 -14.4917
3820.000000 84.024 -8.8192
3870.000000 83.988 -4.6610
3950.000000 83.983 1.9022
4000.000000 83.985 5.8456
4060.000000 83.963 10.4312
4120.000000 83.887 14.9669
4180.000000 83.743 19.6818
4250.000000 83.501 25.7484
4310.000000 83.255 31.4921
4370.000000 82.988 37.7656
4440.000000 82.668 45.8020
4500.000000 82.413 53.2319
4550.000000 82.214 59.7017
4620.000000 81.956 69.2268
4680.000000 81.766 77.7404
4750.000000 81.568 87.9177
4820.000000 81.379 98.4025
4870.000000 81.252 106.1392
4940.000000 81.101 117.2640
5000.000000 80.993 126.9434
5080.000000 80.864 140.0576
5150.000000 80.760 151.7461
5220.000000 80.662 163.6361
5300.000000 80.557 177.3761
5380.000000 80.430 -168.8268
5450.000000 80.280 -156.4956
5520.000000 80.103 -143.7231
5600.000000 79.890 -128.5310
5700.000000 79.646 -108.6674
5800.000000 79.439 -88.1519
5900.000000 79.279 -67.0626
