* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 18, 2023 9:11:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Silicone) 5 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 74.439 -105.5240
20.299999 74.588 -106.2119
20.600000 74.717 -107.0355
20.900000 74.816 -107.9035
21.200001 74.883 -108.6927
21.400000 74.915 -109.1132
21.799999 74.978 -109.6030
22.000000 75.026 -109.6827
22.400000 75.187 -109.7151
22.700001 75.370 -109.8865
23.000000 75.583 -110.3978
23.299999 75.790 -111.3149
23.600000 75.955 -112.5518
24.000000 76.078 -114.3506
24.299999 76.106 -115.5267
24.700001 76.111 -116.6062
25.000000 76.134 -117.0839
25.400000 76.226 -117.6023
25.799999 76.366 -118.3905
26.200001 76.489 -119.5919
26.500000 76.536 -120.6342
26.900000 76.531 -121.8937
27.200001 76.496 -122.5697
27.600000 76.451 -123.0468
28.000000 76.448 -123.1873
28.500000 76.512 -123.2576
29.000000 76.618 -123.4369
29.500000 76.748 -123.7251
30.000000 76.904 -124.1634
30.400000 77.039 -124.7191
30.700001 77.133 -125.2747
31.100000 77.231 -126.1372
31.500000 77.290 -126.9877
32.000000 77.330 -127.8044
32.500000 77.381 -128.2981
33.000000 77.475 -128.7125
33.500000 77.594 -129.3448
34.000000 77.687 -130.2110
34.500000 77.733 -131.0129
35.000000 77.768 -131.4752
35.500000 77.856 -131.7140
36.000000 78.010 -132.1843
36.500000 78.165 -133.1815
37.000000 78.252 -134.4870
37.500000 78.265 -135.5969
38.200001 78.291 -136.4409
38.700001 78.379 -136.9414
39.500000 78.540 -138.3912
40.000000 78.580 -139.4514
40.599998 78.590 -140.3911
41.200001 78.625 -141.0017
41.799999 78.691 -141.6226
42.500000 78.750 -142.3950
43.099998 78.792 -142.8274
43.700001 78.876 -143.1002
44.400002 79.025 -143.7509
45.000000 79.120 -144.7075
45.500000 79.146 -145.4951
46.200001 79.157 -146.1778
46.799999 79.206 -146.5319
47.500000 79.299 -147.1368
48.200001 79.372 -147.9196
48.700001 79.415 -148.4105
49.400002 79.495 -149.0286
50.000000 79.576 -149.6596
50.799999 79.667 -150.6107
51.500000 79.734 -151.3724
52.200001 79.807 -152.0875
53.000000 79.890 -152.9362
53.799999 79.962 -153.7761
54.500000 80.019 -154.4484
55.200001 80.079 -155.0597
56.000000 80.160 -155.7573
57.000000 80.267 -156.7677
58.000000 80.349 -157.8981
59.000000 80.402 -158.8668
60.000000 80.483 -159.5984
60.799999 80.575 -160.3377
61.500000 80.640 -161.1427
62.200001 80.682 -161.9199
63.000000 80.727 -162.6621
64.000000 80.801 -163.5397
65.000000 80.880 -164.5171
66.000000 80.946 -165.4992
67.000000 81.014 -166.3417
68.000000 81.105 -167.1797
69.000000 81.195 -168.1436
70.000000 81.267 -169.0956
71.000000 81.331 -170.0244
72.000000 81.380 -170.9069
73.000000 81.435 -171.6833
74.000000 81.504 -172.5597
75.000000 81.561 -173.5538
76.199997 81.619 -174.6893
77.500000 81.684 -175.8481
78.800003 81.766 -176.8916
80.000000 81.852 -177.9661
81.199997 81.911 -179.0538
82.500000 81.969 179.9062
83.800003 82.034 178.8738
85.000000 82.098 177.8658
86.199997 82.161 176.8000
87.500000 82.223 175.6003
88.500000 82.256 174.6984
90.000000 82.327 173.6234
91.199997 82.413 172.4806
92.500000 82.462 171.1025
93.800003 82.507 169.8607
95.000000 82.551 168.6494
96.199997 82.574 167.4478
97.500000 82.589 166.3519
98.800003 82.616 165.3882
100.000000 82.657 164.4907
101.500000 82.710 163.1754
103.000000 82.742 161.8409
104.400002 82.778 160.6838
106.000000 82.818 159.3268
107.500000 82.857 158.1500
109.000000 82.902 156.8892
110.599998 82.939 155.4709
112.000000 82.969 154.2592
113.800003 83.012 152.6693
115.000000 83.022 151.5750
117.199997 83.006 149.8838
118.000000 83.004 149.2989
120.599998 83.014 147.3102
122.000000 83.031 146.1735
124.099998 83.058 144.4575
125.000000 83.059 143.7411
126.500000 83.049 142.6378
128.000000 83.035 141.5552
131.500000 83.006 138.8173
132.000000 83.005 138.3978
134.000000 82.996 136.7783
136.000000 82.989 135.3463
138.000000 82.973 133.9749
140.000000 82.943 132.6652
143.000000 82.902 130.6013
145.000000 82.874 129.1057
147.500000 82.845 127.2215
150.000000 82.809 125.3301
152.500000 82.746 123.8248
155.000000 82.692 122.5150
157.500000 82.628 121.0454
160.000000 82.550 119.5345
162.500000 82.477 118.0466
165.000000 82.409 116.5883
167.500000 82.343 115.1754
170.000000 82.266 113.8058
172.500000 82.179 112.4684
175.000000 82.098 111.0353
177.500000 82.054 109.6635
180.000000 82.037 108.2554
182.500000 81.960 106.9557
185.000000 81.842 105.9868
187.500000 81.722 104.8435
190.000000 81.602 103.6810
192.500000 81.507 102.6951
195.000000 81.435 101.7469
197.500000 81.364 100.7365
200.000000 81.288 99.7613
203.000000 81.196 98.6356
206.000000 81.097 97.5219
209.000000 80.998 96.5241
212.000000 80.884 95.6248
214.000000 80.798 95.0587
218.000000 80.644 93.7263
220.000000 80.579 93.0182
224.000000 80.451 92.1177
227.000000 80.364 91.6137
230.000000 80.280 90.9735
233.000000 80.192 90.2780
236.000000 80.109 89.6317
240.000000 80.005 88.7937
243.000000 79.898 88.2498
247.000000 79.756 87.6650
250.000000 79.682 87.1576
254.000000 79.576 86.4802
258.000000 79.490 85.8327
262.000000 79.428 85.3838
265.000000 79.365 85.1806
269.000000 79.286 84.8703
272.000000 79.239 84.5577
276.000000 79.170 84.0121
280.000000 79.111 83.4647
285.000000 79.060 83.0028
290.000000 79.014 82.6165
295.000000 79.001 82.1904
300.000000 78.998 81.5115
304.000000 78.973 81.1932
307.000000 78.949 81.0504
311.000000 78.926 80.7766
315.000000 78.910 80.3774
320.000000 78.881 79.7569
325.000000 78.832 79.3165
330.000000 78.790 78.9507
335.000000 78.778 78.5128
340.000000 78.775 78.0353
345.000000 78.773 77.5092
350.000000 78.771 77.1050
355.000000 78.768 76.8121
360.000000 78.759 76.4993
365.000000 78.755 76.1257
370.000000 78.762 75.7451
375.000000 78.776 75.3457
382.000000 78.774 75.0631
387.000000 78.783 74.7499
395.000000 78.825 74.0301
400.000000 78.847 73.6426
406.000000 78.874 73.2415
412.000000 78.908 72.9105
418.000000 78.924 72.5693
425.000000 78.963 72.0360
431.000000 79.013 71.6428
437.000000 79.057 71.2219
444.000000 79.103 70.6747
450.000000 79.136 70.2073
455.000000 79.163 69.8110
462.000000 79.188 69.3420
468.000000 79.219 68.9066
475.000000 79.273 68.3979
482.000000 79.338 67.8203
487.000000 79.388 67.4122
494.000000 79.445 66.9059
500.000000 79.486 66.4474
508.000000 79.539 65.7844
515.000000 79.577 65.2104
522.000000 79.608 64.6640
530.000000 79.658 63.9683
538.000000 79.712 63.2199
545.000000 79.771 62.5421
552.000000 79.822 61.8868
560.000000 79.864 61.1505
570.000000 79.913 60.2754
580.000000 79.961 59.3709
590.000000 79.992 58.4250
600.000000 80.018 57.5179
608.000000 80.042 56.7393
615.000000 80.059 56.1196
622.000000 80.073 55.5190
630.000000 80.091 54.8047
640.000000 80.113 53.9742
650.000000 80.127 53.1537
660.000000 80.126 52.3616
670.000000 80.109 51.5085
680.000000 80.100 50.6816
690.000000 80.093 50.0098
700.000000 80.081 49.3621
710.000000 80.071 48.6893
720.000000 80.061 48.0103
730.000000 80.047 47.4496
740.000000 80.018 46.9219
750.000000 79.981 46.3848
762.000000 79.944 45.7838
775.000000 79.909 45.2398
788.000000 79.883 44.7894
800.000000 79.860 44.4131
812.000000 79.836 44.0438
825.000000 79.820 43.6583
838.000000 79.806 43.3028
850.000000 79.796 42.8998
862.000000 79.791 42.4453
875.000000 79.773 41.8928
885.000000 79.743 41.4772
900.000000 79.671 40.9765
912.000000 79.603 40.7355
925.000000 79.538 40.6630
938.000000 79.492 40.7314
950.000000 79.463 40.8396
962.000000 79.441 40.9241
975.000000 79.418 41.0193
988.000000 79.396 41.0952
1000.000000 79.382 41.2065
1015.000000 79.371 41.4124
1030.000000 79.373 41.5912
1044.000000 79.391 41.7485
1060.000000 79.418 41.9775
1075.000000 79.439 42.2384
1090.000000 79.462 42.4609
1106.000000 79.509 42.6494
1120.000000 79.564 42.7534
1138.000000 79.626 42.9375
1150.000000 79.672 43.0875
1172.000000 79.772 43.3317
1180.000000 79.811 43.4169
1206.000000 79.929 43.5978
1220.000000 79.987 43.6403
1241.000000 80.099 43.6372
1250.000000 80.153 43.6175
1265.000000 80.237 43.5580
1280.000000 80.322 43.4474
1315.000000 80.524 43.0955
1320.000000 80.554 43.0442
1340.000000 80.671 42.7668
1360.000000 80.782 42.3766
1380.000000 80.885 41.9085
1400.000000 80.977 41.4602
1430.000000 81.110 40.6703
1450.000000 81.191 40.0279
1475.000000 81.280 39.2079
1500.000000 81.345 38.3622
1525.000000 81.396 37.4785
1550.000000 81.435 36.6246
1575.000000 81.456 35.8559
1600.000000 81.460 35.0964
1625.000000 81.453 34.3919
1650.000000 81.440 33.7770
1675.000000 81.416 33.2163
1700.000000 81.384 32.7245
1725.000000 81.348 32.3137
1750.000000 81.304 32.0142
1775.000000 81.260 31.7655
1800.000000 81.219 31.6074
1825.000000 81.178 31.5259
1850.000000 81.141 31.5182
1875.000000 81.107 31.5817
1900.000000 81.078 31.7039
1925.000000 81.055 31.8761
1950.000000 81.039 32.0984
1975.000000 81.030 32.3695
2000.000000 81.026 32.6818
2030.000000 81.033 33.0977
2060.000000 81.052 33.5468
2090.000000 81.083 34.0365
2120.000000 81.128 34.5520
2140.000000 81.165 34.8981
2180.000000 81.256 35.5649
2200.000000 81.309 35.8888
2240.000000 81.433 36.5288
2270.000000 81.542 36.9841
2300.000000 81.660 37.3945
2330.000000 81.786 37.7399
2360.000000 81.914 38.0301
2400.000000 82.076 38.3998
2430.000000 82.191 38.9330
2470.000000 82.474 40.2099
2500.000000 82.789 40.4188
2540.000000 83.186 39.9828
2580.000000 83.526 38.8016
2620.000000 83.775 37.6329
2650.000000 83.958 36.8430
2690.000000 84.208 35.6828
2720.000000 84.394 34.6755
2760.000000 84.629 33.1287
2800.000000 84.842 31.3379
2850.000000 85.052 28.8265
2900.000000 85.190 26.1699
2950.000000 85.259 23.4935
3000.000000 85.270 20.8642
3040.000000 85.237 18.8542
3070.000000 85.192 17.4219
3110.000000 85.106 15.6147
3150.000000 84.993 13.9570
3200.000000 84.828 12.1700
3250.000000 84.647 10.6915
3300.000000 84.458 9.5027
3350.000000 84.275 8.6033
3400.000000 84.112 7.9253
3450.000000 83.972 7.4058
3500.000000 83.861 6.9821
3550.000000 83.782 6.5285
3600.000000 83.721 5.9830
3650.000000 83.670 5.3147
3700.000000 83.615 4.4906
3750.000000 83.545 3.5518
3820.000000 83.416 2.1240
3870.000000 83.290 1.0779
3950.000000 83.032 -0.4247
4000.000000 82.845 -1.1953
4060.000000 82.602 -1.8464
4120.000000 82.369 -2.2087
4180.000000 82.150 -2.5035
4250.000000 81.887 -2.7320
4310.000000 81.654 -2.7578
4370.000000 81.429 -2.5752
4440.000000 81.171 -2.1985
4500.000000 80.954 -1.5818
4550.000000 80.798 -0.8357
4620.000000 80.645 0.3793
4680.000000 80.567 1.3367
4750.000000 80.499 2.2797
4820.000000 80.463 3.3237
4870.000000 80.478 3.9306
4940.000000 80.493 4.4332
5000.000000 80.510 4.9365
5080.000000 80.580 5.3768
5150.000000 80.642 5.4852
5220.000000 80.718 5.4752
5300.000000 80.831 5.0758
5380.000000 80.922 4.0339
5450.000000 80.923 2.9145
5520.000000 80.924 1.9017
5600.000000 80.893 -0.0044
5700.000000 80.623 -2.4912
5800.000000 80.234 -3.8500
5900.000000 79.828 -4.8655
6000.000000 79.330 -5.0770
6080.000000 78.959 -4.5394
6150.000000 78.639 -3.8652
