* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 18, 2023 11:42:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Silicone) 1 r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 77.346 -130.3606
20.299999 77.469 -131.8637
20.600000 77.557 -133.2650
20.900000 77.622 -134.4636
21.200001 77.685 -135.4220
21.400000 77.733 -135.9409
21.799999 77.865 -136.7995
22.000000 77.950 -137.2041
22.400000 78.152 -138.1138
22.700001 78.319 -138.9686
23.000000 78.486 -140.0102
23.299999 78.637 -141.2358
23.600000 78.762 -142.6092
24.000000 78.871 -144.5501
24.299999 78.905 -145.9642
24.700001 78.897 -147.5919
25.000000 78.872 -148.5213
25.400000 78.859 -149.3778
25.799999 78.909 -150.0400
26.200001 79.025 -150.9075
26.500000 79.128 -151.8675
26.900000 79.233 -153.5427
27.200001 79.264 -154.9318
27.600000 79.244 -156.6411
28.000000 79.198 -157.9363
28.500000 79.196 -159.0607
29.000000 79.287 -160.2327
29.500000 79.392 -161.8221
30.000000 79.436 -163.4768
30.400000 79.443 -164.4570
30.700001 79.468 -164.9399
31.100000 79.557 -165.4220
31.500000 79.705 -166.0288
32.000000 79.910 -167.1928
32.500000 80.073 -168.6030
33.000000 80.205 -169.9337
33.500000 80.341 -171.1942
34.000000 80.474 -172.5907
34.500000 80.561 -174.0880
35.000000 80.597 -175.3848
35.500000 80.635 -176.3310
36.000000 80.721 -177.1814
36.500000 80.832 -178.2876
37.000000 80.914 -179.6495
37.500000 80.950 179.0336
38.200001 81.000 177.5361
38.700001 81.068 176.4792
39.500000 81.161 174.4858
40.000000 81.182 173.3319
40.599998 81.219 172.2733
41.200001 81.316 171.2690
41.799999 81.438 169.9222
42.500000 81.525 168.0458
43.099998 81.550 166.6236
43.700001 81.590 165.5010
44.400002 81.691 164.1565
45.000000 81.785 162.7158
45.500000 81.837 161.4199
46.200001 81.882 159.7638
46.799999 81.934 158.5030
47.500000 82.015 157.0034
48.200001 82.092 155.4524
48.700001 82.144 154.3893
49.400002 82.226 152.9260
50.000000 82.296 151.6053
50.799999 82.360 149.8586
51.500000 82.408 148.4914
52.200001 82.468 147.1724
53.000000 82.537 145.5989
53.799999 82.598 144.0458
54.500000 82.658 142.6945
55.200001 82.718 141.2967
56.000000 82.782 139.6944
57.000000 82.863 137.6998
58.000000 82.931 135.7797
59.000000 83.022 133.9827
60.000000 83.122 131.9232
60.799999 83.163 130.2157
61.500000 83.188 128.8436
62.200001 83.219 127.5435
63.000000 83.261 126.0882
64.000000 83.334 124.2673
65.000000 83.417 122.3134
66.000000 83.484 120.3333
67.000000 83.548 118.4726
68.000000 83.624 116.6587
69.000000 83.702 114.7861
70.000000 83.765 112.8938
71.000000 83.820 111.0324
72.000000 83.864 109.1978
73.000000 83.905 107.4518
74.000000 83.960 105.7320
75.000000 84.021 103.9335
76.199997 84.089 101.6596
77.500000 84.147 99.2190
78.800003 84.219 96.8027
80.000000 84.275 94.5872
81.199997 84.343 92.5378
82.500000 84.429 90.2646
83.800003 84.495 87.9025
85.000000 84.535 85.8146
86.199997 84.590 83.6926
87.500000 84.647 81.2701
88.500000 84.699 79.3182
90.000000 84.736 76.2910
91.199997 84.745 74.2866
92.500000 84.785 72.3182
93.800003 84.825 70.3941
95.000000 84.870 68.5920
96.199997 84.911 66.5867
97.500000 84.945 64.2496
98.800003 84.972 61.7454
100.000000 84.984 59.3971
101.500000 85.000 56.7514
103.000000 85.051 54.2065
104.400002 85.082 51.9233
106.000000 85.133 49.4814
107.500000 85.176 47.0008
109.000000 85.192 44.4279
110.599998 85.208 41.7180
112.000000 85.225 39.2763
113.800003 85.243 36.3799
115.000000 85.270 34.5537
117.199997 85.271 31.1344
118.000000 85.251 30.0211
120.599998 85.273 26.2573
122.000000 85.284 23.6323
124.099998 85.279 19.9496
125.000000 85.290 18.5044
126.500000 85.313 16.1947
128.000000 85.322 13.9705
131.500000 85.256 8.5765
132.000000 85.244 7.7769
134.000000 85.208 4.5183
136.000000 85.194 1.3522
138.000000 85.181 -1.6113
140.000000 85.144 -4.4664
143.000000 85.046 -8.7517
145.000000 84.996 -11.7235
147.500000 84.944 -15.4428
150.000000 84.921 -18.8385
152.500000 84.912 -22.4463
155.000000 84.849 -26.0523
157.500000 84.765 -29.2740
160.000000 84.691 -32.3091
162.500000 84.618 -35.6392
165.000000 84.521 -39.1980
167.500000 84.430 -42.5909
170.000000 84.362 -45.7165
172.500000 84.321 -48.7026
175.000000 84.264 -51.8275
177.500000 84.176 -54.7840
180.000000 84.105 -57.7846
182.500000 84.049 -60.6935
185.000000 83.997 -63.6377
187.500000 83.904 -66.6558
190.000000 83.785 -69.6978
192.500000 83.685 -72.5321
195.000000 83.620 -75.1874
197.500000 83.552 -77.8320
200.000000 83.480 -80.5363
203.000000 83.403 -83.8085
206.000000 83.324 -87.0154
209.000000 83.233 -90.1348
212.000000 83.153 -93.3087
214.000000 83.103 -95.4355
218.000000 82.991 -99.3760
220.000000 82.928 -101.1685
224.000000 82.806 -104.9108
227.000000 82.715 -107.9707
230.000000 82.641 -110.9507
233.000000 82.578 -113.8262
236.000000 82.519 -116.6785
240.000000 82.435 -120.3818
243.000000 82.350 -123.0195
247.000000 82.237 -126.4774
250.000000 82.169 -129.1224
254.000000 82.073 -132.7122
258.000000 81.978 -136.2239
262.000000 81.906 -139.5862
265.000000 81.850 -142.0956
269.000000 81.746 -145.4066
272.000000 81.686 -147.7893
276.000000 81.634 -150.8947
280.000000 81.562 -154.1263
285.000000 81.462 -157.9633
290.000000 81.351 -161.7724
295.000000 81.247 -165.7007
300.000000 81.118 -169.2701
304.000000 81.070 -172.2638
307.000000 81.057 -174.6086
311.000000 81.020 -177.5520
315.000000 80.951 179.7329
320.000000 80.867 176.5492
325.000000 80.831 173.2883
330.000000 80.832 169.6779
335.000000 80.804 166.2512
340.000000 80.732 162.8848
345.000000 80.655 159.7382
350.000000 80.642 156.7122
355.000000 80.696 153.2785
360.000000 80.749 149.9257
365.000000 80.748 146.7552
370.000000 80.722 143.6614
375.000000 80.715 140.5130
382.000000 80.692 135.7024
387.000000 80.677 132.6066
395.000000 80.706 127.8860
400.000000 80.767 124.7934
406.000000 80.792 121.1011
412.000000 80.813 117.2552
418.000000 80.874 113.9175
425.000000 80.928 110.1796
431.000000 80.979 106.2990
437.000000 81.049 102.3173
444.000000 81.112 98.0628
450.000000 81.178 94.4138
455.000000 81.242 91.2892
462.000000 81.305 86.8339
468.000000 81.353 83.0907
475.000000 81.421 78.8229
482.000000 81.477 74.7572
487.000000 81.498 71.8871
494.000000 81.574 67.6512
500.000000 81.645 63.9342
508.000000 81.716 59.2224
515.000000 81.801 54.9560
522.000000 81.889 50.6445
530.000000 81.961 45.8081
538.000000 82.031 40.9370
545.000000 82.098 36.7095
552.000000 82.166 32.5605
560.000000 82.234 27.7412
570.000000 82.311 21.7405
580.000000 82.386 15.7513
590.000000 82.464 9.8684
600.000000 82.546 3.9635
608.000000 82.606 -0.6903
615.000000 82.644 -4.7736
622.000000 82.672 -8.9182
630.000000 82.712 -13.5569
640.000000 82.762 -19.3283
650.000000 82.800 -25.1838
660.000000 82.835 -30.9376
670.000000 82.864 -36.5745
680.000000 82.884 -42.2354
690.000000 82.892 -47.9126
700.000000 82.898 -53.5339
710.000000 82.910 -59.1281
720.000000 82.913 -64.6519
730.000000 82.901 -70.0176
740.000000 82.889 -75.2885
750.000000 82.870 -80.5555
762.000000 82.824 -86.8455
775.000000 82.782 -93.5934
788.000000 82.730 -100.3708
800.000000 82.666 -106.4672
812.000000 82.598 -112.4009
825.000000 82.515 -118.6285
838.000000 82.430 -124.6467
850.000000 82.352 -130.0093
862.000000 82.280 -135.3550
875.000000 82.190 -141.1123
885.000000 82.125 -145.4286
900.000000 82.036 -151.7590
912.000000 81.978 -156.7251
925.000000 81.928 -162.0356
938.000000 81.880 -167.2104
950.000000 81.844 -171.9746
962.000000 81.814 -176.6948
975.000000 81.790 178.3341
988.000000 81.773 173.3601
1000.000000 81.753 168.8265
1015.000000 81.746 163.2394
1030.000000 81.749 157.6624
1044.000000 81.744 152.5112
1060.000000 81.725 146.6810
1075.000000 81.731 141.3762
1090.000000 81.771 136.2546
1106.000000 81.800 130.6012
1120.000000 81.819 125.5734
1138.000000 81.869 119.2676
1150.000000 81.922 115.0544
1172.000000 82.024 107.2760
1180.000000 82.056 104.5063
1206.000000 82.151 95.6162
1220.000000 82.212 90.8015
1241.000000 82.316 83.5579
1250.000000 82.358 80.4681
1265.000000 82.424 75.3252
1280.000000 82.488 70.1354
1315.000000 82.632 58.0254
1320.000000 82.652 56.3121
1340.000000 82.724 49.4749
1360.000000 82.783 42.6476
1380.000000 82.836 35.7950
1400.000000 82.881 29.0205
1430.000000 82.944 18.9636
1450.000000 82.978 12.3245
1475.000000 83.002 4.1113
1500.000000 83.010 -4.0731
1525.000000 83.010 -12.1138
1550.000000 82.998 -20.0480
1575.000000 82.976 -27.8032
1600.000000 82.939 -35.4104
1625.000000 82.889 -42.8971
1650.000000 82.838 -50.2480
1675.000000 82.783 -57.3979
1700.000000 82.726 -64.4252
1725.000000 82.665 -71.2766
1750.000000 82.603 -77.9814
1775.000000 82.545 -84.5554
1800.000000 82.492 -90.9670
1825.000000 82.442 -97.2125
1850.000000 82.396 -103.3521
1875.000000 82.358 -109.3817
1900.000000 82.328 -115.2903
1925.000000 82.301 -121.0742
1950.000000 82.283 -126.7548
1975.000000 82.278 -132.3329
2000.000000 82.281 -137.8270
2030.000000 82.296 -144.3491
2060.000000 82.323 -150.7573
2090.000000 82.359 -157.0574
2120.000000 82.410 -163.2358
2140.000000 82.453 -167.3048
2180.000000 82.553 -175.3596
2200.000000 82.609 -179.3462
2240.000000 82.735 172.7615
2270.000000 82.838 166.9099
2300.000000 82.938 161.1418
2330.000000 83.044 155.6768
2360.000000 83.238 150.5903
2400.000000 83.624 142.8922
2430.000000 83.832 136.5922
2470.000000 84.065 128.5095
2500.000000 84.249 122.5715
2540.000000 84.513 114.6469
2580.000000 84.787 106.6655
2620.000000 85.063 98.5924
2650.000000 85.270 92.4695
2690.000000 85.542 84.1792
2720.000000 85.739 77.8840
2760.000000 85.984 69.4066
2800.000000 86.201 60.8192
2850.000000 86.424 49.9698
2900.000000 86.579 39.0682
2950.000000 86.652 28.2920
3000.000000 86.669 18.0123
3040.000000 86.734 9.8782
3070.000000 86.746 3.4338
3110.000000 86.651 -4.9707
3150.000000 86.504 -12.9152
3200.000000 86.296 -22.3225
3250.000000 86.066 -31.2512
3300.000000 85.818 -39.7345
3350.000000 85.559 -47.7562
3400.000000 85.297 -55.3270
3450.000000 85.042 -62.4741
3500.000000 84.799 -69.2577
3550.000000 84.567 -75.6865
3600.000000 84.350 -81.7606
3650.000000 84.154 -87.5022
3700.000000 83.988 -92.9486
3750.000000 83.860 -98.1737
3820.000000 83.742 -105.2439
3870.000000 83.702 -110.2278
3950.000000 83.693 -118.3373
4000.000000 83.695 -123.5925
4060.000000 83.674 -130.0715
4120.000000 83.602 -136.6053
4180.000000 83.466 -143.0101
4250.000000 83.232 -150.0471
4310.000000 82.995 -155.5708
4370.000000 82.742 -160.6230
4440.000000 82.447 -165.9351
4500.000000 82.206 -169.9747
4550.000000 82.026 -173.0500
4620.000000 81.811 -177.0242
4680.000000 81.657 179.8274
4750.000000 81.504 176.3950
4820.000000 81.375 173.2493
4870.000000 81.302 171.1779
4940.000000 81.230 168.4431
5000.000000 81.195 166.2393
5080.000000 81.183 163.4512
5150.000000 81.197 161.1366
5220.000000 81.236 158.9017
5300.000000 81.308 156.3373
5380.000000 81.393 153.7198
5450.000000 81.453 151.3722
5520.000000 81.484 149.1030
5600.000000 81.498 146.7456
5700.000000 81.503 144.1064
5800.000000 81.500 141.8579
