* Measurement data measured by REW V5.30
* Source: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 19, 2023 1:05:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: AM EchoBuds3 (Silicone) 5 r
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 74.706 -130.1004
20.299999 74.820 -131.1785
20.600000 74.936 -132.3467
20.900000 75.038 -133.5765
21.200001 75.118 -134.7802
21.400000 75.161 -135.5137
21.799999 75.240 -136.7136
22.000000 75.289 -137.1760
22.400000 75.434 -137.9521
22.700001 75.587 -138.5801
23.000000 75.767 -139.4023
23.299999 75.951 -140.4860
23.600000 76.115 -141.8094
24.000000 76.280 -143.7906
24.299999 76.359 -145.2963
24.700001 76.412 -147.1572
25.000000 76.428 -148.3766
25.400000 76.432 -149.7311
25.799999 76.438 -150.7742
26.200001 76.466 -151.5446
26.500000 76.515 -152.0109
26.900000 76.627 -152.6534
27.200001 76.742 -153.2825
27.600000 76.907 -154.4446
28.000000 77.047 -155.9589
28.500000 77.143 -158.0371
29.000000 77.161 -159.8292
29.500000 77.171 -161.0729
30.000000 77.240 -161.9657
30.400000 77.345 -162.7151
30.700001 77.440 -163.4003
31.100000 77.565 -164.4897
31.500000 77.673 -165.7007
32.000000 77.779 -167.2202
32.500000 77.868 -168.6288
33.000000 77.954 -169.9141
33.500000 78.046 -171.1142
34.000000 78.146 -172.2681
34.500000 78.256 -173.4241
35.000000 78.371 -174.6404
35.500000 78.480 -175.9360
36.000000 78.572 -177.2531
36.500000 78.652 -178.5095
37.000000 78.735 -179.7086
37.500000 78.825 179.0454
38.200001 78.929 177.1231
38.700001 78.965 175.7789
39.500000 79.006 174.0507
40.000000 79.065 173.0892
40.599998 79.156 171.7217
41.200001 79.213 170.1658
41.799999 79.231 168.7737
42.500000 79.275 167.4946
43.099998 79.362 166.3907
43.700001 79.460 165.0964
44.400002 79.565 163.5073
45.000000 79.664 162.1459
45.500000 79.752 160.9368
46.200001 79.856 159.1309
46.799999 79.918 157.6615
47.500000 79.988 156.1812
48.200001 80.082 154.8024
48.700001 80.157 153.7670
49.400002 80.250 152.2355
50.000000 80.313 150.9158
50.799999 80.381 149.2306
51.500000 80.436 147.8243
52.200001 80.495 146.4288
53.000000 80.563 144.8146
53.799999 80.638 143.1848
54.500000 80.709 141.7133
55.200001 80.780 140.2094
56.000000 80.862 138.5268
57.000000 80.981 136.4005
58.000000 81.083 134.2133
59.000000 81.173 132.2065
60.000000 81.267 130.2054
60.799999 81.322 128.6183
61.500000 81.364 127.3366
62.200001 81.415 126.0938
63.000000 81.476 124.6431
64.000000 81.560 122.7990
65.000000 81.650 120.8286
66.000000 81.726 118.7808
67.000000 81.799 116.7733
68.000000 81.869 114.7723
69.000000 81.937 112.8684
70.000000 82.020 110.9676
71.000000 82.094 108.9861
72.000000 82.154 107.0760
73.000000 82.217 105.2332
74.000000 82.285 103.3728
75.000000 82.349 101.4835
76.199997 82.420 99.2390
77.500000 82.499 96.8145
78.800003 82.577 94.3801
80.000000 82.654 92.1426
81.199997 82.735 89.8430
82.500000 82.812 87.3591
83.800003 82.886 84.9379
85.000000 82.947 82.7503
86.199997 83.003 80.6375
87.500000 83.064 78.3660
88.500000 83.110 76.5951
90.000000 83.190 73.9001
91.199997 83.262 71.5433
92.500000 83.320 68.9473
93.800003 83.372 66.4822
95.000000 83.429 64.3655
96.199997 83.498 62.2349
97.500000 83.554 59.8473
98.800003 83.588 57.5102
100.000000 83.622 55.4141
101.500000 83.674 52.6993
103.000000 83.722 49.9981
104.400002 83.776 47.5392
106.000000 83.829 44.6646
107.500000 83.849 41.9920
109.000000 83.861 39.3597
110.599998 83.875 36.4717
112.000000 83.895 33.9641
113.800003 83.936 30.7565
115.000000 83.970 28.7043
117.199997 84.026 24.8049
118.000000 84.026 23.3992
120.599998 84.025 19.1362
122.000000 84.041 16.7515
124.099998 84.051 13.1313
125.000000 84.058 11.6061
126.500000 84.067 9.0592
128.000000 84.073 6.6037
131.500000 84.107 0.9390
132.000000 84.105 0.1091
134.000000 84.085 -3.1258
136.000000 84.066 -6.3834
138.000000 84.044 -9.6833
140.000000 84.029 -12.8572
143.000000 84.009 -17.4980
145.000000 83.981 -20.4951
147.500000 83.959 -24.2354
150.000000 83.957 -28.1049
152.500000 83.920 -32.0159
155.000000 83.837 -35.6569
157.500000 83.759 -39.2485
160.000000 83.709 -42.8936
162.500000 83.659 -46.4085
165.000000 83.597 -49.7744
167.500000 83.534 -53.2823
170.000000 83.490 -56.8299
172.500000 83.436 -60.2866
175.000000 83.340 -63.5495
177.500000 83.249 -66.8006
180.000000 83.166 -70.0841
182.500000 83.109 -72.9800
185.000000 83.082 -75.9179
187.500000 83.051 -79.0667
190.000000 83.006 -82.3888
192.500000 82.928 -85.7495
195.000000 82.844 -88.9026
197.500000 82.782 -91.8927
200.000000 82.727 -94.7875
203.000000 82.645 -98.1653
206.000000 82.556 -101.5234
209.000000 82.473 -104.9453
212.000000 82.403 -108.4076
214.000000 82.360 -110.6921
218.000000 82.263 -115.1702
220.000000 82.209 -117.3411
224.000000 82.101 -121.4697
227.000000 82.019 -124.5649
230.000000 81.941 -127.7450
233.000000 81.869 -130.8232
236.000000 81.799 -133.7960
240.000000 81.721 -137.7205
243.000000 81.666 -140.6868
247.000000 81.578 -144.4640
250.000000 81.516 -147.3558
254.000000 81.436 -151.3851
258.000000 81.354 -155.2500
262.000000 81.279 -158.8785
265.000000 81.225 -161.7227
269.000000 81.148 -165.5240
272.000000 81.089 -168.2668
276.000000 81.011 -171.8063
280.000000 80.939 -175.3293
285.000000 80.852 -179.7551
290.000000 80.762 175.8574
295.000000 80.674 171.7892
300.000000 80.596 167.9045
304.000000 80.553 164.7427
307.000000 80.512 162.3193
311.000000 80.463 159.1774
315.000000 80.427 156.1250
320.000000 80.385 152.2339
325.000000 80.363 148.3822
330.000000 80.332 144.5536
335.000000 80.307 140.8247
340.000000 80.293 137.1105
345.000000 80.287 133.3933
350.000000 80.277 129.7346
355.000000 80.269 126.1337
360.000000 80.267 122.5862
365.000000 80.266 119.1041
370.000000 80.264 115.5410
375.000000 80.263 111.8890
382.000000 80.260 107.0105
387.000000 80.280 103.5342
395.000000 80.352 98.0159
400.000000 80.396 94.5803
406.000000 80.428 90.3203
412.000000 80.454 86.2034
418.000000 80.515 82.1663
425.000000 80.586 77.3923
431.000000 80.635 73.2537
437.000000 80.689 69.1543
444.000000 80.750 64.3250
450.000000 80.811 60.1914
455.000000 80.874 56.7886
462.000000 80.952 51.9396
468.000000 81.010 47.8052
475.000000 81.081 43.0518
482.000000 81.168 38.3258
487.000000 81.230 34.9902
494.000000 81.304 30.2684
500.000000 81.371 26.2988
508.000000 81.444 20.9724
515.000000 81.515 16.1926
522.000000 81.583 11.4949
530.000000 81.651 6.1003
538.000000 81.725 0.6865
545.000000 81.802 -3.9576
552.000000 81.879 -8.5078
560.000000 81.963 -13.8173
570.000000 82.054 -20.4359
580.000000 82.138 -26.9354
590.000000 82.211 -33.5449
600.000000 82.300 -40.1801
608.000000 82.366 -45.3669
615.000000 82.410 -49.8851
622.000000 82.448 -54.4237
630.000000 82.492 -59.5618
640.000000 82.543 -65.9717
650.000000 82.580 -72.3687
660.000000 82.618 -78.7659
670.000000 82.653 -85.0760
680.000000 82.686 -91.2881
690.000000 82.713 -97.5367
700.000000 82.730 -103.7595
710.000000 82.735 -109.6852
720.000000 82.731 -115.6993
730.000000 82.722 -121.7720
740.000000 82.709 -127.7798
750.000000 82.692 -133.7317
762.000000 82.654 -140.7260
775.000000 82.613 -148.1429
788.000000 82.570 -155.4695
800.000000 82.523 -162.1979
812.000000 82.458 -168.8416
825.000000 82.374 -175.8694
838.000000 82.281 177.3115
850.000000 82.200 171.1703
862.000000 82.124 165.1554
875.000000 82.048 158.7858
885.000000 81.996 153.9589
900.000000 81.927 146.7823
912.000000 81.878 141.1692
925.000000 81.826 135.2285
938.000000 81.782 129.3568
950.000000 81.749 123.9912
962.000000 81.716 118.7152
975.000000 81.682 113.0483
988.000000 81.662 107.4304
1000.000000 81.652 102.3195
1015.000000 81.640 95.9880
1030.000000 81.627 89.6973
1044.000000 81.628 83.9014
1060.000000 81.648 77.3726
1075.000000 81.671 71.2920
1090.000000 81.696 65.2568
1106.000000 81.733 58.8529
1120.000000 81.775 53.3040
1138.000000 81.832 46.1746
1150.000000 81.872 41.4474
1172.000000 81.959 32.8529
1180.000000 81.994 29.7386
1206.000000 82.111 19.5884
1220.000000 82.180 14.0957
1241.000000 82.278 5.8932
1250.000000 82.319 2.3973
1265.000000 82.393 -3.4448
1280.000000 82.473 -9.2793
1315.000000 82.646 -22.8743
1320.000000 82.669 -24.8070
1340.000000 82.755 -32.5405
1360.000000 82.837 -40.2479
1380.000000 82.904 -47.9346
1400.000000 82.962 -55.5525
1430.000000 83.038 -66.9275
1450.000000 83.080 -74.4435
1475.000000 83.124 -83.7864
1500.000000 83.152 -93.0076
1525.000000 83.158 -102.1168
1550.000000 83.156 -111.1124
1575.000000 83.140 -119.9465
1600.000000 83.107 -128.6277
1625.000000 83.067 -137.1639
1650.000000 83.019 -145.4882
1675.000000 82.969 -153.6726
1700.000000 82.915 -161.7174
1725.000000 82.856 -169.5959
1750.000000 82.795 -177.2819
1775.000000 82.739 175.1981
1800.000000 82.685 167.8207
1825.000000 82.630 160.6072
1850.000000 82.581 153.5249
1875.000000 82.540 146.5723
1900.000000 82.506 139.7523
1925.000000 82.479 133.0602
1950.000000 82.459 126.4799
1975.000000 82.447 120.0161
2000.000000 82.443 113.6544
2030.000000 82.452 106.1268
2060.000000 82.473 98.7194
2090.000000 82.508 91.4272
2120.000000 82.557 84.2371
2140.000000 82.596 79.4995
2180.000000 82.689 70.1323
2200.000000 82.742 65.5022
2240.000000 82.860 56.3478
2270.000000 82.954 49.5731
2300.000000 83.048 42.9032
2330.000000 83.150 36.5204
2360.000000 83.339 30.5171
2400.000000 83.724 21.6475
2430.000000 83.929 14.4805
2470.000000 84.155 5.2573
2500.000000 84.338 -1.5280
2540.000000 84.596 -10.5392
2580.000000 84.869 -19.6049
2620.000000 85.146 -28.7511
2650.000000 85.351 -35.6544
2690.000000 85.616 -44.9418
2720.000000 85.809 -51.9822
2760.000000 86.052 -61.4725
2800.000000 86.268 -71.0591
2850.000000 86.491 -83.1392
2900.000000 86.645 -95.2429
2950.000000 86.716 -107.1934
3000.000000 86.731 -118.6387
3040.000000 86.790 -127.6902
3070.000000 86.799 -134.8147
3110.000000 86.701 -144.1113
3150.000000 86.554 -152.9141
3200.000000 86.345 -163.3931
3250.000000 86.112 -173.3853
3300.000000 85.860 177.1128
3350.000000 85.601 168.0728
3400.000000 85.336 159.4973
3450.000000 85.079 151.3604
3500.000000 84.829 143.6208
3550.000000 84.591 136.2612
3600.000000 84.375 129.2483
3650.000000 84.181 122.5649
3700.000000 84.017 116.1980
3750.000000 83.888 110.0813
3820.000000 83.777 101.7849
3870.000000 83.745 95.9133
3950.000000 83.745 86.3384
4000.000000 83.748 80.1907
4060.000000 83.722 72.6650
4120.000000 83.638 65.1370
4180.000000 83.491 57.7993
4250.000000 83.251 49.7424
4310.000000 83.014 43.3601
4370.000000 82.760 37.4680
4440.000000 82.468 31.2219
4500.000000 82.243 26.3481
4550.000000 82.077 22.5281
4620.000000 81.867 17.4836
4680.000000 81.698 13.4236
4750.000000 81.517 9.1116
4820.000000 81.378 5.2407
4870.000000 81.316 2.6611
4940.000000 81.274 -0.9204
5000.000000 81.241 -3.9907
5080.000000 81.200 -7.7070
5150.000000 81.212 -10.6470
5220.000000 81.276 -13.5684
5300.000000 81.374 -17.1624
5380.000000 81.422 -20.9214
5450.000000 81.422 -23.8628
5520.000000 81.443 -26.4717
5600.000000 81.494 -29.4680
5700.000000 81.499 -33.2017
5800.000000 81.453 -36.3210
