* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 6:29:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK EB2S Pro 1 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 85.321 -89.5961
20.299999 85.459 -89.8293
20.600000 85.619 -90.1409
20.900000 85.787 -90.6073
21.200001 85.948 -91.2508
21.400000 86.043 -91.7585
21.799999 86.190 -92.8441
22.000000 86.242 -93.3561
22.400000 86.315 -94.1780
22.700001 86.363 -94.5671
23.000000 86.424 -94.7883
23.299999 86.509 -94.9289
23.600000 86.620 -95.0988
24.000000 86.791 -95.5188
24.299999 86.917 -96.0124
24.700001 87.058 -96.8371
25.000000 87.139 -97.4848
25.400000 87.217 -98.2494
25.799999 87.283 -98.8204
26.200001 87.358 -99.2152
26.500000 87.428 -99.4516
26.900000 87.538 -99.7687
27.200001 87.628 -100.0411
27.600000 87.749 -100.4539
28.000000 87.868 -100.8922
28.500000 88.013 -101.4283
29.000000 88.164 -101.9615
29.500000 88.319 -102.5601
30.000000 88.461 -103.2554
30.400000 88.556 -103.8361
30.700001 88.615 -104.2420
31.100000 88.682 -104.6994
31.500000 88.746 -105.0481
32.000000 88.834 -105.3829
32.500000 88.933 -105.6989
33.000000 89.033 -106.0472
33.500000 89.129 -106.4175
34.000000 89.225 -106.8020
34.500000 89.321 -107.2291
35.000000 89.412 -107.7204
35.500000 89.490 -108.2421
36.000000 89.556 -108.7297
36.500000 89.622 -109.1520
37.000000 89.694 -109.5375
37.500000 89.774 -109.9346
38.200001 89.887 -110.5348
38.700001 89.965 -110.9644
39.500000 90.087 -111.5990
40.000000 90.165 -111.9612
40.599998 90.262 -112.3740
41.200001 90.361 -112.7818
41.799999 90.459 -113.2057
42.500000 90.566 -113.7244
43.099998 90.646 -114.1571
43.700001 90.718 -114.5337
44.400002 90.804 -114.8883
45.000000 90.887 -115.1859
45.500000 90.961 -115.4945
46.200001 91.055 -116.0409
46.799999 91.115 -116.5267
47.500000 91.174 -116.9877
48.200001 91.241 -117.3578
48.700001 91.296 -117.6316
49.400002 91.372 -118.0544
50.000000 91.433 -118.4131
50.799999 91.514 -118.8412
51.500000 91.589 -119.1954
52.200001 91.667 -119.5550
53.000000 91.754 -119.9657
53.799999 91.839 -120.3618
54.500000 91.914 -120.6984
55.200001 91.989 -121.0496
56.000000 92.069 -121.4879
57.000000 92.151 -122.0083
58.000000 92.231 -122.4238
59.000000 92.319 -122.8795
60.000000 92.393 -123.3775
60.799999 92.448 -123.7121
61.500000 92.502 -123.9926
62.200001 92.557 -124.3076
63.000000 92.615 -124.6834
64.000000 92.683 -125.0951
65.000000 92.760 -125.4774
66.000000 92.838 -125.9001
67.000000 92.909 -126.3275
68.000000 92.974 -126.7104
69.000000 93.039 -127.0468
70.000000 93.106 -127.3928
71.000000 93.167 -127.7486
72.000000 93.229 -128.0729
73.000000 93.294 -128.4439
74.000000 93.351 -128.8511
75.000000 93.404 -129.2073
76.199997 93.475 -129.5898
77.500000 93.559 -130.0228
78.800003 93.636 -130.4721
80.000000 93.696 -130.8489
81.199997 93.748 -131.1764
82.500000 93.803 -131.5038
83.800003 93.860 -131.8530
85.000000 93.913 -132.2331
86.199997 93.963 -132.6315
87.500000 94.019 -132.9975
88.500000 94.074 -133.2424
90.000000 94.157 -133.7258
91.199997 94.205 -134.0817
92.500000 94.252 -134.3845
93.800003 94.300 -134.6612
95.000000 94.348 -134.9349
96.199997 94.395 -135.2524
97.500000 94.441 -135.5899
98.800003 94.487 -135.8689
100.000000 94.534 -136.0870
101.500000 94.594 -136.3606
103.000000 94.653 -136.6573
104.400002 94.704 -136.9609
106.000000 94.760 -137.3404
107.500000 94.806 -137.6971
109.000000 94.851 -137.9987
110.599998 94.901 -138.3074
112.000000 94.939 -138.5992
113.800003 94.983 -138.9429
115.000000 95.016 -139.1602
117.199997 95.081 -139.5797
118.000000 95.104 -139.7314
120.599998 95.176 -140.1873
122.000000 95.210 -140.4547
124.099998 95.255 -140.8388
125.000000 95.276 -140.9842
126.500000 95.316 -141.2249
128.000000 95.359 -141.4662
131.500000 95.448 -142.0708
132.000000 95.459 -142.1502
134.000000 95.501 -142.4577
136.000000 95.544 -142.7582
138.000000 95.590 -143.0634
140.000000 95.633 -143.3514
143.000000 95.694 -143.7536
145.000000 95.732 -144.0064
147.500000 95.778 -144.3213
150.000000 95.828 -144.6670
152.500000 95.872 -145.0262
155.000000 95.915 -145.3560
157.500000 95.957 -145.6683
160.000000 95.997 -145.9743
162.500000 96.036 -146.2599
165.000000 96.076 -146.5289
167.500000 96.114 -146.7922
170.000000 96.151 -147.0629
172.500000 96.188 -147.3618
175.000000 96.223 -147.6772
177.500000 96.253 -147.9313
180.000000 96.285 -148.1183
182.500000 96.323 -148.3302
185.000000 96.362 -148.5938
187.500000 96.395 -148.8752
190.000000 96.424 -149.1281
192.500000 96.451 -149.3617
195.000000 96.481 -149.5899
197.500000 96.512 -149.8186
200.000000 96.540 -150.0412
203.000000 96.570 -150.2818
206.000000 96.602 -150.5264
209.000000 96.634 -150.7777
212.000000 96.668 -151.0313
214.000000 96.691 -151.1946
218.000000 96.733 -151.5119
220.000000 96.752 -151.6725
224.000000 96.791 -152.0059
227.000000 96.820 -152.2511
230.000000 96.847 -152.4830
233.000000 96.871 -152.7086
236.000000 96.896 -152.9333
240.000000 96.930 -153.2445
243.000000 96.954 -153.4803
247.000000 96.981 -153.7955
250.000000 96.999 -154.0269
254.000000 97.023 -154.3149
258.000000 97.052 -154.6038
262.000000 97.078 -154.9118
265.000000 97.095 -155.1448
269.000000 97.114 -155.4520
272.000000 97.125 -155.6882
276.000000 97.136 -156.0159
280.000000 97.145 -156.3392
285.000000 97.150 -156.7142
290.000000 97.150 -157.0756
295.000000 97.143 -157.4386
300.000000 97.128 -157.7688
304.000000 97.112 -157.9999
307.000000 97.094 -158.1638
311.000000 97.065 -158.3575
315.000000 97.031 -158.5037
320.000000 96.978 -158.6143
325.000000 96.913 -158.5691
330.000000 96.849 -158.3225
335.000000 96.802 -157.8630
340.000000 96.782 -157.2785
345.000000 96.793 -156.6769
350.000000 96.828 -156.1212
355.000000 96.882 -155.6473
360.000000 96.950 -155.2647
365.000000 97.027 -154.9734
370.000000 97.107 -154.7312
375.000000 97.190 -154.5712
382.000000 97.300 -154.4821
387.000000 97.375 -154.4546
395.000000 97.492 -154.4982
400.000000 97.564 -154.5677
406.000000 97.647 -154.6995
412.000000 97.725 -154.8791
418.000000 97.792 -155.1208
425.000000 97.854 -155.3813
431.000000 97.903 -155.5288
437.000000 97.952 -155.6751
444.000000 98.010 -155.8339
450.000000 98.059 -155.9664
455.000000 98.100 -156.0824
462.000000 98.157 -156.2566
468.000000 98.202 -156.3942
475.000000 98.256 -156.5578
482.000000 98.310 -156.7324
487.000000 98.348 -156.8567
494.000000 98.401 -157.0247
500.000000 98.446 -157.1678
508.000000 98.505 -157.3669
515.000000 98.557 -157.5536
522.000000 98.609 -157.7387
530.000000 98.668 -157.9646
538.000000 98.726 -158.2006
545.000000 98.776 -158.4159
552.000000 98.824 -158.6442
560.000000 98.878 -158.9209
570.000000 98.944 -159.2830
580.000000 99.008 -159.6486
590.000000 99.069 -160.0231
600.000000 99.125 -160.4261
608.000000 99.168 -160.7663
615.000000 99.205 -161.0725
622.000000 99.238 -161.3889
630.000000 99.273 -161.7542
640.000000 99.311 -162.2035
650.000000 99.346 -162.6384
660.000000 99.376 -163.0790
670.000000 99.401 -163.4994
680.000000 99.424 -163.9017
690.000000 99.448 -164.3083
700.000000 99.468 -164.7608
710.000000 99.483 -165.1981
720.000000 99.496 -165.6065
730.000000 99.503 -166.0096
740.000000 99.498 -166.3563
750.000000 99.485 -166.6626
762.000000 99.478 -167.0152
775.000000 99.474 -167.3572
788.000000 99.459 -167.6196
800.000000 99.448 -167.8027
812.000000 99.447 -167.9618
825.000000 99.456 -168.1544
838.000000 99.478 -168.4069
850.000000 99.505 -168.7395
862.000000 99.516 -169.1732
875.000000 99.495 -169.6790
885.000000 99.460 -170.0267
900.000000 99.383 -170.3403
912.000000 99.322 -170.3363
925.000000 99.276 -170.1711
938.000000 99.252 -169.9658
950.000000 99.243 -169.8075
962.000000 99.241 -169.6882
975.000000 99.248 -169.5805
988.000000 99.261 -169.4796
1000.000000 99.277 -169.3900
1015.000000 99.299 -169.2920
1030.000000 99.326 -169.1871
1044.000000 99.355 -169.0999
1060.000000 99.393 -169.0085
1075.000000 99.437 -168.9450
1090.000000 99.488 -168.9106
1106.000000 99.548 -168.9123
1120.000000 99.605 -168.9435
1138.000000 99.681 -168.9924
1150.000000 99.730 -169.0533
1172.000000 99.817 -169.2570
1180.000000 99.848 -169.3448
1206.000000 99.945 -169.6588
1220.000000 100.004 -169.8451
1241.000000 100.098 -170.2190
1250.000000 100.137 -170.4071
1265.000000 100.200 -170.7607
1280.000000 100.261 -171.1672
1315.000000 100.384 -172.2493
1320.000000 100.399 -172.4204
1340.000000 100.452 -173.1309
1360.000000 100.495 -173.8625
1380.000000 100.531 -174.6100
1400.000000 100.558 -175.3799
1430.000000 100.576 -176.6038
1450.000000 100.570 -177.4240
1475.000000 100.549 -178.4023
1500.000000 100.517 -179.3713
1525.000000 100.468 179.6849
1550.000000 100.405 178.7858
1575.000000 100.328 177.9489
1600.000000 100.238 177.1625
1625.000000 100.132 176.4658
1650.000000 100.018 175.9010
1675.000000 99.903 175.4059
1700.000000 99.780 174.9929
1725.000000 99.657 174.7050
1750.000000 99.534 174.4734
1775.000000 99.403 174.3209
1800.000000 99.269 174.3074
1825.000000 99.142 174.4009
1850.000000 99.023 174.5449
1875.000000 98.915 174.7392
1900.000000 98.813 174.9830
1925.000000 98.712 175.2958
1950.000000 98.619 175.6794
1975.000000 98.535 176.1145
2000.000000 98.459 176.5944
2030.000000 98.379 177.2083
2060.000000 98.309 177.8754
2090.000000 98.247 178.5937
2120.000000 98.202 179.4144
2140.000000 98.186 179.9764
2180.000000 98.177 -178.9553
2200.000000 98.181 -178.4432
2240.000000 98.197 -177.4320
2270.000000 98.224 -176.6563
2300.000000 98.265 -175.9016
2330.000000 98.319 -175.1741
2360.000000 98.385 -174.4727
2400.000000 98.499 -173.6111
2430.000000 98.597 -173.0620
2470.000000 98.743 -172.4357
2500.000000 98.861 -172.0800
2540.000000 99.025 -171.7457
2580.000000 99.189 -171.5688
2620.000000 99.359 -171.4729
2650.000000 99.497 -171.5116
2690.000000 99.682 -171.7781
2720.000000 99.815 -172.0943
2760.000000 99.975 -172.6300
2800.000000 100.116 -173.2846
2850.000000 100.270 -174.2865
2900.000000 100.387 -175.4045
2950.000000 100.480 -176.5633
3000.000000 100.548 -177.8070
3040.000000 100.582 -178.8527
3070.000000 100.591 -179.6707
3110.000000 100.578 179.2616
3150.000000 100.543 178.2528
3200.000000 100.471 177.0999
3250.000000 100.371 176.0972
3300.000000 100.245 175.2928
3350.000000 100.103 174.7840
3400.000000 99.967 174.6077
3450.000000 99.864 174.7271
3500.000000 99.819 174.9036
3550.000000 99.807 174.8258
3600.000000 99.781 174.5064
3650.000000 99.722 174.1734
3700.000000 99.643 173.9945
3750.000000 99.564 174.0105
3820.000000 99.477 174.2592
3870.000000 99.435 174.5392
3950.000000 99.415 175.0113
4000.000000 99.437 175.2194
4060.000000 99.478 175.3622
4120.000000 99.515 175.4608
4180.000000 99.560 175.5190
4250.000000 99.630 175.5372
4310.000000 99.703 175.5221
4370.000000 99.789 175.4802
4440.000000 99.924 175.3350
4500.000000 100.063 175.0119
4550.000000 100.188 174.6321
4620.000000 100.393 173.9024
4680.000000 100.592 172.9340
4750.000000 100.825 171.3361
4820.000000 101.050 169.3065
4870.000000 101.203 167.5452
4940.000000 101.392 164.5860
5000.000000 101.515 161.5992
