* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 6:14:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: NiceHCK EB2S Pro 1 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 90.620 -101.4707
20.299999 90.742 -101.8600
20.600000 90.876 -102.3863
20.900000 91.003 -103.0666
21.200001 91.109 -103.8438
21.400000 91.165 -104.3669
21.799999 91.250 -105.3036
22.000000 91.285 -105.6845
22.400000 91.363 -106.2785
22.700001 91.439 -106.6482
23.000000 91.528 -107.0345
23.299999 91.623 -107.4838
23.600000 91.713 -107.9967
24.000000 91.817 -108.7080
24.299999 91.884 -109.1970
24.700001 91.971 -109.7426
25.000000 92.045 -110.0942
25.400000 92.157 -110.5687
25.799999 92.277 -111.1251
26.200001 92.387 -111.7641
26.500000 92.458 -112.2538
26.900000 92.541 -112.8552
27.200001 92.600 -113.2487
27.600000 92.684 -113.7194
28.000000 92.776 -114.1840
28.500000 92.891 -114.8167
29.000000 92.995 -115.4955
29.500000 93.088 -116.1717
30.000000 93.171 -116.8220
30.400000 93.230 -117.3127
30.700001 93.271 -117.6499
31.100000 93.325 -118.0434
31.500000 93.385 -118.3831
32.000000 93.478 -118.8162
32.500000 93.581 -119.3720
33.000000 93.672 -120.0613
33.500000 93.737 -120.7578
34.000000 93.789 -121.3382
34.500000 93.849 -121.8099
35.000000 93.923 -122.2768
35.500000 93.999 -122.7998
36.000000 94.069 -123.3484
36.500000 94.133 -123.8764
37.000000 94.197 -124.3876
37.500000 94.257 -124.9018
38.200001 94.326 -125.5694
38.700001 94.373 -125.9498
39.500000 94.467 -126.4818
40.000000 94.533 -126.8681
40.599998 94.603 -127.3788
41.200001 94.664 -127.8635
41.799999 94.728 -128.3268
42.500000 94.800 -128.9082
43.099998 94.851 -129.3992
43.700001 94.900 -129.8237
44.400002 94.972 -130.3145
45.000000 95.034 -130.8203
45.500000 95.074 -131.2596
46.200001 95.120 -131.7697
46.799999 95.170 -132.1272
47.500000 95.241 -132.6105
48.200001 95.300 -133.1767
48.700001 95.331 -133.5480
49.400002 95.374 -133.9758
50.000000 95.416 -134.3090
50.799999 95.472 -134.7635
51.500000 95.518 -135.1511
52.200001 95.565 -135.5384
53.000000 95.615 -135.9999
53.799999 95.658 -136.4439
54.500000 95.696 -136.8157
55.200001 95.735 -137.1999
56.000000 95.775 -137.6416
57.000000 95.826 -138.1616
58.000000 95.881 -138.6929
59.000000 95.929 -139.2242
60.000000 95.978 -139.6973
60.799999 96.022 -140.0760
61.500000 96.058 -140.4261
62.200001 96.090 -140.7681
63.000000 96.124 -141.1337
64.000000 96.168 -141.5826
65.000000 96.208 -142.0313
66.000000 96.245 -142.4656
67.000000 96.280 -142.8754
68.000000 96.316 -143.2638
69.000000 96.353 -143.6657
70.000000 96.384 -144.0550
71.000000 96.416 -144.4067
72.000000 96.453 -144.7715
73.000000 96.487 -145.1598
74.000000 96.516 -145.5396
75.000000 96.545 -145.8913
76.199997 96.581 -146.2834
77.500000 96.621 -146.7016
78.800003 96.657 -147.1226
80.000000 96.686 -147.4802
81.199997 96.716 -147.8588
82.500000 96.740 -148.2739
83.800003 96.768 -148.6367
85.000000 96.800 -148.9863
86.199997 96.830 -149.3362
87.500000 96.862 -149.6910
88.500000 96.884 -149.9382
90.000000 96.918 -150.2782
91.199997 96.940 -150.5909
92.500000 96.957 -150.9210
93.800003 96.973 -151.2626
95.000000 96.985 -151.5566
96.199997 97.004 -151.8327
97.500000 97.028 -152.1407
98.800003 97.051 -152.4473
100.000000 97.072 -152.7076
101.500000 97.096 -153.0251
103.000000 97.118 -153.3308
104.400002 97.137 -153.6176
106.000000 97.157 -153.9405
107.500000 97.174 -154.2259
109.000000 97.192 -154.5003
110.599998 97.211 -154.7928
112.000000 97.228 -155.0500
113.800003 97.246 -155.3717
115.000000 97.257 -155.5731
117.199997 97.280 -155.9133
118.000000 97.290 -156.0338
120.599998 97.322 -156.4629
122.000000 97.335 -156.6946
124.099998 97.353 -157.0184
125.000000 97.360 -157.1562
126.500000 97.372 -157.3811
128.000000 97.383 -157.5919
131.500000 97.410 -158.0436
132.000000 97.414 -158.1032
134.000000 97.429 -158.3512
136.000000 97.441 -158.6193
138.000000 97.452 -158.8694
140.000000 97.465 -159.1143
143.000000 97.483 -159.4477
145.000000 97.496 -159.6674
147.500000 97.510 -159.9621
150.000000 97.519 -160.2105
152.500000 97.531 -160.4145
155.000000 97.542 -160.6384
157.500000 97.553 -160.8834
160.000000 97.565 -161.1160
162.500000 97.576 -161.3386
165.000000 97.586 -161.5473
167.500000 97.598 -161.7672
170.000000 97.608 -161.9721
172.500000 97.614 -162.1468
175.000000 97.621 -162.3381
177.500000 97.633 -162.5329
180.000000 97.649 -162.7129
182.500000 97.658 -162.8716
185.000000 97.658 -163.0103
187.500000 97.661 -163.1600
190.000000 97.668 -163.3371
192.500000 97.676 -163.4961
195.000000 97.684 -163.6290
197.500000 97.692 -163.7760
200.000000 97.699 -163.9272
203.000000 97.705 -164.0913
206.000000 97.710 -164.2490
209.000000 97.715 -164.4088
212.000000 97.720 -164.5590
214.000000 97.725 -164.6549
218.000000 97.735 -164.8442
220.000000 97.739 -164.9316
224.000000 97.748 -165.1090
227.000000 97.752 -165.2376
230.000000 97.755 -165.3527
233.000000 97.761 -165.4823
236.000000 97.766 -165.6172
240.000000 97.771 -165.7745
243.000000 97.773 -165.9106
247.000000 97.777 -166.0869
250.000000 97.780 -166.2147
254.000000 97.782 -166.3735
258.000000 97.781 -166.5311
262.000000 97.779 -166.6729
265.000000 97.777 -166.7762
269.000000 97.771 -166.9305
272.000000 97.764 -167.0552
276.000000 97.755 -167.2076
280.000000 97.744 -167.3430
285.000000 97.724 -167.5130
290.000000 97.696 -167.6575
295.000000 97.658 -167.7795
300.000000 97.612 -167.8409
304.000000 97.569 -167.8401
307.000000 97.533 -167.8016
311.000000 97.480 -167.6761
315.000000 97.423 -167.4444
320.000000 97.366 -166.9796
325.000000 97.334 -166.3287
330.000000 97.331 -165.5723
335.000000 97.358 -164.8090
340.000000 97.414 -164.1228
345.000000 97.492 -163.5488
350.000000 97.584 -163.0993
355.000000 97.682 -162.7901
360.000000 97.783 -162.6207
365.000000 97.880 -162.5720
370.000000 97.967 -162.6042
375.000000 98.045 -162.6884
382.000000 98.139 -162.8634
387.000000 98.199 -163.0017
395.000000 98.285 -163.2260
400.000000 98.333 -163.3687
406.000000 98.387 -163.5224
412.000000 98.436 -163.6790
418.000000 98.483 -163.8381
425.000000 98.535 -164.0181
431.000000 98.578 -164.1671
437.000000 98.618 -164.3147
444.000000 98.665 -164.4897
450.000000 98.704 -164.6369
455.000000 98.736 -164.7480
462.000000 98.780 -164.9081
468.000000 98.818 -165.0642
475.000000 98.860 -165.2395
482.000000 98.901 -165.4012
487.000000 98.929 -165.5179
494.000000 98.969 -165.6935
500.000000 99.002 -165.8490
508.000000 99.046 -166.0581
515.000000 99.085 -166.2423
522.000000 99.123 -166.4329
530.000000 99.165 -166.6546
538.000000 99.205 -166.8790
545.000000 99.240 -167.0889
552.000000 99.275 -167.2964
560.000000 99.315 -167.5381
570.000000 99.360 -167.8463
580.000000 99.403 -168.1400
590.000000 99.450 -168.4515
600.000000 99.499 -168.8085
608.000000 99.537 -169.1177
615.000000 99.570 -169.4260
622.000000 99.600 -169.7643
630.000000 99.626 -170.1389
640.000000 99.642 -170.5405
650.000000 99.651 -170.9010
660.000000 99.660 -171.2626
670.000000 99.670 -171.5992
680.000000 99.679 -171.9121
690.000000 99.688 -172.1981
700.000000 99.701 -172.4857
710.000000 99.716 -172.8096
720.000000 99.725 -173.1655
730.000000 99.731 -173.4939
740.000000 99.741 -173.8434
750.000000 99.745 -174.2847
762.000000 99.725 -174.8304
775.000000 99.680 -175.2779
788.000000 99.633 -175.5510
800.000000 99.596 -175.7116
812.000000 99.567 -175.8051
825.000000 99.546 -175.8826
838.000000 99.530 -175.9749
850.000000 99.517 -176.0502
862.000000 99.512 -176.1263
875.000000 99.510 -176.2316
885.000000 99.504 -176.3181
900.000000 99.486 -176.4546
912.000000 99.466 -176.5175
925.000000 99.445 -176.5136
938.000000 99.438 -176.4799
950.000000 99.444 -176.4683
962.000000 99.455 -176.4638
975.000000 99.470 -176.4684
988.000000 99.485 -176.4679
1000.000000 99.499 -176.4534
1015.000000 99.515 -176.4362
1030.000000 99.537 -176.4248
1044.000000 99.563 -176.4242
1060.000000 99.597 -176.4498
1075.000000 99.634 -176.5134
1090.000000 99.670 -176.6098
1106.000000 99.710 -176.7213
1120.000000 99.748 -176.8182
1138.000000 99.802 -176.9675
1150.000000 99.838 -177.1068
1172.000000 99.906 -177.4126
1180.000000 99.932 -177.5365
1206.000000 100.012 -178.1127
1220.000000 100.050 -178.4576
1241.000000 100.103 -178.9789
1250.000000 100.124 -179.2108
1265.000000 100.159 -179.6212
1280.000000 100.194 179.9201
1315.000000 100.253 178.7321
1320.000000 100.259 178.5558
1340.000000 100.280 177.8292
1360.000000 100.288 177.0770
1380.000000 100.286 176.3239
1400.000000 100.281 175.5465
1430.000000 100.247 174.3196
1450.000000 100.207 173.5482
1475.000000 100.147 172.6293
1500.000000 100.077 171.7275
1525.000000 99.988 170.8424
1550.000000 99.884 170.0566
1575.000000 99.774 169.3626
1600.000000 99.657 168.6988
1625.000000 99.529 168.1075
1650.000000 99.390 167.6028
1675.000000 99.242 167.1950
1700.000000 99.087 166.9039
1725.000000 98.937 166.6937
1750.000000 98.794 166.5300
1775.000000 98.645 166.4286
1800.000000 98.492 166.4513
1825.000000 98.344 166.5831
1850.000000 98.202 166.7831
1875.000000 98.065 167.0630
1900.000000 97.935 167.4147
1925.000000 97.812 167.8182
1950.000000 97.695 168.2787
1975.000000 97.585 168.7941
2000.000000 97.484 169.3754
2030.000000 97.378 170.1065
2060.000000 97.284 170.8672
2090.000000 97.198 171.6281
2120.000000 97.118 172.4498
2140.000000 97.072 173.0165
2180.000000 96.991 174.2017
2200.000000 96.960 174.8302
2240.000000 96.914 176.1240
2270.000000 96.898 177.1301
2300.000000 96.901 178.1244
2330.000000 96.918 179.0795
2360.000000 96.947 -179.9781
2400.000000 97.011 -178.7837
2430.000000 97.068 -177.9979
2470.000000 97.151 -176.9775
2500.000000 97.227 -176.2378
2540.000000 97.346 -175.3691
2580.000000 97.472 -174.6392
2620.000000 97.606 -174.0058
2650.000000 97.710 -173.6277
2690.000000 97.847 -173.1967
2720.000000 97.954 -172.9124
2760.000000 98.100 -172.6310
2800.000000 98.251 -172.4335
2850.000000 98.447 -172.4007
2900.000000 98.632 -172.5992
2950.000000 98.803 -172.9647
3000.000000 98.954 -173.4910
3040.000000 99.058 -174.0035
3070.000000 99.124 -174.4144
3110.000000 99.199 -174.9704
3150.000000 99.260 -175.5463
3200.000000 99.310 -176.2013
3250.000000 99.360 -176.7006
3300.000000 99.426 -177.2251
3350.000000 99.494 -177.9031
3400.000000 99.543 -178.7443
3450.000000 99.558 -179.5697
3500.000000 99.547 179.7054
3550.000000 99.516 179.0725
3600.000000 99.477 178.5516
3650.000000 99.429 178.1266
3700.000000 99.376 177.8369
3750.000000 99.329 177.6472
3820.000000 99.286 177.4711
3870.000000 99.269 177.4016
3950.000000 99.257 177.3103
4000.000000 99.257 177.2777
4060.000000 99.268 177.2557
4120.000000 99.293 177.2565
4180.000000 99.332 177.2138
4250.000000 99.393 177.1482
4310.000000 99.460 177.0521
4370.000000 99.548 176.9334
4440.000000 99.679 176.7096
4500.000000 99.809 176.3953
4550.000000 99.929 176.0079
4620.000000 100.118 175.2562
4680.000000 100.297 174.3687
4750.000000 100.525 172.9845
4820.000000 100.762 171.0961
4870.000000 100.923 169.3984
4940.000000 101.116 166.5270
5000.000000 101.237 163.6904
5080.000000 101.331 159.3637
