* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jan 19, 2024 7:43:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Valbuds L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 58.973 106.6026
20.600000 59.092 106.7913
20.900000 59.220 107.0908
21.200001 59.345 107.5124
21.400000 59.433 107.8509
21.799999 59.637 108.5666
22.000000 59.756 108.8831
22.400000 60.014 109.3152
22.700001 60.207 109.4489
23.000000 60.383 109.4816
23.299999 60.536 109.5125
23.600000 60.672 109.6299
24.000000 60.846 109.9669
24.299999 60.985 110.2970
24.700001 61.183 110.6783
25.000000 61.329 110.8433
25.400000 61.501 110.9218
25.799999 61.640 110.9933
26.200001 61.766 111.2263
26.500000 61.872 111.5289
26.900000 62.050 111.9997
27.200001 62.208 112.3041
27.600000 62.430 112.5644
28.000000 62.639 112.6989
28.500000 62.865 112.8940
29.000000 63.072 113.2810
29.500000 63.295 113.7779
30.000000 63.538 114.1636
30.400000 63.734 114.3074
30.700001 63.875 114.3303
31.100000 64.050 114.2981
31.500000 64.213 114.2614
32.000000 64.407 114.2843
32.500000 64.604 114.4026
33.000000 64.811 114.5673
33.500000 65.020 114.7306
34.000000 65.220 114.9172
34.500000 65.414 115.1901
35.000000 65.616 115.5246
35.500000 65.832 115.7669
36.000000 66.043 115.7870
36.500000 66.223 115.6441
37.000000 66.369 115.5447
37.500000 66.512 115.6263
38.200001 66.757 115.8736
38.700001 66.958 115.9267
39.500000 67.257 115.8014
40.000000 67.425 115.7783
40.599998 67.627 115.8634
41.200001 67.836 115.9600
41.799999 68.041 116.0007
42.500000 68.269 116.0314
43.099998 68.465 116.0702
43.700001 68.667 116.0804
44.400002 68.901 116.0345
45.000000 69.092 115.9906
45.500000 69.245 115.9802
46.200001 69.456 115.9907
46.799999 69.635 115.9819
47.500000 69.843 115.9255
48.200001 70.048 115.8395
48.700001 70.193 115.7746
49.400002 70.396 115.6765
50.000000 70.569 115.5732
50.799999 70.796 115.4043
51.500000 70.993 115.2450
52.200001 71.188 115.0911
53.000000 71.408 114.9263
53.799999 71.624 114.7661
54.500000 71.809 114.6219
55.200001 71.992 114.4727
56.000000 72.200 114.2939
57.000000 72.461 114.0369
58.000000 72.714 113.7395
59.000000 72.955 113.4628
60.000000 73.195 113.2283
60.799999 73.387 113.0173
61.500000 73.553 112.8012
62.200001 73.717 112.5764
63.000000 73.903 112.3234
64.000000 74.134 111.9821
65.000000 74.357 111.6060
66.000000 74.574 111.2422
67.000000 74.790 110.8804
68.000000 75.002 110.5083
69.000000 75.214 110.1336
70.000000 75.425 109.7290
71.000000 75.630 109.3080
72.000000 75.829 108.8916
73.000000 76.025 108.4687
74.000000 76.217 108.0396
75.000000 76.406 107.6121
76.199997 76.630 107.0906
77.500000 76.868 106.5129
78.800003 77.103 105.9306
80.000000 77.316 105.3731
81.199997 77.522 104.7822
82.500000 77.742 104.1453
83.800003 77.958 103.5159
85.000000 78.155 102.9156
86.199997 78.345 102.2973
87.500000 78.547 101.6201
88.500000 78.700 101.0836
90.000000 78.927 100.2822
91.199997 79.103 99.6439
92.500000 79.285 98.9595
93.800003 79.466 98.2697
95.000000 79.629 97.6335
96.199997 79.788 97.0101
97.500000 79.957 96.3285
98.800003 80.120 95.6267
100.000000 80.264 94.9763
101.500000 80.440 94.1558
103.000000 80.612 93.3238
104.400002 80.770 92.5418
106.000000 80.947 91.6475
107.500000 81.107 90.8170
109.000000 81.259 89.9969
110.599998 81.416 89.1181
112.000000 81.553 88.3453
113.800003 81.723 87.3694
115.000000 81.830 86.7245
117.199997 82.023 85.5213
118.000000 82.092 85.0849
120.599998 82.306 83.7052
122.000000 82.415 82.9711
124.099998 82.575 81.8820
125.000000 82.641 81.4150
126.500000 82.746 80.6254
128.000000 82.847 79.8511
131.500000 83.075 78.1034
132.000000 83.106 77.8574
134.000000 83.227 76.8670
136.000000 83.345 75.8916
138.000000 83.458 74.9359
140.000000 83.565 73.9898
143.000000 83.716 72.6018
145.000000 83.813 71.6959
147.500000 83.928 70.5908
150.000000 84.038 69.5231
152.500000 84.142 68.4373
155.000000 84.240 67.3739
157.500000 84.333 66.3642
160.000000 84.421 65.3720
162.500000 84.506 64.3975
165.000000 84.586 63.4430
167.500000 84.663 62.5147
170.000000 84.737 61.6094
172.500000 84.805 60.7221
175.000000 84.870 59.8516
177.500000 84.933 58.9985
180.000000 84.994 58.1629
182.500000 85.052 57.3559
185.000000 85.106 56.5724
187.500000 85.157 55.7985
190.000000 85.207 55.0411
192.500000 85.254 54.2974
195.000000 85.299 53.5699
197.500000 85.342 52.8580
200.000000 85.385 52.1573
203.000000 85.433 51.3337
206.000000 85.480 50.5343
209.000000 85.522 49.7667
212.000000 85.559 49.0082
214.000000 85.583 48.5108
218.000000 85.630 47.5421
220.000000 85.651 47.0710
224.000000 85.692 46.1538
227.000000 85.720 45.4919
230.000000 85.747 44.8534
233.000000 85.772 44.2312
236.000000 85.794 43.6229
240.000000 85.823 42.8165
243.000000 85.844 42.2499
247.000000 85.869 41.5175
250.000000 85.888 40.9811
254.000000 85.912 40.2949
258.000000 85.934 39.6393
262.000000 85.955 38.9970
265.000000 85.971 38.5268
269.000000 85.993 37.9132
272.000000 86.009 37.4639
276.000000 86.027 36.8755
280.000000 86.044 36.2964
285.000000 86.067 35.5935
290.000000 86.089 34.9058
295.000000 86.110 34.2195
300.000000 86.129 33.5384
304.000000 86.141 32.9943
307.000000 86.148 32.5921
311.000000 86.156 32.0618
315.000000 86.160 31.5399
320.000000 86.161 30.9040
325.000000 86.156 30.2908
330.000000 86.147 29.7093
335.000000 86.132 29.1631
340.000000 86.115 28.6590
345.000000 86.094 28.2087
350.000000 86.072 27.8103
355.000000 86.050 27.4584
360.000000 86.031 27.1558
365.000000 86.014 26.8945
370.000000 86.001 26.6660
375.000000 85.994 26.4594
382.000000 85.991 26.1816
387.000000 85.993 25.9835
395.000000 86.000 25.6614
400.000000 86.008 25.4581
406.000000 86.020 25.2164
412.000000 86.036 24.9643
418.000000 86.054 24.6740
425.000000 86.071 24.2782
431.000000 86.078 23.9333
437.000000 86.082 23.6133
444.000000 86.087 23.2621
450.000000 86.091 22.9714
455.000000 86.093 22.7309
462.000000 86.095 22.3980
468.000000 86.095 22.1195
475.000000 86.093 21.8000
482.000000 86.089 21.4881
487.000000 86.085 21.2735
494.000000 86.078 20.9856
500.000000 86.071 20.7495
508.000000 86.059 20.4490
515.000000 86.047 20.2033
522.000000 86.033 19.9763
530.000000 86.015 19.7378
538.000000 85.993 19.5202
545.000000 85.971 19.3637
552.000000 85.944 19.2564
560.000000 85.913 19.2281
570.000000 85.887 19.3866
580.000000 85.904 19.6541
590.000000 85.961 19.7256
600.000000 86.018 19.5196
608.000000 86.047 19.2690
615.000000 86.062 19.0465
622.000000 86.072 18.8400
630.000000 86.080 18.6212
640.000000 86.089 18.3583
650.000000 86.096 18.0893
660.000000 86.097 17.8067
670.000000 86.093 17.5174
680.000000 86.081 17.2395
690.000000 86.064 16.9943
700.000000 86.041 16.7828
710.000000 86.018 16.6089
720.000000 85.994 16.4481
730.000000 85.968 16.2771
740.000000 85.936 16.1480
750.000000 85.903 16.0809
762.000000 85.867 16.0564
775.000000 85.834 16.0766
788.000000 85.808 16.1224
800.000000 85.790 16.1753
812.000000 85.779 16.2284
825.000000 85.774 16.2586
838.000000 85.770 16.2284
850.000000 85.762 16.1757
862.000000 85.756 16.1422
875.000000 85.753 15.9997
885.000000 85.737 15.7846
900.000000 85.672 15.5189
912.000000 85.605 15.5234
925.000000 85.541 15.6951
938.000000 85.490 15.9479
950.000000 85.453 16.2182
962.000000 85.425 16.5073
975.000000 85.404 16.8136
988.000000 85.390 17.0923
1000.000000 85.378 17.3284
1015.000000 85.364 17.6288
1030.000000 85.352 17.9376
1044.000000 85.344 18.2214
1060.000000 85.337 18.5602
1075.000000 85.334 18.8849
1090.000000 85.334 19.2069
1106.000000 85.336 19.5470
1120.000000 85.340 19.8400
1138.000000 85.350 20.2093
1150.000000 85.358 20.4531
1172.000000 85.377 20.8728
1180.000000 85.384 21.0151
1206.000000 85.404 21.4868
1220.000000 85.417 21.7681
1241.000000 85.444 22.1700
1250.000000 85.457 22.3309
1265.000000 85.480 22.5896
1280.000000 85.504 22.8306
1315.000000 85.564 23.3075
1320.000000 85.572 23.3695
1340.000000 85.606 23.5826
1360.000000 85.633 23.7529
1380.000000 85.655 23.9345
1400.000000 85.677 24.1172
1430.000000 85.706 24.3480
1450.000000 85.719 24.4816
1475.000000 85.728 24.6336
1500.000000 85.724 24.7867
1525.000000 85.709 25.0075
1550.000000 85.694 25.2614
1575.000000 85.669 25.5036
1600.000000 85.626 25.8190
1625.000000 85.575 26.2674
1650.000000 85.523 26.8383
1675.000000 85.476 27.5073
1700.000000 85.429 28.2269
1725.000000 85.373 29.0591
1750.000000 85.322 30.1006
1775.000000 85.285 31.2924
1800.000000 85.268 32.6139
1825.000000 85.271 34.0233
1850.000000 85.294 35.4918
1875.000000 85.337 37.0572
1900.000000 85.410 38.6673
1925.000000 85.510 40.2894
1950.000000 85.640 41.8692
1975.000000 85.787 43.3544
2000.000000 85.948 44.8245
2030.000000 86.172 46.5761
2060.000000 86.424 48.1710
2090.000000 86.696 49.7242
2120.000000 87.006 51.1627
2140.000000 87.225 51.9933
2180.000000 87.677 53.4302
2200.000000 87.915 54.0688
2240.000000 88.414 55.0750
2270.000000 88.794 55.5926
2300.000000 89.180 55.9897
2330.000000 89.575 56.2103
2360.000000 89.975 56.2726
2400.000000 90.518 56.0847
2430.000000 90.932 55.7481
2470.000000 91.492 54.9179
2500.000000 91.897 54.0137
2540.000000 92.421 52.5907
2580.000000 92.940 50.8501
2620.000000 93.439 48.7113
2650.000000 93.793 46.8753
2690.000000 94.236 44.1146
2720.000000 94.536 41.7945
2760.000000 94.879 38.4734
2800.000000 95.164 34.9637
2850.000000 95.408 30.3837
2900.000000 95.565 26.0682
2950.000000 95.680 21.6454
3000.000000 95.687 17.1114
3040.000000 95.617 13.6637
3070.000000 95.529 11.2323
3110.000000 95.372 8.2282
3150.000000 95.180 5.5353
3200.000000 94.909 2.5817
3250.000000 94.615 0.0756
3300.000000 94.313 -1.9991
3350.000000 94.016 -3.7210
3400.000000 93.723 -5.1714
3450.000000 93.435 -6.3243
3500.000000 93.162 -7.2327
3550.000000 92.900 -7.9101
3600.000000 92.658 -8.3736
3650.000000 92.436 -8.6788
3700.000000 92.233 -8.8321
3750.000000 92.054 -8.8406
3820.000000 91.849 -8.7143
3870.000000 91.734 -8.5698
3950.000000 91.596 -8.3441
4000.000000 91.534 -8.2302
4060.000000 91.478 -8.1677
4120.000000 91.424 -8.1401
4180.000000 91.388 -8.0137
4250.000000 91.382 -7.9165
4310.000000 91.387 -7.9897
4370.000000 91.379 -8.0230
4440.000000 91.391 -7.7876
4500.000000 91.451 -7.4316
4550.000000 91.550 -7.1419
4620.000000 91.763 -6.9949
4680.000000 91.996 -7.2789
4750.000000 92.289 -8.1656
4820.000000 92.582 -9.5526
4870.000000 92.790 -10.7954
4940.000000 93.079 -12.9587
5000.000000 93.312 -15.1947
5080.000000 93.604 -18.8096
5150.000000 93.802 -22.6749
5220.000000 93.906 -27.0932
5300.000000 93.883 -32.5423
5380.000000 93.698 -38.1540
5450.000000 93.399 -42.9722
5520.000000 92.970 -47.4486
5600.000000 92.370 -51.8546
5700.000000 91.509 -56.3445
5800.000000 90.567 -59.6679
5900.000000 89.589 -61.7899
6000.000000 88.634 -62.8065
6080.000000 87.904 -63.0984
6150.000000 87.284 -62.9802
6220.000000 86.691 -62.5461
6300.000000 86.047 -61.7486
6400.000000 85.297 -60.3590
6500.000000 84.601 -58.6821
6600.000000 83.949 -56.6488
6700.000000 83.357 -54.3134
