* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -10.0 dBFS with no timing reference
* Dated: Jan 19, 2024 7:51:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Valbuds R3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 57.068 119.5424
20.600000 57.297 119.2528
20.900000 57.546 118.8109
21.200001 57.764 118.4146
21.400000 57.891 118.2716
21.799999 58.116 118.4283
22.000000 58.222 118.7381
22.400000 58.441 119.7025
22.700001 58.611 120.5771
23.000000 58.781 121.4591
23.299999 58.946 122.2963
23.600000 59.107 123.0837
24.000000 59.338 124.0502
24.299999 59.543 124.6539
24.700001 59.871 125.1265
25.000000 60.144 125.1359
25.400000 60.500 124.7162
25.799999 60.803 124.0756
26.200001 61.038 123.6301
26.500000 61.188 123.6107
26.900000 61.396 124.0101
27.200001 61.576 124.4702
27.600000 61.845 124.9894
28.000000 62.104 125.1979
28.500000 62.354 125.1529
29.000000 62.530 125.2390
29.500000 62.714 125.6814
30.000000 62.973 126.1678
30.400000 63.220 126.2988
30.700001 63.405 126.2167
31.100000 63.628 125.9778
31.500000 63.818 125.7788
32.000000 64.035 125.7634
32.500000 64.260 125.9508
33.000000 64.504 126.1207
33.500000 64.750 126.1439
34.000000 64.984 126.0707
34.500000 65.212 126.0235
35.000000 65.446 126.0512
35.500000 65.694 126.0893
36.000000 65.945 126.0436
36.500000 66.177 125.8965
37.000000 66.381 125.7226
37.500000 66.570 125.5964
38.200001 66.840 125.4576
38.700001 67.038 125.3045
39.500000 67.341 125.0600
40.000000 67.529 125.0411
40.599998 67.776 125.0988
41.200001 68.037 125.0316
41.799999 68.269 124.8054
42.500000 68.489 124.6084
43.099998 68.671 124.5840
43.700001 68.875 124.4723
44.400002 69.120 124.0286
45.000000 69.313 123.5700
45.500000 69.474 123.3282
46.200001 69.723 123.2255
46.799999 69.954 123.1821
47.500000 70.208 123.0331
48.200001 70.435 122.7873
48.700001 70.587 122.5721
49.400002 70.798 122.2400
50.000000 70.982 121.9669
50.799999 71.230 121.6340
51.500000 71.440 121.3232
52.200001 71.633 120.9979
53.000000 71.849 120.6528
53.799999 72.075 120.2861
54.500000 72.272 119.9171
55.200001 72.457 119.5608
56.000000 72.663 119.2132
57.000000 72.925 118.7882
58.000000 73.191 118.3061
59.000000 73.450 117.7693
60.000000 73.694 117.1895
60.799999 73.878 116.7535
61.500000 74.038 116.4319
62.200001 74.200 116.1475
63.000000 74.388 115.7925
64.000000 74.619 115.2458
65.000000 74.843 114.6479
66.000000 75.064 114.0667
67.000000 75.276 113.5121
68.000000 75.479 112.9623
69.000000 75.679 112.3923
70.000000 75.879 111.7982
71.000000 76.075 111.2109
72.000000 76.265 110.6493
73.000000 76.453 110.0967
74.000000 76.641 109.5409
75.000000 76.827 108.9641
76.199997 77.043 108.2586
77.500000 77.269 107.5013
78.800003 77.491 106.7369
80.000000 77.692 106.0127
81.199997 77.886 105.2718
82.500000 78.090 104.4866
83.800003 78.290 103.6971
85.000000 78.467 102.9384
86.199997 78.641 102.1992
87.500000 78.830 101.4278
88.500000 78.973 100.8315
90.000000 79.178 99.9548
91.199997 79.336 99.2573
92.500000 79.499 98.4782
93.800003 79.655 97.7022
95.000000 79.800 97.0021
96.199997 79.943 96.3075
97.500000 80.096 95.5380
98.800003 80.245 94.7566
100.000000 80.378 94.0477
101.500000 80.535 93.1712
103.000000 80.690 92.2899
104.400002 80.831 91.4600
106.000000 80.985 90.5274
107.500000 81.129 89.6659
109.000000 81.267 88.8179
110.599998 81.407 87.9125
112.000000 81.526 87.1255
113.800003 81.676 86.1482
115.000000 81.772 85.5022
117.199997 81.942 84.3133
118.000000 81.999 83.8976
120.599998 82.183 82.5567
122.000000 82.287 81.7960
124.099998 82.431 80.6691
125.000000 82.491 80.1970
126.500000 82.589 79.4416
128.000000 82.683 78.7002
131.500000 82.890 76.9890
132.000000 82.920 76.7453
134.000000 83.034 75.7709
136.000000 83.142 74.8389
138.000000 83.244 73.9243
140.000000 83.342 73.0091
143.000000 83.482 71.6607
145.000000 83.570 70.7881
147.500000 83.677 69.7134
150.000000 83.776 68.6709
152.500000 83.873 67.6424
155.000000 83.967 66.6257
157.500000 84.060 65.6351
160.000000 84.147 64.7068
162.500000 84.230 63.7784
165.000000 84.307 62.8522
167.500000 84.383 61.9509
170.000000 84.457 61.0734
172.500000 84.527 60.2085
175.000000 84.593 59.3708
177.500000 84.654 58.5493
180.000000 84.714 57.7447
182.500000 84.773 56.9657
185.000000 84.827 56.1960
187.500000 84.880 55.4455
190.000000 84.930 54.7207
192.500000 84.979 54.0147
195.000000 85.028 53.3062
197.500000 85.077 52.5835
200.000000 85.123 51.8970
203.000000 85.174 51.1101
206.000000 85.221 50.3446
209.000000 85.267 49.5581
212.000000 85.315 48.8011
214.000000 85.346 48.3147
218.000000 85.404 47.3529
220.000000 85.432 46.8914
224.000000 85.487 45.9917
227.000000 85.523 45.3398
230.000000 85.557 44.7009
233.000000 85.591 44.0517
236.000000 85.626 43.4133
240.000000 85.666 42.5901
243.000000 85.696 41.9718
247.000000 85.739 41.1685
250.000000 85.770 40.5988
254.000000 85.807 39.8434
258.000000 85.840 39.0894
262.000000 85.872 38.3457
265.000000 85.895 37.7986
269.000000 85.923 37.0821
272.000000 85.943 36.5576
276.000000 85.967 35.8728
280.000000 85.990 35.2022
285.000000 86.015 34.3885
290.000000 86.036 33.5908
295.000000 86.055 32.8373
300.000000 86.075 32.0775
304.000000 86.088 31.4719
307.000000 86.098 31.0312
311.000000 86.111 30.4648
315.000000 86.124 29.9151
320.000000 86.135 29.2417
325.000000 86.146 28.5619
330.000000 86.155 27.8997
335.000000 86.160 27.2595
340.000000 86.163 26.6223
345.000000 86.164 25.9912
350.000000 86.165 25.3596
355.000000 86.164 24.7497
360.000000 86.160 24.1622
365.000000 86.151 23.5573
370.000000 86.137 22.9687
375.000000 86.119 22.3884
382.000000 86.090 21.6361
387.000000 86.068 21.1338
395.000000 86.027 20.3819
400.000000 85.996 19.9622
406.000000 85.957 19.5088
412.000000 85.918 19.0893
418.000000 85.885 18.6978
425.000000 85.852 18.2719
431.000000 85.826 17.9185
437.000000 85.802 17.5663
444.000000 85.777 17.1594
450.000000 85.756 16.7872
455.000000 85.738 16.4542
462.000000 85.710 15.9494
468.000000 85.677 15.4685
475.000000 85.622 14.8689
482.000000 85.540 14.3028
487.000000 85.465 13.9877
494.000000 85.347 13.7627
500.000000 85.250 13.7884
508.000000 85.149 14.0422
515.000000 85.093 14.3345
522.000000 85.061 14.5863
530.000000 85.039 14.8066
538.000000 85.022 14.9714
545.000000 85.010 15.0922
552.000000 84.999 15.2039
560.000000 84.989 15.3349
570.000000 84.981 15.5323
580.000000 84.986 15.7729
590.000000 85.008 16.0196
600.000000 85.047 16.2036
608.000000 85.088 16.2698
615.000000 85.126 16.2579
622.000000 85.163 16.1970
630.000000 85.204 16.0781
640.000000 85.251 15.8480
650.000000 85.292 15.5397
660.000000 85.322 15.1676
670.000000 85.338 14.7659
680.000000 85.344 14.3556
690.000000 85.340 13.9376
700.000000 85.327 13.5491
710.000000 85.309 13.1785
720.000000 85.285 12.8176
730.000000 85.255 12.4838
740.000000 85.223 12.1833
750.000000 85.188 11.9137
762.000000 85.146 11.6171
775.000000 85.100 11.3091
788.000000 85.055 11.0074
800.000000 85.015 10.7034
812.000000 84.971 10.3460
825.000000 84.906 9.8827
838.000000 84.815 9.4302
850.000000 84.711 9.1449
862.000000 84.602 9.0042
875.000000 84.487 8.9748
885.000000 84.404 9.0117
900.000000 84.285 9.1095
912.000000 84.192 9.2136
925.000000 84.093 9.3587
938.000000 83.996 9.5242
950.000000 83.906 9.6915
962.000000 83.815 9.8923
975.000000 83.717 10.1673
988.000000 83.621 10.4824
1000.000000 83.534 10.7924
1015.000000 83.426 11.2153
1030.000000 83.320 11.6910
1044.000000 83.224 12.1754
1060.000000 83.113 12.7679
1075.000000 83.009 13.3711
1090.000000 82.912 14.0221
1106.000000 82.814 14.7644
1120.000000 82.732 15.4386
1138.000000 82.631 16.3255
1150.000000 82.562 16.9502
1172.000000 82.442 18.2178
1180.000000 82.402 18.7019
1206.000000 82.288 20.2793
1220.000000 82.231 21.1571
1241.000000 82.149 22.5029
1250.000000 82.115 23.0956
1265.000000 82.060 24.1142
1280.000000 82.010 25.1652
1315.000000 81.914 27.7580
1320.000000 81.903 28.1447
1340.000000 81.862 29.7033
1360.000000 81.826 31.3198
1380.000000 81.803 33.0806
1400.000000 81.804 34.9356
1430.000000 81.841 37.7097
1450.000000 81.887 39.5608
1475.000000 81.960 41.8996
1500.000000 82.061 44.3265
1525.000000 82.206 46.7548
1550.000000 82.382 49.0652
1575.000000 82.582 51.3172
1600.000000 82.812 53.4943
1625.000000 83.071 55.5952
1650.000000 83.362 57.5214
1675.000000 83.671 59.2449
1700.000000 83.989 60.8058
1725.000000 84.321 62.2367
1750.000000 84.668 63.4629
1775.000000 85.017 64.4928
1800.000000 85.366 65.3714
1825.000000 85.715 66.0929
1850.000000 86.058 66.6591
1875.000000 86.395 67.1490
1900.000000 86.734 67.5343
1925.000000 87.067 67.7933
1950.000000 87.395 67.9641
1975.000000 87.719 68.0508
2000.000000 88.036 68.0431
2030.000000 88.406 67.9829
2060.000000 88.779 67.8575
2090.000000 89.149 67.5962
2120.000000 89.510 67.2399
2140.000000 89.749 66.9650
2180.000000 90.227 66.3041
2200.000000 90.464 65.8937
2240.000000 90.931 64.9322
2270.000000 91.277 64.1166
2300.000000 91.623 63.1875
2330.000000 91.967 62.1154
2360.000000 92.303 60.8884
2400.000000 92.736 59.0218
2430.000000 93.048 57.4288
2470.000000 93.433 55.0077
2500.000000 93.686 52.9616
2540.000000 93.951 49.9514
2580.000000 94.061 46.7936
2620.000000 93.955 44.8552
2650.000000 93.960 45.6776
2690.000000 94.558 46.9609
2720.000000 95.144 45.0712
2760.000000 95.640 40.4949
2800.000000 95.873 35.7741
2850.000000 95.977 30.4152
2900.000000 95.965 25.5700
2950.000000 95.864 21.1660
3000.000000 95.696 17.2144
3040.000000 95.526 14.3473
3070.000000 95.382 12.3700
3110.000000 95.172 9.9561
3150.000000 94.947 7.7727
3200.000000 94.646 5.3742
3250.000000 94.335 3.3364
3300.000000 94.018 1.6286
3350.000000 93.705 0.2313
3400.000000 93.399 -0.8957
3450.000000 93.109 -1.7974
3500.000000 92.829 -2.5696
3550.000000 92.550 -3.1817
3600.000000 92.273 -3.6197
3650.000000 91.996 -3.8835
3700.000000 91.713 -3.8763
3750.000000 91.440 -3.4313
3820.000000 91.169 -2.0992
3870.000000 91.090 -1.1865
3950.000000 91.040 -0.5885
4000.000000 90.991 -0.5339
4060.000000 90.906 -0.5087
4120.000000 90.807 -0.3370
4180.000000 90.716 -0.0378
4250.000000 90.626 0.4645
4310.000000 90.572 1.0007
4370.000000 90.545 1.5957
4440.000000 90.548 2.3018
4500.000000 90.579 2.9029
4550.000000 90.628 3.3951
4620.000000 90.737 4.0179
4680.000000 90.867 4.3885
4750.000000 91.044 4.5559
4820.000000 91.234 4.4956
4870.000000 91.380 4.3634
4940.000000 91.606 4.0308
5000.000000 91.824 3.5537
5080.000000 92.146 2.5162
5150.000000 92.442 1.1335
5220.000000 92.733 -0.7424
5300.000000 93.037 -3.4593
5380.000000 93.297 -6.7472
5450.000000 93.477 -10.1172
5520.000000 93.587 -14.0027
5600.000000 93.573 -18.8384
5700.000000 93.360 -24.8966
5800.000000 92.940 -30.7722
5900.000000 92.309 -35.9370
6000.000000 91.540 -39.9574
6080.000000 90.876 -42.3869
6150.000000 90.270 -43.9692
6220.000000 89.655 -45.0118
6300.000000 88.963 -45.6255
6400.000000 88.119 -45.6980
6500.000000 87.297 -44.9180
6600.000000 86.524 -43.2299
6700.000000 85.833 -40.4270
6800.000000 85.388 -36.1047
