* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:15:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds L 2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 79.654 -48.2843
20.299999 79.823 -48.5865
20.600000 79.990 -48.8216
20.900000 80.166 -48.9945
21.200001 80.356 -49.1518
21.400000 80.491 -49.2823
21.799999 80.770 -49.6788
22.000000 80.907 -49.9565
22.400000 81.157 -50.6216
22.700001 81.317 -51.1222
23.000000 81.455 -51.5241
23.299999 81.584 -51.7645
23.600000 81.720 -51.8364
24.000000 81.932 -51.7750
24.299999 82.118 -51.7380
24.700001 82.389 -51.8612
25.000000 82.589 -52.1152
25.400000 82.830 -52.5954
25.799999 83.036 -53.0835
26.200001 83.222 -53.4524
26.500000 83.360 -53.6403
26.900000 83.553 -53.8326
27.200001 83.705 -53.9812
27.600000 83.910 -54.2152
28.000000 84.114 -54.4758
28.500000 84.378 -54.8412
29.000000 84.654 -55.3811
29.500000 84.913 -56.2277
30.000000 85.102 -57.2055
30.400000 85.197 -57.7644
30.700001 85.257 -57.9052
31.100000 85.366 -57.7202
31.500000 85.546 -57.3448
32.000000 85.865 -57.1757
32.500000 86.197 -57.6642
33.000000 86.457 -58.5428
33.500000 86.644 -59.2913
34.000000 86.818 -59.6829
34.500000 87.025 -59.9104
35.000000 87.253 -60.2550
35.500000 87.466 -60.7476
36.000000 87.653 -61.2237
36.500000 87.836 -61.5781
37.000000 88.035 -61.8769
37.500000 88.246 -62.2459
38.200001 88.537 -62.9334
38.700001 88.733 -63.4653
39.500000 89.041 -64.2825
40.000000 89.235 -64.7899
40.599998 89.471 -65.4232
41.200001 89.706 -66.0968
41.799999 89.936 -66.8330
42.500000 90.180 -67.7455
43.099998 90.362 -68.4279
43.700001 90.541 -68.8844
44.400002 90.793 -69.2742
45.000000 91.043 -69.8288
45.500000 91.239 -70.5395
46.200001 91.454 -71.6397
46.799999 91.607 -72.3774
47.500000 91.810 -73.0379
48.200001 92.041 -73.8290
48.700001 92.196 -74.5183
49.400002 92.390 -75.4836
50.000000 92.551 -76.2200
50.799999 92.779 -77.1726
51.500000 92.980 -78.0731
52.200001 93.170 -79.0124
53.000000 93.376 -80.0573
53.799999 93.582 -81.0513
54.500000 93.768 -81.9555
55.200001 93.948 -82.9457
56.000000 94.137 -84.0974
57.000000 94.368 -85.4867
58.000000 94.597 -86.9399
59.000000 94.811 -88.3906
60.000000 95.022 -89.8606
60.799999 95.175 -91.0602
61.500000 95.300 -92.0566
62.200001 95.425 -93.0282
63.000000 95.563 -94.1680
64.000000 95.720 -95.5839
65.000000 95.873 -96.9667
66.000000 96.021 -98.3976
67.000000 96.158 -99.8432
68.000000 96.286 -101.2842
69.000000 96.401 -102.7073
70.000000 96.508 -104.0629
71.000000 96.614 -105.3921
72.000000 96.712 -106.7344
73.000000 96.800 -108.0633
74.000000 96.880 -109.3826
75.000000 96.952 -110.6845
76.199997 97.033 -112.1983
77.500000 97.116 -113.8179
78.800003 97.190 -115.4048
80.000000 97.248 -116.8171
81.199997 97.296 -118.1647
82.500000 97.344 -119.5723
83.800003 97.384 -120.9601
85.000000 97.414 -122.2156
86.199997 97.437 -123.4437
87.500000 97.456 -124.7081
88.500000 97.471 -125.6381
90.000000 97.492 -127.0005
91.199997 97.503 -128.0610
92.500000 97.508 -129.1707
93.800003 97.507 -130.2293
95.000000 97.504 -131.1470
96.199997 97.503 -132.0479
97.500000 97.498 -133.0150
98.800003 97.487 -133.9507
100.000000 97.473 -134.7688
101.500000 97.455 -135.7168
103.000000 97.437 -136.6238
104.400002 97.420 -137.4354
106.000000 97.400 -138.3413
107.500000 97.378 -139.1414
109.000000 97.357 -139.9128
110.599998 97.332 -140.6974
112.000000 97.310 -141.3394
113.800003 97.283 -142.1253
115.000000 97.265 -142.6337
117.199997 97.230 -143.5323
118.000000 97.216 -143.8433
120.599998 97.169 -144.7575
122.000000 97.146 -145.2283
124.099998 97.111 -145.9229
125.000000 97.097 -146.2070
126.500000 97.074 -146.6683
128.000000 97.053 -147.1128
131.500000 97.001 -148.0309
132.000000 96.994 -148.1528
134.000000 96.964 -148.6337
136.000000 96.934 -149.0950
138.000000 96.906 -149.5426
140.000000 96.880 -149.9562
143.000000 96.844 -150.5210
145.000000 96.820 -150.8605
147.500000 96.789 -151.2726
150.000000 96.757 -151.6798
152.500000 96.725 -152.0503
155.000000 96.701 -152.3835
157.500000 96.680 -152.7011
160.000000 96.658 -152.9794
162.500000 96.637 -153.2480
165.000000 96.615 -153.5050
167.500000 96.595 -153.7399
170.000000 96.575 -153.9668
172.500000 96.557 -154.1844
175.000000 96.541 -154.3816
177.500000 96.529 -154.5571
180.000000 96.515 -154.7177
182.500000 96.500 -154.8510
185.000000 96.487 -154.9816
187.500000 96.475 -155.1142
190.000000 96.463 -155.2546
192.500000 96.453 -155.3842
195.000000 96.445 -155.5050
197.500000 96.436 -155.6021
200.000000 96.428 -155.6782
203.000000 96.421 -155.7758
206.000000 96.413 -155.8772
209.000000 96.406 -155.9694
212.000000 96.397 -156.0357
214.000000 96.392 -156.0687
218.000000 96.388 -156.1409
220.000000 96.388 -156.1835
224.000000 96.388 -156.2476
227.000000 96.387 -156.2978
230.000000 96.385 -156.3525
233.000000 96.383 -156.3851
236.000000 96.382 -156.4002
240.000000 96.379 -156.4059
243.000000 96.381 -156.3990
247.000000 96.384 -156.4012
250.000000 96.384 -156.3819
254.000000 96.385 -156.3273
258.000000 96.387 -156.2461
262.000000 96.388 -156.1156
265.000000 96.392 -155.9808
269.000000 96.406 -155.7442
272.000000 96.425 -155.5050
276.000000 96.475 -155.1045
280.000000 96.572 -154.7429
285.000000 96.748 -154.8093
290.000000 96.883 -155.7180
295.000000 96.901 -156.7608
300.000000 96.855 -157.3677
304.000000 96.817 -157.6049
307.000000 96.796 -157.7015
311.000000 96.774 -157.7803
315.000000 96.759 -157.8518
320.000000 96.747 -157.9317
325.000000 96.738 -157.9927
330.000000 96.728 -158.0456
335.000000 96.716 -158.1056
340.000000 96.701 -158.1660
345.000000 96.686 -158.1803
350.000000 96.664 -158.1652
355.000000 96.641 -158.1245
360.000000 96.619 -158.0376
365.000000 96.594 -157.8773
370.000000 96.573 -157.6640
375.000000 96.558 -157.3813
382.000000 96.548 -156.9212
387.000000 96.550 -156.5763
395.000000 96.570 -156.0305
400.000000 96.593 -155.6697
406.000000 96.633 -155.2455
412.000000 96.679 -154.8822
418.000000 96.732 -154.5812
425.000000 96.801 -154.3030
431.000000 96.859 -154.1228
437.000000 96.910 -153.9966
444.000000 96.962 -153.8713
450.000000 97.001 -153.7515
455.000000 97.033 -153.6294
462.000000 97.081 -153.4339
468.000000 97.122 -153.2725
475.000000 97.172 -153.0776
482.000000 97.226 -152.8771
487.000000 97.268 -152.7281
494.000000 97.329 -152.5196
500.000000 97.384 -152.3648
508.000000 97.461 -152.2056
515.000000 97.530 -152.0791
522.000000 97.599 -151.9778
530.000000 97.679 -151.8991
538.000000 97.762 -151.8406
545.000000 97.833 -151.8104
552.000000 97.903 -151.8029
560.000000 97.982 -151.8223
570.000000 98.078 -151.8804
580.000000 98.173 -151.9654
590.000000 98.267 -152.0885
600.000000 98.356 -152.2418
608.000000 98.426 -152.3834
615.000000 98.486 -152.5246
622.000000 98.543 -152.6866
630.000000 98.605 -152.8948
640.000000 98.678 -153.1703
650.000000 98.747 -153.4594
660.000000 98.811 -153.7751
670.000000 98.865 -154.1134
680.000000 98.910 -154.4490
690.000000 98.950 -154.7641
700.000000 98.983 -155.0606
710.000000 99.012 -155.3371
720.000000 99.037 -155.5988
730.000000 99.057 -155.8373
740.000000 99.074 -156.0427
750.000000 99.090 -156.2221
762.000000 99.107 -156.4108
775.000000 99.124 -156.5836
788.000000 99.139 -156.7088
800.000000 99.151 -156.7938
812.000000 99.162 -156.8219
825.000000 99.178 -156.8129
838.000000 99.203 -156.7882
850.000000 99.228 -156.7773
862.000000 99.254 -156.7138
875.000000 99.296 -156.6258
885.000000 99.338 -156.6153
900.000000 99.403 -156.7718
912.000000 99.438 -157.0613
925.000000 99.439 -157.4238
938.000000 99.402 -157.5651
950.000000 99.367 -157.3476
962.000000 99.357 -156.9286
975.000000 99.373 -156.4347
988.000000 99.414 -156.0022
1000.000000 99.461 -155.6795
1015.000000 99.529 -155.3564
1030.000000 99.604 -155.0690
1044.000000 99.679 -154.7978
1060.000000 99.766 -154.5124
1075.000000 99.853 -154.2890
1090.000000 99.945 -154.0886
1106.000000 100.046 -153.9075
1120.000000 100.139 -153.7746
1138.000000 100.265 -153.6469
1150.000000 100.351 -153.6003
1172.000000 100.514 -153.5963
1180.000000 100.575 -153.6240
1206.000000 100.772 -153.8255
1220.000000 100.874 -153.9966
1241.000000 101.017 -154.2626
1250.000000 101.078 -154.3768
1265.000000 101.183 -154.5906
1280.000000 101.291 -154.8439
1315.000000 101.542 -155.6229
1320.000000 101.577 -155.7539
1340.000000 101.713 -156.3195
1360.000000 101.840 -156.9644
1380.000000 101.955 -157.6733
1400.000000 102.057 -158.4148
1430.000000 102.193 -159.5487
1450.000000 102.275 -160.3207
1475.000000 102.368 -161.3040
1500.000000 102.446 -162.3302
1525.000000 102.506 -163.3534
1550.000000 102.554 -164.3180
1575.000000 102.593 -165.2665
1600.000000 102.621 -166.1925
1625.000000 102.642 -167.0716
1650.000000 102.659 -167.9254
1675.000000 102.669 -168.7678
1700.000000 102.668 -169.5589
1725.000000 102.664 -170.2815
1750.000000 102.661 -170.9772
1775.000000 102.655 -171.6525
1800.000000 102.648 -172.2849
1825.000000 102.641 -172.9078
1850.000000 102.629 -173.5063
1875.000000 102.617 -174.0467
1900.000000 102.610 -174.5656
1925.000000 102.605 -175.0787
1950.000000 102.601 -175.5883
1975.000000 102.598 -176.1063
2000.000000 102.594 -176.6344
2030.000000 102.589 -177.2348
2060.000000 102.591 -177.8525
2090.000000 102.591 -178.5408
2120.000000 102.584 -179.2414
2140.000000 102.578 -179.7148
2180.000000 102.559 179.2991
2200.000000 102.547 178.8065
2240.000000 102.520 177.7699
2270.000000 102.488 176.8879
2300.000000 102.436 175.9691
2330.000000 102.364 175.0405
2360.000000 102.259 174.0884
2400.000000 102.030 173.0694
2430.000000 101.808 173.0299
2470.000000 101.650 174.4050
2500.000000 101.749 175.2211
2540.000000 101.927 174.5787
2580.000000 101.964 173.1241
2620.000000 101.898 171.7866
2650.000000 101.816 170.9390
2690.000000 101.686 170.0049
2720.000000 101.581 169.4093
2760.000000 101.432 168.7188
2800.000000 101.276 168.1471
2850.000000 101.071 167.6034
2900.000000 100.863 167.2437
2950.000000 100.657 167.0704
3000.000000 100.461 167.0095
3040.000000 100.307 167.0380
3070.000000 100.194 167.0874
3110.000000 100.041 167.2083
3150.000000 99.892 167.4274
3200.000000 99.713 167.7759
3250.000000 99.542 168.2381
3300.000000 99.380 168.7704
3350.000000 99.225 169.3842
3400.000000 99.080 170.0446
3450.000000 98.947 170.7676
3500.000000 98.826 171.5632
3550.000000 98.720 172.4273
3600.000000 98.630 173.3197
3650.000000 98.552 174.2142
3700.000000 98.482 175.1213
3750.000000 98.420 176.0899
3820.000000 98.361 177.5157
3870.000000 98.340 178.5445
3950.000000 98.340 -179.8734
4000.000000 98.356 -178.9614
4060.000000 98.380 -177.9569
4120.000000 98.402 -176.9483
4180.000000 98.430 -175.8445
4250.000000 98.499 -174.4674
4310.000000 98.589 -173.3402
4370.000000 98.703 -172.3144
4440.000000 98.850 -171.2316
4500.000000 98.994 -170.3195
4550.000000 99.133 -169.5984
4620.000000 99.365 -168.7269
4680.000000 99.589 -168.1906
4750.000000 99.865 -167.7349
4820.000000 100.163 -167.4529
4870.000000 100.388 -167.4079
4940.000000 100.726 -167.5469
