* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:33:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds R 4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 76.975 -31.2156
20.299999 77.173 -31.4453
20.600000 77.374 -31.6683
20.900000 77.578 -31.9106
21.200001 77.778 -32.1739
21.400000 77.909 -32.3499
21.799999 78.166 -32.6708
22.000000 78.296 -32.8121
22.400000 78.566 -33.0966
22.700001 78.777 -33.3732
23.000000 78.989 -33.7523
23.299999 79.189 -34.2365
23.600000 79.368 -34.7817
24.000000 79.571 -35.4705
24.299999 79.703 -35.8687
24.700001 79.876 -36.1958
25.000000 80.017 -36.3312
25.400000 80.225 -36.4819
25.799999 80.443 -36.6833
26.200001 80.657 -36.9108
26.500000 80.815 -37.0420
26.900000 81.040 -37.1344
27.200001 81.230 -37.1936
27.600000 81.515 -37.4191
28.000000 81.813 -37.9618
28.500000 82.145 -39.0567
29.000000 82.394 -40.2268
29.500000 82.599 -41.0541
30.000000 82.830 -41.5563
30.400000 83.048 -41.9822
30.700001 83.215 -42.4183
31.100000 83.416 -43.1136
31.500000 83.578 -43.7537
32.000000 83.759 -44.1987
32.500000 83.983 -44.3157
33.000000 84.268 -44.5468
33.500000 84.549 -45.1578
34.000000 84.768 -45.9055
34.500000 84.940 -46.3723
35.000000 85.130 -46.4788
35.500000 85.372 -46.5484
36.000000 85.633 -46.8666
36.500000 85.871 -47.3708
37.000000 86.088 -47.8521
37.500000 86.314 -48.2894
38.200001 86.653 -49.1571
38.700001 86.867 -50.0099
39.500000 87.139 -51.2649
40.000000 87.306 -51.8268
40.599998 87.532 -52.4561
41.200001 87.759 -53.1504
41.799999 87.975 -53.7584
42.500000 88.256 -54.2748
43.099998 88.540 -54.8644
43.700001 88.817 -55.8251
44.400002 89.060 -57.1520
45.000000 89.212 -58.0608
45.500000 89.336 -58.5850
46.200001 89.532 -59.1577
46.799999 89.722 -59.6456
47.500000 89.972 -60.3536
48.200001 90.234 -61.4999
48.700001 90.384 -62.5988
49.400002 90.505 -64.0521
50.000000 90.581 -64.7798
50.799999 90.778 -65.2495
51.500000 91.033 -65.9477
52.200001 91.269 -67.0183
53.000000 91.494 -68.1428
53.799999 91.735 -69.0129
54.500000 91.972 -69.8482
55.200001 92.199 -70.8857
56.000000 92.417 -72.1672
57.000000 92.643 -73.6621
58.000000 92.849 -75.0681
59.000000 93.043 -76.4573
60.000000 93.232 -77.8746
60.799999 93.378 -79.0539
61.500000 93.501 -80.1020
62.200001 93.618 -81.1360
63.000000 93.749 -82.2864
64.000000 93.907 -83.6670
65.000000 94.068 -84.9543
66.000000 94.240 -86.3170
67.000000 94.385 -87.7972
68.000000 94.508 -89.1877
69.000000 94.629 -90.5272
70.000000 94.745 -91.8635
71.000000 94.859 -93.1949
72.000000 94.965 -94.5289
73.000000 95.062 -95.8167
74.000000 95.156 -97.0420
75.000000 95.248 -98.2426
76.199997 95.347 -99.6620
77.500000 95.443 -101.1335
78.800003 95.532 -102.5657
80.000000 95.606 -103.8900
81.199997 95.667 -105.1855
82.500000 95.729 -106.5144
83.800003 95.791 -107.8264
85.000000 95.842 -109.0211
86.199997 95.887 -110.1740
87.500000 95.930 -111.3402
88.500000 95.964 -112.1979
90.000000 96.014 -113.4677
91.199997 96.047 -114.4915
92.500000 96.072 -115.5766
93.800003 96.092 -116.6023
95.000000 96.110 -117.4915
96.199997 96.130 -118.3519
97.500000 96.148 -119.2557
98.800003 96.165 -120.0986
100.000000 96.178 -120.8658
101.500000 96.186 -121.7729
103.000000 96.193 -122.6150
104.400002 96.204 -123.3715
106.000000 96.215 -124.2538
107.500000 96.221 -125.0416
109.000000 96.228 -125.7911
110.599998 96.235 -126.5597
112.000000 96.239 -127.2112
113.800003 96.242 -128.0132
115.000000 96.243 -128.5219
117.199997 96.246 -129.3894
118.000000 96.248 -129.6923
120.599998 96.249 -130.6686
122.000000 96.247 -131.1539
124.099998 96.245 -131.8463
125.000000 96.246 -132.1327
126.500000 96.247 -132.5939
128.000000 96.248 -133.0298
131.500000 96.249 -133.9728
132.000000 96.249 -134.1053
134.000000 96.249 -134.6294
136.000000 96.253 -135.1348
138.000000 96.261 -135.6113
140.000000 96.265 -136.0652
143.000000 96.256 -136.6862
145.000000 96.255 -137.0752
147.500000 96.265 -137.5931
150.000000 96.269 -138.0647
152.500000 96.268 -138.4117
155.000000 96.270 -138.7572
157.500000 96.277 -139.1141
160.000000 96.286 -139.4561
162.500000 96.298 -139.7878
165.000000 96.310 -140.1563
167.500000 96.319 -140.4338
170.000000 96.332 -140.6825
172.500000 96.341 -141.0339
175.000000 96.350 -141.3125
177.500000 96.367 -141.4927
180.000000 96.369 -141.6501
182.500000 96.364 -141.8375
185.000000 96.375 -142.1522
187.500000 96.395 -142.4871
190.000000 96.413 -142.6729
192.500000 96.430 -142.8030
195.000000 96.446 -142.9878
197.500000 96.463 -143.1314
200.000000 96.479 -143.1982
203.000000 96.498 -143.3076
206.000000 96.514 -143.5942
209.000000 96.529 -143.8760
212.000000 96.542 -144.0663
214.000000 96.551 -144.1585
218.000000 96.570 -144.3002
220.000000 96.582 -144.3830
224.000000 96.608 -144.6616
227.000000 96.626 -144.8365
230.000000 96.642 -144.9592
233.000000 96.659 -145.0582
236.000000 96.683 -145.0997
240.000000 96.701 -145.0444
243.000000 96.715 -145.0732
247.000000 96.743 -145.4632
250.000000 96.763 -145.6370
254.000000 96.785 -145.6879
258.000000 96.809 -145.7551
262.000000 96.831 -145.8085
265.000000 96.844 -145.8265
269.000000 96.861 -145.8053
272.000000 96.874 -145.7316
276.000000 96.898 -145.5349
280.000000 96.941 -145.1876
285.000000 97.058 -144.6548
290.000000 97.268 -144.5332
295.000000 97.473 -145.3193
300.000000 97.570 -146.4753
304.000000 97.578 -147.2626
307.000000 97.567 -147.7311
311.000000 97.550 -148.1733
315.000000 97.541 -148.4925
320.000000 97.535 -148.8318
325.000000 97.531 -149.1186
330.000000 97.526 -149.4021
335.000000 97.512 -149.6788
340.000000 97.489 -149.9268
345.000000 97.453 -150.0892
350.000000 97.412 -150.1001
355.000000 97.375 -149.9393
360.000000 97.355 -149.6821
365.000000 97.363 -149.3595
370.000000 97.390 -149.0179
375.000000 97.422 -148.7278
382.000000 97.482 -148.3992
387.000000 97.528 -148.1874
395.000000 97.604 -148.0077
400.000000 97.648 -147.9283
406.000000 97.700 -147.8209
412.000000 97.756 -147.7226
418.000000 97.817 -147.6106
425.000000 97.889 -147.4913
431.000000 97.953 -147.4291
437.000000 98.014 -147.3632
444.000000 98.091 -147.3040
450.000000 98.159 -147.2764
455.000000 98.212 -147.2661
462.000000 98.288 -147.2960
468.000000 98.353 -147.3385
475.000000 98.426 -147.3970
482.000000 98.502 -147.4558
487.000000 98.556 -147.4979
494.000000 98.630 -147.5730
500.000000 98.694 -147.6506
508.000000 98.778 -147.7696
515.000000 98.848 -147.8925
522.000000 98.917 -148.0367
530.000000 98.996 -148.2036
538.000000 99.074 -148.3568
545.000000 99.144 -148.5061
552.000000 99.211 -148.6829
560.000000 99.285 -148.8976
570.000000 99.380 -149.1505
580.000000 99.477 -149.4363
590.000000 99.575 -149.7634
600.000000 99.674 -150.1288
608.000000 99.746 -150.4666
615.000000 99.804 -150.7658
622.000000 99.858 -151.0686
630.000000 99.915 -151.4207
640.000000 99.979 -151.8726
650.000000 100.040 -152.3311
660.000000 100.094 -152.7824
670.000000 100.140 -153.2151
680.000000 100.183 -153.6489
690.000000 100.222 -154.0836
700.000000 100.256 -154.4979
710.000000 100.286 -154.8875
720.000000 100.313 -155.2628
730.000000 100.339 -155.6179
740.000000 100.363 -155.9437
750.000000 100.385 -156.2454
762.000000 100.414 -156.5728
775.000000 100.451 -156.9019
788.000000 100.495 -157.2545
800.000000 100.537 -157.6487
812.000000 100.576 -158.1321
825.000000 100.605 -158.7560
838.000000 100.602 -159.4344
850.000000 100.567 -159.9404
862.000000 100.519 -160.2133
875.000000 100.478 -160.3102
885.000000 100.459 -160.3179
900.000000 100.448 -160.2844
912.000000 100.451 -160.2645
925.000000 100.459 -160.2585
938.000000 100.472 -160.2560
950.000000 100.486 -160.2535
962.000000 100.503 -160.2443
975.000000 100.521 -160.2220
988.000000 100.542 -160.1977
1000.000000 100.563 -160.1730
1015.000000 100.593 -160.1198
1030.000000 100.628 -160.0577
1044.000000 100.665 -159.9922
1060.000000 100.714 -159.9203
1075.000000 100.767 -159.8626
1090.000000 100.823 -159.8378
1106.000000 100.884 -159.8453
1120.000000 100.940 -159.8408
1138.000000 101.018 -159.8331
1150.000000 101.075 -159.8422
1172.000000 101.190 -159.9154
1180.000000 101.234 -159.9650
1206.000000 101.379 -160.2143
1220.000000 101.457 -160.4057
1241.000000 101.575 -160.7512
1250.000000 101.626 -160.9191
1265.000000 101.710 -161.2337
1280.000000 101.791 -161.5939
1315.000000 101.971 -162.5493
1320.000000 101.995 -162.6982
1340.000000 102.092 -163.3361
1360.000000 102.184 -164.0527
1380.000000 102.267 -164.8462
1400.000000 102.336 -165.6821
1430.000000 102.418 -166.9454
1450.000000 102.464 -167.8018
1475.000000 102.511 -168.9427
1500.000000 102.534 -170.1131
1525.000000 102.538 -171.2294
1550.000000 102.532 -172.3099
1575.000000 102.508 -173.4101
1600.000000 102.466 -174.4222
1625.000000 102.421 -175.3654
1650.000000 102.365 -176.3012
1675.000000 102.294 -177.1780
1700.000000 102.212 -177.9559
1725.000000 102.125 -178.6489
1750.000000 102.034 -179.2659
1775.000000 101.941 -179.8015
1800.000000 101.847 179.7238
1825.000000 101.749 179.2927
1850.000000 101.645 178.9472
1875.000000 101.543 178.7228
1900.000000 101.450 178.5825
1925.000000 101.365 178.4744
1950.000000 101.285 178.3676
1975.000000 101.200 178.2881
2000.000000 101.113 178.3117
2030.000000 101.028 178.4651
2060.000000 100.963 178.6071
2090.000000 100.902 178.7105
2120.000000 100.845 178.8502
2140.000000 100.811 178.9510
2180.000000 100.754 179.1929
2200.000000 100.736 179.3209
2240.000000 100.711 179.4188
2270.000000 100.686 179.4418
2300.000000 100.661 179.4617
2330.000000 100.635 179.4271
2360.000000 100.603 179.3226
2400.000000 100.518 179.0598
2430.000000 100.395 179.0801
2470.000000 100.234 -179.9526
2500.000000 100.206 -178.7388
2540.000000 100.333 -177.3481
2580.000000 100.538 -177.1118
2620.000000 100.667 -177.6385
2650.000000 100.716 -178.1024
2690.000000 100.741 -178.7084
2720.000000 100.741 -179.0941
2760.000000 100.733 -179.5599
2800.000000 100.710 179.9841
2850.000000 100.670 179.4714
2900.000000 100.610 179.0002
2950.000000 100.542 178.5883
3000.000000 100.458 178.2330
3040.000000 100.385 178.0156
3070.000000 100.328 177.8868
3110.000000 100.248 177.7646
3150.000000 100.167 177.6859
3200.000000 100.061 177.6609
3250.000000 99.952 177.7079
3300.000000 99.841 177.8512
3350.000000 99.733 178.0955
3400.000000 99.629 178.4321
3450.000000 99.532 178.8386
3500.000000 99.440 179.3090
3550.000000 99.353 179.8359
3600.000000 99.280 -179.6161
3650.000000 99.217 -179.0485
3700.000000 99.159 -178.4420
3750.000000 99.108 -177.7865
3820.000000 99.055 -176.7987
3870.000000 99.032 -176.0706
3950.000000 99.011 -174.9178
4000.000000 99.012 -174.1889
4060.000000 99.022 -173.3444
4120.000000 99.039 -172.4825
4180.000000 99.068 -171.6307
4250.000000 99.110 -170.6469
4310.000000 99.147 -169.7416
4370.000000 99.200 -168.6806
4440.000000 99.307 -167.3087
4500.000000 99.452 -166.1105
4550.000000 99.611 -165.2244
4620.000000 99.878 -164.1879
4680.000000 100.132 -163.5115
4750.000000 100.461 -162.9872
4820.000000 100.826 -162.8174
4870.000000 101.104 -162.9429
4940.000000 101.510 -163.5065
