* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:19:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds L 4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 77.567 -36.7231
20.299999 77.774 -37.0763
20.600000 77.973 -37.4362
20.900000 78.165 -37.7745
21.200001 78.353 -38.0774
21.400000 78.478 -38.2615
21.799999 78.729 -38.6077
22.000000 78.854 -38.7792
22.400000 79.100 -39.1268
22.700001 79.278 -39.3778
23.000000 79.452 -39.5982
23.299999 79.623 -39.7726
23.600000 79.799 -39.9053
24.000000 80.045 -40.0727
24.299999 80.240 -40.2527
24.700001 80.501 -40.6364
25.000000 80.686 -41.0315
25.400000 80.905 -41.6184
25.799999 81.093 -42.1372
26.200001 81.271 -42.4954
26.500000 81.413 -42.6808
26.900000 81.620 -42.9288
27.200001 81.782 -43.1848
27.600000 81.986 -43.6220
28.000000 82.162 -44.0370
28.500000 82.365 -44.2624
29.000000 82.613 -44.1561
29.500000 82.942 -44.1561
30.000000 83.294 -44.6658
30.400000 83.536 -45.3725
30.700001 83.682 -45.9133
31.100000 83.846 -46.4618
31.500000 84.010 -46.7572
32.000000 84.257 -46.9977
32.500000 84.530 -47.4514
33.000000 84.771 -48.1671
33.500000 84.955 -48.8341
34.000000 85.122 -49.1925
34.500000 85.324 -49.3351
35.000000 85.568 -49.5859
35.500000 85.817 -50.1215
36.000000 86.032 -50.8209
36.500000 86.216 -51.4370
37.000000 86.400 -51.8512
37.500000 86.612 -52.1596
38.200001 86.952 -52.7640
38.700001 87.191 -53.4194
39.500000 87.512 -54.5747
40.000000 87.680 -55.1147
40.599998 87.886 -55.4651
41.200001 88.135 -55.6879
41.799999 88.416 -56.1376
42.500000 88.708 -57.0494
43.099998 88.901 -57.7907
43.700001 89.096 -58.2838
44.400002 89.378 -58.9429
45.000000 89.618 -59.8892
45.500000 89.781 -60.7882
46.200001 89.984 -61.8681
46.799999 90.174 -62.6858
47.500000 90.398 -63.6086
48.200001 90.644 -64.2819
48.700001 90.875 -64.7922
49.400002 91.225 -66.1631
50.000000 91.424 -67.8426
50.799999 91.508 -69.3764
51.500000 91.613 -69.5396
52.200001 91.853 -69.6276
53.000000 92.145 -70.4760
53.799999 92.362 -71.5933
54.500000 92.528 -72.4689
55.200001 92.696 -73.3358
56.000000 92.891 -74.4084
57.000000 93.130 -75.8885
58.000000 93.362 -77.4687
59.000000 93.579 -79.0777
60.000000 93.784 -80.5493
60.799999 93.958 -81.6513
61.500000 94.111 -82.6561
62.200001 94.254 -83.6856
63.000000 94.406 -84.8470
64.000000 94.585 -86.2830
65.000000 94.753 -87.7285
66.000000 94.909 -89.2022
67.000000 95.051 -90.6716
68.000000 95.183 -92.0879
69.000000 95.316 -93.4255
70.000000 95.459 -94.7917
71.000000 95.591 -96.2723
72.000000 95.701 -97.7483
73.000000 95.798 -99.1620
74.000000 95.886 -100.5206
75.000000 95.970 -101.8084
76.199997 96.070 -103.3105
77.500000 96.172 -104.9338
78.800003 96.262 -106.5518
80.000000 96.333 -108.0108
81.199997 96.397 -109.4403
82.500000 96.459 -110.9639
83.800003 96.516 -112.4242
85.000000 96.565 -113.7427
86.199997 96.606 -115.0155
87.500000 96.641 -116.3156
88.500000 96.665 -117.2672
90.000000 96.699 -118.6684
91.199997 96.722 -119.8000
92.500000 96.736 -121.0031
93.800003 96.747 -122.1075
95.000000 96.760 -123.0871
96.199997 96.772 -124.0364
97.500000 96.780 -125.0359
98.800003 96.783 -125.9968
100.000000 96.782 -126.8520
101.500000 96.777 -127.8911
103.000000 96.768 -128.8989
104.400002 96.758 -129.7785
106.000000 96.749 -130.7514
107.500000 96.739 -131.6281
109.000000 96.728 -132.4490
110.599998 96.717 -133.2965
112.000000 96.704 -134.0067
113.800003 96.686 -134.8694
115.000000 96.674 -135.4225
117.199997 96.652 -136.4204
118.000000 96.644 -136.7780
120.599998 96.612 -137.8589
122.000000 96.598 -138.3730
124.099998 96.579 -139.1209
125.000000 96.569 -139.4292
126.500000 96.551 -139.9106
128.000000 96.535 -140.3783
131.500000 96.497 -141.4460
132.000000 96.491 -141.5868
134.000000 96.473 -142.1356
136.000000 96.454 -142.6783
138.000000 96.431 -143.1898
140.000000 96.410 -143.6557
143.000000 96.380 -144.3047
145.000000 96.362 -144.6958
147.500000 96.344 -145.1531
150.000000 96.326 -145.5905
152.500000 96.307 -146.0431
155.000000 96.283 -146.4750
157.500000 96.262 -146.8607
160.000000 96.245 -147.2043
162.500000 96.230 -147.5336
165.000000 96.217 -147.8695
167.500000 96.211 -148.2079
170.000000 96.205 -148.5430
172.500000 96.187 -148.7754
175.000000 96.168 -148.9519
177.500000 96.154 -149.1646
180.000000 96.144 -149.4091
182.500000 96.137 -149.6426
185.000000 96.130 -149.8478
187.500000 96.125 -150.0231
190.000000 96.120 -150.1839
192.500000 96.114 -150.3384
195.000000 96.107 -150.4934
197.500000 96.100 -150.6230
200.000000 96.097 -150.7309
203.000000 96.092 -150.8853
206.000000 96.084 -151.0609
209.000000 96.078 -151.2171
212.000000 96.075 -151.3185
214.000000 96.074 -151.3693
218.000000 96.068 -151.5230
220.000000 96.064 -151.5965
224.000000 96.061 -151.6825
227.000000 96.061 -151.7236
230.000000 96.061 -151.7690
233.000000 96.061 -151.8163
236.000000 96.066 -151.8673
240.000000 96.077 -151.9328
243.000000 96.081 -151.9451
247.000000 96.084 -151.9608
250.000000 96.088 -151.9659
254.000000 96.095 -151.9300
258.000000 96.103 -151.8737
262.000000 96.114 -151.7972
265.000000 96.123 -151.7160
269.000000 96.137 -151.5574
272.000000 96.152 -151.4018
276.000000 96.193 -151.1368
280.000000 96.273 -150.8654
285.000000 96.417 -150.8984
290.000000 96.529 -151.5560
295.000000 96.552 -152.3380
300.000000 96.530 -152.7989
304.000000 96.512 -152.9912
307.000000 96.504 -153.0762
311.000000 96.499 -153.1432
315.000000 96.499 -153.1883
320.000000 96.504 -153.2188
325.000000 96.509 -153.3102
330.000000 96.514 -153.4003
335.000000 96.519 -153.4550
340.000000 96.525 -153.5225
345.000000 96.526 -153.5869
350.000000 96.521 -153.6300
355.000000 96.516 -153.6712
360.000000 96.509 -153.6661
365.000000 96.499 -153.6168
370.000000 96.491 -153.5470
375.000000 96.481 -153.4275
382.000000 96.468 -153.1362
387.000000 96.466 -152.9067
395.000000 96.477 -152.4894
400.000000 96.493 -152.1967
406.000000 96.520 -151.8428
412.000000 96.557 -151.4907
418.000000 96.602 -151.1810
425.000000 96.663 -150.9171
431.000000 96.714 -150.7513
437.000000 96.757 -150.5942
444.000000 96.801 -150.3858
450.000000 96.841 -150.1798
455.000000 96.877 -150.0046
462.000000 96.931 -149.7581
468.000000 96.983 -149.5400
475.000000 97.046 -149.3121
482.000000 97.113 -149.0981
487.000000 97.161 -148.9481
494.000000 97.231 -148.7662
500.000000 97.293 -148.6481
508.000000 97.380 -148.4939
515.000000 97.458 -148.3929
522.000000 97.535 -148.3239
530.000000 97.619 -148.2711
538.000000 97.704 -148.2373
545.000000 97.776 -148.2284
552.000000 97.849 -148.2257
560.000000 97.934 -148.2454
570.000000 98.038 -148.3256
580.000000 98.138 -148.4251
590.000000 98.236 -148.5554
600.000000 98.332 -148.7281
608.000000 98.407 -148.8784
615.000000 98.472 -149.0191
622.000000 98.534 -149.1774
630.000000 98.600 -149.3883
640.000000 98.680 -149.6809
650.000000 98.756 -149.9951
660.000000 98.823 -150.3382
670.000000 98.880 -150.6866
680.000000 98.930 -151.0127
690.000000 98.974 -151.3217
700.000000 99.012 -151.6136
710.000000 99.045 -151.8797
720.000000 99.075 -152.1185
730.000000 99.103 -152.3386
740.000000 99.129 -152.5442
750.000000 99.153 -152.7265
762.000000 99.181 -152.8978
775.000000 99.212 -153.0450
788.000000 99.241 -153.1956
800.000000 99.264 -153.3058
812.000000 99.289 -153.3594
825.000000 99.325 -153.3818
838.000000 99.369 -153.4380
850.000000 99.406 -153.5183
862.000000 99.440 -153.4850
875.000000 99.494 -153.3891
885.000000 99.544 -153.4108
900.000000 99.617 -153.7088
912.000000 99.653 -154.1101
925.000000 99.649 -154.5333
938.000000 99.601 -154.6190
950.000000 99.562 -154.3181
962.000000 99.562 -153.8830
975.000000 99.596 -153.4411
988.000000 99.647 -153.0786
1000.000000 99.703 -152.7997
1015.000000 99.777 -152.4889
1030.000000 99.857 -152.2214
1044.000000 99.938 -152.0038
1060.000000 100.034 -151.7791
1075.000000 100.129 -151.5943
1090.000000 100.231 -151.4423
1106.000000 100.340 -151.3262
1120.000000 100.438 -151.2590
1138.000000 100.571 -151.1904
1150.000000 100.664 -151.1692
1172.000000 100.840 -151.2375
1180.000000 100.905 -151.2987
1206.000000 101.112 -151.6025
1220.000000 101.216 -151.8266
1241.000000 101.364 -152.1563
1250.000000 101.428 -152.2866
1265.000000 101.542 -152.5228
1280.000000 101.661 -152.8193
1315.000000 101.927 -153.7696
1320.000000 101.963 -153.9279
1340.000000 102.102 -154.6066
1360.000000 102.234 -155.3631
1380.000000 102.353 -156.1900
1400.000000 102.458 -157.0410
1430.000000 102.599 -158.3293
1450.000000 102.682 -159.2186
1475.000000 102.773 -160.3587
1500.000000 102.846 -161.5286
1525.000000 102.900 -162.6935
1550.000000 102.939 -163.7936
1575.000000 102.970 -164.8611
1600.000000 102.990 -165.9017
1625.000000 102.999 -166.8898
1650.000000 103.001 -167.8412
1675.000000 102.995 -168.7589
1700.000000 102.980 -169.6283
1725.000000 102.963 -170.4172
1750.000000 102.945 -171.1610
1775.000000 102.923 -171.8750
1800.000000 102.900 -172.5453
1825.000000 102.877 -173.1909
1850.000000 102.849 -173.7988
1875.000000 102.824 -174.3337
1900.000000 102.804 -174.8432
1925.000000 102.787 -175.3499
1950.000000 102.772 -175.8605
1975.000000 102.757 -176.3762
2000.000000 102.740 -176.8813
2030.000000 102.723 -177.4550
2060.000000 102.711 -178.0569
2090.000000 102.696 -178.6978
2120.000000 102.677 -179.3389
2140.000000 102.663 -179.7770
2180.000000 102.628 179.3322
2200.000000 102.610 178.8969
2240.000000 102.576 177.9716
2270.000000 102.542 177.1754
2300.000000 102.490 176.3436
2330.000000 102.417 175.4744
2360.000000 102.311 174.5882
2400.000000 102.086 173.6731
2430.000000 101.871 173.7121
2470.000000 101.736 175.0862
2500.000000 101.834 175.7634
2540.000000 101.985 175.0863
2580.000000 102.004 173.7619
2620.000000 101.931 172.5743
2650.000000 101.850 171.8371
2690.000000 101.726 171.0233
2720.000000 101.627 170.5050
2760.000000 101.489 169.9103
2800.000000 101.345 169.4136
2850.000000 101.158 168.9185
2900.000000 100.964 168.5616
2950.000000 100.766 168.3886
3000.000000 100.572 168.3483
3040.000000 100.421 168.4343
3070.000000 100.313 168.5344
3110.000000 100.172 168.7187
3150.000000 100.037 168.9657
3200.000000 99.875 169.3246
3250.000000 99.719 169.7623
3300.000000 99.568 170.2685
3350.000000 99.422 170.8636
3400.000000 99.283 171.5576
3450.000000 99.156 172.3218
3500.000000 99.048 173.1238
3550.000000 98.955 173.9715
3600.000000 98.874 174.8586
3650.000000 98.808 175.7897
3700.000000 98.756 176.7370
3750.000000 98.720 177.6922
3820.000000 98.692 179.0087
3870.000000 98.686 179.9185
3950.000000 98.691 -178.6514
4000.000000 98.706 -177.7302
4060.000000 98.742 -176.5973
4120.000000 98.807 -175.4845
4180.000000 98.893 -174.4930
4250.000000 99.003 -173.4611
4310.000000 99.103 -172.5789
4370.000000 99.225 -171.6392
4440.000000 99.414 -170.5782
4500.000000 99.614 -169.7681
4550.000000 99.800 -169.2497
4620.000000 100.082 -168.8141
4680.000000 100.330 -168.6752
4750.000000 100.629 -168.6774
4820.000000 100.960 -168.8573
4870.000000 101.222 -169.1710
4940.000000 101.624 -170.0403
