* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:09:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds L 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 84.198 -65.9491
20.299999 84.353 -66.2173
20.600000 84.510 -66.4617
20.900000 84.671 -66.6999
21.200001 84.834 -66.9486
21.400000 84.943 -67.1268
21.799999 85.161 -67.5237
22.000000 85.269 -67.7438
22.400000 85.475 -68.2184
22.700001 85.621 -68.5862
23.000000 85.759 -68.9402
23.299999 85.891 -69.2598
23.600000 86.020 -69.5339
24.000000 86.196 -69.8390
24.299999 86.334 -70.0499
24.700001 86.524 -70.3539
25.000000 86.667 -70.6145
25.400000 86.851 -70.9889
25.799999 87.027 -71.3472
26.200001 87.200 -71.6544
26.500000 87.334 -71.8612
26.900000 87.519 -72.1510
27.200001 87.660 -72.4063
27.600000 87.840 -72.7971
28.000000 88.007 -73.1931
28.500000 88.204 -73.5991
29.000000 88.408 -73.9086
29.500000 88.628 -74.2618
30.000000 88.844 -74.7575
30.400000 88.998 -75.2047
30.700001 89.101 -75.5091
31.100000 89.234 -75.8258
31.500000 89.375 -76.0562
32.000000 89.572 -76.3517
32.500000 89.779 -76.7887
33.000000 89.972 -77.3544
33.500000 90.142 -77.9161
34.000000 90.306 -78.3859
34.500000 90.479 -78.8004
35.000000 90.661 -79.2456
35.500000 90.840 -79.7397
36.000000 91.012 -80.2227
36.500000 91.184 -80.6504
37.000000 91.369 -81.0736
37.500000 91.562 -81.6024
38.200001 91.805 -82.5691
38.700001 91.936 -83.2388
39.500000 92.117 -83.8411
40.000000 92.262 -83.9822
40.599998 92.481 -84.2660
41.200001 92.703 -84.8678
41.799999 92.889 -85.6293
42.500000 93.076 -86.4089
43.099998 93.242 -86.9970
43.700001 93.414 -87.6484
44.400002 93.596 -88.4604
45.000000 93.744 -89.0668
45.500000 93.877 -89.5075
46.200001 94.084 -90.1743
46.799999 94.265 -90.8849
47.500000 94.458 -91.8300
48.200001 94.625 -92.7584
48.700001 94.735 -93.3458
49.400002 94.894 -94.0676
50.000000 95.043 -94.6841
50.799999 95.241 -95.6323
51.500000 95.397 -96.5237
52.200001 95.541 -97.3715
53.000000 95.705 -98.3018
53.799999 95.869 -99.2388
54.500000 96.011 -100.0669
55.200001 96.153 -100.9269
56.000000 96.308 -101.9498
57.000000 96.488 -103.2101
58.000000 96.663 -104.4588
59.000000 96.829 -105.7135
60.000000 96.987 -106.9621
60.799999 97.107 -107.9697
61.500000 97.207 -108.8421
62.200001 97.304 -109.7062
63.000000 97.412 -110.7023
64.000000 97.537 -111.9487
65.000000 97.655 -113.1688
66.000000 97.768 -114.3947
67.000000 97.869 -115.6270
68.000000 97.962 -116.8105
69.000000 98.055 -117.9885
70.000000 98.140 -119.1981
71.000000 98.216 -120.3801
72.000000 98.288 -121.5380
73.000000 98.353 -122.6827
74.000000 98.411 -123.7882
75.000000 98.466 -124.8621
76.199997 98.525 -126.1388
77.500000 98.578 -127.5178
78.800003 98.616 -128.8417
80.000000 98.657 -129.9819
81.199997 98.699 -131.1795
82.500000 98.730 -132.4489
83.800003 98.755 -133.6377
85.000000 98.773 -134.6701
86.199997 98.789 -135.6664
87.500000 98.799 -136.7277
88.500000 98.802 -137.5171
90.000000 98.805 -138.6698
91.199997 98.803 -139.5685
92.500000 98.800 -140.4918
93.800003 98.796 -141.3803
95.000000 98.789 -142.1841
96.199997 98.777 -142.9514
97.500000 98.761 -143.7424
98.800003 98.745 -144.4970
100.000000 98.731 -145.1784
101.500000 98.714 -146.0226
103.000000 98.693 -146.8253
104.400002 98.673 -147.5171
106.000000 98.649 -148.2729
107.500000 98.623 -148.9530
109.000000 98.596 -149.5981
110.599998 98.569 -150.2548
112.000000 98.545 -150.8064
113.800003 98.513 -151.4921
115.000000 98.490 -151.9203
117.199997 98.448 -152.6702
118.000000 98.433 -152.9429
120.599998 98.381 -153.7652
122.000000 98.355 -154.1522
124.099998 98.318 -154.7131
125.000000 98.302 -154.9405
126.500000 98.275 -155.3009
128.000000 98.250 -155.6605
131.500000 98.191 -156.4681
132.000000 98.183 -156.5741
134.000000 98.149 -156.9847
136.000000 98.115 -157.3756
138.000000 98.082 -157.7441
140.000000 98.051 -158.0832
143.000000 98.006 -158.5441
145.000000 97.976 -158.8350
147.500000 97.940 -159.1734
150.000000 97.907 -159.4847
152.500000 97.876 -159.7703
155.000000 97.845 -160.0433
157.500000 97.814 -160.3099
160.000000 97.784 -160.5385
162.500000 97.756 -160.7502
165.000000 97.730 -160.9398
167.500000 97.705 -161.1192
170.000000 97.682 -161.2913
172.500000 97.659 -161.4541
175.000000 97.636 -161.6074
177.500000 97.615 -161.7486
180.000000 97.594 -161.8742
182.500000 97.576 -161.9772
185.000000 97.559 -162.0726
187.500000 97.543 -162.1609
190.000000 97.525 -162.2407
192.500000 97.510 -162.3123
195.000000 97.495 -162.3911
197.500000 97.482 -162.4577
200.000000 97.471 -162.5039
203.000000 97.459 -162.5630
206.000000 97.446 -162.6153
209.000000 97.432 -162.6424
212.000000 97.419 -162.6786
214.000000 97.412 -162.7017
218.000000 97.401 -162.7577
220.000000 97.393 -162.7853
224.000000 97.378 -162.8182
227.000000 97.372 -162.8306
230.000000 97.369 -162.8387
233.000000 97.365 -162.8055
236.000000 97.357 -162.7320
240.000000 97.347 -162.6541
243.000000 97.342 -162.6909
247.000000 97.333 -162.6969
250.000000 97.329 -162.6576
254.000000 97.324 -162.5888
258.000000 97.322 -162.4900
262.000000 97.320 -162.3422
265.000000 97.319 -162.2062
269.000000 97.323 -162.0014
272.000000 97.332 -161.8040
276.000000 97.363 -161.4801
280.000000 97.428 -161.1741
285.000000 97.551 -161.1472
290.000000 97.649 -161.7253
295.000000 97.664 -162.4398
300.000000 97.631 -162.8587
304.000000 97.601 -162.9768
307.000000 97.584 -163.0106
311.000000 97.567 -163.0271
315.000000 97.556 -163.0157
320.000000 97.549 -162.9957
325.000000 97.546 -162.9938
330.000000 97.544 -162.9979
335.000000 97.540 -163.0024
340.000000 97.533 -163.0146
345.000000 97.524 -163.0098
350.000000 97.512 -162.9875
355.000000 97.497 -162.9372
360.000000 97.480 -162.8702
365.000000 97.460 -162.7850
370.000000 97.440 -162.6736
375.000000 97.421 -162.4897
382.000000 97.401 -162.1266
387.000000 97.394 -161.8521
395.000000 97.389 -161.3758
400.000000 97.394 -161.0362
406.000000 97.411 -160.6211
412.000000 97.441 -160.2150
418.000000 97.484 -159.8693
425.000000 97.540 -159.5576
431.000000 97.586 -159.3532
437.000000 97.627 -159.1931
444.000000 97.669 -159.0145
450.000000 97.699 -158.8308
455.000000 97.724 -158.6546
462.000000 97.761 -158.3980
468.000000 97.796 -158.2001
475.000000 97.839 -157.9659
482.000000 97.883 -157.7138
487.000000 97.920 -157.5277
494.000000 97.978 -157.2756
500.000000 98.029 -157.0852
508.000000 98.100 -156.8374
515.000000 98.166 -156.6741
522.000000 98.235 -156.5507
530.000000 98.311 -156.4303
538.000000 98.389 -156.3358
545.000000 98.458 -156.2628
552.000000 98.525 -156.2120
560.000000 98.600 -156.2072
570.000000 98.690 -156.2601
580.000000 98.780 -156.3207
590.000000 98.870 -156.3985
600.000000 98.955 -156.5145
608.000000 99.019 -156.6361
615.000000 99.074 -156.7655
622.000000 99.128 -156.9040
630.000000 99.187 -157.0776
640.000000 99.257 -157.3194
650.000000 99.320 -157.5648
660.000000 99.381 -157.8351
670.000000 99.437 -158.1527
680.000000 99.483 -158.4792
690.000000 99.524 -158.7745
700.000000 99.562 -159.0518
710.000000 99.592 -159.2945
720.000000 99.611 -159.5093
730.000000 99.627 -159.7097
740.000000 99.645 -159.9011
750.000000 99.660 -160.0774
762.000000 99.675 -160.2594
775.000000 99.689 -160.3929
788.000000 99.699 -160.5238
800.000000 99.706 -160.6087
812.000000 99.715 -160.6362
825.000000 99.730 -160.6095
838.000000 99.754 -160.5764
850.000000 99.775 -160.5688
862.000000 99.796 -160.5130
875.000000 99.832 -160.4331
885.000000 99.871 -160.4310
900.000000 99.926 -160.5897
912.000000 99.950 -160.8480
925.000000 99.942 -161.1339
938.000000 99.900 -161.2143
950.000000 99.863 -160.9802
962.000000 99.854 -160.5878
975.000000 99.874 -160.1520
988.000000 99.912 -159.7703
1000.000000 99.955 -159.4699
1015.000000 100.014 -159.1366
1030.000000 100.080 -158.8402
1044.000000 100.147 -158.5820
1060.000000 100.227 -158.3122
1075.000000 100.308 -158.0810
1090.000000 100.394 -157.8833
1106.000000 100.490 -157.7102
1120.000000 100.577 -157.5873
1138.000000 100.695 -157.4604
1150.000000 100.778 -157.4093
1172.000000 100.934 -157.3937
1180.000000 100.991 -157.4172
1206.000000 101.176 -157.6148
1220.000000 101.269 -157.7881
1241.000000 101.401 -158.0517
1250.000000 101.459 -158.1467
1265.000000 101.562 -158.3198
1280.000000 101.670 -158.5671
1315.000000 101.914 -159.3858
1320.000000 101.947 -159.5225
1340.000000 102.073 -160.1205
1360.000000 102.189 -160.7849
1380.000000 102.293 -161.5019
1400.000000 102.386 -162.2518
1430.000000 102.509 -163.3709
1450.000000 102.583 -164.1396
1475.000000 102.662 -165.1483
1500.000000 102.726 -166.1659
1525.000000 102.772 -167.1723
1550.000000 102.807 -168.1339
1575.000000 102.833 -169.0770
1600.000000 102.845 -169.9928
1625.000000 102.851 -170.8458
1650.000000 102.853 -171.6647
1675.000000 102.848 -172.4561
1700.000000 102.835 -173.1965
1725.000000 102.818 -173.8720
1750.000000 102.803 -174.5076
1775.000000 102.787 -175.1176
1800.000000 102.770 -175.7062
1825.000000 102.751 -176.2754
1850.000000 102.729 -176.8065
1875.000000 102.707 -177.2840
1900.000000 102.691 -177.7340
1925.000000 102.678 -178.1799
1950.000000 102.668 -178.6404
1975.000000 102.657 -179.1131
2000.000000 102.642 -179.5741
2030.000000 102.630 179.9112
2060.000000 102.623 179.3515
2090.000000 102.611 178.7379
2120.000000 102.595 178.1405
2140.000000 102.584 177.7321
2180.000000 102.556 176.8805
2200.000000 102.538 176.4641
2240.000000 102.507 175.5777
2270.000000 102.473 174.8043
2300.000000 102.420 174.0127
2330.000000 102.352 173.2069
2360.000000 102.254 172.3610
2400.000000 102.043 171.4284
2430.000000 101.832 171.3832
2470.000000 101.676 172.6871
2500.000000 101.761 173.4811
2540.000000 101.919 172.9402
2580.000000 101.948 171.6530
2620.000000 101.883 170.4818
2650.000000 101.806 169.7482
2690.000000 101.687 168.9240
2720.000000 101.590 168.3861
2760.000000 101.449 167.7715
2800.000000 101.302 167.2794
2850.000000 101.113 166.8154
2900.000000 100.921 166.4777
2950.000000 100.726 166.2932
3000.000000 100.532 166.2291
3040.000000 100.378 166.2885
3070.000000 100.266 166.3786
3110.000000 100.120 166.5549
3150.000000 99.980 166.8044
3200.000000 99.812 167.1674
3250.000000 99.649 167.6223
3300.000000 99.493 168.1331
3350.000000 99.338 168.7406
3400.000000 99.193 169.4381
3450.000000 99.063 170.1928
3500.000000 98.950 171.0057
3550.000000 98.851 171.8569
3600.000000 98.762 172.7298
3650.000000 98.683 173.6470
3700.000000 98.616 174.5942
3750.000000 98.562 175.5809
3820.000000 98.511 176.9905
3870.000000 98.492 177.9887
3950.000000 98.488 179.5519
4000.000000 98.499 -179.4999
4060.000000 98.522 -178.3933
4120.000000 98.557 -177.2783
4180.000000 98.607 -176.1564
4250.000000 98.691 -174.8550
4310.000000 98.785 -173.7894
4370.000000 98.895 -172.7807
4440.000000 99.041 -171.6371
4500.000000 99.193 -170.6585
4550.000000 99.348 -169.8797
4620.000000 99.610 -169.0076
4680.000000 99.855 -168.5287
4750.000000 100.145 -168.1861
4820.000000 100.444 -168.0009
4870.000000 100.675 -167.9487
4940.000000 101.038 -168.0906
5000.000000 101.381 -168.5302
