* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:34:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds R 5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 82.259 -56.6475
20.299999 82.416 -57.0288
20.600000 82.566 -57.3382
20.900000 82.715 -57.5667
21.200001 82.869 -57.7326
21.400000 82.976 -57.8257
21.799999 83.198 -58.0137
22.000000 83.311 -58.1213
22.400000 83.537 -58.3705
22.700001 83.705 -58.5786
23.000000 83.871 -58.7966
23.299999 84.037 -59.0241
23.600000 84.202 -59.2671
24.000000 84.420 -59.6273
24.299999 84.580 -59.9264
24.700001 84.785 -60.3505
25.000000 84.932 -60.6719
25.400000 85.121 -61.0821
25.799999 85.304 -61.4545
26.200001 85.486 -61.7815
26.500000 85.623 -62.0001
26.900000 85.809 -62.2729
27.200001 85.952 -62.4809
27.600000 86.144 -62.7857
28.000000 86.330 -63.1216
28.500000 86.548 -63.5223
29.000000 86.756 -63.8020
29.500000 86.979 -63.9575
30.000000 87.230 -64.1487
30.400000 87.440 -64.4504
30.700001 87.591 -64.7789
31.100000 87.772 -65.2979
31.500000 87.927 -65.8086
32.000000 88.099 -66.3072
32.500000 88.274 -66.6424
33.000000 88.465 -66.9193
33.500000 88.667 -67.2266
34.000000 88.875 -67.5803
34.500000 89.088 -67.9879
35.000000 89.304 -68.4908
35.500000 89.509 -69.0997
36.000000 89.691 -69.7278
36.500000 89.856 -70.2426
37.000000 90.025 -70.6012
37.500000 90.217 -70.9094
38.200001 90.506 -71.5207
38.700001 90.697 -72.0995
39.500000 90.962 -72.9913
40.000000 91.122 -73.4451
40.599998 91.322 -73.9493
41.200001 91.533 -74.5047
41.799999 91.747 -75.1884
42.500000 91.978 -76.1852
43.099998 92.139 -77.0630
43.700001 92.276 -77.7301
44.400002 92.461 -78.1996
45.000000 92.660 -78.5717
45.500000 92.841 -78.9835
46.200001 93.093 -79.7195
46.799999 93.295 -80.4616
47.500000 93.496 -81.3299
48.200001 93.677 -81.9510
48.700001 93.829 -82.2862
49.400002 94.081 -83.0180
50.000000 94.270 -84.0528
50.799999 94.419 -85.4640
51.500000 94.524 -86.2916
52.200001 94.668 -86.9997
53.000000 94.846 -88.0188
53.799999 95.007 -89.0979
54.500000 95.148 -90.0023
55.200001 95.292 -90.9007
56.000000 95.456 -91.8969
57.000000 95.664 -93.1410
58.000000 95.859 -94.3662
59.000000 96.054 -95.5843
60.000000 96.230 -96.9522
60.799999 96.343 -98.0272
61.500000 96.439 -98.9129
62.200001 96.535 -99.8001
63.000000 96.642 -100.8220
64.000000 96.775 -102.0881
65.000000 96.906 -103.3824
66.000000 97.025 -104.6578
67.000000 97.136 -105.8616
68.000000 97.241 -107.0208
69.000000 97.340 -108.1658
70.000000 97.430 -109.3036
71.000000 97.513 -110.4303
72.000000 97.590 -111.5437
73.000000 97.663 -112.6442
74.000000 97.731 -113.7309
75.000000 97.796 -114.7951
76.199997 97.867 -116.0481
77.500000 97.932 -117.3651
78.800003 97.988 -118.6141
80.000000 98.038 -119.7438
81.199997 98.083 -120.8737
82.500000 98.126 -122.0626
83.800003 98.162 -123.1971
85.000000 98.193 -124.1710
86.199997 98.222 -125.0986
87.500000 98.250 -126.0720
88.500000 98.267 -126.8101
90.000000 98.285 -127.9146
91.199997 98.291 -128.7613
92.500000 98.296 -129.5942
93.800003 98.307 -130.3954
95.000000 98.316 -131.1175
96.199997 98.324 -131.8072
97.500000 98.329 -132.5312
98.800003 98.330 -133.2227
100.000000 98.332 -133.8340
101.500000 98.335 -134.6204
103.000000 98.332 -135.3965
104.400002 98.326 -136.0625
106.000000 98.322 -136.7655
107.500000 98.318 -137.3841
109.000000 98.313 -137.9697
110.599998 98.306 -138.5669
112.000000 98.299 -139.0559
113.800003 98.293 -139.6632
115.000000 98.288 -140.0636
117.199997 98.274 -140.7469
118.000000 98.271 -140.9820
120.599998 98.260 -141.7370
122.000000 98.254 -142.1149
124.099998 98.246 -142.6400
125.000000 98.242 -142.8495
126.500000 98.237 -143.1926
128.000000 98.230 -143.5363
131.500000 98.214 -144.2667
132.000000 98.212 -144.3659
134.000000 98.205 -144.7516
136.000000 98.199 -145.1189
138.000000 98.193 -145.4756
140.000000 98.188 -145.8045
143.000000 98.183 -146.2350
145.000000 98.178 -146.5258
147.500000 98.168 -146.9220
150.000000 98.155 -147.2524
152.500000 98.161 -147.4886
155.000000 98.168 -147.7467
157.500000 98.166 -147.9732
160.000000 98.168 -148.1602
162.500000 98.173 -148.3948
165.000000 98.174 -148.6169
167.500000 98.175 -148.8029
170.000000 98.181 -148.9672
172.500000 98.187 -149.1607
175.000000 98.190 -149.3614
177.500000 98.188 -149.5746
180.000000 98.181 -149.6770
182.500000 98.186 -149.7345
185.000000 98.200 -149.8425
187.500000 98.222 -149.9824
190.000000 98.242 -150.1431
192.500000 98.247 -150.2946
195.000000 98.246 -150.3815
197.500000 98.258 -150.4557
200.000000 98.279 -150.5295
203.000000 98.296 -150.6229
206.000000 98.303 -150.6998
209.000000 98.318 -150.7969
212.000000 98.337 -150.8979
214.000000 98.346 -150.9759
218.000000 98.356 -151.1574
220.000000 98.363 -151.2233
224.000000 98.387 -151.2677
227.000000 98.408 -151.3015
230.000000 98.428 -151.3481
233.000000 98.452 -151.4139
236.000000 98.486 -151.4602
240.000000 98.529 -151.4414
243.000000 98.536 -151.4839
247.000000 98.528 -151.5537
250.000000 98.540 -151.5638
254.000000 98.564 -151.5915
258.000000 98.582 -151.6351
262.000000 98.599 -151.5840
265.000000 98.612 -151.5248
269.000000 98.632 -151.4226
272.000000 98.651 -151.2776
276.000000 98.684 -150.9774
280.000000 98.739 -150.5673
285.000000 98.878 -150.0367
290.000000 99.098 -150.0418
295.000000 99.282 -150.9596
300.000000 99.348 -152.0987
304.000000 99.341 -152.8194
307.000000 99.325 -153.2039
311.000000 99.306 -153.5496
315.000000 99.294 -153.7889
320.000000 99.289 -154.0314
325.000000 99.290 -154.2354
330.000000 99.296 -154.4640
335.000000 99.298 -154.6813
340.000000 99.284 -154.8443
345.000000 99.256 -154.9673
350.000000 99.220 -154.9918
355.000000 99.186 -154.8696
360.000000 99.176 -154.6573
365.000000 99.186 -154.3668
370.000000 99.214 -154.0833
375.000000 99.255 -153.8822
382.000000 99.312 -153.7040
387.000000 99.345 -153.6608
395.000000 99.397 -153.5936
400.000000 99.431 -153.5248
406.000000 99.470 -153.4247
412.000000 99.508 -153.3464
418.000000 99.550 -153.2303
425.000000 99.602 -153.0583
431.000000 99.650 -152.9017
437.000000 99.702 -152.7298
444.000000 99.765 -152.5314
450.000000 99.822 -152.4014
455.000000 99.873 -152.3384
462.000000 99.947 -152.2440
468.000000 100.013 -152.1649
475.000000 100.090 -152.1011
482.000000 100.168 -152.0560
487.000000 100.225 -152.0545
494.000000 100.304 -152.0809
500.000000 100.371 -152.1144
508.000000 100.461 -152.1673
515.000000 100.539 -152.2252
522.000000 100.616 -152.3136
530.000000 100.706 -152.4515
538.000000 100.795 -152.5985
545.000000 100.870 -152.7390
552.000000 100.945 -152.9005
560.000000 101.030 -153.0882
570.000000 101.129 -153.3613
580.000000 101.231 -153.6863
590.000000 101.333 -154.0427
600.000000 101.427 -154.4180
608.000000 101.502 -154.7210
615.000000 101.566 -155.0159
622.000000 101.628 -155.3423
630.000000 101.694 -155.7356
640.000000 101.768 -156.2272
650.000000 101.839 -156.7129
660.000000 101.905 -157.2173
670.000000 101.967 -157.7358
680.000000 102.022 -158.2571
690.000000 102.071 -158.7860
700.000000 102.116 -159.3150
710.000000 102.153 -159.8420
720.000000 102.185 -160.3653
730.000000 102.214 -160.8695
740.000000 102.237 -161.3514
750.000000 102.256 -161.8132
762.000000 102.276 -162.3343
775.000000 102.296 -162.8619
788.000000 102.322 -163.3694
800.000000 102.348 -163.8613
812.000000 102.373 -164.4076
825.000000 102.389 -165.0927
838.000000 102.375 -165.8374
850.000000 102.330 -166.4236
862.000000 102.274 -166.7973
875.000000 102.222 -166.9982
885.000000 102.194 -167.0729
900.000000 102.168 -167.1403
912.000000 102.157 -167.1869
925.000000 102.151 -167.2351
938.000000 102.151 -167.2956
950.000000 102.155 -167.3465
962.000000 102.162 -167.3938
975.000000 102.171 -167.4328
988.000000 102.182 -167.4622
1000.000000 102.195 -167.4861
1015.000000 102.215 -167.5079
1030.000000 102.239 -167.5186
1044.000000 102.267 -167.5200
1060.000000 102.306 -167.5371
1075.000000 102.349 -167.5695
1090.000000 102.395 -167.6295
1106.000000 102.446 -167.7225
1120.000000 102.491 -167.8054
1138.000000 102.553 -167.9275
1150.000000 102.599 -168.0199
1172.000000 102.692 -168.2343
1180.000000 102.727 -168.3329
1206.000000 102.846 -168.7350
1220.000000 102.911 -169.0074
1241.000000 103.008 -169.4813
1250.000000 103.049 -169.7087
1265.000000 103.118 -170.1264
1280.000000 103.183 -170.5927
1315.000000 103.319 -171.7979
1320.000000 103.336 -171.9842
1340.000000 103.405 -172.7658
1360.000000 103.466 -173.6190
1380.000000 103.513 -174.5405
1400.000000 103.543 -175.4856
1430.000000 103.568 -176.8619
1450.000000 103.577 -177.7913
1475.000000 103.571 -179.0054
1500.000000 103.540 179.8040
1525.000000 103.494 178.6895
1550.000000 103.436 177.6176
1575.000000 103.360 176.5919
1600.000000 103.273 175.6898
1625.000000 103.184 174.8334
1650.000000 103.083 174.0157
1675.000000 102.971 173.2918
1700.000000 102.854 172.6647
1725.000000 102.732 172.1333
1750.000000 102.609 171.6993
1775.000000 102.489 171.3498
1800.000000 102.371 171.0618
1825.000000 102.252 170.8193
1850.000000 102.131 170.6789
1875.000000 102.017 170.6439
1900.000000 101.914 170.6648
1925.000000 101.820 170.7012
1950.000000 101.730 170.7419
1975.000000 101.638 170.8237
2000.000000 101.550 171.0078
2030.000000 101.467 171.3022
2060.000000 101.403 171.5355
2090.000000 101.339 171.7206
2120.000000 101.278 171.9527
2140.000000 101.243 172.1119
2180.000000 101.187 172.4559
2200.000000 101.170 172.5998
2240.000000 101.136 172.7442
2270.000000 101.104 172.8461
2300.000000 101.080 172.9294
2330.000000 101.056 172.9214
2360.000000 101.022 172.8024
2400.000000 100.923 172.5485
2430.000000 100.792 172.6163
2470.000000 100.623 173.6411
2500.000000 100.591 174.9113
2540.000000 100.721 176.3372
2580.000000 100.924 176.5507
2620.000000 101.050 175.9884
2650.000000 101.093 175.4741
2690.000000 101.104 174.8173
2720.000000 101.094 174.4030
2760.000000 101.067 173.8850
2800.000000 101.023 173.4150
2850.000000 100.956 172.9004
2900.000000 100.873 172.4491
2950.000000 100.778 172.0465
3000.000000 100.669 171.7289
3040.000000 100.575 171.5330
3070.000000 100.501 171.4242
3110.000000 100.397 171.3369
3150.000000 100.291 171.3181
3200.000000 100.158 171.3856
3250.000000 100.024 171.5421
3300.000000 99.892 171.7982
3350.000000 99.764 172.1403
3400.000000 99.642 172.5542
3450.000000 99.525 173.0315
3500.000000 99.410 173.5662
3550.000000 99.299 174.1780
3600.000000 99.199 174.8202
3650.000000 99.108 175.4951
3700.000000 99.024 176.2266
3750.000000 98.948 177.0140
3820.000000 98.860 178.1877
3870.000000 98.810 179.0432
3950.000000 98.743 -179.5625
4000.000000 98.712 -178.6487
4060.000000 98.685 -177.5273
4120.000000 98.677 -176.3328
4180.000000 98.691 -175.1898
4250.000000 98.712 -173.9619
4310.000000 98.722 -172.8417
4370.000000 98.744 -171.5241
4440.000000 98.813 -169.8284
4500.000000 98.919 -168.3675
4550.000000 99.032 -167.2050
4620.000000 99.232 -165.6541
4680.000000 99.446 -164.4491
4750.000000 99.738 -163.2944
4820.000000 100.059 -162.4070
4870.000000 100.300 -161.9271
4940.000000 100.662 -161.4762
5000.000000 100.994 -161.3438
5080.000000 101.464 -161.5605
