* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 17, 2023 12:29:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vido Earbuds R 1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 79.734 -49.3822
20.299999 79.909 -49.5597
20.600000 80.092 -49.6642
20.900000 80.287 -49.7467
21.200001 80.492 -49.8627
21.400000 80.631 -49.9799
21.799999 80.900 -50.3221
22.000000 81.026 -50.5329
22.400000 81.255 -50.9594
22.700001 81.410 -51.2192
23.000000 81.559 -51.3948
23.299999 81.713 -51.5003
23.600000 81.878 -51.5855
24.000000 82.112 -51.7739
24.299999 82.289 -52.0176
24.700001 82.509 -52.4583
25.000000 82.657 -52.8135
25.400000 82.838 -53.2216
25.799999 83.016 -53.5139
26.200001 83.208 -53.7444
26.500000 83.363 -53.9389
26.900000 83.572 -54.2799
27.200001 83.724 -54.5909
27.600000 83.914 -55.0209
28.000000 84.093 -55.3982
28.500000 84.316 -55.7566
29.000000 84.554 -56.0512
29.500000 84.804 -56.3748
30.000000 85.056 -56.7668
30.400000 85.255 -57.1275
30.700001 85.402 -57.4192
31.100000 85.591 -57.8216
31.500000 85.774 -58.2167
32.000000 86.000 -58.6813
32.500000 86.231 -59.1579
33.000000 86.462 -59.7310
33.500000 86.671 -60.3863
34.000000 86.849 -60.9567
34.500000 87.021 -61.2932
35.000000 87.224 -61.4843
35.500000 87.459 -61.8005
36.000000 87.686 -62.3761
36.500000 87.866 -63.0346
37.000000 88.012 -63.4919
37.500000 88.166 -63.6712
38.200001 88.447 -63.8535
38.700001 88.668 -64.2036
39.500000 88.998 -65.0730
40.000000 89.191 -65.6930
40.599998 89.415 -66.5156
41.200001 89.624 -67.3960
41.799999 89.822 -68.2411
42.500000 90.061 -69.1994
43.099998 90.267 -70.0817
43.700001 90.455 -70.9582
44.400002 90.664 -71.8269
45.000000 90.848 -72.4711
45.500000 90.999 -72.9825
46.200001 91.196 -73.5893
46.799999 91.369 -73.9701
47.500000 91.584 -74.4221
48.200001 91.786 -74.9535
48.700001 91.922 -75.2725
49.400002 92.141 -75.6784
50.000000 92.360 -76.3014
50.799999 92.609 -77.7030
51.500000 92.751 -78.9794
52.200001 92.881 -79.9962
53.000000 93.059 -81.1216
53.799999 93.233 -82.3103
54.500000 93.386 -83.2685
55.200001 93.553 -84.2178
56.000000 93.741 -85.3706
57.000000 93.957 -86.8455
58.000000 94.134 -88.2848
59.000000 94.294 -89.3803
60.000000 94.507 -90.4752
60.799999 94.672 -91.6418
61.500000 94.789 -92.6965
62.200001 94.898 -93.6777
63.000000 95.022 -94.7517
64.000000 95.173 -96.0497
65.000000 95.324 -97.3087
66.000000 95.466 -98.5835
67.000000 95.593 -99.8514
68.000000 95.707 -101.1135
69.000000 95.805 -102.3544
70.000000 95.898 -103.5381
71.000000 95.994 -104.7174
72.000000 96.087 -105.9245
73.000000 96.173 -107.1060
74.000000 96.256 -108.2771
75.000000 96.325 -109.4042
76.199997 96.407 -110.6505
77.500000 96.490 -112.0602
78.800003 96.552 -113.4066
80.000000 96.610 -114.6186
81.199997 96.659 -115.8339
82.500000 96.704 -117.0542
83.800003 96.753 -118.2166
85.000000 96.795 -119.3047
86.199997 96.829 -120.3730
87.500000 96.860 -121.5121
88.500000 96.877 -122.3575
90.000000 96.900 -123.5343
91.199997 96.916 -124.4173
92.500000 96.935 -125.2806
93.800003 96.959 -126.1327
95.000000 96.973 -126.9601
96.199997 96.974 -127.7702
97.500000 96.968 -128.5757
98.800003 96.967 -129.3227
100.000000 96.971 -130.0038
101.500000 96.979 -130.8321
103.000000 96.989 -131.6378
104.400002 96.994 -132.3642
106.000000 96.991 -133.1305
107.500000 96.986 -133.7835
109.000000 96.982 -134.4260
110.599998 96.977 -135.1262
112.000000 96.971 -135.7268
113.800003 96.966 -136.4470
115.000000 96.965 -136.8804
117.199997 96.966 -137.5608
118.000000 96.968 -137.7807
120.599998 96.966 -138.5831
122.000000 96.950 -139.0104
124.099998 96.928 -139.6101
125.000000 96.922 -139.8689
126.500000 96.913 -140.2846
128.000000 96.907 -140.6776
131.500000 96.891 -141.5114
132.000000 96.889 -141.6190
134.000000 96.882 -142.0418
136.000000 96.877 -142.4454
138.000000 96.875 -142.8313
140.000000 96.871 -143.2243
143.000000 96.858 -143.7210
145.000000 96.854 -144.0075
147.500000 96.848 -144.4154
150.000000 96.834 -144.8101
152.500000 96.831 -145.1200
155.000000 96.836 -145.4327
157.500000 96.837 -145.6704
160.000000 96.836 -145.9208
162.500000 96.828 -146.2295
165.000000 96.831 -146.5159
167.500000 96.841 -146.7636
170.000000 96.845 -146.9292
172.500000 96.841 -147.0739
175.000000 96.846 -147.3017
177.500000 96.862 -147.5046
180.000000 96.884 -147.6255
182.500000 96.892 -147.7605
185.000000 96.890 -147.9184
187.500000 96.890 -148.0539
190.000000 96.897 -148.1119
192.500000 96.902 -148.2429
195.000000 96.908 -148.4156
197.500000 96.932 -148.5339
200.000000 96.967 -148.5689
203.000000 96.985 -148.6200
206.000000 96.971 -148.7673
209.000000 96.963 -148.9439
212.000000 96.971 -149.1088
214.000000 96.978 -149.2052
218.000000 96.997 -149.3179
220.000000 97.013 -149.3763
224.000000 97.037 -149.4759
227.000000 97.051 -149.5324
230.000000 97.072 -149.5862
233.000000 97.096 -149.5930
236.000000 97.120 -149.6452
240.000000 97.149 -149.9429
243.000000 97.159 -150.0886
247.000000 97.161 -149.9206
250.000000 97.168 -149.8663
254.000000 97.186 -149.9114
258.000000 97.209 -149.9115
262.000000 97.234 -149.8855
265.000000 97.250 -149.8349
269.000000 97.267 -149.6905
272.000000 97.283 -149.5325
276.000000 97.313 -149.2318
280.000000 97.370 -148.8121
285.000000 97.517 -148.2534
290.000000 97.754 -148.2082
295.000000 97.964 -149.1897
300.000000 98.028 -150.5733
304.000000 98.007 -151.3935
307.000000 97.982 -151.8361
311.000000 97.955 -152.2215
315.000000 97.937 -152.4565
320.000000 97.922 -152.6766
325.000000 97.913 -152.8797
330.000000 97.904 -153.1105
335.000000 97.894 -153.3477
340.000000 97.870 -153.5682
345.000000 97.839 -153.7189
350.000000 97.803 -153.7315
355.000000 97.765 -153.5936
360.000000 97.733 -153.2782
365.000000 97.726 -152.8144
370.000000 97.748 -152.3988
375.000000 97.790 -152.1057
382.000000 97.861 -151.8438
387.000000 97.910 -151.7435
395.000000 97.974 -151.6819
400.000000 98.005 -151.6430
406.000000 98.040 -151.5609
412.000000 98.077 -151.4502
418.000000 98.115 -151.3064
425.000000 98.160 -151.1293
431.000000 98.200 -150.9642
437.000000 98.250 -150.7927
444.000000 98.318 -150.6041
450.000000 98.376 -150.4629
455.000000 98.426 -150.3646
462.000000 98.499 -150.2457
468.000000 98.562 -150.1842
475.000000 98.636 -150.1074
482.000000 98.712 -150.0565
487.000000 98.767 -150.0249
494.000000 98.843 -149.9967
500.000000 98.908 -149.9904
508.000000 98.996 -150.0114
515.000000 99.075 -150.0615
522.000000 99.150 -150.1057
530.000000 99.238 -150.1681
538.000000 99.328 -150.2661
545.000000 99.406 -150.3737
552.000000 99.483 -150.5025
560.000000 99.570 -150.6888
570.000000 99.677 -150.9315
580.000000 99.781 -151.1629
590.000000 99.875 -151.4083
600.000000 99.969 -151.7098
608.000000 100.048 -151.9603
615.000000 100.114 -152.2150
622.000000 100.175 -152.5105
630.000000 100.239 -152.8427
640.000000 100.317 -153.2473
650.000000 100.391 -153.6662
660.000000 100.461 -154.0929
670.000000 100.529 -154.5422
680.000000 100.590 -154.9999
690.000000 100.645 -155.4680
700.000000 100.694 -155.9497
710.000000 100.738 -156.4202
720.000000 100.778 -156.8783
730.000000 100.814 -157.3341
740.000000 100.844 -157.7763
750.000000 100.870 -158.1930
762.000000 100.898 -158.6612
775.000000 100.928 -159.1483
788.000000 100.961 -159.6177
800.000000 100.993 -160.0737
812.000000 101.022 -160.5807
825.000000 101.043 -161.2169
838.000000 101.040 -161.8933
850.000000 101.008 -162.4354
862.000000 100.963 -162.8032
875.000000 100.920 -163.0177
885.000000 100.897 -163.1091
900.000000 100.874 -163.1962
912.000000 100.863 -163.2436
925.000000 100.859 -163.2790
938.000000 100.859 -163.3094
950.000000 100.862 -163.3325
962.000000 100.866 -163.3548
975.000000 100.873 -163.3607
988.000000 100.885 -163.3439
1000.000000 100.899 -163.3175
1015.000000 100.920 -163.2797
1030.000000 100.945 -163.2460
1044.000000 100.973 -163.2053
1060.000000 101.010 -163.1560
1075.000000 101.051 -163.1251
1090.000000 101.095 -163.1167
1106.000000 101.144 -163.1259
1120.000000 101.188 -163.1261
1138.000000 101.251 -163.1225
1150.000000 101.297 -163.1233
1172.000000 101.392 -163.1722
1180.000000 101.428 -163.2115
1206.000000 101.554 -163.3917
1220.000000 101.625 -163.5486
1241.000000 101.732 -163.8538
1250.000000 101.779 -164.0028
1265.000000 101.856 -164.2920
1280.000000 101.930 -164.6353
1315.000000 102.095 -165.5322
1320.000000 102.118 -165.6769
1340.000000 102.206 -166.3064
1360.000000 102.287 -167.0125
1380.000000 102.355 -167.7783
1400.000000 102.410 -168.5638
1430.000000 102.475 -169.7551
1450.000000 102.509 -170.5701
1475.000000 102.541 -171.6263
1500.000000 102.552 -172.7234
1525.000000 102.540 -173.7692
1550.000000 102.516 -174.7394
1575.000000 102.480 -175.6958
1600.000000 102.432 -176.5544
1625.000000 102.380 -177.3524
1650.000000 102.321 -178.1440
1675.000000 102.248 -178.8891
1700.000000 102.165 -179.5188
1725.000000 102.082 179.9539
1750.000000 101.999 179.4731
1775.000000 101.912 179.0607
1800.000000 101.826 178.7111
1825.000000 101.736 178.4199
1850.000000 101.644 178.2366
1875.000000 101.560 178.1606
1900.000000 101.488 178.1458
1925.000000 101.429 178.1385
1950.000000 101.374 178.1031
1975.000000 101.316 178.0797
2000.000000 101.259 178.1384
2030.000000 101.210 178.2714
2060.000000 101.174 178.3344
2090.000000 101.135 178.3781
2120.000000 101.103 178.4799
2140.000000 101.086 178.5418
2180.000000 101.062 178.6621
2200.000000 101.059 178.7215
2240.000000 101.066 178.6941
2270.000000 101.065 178.5724
2300.000000 101.062 178.4184
2330.000000 101.056 178.1899
2360.000000 101.037 177.8545
2400.000000 100.957 177.2881
2430.000000 100.830 177.1112
2470.000000 100.664 177.9180
2500.000000 100.644 179.0186
2540.000000 100.785 -179.8452
2580.000000 100.997 -179.9298
2620.000000 101.119 179.1609
2650.000000 101.149 178.4272
2690.000000 101.145 177.5334
2720.000000 101.120 176.9546
2760.000000 101.074 176.2871
2800.000000 101.016 175.6730
2850.000000 100.930 174.9876
2900.000000 100.824 174.3757
2950.000000 100.709 173.8708
3000.000000 100.580 173.4504
3040.000000 100.471 173.1990
3070.000000 100.385 173.0632
3110.000000 100.270 172.9658
3150.000000 100.157 172.9213
3200.000000 100.016 172.9461
3250.000000 99.875 173.0440
3300.000000 99.733 173.2398
3350.000000 99.593 173.5295
3400.000000 99.457 173.9227
3450.000000 99.328 174.4059
3500.000000 99.206 174.9828
3550.000000 99.095 175.6050
3600.000000 98.998 176.2454
3650.000000 98.912 176.9064
3700.000000 98.832 177.5967
3750.000000 98.758 178.3239
3820.000000 98.669 179.4109
3870.000000 98.617 -179.7734
3950.000000 98.552 -178.4578
4000.000000 98.523 -177.6097
4060.000000 98.499 -176.5816
4120.000000 98.490 -175.5392
4180.000000 98.494 -174.5482
4250.000000 98.497 -173.4371
4310.000000 98.492 -172.4123
4370.000000 98.499 -171.2026
4440.000000 98.540 -169.6166
4500.000000 98.619 -168.1650
4550.000000 98.719 -166.9897
4620.000000 98.902 -165.4754
4680.000000 99.090 -164.3384
4750.000000 99.343 -163.1826
4820.000000 99.633 -162.2371
4870.000000 99.862 -161.6867
4940.000000 100.208 -161.1460
5000.000000 100.523 -160.9617
