* Freq(Hz)	SPL(dB)
20.000000	4.814
20.299999	4.805
20.600000	4.794
20.900000	4.782
21.200001	4.771
21.400000	4.764
21.799999	4.749
22.000000	4.741
22.400000	4.727
22.700001	4.716
23.000000	4.706
23.299999	4.696
23.600000	4.686
24.000000	4.672
24.299999	4.663
24.700001	4.650
25.000000	4.640
25.400000	4.628
25.799999	4.615
26.200001	4.602
26.500000	4.593
26.900000	4.580
27.200001	4.571
27.600000	4.557
28.000000	4.544
28.500000	4.528
29.000000	4.512
29.500000	4.495
30.000000	4.480
30.400000	4.467
30.700001	4.457
31.100000	4.444
31.500000	4.431
32.000000	4.414
32.500000	4.397
33.000000	4.381
33.500000	4.365
34.000000	4.349
34.500000	4.332
35.000000	4.316
35.500000	4.301
36.000000	4.285
36.500000	4.270
37.000000	4.254
37.500000	4.239
38.200001	4.219
38.700001	4.204
39.500000	4.182
40.000000	4.168
40.599998	4.152
41.200001	4.136
41.799999	4.121
42.500000	4.103
43.099998	4.088
43.700001	4.074
44.400002	4.058
45.000000	4.044
45.500000	4.034
46.200001	4.018
46.799999	4.006
47.500000	3.991
48.200001	3.977
48.700001	3.967
49.400002	3.953
50.000000	3.941
50.799999	3.926
51.500000	3.913
52.200001	3.900
53.000000	3.885
53.799999	3.871
54.500000	3.859
55.200001	3.846
56.000000	3.832
57.000000	3.815
58.000000	3.797
59.000000	3.780
60.000000	3.763
60.799999	3.749
61.500000	3.737
62.200001	3.724
63.000000	3.710
64.000000	3.693
65.000000	3.676
66.000000	3.660
67.000000	3.643
68.000000	3.626
69.000000	3.609
70.000000	3.592
71.000000	3.575
72.000000	3.557
73.000000	3.540
74.000000	3.523
75.000000	3.506
76.199997	3.486
77.500000	3.465
78.800003	3.443
80.000000	3.423
81.199997	3.404
82.500000	3.383
83.800003	3.363
85.000000	3.344
86.199997	3.326
87.500000	3.306
88.500000	3.290
90.000000	3.267
91.199997	3.249
92.500000	3.230
93.800003	3.210
95.000000	3.192
96.199997	3.173
97.500000	3.153
98.800003	3.133
100.000000	3.114
101.500000	3.091
103.000000	3.067
104.400002	3.045
106.000000	3.020
107.500000	2.996
109.000000	2.972
110.599998	2.946
112.000000	2.924
113.800003	2.895
115.000000	2.876
