* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 9:08:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audeze LCD-2.2 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	71.800	-56.5833
20.299999	72.037	-58.3838
20.600000	72.259	-60.1785
20.900000	72.469	-61.9417
21.200001	72.670	-63.6653
21.400000	72.800	-64.8010
21.799999	73.050	-67.0651
22.000000	73.170	-68.2050
22.400000	73.393	-70.5124
22.700001	73.543	-72.2571
23.000000	73.677	-73.9945
23.299999	73.796	-75.7073
23.600000	73.903	-77.3863
24.000000	74.028	-79.5671
24.299999	74.111	-81.1604
24.700001	74.212	-83.2300
25.000000	74.281	-84.7420
25.400000	74.368	-86.7094
25.799999	74.454	-88.6406
26.200001	74.538	-90.5667
26.500000	74.600	-92.0241
26.900000	74.674	-93.9906
27.200001	74.723	-95.4754
27.600000	74.775	-97.4464
28.000000	74.811	-99.3747
28.500000	74.836	-101.6746
29.000000	74.846	-103.8060
29.500000	74.850	-105.7581
30.000000	74.857	-107.5761
30.400000	74.866	-108.9855
30.700001	74.872	-110.0347
31.100000	74.875	-111.4213
31.500000	74.869	-112.7711
32.000000	74.852	-114.3688
32.500000	74.832	-115.8684
33.000000	74.812	-117.3157
33.500000	74.785	-118.7310
34.000000	74.746	-120.0717
34.500000	74.702	-121.2827
35.000000	74.661	-122.3676
35.500000	74.630	-123.3838
36.000000	74.603	-124.3736
36.500000	74.576	-125.3347
37.000000	74.548	-126.2594
37.500000	74.519	-127.1618
38.200001	74.465	-128.3810
38.700001	74.414	-129.1436
39.500000	74.343	-130.0779
40.000000	74.322	-130.6060
40.599998	74.309	-131.3528
41.200001	74.282	-132.2006
41.799999	74.233	-132.9770
42.500000	74.175	-133.6752
43.099998	74.141	-134.1694
43.700001	74.119	-134.6410
44.400002	74.102	-135.1608
45.000000	74.097	-135.5717
45.500000	74.100	-135.9013
46.200001	74.112	-136.3541
46.799999	74.132	-136.7381
47.500000	74.165	-137.2129
48.200001	74.205	-137.7643
48.700001	74.233	-138.2153
49.400002	74.266	-138.9094
50.000000	74.285	-139.5341
50.799999	74.298	-140.3651
51.500000	74.302	-141.0696
52.200001	74.301	-141.7588
53.000000	74.289	-142.5189
53.799999	74.267	-143.1827
54.500000	74.248	-143.6442
55.200001	74.239	-144.0240
56.000000	74.243	-144.4333
57.000000	74.260	-144.9908
58.000000	74.278	-145.6092
59.000000	74.293	-146.2432
60.000000	74.308	-146.9128
60.799999	74.314	-147.4835
61.500000	74.315	-147.9730
62.200001	74.315	-148.4409
63.000000	74.317	-148.9734
64.000000	74.316	-149.6490
65.000000	74.308	-150.2971
66.000000	74.297	-150.8987
67.000000	74.282	-151.4584
68.000000	74.265	-151.9485
69.000000	74.259	-152.4274
70.000000	74.249	-152.9911
71.000000	74.222	-153.5312
72.000000	74.194	-153.9832
73.000000	74.170	-154.4089
74.000000	74.146	-154.7952
75.000000	74.126	-155.1450
76.199997	74.106	-155.5412
77.500000	74.087	-155.9220
78.800003	74.075	-156.2911
80.000000	74.065	-156.6519
81.199997	74.054	-156.9928
82.500000	74.044	-157.3722
83.800003	74.029	-157.7472
85.000000	74.013	-158.0665
86.199997	73.999	-158.3663
87.500000	73.987	-158.6924
88.500000	73.979	-158.9750
90.000000	73.956	-159.4068
91.199997	73.936	-159.6926
92.500000	73.915	-159.9700
93.800003	73.893	-160.2151
95.000000	73.872	-160.3945
96.199997	73.856	-160.5409
97.500000	73.841	-160.7178
98.800003	73.820	-160.9001
100.000000	73.799	-161.0579
101.500000	73.766	-161.2377
103.000000	73.744	-161.2990
104.400002	73.754	-161.4047
106.000000	73.765	-161.6249
107.500000	73.770	-161.7520
109.000000	73.773	-161.8290
110.599998	73.767	-161.9338
112.000000	73.752	-162.0815
113.800003	73.731	-162.3170
115.000000	73.731	-162.4564
117.199997	73.774	-162.6715
118.000000	73.799	-162.7439
120.599998	73.835	-163.2079
122.000000	73.786	-163.3317
124.099998	73.719	-163.3385
125.000000	73.698	-163.3822
126.500000	73.679	-163.5049
128.000000	73.674	-163.6629
131.500000	73.687	-163.9005
132.000000	73.688	-163.9316
134.000000	73.684	-164.0421
136.000000	73.676	-164.1371
138.000000	73.671	-164.2250
140.000000	73.671	-164.3575
143.000000	73.665	-164.6789
145.000000	73.658	-164.8636
147.500000	73.648	-164.9089
150.000000	73.638	-164.8084
152.500000	73.622	-164.8050
155.000000	73.612	-164.8850
157.500000	73.618	-164.9637
160.000000	73.624	-164.9663
162.500000	73.632	-165.0074
165.000000	73.643	-165.1314
167.500000	73.656	-165.1893
170.000000	73.670	-165.1219
172.500000	73.680	-165.1086
175.000000	73.682	-165.2121
177.500000	73.686	-165.3217
180.000000	73.695	-165.3995
182.500000	73.695	-165.4671
185.000000	73.689	-165.5131
187.500000	73.685	-165.5634
190.000000	73.683	-165.6295
192.500000	73.684	-165.7261
195.000000	73.680	-165.8052
197.500000	73.672	-165.8287
200.000000	73.664	-165.8330
203.000000	73.662	-165.8399
206.000000	73.667	-165.8286
209.000000	73.666	-165.7509
212.000000	73.661	-165.7156
214.000000	73.657	-165.7285
218.000000	73.651	-165.6882
220.000000	73.651	-165.6192
224.000000	73.657	-165.4534
227.000000	73.662	-165.3629
230.000000	73.669	-165.3161
233.000000	73.682	-165.2740
236.000000	73.700	-165.2343
240.000000	73.721	-165.2072
243.000000	73.732	-165.1767
247.000000	73.746	-165.1082
250.000000	73.760	-165.0473
254.000000	73.783	-164.9470
258.000000	73.804	-164.9061
262.000000	73.829	-164.9303
265.000000	73.843	-164.9261
269.000000	73.857	-164.9057
272.000000	73.868	-164.9200
276.000000	73.880	-164.9351
280.000000	73.885	-164.9379
285.000000	73.886	-164.9379
290.000000	73.886	-164.8679
295.000000	73.902	-164.6632
300.000000	73.926	-164.4357
304.000000	73.943	-164.3578
307.000000	73.959	-164.2979
311.000000	73.986	-164.1830
315.000000	74.012	-164.0905
320.000000	74.043	-164.0466
325.000000	74.072	-164.0083
330.000000	74.104	-163.9109
335.000000	74.142	-163.8120
340.000000	74.175	-163.7822
345.000000	74.192	-163.7941
350.000000	74.207	-163.7415
355.000000	74.234	-163.6530
360.000000	74.268	-163.6148
365.000000	74.306	-163.6050
370.000000	74.341	-163.6067
375.000000	74.371	-163.6022
382.000000	74.411	-163.5738
387.000000	74.445	-163.5660
395.000000	74.499	-163.6810
400.000000	74.524	-163.7626
406.000000	74.552	-163.8373
412.000000	74.577	-163.9239
418.000000	74.597	-163.9960
425.000000	74.612	-164.0449
431.000000	74.625	-164.0601
437.000000	74.638	-164.1410
444.000000	74.635	-164.2851
450.000000	74.618	-164.2623
455.000000	74.601	-164.1378
462.000000	74.581	-163.9082
468.000000	74.576	-163.6443
475.000000	74.590	-163.2695
482.000000	74.622	-162.9239
487.000000	74.648	-162.7333
494.000000	74.679	-162.5227
500.000000	74.703	-162.3275
508.000000	74.742	-162.0005
515.000000	74.785	-161.6915
522.000000	74.833	-161.3789
530.000000	74.888	-161.0338
538.000000	74.944	-160.6719
545.000000	75.004	-160.2712
552.000000	75.084	-159.8163
560.000000	75.205	-159.3612
570.000000	75.379	-158.9913
580.000000	75.572	-158.9272
590.000000	75.754	-159.2271
600.000000	75.893	-159.7539
608.000000	75.975	-160.1573
615.000000	76.038	-160.4350
622.000000	76.106	-160.6759
630.000000	76.190	-160.9903
640.000000	76.279	-161.4854
650.000000	76.334	-161.9423
660.000000	76.374	-162.1677
670.000000	76.444	-162.3122
680.000000	76.529	-162.5070
690.000000	76.623	-162.7864
700.000000	76.708	-163.1743
710.000000	76.788	-163.5741
720.000000	76.863	-164.0162
730.000000	76.923	-164.4717
740.000000	76.979	-164.8747
750.000000	77.049	-165.2299
762.000000	77.141	-165.8073
775.000000	77.218	-166.5869
788.000000	77.264	-167.2705
800.000000	77.304	-167.8477
812.000000	77.331	-168.3554
825.000000	77.371	-168.7863
838.000000	77.426	-169.2987
850.000000	77.479	-169.7974
862.000000	77.520	-170.2668
875.000000	77.585	-170.5763
885.000000	77.677	-170.9485
900.000000	77.794	-172.0657
912.000000	77.818	-173.0943
925.000000	77.812	-173.8404
938.000000	77.848	-174.4022
950.000000	77.898	-175.0799
962.000000	77.956	-175.7983
975.000000	78.045	-176.9107
988.000000	78.068	-178.5377
1000.000000	77.993	-179.9074
1015.000000	77.863	179.0334
1030.000000	77.764	178.2263
1044.000000	77.668	177.5988
1060.000000	77.582	177.1674
1075.000000	77.544	176.7795
1090.000000	77.524	176.1686
1106.000000	77.482	175.4762
1120.000000	77.480	174.8237
1138.000000	77.433	173.4141
1150.000000	77.338	172.6106
1172.000000	77.142	171.5710
1180.000000	77.065	171.3491
1206.000000	76.913	170.7445
1220.000000	76.810	170.0505
1241.000000	76.582	169.6185
1250.000000	76.509	169.6393
1265.000000	76.417	169.5634
1280.000000	76.328	169.4809
1315.000000	76.146	168.7957
1320.000000	76.104	168.7068
1340.000000	75.964	168.5840
1360.000000	75.847	168.2116
1380.000000	75.673	167.7917
1400.000000	75.468	167.7304
1430.000000	75.197	168.1420
1450.000000	75.043	168.7494
1475.000000	74.944	169.3327
1500.000000	74.878	169.3098
1525.000000	74.647	168.6874
1550.000000	74.305	169.7455
1575.000000	74.183	171.2866
1600.000000	74.095	171.9158
1625.000000	73.915	172.7608
1650.000000	73.812	174.2901
1675.000000	73.819	175.0902
1700.000000	73.713	175.3633
1725.000000	73.537	176.6020
1750.000000	73.443	178.1304
1775.000000	73.391	179.6415
1800.000000	73.419	-178.6589
1825.000000	73.457	-177.5305
1850.000000	73.447	-176.4027
1875.000000	73.500	-175.1311
1900.000000	73.555	-174.3582
1925.000000	73.518	-173.4274
1950.000000	73.516	-171.8412
1975.000000	73.584	-170.2667
2000.000000	73.682	-168.7002
2030.000000	73.866	-166.9019
2060.000000	74.084	-165.5494
2090.000000	74.278	-164.3211
2120.000000	74.555	-162.9364
2140.000000	74.802	-162.3381
2180.000000	75.211	-162.3736
2200.000000	75.351	-162.4520
2240.000000	75.609	-162.4357
2270.000000	75.809	-162.3600
2300.000000	76.003	-162.3653
2330.000000	76.214	-162.2505
2360.000000	76.459	-162.4964
2400.000000	76.709	-163.1676
2430.000000	76.901	-163.5734
2470.000000	77.094	-164.6399
2500.000000	77.189	-165.0930
2540.000000	77.396	-165.2329
2580.000000	77.665	-165.8689
2620.000000	77.867	-167.0703
2650.000000	77.959	-167.8385
2690.000000	78.102	-168.4018
2720.000000	78.250	-168.8094
2760.000000	78.497	-169.6801
2800.000000	78.706	-171.2079
2850.000000	78.869	-173.0423
2900.000000	79.010	-174.5374
2950.000000	79.219	-176.1557
3000.000000	79.393	-178.4394
3040.000000	79.461	179.5302
3070.000000	79.475	178.0955
3110.000000	79.467	176.3954
3150.000000	79.475	174.8842
3200.000000	79.496	172.6151
3250.000000	79.409	170.1833
3300.000000	79.254	168.3228
3350.000000	79.140	166.8280
3400.000000	79.057	165.0744
3450.000000	78.890	162.9629
3500.000000	78.604	161.4233
3550.000000	78.336	160.6242
3600.000000	78.112	159.8419
3650.000000	77.857	159.1112
3700.000000	77.572	158.8838
3750.000000	77.329	159.1649
3820.000000	77.079	159.6502
3870.000000	76.911	160.0698
3950.000000	76.722	161.1780
4000.000000	76.653	161.6129
4060.000000	76.555	162.1220
4120.000000	76.464	162.6207
4180.000000	76.346	163.2747
4250.000000	76.213	164.5863
4310.000000	76.158	166.2433
4370.000000	76.207	168.2451
4440.000000	76.442	170.4548
4500.000000	76.757	171.8387
4550.000000	77.085	172.4629
4620.000000	77.562	172.2000
4680.000000	77.910	171.1062
4750.000000	78.196	169.2900
4820.000000	78.360	167.6056
4870.000000	78.449	166.7095
4940.000000	78.589	165.9095
5000.000000	78.781	165.5454
5080.000000	79.203	164.8325
5150.000000	79.679	163.3134
5220.000000	80.192	160.6844
5300.000000	80.730	156.1213
5380.000000	81.122	150.1512
5450.000000	81.322	144.0218
5520.000000	81.341	137.1108
5600.000000	81.078	128.8152
5700.000000	80.283	119.0499
5800.000000	79.041	111.9583
5900.000000	77.658	107.9677
6000.000000	76.309	106.0963
6080.000000	75.261	105.7953
6150.000000	74.369	106.3536
6220.000000	73.503	107.7854
6300.000000	72.592	110.5022
6400.000000	71.642	115.2715
6500.000000	70.995	121.0865
6600.000000	70.691	127.0644
6700.000000	70.700	132.3502
6800.000000	70.899	136.4191
6900.000000	71.206	139.3320
7000.000000	71.565	141.1173
7100.000000	71.934	141.8734
7200.000000	72.273	141.7664
7300.000000	72.581	141.0971
7400.000000	72.873	139.9326
7500.000000	73.173	138.3478
7620.000000	73.590	135.4373
7750.000000	74.046	129.9519
7880.000000	74.229	121.2422
8000.000000	73.885	111.4146
8120.000000	72.960	102.1589
8250.000000	71.430	94.8300
8380.000000	69.569	91.1152
8500.000000	67.715	90.8689
8620.000000	65.797	94.2014
8750.000000	63.899	103.1733
8850.000000	63.141	112.9450
9000.000000	63.762	123.1357
9120.000000	64.455	120.8429
9250.000000	64.088	111.5382
9380.000000	62.347	104.3134
9500.000000	59.684	106.5750
9620.000000	56.492	121.4934
9750.000000	54.130	148.3099
9880.000000	54.568	173.7380
10000.000000	56.079	-170.2413
10150.000000	58.007	-157.6449
10300.000000	59.971	-148.8619
10440.000000	62.083	-143.4196
10600.000000	64.577	-143.7455
10750.000000	66.129	-153.4334
10900.000000	66.037	-166.7966
11060.000000	64.244	-167.6613
11200.000000	63.438	-155.3837
11380.000000	64.788	-144.3415
11500.000000	65.754	-142.2626
11720.000000	67.502	-139.7059
11800.000000	68.315	-138.9635
12060.000000	71.400	-142.5099
12200.000000	72.924	-149.6746
12410.000000	74.705	-165.9467
12500.000000	75.319	-174.5315
12650.000000	76.166	168.2685
12800.000000	76.604	145.6686
13150.000000	73.852	78.7307
13200.000000	72.941	70.0286
13400.000000	68.397	40.0904
13600.000000	63.413	15.8992
13800.000000	60.706	-2.4210
14000.000000	63.018	-14.9923
14300.000000	69.560	-32.7664
14500.000000	73.478	-50.3119
14750.000000	76.785	-83.1243
15000.000000	77.393	-122.5505
15250.000000	75.410	-149.0205
15500.000000	72.505	-154.9364
15750.000000	70.873	-150.2357
16000.000000	70.958	-145.4902
16250.000000	71.783	-144.6157
16500.000000	72.803	-147.2516
16750.000000	73.924	-154.1956
17000.000000	74.577	-167.4754
17250.000000	74.183	175.5295
17500.000000	72.455	162.1328
17750.000000	69.659	160.5325
18000.000000	67.109	169.7948
18250.000000	66.171	-178.9913
18500.000000	66.278	-172.2697
18750.000000	66.279	-168.9362
19000.000000	66.021	-163.9216
19250.000000	66.258	-155.1877
19500.000000	67.599	-146.4673
19750.000000	69.354	-142.4615
