* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.0 dBFS with no timing reference
* Dated: Oct 27, 2023 7:39:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Audeze LCD-2.2 Stock R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.348	-67.0060
20.299999	70.536	-68.6126
20.600000	70.710	-70.2182
20.900000	70.871	-71.7975
21.200001	71.019	-73.3260
21.400000	71.112	-74.3076
21.799999	71.292	-76.1792
22.000000	71.381	-77.0735
22.400000	71.560	-78.8036
22.700001	71.696	-80.0816
23.000000	71.834	-81.3761
23.299999	71.969	-82.7079
23.600000	72.098	-84.0823
24.000000	72.252	-85.9672
24.299999	72.352	-87.3910
24.700001	72.464	-89.2562
25.000000	72.534	-90.6032
25.400000	72.617	-92.3141
25.799999	72.693	-93.9355
26.200001	72.766	-95.4899
26.500000	72.820	-96.6253
26.900000	72.892	-98.1122
27.200001	72.946	-99.2176
27.600000	73.018	-100.6943
28.000000	73.088	-102.1936
28.500000	73.164	-104.1084
29.000000	73.218	-106.0251
29.500000	73.250	-107.8586
30.000000	73.266	-109.5323
30.400000	73.278	-110.7485
30.700001	73.289	-111.6050
31.100000	73.308	-112.7057
31.500000	73.328	-113.7841
32.000000	73.350	-115.1080
32.500000	73.364	-116.3715
33.000000	73.374	-117.5416
33.500000	73.389	-118.6424
34.000000	73.409	-119.7465
34.500000	73.424	-120.8986
35.000000	73.425	-122.0631
35.500000	73.413	-123.1628
36.000000	73.398	-124.1721
36.500000	73.389	-125.1384
37.000000	73.380	-126.1108
37.500000	73.367	-127.0730
38.200001	73.346	-128.3274
38.700001	73.337	-129.1835
39.500000	73.316	-130.5966
40.000000	73.282	-131.4109
40.599998	73.231	-132.1370
41.200001	73.202	-132.5865
41.799999	73.212	-132.9610
42.500000	73.252	-133.5405
43.099998	73.285	-134.1917
43.700001	73.300	-134.9232
44.400002	73.291	-135.7770
45.000000	73.263	-136.4294
45.500000	73.231	-136.8856
46.200001	73.183	-137.3578
46.799999	73.154	-137.5851
47.500000	73.163	-137.7512
48.200001	73.217	-138.0807
48.700001	73.262	-138.4939
49.400002	73.307	-139.1930
50.000000	73.335	-139.7589
50.799999	73.381	-140.4699
51.500000	73.427	-141.1452
52.200001	73.467	-141.8615
53.000000	73.505	-142.6987
53.799999	73.532	-143.5670
54.500000	73.541	-144.3167
55.200001	73.542	-145.0251
56.000000	73.541	-145.8246
57.000000	73.525	-146.8592
58.000000	73.485	-147.8207
59.000000	73.441	-148.6115
60.000000	73.408	-149.3322
60.799999	73.382	-149.9055
61.500000	73.355	-150.3627
62.200001	73.330	-150.7636
63.000000	73.308	-151.1918
64.000000	73.283	-151.7206
65.000000	73.260	-152.2398
66.000000	73.236	-152.7686
67.000000	73.205	-153.2736
68.000000	73.171	-153.7002
69.000000	73.141	-154.0607
70.000000	73.117	-154.3934
71.000000	73.093	-154.7103
72.000000	73.068	-154.9804
73.000000	73.048	-155.2144
74.000000	73.031	-155.4532
75.000000	73.015	-155.6841
76.199997	73.001	-155.9566
77.500000	72.989	-156.2534
78.800003	72.980	-156.5496
80.000000	72.972	-156.8092
81.199997	72.967	-157.0520
82.500000	72.964	-157.3289
83.800003	72.961	-157.6147
85.000000	72.958	-157.8874
86.199997	72.954	-158.1698
87.500000	72.946	-158.4698
88.500000	72.938	-158.6828
90.000000	72.926	-158.9894
91.199997	72.916	-159.2085
92.500000	72.910	-159.4555
93.800003	72.901	-159.7134
95.000000	72.893	-159.9263
96.199997	72.886	-160.1132
97.500000	72.880	-160.3012
98.800003	72.867	-160.4819
100.000000	72.848	-160.5850
101.500000	72.835	-160.6604
103.000000	72.827	-160.8391
104.400002	72.817	-161.0468
106.000000	72.811	-161.2928
107.500000	72.808	-161.4844
109.000000	72.811	-161.6142
110.599998	72.815	-161.7402
112.000000	72.808	-161.8793
113.800003	72.790	-161.9471
115.000000	72.797	-161.9624
117.199997	72.838	-162.1280
118.000000	72.854	-162.2019
120.599998	72.874	-162.5879
122.000000	72.839	-162.6475
124.099998	72.806	-162.5982
125.000000	72.801	-162.6385
126.500000	72.797	-162.7865
128.000000	72.794	-162.9574
131.500000	72.783	-163.1502
132.000000	72.779	-163.1711
134.000000	72.758	-163.2606
136.000000	72.746	-163.3148
138.000000	72.756	-163.4164
140.000000	72.762	-163.5452
143.000000	72.736	-163.6323
145.000000	72.715	-163.6326
147.500000	72.723	-163.6223
150.000000	72.745	-163.7054
152.500000	72.771	-163.6959
155.000000	72.782	-163.8304
157.500000	72.778	-163.8404
160.000000	72.785	-163.8151
162.500000	72.791	-163.8024
165.000000	72.804	-163.8249
167.500000	72.820	-163.8585
170.000000	72.833	-163.8821
172.500000	72.838	-163.9052
175.000000	72.847	-163.9243
177.500000	72.869	-163.9550
180.000000	72.894	-163.9911
182.500000	72.916	-164.0170
185.000000	72.941	-164.1075
187.500000	72.956	-164.2764
190.000000	72.955	-164.3988
192.500000	72.953	-164.4701
195.000000	72.958	-164.5404
197.500000	72.971	-164.6039
200.000000	72.981	-164.6586
203.000000	72.979	-164.6972
206.000000	72.979	-164.7399
209.000000	72.985	-164.7825
212.000000	72.982	-164.7776
214.000000	72.977	-164.7690
218.000000	72.969	-164.7796
220.000000	72.972	-164.7464
224.000000	72.982	-164.6207
227.000000	72.984	-164.5564
230.000000	72.991	-164.5154
233.000000	73.009	-164.4594
236.000000	73.032	-164.3998
240.000000	73.058	-164.3084
243.000000	73.073	-164.2495
247.000000	73.087	-164.2200
250.000000	73.097	-164.1979
254.000000	73.122	-164.1304
258.000000	73.155	-164.0701
262.000000	73.181	-164.0860
265.000000	73.195	-164.0684
269.000000	73.221	-164.0004
272.000000	73.244	-163.9835
276.000000	73.276	-164.0439
280.000000	73.303	-164.1509
285.000000	73.325	-164.2122
290.000000	73.344	-164.2526
295.000000	73.361	-164.3088
300.000000	73.370	-164.3045
304.000000	73.382	-164.2851
307.000000	73.394	-164.2550
311.000000	73.414	-164.2093
315.000000	73.434	-164.1846
320.000000	73.455	-164.1336
325.000000	73.475	-164.1389
330.000000	73.491	-164.2361
335.000000	73.514	-164.2829
340.000000	73.538	-164.3065
345.000000	73.546	-164.3366
350.000000	73.548	-164.2508
355.000000	73.560	-164.1272
360.000000	73.576	-164.0886
365.000000	73.583	-164.0105
370.000000	73.594	-163.8689
375.000000	73.613	-163.7474
382.000000	73.647	-163.5643
387.000000	73.672	-163.3750
395.000000	73.728	-163.1664
400.000000	73.763	-163.1023
406.000000	73.801	-163.0060
412.000000	73.840	-162.9041
418.000000	73.875	-162.8149
425.000000	73.916	-162.6811
431.000000	73.961	-162.5504
437.000000	74.013	-162.4783
444.000000	74.066	-162.5198
450.000000	74.096	-162.5474
455.000000	74.116	-162.5095
462.000000	74.145	-162.3810
468.000000	74.178	-162.1662
475.000000	74.246	-161.9180
482.000000	74.330	-161.8470
487.000000	74.384	-161.9004
494.000000	74.440	-161.9745
500.000000	74.486	-161.9788
508.000000	74.557	-162.0371
515.000000	74.611	-162.1310
522.000000	74.660	-162.2183
530.000000	74.723	-162.3490
538.000000	74.779	-162.5110
545.000000	74.816	-162.6244
552.000000	74.847	-162.6871
560.000000	74.889	-162.7470
570.000000	74.945	-162.8294
580.000000	75.003	-162.8700
590.000000	75.063	-162.9822
600.000000	75.102	-163.1356
608.000000	75.123	-163.1303
615.000000	75.152	-163.0432
622.000000	75.187	-162.9696
630.000000	75.225	-162.9127
640.000000	75.270	-162.7695
650.000000	75.328	-162.5009
660.000000	75.403	-162.1750
670.000000	75.497	-161.8708
680.000000	75.607	-161.5095
690.000000	75.751	-161.2069
700.000000	75.918	-161.0328
710.000000	76.112	-161.0526
720.000000	76.305	-161.3818
730.000000	76.478	-161.8575
740.000000	76.639	-162.4823
750.000000	76.776	-163.2269
762.000000	76.919	-164.1459
775.000000	77.047	-165.1276
788.000000	77.167	-166.0270
800.000000	77.279	-166.8804
812.000000	77.381	-167.7852
825.000000	77.481	-168.7462
838.000000	77.592	-169.7228
850.000000	77.694	-170.7935
862.000000	77.765	-171.9151
875.000000	77.840	-173.0187
885.000000	77.905	-173.9696
900.000000	77.974	-175.6019
912.000000	77.973	-176.8326
925.000000	77.984	-177.7233
938.000000	78.070	-178.7549
950.000000	78.144	179.8166
962.000000	78.173	178.2262
975.000000	78.178	176.4187
988.000000	78.122	174.3869
1000.000000	77.985	172.7249
1015.000000	77.772	171.4018
1030.000000	77.634	170.5825
1044.000000	77.547	169.5383
1060.000000	77.410	168.2306
1075.000000	77.265	167.0298
1090.000000	77.061	165.7968
1106.000000	76.775	165.2187
1120.000000	76.578	165.3291
1138.000000	76.413	165.5423
1150.000000	76.339	165.7600
1172.000000	76.352	166.0505
1180.000000	76.401	165.7452
1206.000000	76.358	163.3037
1220.000000	76.208	162.2011
1241.000000	75.948	161.1299
1250.000000	75.840	160.8618
1265.000000	75.690	160.4478
1280.000000	75.530	159.8953
1315.000000	75.090	159.6025
1320.000000	75.045	159.6238
1340.000000	74.880	159.4121
1360.000000	74.682	159.1054
1380.000000	74.458	158.7079
1400.000000	74.165	158.5168
1430.000000	73.668	159.4803
1450.000000	73.429	160.9821
1475.000000	73.296	162.6777
1500.000000	73.218	163.7534
1525.000000	73.098	164.5730
1550.000000	72.979	165.7218
1575.000000	72.934	166.9352
1600.000000	72.957	167.7149
1625.000000	72.946	167.7540
1650.000000	72.790	167.7238
1675.000000	72.605	168.9133
1700.000000	72.592	170.2479
1725.000000	72.624	170.8611
1750.000000	72.607	171.0905
1775.000000	72.548	171.1656
1800.000000	72.396	171.2565
1825.000000	72.175	172.3110
1850.000000	72.116	174.2154
1875.000000	72.187	175.0927
1900.000000	72.138	175.5303
1925.000000	72.070	176.4617
1950.000000	72.035	177.4563
1975.000000	72.008	178.4338
2000.000000	71.991	179.5066
2030.000000	72.008	-179.3106
2060.000000	71.986	-178.2473
