* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 5:14:07 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurorus Borealis Rag L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 65.976 77.4311
20.299999 66.086 76.8978
20.600000 66.194 76.4050
20.900000 66.304 75.9460
21.200001 66.418 75.4939
21.400000 66.495 75.1802
21.799999 66.649 74.5154
22.000000 66.723 74.1673
22.400000 66.862 73.4646
22.700001 66.959 72.9550
23.000000 67.054 72.4710
23.299999 67.147 72.0074
23.600000 67.239 71.5569
24.000000 67.359 70.9709
24.299999 67.447 70.5458
24.700001 67.563 70.0046
25.000000 67.651 69.6119
25.400000 67.773 69.0794
25.799999 67.896 68.4998
26.200001 68.013 67.8609
26.500000 68.093 67.3610
26.900000 68.190 66.7061
27.200001 68.257 66.2482
27.600000 68.345 65.6931
28.000000 68.437 65.1826
28.500000 68.560 64.5555
29.000000 68.689 63.8924
29.500000 68.818 63.1711
30.000000 68.939 62.3908
30.400000 69.025 61.7460
30.700001 69.082 61.2738
31.100000 69.149 60.6992
31.500000 69.211 60.2137
32.000000 69.297 59.7177
32.500000 69.399 59.2501
33.000000 69.512 58.6931
33.500000 69.618 58.0115
34.000000 69.704 57.2683
34.500000 69.773 56.5601
35.000000 69.835 55.9302
35.500000 69.901 55.3459
36.000000 69.972 54.7422
36.500000 70.042 54.0908
37.000000 70.105 53.4250
37.500000 70.161 52.8034
38.200001 70.245 52.0514
38.700001 70.320 51.5510
39.500000 70.455 50.6476
40.000000 70.532 50.0032
40.599998 70.605 49.2494
41.200001 70.668 48.6230
41.799999 70.737 48.0648
42.500000 70.814 47.3152
43.099998 70.848 46.6491
43.700001 70.864 46.1570
44.400002 70.900 45.6902
45.000000 70.929 45.1166
45.500000 70.918 44.6273
46.200001 70.878 44.4233
46.799999 70.921 44.6666
47.500000 71.094 44.5126
48.200001 71.259 43.4244
48.700001 71.314 42.4264
49.400002 71.337 41.2755
50.000000 71.356 40.5128
50.799999 71.381 39.5834
51.500000 71.392 38.9390
52.200001 71.417 38.4974
53.000000 71.475 37.9998
53.799999 71.532 37.3649
54.500000 71.566 36.7676
55.200001 71.585 36.1981
56.000000 71.596 35.6356
57.000000 71.621 35.0829
58.000000 71.675 34.4532
59.000000 71.719 33.6307
60.000000 71.738 32.8574
60.799999 71.748 32.3649
61.500000 71.765 32.0116
62.200001 71.794 31.6479
63.000000 71.825 31.1460
64.000000 71.844 30.5284
65.000000 71.865 29.9862
66.000000 71.889 29.3615
67.000000 71.897 28.7213
68.000000 71.902 28.1419
69.000000 71.910 27.5952
70.000000 71.918 27.0602
71.000000 71.924 26.5555
72.000000 71.928 26.1229
73.000000 71.939 25.7435
74.000000 71.955 25.3342
75.000000 71.965 24.8716
76.199997 71.960 24.3260
77.500000 71.943 23.8120
78.800003 71.925 23.3451
80.000000 71.910 22.9523
81.199997 71.904 22.5753
82.500000 71.904 22.1163
83.800003 71.904 21.6671
85.000000 71.906 21.2521
86.199997 71.901 20.8624
87.500000 71.892 20.5048
88.500000 71.885 20.2665
90.000000 71.876 19.9238
91.199997 71.869 19.6405
92.500000 71.865 19.3380
93.800003 71.865 19.0268
95.000000 71.867 18.7450
96.199997 71.869 18.4791
97.500000 71.868 18.2562
98.800003 71.870 18.0916
100.000000 71.877 17.9397
101.500000 71.885 17.6871
103.000000 71.888 17.3990
104.400002 71.896 17.1187
106.000000 71.911 16.7669
107.500000 71.931 16.4211
109.000000 71.948 16.0608
110.599998 71.965 15.6854
112.000000 71.979 15.3142
113.800003 71.988 14.7459
115.000000 71.985 14.3345
117.199997 71.966 13.5717
118.000000 71.956 13.2935
120.599998 71.911 12.4190
122.000000 71.879 11.9458
124.099998 71.812 11.2906
125.000000 71.778 11.0551
126.500000 71.716 10.7457
128.000000 71.655 10.5110
131.500000 71.517 10.1357
132.000000 71.498 10.0914
134.000000 71.429 9.9216
136.000000 71.365 9.7371
138.000000 71.297 9.5393
140.000000 71.222 9.3755
143.000000 71.091 9.2869
145.000000 71.002 9.3674
147.500000 70.898 9.5916
150.000000 70.804 9.9076
152.500000 70.714 10.3646
155.000000 70.633 11.0074
157.500000 70.579 11.8114
160.000000 70.566 12.6760
162.500000 70.605 13.4890
165.000000 70.683 14.0748
167.500000 70.772 14.3788
170.000000 70.852 14.4301
172.500000 70.910 14.3290
175.000000 70.945 14.1760
177.500000 70.962 14.0334
180.000000 70.973 13.9284
182.500000 70.981 13.8528
185.000000 70.984 13.7904
187.500000 70.980 13.7495
190.000000 70.975 13.7151
192.500000 70.970 13.6710
195.000000 70.964 13.6370
197.500000 70.957 13.6318
200.000000 70.949 13.6475
203.000000 70.938 13.6898
206.000000 70.927 13.7421
209.000000 70.916 13.8083
212.000000 70.906 13.8875
214.000000 70.901 13.9387
218.000000 70.893 14.0247
220.000000 70.889 14.0579
224.000000 70.874 14.1179
227.000000 70.858 14.1918
230.000000 70.838 14.3203
233.000000 70.820 14.4894
236.000000 70.808 14.6741
240.000000 70.803 14.9305
243.000000 70.803 15.1229
247.000000 70.800 15.3653
250.000000 70.800 15.5234
254.000000 70.803 15.7220
258.000000 70.801 15.9630
262.000000 70.799 16.2115
265.000000 70.803 16.3779
269.000000 70.809 16.5760
272.000000 70.809 16.7336
276.000000 70.807 16.9698
280.000000 70.804 17.2081
285.000000 70.808 17.5143
290.000000 70.813 17.8999
295.000000 70.820 18.3331
300.000000 70.841 18.6538
304.000000 70.862 18.8611
307.000000 70.876 19.0255
311.000000 70.890 19.2429
315.000000 70.899 19.4720
320.000000 70.914 19.7971
325.000000 70.930 20.1508
330.000000 70.949 20.5364
335.000000 70.976 20.8912
340.000000 71.010 21.2010
345.000000 71.042 21.4781
350.000000 71.071 21.7525
355.000000 71.106 22.0338
360.000000 71.144 22.3080
365.000000 71.185 22.5432
370.000000 71.224 22.7229
375.000000 71.253 22.8900
382.000000 71.287 23.1849
387.000000 71.312 23.4001
395.000000 71.349 23.7543
400.000000 71.373 23.9906
406.000000 71.408 24.2648
412.000000 71.445 24.5101
418.000000 71.475 24.7395
425.000000 71.506 25.0618
431.000000 71.540 25.3652
437.000000 71.580 25.6489
444.000000 71.628 25.9721
450.000000 71.664 26.2432
455.000000 71.689 26.4794
462.000000 71.732 26.8677
468.000000 71.785 27.1904
475.000000 71.853 27.4556
482.000000 71.906 27.6647
487.000000 71.940 27.8574
494.000000 71.996 28.1404
500.000000 72.051 28.3398
508.000000 72.119 28.5301
515.000000 72.167 28.6851
522.000000 72.213 28.8309
530.000000 72.254 29.0243
538.000000 72.286 29.3332
545.000000 72.330 29.6986
552.000000 72.396 30.0535
560.000000 72.481 30.3568
570.000000 72.585 30.5760
580.000000 72.677 30.7141
590.000000 72.760 30.8801
600.000000 72.845 31.0186
608.000000 72.908 31.0919
615.000000 72.954 31.1455
622.000000 72.992 31.2277
630.000000 73.036 31.3899
640.000000 73.099 31.5970
650.000000 73.168 31.8077
660.000000 73.250 32.0848
670.000000 73.340 32.2886
680.000000 73.423 32.4188
690.000000 73.500 32.5134
700.000000 73.582 32.6639
710.000000 73.676 32.7539
720.000000 73.762 32.6860
730.000000 73.828 32.5886
740.000000 73.882 32.6551
750.000000 73.949 32.8496
762.000000 74.054 32.9767
775.000000 74.156 32.9071
788.000000 74.239 32.9090
800.000000 74.327 32.9930
812.000000 74.425 32.9826
825.000000 74.522 32.8929
838.000000 74.610 32.8562
850.000000 74.694 32.9108
862.000000 74.794 33.0200
875.000000 74.937 32.9716
885.000000 75.036 32.7239
900.000000 75.158 32.3674
912.000000 75.257 32.0586
925.000000 75.358 31.6396
938.000000 75.448 31.1864
950.000000 75.519 30.7104
962.000000 75.577 30.2761
975.000000 75.651 29.9039
988.000000 75.738 29.3566
1000.000000 75.787 28.7016
1015.000000 75.811 28.0399
1030.000000 75.844 27.6727
1044.000000 75.915 27.1981
1060.000000 75.966 26.3443
1075.000000 75.967 25.6039
1090.000000 75.957 25.1595
1106.000000 75.997 24.7056
1120.000000 76.028 23.9139
1138.000000 75.972 22.8673
1150.000000 75.903 22.4902
1172.000000 75.817 22.3725
1180.000000 75.808 22.2973
1206.000000 75.782 21.9606
1220.000000 75.790 21.8435
1241.000000 75.835 21.0883
1250.000000 75.813 20.5223
1265.000000 75.700 19.8184
1280.000000 75.558 19.7565
1315.000000 75.510 20.5535
1320.000000 75.527 20.4680
1340.000000 75.513 19.6295
1360.000000 75.371 19.1701
1380.000000 75.240 19.1506
1400.000000 75.088 19.3683
1430.000000 74.943 20.4191
1450.000000 74.912 21.0573
1475.000000 74.888 21.4677
1500.000000 74.803 21.8227
1525.000000 74.691 22.8492
1550.000000 74.687 24.2363
1575.000000 74.759 25.3504
1600.000000 74.871 25.8472
1625.000000 74.880 26.0204
1650.000000 74.892 26.9485
1675.000000 74.981 27.4541
1700.000000 74.996 27.8282
1725.000000 75.018 28.5543
1750.000000 75.082 29.3793
1775.000000 75.189 29.9771
1800.000000 75.267 30.3104
1825.000000 75.328 30.7073
1850.000000 75.369 31.1268
1875.000000 75.399 31.8544
1900.000000 75.473 32.8474
1925.000000 75.595 33.7335
1950.000000 75.728 34.5329
1975.000000 75.888 35.3309
2000.000000 76.083 35.9875
2030.000000 76.333 36.3279
2060.000000 76.530 36.3126
2090.000000 76.669 36.5691
2120.000000 76.860 37.2222
2140.000000 77.030 37.5683
2180.000000 77.410 37.6462
2200.000000 77.564 37.3863
2240.000000 77.817 37.3666
2270.000000 78.072 37.5042
2300.000000 78.372 37.3674
2330.000000 78.656 36.7560
2360.000000 78.903 36.1635
2400.000000 79.289 35.1652
2430.000000 79.517 33.9623
2470.000000 79.781 32.8062
2500.000000 80.018 31.9173
2540.000000 80.343 30.5173
2580.000000 80.677 28.7081
2620.000000 80.993 26.5150
2650.000000 81.187 24.5118
2690.000000 81.382 21.7745
2720.000000 81.499 19.6236
2760.000000 81.577 16.7306
2800.000000 81.597 14.1658
2850.000000 81.622 11.3045
2900.000000 81.649 8.4348
2950.000000 81.681 5.3367
3000.000000 81.653 1.7560
3040.000000 81.561 -1.4276
3070.000000 81.420 -3.9379
3110.000000 81.122 -7.2261
3150.000000 80.667 -10.1013
3200.000000 79.890 -12.0143
3250.000000 79.094 -11.1859
3300.000000 78.556 -8.8131
3350.000000 78.241 -6.3042
3400.000000 78.066 -3.6640
3450.000000 78.026 -1.1750
3500.000000 78.056 1.2451
3550.000000 78.223 3.9343
3600.000000 78.615 6.1699
3650.000000 79.127 6.8764
3700.000000 79.577 6.0823
3750.000000 79.913 4.5666
3820.000000 80.246 1.9304
3870.000000 80.403 -0.2894
3950.000000 80.454 -4.2709
4000.000000 80.340 -6.5837
4060.000000 80.089 -8.6656
4120.000000 79.791 -9.8137
4180.000000 79.514 -10.2286
4250.000000 79.236 -10.1995
4310.000000 79.023 -9.7878
4370.000000 78.848 -9.0198
4440.000000 78.707 -7.7827
4500.000000 78.648 -6.5585
4550.000000 78.641 -5.4934
4620.000000 78.690 -4.0063
4680.000000 78.777 -2.7512
4750.000000 78.935 -1.2664
4820.000000 79.164 0.2485
4870.000000 79.386 1.3314
4940.000000 79.797 2.7328
5000.000000 80.252 3.6693
5080.000000 81.007 4.3096
5150.000000 81.826 4.1008
5220.000000 82.816 2.7679
5300.000000 84.135 -1.0404
5380.000000 85.493 -8.5973
5450.000000 86.455 -19.0986
5520.000000 86.927 -32.8616
5600.000000 86.658 -49.9637
5700.000000 85.215 -67.7702
5800.000000 83.136 -78.8633
5900.000000 81.020 -84.7763
6000.000000 79.137 -87.8860
6080.000000 77.823 -89.4653
6150.000000 76.781 -90.6481
6220.000000 75.800 -91.9026
6300.000000 74.693 -93.5903
6400.000000 73.217 -95.9821
6500.000000 71.510 -97.9822
6600.000000 69.501 -98.3506
6700.000000 67.215 -95.8564
