* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Nov 4, 2023 4:47:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Aurorus Borealis Rag R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 65.808 74.7771
20.299999 65.913 74.1768
20.600000 66.011 73.5872
20.900000 66.102 73.0406
21.200001 66.194 72.5582
21.400000 66.259 72.2620
21.799999 66.399 71.6759
22.000000 66.474 71.3573
22.400000 66.622 70.6254
22.700001 66.721 70.0142
23.000000 66.804 69.4136
23.299999 66.875 68.8946
23.600000 66.944 68.4885
24.000000 67.050 68.0967
24.299999 67.148 67.8265
24.700001 67.300 67.3547
25.000000 67.413 66.8607
25.400000 67.541 66.0501
25.799999 67.632 65.2294
26.200001 67.695 64.5803
26.500000 67.742 64.2472
26.900000 67.824 63.9476
27.200001 67.907 63.7319
27.600000 68.038 63.3229
28.000000 68.172 62.7011
28.500000 68.310 61.6968
29.000000 68.403 60.6711
29.500000 68.467 59.8124
30.000000 68.530 59.1573
30.400000 68.593 58.7171
30.700001 68.648 58.3936
31.100000 68.728 57.9291
31.500000 68.810 57.4116
32.000000 68.903 56.7145
32.500000 68.984 56.0300
33.000000 69.060 55.4185
33.500000 69.141 54.8715
34.000000 69.232 54.3118
34.500000 69.325 53.6592
35.000000 69.405 52.9071
35.500000 69.461 52.1405
36.000000 69.498 51.4723
36.500000 69.531 50.9477
37.000000 69.576 50.5040
37.500000 69.634 50.0317
38.200001 69.712 49.2379
38.700001 69.754 48.6436
39.500000 69.811 47.7877
40.000000 69.850 47.2711
40.599998 69.893 46.6211
41.200001 69.925 46.0000
41.799999 69.955 45.4823
42.500000 70.004 44.9692
43.099998 70.055 44.5295
43.700001 70.110 44.0945
44.400002 70.179 43.6085
45.000000 70.243 43.1574
45.500000 70.290 42.7396
46.200001 70.336 42.1874
46.799999 70.368 41.8358
47.500000 70.417 41.4912
48.200001 70.468 41.0636
48.700001 70.494 40.7250
49.400002 70.518 40.3132
50.000000 70.543 40.0074
50.799999 70.581 39.5681
51.500000 70.617 39.1994
52.200001 70.676 38.8297
53.000000 70.764 38.1635
53.799999 70.821 37.2739
54.500000 70.842 36.6228
55.200001 70.869 36.1597
56.000000 70.917 35.6861
57.000000 70.976 35.1378
58.000000 71.048 34.7237
59.000000 71.146 34.1010
60.000000 71.193 33.1050
60.799999 71.173 32.4255
61.500000 71.151 32.0608
62.200001 71.147 31.7784
63.000000 71.157 31.4131
64.000000 71.173 30.9000
65.000000 71.186 30.3785
66.000000 71.192 29.9043
67.000000 71.197 29.5194
68.000000 71.208 29.1707
69.000000 71.218 28.7874
70.000000 71.222 28.4144
71.000000 71.233 28.0555
72.000000 71.248 27.6028
73.000000 71.249 27.1528
74.000000 71.253 26.8358
75.000000 71.273 26.5350
76.199997 71.293 26.1350
77.500000 71.311 25.7686
78.800003 71.329 25.3899
80.000000 71.341 25.0236
81.199997 71.353 24.6556
82.500000 71.364 24.2386
83.800003 71.367 23.8475
85.000000 71.366 23.5819
86.199997 71.375 23.3660
87.500000 71.386 23.0480
88.500000 71.382 22.8016
90.000000 71.380 22.5585
91.199997 71.398 22.3501
92.500000 71.425 22.0516
93.800003 71.451 21.6696
95.000000 71.460 21.3154
96.199997 71.462 21.0635
97.500000 71.471 20.8845
98.800003 71.494 20.7214
100.000000 71.520 20.4832
101.500000 71.533 20.1398
103.000000 71.539 19.8970
104.400002 71.556 19.7162
106.000000 71.592 19.4235
107.500000 71.628 19.0283
109.000000 71.658 18.5620
110.599998 71.682 18.0302
112.000000 71.695 17.5630
113.800003 71.703 16.9705
115.000000 71.702 16.5756
117.199997 71.687 15.8624
118.000000 71.677 15.6042
120.599998 71.632 14.8283
122.000000 71.609 14.4807
124.099998 71.582 13.9872
125.000000 71.569 13.7695
126.500000 71.540 13.4113
128.000000 71.499 13.0658
131.500000 71.369 12.3494
132.000000 71.348 12.2692
134.000000 71.263 12.0410
136.000000 71.176 11.9880
138.000000 71.093 12.0988
140.000000 71.018 12.2925
143.000000 70.937 12.5696
145.000000 70.910 12.6357
147.500000 70.901 12.6297
150.000000 70.901 12.6928
152.500000 70.882 12.8634
155.000000 70.845 13.0192
157.500000 70.830 13.1061
160.000000 70.850 13.2448
162.500000 70.865 13.4772
165.000000 70.845 13.6158
167.500000 70.822 13.5631
170.000000 70.835 13.4230
172.500000 70.857 13.3671
175.000000 70.860 13.3837
177.500000 70.845 13.3416
180.000000 70.836 13.2963
182.500000 70.837 13.3029
185.000000 70.831 13.3653
187.500000 70.818 13.4327
190.000000 70.803 13.4353
192.500000 70.785 13.4248
195.000000 70.766 13.4357
197.500000 70.746 13.4598
200.000000 70.723 13.4872
203.000000 70.696 13.5466
206.000000 70.669 13.6817
209.000000 70.646 13.8853
212.000000 70.634 14.1070
214.000000 70.633 14.2534
218.000000 70.637 14.5341
220.000000 70.640 14.6437
224.000000 70.642 14.8054
227.000000 70.643 14.9167
230.000000 70.643 15.0239
233.000000 70.638 15.1808
236.000000 70.634 15.3420
240.000000 70.629 15.5167
243.000000 70.631 15.6872
247.000000 70.637 15.9235
250.000000 70.644 16.0775
254.000000 70.648 16.3749
258.000000 70.645 16.6034
262.000000 70.651 16.6268
265.000000 70.658 16.7173
269.000000 70.662 16.9268
272.000000 70.667 17.0654
276.000000 70.682 17.2899
280.000000 70.693 17.5148
285.000000 70.698 17.7122
290.000000 70.699 17.8940
295.000000 70.692 18.0714
300.000000 70.684 18.2897
304.000000 70.684 18.5322
307.000000 70.687 18.7574
311.000000 70.691 19.0836
315.000000 70.700 19.4249
320.000000 70.728 19.8096
325.000000 70.754 20.1221
330.000000 70.775 20.4166
335.000000 70.798 20.6459
340.000000 70.816 20.8176
345.000000 70.838 21.0847
350.000000 70.865 21.3723
355.000000 70.886 21.6165
360.000000 70.906 21.9077
365.000000 70.933 22.2422
370.000000 70.961 22.5382
375.000000 70.987 22.7905
382.000000 71.026 23.0932
387.000000 71.054 23.2712
395.000000 71.100 23.5607
400.000000 71.128 23.7773
406.000000 71.158 24.0491
412.000000 71.186 24.2993
418.000000 71.214 24.5428
425.000000 71.244 24.8625
431.000000 71.274 25.1646
437.000000 71.309 25.4368
444.000000 71.350 25.7408
450.000000 71.387 25.9896
455.000000 71.416 26.1625
462.000000 71.450 26.4130
468.000000 71.480 26.6962
475.000000 71.529 27.0526
482.000000 71.580 27.3448
487.000000 71.618 27.5298
494.000000 71.668 27.7386
500.000000 71.696 27.8917
508.000000 71.733 28.2122
515.000000 71.779 28.5342
522.000000 71.823 28.7990
530.000000 71.872 29.0704
538.000000 71.919 29.3235
545.000000 71.966 29.5733
552.000000 72.017 29.8214
560.000000 72.073 30.0409
570.000000 72.130 30.2905
580.000000 72.191 30.6338
590.000000 72.264 30.9789
600.000000 72.327 31.2839
608.000000 72.384 31.5742
615.000000 72.444 31.7835
622.000000 72.500 31.9036
630.000000 72.547 32.0146
640.000000 72.595 32.2336
650.000000 72.652 32.5171
660.000000 72.723 32.8429
670.000000 72.804 33.1068
680.000000 72.870 33.2767
690.000000 72.918 33.4962
700.000000 72.978 33.8205
710.000000 73.051 34.1656
720.000000 73.135 34.4605
730.000000 73.218 34.6883
740.000000 73.293 34.8998
750.000000 73.372 35.1487
762.000000 73.478 35.4366
775.000000 73.591 35.6747
788.000000 73.698 35.9325
800.000000 73.802 36.1720
812.000000 73.913 36.4043
825.000000 74.049 36.5861
838.000000 74.191 36.6739
850.000000 74.330 36.6694
862.000000 74.457 36.5343
875.000000 74.575 36.3762
885.000000 74.665 36.2739
900.000000 74.798 36.0674
912.000000 74.895 35.9210
925.000000 75.014 35.8759
938.000000 75.173 35.7095
950.000000 75.322 35.2418
962.000000 75.440 34.6068
975.000000 75.546 33.9091
988.000000 75.641 33.1872
1000.000000 75.713 32.4422
1015.000000 75.762 31.4633
1030.000000 75.763 30.5576
1044.000000 75.736 30.0481
1060.000000 75.751 29.7410
1075.000000 75.787 29.3555
1090.000000 75.817 28.8229
1106.000000 75.818 28.1829
1120.000000 75.792 27.7916
1138.000000 75.782 27.6553
1150.000000 75.797 27.5482
1172.000000 75.829 27.3506
1180.000000 75.856 27.2362
1206.000000 75.931 26.6409
1220.000000 75.982 26.1570
1241.000000 75.989 25.0648
1250.000000 75.959 24.7207
1265.000000 75.917 24.3649
1280.000000 75.894 24.0724
1315.000000 75.833 23.2323
1320.000000 75.822 23.1166
1340.000000 75.770 22.5691
1360.000000 75.650 21.9347
1380.000000 75.467 21.9542
1400.000000 75.351 22.6807
1430.000000 75.397 23.5028
1450.000000 75.410 22.9625
1475.000000 75.241 22.7578
1500.000000 75.088 23.6570
1525.000000 75.062 24.9031
1550.000000 75.124 25.7752
1575.000000 75.176 26.0332
1600.000000 75.155 26.4589
1625.000000 75.203 27.3167
1650.000000 75.319 27.6289
1675.000000 75.360 27.3263
1700.000000 75.299 27.4276
1725.000000 75.289 28.1803
1750.000000 75.356 28.5463
1775.000000 75.335 28.6297
1800.000000 75.302 29.5215
1825.000000 75.374 30.2106
1850.000000 75.382 30.6104
1875.000000 75.383 31.6151
1900.000000 75.478 32.6956
1925.000000 75.598 33.3020
1950.000000 75.661 33.8090
1975.000000 75.720 34.7216
2000.000000 75.856 35.8348
2030.000000 76.067 36.5897
2060.000000 76.211 37.2677
2090.000000 76.405 38.4372
2120.000000 76.704 39.3477
2140.000000 76.913 39.5741
2180.000000 77.259 39.6886
2200.000000 77.435 39.8106
2240.000000 77.804 39.8337
2270.000000 78.091 39.7455
2300.000000 78.401 39.3560
2330.000000 78.666 38.6309
2360.000000 78.915 38.0541
2400.000000 79.272 36.9939
2430.000000 79.499 35.9991
2470.000000 79.797 34.7692
2500.000000 80.016 33.6714
2540.000000 80.277 32.2080
2580.000000 80.541 30.6920
2620.000000 80.807 29.0624
2650.000000 80.995 27.6373
2690.000000 81.220 25.7542
2720.000000 81.396 24.2108
2760.000000 81.603 21.9493
2800.000000 81.791 19.4836
2850.000000 81.959 16.0900
2900.000000 82.049 12.5370
2950.000000 82.062 8.9630
3000.000000 82.001 5.2478
3040.000000 81.854 2.3037
3070.000000 81.695 0.3405
3110.000000 81.446 -2.0567
3150.000000 81.124 -4.1740
3200.000000 80.625 -5.9089
3250.000000 80.087 -6.3238
3300.000000 79.605 -5.2549
3350.000000 79.327 -3.1896
3400.000000 79.264 -1.3463
3450.000000 79.277 0.0427
3500.000000 79.347 1.2637
3550.000000 79.484 2.3185
3600.000000 79.689 3.0253
3650.000000 79.947 3.2493
3700.000000 80.222 2.8151
3750.000000 80.469 1.7626
3820.000000 80.717 -0.4186
3870.000000 80.812 -2.2640
3950.000000 80.818 -5.1954
4000.000000 80.750 -6.8706
4060.000000 80.602 -8.5948
4120.000000 80.405 -9.8401
4180.000000 80.189 -10.6116
4250.000000 79.936 -10.9156
4310.000000 79.744 -10.7095
4370.000000 79.588 -10.1711
4440.000000 79.464 -9.2128
4500.000000 79.417 -8.2250
4550.000000 79.418 -7.3481
4620.000000 79.478 -6.1349
4680.000000 79.574 -5.1150
4750.000000 79.745 -3.9216
4820.000000 79.993 -2.7821
4870.000000 80.223 -2.0450
4940.000000 80.629 -1.2214
5000.000000 81.059 -0.8248
5080.000000 81.753 -0.9170
5150.000000 82.481 -1.7817
5220.000000 83.329 -3.7205
5300.000000 84.415 -7.9167
5380.000000 85.496 -15.1349
5450.000000 86.244 -24.3939
5520.000000 86.609 -36.0334
5600.000000 86.410 -50.4398
5700.000000 85.291 -66.2336
5800.000000 83.597 -77.1174
5900.000000 81.782 -83.5875
6000.000000 80.105 -87.2662
6080.000000 78.921 -89.1201
6150.000000 77.993 -90.3567
6220.000000 77.148 -91.4857
6300.000000 76.253 -92.8734
6400.000000 75.177 -94.9482
6500.000000 74.073 -97.3720
6600.000000 72.888 -99.9673
