* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 9:29:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Az Maxwell (WCPads) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.090 -43.6859
20.299999 93.280 -46.0697
20.600000 93.449 -48.4314
20.900000 93.601 -50.7294
21.200001 93.743 -52.9439
21.400000 93.835 -54.3773
21.799999 94.018 -57.1778
22.000000 94.109 -58.5644
22.400000 94.286 -61.3434
22.700001 94.408 -63.4336
23.000000 94.518 -65.5098
23.299999 94.615 -67.5460
23.600000 94.701 -69.5205
24.000000 94.807 -72.0427
24.299999 94.882 -73.8593
24.700001 94.982 -76.2080
25.000000 95.054 -77.9313
25.400000 95.148 -80.1923
25.799999 95.235 -82.4178
26.200001 95.315 -84.6133
26.500000 95.370 -86.2427
26.900000 95.432 -88.3870
27.200001 95.470 -89.9610
27.600000 95.509 -91.9843
28.000000 95.539 -93.8952
28.500000 95.579 -96.1339
29.000000 95.629 -98.2901
29.500000 95.685 -100.4628
30.000000 95.729 -102.6650
30.400000 95.751 -104.3990
30.700001 95.762 -105.6553
31.100000 95.774 -107.2636
31.500000 95.789 -108.8183
32.000000 95.811 -110.7474
32.500000 95.829 -112.6912
33.000000 95.832 -114.6068
33.500000 95.826 -116.4308
34.000000 95.820 -118.1612
34.500000 95.820 -119.8548
35.000000 95.815 -121.5460
35.500000 95.800 -123.1923
36.000000 95.778 -124.7291
36.500000 95.764 -126.1654
37.000000 95.763 -127.5934
37.500000 95.763 -129.0888
38.200001 95.730 -131.2109
38.700001 95.684 -132.5931
39.500000 95.615 -134.4871
40.000000 95.589 -135.5838
40.599998 95.566 -136.9155
41.200001 95.543 -138.2667
41.799999 95.519 -139.6302
42.500000 95.483 -141.2567
43.099998 95.437 -142.6470
43.700001 95.380 -143.9626
44.400002 95.315 -145.3984
45.000000 95.265 -146.6243
45.500000 95.217 -147.6646
46.200001 95.134 -149.0662
46.799999 95.058 -150.1363
47.500000 94.983 -151.2770
48.200001 94.922 -152.4400
48.700001 94.875 -153.3036
49.400002 94.795 -154.4815
50.000000 94.720 -155.3872
50.799999 94.631 -156.4306
51.500000 94.576 -157.3038
52.200001 94.532 -158.2715
53.000000 94.469 -159.4817
53.799999 94.383 -160.6684
54.500000 94.296 -161.6331
55.200001 94.199 -162.5075
56.000000 94.087 -163.3814
57.000000 93.953 -164.3792
58.000000 93.815 -165.3023
59.000000 93.683 -166.1258
60.000000 93.554 -166.9424
60.799999 93.446 -167.5292
61.500000 93.357 -167.9563
62.200001 93.281 -168.3556
63.000000 93.204 -168.8397
64.000000 93.111 -169.4791
65.000000 93.016 -170.1366
66.000000 92.910 -170.7940
67.000000 92.791 -171.3517
68.000000 92.669 -171.7796
69.000000 92.546 -172.0789
70.000000 92.433 -172.2021
71.000000 92.346 -172.2434
72.000000 92.274 -172.3409
73.000000 92.204 -172.4330
74.000000 92.147 -172.5364
75.000000 92.090 -172.7105
76.199997 92.019 -172.8355
77.500000 91.970 -172.9696
78.800003 91.921 -173.2514
80.000000 91.866 -173.4381
81.199997 91.821 -173.5738
82.500000 91.772 -173.7206
83.800003 91.729 -173.8149
85.000000 91.701 -173.9243
86.199997 91.677 -174.0937
87.500000 91.654 -174.3292
88.500000 91.633 -174.5437
90.000000 91.593 -174.7678
91.199997 91.582 -174.8376
92.500000 91.588 -175.0349
93.800003 91.592 -175.3038
95.000000 91.595 -175.5783
96.199997 91.599 -175.8758
97.500000 91.605 -176.2602
98.800003 91.601 -176.7144
100.000000 91.587 -177.1406
101.500000 91.567 -177.6857
103.000000 91.542 -178.2848
104.400002 91.513 -178.9005
106.000000 91.468 -179.6597
107.500000 91.407 179.6325
109.000000 91.327 178.9614
110.599998 91.222 178.3169
112.000000 91.115 177.8217
113.800003 90.964 177.3237
115.000000 90.861 177.1036
117.199997 90.682 176.9362
118.000000 90.620 176.9345
120.599998 90.433 177.0982
122.000000 90.341 177.2485
124.099998 90.219 177.5154
125.000000 90.170 177.6444
126.500000 90.098 177.9185
128.000000 90.044 178.2301
131.500000 89.961 178.6368
132.000000 89.948 178.6566
134.000000 89.883 178.7452
136.000000 89.807 178.9724
138.000000 89.732 179.3947
140.000000 89.685 -179.9859
143.000000 89.702 -179.0945
145.000000 89.761 -178.7624
147.500000 89.833 -178.7079
150.000000 89.864 -178.9245
152.500000 89.855 -179.2581
155.000000 89.830 -179.6072
157.500000 89.802 -179.9193
160.000000 89.761 179.8370
162.500000 89.702 179.6262
165.000000 89.636 179.4290
167.500000 89.566 179.2493
170.000000 89.490 179.1325
172.500000 89.407 179.0836
175.000000 89.320 179.1134
177.500000 89.235 179.2733
180.000000 89.151 179.5538
182.500000 89.073 179.8746
185.000000 88.999 -179.9081
187.500000 88.922 -179.6388
190.000000 88.856 -179.2542
192.500000 88.798 -178.8361
195.000000 88.747 -178.4460
197.500000 88.695 -178.0706
200.000000 88.645 -177.6291
203.000000 88.594 -177.0109
206.000000 88.557 -176.3538
209.000000 88.534 -175.7165
212.000000 88.518 -175.0961
214.000000 88.512 -174.6790
218.000000 88.510 -173.8693
220.000000 88.515 -173.4677
224.000000 88.533 -172.6732
227.000000 88.551 -172.1226
230.000000 88.573 -171.6105
233.000000 88.601 -171.1302
236.000000 88.630 -170.7028
240.000000 88.673 -170.1320
243.000000 88.714 -169.6857
247.000000 88.775 -169.1985
250.000000 88.820 -168.9104
254.000000 88.873 -168.5453
258.000000 88.925 -168.1846
262.000000 88.989 -167.8974
265.000000 89.034 -167.7321
269.000000 89.086 -167.5346
272.000000 89.122 -167.3863
276.000000 89.169 -167.1899
280.000000 89.217 -166.9901
285.000000 89.280 -166.7587
290.000000 89.342 -166.5858
295.000000 89.401 -166.4591
300.000000 89.453 -166.3738
304.000000 89.495 -166.3046
307.000000 89.524 -166.2600
311.000000 89.559 -166.2119
315.000000 89.593 -166.1742
320.000000 89.628 -166.0911
325.000000 89.660 -165.9921
330.000000 89.691 -165.8941
335.000000 89.720 -165.7626
340.000000 89.754 -165.5842
345.000000 89.794 -165.4229
350.000000 89.832 -165.2794
355.000000 89.869 -165.1166
360.000000 89.912 -164.9367
365.000000 89.963 -164.7964
370.000000 90.014 -164.6848
375.000000 90.066 -164.5680
382.000000 90.144 -164.4321
387.000000 90.203 -164.3587
395.000000 90.304 -164.3224
400.000000 90.367 -164.3819
406.000000 90.437 -164.5176
412.000000 90.498 -164.6747
418.000000 90.554 -164.8069
425.000000 90.625 -164.9147
431.000000 90.693 -165.0436
437.000000 90.764 -165.2467
444.000000 90.843 -165.6234
450.000000 90.901 -166.0226
455.000000 90.944 -166.3552
462.000000 90.999 -166.8471
468.000000 91.039 -167.3369
475.000000 91.070 -167.9976
482.000000 91.076 -168.6905
487.000000 91.067 -169.1659
494.000000 91.040 -169.7993
500.000000 91.000 -170.2841
508.000000 90.926 -170.7537
515.000000 90.859 -170.9907
522.000000 90.797 -171.1084
530.000000 90.737 -171.1245
538.000000 90.687 -171.0492
545.000000 90.656 -170.9171
552.000000 90.642 -170.7485
560.000000 90.647 -170.5863
570.000000 90.679 -170.5268
580.000000 90.723 -170.6807
590.000000 90.766 -171.0546
600.000000 90.802 -171.6578
608.000000 90.820 -172.3174
615.000000 90.818 -173.0559
622.000000 90.790 -173.9090
630.000000 90.723 -174.9572
640.000000 90.578 -176.3274
650.000000 90.351 -177.6456
660.000000 90.039 -178.7178
670.000000 89.645 -179.3078
680.000000 89.192 -179.1695
690.000000 88.725 -178.1285
700.000000 88.293 -176.2049
710.000000 87.935 -173.5405
720.000000 87.680 -170.3340
730.000000 87.550 -166.8212
740.000000 87.547 -163.2750
750.000000 87.657 -159.9547
762.000000 87.906 -156.4848
775.000000 88.285 -153.5337
788.000000 88.701 -151.7326
800.000000 89.034 -150.7775
812.000000 89.326 -150.0344
825.000000 89.620 -149.4001
838.000000 89.900 -148.9374
850.000000 90.147 -148.6542
862.000000 90.383 -148.4971
875.000000 90.625 -148.4402
885.000000 90.804 -148.4434
900.000000 91.076 -148.5524
912.000000 91.292 -148.8164
925.000000 91.509 -149.3019
938.000000 91.700 -149.9123
950.000000 91.856 -150.4984
962.000000 92.002 -151.0538
975.000000 92.167 -151.6569
988.000000 92.343 -152.4091
1000.000000 92.503 -153.3611
1015.000000 92.661 -154.9100
1030.000000 92.745 -156.6059
1044.000000 92.772 -158.0475
1060.000000 92.785 -159.4862
1075.000000 92.802 -160.8777
1090.000000 92.804 -162.5768
1106.000000 92.731 -164.7937
1120.000000 92.555 -166.8639
1138.000000 92.143 -169.0758
1150.000000 91.770 -169.8427
1172.000000 91.020 -169.0044
1180.000000 90.781 -167.9387
1206.000000 90.356 -162.8358
1220.000000 90.372 -160.0392
1241.000000 90.611 -156.8593
1250.000000 90.754 -155.9415
1265.000000 91.010 -154.9584
1280.000000 91.261 -154.5588
1315.000000 91.755 -155.2370
1320.000000 91.813 -155.4760
1340.000000 92.006 -156.7459
1360.000000 92.126 -158.5074
1380.000000 92.138 -160.7258
1400.000000 91.997 -163.1983
1430.000000 91.437 -166.3181
1450.000000 90.868 -167.0708
1475.000000 90.099 -165.8248
1500.000000 89.459 -162.5163
1525.000000 89.025 -158.2251
1550.000000 88.741 -153.4559
1575.000000 88.623 -147.8455
1600.000000 88.790 -141.7460
1625.000000 89.255 -136.4991
1650.000000 89.873 -132.9131
1675.000000 90.502 -130.8650
1700.000000 91.069 -129.9107
1725.000000 91.546 -129.6303
1750.000000 91.930 -129.6749
1775.000000 92.226 -129.7720
1800.000000 92.449 -129.6316
1825.000000 92.645 -128.9229
1850.000000 92.904 -127.6099
1875.000000 93.291 -126.2319
1900.000000 93.777 -125.5021
1925.000000 94.275 -125.6561
1950.000000 94.720 -126.4755
1975.000000 95.091 -127.6370
2000.000000 95.394 -128.8518
2030.000000 95.718 -130.1039
2060.000000 96.069 -131.2746
2090.000000 96.458 -132.9800
2120.000000 96.796 -135.6390
2140.000000 96.938 -137.8563
2180.000000 96.916 -142.5619
2200.000000 96.733 -144.4068
2240.000000 96.226 -145.2984
2270.000000 96.043 -143.8717
2300.000000 96.114 -142.6398
2330.000000 96.242 -142.5784
2360.000000 96.252 -142.9187
2400.000000 96.160 -142.1589
2430.000000 96.163 -140.5633
2470.000000 96.395 -137.7975
2500.000000 96.769 -136.0207
2540.000000 97.408 -135.2369
2580.000000 98.000 -136.1075
2620.000000 98.458 -137.7754
2650.000000 98.712 -139.0820
2690.000000 98.998 -140.3279
2720.000000 99.262 -140.8901
2760.000000 99.733 -142.0199
2800.000000 100.223 -144.3306
2850.000000 100.640 -148.2434
2900.000000 100.896 -151.5866
2950.000000 101.295 -154.7042
3000.000000 101.706 -159.8587
3040.000000 101.826 -165.0574
3070.000000 101.776 -169.1429
3110.000000 101.489 -174.6250
3150.000000 100.871 -179.1758
3200.000000 99.833 179.2232
3250.000000 99.183 -178.2808
3300.000000 99.081 -176.0781
3350.000000 99.184 -175.5624
3400.000000 99.290 -176.2621
3450.000000 99.367 -177.4952
3500.000000 99.399 -179.3896
3550.000000 99.283 178.3795
3600.000000 99.058 176.8304
3650.000000 98.835 175.7834
3700.000000 98.591 174.9987
3750.000000 98.338 174.8076
3820.000000 98.056 175.4603
3870.000000 97.982 176.4797
3950.000000 98.107 177.4905
4000.000000 98.294 177.4996
4060.000000 98.562 176.0736
4120.000000 98.653 173.3389
4180.000000 98.558 170.6988
4250.000000 98.292 167.8296
4310.000000 97.886 166.1329
4370.000000 97.440 166.0574
4440.000000 97.089 167.1830
4500.000000 96.907 168.3468
4550.000000 96.819 169.4805
4620.000000 96.840 171.2582
4680.000000 96.987 172.2606
4750.000000 97.211 172.6826
4820.000000 97.444 172.4661
4870.000000 97.602 172.0995
4940.000000 97.843 171.4828
5000.000000 98.102 170.6950
