* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 20, 2023 9:18:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Az Maxwell (WC Pads) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 93.131 -49.1096
20.299999 93.309 -51.3107
20.600000 93.479 -53.5270
20.900000 93.637 -55.7487
21.200001 93.780 -57.9470
21.400000 93.867 -59.3849
21.799999 94.032 -62.1800
22.000000 94.112 -63.5436
22.400000 94.270 -66.2437
22.700001 94.383 -68.2776
23.000000 94.488 -70.3287
23.299999 94.578 -72.3773
23.600000 94.653 -74.3862
24.000000 94.735 -76.9427
24.299999 94.793 -78.7567
24.700001 94.876 -81.0877
25.000000 94.945 -82.8296
25.400000 95.032 -85.2046
25.799999 95.095 -87.6146
26.200001 95.126 -89.9386
26.500000 95.134 -91.5429
26.900000 95.141 -93.4555
27.200001 95.159 -94.7590
27.600000 95.202 -96.4440
28.000000 95.255 -98.1756
28.500000 95.297 -100.3729
29.000000 95.301 -102.3363
29.500000 95.313 -103.8525
30.000000 95.397 -105.1178
30.400000 95.522 -106.2780
30.700001 95.632 -107.3693
31.100000 95.766 -109.1386
31.500000 95.858 -111.1535
32.000000 95.904 -113.7361
32.500000 95.896 -116.1493
33.000000 95.865 -118.3287
33.500000 95.830 -120.3374
34.000000 95.794 -122.2367
34.500000 95.760 -124.0542
35.000000 95.728 -125.8183
35.500000 95.696 -127.5545
36.000000 95.656 -129.2441
36.500000 95.610 -130.8253
37.000000 95.569 -132.2655
37.500000 95.543 -133.6163
38.200001 95.530 -135.5309
38.700001 95.517 -136.9433
39.500000 95.473 -139.1069
40.000000 95.446 -140.3587
40.599998 95.421 -141.8558
41.200001 95.388 -143.4193
41.799999 95.331 -144.9848
42.500000 95.241 -146.6880
43.099998 95.158 -148.0367
43.700001 95.072 -149.3069
44.400002 94.977 -150.6945
45.000000 94.910 -151.8754
45.500000 94.859 -152.9268
46.200001 94.768 -154.4741
46.799999 94.668 -155.7134
47.500000 94.550 -156.9464
48.200001 94.450 -158.0514
48.700001 94.384 -158.8139
49.400002 94.292 -159.8183
50.000000 94.219 -160.5989
50.799999 94.136 -161.5668
51.500000 94.078 -162.4240
52.200001 94.026 -163.3891
53.000000 93.947 -164.6382
53.799999 93.832 -165.8602
54.500000 93.719 -166.8093
55.200001 93.604 -167.6882
56.000000 93.465 -168.6086
57.000000 93.291 -169.5411
58.000000 93.137 -170.3156
59.000000 92.988 -171.0239
60.000000 92.838 -171.5485
60.799999 92.735 -171.8169
61.500000 92.667 -172.0315
62.200001 92.615 -172.3154
63.000000 92.565 -172.7908
64.000000 92.489 -173.6193
65.000000 92.376 -174.4987
66.000000 92.249 -175.2247
67.000000 92.124 -175.9314
68.000000 91.972 -176.5798
69.000000 91.805 -176.9117
70.000000 91.656 -177.0091
71.000000 91.522 -176.9344
72.000000 91.424 -176.7229
73.000000 91.360 -176.6101
74.000000 91.301 -176.6313
75.000000 91.243 -176.6977
76.199997 91.168 -176.8347
77.500000 91.073 -176.9207
78.800003 90.988 -176.8932
80.000000 90.917 -176.8790
81.199997 90.854 -176.8267
82.500000 90.802 -176.7746
83.800003 90.762 -176.7042
85.000000 90.746 -176.6154
86.199997 90.739 -176.6570
87.500000 90.711 -176.7342
88.500000 90.685 -176.7270
90.000000 90.660 -176.6312
91.199997 90.661 -176.6840
92.500000 90.652 -176.8858
93.800003 90.641 -177.0568
95.000000 90.642 -177.2039
96.199997 90.651 -177.3976
97.500000 90.662 -177.6445
98.800003 90.675 -177.9145
100.000000 90.685 -178.2132
101.500000 90.690 -178.5815
103.000000 90.694 -178.9900
104.400002 90.690 -179.4302
106.000000 90.679 -179.9815
107.500000 90.662 179.4697
109.000000 90.652 178.9125
110.599998 90.642 178.1849
112.000000 90.617 177.4944
113.800003 90.568 176.6052
115.000000 90.521 175.9641
117.199997 90.401 174.8406
118.000000 90.352 174.4512
120.599998 90.169 173.2650
122.000000 90.054 172.6573
124.099998 89.845 171.8649
125.000000 89.746 171.6101
126.500000 89.570 171.2982
128.000000 89.384 171.1896
131.500000 88.953 171.7891
132.000000 88.896 171.9837
134.000000 88.704 172.9731
136.000000 88.584 174.0970
138.000000 88.530 175.1307
140.000000 88.521 175.9935
143.000000 88.561 176.7984
145.000000 88.592 177.0277
147.500000 88.631 177.1412
150.000000 88.650 176.9221
152.500000 88.614 176.5005
155.000000 88.545 176.0819
157.500000 88.464 175.7310
160.000000 88.367 175.5098
162.500000 88.257 175.4521
165.000000 88.142 175.4297
167.500000 88.023 175.3689
170.000000 87.898 175.3401
172.500000 87.765 175.4203
175.000000 87.619 175.5987
177.500000 87.465 175.8618
180.000000 87.325 176.2344
182.500000 87.200 176.6930
185.000000 87.071 177.3233
187.500000 86.943 178.0656
190.000000 86.822 178.8477
192.500000 86.711 179.6063
195.000000 86.607 -179.5781
197.500000 86.515 -178.7180
200.000000 86.428 -177.8218
203.000000 86.333 -176.5842
206.000000 86.263 -175.2915
209.000000 86.211 -174.1036
212.000000 86.170 -172.9474
214.000000 86.149 -172.1475
218.000000 86.118 -170.4334
220.000000 86.110 -169.5611
224.000000 86.114 -167.8343
227.000000 86.138 -166.5541
230.000000 86.176 -165.3000
233.000000 86.225 -164.0804
236.000000 86.282 -162.8961
240.000000 86.378 -161.4133
243.000000 86.467 -160.3379
247.000000 86.597 -159.0047
250.000000 86.696 -158.1169
254.000000 86.835 -156.9652
258.000000 86.989 -155.8015
262.000000 87.161 -154.7592
265.000000 87.295 -154.0773
269.000000 87.477 -153.2477
272.000000 87.617 -152.7072
276.000000 87.807 -152.1186
280.000000 87.998 -151.6369
285.000000 88.237 -151.1583
290.000000 88.468 -150.8579
295.000000 88.694 -150.6412
300.000000 88.915 -150.5188
304.000000 89.084 -150.5379
307.000000 89.209 -150.6050
311.000000 89.374 -150.7717
315.000000 89.529 -151.0328
320.000000 89.705 -151.4453
325.000000 89.866 -151.9265
330.000000 90.008 -152.4595
335.000000 90.129 -152.9779
340.000000 90.236 -153.4398
345.000000 90.337 -153.8853
350.000000 90.430 -154.3326
355.000000 90.517 -154.7595
360.000000 90.602 -155.1538
365.000000 90.687 -155.5381
370.000000 90.773 -155.9478
375.000000 90.856 -156.3851
382.000000 90.965 -157.0393
387.000000 91.036 -157.5264
395.000000 91.143 -158.3699
400.000000 91.198 -158.9653
406.000000 91.243 -159.7098
412.000000 91.264 -160.3912
418.000000 91.274 -160.9218
425.000000 91.293 -161.4100
431.000000 91.316 -161.7907
437.000000 91.341 -162.1568
444.000000 91.373 -162.5799
450.000000 91.407 -162.9271
455.000000 91.441 -163.2285
462.000000 91.493 -163.7287
468.000000 91.534 -164.2402
475.000000 91.572 -164.9307
482.000000 91.591 -165.6899
487.000000 91.590 -166.2356
494.000000 91.570 -166.9298
500.000000 91.543 -167.4334
508.000000 91.503 -167.9697
515.000000 91.474 -168.3300
522.000000 91.459 -168.6499
530.000000 91.455 -169.0595
538.000000 91.454 -169.5401
545.000000 91.457 -170.0116
552.000000 91.463 -170.5408
560.000000 91.470 -171.2601
570.000000 91.464 -172.3788
580.000000 91.425 -173.7034
590.000000 91.340 -175.1915
600.000000 91.198 -176.7620
608.000000 91.036 -178.0038
615.000000 90.855 -179.0291
622.000000 90.637 -179.9335
630.000000 90.348 179.2605
640.000000 89.937 178.6919
650.000000 89.490 178.6853
660.000000 89.028 179.3111
670.000000 88.574 -179.4013
680.000000 88.149 -177.4795
690.000000 87.776 -174.9619
700.000000 87.478 -171.9034
710.000000 87.279 -168.4204
720.000000 87.201 -164.7427
730.000000 87.244 -161.1281
740.000000 87.392 -157.8122
750.000000 87.620 -154.9574
762.000000 87.956 -152.2181
775.000000 88.350 -150.0675
788.000000 88.737 -148.6116
800.000000 89.070 -147.7057
812.000000 89.376 -147.0941
825.000000 89.682 -146.6642
838.000000 89.965 -146.4099
850.000000 90.211 -146.2939
862.000000 90.445 -146.3035
875.000000 90.682 -146.4681
885.000000 90.849 -146.6894
900.000000 91.074 -147.1129
912.000000 91.236 -147.4839
925.000000 91.399 -147.9042
938.000000 91.554 -148.3646
950.000000 91.692 -148.8732
962.000000 91.819 -149.4957
975.000000 91.934 -150.2957
988.000000 92.015 -151.1864
1000.000000 92.051 -152.0305
1015.000000 92.033 -152.9388
1030.000000 91.963 -153.4148
1044.000000 91.890 -153.3131
1060.000000 91.858 -152.6504
1075.000000 91.908 -151.8017
1090.000000 92.037 -151.0489
1106.000000 92.235 -150.5598
1120.000000 92.440 -150.4789
1138.000000 92.715 -150.8993
1150.000000 92.893 -151.4972
1172.000000 93.177 -153.2216
1180.000000 93.258 -154.0279
1206.000000 93.406 -157.0157
1220.000000 93.417 -158.7081
1241.000000 93.348 -161.2913
1250.000000 93.283 -162.3954
1265.000000 93.121 -164.1311
1280.000000 92.899 -165.6190
1315.000000 92.229 -167.7997
1320.000000 92.122 -167.9594
1340.000000 91.674 -168.2269
1360.000000 91.194 -167.8305
1380.000000 90.704 -166.6033
1400.000000 90.243 -164.5200
1430.000000 89.666 -159.7728
1450.000000 89.440 -155.4586
1475.000000 89.458 -149.6621
1500.000000 89.756 -144.8199
1525.000000 90.171 -141.4457
1550.000000 90.565 -139.3218
1575.000000 90.843 -137.7409
1600.000000 91.047 -135.4390
1625.000000 91.396 -132.2110
1650.000000 91.955 -129.5584
1675.000000 92.575 -128.1686
1700.000000 93.162 -127.5579
1725.000000 93.734 -127.3421
1750.000000 94.313 -127.6278
1775.000000 94.867 -128.5542
1800.000000 95.362 -129.9941
1825.000000 95.789 -131.7240
1850.000000 96.160 -133.5345
1875.000000 96.509 -135.3478
1900.000000 96.859 -137.3175
1925.000000 97.206 -139.6607
1950.000000 97.527 -142.5235
1975.000000 97.789 -145.9583
2000.000000 97.956 -149.9873
2030.000000 97.950 -155.4740
2060.000000 97.627 -160.9698
2090.000000 96.988 -165.2087
2120.000000 96.184 -167.3283
2140.000000 95.628 -167.7172
2180.000000 94.459 -165.7020
2200.000000 93.954 -162.3980
2240.000000 93.738 -152.9955
2270.000000 94.214 -148.2240
2300.000000 94.759 -146.4809
2330.000000 95.158 -146.1402
2360.000000 95.451 -145.9799
2400.000000 95.791 -145.8356
2430.000000 96.027 -145.8093
2470.000000 96.347 -145.8626
2500.000000 96.598 -146.1739
2540.000000 96.881 -147.1291
2580.000000 97.044 -148.1490
2620.000000 97.140 -148.3937
2650.000000 97.264 -147.9746
2690.000000 97.570 -147.3282
2720.000000 97.893 -147.1492
2760.000000 98.411 -147.8171
2800.000000 98.906 -149.8523
2850.000000 99.352 -153.5124
2900.000000 99.623 -157.9339
2950.000000 99.544 -162.5135
3000.000000 99.249 -164.7846
3040.000000 99.134 -165.1897
3070.000000 99.173 -165.4801
3110.000000 99.292 -166.7391
3150.000000 99.321 -168.6392
3200.000000 99.303 -170.3537
3250.000000 99.367 -172.5898
3300.000000 99.233 -175.5319
3350.000000 98.962 -177.1081
3400.000000 98.779 -178.0919
3450.000000 98.590 -179.4943
3500.000000 98.282 179.3781
3550.000000 97.903 179.4855
3600.000000 97.620 -178.6262
3650.000000 97.677 -175.9109
3700.000000 98.026 -174.7346
3750.000000 98.350 -175.6069
3820.000000 98.549 -177.7656
3870.000000 98.590 -179.1589
3950.000000 98.566 179.0582
4000.000000 98.547 178.4979
4060.000000 98.635 178.1785
4120.000000 98.854 177.1050
4180.000000 99.044 174.7877
4250.000000 99.058 171.2082
4310.000000 98.874 168.4972
4370.000000 98.614 166.6780
4440.000000 98.321 165.3853
4500.000000 98.099 164.7755
4550.000000 97.941 164.5127
4620.000000 97.768 164.5477
4680.000000 97.707 164.8491
4750.000000 97.743 165.0737
4820.000000 97.875 164.8964
4870.000000 98.007 164.3764
4940.000000 98.205 163.1089
5000.000000 98.392 161.6227
5080.000000 98.655 158.7051
