* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:21:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (KSCPads) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 64.785 -39.6228
20.600000 64.533 -38.0302
20.900000 64.361 -36.3952
21.200001 64.374 -35.3483
21.400000 64.497 -35.0466
21.799999 65.032 -35.2436
22.000000 65.430 -35.7049
22.400000 66.357 -37.4418
22.700001 66.992 -39.4443
23.000000 67.407 -41.7549
23.299999 67.504 -43.7955
23.600000 67.264 -44.7166
24.000000 66.650 -42.6648
24.299999 66.373 -38.5209
24.700001 66.822 -33.2050
25.000000 67.670 -32.5628
25.400000 68.883 -36.6608
25.799999 69.750 -43.2923
26.200001 70.172 -48.6124
26.500000 70.306 -50.0323
26.900000 70.573 -48.0419
27.200001 71.005 -45.0960
27.600000 71.761 -42.4094
28.000000 72.286 -42.7619
28.500000 72.131 -46.0419
29.000000 71.104 -48.9114
29.500000 69.998 -48.6750
30.000000 70.011 -47.8342
30.400000 70.803 -50.0053
30.700001 71.486 -53.1224
31.100000 72.214 -57.6740
31.500000 72.633 -61.0846
32.000000 72.822 -62.8058
32.500000 72.833 -62.6088
33.000000 72.740 -62.3608
33.500000 72.534 -62.7609
34.000000 72.346 -63.1429
34.500000 72.431 -63.0275
35.000000 72.854 -62.9902
35.500000 73.380 -63.6588
36.000000 73.764 -64.8805
36.500000 73.934 -66.2108
37.000000 73.966 -67.4450
37.500000 73.974 -68.5698
38.200001 74.110 -69.9660
38.700001 74.310 -71.0358
39.500000 74.569 -73.5957
40.000000 74.579 -75.5394
40.599998 74.550 -77.4458
41.200001 74.711 -78.6038
41.799999 75.058 -79.2922
42.500000 75.403 -79.4591
43.099998 75.560 -79.2789
43.700001 75.648 -79.9424
44.400002 75.727 -82.1461
45.000000 75.907 -83.8182
45.500000 76.188 -84.5965
46.200001 76.466 -85.6603
46.799999 76.335 -86.6605
47.500000 76.272 -88.5715
48.200001 77.159 -95.4842
48.700001 78.018 -103.4891
49.400002 78.556 -112.8637
50.000000 78.214 -113.7862
50.799999 77.667 -103.3159
51.500000 77.759 -95.4485
52.200001 77.689 -94.9530
53.000000 77.444 -97.6381
53.799999 77.626 -99.9624
54.500000 77.854 -101.3455
55.200001 77.915 -101.8972
56.000000 77.944 -102.6362
57.000000 78.042 -104.9935
58.000000 78.182 -106.7830
59.000000 78.310 -108.1499
60.000000 78.348 -109.9382
60.799999 78.390 -111.3331
61.500000 78.439 -112.4095
62.200001 78.473 -113.3618
63.000000 78.508 -114.4389
64.000000 78.571 -115.9702
65.000000 78.624 -117.4201
66.000000 78.682 -118.7919
67.000000 78.731 -120.3399
68.000000 78.755 -121.5533
69.000000 78.760 -122.4882
70.000000 78.727 -123.7200
71.000000 78.701 -125.3526
72.000000 78.707 -126.9858
73.000000 78.712 -128.1973
74.000000 78.680 -128.9884
75.000000 78.633 -129.7346
76.199997 78.594 -131.0768
77.500000 78.620 -132.6838
78.800003 78.631 -133.9034
80.000000 78.605 -134.4579
81.199997 78.625 -135.2290
82.500000 78.619 -135.9850
83.800003 78.564 -136.8448
85.000000 78.505 -138.0155
86.199997 78.521 -138.3557
87.500000 78.624 -138.6297
88.500000 78.632 -139.5919
90.000000 78.611 -140.4786
91.199997 78.661 -140.9524
92.500000 78.592 -141.7929
93.800003 78.440 -142.8355
95.000000 78.371 -143.7144
96.199997 78.386 -144.3279
97.500000 78.282 -145.3981
98.800003 78.046 -146.7971
100.000000 78.075 -147.1715
101.500000 78.311 -147.3331
103.000000 78.330 -147.8893
104.400002 78.259 -148.4779
106.000000 78.227 -149.0863
107.500000 78.201 -149.9731
109.000000 78.177 -150.6903
110.599998 78.152 -151.4029
112.000000 78.117 -152.0290
113.800003 78.032 -152.7538
115.000000 77.985 -153.1943
117.199997 77.950 -154.0352
118.000000 77.935 -154.4357
120.599998 77.895 -155.5320
122.000000 77.860 -155.4635
124.099998 77.778 -155.7122
125.000000 77.746 -155.9023
126.500000 77.683 -156.0573
128.000000 77.634 -156.4765
131.500000 77.494 -158.3917
132.000000 77.481 -158.3972
134.000000 77.469 -158.3944
136.000000 77.453 -158.5948
138.000000 77.388 -158.5422
140.000000 77.339 -158.3714
143.000000 77.245 -159.2760
145.000000 77.194 -159.7009
147.500000 77.257 -159.5419
150.000000 77.239 -159.3904
152.500000 77.043 -160.0774
155.000000 76.944 -160.4836
157.500000 76.878 -160.6173
160.000000 76.815 -160.8480
162.500000 76.735 -161.1463
165.000000 76.705 -161.5321
167.500000 76.764 -162.2775
170.000000 76.810 -162.8058
172.500000 76.714 -161.9795
175.000000 76.729 -162.0697
177.500000 76.799 -162.7053
180.000000 76.600 -162.6538
182.500000 76.434 -162.5887
185.000000 76.391 -162.4609
187.500000 76.330 -162.7827
190.000000 76.229 -163.1282
192.500000 76.183 -162.5452
195.000000 76.173 -162.0313
197.500000 76.208 -161.6463
200.000000 76.163 -161.6848
203.000000 76.028 -162.1422
206.000000 75.947 -162.3159
209.000000 75.866 -162.1582
212.000000 75.793 -162.1476
214.000000 75.760 -162.1884
218.000000 75.695 -162.5226
220.000000 75.642 -162.5454
224.000000 75.568 -162.0217
227.000000 75.525 -161.7878
230.000000 75.466 -161.4187
233.000000 75.402 -161.0334
236.000000 75.336 -160.8532
240.000000 75.264 -161.3370
243.000000 75.351 -160.9678
247.000000 75.666 -159.7398
250.000000 75.580 -159.0554
254.000000 75.161 -158.5713
258.000000 74.941 -157.9099
262.000000 74.866 -157.1750
265.000000 74.794 -156.7387
269.000000 74.683 -156.0103
272.000000 74.717 -155.3676
276.000000 74.816 -154.6737
280.000000 74.831 -153.9078
285.000000 74.795 -153.0249
290.000000 74.788 -152.3253
295.000000 74.900 -151.9164
300.000000 74.924 -151.3443
304.000000 74.916 -151.0973
307.000000 74.920 -150.9990
311.000000 74.946 -150.9358
315.000000 74.994 -150.1640
320.000000 75.022 -149.2702
325.000000 74.940 -149.8868
330.000000 74.873 -149.7529
335.000000 74.846 -149.0249
340.000000 74.868 -148.0510
345.000000 74.908 -148.1667
350.000000 74.908 -148.0328
355.000000 74.888 -147.6279
360.000000 74.888 -147.3500
365.000000 74.810 -147.3652
370.000000 74.739 -147.2343
375.000000 74.728 -146.5882
382.000000 74.715 -145.6423
387.000000 74.658 -145.4760
395.000000 74.778 -144.6329
400.000000 74.824 -143.8181
406.000000 74.804 -142.6129
412.000000 74.752 -142.0837
418.000000 74.698 -141.9921
425.000000 74.686 -141.3543
431.000000 74.681 -140.5809
437.000000 74.657 -139.7007
444.000000 74.596 -138.9778
450.000000 74.559 -138.4770
455.000000 74.548 -137.9888
462.000000 74.582 -137.2733
468.000000 74.617 -136.5383
475.000000 74.586 -135.7224
482.000000 74.548 -134.9976
487.000000 74.546 -134.4977
494.000000 74.583 -133.5901
500.000000 74.617 -132.7397
508.000000 74.630 -131.7054
515.000000 74.624 -130.9821
522.000000 74.607 -130.1413
530.000000 74.593 -129.1396
538.000000 74.596 -128.2304
545.000000 74.601 -127.4728
552.000000 74.612 -126.6582
560.000000 74.647 -125.6994
570.000000 74.698 -124.6591
580.000000 74.716 -123.3417
590.000000 74.704 -122.0651
600.000000 74.723 -120.9807
608.000000 74.738 -120.2454
615.000000 74.756 -119.3487
622.000000 74.790 -118.4708
630.000000 74.827 -117.8024
640.000000 74.848 -116.8396
650.000000 74.891 -115.4936
660.000000 74.916 -114.2427
670.000000 74.922 -113.0923
680.000000 74.972 -111.8576
690.000000 75.013 -110.7972
700.000000 75.073 -109.4206
710.000000 75.124 -107.9178
720.000000 75.113 -106.7422
730.000000 75.184 -105.7178
740.000000 75.278 -104.8143
750.000000 75.318 -103.8875
762.000000 75.349 -102.4920
775.000000 75.406 -100.9575
788.000000 75.473 -99.4099
800.000000 75.524 -97.9959
812.000000 75.612 -96.6307
825.000000 75.723 -95.2802
838.000000 75.805 -93.8394
850.000000 75.853 -92.4208
862.000000 75.938 -91.1468
875.000000 76.050 -89.7095
885.000000 76.116 -88.5536
900.000000 76.208 -86.7960
912.000000 76.275 -85.4427
925.000000 76.359 -84.0657
938.000000 76.460 -82.4608
950.000000 76.554 -80.9089
962.000000 76.654 -79.4881
975.000000 76.749 -78.2313
988.000000 76.839 -76.8745
1000.000000 76.944 -75.5679
1015.000000 77.091 -73.8799
1030.000000 77.205 -72.0610
1044.000000 77.313 -70.3955
1060.000000 77.465 -68.5185
1075.000000 77.606 -66.7294
1090.000000 77.737 -64.8856
1106.000000 77.899 -62.9479
1120.000000 78.053 -61.3086
1138.000000 78.242 -59.3170
1150.000000 78.376 -58.0776
1172.000000 78.632 -55.6791
1180.000000 78.735 -54.7617
1206.000000 79.097 -51.8233
1220.000000 79.290 -50.0955
1241.000000 79.599 -47.6825
1250.000000 79.735 -46.7036
1265.000000 79.959 -45.1275
1280.000000 80.179 -43.7253
1315.000000 80.718 -40.4752
1320.000000 80.802 -39.9813
1340.000000 81.154 -37.9940
1360.000000 81.489 -36.3162
1380.000000 81.800 -34.8407
1400.000000 82.132 -33.3653
1430.000000 82.639 -30.9576
1450.000000 82.967 -29.3213
1475.000000 83.437 -27.3940
1500.000000 83.909 -25.7977
1525.000000 84.380 -24.2226
1550.000000 84.861 -22.8192
1575.000000 85.345 -21.6123
1600.000000 85.828 -20.5589
1625.000000 86.310 -19.5538
1650.000000 86.800 -18.7064
1675.000000 87.291 -18.0021
1700.000000 87.779 -17.5466
1725.000000 88.246 -17.2685
1750.000000 88.701 -17.0915
1775.000000 89.144 -17.0368
1800.000000 89.558 -17.1449
1825.000000 89.948 -17.1905
1850.000000 90.346 -17.1716
1875.000000 90.744 -17.2934
1900.000000 91.139 -17.5113
1925.000000 91.522 -17.8643
1950.000000 91.874 -18.3393
1975.000000 92.200 -18.7118
2000.000000 92.542 -19.0366
2030.000000 92.952 -19.6051
2060.000000 93.350 -20.3013
2090.000000 93.724 -21.1344
2120.000000 94.075 -22.0054
2140.000000 94.297 -22.6173
2180.000000 94.703 -23.9442
2200.000000 94.876 -24.6062
2240.000000 95.212 -25.5147
2270.000000 95.501 -26.1547
2300.000000 95.787 -27.0284
2330.000000 96.047 -27.9825
2360.000000 96.282 -28.9822
2400.000000 96.563 -30.1830
2430.000000 96.766 -31.0345
2470.000000 97.025 -32.0763
2500.000000 97.218 -32.8220
2540.000000 97.488 -33.7672
2580.000000 97.764 -34.9964
2620.000000 97.990 -36.2987
2650.000000 98.148 -37.1946
2690.000000 98.357 -38.3353
2720.000000 98.516 -39.2409
2760.000000 98.712 -40.5437
2800.000000 98.880 -41.8799
2850.000000 99.048 -43.4228
2900.000000 99.217 -44.6093
2950.000000 99.434 -45.7530
3000.000000 99.698 -47.2419
3040.000000 99.897 -48.7914
3070.000000 100.019 -50.1334
3110.000000 100.123 -51.9628
3150.000000 100.197 -53.6264
3200.000000 100.282 -55.6315
3250.000000 100.355 -57.6383
3300.000000 100.427 -59.7370
3350.000000 100.472 -62.0611
3400.000000 100.465 -64.4999
3450.000000 100.421 -66.8766
3500.000000 100.349 -69.2913
3550.000000 100.237 -71.7366
3600.000000 100.090 -74.1456
3650.000000 99.914 -76.6283
3700.000000 99.671 -79.2050
3750.000000 99.353 -81.5742
3820.000000 98.814 -84.3078
3870.000000 98.419 -85.7861
3950.000000 97.765 -88.0902
4000.000000 97.302 -89.1924
4060.000000 96.730 -89.9106
4120.000000 96.215 -90.2281
4180.000000 95.724 -90.8072
4250.000000 95.078 -91.5571
4310.000000 94.451 -91.8138
4370.000000 93.801 -91.5008
4440.000000 93.053 -90.5980
4500.000000 92.431 -89.4851
4550.000000 91.919 -88.3785
4620.000000 91.211 -86.5219
4680.000000 90.605 -84.6584
4750.000000 89.905 -81.9086
4820.000000 89.260 -78.5879
4870.000000 88.849 -75.9789
