* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:13:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (KSCPads) R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 71.762 -68.1382
20.600000 71.942 -68.5177
20.900000 72.144 -69.1757
21.200001 72.305 -70.2070
21.400000 72.371 -71.0730
21.799999 72.391 -72.9080
22.000000 72.354 -73.6661
22.400000 72.250 -74.3417
22.700001 72.229 -73.8860
23.000000 72.336 -72.7228
23.299999 72.609 -71.3192
23.600000 73.022 -70.2963
24.000000 73.653 -70.2667
24.299999 74.072 -71.3557
24.700001 74.445 -73.8591
25.000000 74.567 -76.0333
25.400000 74.573 -78.5834
25.799999 74.535 -80.1779
26.200001 74.598 -80.8326
26.500000 74.740 -81.0420
26.900000 74.980 -81.3695
27.200001 75.122 -81.6605
27.600000 75.195 -81.7763
28.000000 75.170 -81.2208
28.500000 75.188 -79.9970
29.000000 75.402 -80.0849
29.500000 75.684 -82.8077
30.000000 75.849 -87.1063
30.400000 75.902 -90.0594
30.700001 75.964 -91.3386
31.100000 76.174 -91.7193
31.500000 76.558 -91.3291
32.000000 77.117 -91.1532
32.500000 77.504 -91.7728
33.000000 77.618 -92.5303
33.500000 77.580 -92.9011
34.000000 77.571 -93.2521
34.500000 77.663 -94.3623
35.000000 77.793 -96.3302
35.500000 77.896 -98.3755
36.000000 77.982 -99.6008
36.500000 78.108 -99.7372
37.000000 78.307 -99.3526
37.500000 78.543 -99.3845
38.200001 78.793 -101.1221
38.700001 78.863 -103.2998
39.500000 78.888 -106.5995
40.000000 78.940 -107.8810
40.599998 79.037 -108.7335
41.200001 79.111 -109.2321
41.799999 79.178 -109.8087
42.500000 79.308 -111.1660
43.099998 79.415 -112.6223
43.700001 79.481 -113.3430
44.400002 79.592 -113.3957
45.000000 79.684 -114.2191
45.500000 79.689 -115.6097
46.200001 79.748 -117.1061
46.799999 80.035 -117.6028
47.500000 80.270 -117.9655
48.200001 79.819 -115.7705
48.700001 79.305 -110.8933
49.400002 79.282 -104.8034
50.000000 79.812 -107.7672
50.799999 80.251 -119.4898
51.500000 80.312 -126.8098
52.200001 80.481 -128.2222
53.000000 80.745 -127.9340
53.799999 80.736 -128.9455
54.500000 80.683 -130.3113
55.200001 80.755 -131.7514
56.000000 80.866 -133.0848
57.000000 80.909 -134.2251
58.000000 80.906 -135.9892
59.000000 80.885 -137.8795
60.000000 80.878 -138.9403
60.799999 80.902 -139.6256
61.500000 80.937 -140.4164
62.200001 80.974 -141.3233
63.000000 81.001 -142.4051
64.000000 80.978 -143.7094
65.000000 80.939 -144.8322
66.000000 80.915 -145.9810
67.000000 80.880 -147.0915
68.000000 80.865 -148.1245
69.000000 80.873 -149.1347
70.000000 80.864 -150.1118
71.000000 80.813 -151.0704
72.000000 80.750 -152.0106
73.000000 80.701 -152.8402
74.000000 80.661 -153.5387
75.000000 80.607 -154.2519
76.199997 80.575 -155.0968
77.500000 80.643 -156.2305
78.800003 80.608 -157.2425
80.000000 80.489 -157.3450
81.199997 80.430 -157.7523
82.500000 80.368 -158.6665
83.800003 80.329 -159.3838
85.000000 80.325 -160.1825
86.199997 80.262 -161.1812
87.500000 80.132 -161.7943
88.500000 80.078 -162.0005
90.000000 80.001 -162.2225
91.199997 79.953 -162.4114
92.500000 79.919 -163.1723
93.800003 79.895 -163.8045
95.000000 79.903 -164.1812
96.199997 79.873 -164.5829
97.500000 79.740 -165.6504
98.800003 79.558 -167.1284
100.000000 79.601 -167.4024
101.500000 79.742 -167.1720
103.000000 79.695 -167.2139
104.400002 79.630 -167.8318
106.000000 79.585 -168.3900
107.500000 79.524 -168.6958
109.000000 79.480 -168.9642
110.599998 79.448 -169.5846
112.000000 79.403 -170.2170
113.800003 79.345 -170.9263
115.000000 79.301 -171.0945
117.199997 79.201 -171.2214
118.000000 79.162 -171.4769
120.599998 79.028 -172.2879
122.000000 78.973 -172.2002
124.099998 78.896 -172.5253
125.000000 78.893 -172.8514
126.500000 78.939 -173.6819
128.000000 78.969 -174.3326
131.500000 78.780 -173.9501
132.000000 78.744 -173.8323
134.000000 78.629 -173.5478
136.000000 78.522 -173.8677
138.000000 78.455 -174.1319
140.000000 78.488 -174.0319
143.000000 78.388 -173.9206
145.000000 78.249 -174.2205
147.500000 78.055 -174.5485
150.000000 78.027 -174.6205
152.500000 77.997 -174.6088
155.000000 77.905 -174.6023
157.500000 77.833 -174.6919
160.000000 77.773 -174.8577
162.500000 77.707 -174.7865
165.000000 77.651 -174.9312
167.500000 77.556 -174.2768
170.000000 77.411 -173.5089
172.500000 77.412 -174.6550
175.000000 77.519 -174.9771
177.500000 77.579 -174.9611
180.000000 77.409 -174.4696
182.500000 77.192 -174.1013
185.000000 77.072 -174.5037
187.500000 77.087 -174.6595
190.000000 77.174 -174.2800
192.500000 77.085 -174.1948
195.000000 77.012 -174.1922
197.500000 77.056 -173.9186
200.000000 76.971 -173.5747
203.000000 76.784 -173.0468
206.000000 76.657 -172.3670
209.000000 76.567 -171.9042
212.000000 76.540 -172.0029
214.000000 76.532 -172.0907
218.000000 76.468 -172.3511
220.000000 76.433 -172.2616
224.000000 76.406 -171.4521
227.000000 76.367 -171.0524
230.000000 76.306 -170.9123
233.000000 76.239 -170.6717
236.000000 76.124 -170.2407
240.000000 75.912 -169.8206
243.000000 75.831 -169.3018
247.000000 75.682 -166.9733
250.000000 75.714 -167.2193
254.000000 75.843 -168.2870
258.000000 75.835 -168.1145
262.000000 75.817 -167.6670
265.000000 75.816 -167.7275
269.000000 75.800 -167.7843
272.000000 75.760 -167.0227
276.000000 75.686 -166.3520
280.000000 75.611 -165.7499
285.000000 75.516 -165.0188
290.000000 75.477 -164.6860
295.000000 75.478 -164.0332
300.000000 75.446 -163.3013
304.000000 75.398 -162.5899
307.000000 75.381 -162.2420
311.000000 75.404 -161.7567
315.000000 75.435 -161.3818
320.000000 75.414 -161.0522
325.000000 75.360 -160.6484
330.000000 75.291 -159.6443
335.000000 75.281 -158.6066
340.000000 75.284 -158.0017
345.000000 75.142 -157.4462
350.000000 75.089 -156.9612
355.000000 75.098 -156.4580
360.000000 75.064 -156.1644
365.000000 75.057 -156.3783
370.000000 75.053 -155.5634
375.000000 75.018 -153.4509
382.000000 74.911 -152.9554
387.000000 74.870 -153.0562
395.000000 74.802 -151.2816
400.000000 74.784 -150.1781
406.000000 74.844 -148.9503
412.000000 74.884 -148.2160
418.000000 74.842 -147.4566
425.000000 74.770 -147.0389
431.000000 74.744 -146.5995
437.000000 74.718 -146.0671
444.000000 74.715 -144.8742
450.000000 74.742 -143.8515
455.000000 74.776 -143.1284
462.000000 74.788 -142.4427
468.000000 74.780 -142.0680
475.000000 74.747 -141.0457
482.000000 74.719 -139.8698
487.000000 74.695 -139.0768
494.000000 74.651 -138.2673
500.000000 74.635 -137.4771
508.000000 74.649 -136.1590
515.000000 74.639 -135.1999
522.000000 74.641 -134.3056
530.000000 74.666 -133.2539
538.000000 74.681 -132.2227
545.000000 74.675 -131.3463
552.000000 74.680 -130.4841
560.000000 74.699 -129.4295
570.000000 74.722 -128.1438
580.000000 74.718 -126.6728
590.000000 74.740 -125.4579
600.000000 74.806 -124.3840
608.000000 74.863 -123.5182
615.000000 74.878 -122.7351
622.000000 74.888 -121.8162
630.000000 74.904 -120.5048
640.000000 74.937 -119.2572
650.000000 74.970 -117.8959
660.000000 74.997 -116.4027
670.000000 75.007 -115.2243
680.000000 75.052 -114.0347
690.000000 75.106 -112.7638
700.000000 75.140 -111.6300
710.000000 75.174 -110.2978
720.000000 75.256 -108.9504
730.000000 75.334 -107.7851
740.000000 75.362 -106.5002
750.000000 75.372 -105.2687
762.000000 75.446 -103.8997
775.000000 75.552 -102.3846
788.000000 75.619 -100.7371
800.000000 75.650 -99.1422
812.000000 75.720 -97.6219
825.000000 75.809 -95.9637
838.000000 75.873 -94.4717
850.000000 75.938 -93.0911
862.000000 76.031 -91.6906
875.000000 76.118 -89.9990
885.000000 76.179 -88.7190
900.000000 76.285 -86.9187
912.000000 76.392 -85.5201
925.000000 76.493 -84.0028
938.000000 76.572 -82.3901
950.000000 76.652 -80.7753
962.000000 76.752 -79.2415
975.000000 76.850 -77.7872
988.000000 76.954 -76.2006
1000.000000 77.061 -74.6803
1015.000000 77.200 -72.8863
1030.000000 77.330 -71.1627
1044.000000 77.438 -69.5301
1060.000000 77.575 -67.4500
1075.000000 77.744 -65.5296
1090.000000 77.935 -63.8849
1106.000000 78.141 -62.2484
1120.000000 78.308 -60.7318
1138.000000 78.506 -58.6671
1150.000000 78.636 -57.2140
1172.000000 78.875 -54.5886
1180.000000 78.952 -53.6322
1206.000000 79.262 -50.3486
1220.000000 79.484 -48.7791
1241.000000 79.767 -46.4891
1250.000000 79.884 -45.4755
1265.000000 80.098 -43.7145
1280.000000 80.352 -41.8148
1315.000000 81.024 -38.3129
1320.000000 81.116 -37.9322
1340.000000 81.442 -36.4476
1360.000000 81.790 -34.5656
1380.000000 82.154 -33.0692
1400.000000 82.468 -31.6731
1430.000000 82.979 -29.3650
1450.000000 83.326 -27.8952
1475.000000 83.762 -26.1248
1500.000000 84.201 -24.4733
1525.000000 84.676 -22.6144
1550.000000 85.190 -21.0522
1575.000000 85.705 -20.0485
1600.000000 86.199 -19.1812
1625.000000 86.673 -18.4139
1650.000000 87.144 -17.9052
1675.000000 87.573 -17.4791
1700.000000 87.991 -16.9889
1725.000000 88.401 -16.5353
1750.000000 88.814 -16.1250
1775.000000 89.236 -15.6999
1800.000000 89.675 -15.3063
1825.000000 90.124 -15.2976
1850.000000 90.526 -15.5709
1875.000000 90.911 -15.7430
1900.000000 91.288 -16.0440
1925.000000 91.646 -16.4611
1950.000000 91.978 -16.9881
1975.000000 92.270 -17.4810
2000.000000 92.543 -17.7172
2030.000000 92.908 -17.8727
2060.000000 93.276 -18.3104
2090.000000 93.624 -18.7744
2120.000000 93.994 -19.2614
2140.000000 94.241 -19.7850
2180.000000 94.670 -21.2388
2200.000000 94.835 -22.0025
2240.000000 95.103 -23.0244
2270.000000 95.330 -23.4490
2300.000000 95.570 -23.9826
2330.000000 95.796 -24.5444
2360.000000 96.019 -25.0272
2400.000000 96.340 -25.7626
2430.000000 96.557 -26.5217
2470.000000 96.802 -27.4703
2500.000000 96.970 -27.9642
2540.000000 97.231 -28.4373
2580.000000 97.518 -29.0774
2620.000000 97.812 -29.9805
2650.000000 98.006 -30.8405
2690.000000 98.233 -32.0317
2720.000000 98.378 -32.9018
2760.000000 98.558 -33.8787
2800.000000 98.753 -34.7820
2850.000000 98.996 -36.1219
2900.000000 99.203 -37.5229
2950.000000 99.388 -38.7434
3000.000000 99.602 -39.7667
3040.000000 99.814 -40.6904
3070.000000 99.983 -41.7066
3110.000000 100.166 -43.3604
3150.000000 100.320 -45.0995
3200.000000 100.455 -47.5204
3250.000000 100.538 -49.8858
3300.000000 100.584 -52.2670
3350.000000 100.607 -54.7318
3400.000000 100.566 -57.3350
3450.000000 100.480 -59.7618
3500.000000 100.366 -62.2131
3550.000000 100.211 -64.6351
3600.000000 100.018 -67.1083
3650.000000 99.761 -69.6409
3700.000000 99.416 -72.0504
3750.000000 98.990 -74.0403
3820.000000 98.328 -75.9340
3870.000000 97.847 -76.7928
3950.000000 97.092 -77.1517
4000.000000 96.690 -77.1466
4060.000000 96.198 -77.2937
4120.000000 95.684 -76.9803
4180.000000 95.224 -76.4199
4250.000000 94.707 -76.1625
4310.000000 94.190 -75.9886
4370.000000 93.628 -75.4317
4440.000000 92.943 -74.2949
4500.000000 92.357 -72.8172
4550.000000 91.884 -71.3264
4620.000000 91.248 -68.9701
4680.000000 90.713 -66.7061
4750.000000 90.120 -63.6959
4820.000000 89.563 -60.5041
4870.000000 89.179 -58.1253
