* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 9:08:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (PP) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.886 -93.4396
20.600000 81.047 -94.1187
20.900000 81.217 -95.0238
21.200001 81.360 -96.0233
21.400000 81.440 -96.6973
21.799999 81.571 -97.9914
22.000000 81.630 -98.5989
22.400000 81.742 -99.7388
22.700001 81.825 -100.5315
23.000000 81.905 -101.2549
23.299999 81.984 -101.8790
23.600000 82.066 -102.3792
24.000000 82.191 -102.8709
24.299999 82.304 -103.1772
24.700001 82.474 -103.6533
25.000000 82.607 -104.1415
25.400000 82.769 -104.9861
25.799999 82.903 -105.9538
26.200001 83.015 -106.8913
26.500000 83.096 -107.5147
26.900000 83.217 -108.2465
27.200001 83.319 -108.7646
27.600000 83.457 -109.4717
28.000000 83.581 -110.1999
28.500000 83.705 -111.0516
29.000000 83.819 -111.7859
29.500000 83.959 -112.5456
30.000000 84.123 -113.5416
30.400000 84.247 -114.5095
30.700001 84.323 -115.2516
31.100000 84.402 -116.1379
31.500000 84.465 -116.8245
32.000000 84.543 -117.4648
32.500000 84.627 -118.0750
33.000000 84.704 -118.7890
33.500000 84.769 -119.5421
34.000000 84.836 -120.2209
34.500000 84.925 -120.8312
35.000000 85.035 -121.4729
35.500000 85.149 -122.2061
36.000000 85.252 -122.9980
36.500000 85.344 -123.7914
37.000000 85.429 -124.5757
37.500000 85.505 -125.3788
38.200001 85.587 -126.5429
38.700001 85.640 -127.3636
39.500000 85.774 -128.6686
40.000000 85.891 -129.5336
40.599998 86.014 -130.5180
41.200001 86.087 -131.2302
41.799999 86.133 -131.7787
42.500000 86.186 -132.7930
43.099998 86.226 -134.0053
43.700001 86.287 -134.9714
44.400002 86.417 -135.6009
45.000000 86.488 -136.1275
45.500000 86.462 -136.6261
46.200001 86.424 -137.4626
46.799999 86.542 -138.8015
47.500000 86.742 -140.4408
48.200001 86.906 -139.1776
48.700001 87.164 -136.1814
49.400002 87.743 -133.2656
50.000000 88.003 -134.6740
50.799999 87.612 -139.8708
51.500000 87.038 -143.5033
52.200001 86.894 -145.2591
53.000000 87.073 -146.5658
53.799999 87.123 -147.2578
54.500000 87.099 -147.6762
55.200001 87.099 -148.6642
56.000000 87.128 -150.0628
57.000000 87.202 -151.1999
58.000000 87.231 -152.2248
59.000000 87.226 -153.4619
60.000000 87.246 -154.5905
60.799999 87.261 -155.2799
61.500000 87.261 -155.9077
62.200001 87.248 -156.6577
63.000000 87.234 -157.5756
64.000000 87.221 -158.6731
65.000000 87.183 -159.6440
66.000000 87.125 -160.4286
67.000000 87.080 -161.1991
68.000000 87.036 -161.9902
69.000000 87.015 -162.5827
70.000000 87.002 -163.1003
71.000000 86.935 -163.3821
72.000000 86.883 -163.3044
73.000000 86.913 -163.3548
74.000000 86.986 -163.6787
75.000000 87.068 -164.2280
76.199997 87.154 -165.2413
77.500000 87.212 -166.4101
78.800003 87.245 -167.3479
80.000000 87.233 -168.6293
81.199997 87.162 -170.1104
82.500000 87.085 -171.3095
83.800003 86.981 -172.0394
85.000000 86.887 -172.4435
86.199997 86.819 -172.9482
87.500000 86.752 -173.5496
88.500000 86.738 -173.9710
90.000000 86.765 -174.3824
91.199997 86.750 -174.4794
92.500000 86.713 -174.7240
93.800003 86.697 -175.1578
95.000000 86.687 -175.5409
96.199997 86.671 -175.9986
97.500000 86.655 -176.4822
98.800003 86.619 -176.8176
100.000000 86.608 -177.4253
101.500000 86.596 -178.5122
103.000000 86.571 -179.0974
104.400002 86.532 -179.6423
106.000000 86.518 179.8224
107.500000 86.523 179.2733
109.000000 86.488 178.6370
110.599998 86.429 178.0350
112.000000 86.391 177.4988
113.800003 86.352 176.8228
115.000000 86.319 176.4229
117.199997 86.239 175.6319
118.000000 86.213 175.2620
120.599998 86.142 174.2102
122.000000 86.100 174.0302
124.099998 86.032 173.6228
125.000000 86.002 173.3898
126.500000 85.957 173.1050
128.000000 85.900 173.0523
131.500000 85.682 171.6544
132.000000 85.656 171.4907
134.000000 85.577 171.2340
136.000000 85.519 171.1430
138.000000 85.480 171.0252
140.000000 85.455 171.0625
143.000000 85.382 170.3840
145.000000 85.325 169.8847
147.500000 85.209 169.4482
150.000000 85.112 169.0488
152.500000 85.122 168.5464
155.000000 85.075 168.0038
157.500000 84.998 167.5113
160.000000 84.910 167.1682
162.500000 84.821 166.8979
165.000000 84.744 166.6904
167.500000 84.656 166.8829
170.000000 84.568 167.1306
172.500000 84.531 166.3192
175.000000 84.470 165.9092
177.500000 84.352 165.9725
180.000000 84.286 165.9527
182.500000 84.277 165.5963
185.000000 84.217 165.2246
187.500000 84.172 165.1227
190.000000 84.135 165.3009
192.500000 84.073 164.8751
195.000000 84.016 164.2062
197.500000 83.966 163.4556
200.000000 83.891 163.0490
203.000000 83.785 163.1874
206.000000 83.685 163.1140
209.000000 83.581 162.9312
212.000000 83.483 162.9044
214.000000 83.419 162.9067
218.000000 83.294 162.7137
220.000000 83.226 162.5348
224.000000 83.084 162.3281
227.000000 83.011 162.2604
230.000000 82.942 162.2570
233.000000 82.866 162.3409
236.000000 82.769 162.2481
240.000000 82.630 162.1617
243.000000 82.563 162.5556
247.000000 82.444 163.6859
250.000000 82.363 164.1541
254.000000 82.254 163.7076
258.000000 82.111 163.9021
262.000000 82.002 164.3583
265.000000 81.953 164.8150
269.000000 81.909 165.2264
272.000000 81.877 165.7316
276.000000 81.835 166.4565
280.000000 81.809 166.8588
285.000000 81.798 167.1463
290.000000 81.797 167.3829
295.000000 81.775 167.6342
300.000000 81.765 167.7924
304.000000 81.743 167.8300
307.000000 81.716 167.7850
311.000000 81.679 167.9186
315.000000 81.669 168.0195
320.000000 81.651 168.0554
325.000000 81.609 167.9028
330.000000 81.556 167.9075
335.000000 81.454 168.2000
340.000000 81.387 168.4883
345.000000 81.347 168.2384
350.000000 81.304 168.1281
355.000000 81.262 168.1896
360.000000 81.214 168.1619
365.000000 81.167 168.2333
370.000000 81.089 168.4434
375.000000 80.915 168.7070
382.000000 80.788 169.2630
387.000000 80.789 169.8455
395.000000 80.674 170.2211
400.000000 80.592 170.4190
406.000000 80.522 170.7628
412.000000 80.441 170.9674
418.000000 80.365 171.1888
425.000000 80.311 171.8663
431.000000 80.242 172.4302
437.000000 80.181 172.9694
444.000000 80.132 173.5486
450.000000 80.081 174.1389
455.000000 80.027 174.6371
462.000000 79.966 175.2076
468.000000 79.936 175.4630
475.000000 79.897 175.8615
482.000000 79.841 176.2336
487.000000 79.797 176.6085
494.000000 79.747 177.3155
500.000000 79.711 177.8907
508.000000 79.665 178.5198
515.000000 79.653 179.0171
522.000000 79.641 179.4722
530.000000 79.606 179.9915
538.000000 79.557 -179.3883
545.000000 79.537 -178.9278
552.000000 79.520 -178.4677
560.000000 79.478 -177.8813
570.000000 79.427 -177.0506
580.000000 79.402 -176.4343
590.000000 79.352 -175.8901
600.000000 79.298 -175.1834
608.000000 79.281 -174.5082
615.000000 79.272 -174.0104
622.000000 79.261 -173.5222
630.000000 79.247 -172.9231
640.000000 79.226 -172.1170
650.000000 79.206 -171.2937
660.000000 79.210 -170.7423
670.000000 79.187 -170.0742
680.000000 79.165 -169.3602
690.000000 79.162 -168.6233
700.000000 79.165 -167.9859
710.000000 79.158 -167.4715
720.000000 79.154 -166.6236
730.000000 79.157 -165.7815
740.000000 79.135 -165.0404
750.000000 79.137 -164.2108
762.000000 79.143 -163.3282
775.000000 79.154 -162.5387
788.000000 79.157 -161.6856
800.000000 79.166 -160.9152
812.000000 79.177 -160.0536
825.000000 79.189 -159.0648
838.000000 79.204 -158.1642
850.000000 79.220 -157.3516
862.000000 79.243 -156.5613
875.000000 79.260 -155.7440
885.000000 79.272 -155.0672
900.000000 79.296 -154.0558
912.000000 79.311 -153.2545
925.000000 79.330 -152.3010
938.000000 79.353 -151.2789
950.000000 79.381 -150.4159
962.000000 79.417 -149.6579
975.000000 79.462 -148.7629
988.000000 79.504 -147.8063
1000.000000 79.545 -146.8883
1015.000000 79.585 -145.7586
1030.000000 79.622 -144.6426
1044.000000 79.672 -143.5649
1060.000000 79.750 -142.3501
1075.000000 79.819 -141.2108
1090.000000 79.890 -140.0002
1106.000000 79.985 -138.7669
1120.000000 80.073 -137.6917
1138.000000 80.190 -136.3735
1150.000000 80.268 -135.4696
1172.000000 80.425 -133.8211
1180.000000 80.488 -133.2614
1206.000000 80.701 -131.4724
1220.000000 80.819 -130.4814
1241.000000 80.982 -129.0905
1250.000000 81.056 -128.5519
1265.000000 81.196 -127.4871
1280.000000 81.366 -126.2427
1315.000000 81.801 -123.9297
1320.000000 81.861 -123.6988
1340.000000 82.090 -122.9551
1360.000000 82.330 -122.1387
1380.000000 82.568 -121.3447
1400.000000 82.803 -120.6937
1430.000000 83.123 -119.7094
1450.000000 83.311 -119.0126
1475.000000 83.542 -118.0134
1500.000000 83.835 -116.8845
1525.000000 84.158 -116.0520
1550.000000 84.480 -115.1656
1575.000000 84.830 -114.5232
1600.000000 85.170 -114.0720
1625.000000 85.503 -113.7248
1650.000000 85.834 -113.5568
1675.000000 86.144 -113.5561
1700.000000 86.437 -113.4927
1725.000000 86.740 -113.4051
1750.000000 87.037 -113.5117
1775.000000 87.320 -113.6494
1800.000000 87.609 -113.7183
1825.000000 87.892 -113.9150
1850.000000 88.154 -114.1622
1875.000000 88.415 -114.3687
1900.000000 88.689 -114.5526
1925.000000 88.972 -114.8117
1950.000000 89.250 -115.1781
1975.000000 89.519 -115.6592
2000.000000 89.775 -116.2175
2030.000000 90.062 -116.8400
2060.000000 90.351 -117.4090
2090.000000 90.633 -117.9787
2120.000000 90.929 -118.5138
2140.000000 91.135 -118.9510
2180.000000 91.531 -120.1171
2200.000000 91.709 -120.7604
2240.000000 92.032 -121.8957
2270.000000 92.286 -122.5139
2300.000000 92.579 -123.2204
2330.000000 92.873 -124.2156
2360.000000 93.142 -125.3525
2400.000000 93.471 -126.8319
2430.000000 93.718 -127.8943
2470.000000 94.046 -129.3635
2500.000000 94.295 -130.5285
2540.000000 94.614 -132.2095
2580.000000 94.922 -133.8624
2620.000000 95.245 -135.5904
2650.000000 95.487 -137.0637
2690.000000 95.783 -139.2138
2720.000000 95.983 -140.8498
2760.000000 96.238 -143.0222
2800.000000 96.480 -145.2874
2850.000000 96.753 -148.1343
2900.000000 96.999 -150.9541
2950.000000 97.256 -153.5644
3000.000000 97.561 -156.5131
3040.000000 97.779 -159.2722
3070.000000 97.909 -161.4295
3110.000000 98.051 -164.2691
3150.000000 98.183 -167.0668
3200.000000 98.329 -170.7445
3250.000000 98.425 -174.4588
3300.000000 98.499 -178.1429
3350.000000 98.547 178.0767
3400.000000 98.556 174.2009
3450.000000 98.514 170.3799
3500.000000 98.450 166.6018
3550.000000 98.345 162.7786
3600.000000 98.200 159.1049
3650.000000 98.037 155.4743
3700.000000 97.830 151.8107
3750.000000 97.574 148.3211
3820.000000 97.163 143.8011
3870.000000 96.852 140.7644
3950.000000 96.290 136.2737
4000.000000 95.923 133.7335
4060.000000 95.453 130.9771
4120.000000 95.010 128.6319
4180.000000 94.577 126.1089
4250.000000 94.017 123.3698
4310.000000 93.527 121.1702
4370.000000 92.987 119.1048
4440.000000 92.323 117.2968
4500.000000 91.758 116.0450
4550.000000 91.276 115.2856
4620.000000 90.633 114.7194
4680.000000 90.112 114.3215
4750.000000 89.499 114.1178
4820.000000 88.906 114.2945
4870.000000 88.497 114.5889
4940.000000 87.948 115.3500
5000.000000 87.529 116.2565
5080.000000 87.041 117.4756
5150.000000 86.665 118.4714
5220.000000 86.308 119.2046
5300.000000 85.867 119.9939
5380.000000 85.407 121.0064
5450.000000 84.992 122.1196
5520.000000 84.574 123.5276
