* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:35:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (YaxiPads) L3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.022 -47.9878
20.600000 68.457 -48.9998
20.900000 68.927 -50.4236
21.200001 69.223 -52.0585
21.400000 69.265 -53.0897
21.799999 68.939 -54.3842
22.000000 68.599 -54.3557
22.400000 67.776 -52.5146
22.700001 67.306 -49.9470
23.000000 67.208 -47.6099
23.299999 67.546 -46.9136
23.600000 68.197 -48.4406
24.000000 69.231 -53.0480
24.299999 69.936 -57.2130
24.700001 70.610 -62.1385
25.000000 70.875 -64.6404
25.400000 70.953 -65.7705
25.799999 70.891 -64.3577
26.200001 70.916 -61.5379
26.500000 71.054 -59.7381
26.900000 71.308 -59.0749
27.200001 71.453 -60.0181
27.600000 71.504 -62.5354
28.000000 71.442 -65.4010
28.500000 71.474 -68.4293
29.000000 71.898 -71.4659
29.500000 72.577 -75.6850
30.000000 73.118 -80.4532
30.400000 73.305 -83.2550
30.700001 73.320 -84.1003
31.100000 73.278 -83.3146
31.500000 73.288 -81.0129
32.000000 73.399 -78.0399
32.500000 73.472 -76.5571
33.000000 73.438 -76.6063
33.500000 73.417 -77.6964
34.000000 73.521 -79.5105
34.500000 73.702 -81.5467
35.000000 73.850 -83.0193
35.500000 73.947 -83.5175
36.000000 74.055 -83.5218
36.500000 74.212 -83.9543
37.000000 74.410 -85.2216
37.500000 74.641 -87.0077
38.200001 74.964 -89.4921
38.700001 75.108 -90.9426
39.500000 75.104 -92.4055
40.000000 75.087 -92.8282
40.599998 75.245 -93.3741
41.200001 75.547 -94.3907
41.799999 75.753 -95.4771
42.500000 75.732 -96.0186
43.099998 75.671 -96.4196
43.700001 75.776 -98.1916
44.400002 76.017 -101.1387
45.000000 76.234 -101.5878
45.500000 76.468 -100.3654
46.200001 76.678 -100.3042
46.799999 76.410 -103.6111
47.500000 76.225 -107.9778
48.200001 77.906 -110.7006
48.700001 79.675 -114.1534
49.400002 81.150 -120.7756
50.000000 80.971 -124.4617
50.799999 79.187 -120.5568
51.500000 77.790 -112.4222
52.200001 77.274 -111.9084
53.000000 77.093 -116.7592
53.799999 77.314 -118.3324
54.500000 77.530 -118.4686
55.200001 77.445 -119.1387
56.000000 77.292 -120.4920
57.000000 77.426 -122.8688
58.000000 77.535 -124.1061
59.000000 77.500 -124.8818
60.000000 77.446 -126.5554
60.799999 77.432 -127.8006
61.500000 77.406 -128.3271
62.200001 77.383 -128.4749
63.000000 77.391 -128.8126
64.000000 77.408 -129.5015
65.000000 77.435 -130.0121
66.000000 77.476 -130.8512
67.000000 77.521 -131.7849
68.000000 77.590 -132.4424
69.000000 77.608 -133.1250
70.000000 77.591 -133.7913
71.000000 77.653 -134.6530
72.000000 77.740 -135.8508
73.000000 77.785 -136.8550
74.000000 77.829 -137.5955
75.000000 77.887 -138.4837
76.199997 77.957 -139.9211
77.500000 78.050 -141.2593
78.800003 78.167 -142.6006
80.000000 78.112 -143.9641
81.199997 77.967 -144.8619
82.500000 77.840 -145.7827
83.800003 77.837 -147.1011
85.000000 77.888 -148.2304
86.199997 77.954 -148.9135
87.500000 77.971 -149.9598
88.500000 77.897 -151.2441
90.000000 77.716 -152.0172
91.199997 77.776 -151.9065
92.500000 77.834 -152.5459
93.800003 77.808 -153.2832
95.000000 77.791 -154.0845
96.199997 77.785 -155.1295
97.500000 77.847 -156.4606
98.800003 78.005 -157.8864
100.000000 77.965 -158.7733
101.500000 77.742 -158.8593
103.000000 77.636 -159.1824
104.400002 77.569 -159.5373
106.000000 77.495 -160.3282
107.500000 77.475 -161.1551
109.000000 77.443 -161.6572
110.599998 77.428 -162.8417
112.000000 77.403 -163.6714
113.800003 77.318 -163.8709
115.000000 77.257 -164.0316
117.199997 77.189 -164.4959
118.000000 77.184 -164.7204
120.599998 77.137 -165.5844
122.000000 77.036 -166.1833
124.099998 76.947 -166.8148
125.000000 76.926 -167.1568
126.500000 76.923 -168.0537
128.000000 76.952 -169.1642
131.500000 76.631 -169.1393
132.000000 76.591 -169.0704
134.000000 76.512 -169.2676
136.000000 76.485 -169.8490
138.000000 76.463 -170.2930
140.000000 76.353 -169.6080
143.000000 76.259 -169.9339
145.000000 76.203 -170.5879
147.500000 76.037 -171.9227
150.000000 75.876 -172.6179
152.500000 75.922 -171.9808
155.000000 75.895 -172.0511
157.500000 75.877 -171.9828
160.000000 75.830 -171.9528
162.500000 75.753 -172.1909
165.000000 75.670 -172.4931
167.500000 75.564 -172.0812
170.000000 75.485 -171.4145
172.500000 75.513 -173.0442
175.000000 75.543 -175.1062
177.500000 75.526 -177.6824
180.000000 75.379 -176.8261
182.500000 75.259 -175.0691
185.000000 75.233 -174.4689
187.500000 75.225 -174.2407
190.000000 75.265 -174.4312
192.500000 75.176 -174.9659
195.000000 75.046 -175.7403
197.500000 74.968 -176.1332
200.000000 74.858 -176.1274
203.000000 74.703 -175.7938
206.000000 74.581 -175.5829
209.000000 74.444 -175.6629
212.000000 74.342 -175.5727
214.000000 74.292 -175.3175
218.000000 74.089 -175.0688
220.000000 74.007 -174.9486
224.000000 73.985 -174.3895
227.000000 73.930 -174.0890
230.000000 73.873 -173.7652
233.000000 73.819 -173.2849
236.000000 73.775 -172.5924
240.000000 73.764 -171.2265
243.000000 73.808 -171.2287
247.000000 74.141 -170.9626
250.000000 74.111 -170.7539
254.000000 73.625 -170.8971
258.000000 73.336 -170.5940
262.000000 73.238 -169.7062
265.000000 73.194 -168.9140
269.000000 73.111 -167.8380
272.000000 73.119 -167.6681
276.000000 73.125 -167.6259
280.000000 73.138 -167.4849
285.000000 73.260 -166.5359
290.000000 73.337 -165.4105
295.000000 73.258 -165.3793
300.000000 73.237 -165.0796
304.000000 73.230 -165.1018
307.000000 73.204 -165.0084
311.000000 73.164 -164.8217
315.000000 73.060 -164.5038
320.000000 72.909 -164.1063
325.000000 72.950 -164.1357
330.000000 73.029 -163.9759
335.000000 73.055 -163.0140
340.000000 73.039 -161.8421
345.000000 73.023 -162.9019
350.000000 72.975 -163.3101
355.000000 72.858 -163.2143
360.000000 72.808 -163.2046
365.000000 72.892 -163.1662
370.000000 72.848 -163.0346
375.000000 72.593 -161.8206
382.000000 72.489 -160.6828
387.000000 72.529 -160.9769
395.000000 72.523 -160.0371
400.000000 72.495 -159.2370
406.000000 72.484 -158.5675
412.000000 72.403 -157.7076
418.000000 72.254 -156.7145
425.000000 72.164 -156.2532
431.000000 72.127 -155.6861
437.000000 72.093 -154.5569
444.000000 72.062 -153.5643
450.000000 72.048 -153.2758
455.000000 72.034 -153.1036
462.000000 72.004 -152.1745
468.000000 71.994 -151.2832
475.000000 71.959 -150.3224
482.000000 71.917 -149.2862
487.000000 71.891 -148.7074
494.000000 71.834 -148.1002
500.000000 71.809 -147.6871
508.000000 71.774 -146.8336
515.000000 71.767 -145.7874
522.000000 71.741 -144.9780
530.000000 71.684 -143.9754
538.000000 71.671 -142.7994
545.000000 71.703 -142.0239
552.000000 71.714 -141.3436
560.000000 71.685 -140.4023
570.000000 71.661 -139.2732
580.000000 71.623 -138.3082
590.000000 71.609 -137.1549
600.000000 71.611 -135.8745
608.000000 71.616 -134.9626
615.000000 71.611 -133.8721
622.000000 71.603 -132.9439
630.000000 71.594 -131.8740
640.000000 71.608 -130.7111
650.000000 71.583 -129.7000
660.000000 71.561 -128.5806
670.000000 71.561 -127.6212
680.000000 71.588 -126.4891
690.000000 71.571 -124.9623
700.000000 71.550 -123.3941
710.000000 71.523 -122.2849
720.000000 71.564 -121.2800
730.000000 71.651 -119.9300
740.000000 71.717 -118.6339
750.000000 71.685 -117.5867
762.000000 71.649 -116.3872
775.000000 71.671 -114.9509
788.000000 71.714 -113.2733
800.000000 71.779 -111.5854
812.000000 71.844 -110.2179
825.000000 71.849 -108.8477
838.000000 71.821 -107.1710
850.000000 71.847 -105.7220
862.000000 71.903 -104.0147
875.000000 71.989 -102.1791
885.000000 72.049 -101.0219
900.000000 72.131 -99.3895
912.000000 72.185 -98.0636
925.000000 72.232 -96.3525
938.000000 72.300 -94.4843
950.000000 72.371 -92.8042
962.000000 72.426 -91.4094
975.000000 72.507 -89.9078
988.000000 72.574 -88.3834
1000.000000 72.616 -86.9190
1015.000000 72.709 -85.1256
1030.000000 72.814 -83.2766
1044.000000 72.876 -81.2355
1060.000000 72.970 -79.1304
1075.000000 73.071 -77.3822
1090.000000 73.144 -75.6301
1106.000000 73.249 -73.5925
1120.000000 73.368 -71.6857
1138.000000 73.543 -69.1507
1150.000000 73.646 -67.4991
1172.000000 73.857 -64.2090
1180.000000 73.943 -62.9541
1206.000000 74.275 -58.7837
1220.000000 74.479 -56.4968
1241.000000 74.837 -53.4448
1250.000000 75.030 -52.3227
1265.000000 75.352 -50.7060
1280.000000 75.623 -49.3069
1315.000000 76.120 -46.0373
1320.000000 76.201 -45.5071
1340.000000 76.544 -43.5005
1360.000000 76.895 -41.8582
1380.000000 77.232 -40.4161
1400.000000 77.543 -38.6927
1430.000000 78.011 -35.9001
1450.000000 78.362 -34.2395
1475.000000 78.826 -32.4991
1500.000000 79.253 -30.9669
1525.000000 79.646 -29.4736
1550.000000 80.063 -27.6790
1575.000000 80.512 -26.2353
1600.000000 80.931 -24.9510
1625.000000 81.359 -23.5426
1650.000000 81.807 -22.1537
1675.000000 82.265 -20.8592
1700.000000 82.717 -19.9718
1725.000000 83.133 -19.5078
1750.000000 83.519 -18.8266
1775.000000 83.927 -18.0106
1800.000000 84.333 -17.2268
1825.000000 84.757 -16.4826
1850.000000 85.182 -15.9961
1875.000000 85.575 -15.5698
1900.000000 85.973 -15.1306
1925.000000 86.380 -14.8683
1950.000000 86.766 -14.8774
1975.000000 87.114 -14.7668
2000.000000 87.469 -14.4433
2030.000000 87.920 -14.1052
2060.000000 88.371 -14.1231
2090.000000 88.779 -14.2451
2120.000000 89.187 -14.2830
2140.000000 89.471 -14.2873
2180.000000 90.044 -14.6912
2200.000000 90.298 -14.9716
2240.000000 90.804 -15.3923
2270.000000 91.173 -15.8875
2300.000000 91.541 -16.4303
2330.000000 91.897 -17.0602
2360.000000 92.246 -17.7107
2400.000000 92.679 -18.7921
2430.000000 92.971 -19.5954
2470.000000 93.333 -20.5369
2500.000000 93.624 -21.1765
2540.000000 94.016 -22.2298
2580.000000 94.389 -23.2956
2620.000000 94.778 -24.5220
2650.000000 95.050 -25.7450
2690.000000 95.352 -27.4130
2720.000000 95.564 -28.5594
2760.000000 95.836 -30.0987
2800.000000 96.099 -31.6890
2850.000000 96.389 -33.8551
2900.000000 96.632 -35.9924
2950.000000 96.842 -37.9870
3000.000000 97.063 -39.9252
3040.000000 97.237 -41.5944
3070.000000 97.359 -42.9757
3110.000000 97.481 -44.9120
3150.000000 97.585 -46.7103
3200.000000 97.716 -49.1165
3250.000000 97.796 -51.7836
3300.000000 97.808 -54.4690
3350.000000 97.772 -57.0254
3400.000000 97.691 -59.4953
3450.000000 97.583 -61.7323
3500.000000 97.461 -63.9031
3550.000000 97.320 -66.0760
3600.000000 97.142 -68.2620
3650.000000 96.923 -70.3892
3700.000000 96.663 -72.3794
3750.000000 96.375 -74.2633
3820.000000 95.886 -76.6844
3870.000000 95.493 -77.9880
3950.000000 94.807 -79.5288
4000.000000 94.363 -79.7940
4060.000000 93.907 -79.7225
4120.000000 93.509 -79.8213
4180.000000 93.088 -80.2105
4250.000000 92.524 -80.4324
4310.000000 92.023 -80.3125
4370.000000 91.505 -79.9501
4440.000000 90.897 -79.1007
4500.000000 90.390 -78.1739
4550.000000 89.957 -77.2736
4620.000000 89.360 -75.6764
4680.000000 88.839 -74.1644
4750.000000 88.229 -71.7775
4820.000000 87.678 -68.9213
