* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:40:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (YaxiPads) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 72.411 -78.7846
20.600000 72.531 -78.6248
20.900000 72.748 -78.4587
21.200001 73.027 -78.4965
21.400000 73.223 -78.6644
21.799999 73.600 -79.2122
22.000000 73.776 -79.5143
22.400000 74.126 -80.1196
22.700001 74.403 -80.7029
23.000000 74.688 -81.5971
23.299999 74.953 -82.9277
23.600000 75.156 -84.6600
24.000000 75.279 -87.2172
24.299999 75.251 -88.8976
24.700001 75.115 -90.2384
25.000000 75.018 -90.4255
25.400000 75.011 -89.9824
25.799999 75.174 -89.7062
26.200001 75.410 -90.3599
26.500000 75.553 -91.4466
26.900000 75.646 -93.1674
27.200001 75.658 -94.2546
27.600000 75.679 -95.1069
28.000000 75.798 -95.4293
28.500000 76.108 -95.8992
29.000000 76.465 -96.9985
29.500000 76.741 -98.3819
30.000000 76.939 -99.5145
30.400000 77.085 -100.2489
30.700001 77.194 -100.8420
31.100000 77.319 -101.8057
31.500000 77.397 -102.9003
32.000000 77.420 -104.0900
32.500000 77.417 -104.7289
33.000000 77.459 -104.8883
33.500000 77.567 -105.0101
34.000000 77.708 -105.5053
34.500000 77.837 -106.4899
35.000000 77.935 -107.7949
35.500000 78.013 -109.1180
36.000000 78.103 -110.2560
36.500000 78.220 -111.2324
37.000000 78.339 -112.1783
37.500000 78.430 -113.1094
38.200001 78.532 -114.2600
38.700001 78.633 -115.0675
39.500000 78.821 -116.6422
40.000000 78.891 -117.5795
40.599998 78.933 -118.3322
41.200001 79.001 -118.8809
41.799999 79.147 -119.7360
42.500000 79.374 -121.3873
43.099998 79.503 -123.0183
43.700001 79.479 -124.1633
44.400002 79.381 -124.6173
45.000000 79.441 -125.4004
45.500000 79.587 -126.9561
46.200001 79.788 -128.9013
46.799999 79.971 -128.8027
47.500000 80.084 -128.3690
48.200001 79.440 -129.7210
48.700001 78.261 -130.0089
49.400002 76.537 -125.1790
50.000000 76.901 -122.0141
50.799999 78.863 -129.2526
51.500000 79.846 -136.7411
52.200001 80.100 -139.0861
53.000000 80.170 -138.2543
53.799999 80.156 -138.9461
54.500000 80.098 -140.4821
55.200001 80.124 -141.7348
56.000000 80.159 -142.7256
57.000000 80.121 -143.4847
58.000000 80.122 -145.3954
59.000000 79.939 -147.7717
60.000000 79.725 -148.3765
60.799999 79.718 -148.5301
61.500000 79.752 -148.9696
62.200001 79.747 -149.3604
63.000000 79.701 -149.4932
64.000000 79.659 -149.6304
65.000000 79.688 -149.8983
66.000000 79.783 -150.1663
67.000000 79.860 -150.6165
68.000000 79.893 -151.2494
69.000000 79.915 -152.1015
70.000000 79.933 -153.0453
71.000000 79.987 -153.8244
72.000000 80.070 -154.5282
73.000000 80.121 -155.2738
74.000000 80.131 -156.2178
75.000000 80.127 -157.2921
76.199997 80.117 -158.4828
77.500000 80.052 -159.8957
78.800003 79.968 -160.9673
80.000000 80.015 -161.2413
81.199997 80.046 -161.6266
82.500000 79.965 -162.2500
83.800003 79.972 -163.0789
85.000000 80.002 -164.0736
86.199997 79.930 -164.8510
87.500000 79.857 -165.5288
88.500000 79.868 -166.1007
90.000000 79.890 -166.7791
91.199997 79.863 -167.3267
92.500000 79.815 -167.8702
93.800003 79.826 -168.4882
95.000000 79.798 -169.0693
96.199997 79.742 -169.6305
97.500000 79.754 -170.3994
98.800003 79.852 -170.9789
100.000000 79.797 -171.3534
101.500000 79.571 -171.6935
103.000000 79.447 -172.3480
104.400002 79.406 -172.8351
106.000000 79.358 -173.5627
107.500000 79.287 -173.8336
109.000000 79.237 -173.9599
110.599998 79.201 -174.6430
112.000000 79.160 -175.1397
113.800003 79.124 -175.6728
115.000000 79.081 -176.1691
117.199997 78.984 -177.0676
118.000000 78.950 -177.4287
120.599998 78.843 -178.2805
122.000000 78.775 -178.2923
124.099998 78.678 -178.5139
125.000000 78.649 -178.6765
126.500000 78.634 -178.9855
128.000000 78.657 -179.0961
131.500000 78.436 -178.8830
132.000000 78.425 -179.1375
134.000000 78.395 179.8344
136.000000 78.251 179.7389
138.000000 78.143 -179.8930
140.000000 78.144 179.5541
143.000000 78.142 178.9104
145.000000 78.026 178.9909
147.500000 77.871 179.6507
150.000000 77.825 -179.8209
152.500000 77.797 179.0151
155.000000 77.732 178.5695
157.500000 77.623 178.3237
160.000000 77.555 178.0605
162.500000 77.497 177.6486
165.000000 77.378 177.2639
167.500000 77.184 177.5091
170.000000 77.000 177.8226
172.500000 77.097 177.5807
175.000000 77.139 178.1876
177.500000 77.065 179.4826
180.000000 77.009 178.8130
182.500000 77.031 177.6922
185.000000 76.997 177.5146
187.500000 76.918 177.1369
190.000000 76.831 176.3820
192.500000 76.743 176.5615
195.000000 76.637 176.9123
197.500000 76.584 177.0631
200.000000 76.530 177.1508
203.000000 76.431 177.4555
206.000000 76.358 177.7744
209.000000 76.296 177.7605
212.000000 76.227 177.7302
214.000000 76.189 177.9149
218.000000 76.105 178.6233
220.000000 76.035 178.6628
224.000000 75.880 178.0952
227.000000 75.800 178.1472
230.000000 75.730 178.3508
233.000000 75.649 178.6662
236.000000 75.537 179.0246
240.000000 75.360 179.4438
243.000000 75.288 179.4972
247.000000 75.119 177.7962
250.000000 75.109 177.6916
254.000000 75.238 -179.8903
258.000000 75.228 -178.8178
262.000000 75.147 -178.5948
265.000000 75.047 -178.6216
269.000000 74.922 -178.8457
272.000000 74.916 -178.4476
276.000000 74.930 -177.9359
280.000000 74.908 -177.4506
285.000000 74.878 -176.6030
290.000000 74.862 -176.1837
295.000000 74.710 -175.7409
300.000000 74.593 -175.2597
304.000000 74.570 -175.0562
307.000000 74.532 -174.8752
311.000000 74.479 -174.3638
315.000000 74.471 -173.4352
320.000000 74.414 -172.5317
325.000000 74.255 -172.7236
330.000000 74.157 -172.5657
335.000000 74.083 -172.1948
340.000000 74.004 -171.7186
345.000000 74.016 -170.8738
350.000000 74.014 -170.5580
355.000000 74.016 -170.1425
360.000000 73.970 -169.3477
365.000000 73.956 -167.2426
370.000000 73.926 -165.6932
375.000000 73.819 -166.0727
382.000000 73.726 -166.4625
387.000000 73.663 -166.8340
395.000000 73.653 -165.5024
400.000000 73.604 -164.7275
406.000000 73.474 -164.0878
412.000000 73.436 -163.2556
418.000000 73.480 -162.2987
425.000000 73.418 -161.8613
431.000000 73.318 -161.2998
437.000000 73.275 -160.5044
444.000000 73.224 -159.3242
450.000000 73.188 -158.5235
455.000000 73.149 -158.3118
462.000000 73.063 -157.8125
468.000000 73.015 -156.8542
475.000000 73.017 -156.0959
482.000000 73.010 -155.0638
487.000000 72.991 -154.3222
494.000000 72.952 -153.4387
500.000000 72.907 -152.8154
508.000000 72.869 -151.6767
515.000000 72.838 -150.6911
522.000000 72.814 -149.8525
530.000000 72.787 -148.9870
538.000000 72.756 -148.1852
545.000000 72.739 -147.3615
552.000000 72.722 -146.3461
560.000000 72.703 -145.1107
570.000000 72.677 -143.8411
580.000000 72.654 -142.5172
590.000000 72.576 -141.2510
600.000000 72.519 -140.1690
608.000000 72.509 -139.2658
615.000000 72.541 -138.2507
622.000000 72.546 -137.3015
630.000000 72.547 -136.1200
640.000000 72.567 -134.7507
650.000000 72.613 -133.6099
660.000000 72.595 -132.4229
670.000000 72.543 -131.2151
680.000000 72.538 -129.8332
690.000000 72.570 -128.5907
700.000000 72.608 -127.1057
710.000000 72.640 -125.6806
720.000000 72.635 -124.6975
730.000000 72.637 -123.7664
740.000000 72.618 -122.5807
750.000000 72.610 -120.9904
762.000000 72.638 -119.3049
775.000000 72.679 -117.7305
788.000000 72.728 -116.1681
800.000000 72.773 -114.4186
812.000000 72.801 -112.7554
825.000000 72.800 -111.2319
838.000000 72.815 -109.8574
850.000000 72.860 -108.2983
862.000000 72.920 -106.5178
875.000000 72.963 -104.8340
885.000000 72.993 -103.7041
900.000000 73.058 -101.7740
912.000000 73.119 -100.1605
925.000000 73.191 -98.5461
938.000000 73.271 -96.8658
950.000000 73.351 -95.1067
962.000000 73.430 -93.2878
975.000000 73.517 -91.7600
988.000000 73.598 -90.4131
1000.000000 73.662 -89.0471
1015.000000 73.769 -87.2773
1030.000000 73.870 -85.4358
1044.000000 73.946 -83.5676
1060.000000 74.052 -81.5031
1075.000000 74.158 -79.8711
1090.000000 74.279 -77.9573
1106.000000 74.435 -75.5548
1120.000000 74.552 -73.8008
1138.000000 74.654 -71.7314
1150.000000 74.737 -70.1626
1172.000000 74.980 -67.0868
1180.000000 75.090 -65.9728
1206.000000 75.473 -62.9354
1220.000000 75.637 -61.3523
1241.000000 75.871 -58.7791
1250.000000 75.977 -57.6782
1265.000000 76.175 -55.9086
1280.000000 76.373 -54.3258
1315.000000 76.755 -50.7654
1320.000000 76.818 -50.2606
1340.000000 77.076 -48.1164
1360.000000 77.325 -46.1094
1380.000000 77.562 -43.5903
1400.000000 77.926 -40.3372
1430.000000 78.577 -36.8019
1450.000000 78.990 -34.9941
1475.000000 79.479 -33.2960
1500.000000 79.948 -31.4684
1525.000000 80.430 -29.8868
1550.000000 80.870 -28.8624
1575.000000 81.279 -27.4813
1600.000000 81.742 -26.0879
1625.000000 82.183 -24.9851
1650.000000 82.599 -24.0050
1675.000000 83.006 -22.7385
1700.000000 83.467 -21.6630
1725.000000 83.901 -21.1486
1750.000000 84.294 -20.6092
1775.000000 84.688 -19.9641
1800.000000 85.084 -19.4353
1825.000000 85.469 -19.0498
1850.000000 85.825 -18.7569
1875.000000 86.166 -18.2875
1900.000000 86.505 -17.8046
1925.000000 86.854 -17.2283
1950.000000 87.216 -16.7282
1975.000000 87.581 -16.3490
2000.000000 87.958 -16.0184
2030.000000 88.426 -15.8512
2060.000000 88.874 -16.1252
2090.000000 89.238 -16.5802
2120.000000 89.568 -16.7676
2140.000000 89.792 -16.7961
2180.000000 90.238 -16.8780
2200.000000 90.461 -16.8141
2240.000000 90.938 -16.6482
2270.000000 91.325 -16.7458
2300.000000 91.694 -17.2199
2330.000000 92.022 -17.7532
2360.000000 92.339 -18.2520
2400.000000 92.744 -19.1874
2430.000000 92.992 -19.8748
2470.000000 93.322 -20.3531
2500.000000 93.590 -20.7049
2540.000000 93.968 -21.1572
2580.000000 94.372 -22.0143
2620.000000 94.717 -23.1583
2650.000000 94.964 -23.9097
2690.000000 95.293 -25.0271
2720.000000 95.525 -26.0211
2760.000000 95.787 -27.3913
2800.000000 96.031 -28.5702
2850.000000 96.349 -29.8845
2900.000000 96.728 -31.4510
2950.000000 97.067 -33.8983
3000.000000 97.280 -36.4392
3040.000000 97.406 -38.3716
3070.000000 97.476 -39.7320
3110.000000 97.566 -41.3909
3150.000000 97.648 -43.1206
3200.000000 97.705 -45.1391
3250.000000 97.797 -46.9627
3300.000000 97.900 -49.3308
3350.000000 97.897 -52.0278
3400.000000 97.834 -54.3702
3450.000000 97.768 -56.6858
3500.000000 97.664 -59.0830
3550.000000 97.526 -61.6270
3600.000000 97.299 -64.3019
3650.000000 96.977 -66.6560
3700.000000 96.610 -68.6140
3750.000000 96.210 -70.2527
3820.000000 95.584 -72.1539
3870.000000 95.070 -72.9664
3950.000000 94.242 -72.6197
4000.000000 93.827 -71.9092
4060.000000 93.381 -71.1494
4120.000000 92.941 -70.4494
4180.000000 92.483 -69.5312
4250.000000 91.980 -68.0212
4310.000000 91.591 -66.6889
4370.000000 91.209 -65.3768
4440.000000 90.771 -63.7564
4500.000000 90.400 -62.3940
4550.000000 90.070 -61.2580
4620.000000 89.571 -59.3082
4680.000000 89.154 -57.1317
4750.000000 88.728 -54.3250
4820.000000 88.342 -51.5134
4870.000000 88.079 -49.5145
4940.000000 87.706 -46.5823
5000.000000 87.391 -43.8273
