* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:23:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (KSCPads) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 66.795 -27.3588
20.600000 67.270 -31.2604
20.900000 67.624 -35.5154
21.200001 67.757 -39.2066
21.400000 67.747 -41.1572
21.799999 67.610 -43.7790
22.000000 67.536 -44.5968
22.400000 67.459 -45.8425
22.700001 67.473 -46.7701
23.000000 67.542 -47.6978
23.299999 67.675 -48.4063
23.600000 67.904 -48.7237
24.000000 68.396 -48.7384
24.299999 68.865 -48.8892
24.700001 69.459 -49.7904
25.000000 69.758 -50.9349
25.400000 69.852 -52.4548
25.799999 69.624 -52.9894
26.200001 69.275 -51.8576
26.500000 69.117 -50.1884
26.900000 69.201 -48.2952
27.200001 69.449 -48.0458
27.600000 69.854 -49.5198
28.000000 70.184 -52.1108
28.500000 70.459 -54.8287
29.000000 70.768 -55.6855
29.500000 71.271 -55.6123
30.000000 71.844 -56.4478
30.400000 72.171 -58.0857
30.700001 72.290 -59.5384
31.100000 72.303 -61.1799
31.500000 72.255 -61.9799
32.000000 72.316 -61.9305
32.500000 72.590 -61.8808
33.000000 72.915 -62.7391
33.500000 73.114 -64.1953
34.000000 73.179 -65.4932
34.500000 73.228 -66.4140
35.000000 73.351 -67.3642
35.500000 73.529 -68.6543
36.000000 73.704 -70.0604
36.500000 73.852 -71.2101
37.000000 73.976 -72.0688
37.500000 74.079 -72.8770
38.200001 74.216 -74.1934
38.700001 74.375 -75.2283
39.500000 74.792 -76.9720
40.000000 75.050 -78.0551
40.599998 75.225 -79.1103
41.200001 75.264 -79.7350
41.799999 75.345 -80.3019
42.500000 75.659 -81.9420
43.099998 75.969 -84.1221
43.700001 76.094 -85.6259
44.400002 76.058 -85.6131
45.000000 76.069 -85.8361
45.500000 76.128 -87.4779
46.200001 76.301 -90.4933
46.799999 76.693 -91.5179
47.500000 77.210 -91.4645
48.200001 76.943 -90.4933
48.700001 76.094 -86.8411
49.400002 75.064 -76.7441
50.000000 75.450 -74.4477
50.799999 76.600 -86.5916
51.500000 77.154 -97.8399
52.200001 77.427 -101.6602
53.000000 77.725 -101.1781
53.799999 77.790 -102.0558
54.500000 77.736 -103.8417
55.200001 77.837 -105.5227
56.000000 78.037 -107.0572
57.000000 78.146 -108.5174
58.000000 78.235 -110.4802
59.000000 78.439 -111.9207
60.000000 78.690 -112.5488
60.799999 78.731 -113.6102
61.500000 78.648 -114.9958
62.200001 78.562 -116.4681
63.000000 78.542 -117.9691
64.000000 78.567 -119.5806
65.000000 78.559 -121.0978
66.000000 78.551 -122.6394
67.000000 78.537 -124.0772
68.000000 78.491 -125.3153
69.000000 78.430 -126.5967
70.000000 78.365 -127.7038
71.000000 78.325 -128.2284
72.000000 78.315 -128.6931
73.000000 78.280 -129.5463
74.000000 78.244 -130.3019
75.000000 78.286 -130.8386
76.199997 78.364 -131.4779
77.500000 78.391 -132.1150
78.800003 78.361 -132.8384
80.000000 78.458 -133.9439
81.199997 78.561 -135.3895
82.500000 78.556 -136.0692
83.800003 78.503 -136.9891
85.000000 78.504 -137.8960
86.199997 78.540 -138.5024
87.500000 78.530 -139.2701
88.500000 78.545 -140.2990
90.000000 78.618 -141.8190
91.199997 78.574 -142.6063
92.500000 78.446 -143.0467
93.800003 78.363 -143.8839
95.000000 78.341 -144.7460
96.199997 78.339 -145.6316
97.500000 78.365 -146.4126
98.800003 78.522 -147.1778
100.000000 78.563 -148.0146
101.500000 78.394 -148.2118
103.000000 78.270 -148.6573
104.400002 78.228 -148.8842
106.000000 78.210 -149.5491
107.500000 78.148 -150.7190
109.000000 78.084 -151.4584
110.599998 78.016 -152.0195
112.000000 77.961 -152.3444
113.800003 77.905 -152.9018
115.000000 77.886 -153.3948
117.199997 77.828 -153.9549
118.000000 77.796 -154.2441
120.599998 77.726 -155.2803
122.000000 77.681 -155.3797
124.099998 77.624 -155.9277
125.000000 77.608 -156.3073
126.500000 77.621 -157.1195
128.000000 77.703 -158.0778
131.500000 77.509 -157.6450
132.000000 77.451 -157.5734
134.000000 77.274 -157.7350
136.000000 77.194 -158.0432
138.000000 77.111 -158.2379
140.000000 77.013 -159.1477
143.000000 76.951 -159.1592
145.000000 76.916 -159.1989
147.500000 76.850 -158.9962
150.000000 76.747 -159.0122
152.500000 76.650 -159.5570
155.000000 76.593 -159.4852
157.500000 76.557 -159.2421
160.000000 76.503 -159.3080
162.500000 76.442 -159.4646
165.000000 76.365 -159.6553
167.500000 76.202 -160.2844
170.000000 76.003 -161.1781
172.500000 76.074 -160.2251
175.000000 76.046 -159.4327
177.500000 75.828 -158.7049
180.000000 75.782 -158.8376
182.500000 75.918 -159.6831
185.000000 75.975 -159.5571
187.500000 76.064 -159.4508
190.000000 76.124 -160.3485
192.500000 76.021 -160.3197
195.000000 75.927 -159.2322
197.500000 75.938 -158.4458
200.000000 75.899 -158.3778
203.000000 75.760 -158.9760
206.000000 75.632 -158.9773
209.000000 75.539 -158.8682
212.000000 75.501 -158.9423
214.000000 75.449 -158.8613
218.000000 75.253 -158.2672
220.000000 75.192 -157.9084
224.000000 75.194 -157.6107
227.000000 75.157 -157.4589
230.000000 75.075 -157.3622
233.000000 74.989 -157.2819
236.000000 74.893 -157.3280
240.000000 74.736 -157.4203
243.000000 74.761 -156.6590
247.000000 75.036 -156.0518
250.000000 75.099 -155.6518
254.000000 74.715 -154.0887
258.000000 74.466 -153.1254
262.000000 74.400 -152.3871
265.000000 74.436 -151.7024
269.000000 74.514 -151.1364
272.000000 74.484 -150.1300
276.000000 74.407 -148.3557
280.000000 74.382 -147.0947
285.000000 74.402 -146.3884
290.000000 74.499 -145.3196
295.000000 74.583 -145.1503
300.000000 74.605 -144.8072
304.000000 74.587 -144.3461
307.000000 74.579 -144.1218
311.000000 74.572 -143.8502
315.000000 74.529 -143.5396
320.000000 74.515 -143.1366
325.000000 74.693 -142.1962
330.000000 74.808 -141.6500
335.000000 74.793 -141.4247
340.000000 74.809 -141.2328
345.000000 74.749 -140.8241
350.000000 74.712 -140.2933
355.000000 74.676 -139.8523
360.000000 74.633 -139.4448
365.000000 74.588 -139.4039
370.000000 74.574 -139.3625
375.000000 74.578 -138.1859
382.000000 74.587 -136.5163
387.000000 74.615 -135.2180
395.000000 74.523 -134.7681
400.000000 74.447 -134.6997
406.000000 74.472 -133.7553
412.000000 74.496 -133.0975
418.000000 74.449 -132.6133
425.000000 74.416 -131.6054
431.000000 74.392 -130.7629
437.000000 74.338 -130.1140
444.000000 74.331 -129.1344
450.000000 74.329 -128.0602
455.000000 74.275 -127.2006
462.000000 74.245 -126.0557
468.000000 74.283 -125.3254
475.000000 74.304 -124.4022
482.000000 74.319 -123.5635
487.000000 74.332 -122.9937
494.000000 74.318 -122.1417
500.000000 74.297 -121.3028
508.000000 74.283 -120.1187
515.000000 74.286 -118.9092
522.000000 74.287 -117.7135
530.000000 74.285 -116.6536
538.000000 74.353 -115.8916
545.000000 74.436 -114.8929
552.000000 74.414 -113.5000
560.000000 74.327 -112.3037
570.000000 74.316 -111.1619
580.000000 74.356 -109.3902
590.000000 74.405 -107.8861
600.000000 74.467 -106.4574
608.000000 74.453 -105.4702
615.000000 74.427 -104.5934
622.000000 74.415 -103.5839
630.000000 74.447 -102.3266
640.000000 74.536 -100.9813
650.000000 74.600 -99.3479
660.000000 74.631 -97.9455
670.000000 74.649 -96.7627
680.000000 74.680 -95.3492
690.000000 74.717 -93.9060
700.000000 74.710 -92.3844
710.000000 74.766 -90.7636
720.000000 74.888 -89.3756
730.000000 74.961 -87.9226
740.000000 74.972 -86.5256
750.000000 75.018 -85.3574
762.000000 75.085 -83.7358
775.000000 75.120 -81.9068
788.000000 75.205 -80.2945
800.000000 75.295 -78.7518
812.000000 75.369 -76.9407
825.000000 75.424 -75.0862
838.000000 75.500 -73.2469
850.000000 75.585 -71.5367
862.000000 75.667 -69.8323
875.000000 75.754 -67.9609
885.000000 75.816 -66.6661
900.000000 75.911 -64.8080
912.000000 75.992 -63.2624
925.000000 76.066 -61.4839
938.000000 76.132 -59.5880
950.000000 76.216 -57.6385
962.000000 76.332 -55.7755
975.000000 76.433 -53.9470
988.000000 76.553 -52.2517
1000.000000 76.682 -50.6803
1015.000000 76.810 -48.7692
1030.000000 76.920 -46.7878
1044.000000 77.057 -44.7106
1060.000000 77.232 -42.2226
1075.000000 77.343 -40.0398
1090.000000 77.465 -37.9655
1106.000000 77.636 -35.5770
1120.000000 77.789 -33.6394
1138.000000 77.992 -31.2830
1150.000000 78.138 -29.5587
1172.000000 78.411 -26.4201
1180.000000 78.523 -25.2529
1206.000000 78.936 -21.4425
1220.000000 79.132 -19.5725
1241.000000 79.430 -16.8737
1250.000000 79.569 -15.7923
1265.000000 79.802 -14.0163
1280.000000 80.033 -12.2330
1315.000000 80.566 -8.3171
1320.000000 80.641 -7.7549
1340.000000 80.956 -5.5921
1360.000000 81.290 -3.6264
1380.000000 81.595 -1.6196
1400.000000 81.854 0.6728
1430.000000 82.314 4.5953
1450.000000 82.712 7.0299
1475.000000 83.262 9.7338
1500.000000 83.792 11.7359
1525.000000 84.267 13.6416
1550.000000 84.761 15.5548
1575.000000 85.271 17.3051
1600.000000 85.762 18.8084
1625.000000 86.244 20.2156
1650.000000 86.722 21.4500
1675.000000 87.182 22.4847
1700.000000 87.605 23.4990
1725.000000 88.028 24.5844
1750.000000 88.470 25.6564
1775.000000 88.918 26.6328
1800.000000 89.375 27.4676
1825.000000 89.834 28.0865
1850.000000 90.260 28.4218
1875.000000 90.657 28.7681
1900.000000 91.052 29.0058
1925.000000 91.430 29.1767
1950.000000 91.791 29.3099
1975.000000 92.129 29.3891
2000.000000 92.463 29.4989
2030.000000 92.853 29.4972
2060.000000 93.205 29.4721
2090.000000 93.537 29.5247
2120.000000 93.856 29.6356
2140.000000 94.082 29.7928
2180.000000 94.550 29.7857
2200.000000 94.760 29.6502
2240.000000 95.147 29.4860
2270.000000 95.434 29.3859
2300.000000 95.715 29.1557
2330.000000 95.971 28.8957
2360.000000 96.214 28.6374
2400.000000 96.501 28.2403
2430.000000 96.694 28.0517
2470.000000 96.943 27.9775
2500.000000 97.139 27.9650
2540.000000 97.393 27.8860
2580.000000 97.646 27.8507
2620.000000 97.902 27.7439
2650.000000 98.090 27.5388
2690.000000 98.309 27.1923
2720.000000 98.461 26.9773
2760.000000 98.653 26.6751
2800.000000 98.833 26.3550
2850.000000 99.017 25.9393
2900.000000 99.195 25.8615
2950.000000 99.400 25.8297
3000.000000 99.653 25.6925
3040.000000 99.868 25.1985
3070.000000 100.001 24.5798
3110.000000 100.125 23.6670
3150.000000 100.205 22.8298
3200.000000 100.283 21.9949
3250.000000 100.365 21.2288
3300.000000 100.462 20.2829
3350.000000 100.521 18.9301
3400.000000 100.506 17.4912
3450.000000 100.441 16.1853
3500.000000 100.355 14.9297
3550.000000 100.230 13.5503
3600.000000 100.039 12.2096
3650.000000 99.806 11.1271
3700.000000 99.549 10.1244
3750.000000 99.249 9.1727
3820.000000 98.737 8.1965
3870.000000 98.347 7.8416
3950.000000 97.642 7.6636
4000.000000 97.173 8.1997
4060.000000 96.651 9.3465
4120.000000 96.195 10.5260
4180.000000 95.725 11.3676
4250.000000 95.096 12.5315
4310.000000 94.510 13.9427
4370.000000 93.909 15.7963
4440.000000 93.205 18.4984
4500.000000 92.631 21.2510
4550.000000 92.169 23.6824
4620.000000 91.542 27.4084
4680.000000 91.022 30.8353
4750.000000 90.447 35.2576
4820.000000 89.935 39.9755
4870.000000 89.606 43.4213
4940.000000 89.190 48.3185
5000.000000 88.875 52.5400
5080.000000 88.505 58.1333
5150.000000 88.219 63.0273
5220.000000 87.984 67.9293
