* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:09:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (KSCPads) R1
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 69.498 -51.0914
20.600000 69.727 -51.9231
20.900000 69.930 -52.8661
21.200001 70.064 -53.7362
21.400000 70.126 -54.2541
21.799999 70.227 -55.2033
22.000000 70.281 -55.6874
22.400000 70.417 -56.7835
22.700001 70.544 -57.7332
23.000000 70.686 -58.7383
23.299999 70.831 -59.7084
23.600000 70.973 -60.5509
24.000000 71.147 -61.3772
24.299999 71.267 -61.7735
24.700001 71.425 -62.1426
25.000000 71.548 -62.4708
25.400000 71.717 -63.2444
25.799999 71.870 -64.5518
26.200001 71.975 -66.2395
26.500000 72.012 -67.4836
26.900000 72.022 -68.6578
27.200001 72.035 -68.9660
27.600000 72.119 -68.6529
28.000000 72.319 -68.0179
28.500000 72.683 -67.8531
29.000000 73.027 -69.0127
29.500000 73.252 -71.1292
30.000000 73.385 -73.3275
30.400000 73.493 -74.6590
30.700001 73.608 -75.3134
31.100000 73.823 -75.7871
31.500000 74.101 -76.0059
32.000000 74.490 -76.3086
32.500000 74.851 -77.0153
33.000000 75.112 -78.2611
33.500000 75.237 -79.8286
34.000000 75.255 -81.2622
34.500000 75.263 -82.2255
35.000000 75.374 -82.8813
35.500000 75.612 -83.7845
36.000000 75.883 -85.2120
36.500000 76.077 -86.7874
37.000000 76.167 -87.8620
37.500000 76.225 -88.2117
38.200001 76.384 -88.5801
38.700001 76.538 -89.7141
39.500000 76.722 -92.8968
40.000000 76.796 -94.6292
40.599998 76.910 -95.4960
41.200001 77.093 -95.3218
41.799999 77.299 -95.3559
42.500000 77.445 -96.7267
43.099998 77.510 -98.5058
43.700001 77.685 -99.9840
44.400002 78.028 -101.5176
45.000000 78.162 -102.8751
45.500000 78.071 -103.6513
46.200001 77.946 -104.5579
46.799999 78.101 -106.6425
47.500000 78.413 -109.3096
48.200001 78.852 -107.1862
48.700001 79.473 -103.0797
49.400002 80.454 -100.2759
50.000000 80.695 -102.6317
50.799999 79.870 -108.5614
51.500000 78.916 -112.3325
52.200001 78.719 -114.7273
53.000000 78.992 -117.1788
53.799999 79.078 -118.3009
54.500000 79.071 -118.8975
55.200001 79.087 -120.2975
56.000000 79.158 -122.0874
57.000000 79.313 -123.3171
58.000000 79.349 -124.4924
59.000000 79.322 -126.2538
60.000000 79.384 -128.1282
60.799999 79.452 -129.2578
61.500000 79.488 -129.9965
62.200001 79.514 -130.6708
63.000000 79.553 -131.6195
64.000000 79.577 -133.1288
65.000000 79.552 -134.5922
66.000000 79.539 -135.9289
67.000000 79.532 -137.1819
68.000000 79.507 -138.3776
69.000000 79.449 -139.7737
70.000000 79.385 -141.0070
71.000000 79.401 -141.8369
72.000000 79.433 -142.7277
73.000000 79.382 -143.6081
74.000000 79.313 -144.4637
75.000000 79.272 -145.3753
76.199997 79.272 -146.2294
77.500000 79.267 -147.9679
78.800003 79.155 -149.6826
80.000000 79.157 -150.1937
81.199997 79.143 -150.7300
82.500000 79.056 -151.3653
83.800003 78.991 -151.9552
85.000000 78.917 -152.2555
86.199997 78.819 -152.9528
87.500000 78.778 -154.2014
88.500000 78.800 -154.8499
90.000000 78.737 -154.1858
91.199997 78.699 -153.8515
92.500000 78.688 -155.4641
93.800003 78.635 -156.7168
95.000000 78.592 -157.2206
96.199997 78.570 -157.5935
97.500000 78.535 -157.4459
98.800003 78.368 -156.7840
100.000000 78.331 -157.2105
101.500000 78.468 -159.3267
103.000000 78.535 -160.3219
104.400002 78.472 -161.1522
106.000000 78.406 -162.1082
107.500000 78.374 -162.2893
109.000000 78.345 -162.5629
110.599998 78.294 -162.8447
112.000000 78.238 -163.1140
113.800003 78.164 -163.7203
115.000000 78.119 -164.1619
117.199997 78.030 -164.9467
118.000000 77.978 -165.0692
120.599998 77.849 -165.2146
122.000000 77.850 -165.8817
124.099998 77.828 -166.6580
125.000000 77.817 -166.8740
126.500000 77.765 -167.4404
128.000000 77.689 -168.4895
131.500000 77.649 -168.2165
132.000000 77.632 -168.1941
134.000000 77.529 -168.3701
136.000000 77.436 -168.6504
138.000000 77.341 -168.8444
140.000000 77.219 -169.1808
143.000000 77.190 -169.0151
145.000000 77.143 -168.9821
147.500000 77.009 -168.5606
150.000000 76.873 -168.3726
152.500000 76.897 -169.5246
155.000000 76.870 -169.9460
157.500000 76.780 -170.0217
160.000000 76.717 -170.1696
162.500000 76.657 -170.2501
165.000000 76.658 -170.0882
167.500000 76.791 -170.3209
170.000000 76.864 -170.7274
172.500000 76.578 -170.3388
175.000000 76.443 -170.3886
177.500000 76.509 -171.1305
180.000000 76.419 -171.2415
182.500000 76.239 -170.5819
185.000000 76.140 -170.1235
187.500000 76.041 -170.2380
190.000000 75.913 -170.2941
192.500000 75.939 -170.1099
195.000000 76.002 -169.9831
197.500000 76.018 -170.3699
200.000000 75.966 -170.2449
203.000000 75.841 -169.2336
206.000000 75.760 -168.6714
209.000000 75.698 -168.4795
212.000000 75.630 -168.3151
214.000000 75.592 -168.1331
218.000000 75.511 -167.3924
220.000000 75.477 -167.0981
224.000000 75.461 -167.1763
227.000000 75.442 -167.2548
230.000000 75.389 -167.1765
233.000000 75.341 -166.9873
236.000000 75.344 -166.8671
240.000000 75.366 -166.7798
243.000000 75.268 -165.7612
247.000000 75.173 -162.7676
250.000000 75.142 -162.5649
254.000000 75.039 -164.3305
258.000000 74.977 -164.2677
262.000000 74.944 -164.4252
265.000000 74.850 -164.2299
269.000000 74.713 -163.6009
272.000000 74.735 -163.3615
276.000000 74.798 -163.1379
280.000000 74.771 -162.8584
285.000000 74.719 -162.1681
290.000000 74.684 -161.3885
295.000000 74.538 -160.9435
300.000000 74.473 -160.4959
304.000000 74.456 -159.6434
307.000000 74.437 -159.0924
311.000000 74.391 -158.6815
315.000000 74.332 -158.6412
320.000000 74.279 -158.3322
325.000000 74.251 -156.5622
330.000000 74.184 -155.6580
335.000000 74.071 -155.3292
340.000000 74.005 -154.6727
345.000000 74.073 -154.4072
350.000000 74.125 -154.0714
355.000000 74.161 -153.8669
360.000000 74.108 -153.4838
365.000000 73.983 -153.0233
370.000000 73.923 -152.5987
375.000000 74.010 -151.9336
382.000000 74.059 -150.3531
387.000000 74.096 -148.7037
395.000000 74.030 -148.1582
400.000000 73.971 -147.8503
406.000000 73.887 -146.5238
412.000000 73.855 -145.3895
418.000000 73.909 -144.5397
425.000000 73.913 -144.3998
431.000000 73.897 -143.8928
437.000000 73.866 -142.8197
444.000000 73.826 -142.0960
450.000000 73.823 -141.5695
455.000000 73.820 -140.7609
462.000000 73.812 -139.8464
468.000000 73.832 -139.2344
475.000000 73.822 -138.4402
482.000000 73.818 -137.4084
487.000000 73.814 -136.6711
494.000000 73.798 -135.7422
500.000000 73.795 -134.9421
508.000000 73.782 -133.9653
515.000000 73.784 -133.1573
522.000000 73.812 -132.1879
530.000000 73.838 -131.0767
538.000000 73.861 -130.2808
545.000000 73.888 -129.2588
552.000000 73.895 -128.1192
560.000000 73.901 -127.1047
570.000000 73.908 -125.9124
580.000000 73.909 -124.8032
590.000000 73.897 -123.6721
600.000000 73.905 -122.0993
608.000000 73.930 -121.0474
615.000000 74.000 -120.2201
622.000000 74.062 -119.4591
630.000000 74.094 -118.4871
640.000000 74.119 -117.1162
650.000000 74.137 -115.8731
660.000000 74.183 -114.7949
670.000000 74.227 -113.5872
680.000000 74.239 -112.0503
690.000000 74.273 -110.7888
700.000000 74.313 -109.3653
710.000000 74.328 -107.9516
720.000000 74.378 -106.7918
730.000000 74.415 -105.2010
740.000000 74.472 -103.9287
750.000000 74.564 -102.8561
762.000000 74.642 -101.6717
775.000000 74.717 -100.2168
788.000000 74.755 -98.5230
800.000000 74.800 -97.0415
812.000000 74.900 -95.6470
825.000000 75.016 -94.1586
838.000000 75.098 -92.5368
850.000000 75.151 -90.8982
862.000000 75.211 -89.4389
875.000000 75.299 -87.9406
885.000000 75.361 -86.7462
900.000000 75.453 -84.9203
912.000000 75.542 -83.5196
925.000000 75.632 -81.9642
938.000000 75.723 -80.4143
950.000000 75.814 -78.9702
962.000000 75.908 -77.4500
975.000000 76.018 -75.7203
988.000000 76.138 -74.0639
1000.000000 76.238 -72.5298
1015.000000 76.364 -70.6618
1030.000000 76.508 -68.7699
1044.000000 76.666 -67.0785
1060.000000 76.836 -65.3675
1075.000000 76.989 -63.5993
1090.000000 77.144 -61.7022
1106.000000 77.343 -59.8487
1120.000000 77.528 -58.1458
1138.000000 77.747 -55.8532
1150.000000 77.881 -54.4405
1172.000000 78.139 -52.0200
1180.000000 78.218 -51.0928
1206.000000 78.506 -48.0723
1220.000000 78.704 -46.4115
1241.000000 79.036 -43.9574
1250.000000 79.182 -42.9174
1265.000000 79.428 -41.0714
1280.000000 79.689 -39.2023
1315.000000 80.308 -35.7840
1320.000000 80.399 -35.3680
1340.000000 80.741 -33.7675
1360.000000 81.087 -31.8898
1380.000000 81.450 -30.0694
1400.000000 81.803 -28.5868
1430.000000 82.329 -26.1794
1450.000000 82.716 -24.6024
1475.000000 83.194 -23.0375
1500.000000 83.670 -21.5181
1525.000000 84.145 -19.9152
1550.000000 84.638 -18.5750
1575.000000 85.126 -17.4434
1600.000000 85.627 -16.4628
1625.000000 86.115 -15.6532
1650.000000 86.577 -15.0254
1675.000000 87.003 -14.4022
1700.000000 87.459 -13.6568
1725.000000 87.937 -13.1341
1750.000000 88.393 -12.8875
1775.000000 88.822 -12.7571
1800.000000 89.241 -12.6539
1825.000000 89.660 -12.5662
1850.000000 90.064 -12.6201
1875.000000 90.445 -12.6669
1900.000000 90.830 -12.5387
1925.000000 91.259 -12.5196
1950.000000 91.687 -12.9423
1975.000000 92.071 -13.5749
2000.000000 92.429 -14.1850
2030.000000 92.859 -15.0675
2060.000000 93.238 -16.2462
2090.000000 93.551 -17.4111
2120.000000 93.815 -18.2885
2140.000000 93.995 -18.7288
2180.000000 94.364 -19.6524
2200.000000 94.531 -20.0122
2240.000000 94.914 -20.5124
2270.000000 95.206 -21.2899
2300.000000 95.461 -22.0799
2330.000000 95.712 -22.7861
2360.000000 95.960 -23.5598
2400.000000 96.265 -24.6436
2430.000000 96.470 -25.4460
2470.000000 96.734 -26.4245
2500.000000 96.920 -27.0842
2540.000000 97.182 -27.8409
2580.000000 97.451 -28.7036
2620.000000 97.718 -29.6529
2650.000000 97.914 -30.4225
2690.000000 98.163 -31.5596
2720.000000 98.340 -32.4125
2760.000000 98.576 -33.6929
2800.000000 98.772 -35.1374
2850.000000 98.973 -36.8076
2900.000000 99.132 -38.3550
2950.000000 99.314 -39.3899
3000.000000 99.592 -40.7286
3040.000000 99.802 -42.3907
3070.000000 99.905 -43.8467
3110.000000 99.959 -45.5415
3150.000000 100.026 -46.6382
3200.000000 100.223 -48.2057
3250.000000 100.407 -50.6349
3300.000000 100.494 -53.4474
3350.000000 100.504 -56.2134
3400.000000 100.467 -58.9850
3450.000000 100.377 -61.7733
3500.000000 100.217 -64.4961
3550.000000 100.010 -66.9586
3600.000000 99.781 -69.2922
3650.000000 99.520 -71.5927
3700.000000 99.214 -73.9157
3750.000000 98.835 -76.2104
3820.000000 98.143 -78.8585
3870.000000 97.588 -79.8528
3950.000000 96.761 -79.9324
4000.000000 96.338 -79.7847
4060.000000 95.843 -79.6511
4120.000000 95.361 -79.5324
4180.000000 94.845 -79.3569
4250.000000 94.225 -78.7675
4310.000000 93.696 -77.9598
4370.000000 93.178 -77.0616
4440.000000 92.545 -75.8240
4500.000000 91.993 -74.4028
4550.000000 91.537 -72.9945
4620.000000 90.919 -70.7398
4680.000000 90.395 -68.6693
4750.000000 89.776 -65.8723
4820.000000 89.176 -62.4878
4870.000000 88.790 -59.7862
