* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:35:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (YaxiPads) L2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 68.625 -61.8575
20.600000 68.868 -59.8711
20.900000 69.232 -58.6974
21.200001 69.599 -59.0472
21.400000 69.793 -60.0645
21.799999 69.990 -63.1875
22.000000 69.997 -64.8339
22.400000 69.921 -67.2617
22.700001 69.902 -67.9034
23.000000 70.012 -67.6880
23.299999 70.266 -67.2040
23.600000 70.590 -67.0465
24.000000 70.946 -67.6788
24.299999 71.057 -68.5320
24.700001 70.980 -69.4698
25.000000 70.827 -69.6713
25.400000 70.672 -69.3458
25.799999 70.729 -69.1645
26.200001 71.008 -70.0364
26.500000 71.295 -71.4628
26.900000 71.693 -73.8799
27.200001 71.973 -75.6384
27.600000 72.314 -77.4866
28.000000 72.610 -78.6539
28.500000 72.882 -79.3471
29.000000 73.010 -79.4257
29.500000 73.028 -79.1344
30.000000 73.024 -79.0845
30.400000 73.035 -79.7482
30.700001 73.047 -80.7620
31.100000 73.059 -82.6224
31.500000 73.086 -84.6182
32.000000 73.205 -86.6580
32.500000 73.456 -87.9692
33.000000 73.766 -88.8230
33.500000 74.014 -89.4957
34.000000 74.144 -90.1392
34.500000 74.189 -91.0052
35.000000 74.207 -92.3924
35.500000 74.237 -94.2357
36.000000 74.294 -95.9350
36.500000 74.395 -96.7817
37.000000 74.554 -96.6215
37.500000 74.749 -96.0193
38.200001 74.975 -95.8678
38.700001 75.063 -96.6871
39.500000 75.176 -99.1106
40.000000 75.291 -100.8414
40.599998 75.421 -102.6619
41.200001 75.489 -103.6543
41.799999 75.610 -103.7653
42.500000 75.981 -104.2436
43.099998 76.314 -105.6842
43.700001 76.425 -106.9322
44.400002 76.354 -107.2092
45.000000 76.288 -108.0453
45.500000 76.238 -110.0169
46.200001 76.326 -112.7957
46.799999 76.765 -113.5996
47.500000 77.222 -113.5613
48.200001 76.663 -110.3865
48.700001 75.747 -102.2387
49.400002 75.344 -87.5270
50.000000 76.052 -88.4710
50.799999 76.782 -106.4727
51.500000 76.967 -120.0303
52.200001 77.174 -123.4763
53.000000 77.484 -122.3043
53.799999 77.380 -122.9641
54.500000 77.172 -124.7263
55.200001 77.223 -126.7215
56.000000 77.403 -128.5106
57.000000 77.396 -129.4363
58.000000 77.250 -130.7566
59.000000 77.190 -132.2390
60.000000 77.220 -132.7751
60.799999 77.169 -133.0663
61.500000 77.077 -133.4518
62.200001 77.023 -133.8363
63.000000 77.057 -134.1635
64.000000 77.142 -134.5343
65.000000 77.200 -134.9792
66.000000 77.287 -135.6304
67.000000 77.397 -136.3493
68.000000 77.479 -137.1450
69.000000 77.512 -138.2182
70.000000 77.534 -139.4383
71.000000 77.576 -140.4219
72.000000 77.644 -141.0902
73.000000 77.710 -141.6681
74.000000 77.768 -142.3102
75.000000 77.818 -143.3294
76.199997 77.859 -144.8349
77.500000 77.917 -145.8712
78.800003 77.944 -146.7829
80.000000 77.872 -148.0603
81.199997 77.847 -149.0166
82.500000 77.902 -149.9218
83.800003 77.902 -151.2131
85.000000 77.862 -152.1423
86.199997 77.861 -153.0571
87.500000 77.856 -154.6162
88.500000 77.793 -155.2941
90.000000 77.565 -155.0679
91.199997 77.441 -155.5259
92.500000 77.528 -157.0741
93.800003 77.644 -158.0669
95.000000 77.649 -158.6117
96.199997 77.599 -159.6146
97.500000 77.601 -161.3726
98.800003 77.637 -163.2843
100.000000 77.587 -163.4582
101.500000 77.525 -162.4868
103.000000 77.433 -162.6269
104.400002 77.364 -162.8308
106.000000 77.343 -163.0571
107.500000 77.346 -163.3611
109.000000 77.311 -163.9819
110.599998 77.218 -164.8444
112.000000 77.174 -165.5531
113.800003 77.166 -166.1156
115.000000 77.151 -166.5529
117.199997 77.042 -167.6259
118.000000 77.015 -168.1516
120.599998 76.902 -169.2933
122.000000 76.821 -168.9527
124.099998 76.721 -169.0647
125.000000 76.671 -169.3817
126.500000 76.567 -169.4908
128.000000 76.477 -169.0928
131.500000 76.522 -170.8510
132.000000 76.499 -170.9557
134.000000 76.359 -171.2816
136.000000 76.275 -171.8259
138.000000 76.210 -172.1638
140.000000 76.236 -172.1849
143.000000 76.144 -172.4984
145.000000 76.085 -172.9067
147.500000 76.102 -173.8314
150.000000 75.997 -174.3941
152.500000 75.844 -173.5062
155.000000 75.782 -173.5318
157.500000 75.713 -173.6853
160.000000 75.666 -173.8662
162.500000 75.598 -174.1580
165.000000 75.506 -174.4340
167.500000 75.317 -174.3682
170.000000 75.105 -174.7436
172.500000 75.165 -175.0843
175.000000 75.104 -175.5708
177.500000 74.909 -176.9071
180.000000 75.021 -176.6039
182.500000 75.175 -175.2913
185.000000 75.106 -174.9261
187.500000 75.035 -175.3938
190.000000 75.021 -175.4527
192.500000 74.865 -175.7268
195.000000 74.683 -176.2784
197.500000 74.552 -177.0957
200.000000 74.465 -176.9507
203.000000 74.396 -176.1289
206.000000 74.361 -175.5829
209.000000 74.345 -175.1199
212.000000 74.278 -174.9048
214.000000 74.205 -174.8871
218.000000 74.143 -174.1952
220.000000 74.112 -173.8545
224.000000 74.008 -173.8446
227.000000 73.938 -173.7208
230.000000 73.857 -173.6563
233.000000 73.782 -173.7234
236.000000 73.733 -173.9079
240.000000 73.680 -174.0480
243.000000 73.702 -172.4327
247.000000 73.833 -168.4090
250.000000 73.762 -168.3394
254.000000 73.507 -170.9499
258.000000 73.373 -171.1801
262.000000 73.217 -170.3331
265.000000 73.097 -169.4919
269.000000 72.966 -168.6200
272.000000 73.019 -168.3247
276.000000 73.155 -167.9355
280.000000 73.198 -167.5704
285.000000 73.194 -166.4432
290.000000 73.259 -165.6463
295.000000 73.164 -165.6368
300.000000 73.086 -165.2001
304.000000 73.074 -164.6742
307.000000 73.120 -164.4632
311.000000 73.205 -164.4827
315.000000 73.301 -165.1057
320.000000 73.304 -165.2672
325.000000 73.112 -164.1752
330.000000 73.014 -164.0691
335.000000 72.972 -164.6841
340.000000 72.908 -164.7815
345.000000 72.978 -163.4368
350.000000 72.968 -162.5800
355.000000 72.897 -161.8442
360.000000 72.890 -161.7765
365.000000 72.828 -162.1513
370.000000 72.782 -162.0965
375.000000 72.803 -160.6992
382.000000 72.638 -159.8360
387.000000 72.433 -159.4767
395.000000 72.480 -157.9479
400.000000 72.513 -157.7026
406.000000 72.447 -158.2773
412.000000 72.388 -157.9157
418.000000 72.324 -157.3045
425.000000 72.260 -156.5085
431.000000 72.274 -155.4925
437.000000 72.244 -155.1731
444.000000 72.178 -154.0662
450.000000 72.145 -153.1470
455.000000 72.135 -152.8881
462.000000 72.043 -152.3663
468.000000 71.952 -151.5813
475.000000 71.972 -150.6141
482.000000 71.976 -149.9816
487.000000 71.965 -149.5527
494.000000 71.911 -148.6127
500.000000 71.875 -147.7355
508.000000 71.892 -146.4494
515.000000 71.891 -145.4830
522.000000 71.863 -144.9567
530.000000 71.818 -144.1267
538.000000 71.773 -142.8623
545.000000 71.766 -141.9831
552.000000 71.783 -141.1097
560.000000 71.790 -140.3926
570.000000 71.734 -139.5121
580.000000 71.678 -137.7992
590.000000 71.705 -136.3195
600.000000 71.657 -135.6013
608.000000 71.676 -134.7643
615.000000 71.713 -133.8798
622.000000 71.727 -133.0272
630.000000 71.699 -132.2793
640.000000 71.694 -131.1716
650.000000 71.697 -129.9666
660.000000 71.718 -128.8198
670.000000 71.736 -127.7355
680.000000 71.715 -126.2827
690.000000 71.748 -125.0190
700.000000 71.766 -123.9834
710.000000 71.738 -122.3536
720.000000 71.751 -121.1559
730.000000 71.739 -120.7155
740.000000 71.754 -119.8112
750.000000 71.816 -118.2736
762.000000 71.863 -116.3753
775.000000 71.838 -114.5638
788.000000 71.873 -112.9470
800.000000 71.916 -111.4077
812.000000 71.922 -110.0824
825.000000 71.954 -108.5011
838.000000 72.006 -106.9722
850.000000 72.061 -105.7718
862.000000 72.090 -104.5007
875.000000 72.128 -102.7763
885.000000 72.179 -101.2626
900.000000 72.228 -99.2451
912.000000 72.264 -97.7671
925.000000 72.284 -96.1944
938.000000 72.331 -94.4565
950.000000 72.400 -92.7176
962.000000 72.477 -91.2837
975.000000 72.566 -90.0106
988.000000 72.653 -88.5710
1000.000000 72.734 -87.0148
1015.000000 72.826 -85.1566
1030.000000 72.903 -83.2285
1044.000000 72.991 -81.2782
1060.000000 73.113 -78.9590
1075.000000 73.239 -76.9686
1090.000000 73.349 -74.9492
1106.000000 73.490 -72.7749
1120.000000 73.666 -70.8078
1138.000000 73.894 -68.3782
1150.000000 74.020 -66.8527
1172.000000 74.264 -63.8943
1180.000000 74.356 -62.7387
1206.000000 74.698 -59.3948
1220.000000 74.909 -58.1342
1241.000000 75.188 -55.9197
1250.000000 75.319 -55.0105
1265.000000 75.548 -53.6377
1280.000000 75.772 -52.2591
1315.000000 76.200 -48.9223
1320.000000 76.259 -48.3789
1340.000000 76.541 -46.1127
1360.000000 76.861 -44.1934
1380.000000 77.153 -42.4459
1400.000000 77.429 -40.6542
1430.000000 77.840 -37.3948
1450.000000 78.161 -35.3521
1475.000000 78.633 -33.0039
1500.000000 79.091 -31.0092
1525.000000 79.527 -29.1653
1550.000000 79.994 -27.3535
1575.000000 80.478 -25.9551
1600.000000 80.912 -24.7846
1625.000000 81.351 -23.3687
1650.000000 81.818 -21.9783
1675.000000 82.299 -20.8062
1700.000000 82.762 -19.9204
1725.000000 83.187 -19.2413
1750.000000 83.600 -18.6316
1775.000000 84.015 -17.9425
1800.000000 84.433 -17.2742
1825.000000 84.859 -16.6644
1850.000000 85.271 -16.3006
1875.000000 85.644 -15.9772
1900.000000 86.018 -15.4893
1925.000000 86.406 -15.1145
1950.000000 86.785 -14.9666
1975.000000 87.143 -14.7158
2000.000000 87.515 -14.3766
2030.000000 87.980 -14.1115
2060.000000 88.439 -14.2258
2090.000000 88.859 -14.4988
2120.000000 89.249 -14.6803
2140.000000 89.512 -14.7118
2180.000000 90.055 -15.0315
2200.000000 90.299 -15.3075
2240.000000 90.779 -15.6106
2270.000000 91.177 -15.8777
2300.000000 91.574 -16.5099
2330.000000 91.921 -17.2947
2360.000000 92.249 -17.9514
2400.000000 92.673 -18.9638
2430.000000 92.955 -19.7419
2470.000000 93.310 -20.5403
2500.000000 93.602 -21.0662
2540.000000 94.006 -22.0355
2580.000000 94.386 -23.1255
2620.000000 94.770 -24.3132
2650.000000 95.049 -25.4626
2690.000000 95.366 -27.1572
2720.000000 95.568 -28.3851
2760.000000 95.818 -29.9158
2800.000000 96.069 -31.3907
2850.000000 96.349 -33.3879
2900.000000 96.591 -35.1492
2950.000000 96.858 -36.8820
3000.000000 97.136 -38.8866
3040.000000 97.339 -40.7786
3070.000000 97.461 -42.3648
3110.000000 97.561 -44.4673
3150.000000 97.643 -46.2533
3200.000000 97.756 -48.6413
3250.000000 97.821 -51.1298
3300.000000 97.845 -53.6613
3350.000000 97.827 -56.1423
3400.000000 97.769 -58.5810
3450.000000 97.682 -60.9261
3500.000000 97.557 -63.2167
3550.000000 97.406 -65.4636
3600.000000 97.214 -67.6590
3650.000000 96.983 -69.7843
3700.000000 96.701 -71.7804
3750.000000 96.380 -73.5318
3820.000000 95.880 -75.5196
3870.000000 95.517 -76.6203
3950.000000 94.883 -78.2111
4000.000000 94.436 -78.7266
4060.000000 93.915 -78.7146
4120.000000 93.463 -78.4184
4180.000000 93.030 -78.2848
4250.000000 92.494 -77.9748
4310.000000 92.032 -77.5291
4370.000000 91.561 -76.9648
4440.000000 90.987 -76.0517
4500.000000 90.492 -74.9211
4550.000000 90.080 -73.8084
4620.000000 89.514 -71.9337
4680.000000 89.031 -70.1394
4750.000000 88.479 -67.5040
4820.000000 87.987 -64.5051
