* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 8:41:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (YaxiPads) R2
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 73.809 -80.0496
20.600000 73.873 -81.2465
20.900000 73.900 -82.6962
21.200001 73.883 -84.0368
21.400000 73.866 -84.7418
21.799999 73.886 -85.5550
22.000000 73.950 -85.7120
22.400000 74.205 -85.9223
22.700001 74.473 -86.2632
23.000000 74.749 -86.9261
23.299999 74.983 -87.8547
23.600000 75.145 -88.8610
24.000000 75.259 -89.9762
24.299999 75.307 -90.4980
24.700001 75.393 -90.8745
25.000000 75.503 -91.1551
25.400000 75.700 -91.8699
25.799999 75.899 -93.0635
26.200001 76.047 -94.4734
26.500000 76.119 -95.4332
26.900000 76.195 -96.3831
27.200001 76.264 -96.8738
27.600000 76.394 -97.4550
28.000000 76.559 -98.2240
28.500000 76.762 -99.5358
29.000000 76.929 -100.8386
29.500000 77.091 -101.6798
30.000000 77.293 -102.0994
30.400000 77.473 -102.4491
30.700001 77.593 -102.8652
31.100000 77.702 -103.6610
31.500000 77.740 -104.6259
32.000000 77.721 -105.8186
32.500000 77.719 -106.8426
33.000000 77.811 -107.7993
33.500000 77.990 -108.8677
34.000000 78.194 -110.0503
34.500000 78.365 -111.1819
35.000000 78.494 -112.1534
35.500000 78.600 -113.0473
36.000000 78.692 -114.0202
36.500000 78.758 -115.0681
37.000000 78.797 -115.9891
37.500000 78.836 -116.6457
38.200001 78.955 -117.4997
38.700001 79.073 -118.4696
39.500000 79.238 -120.5914
40.000000 79.332 -121.9573
40.599998 79.449 -123.6062
41.200001 79.535 -125.2391
41.799999 79.600 -126.4342
42.500000 79.762 -126.9710
43.099998 79.964 -127.0235
43.700001 80.097 -126.8685
44.400002 80.128 -126.8072
45.000000 80.103 -128.0276
45.500000 80.045 -130.1764
46.200001 80.030 -132.7789
46.799999 80.311 -133.1120
47.500000 80.700 -132.7446
48.200001 80.268 -131.3577
48.700001 79.357 -126.8390
49.400002 78.463 -115.9746
50.000000 78.934 -114.7123
50.799999 79.927 -128.1294
51.500000 80.336 -139.7045
52.200001 80.560 -143.4600
53.000000 80.822 -142.9444
53.799999 80.769 -143.5646
54.500000 80.583 -144.9307
55.200001 80.567 -146.4230
56.000000 80.645 -147.9942
57.000000 80.592 -149.0459
58.000000 80.488 -150.3157
59.000000 80.386 -151.6463
60.000000 80.311 -151.9438
60.799999 80.237 -152.0410
61.500000 80.160 -152.2767
62.200001 80.107 -152.5344
63.000000 80.097 -152.7510
64.000000 80.124 -153.0222
65.000000 80.174 -153.3518
66.000000 80.259 -153.7782
67.000000 80.348 -154.4540
68.000000 80.403 -155.3958
69.000000 80.427 -156.1275
70.000000 80.481 -156.5972
71.000000 80.544 -157.4737
72.000000 80.560 -158.6525
73.000000 80.567 -159.7091
74.000000 80.583 -160.6655
75.000000 80.597 -161.4658
76.199997 80.595 -162.3721
77.500000 80.527 -163.7405
78.800003 80.443 -165.2958
80.000000 80.431 -165.8947
81.199997 80.467 -166.0825
82.500000 80.459 -166.7089
83.800003 80.435 -167.8121
85.000000 80.396 -168.7456
86.199997 80.365 -169.4476
87.500000 80.299 -169.9786
88.500000 80.233 -170.0230
90.000000 80.177 -170.5205
91.199997 80.179 -171.6064
92.500000 80.179 -172.6292
93.800003 80.146 -173.2373
95.000000 80.096 -173.7147
96.199997 80.043 -174.2805
97.500000 80.045 -175.3788
98.800003 80.138 -176.8932
100.000000 80.123 -177.5872
101.500000 79.974 -177.1915
103.000000 79.871 -177.4478
104.400002 79.809 -178.0068
106.000000 79.750 -178.7105
107.500000 79.699 -179.3709
109.000000 79.637 -179.6819
110.599998 79.575 179.8545
112.000000 79.525 179.2697
113.800003 79.470 178.5663
115.000000 79.423 178.2177
117.199997 79.348 177.7031
118.000000 79.324 177.5967
120.599998 79.209 176.9384
122.000000 79.157 176.1551
124.099998 79.097 175.3880
125.000000 79.073 175.2179
126.500000 79.043 175.1478
128.000000 79.025 175.5159
131.500000 78.787 175.2906
132.000000 78.759 175.0885
134.000000 78.704 174.2330
136.000000 78.645 173.6997
138.000000 78.606 173.5143
140.000000 78.592 173.1191
143.000000 78.451 172.7604
145.000000 78.369 172.6860
147.500000 78.289 172.8950
150.000000 78.178 172.7524
152.500000 78.127 171.6839
155.000000 78.065 171.2103
157.500000 77.960 170.7197
160.000000 77.875 170.6515
162.500000 77.825 170.8025
165.000000 77.797 170.7830
167.500000 77.832 170.9901
170.000000 77.877 171.3429
172.500000 77.649 170.9156
175.000000 77.374 170.5139
177.500000 77.084 170.4971
180.000000 77.049 170.1879
182.500000 77.206 169.4012
185.000000 77.226 169.1525
187.500000 77.256 169.1902
190.000000 77.267 169.1114
192.500000 77.176 168.3689
195.000000 77.056 168.0205
197.500000 76.953 168.1073
200.000000 76.880 168.1011
203.000000 76.779 168.0496
206.000000 76.668 167.9430
209.000000 76.563 168.1100
212.000000 76.479 168.1798
214.000000 76.431 168.2670
218.000000 76.368 167.9569
220.000000 76.314 167.9035
224.000000 76.157 168.5070
227.000000 76.081 168.7391
230.000000 76.006 169.0947
233.000000 75.941 169.3826
236.000000 75.890 169.2281
240.000000 75.771 168.6710
243.000000 75.651 169.0294
247.000000 75.374 168.9630
250.000000 75.314 169.3112
254.000000 75.508 170.6547
258.000000 75.539 171.0688
262.000000 75.491 171.3126
265.000000 75.450 171.7425
269.000000 75.409 172.5953
272.000000 75.367 172.4087
276.000000 75.328 172.1500
280.000000 75.281 172.0363
285.000000 75.158 172.3042
290.000000 75.084 172.9436
295.000000 74.978 172.7390
300.000000 74.906 172.5754
304.000000 74.875 172.5773
307.000000 74.813 172.7621
311.000000 74.740 173.1744
315.000000 74.761 173.1914
320.000000 74.780 173.0278
325.000000 74.685 173.6810
330.000000 74.587 174.1436
335.000000 74.530 174.3018
340.000000 74.498 174.3390
345.000000 74.361 175.2933
350.000000 74.240 175.7466
355.000000 74.200 176.1797
360.000000 74.193 176.1649
365.000000 74.276 175.3964
370.000000 74.263 175.1462
375.000000 74.064 176.8179
382.000000 73.994 177.9193
387.000000 74.093 178.0258
395.000000 74.000 178.8329
400.000000 73.896 179.4058
406.000000 73.788 -179.8726
412.000000 73.703 -179.4942
418.000000 73.645 -179.3688
425.000000 73.599 -178.3410
431.000000 73.590 -177.5761
437.000000 73.576 -176.7224
444.000000 73.536 -176.2573
450.000000 73.442 -176.3603
455.000000 73.372 -176.2513
462.000000 73.320 -175.5170
468.000000 73.286 -174.9784
475.000000 73.251 -174.3875
482.000000 73.222 -173.4570
487.000000 73.188 -172.8897
494.000000 73.154 -172.3671
500.000000 73.133 -171.8944
508.000000 73.085 -171.2337
515.000000 73.054 -170.7248
522.000000 73.039 -170.0916
530.000000 73.041 -169.2674
538.000000 73.025 -168.6633
545.000000 72.986 -168.1588
552.000000 72.942 -167.4157
560.000000 72.890 -166.4734
570.000000 72.891 -165.4168
580.000000 72.932 -164.5751
590.000000 72.916 -163.6884
600.000000 72.849 -162.8681
608.000000 72.816 -161.9918
615.000000 72.826 -161.4163
622.000000 72.845 -160.8658
630.000000 72.841 -160.2073
640.000000 72.803 -159.1858
650.000000 72.789 -158.1279
660.000000 72.795 -157.2095
670.000000 72.812 -156.4487
680.000000 72.821 -155.5800
690.000000 72.813 -154.8836
700.000000 72.825 -154.0590
710.000000 72.838 -152.8360
720.000000 72.803 -151.8573
730.000000 72.804 -151.0175
740.000000 72.837 -150.0571
750.000000 72.833 -149.2147
762.000000 72.852 -148.1273
775.000000 72.902 -146.9147
788.000000 72.913 -145.7977
800.000000 72.945 -144.7266
812.000000 72.995 -143.5446
825.000000 73.030 -142.6562
838.000000 73.046 -141.8862
850.000000 73.051 -140.6924
862.000000 73.056 -139.3225
875.000000 73.073 -138.0655
885.000000 73.093 -137.1873
900.000000 73.172 -135.7741
912.000000 73.225 -134.6873
925.000000 73.271 -133.4709
938.000000 73.346 -131.9746
950.000000 73.405 -130.6074
962.000000 73.472 -129.3230
975.000000 73.566 -128.1835
988.000000 73.654 -126.9659
1000.000000 73.740 -125.8707
1015.000000 73.843 -124.5391
1030.000000 73.930 -123.1157
1044.000000 74.019 -121.7990
1060.000000 74.153 -120.2679
1075.000000 74.286 -118.8071
1090.000000 74.396 -117.3463
1106.000000 74.541 -115.7704
1120.000000 74.687 -114.6014
1138.000000 74.865 -113.1705
1150.000000 75.002 -112.2176
1172.000000 75.276 -109.9642
1180.000000 75.366 -109.1911
1206.000000 75.639 -107.1433
1220.000000 75.806 -106.1125
1241.000000 76.047 -104.4098
1250.000000 76.158 -103.7133
1265.000000 76.363 -102.5821
1280.000000 76.556 -101.5267
1315.000000 77.002 -98.7562
1320.000000 77.075 -98.3404
1340.000000 77.375 -97.0631
1360.000000 77.683 -96.0392
1380.000000 77.941 -95.0122
1400.000000 78.229 -93.5845
1430.000000 78.683 -91.7852
1450.000000 78.994 -90.4788
1475.000000 79.441 -88.8844
1500.000000 79.933 -87.5107
1525.000000 80.442 -86.4919
1550.000000 80.911 -86.2011
1575.000000 81.343 -85.6875
1600.000000 81.806 -85.2112
1625.000000 82.255 -84.9563
1650.000000 82.672 -84.8948
1675.000000 83.074 -84.7351
1700.000000 83.518 -84.6884
1725.000000 83.942 -84.9623
1750.000000 84.331 -85.2341
1775.000000 84.716 -85.4684
1800.000000 85.101 -85.7585
1825.000000 85.491 -86.0283
1850.000000 85.880 -86.4353
1875.000000 86.258 -87.0742
1900.000000 86.598 -87.8284
1925.000000 86.916 -88.3137
1950.000000 87.259 -88.7367
1975.000000 87.611 -89.2295
2000.000000 87.971 -89.7627
2030.000000 88.416 -90.5586
2060.000000 88.846 -91.7618
2090.000000 89.216 -93.0401
2120.000000 89.585 -94.1171
2140.000000 89.833 -94.9248
2180.000000 90.294 -96.7118
2200.000000 90.507 -97.5492
2240.000000 90.954 -98.8589
2270.000000 91.335 -100.0435
2300.000000 91.682 -101.6298
2330.000000 91.992 -103.0508
2360.000000 92.332 -104.3918
2400.000000 92.785 -106.7204
2430.000000 93.050 -108.6570
2470.000000 93.371 -110.7859
2500.000000 93.628 -112.3111
2540.000000 93.978 -114.3137
2580.000000 94.344 -116.4753
2620.000000 94.685 -118.7503
2650.000000 94.953 -120.4509
2690.000000 95.311 -123.0251
2720.000000 95.557 -125.1743
2760.000000 95.830 -128.0900
2800.000000 96.071 -130.8415
2850.000000 96.381 -134.0912
2900.000000 96.722 -137.6735
2950.000000 97.006 -141.6527
3000.000000 97.229 -145.7646
3040.000000 97.351 -149.0253
3070.000000 97.423 -151.3409
3110.000000 97.518 -154.2544
3150.000000 97.633 -157.1491
3200.000000 97.781 -160.9745
3250.000000 97.914 -165.0676
3300.000000 97.998 -169.5626
3350.000000 97.976 -174.1929
3400.000000 97.886 -178.4312
3450.000000 97.787 177.4411
3500.000000 97.652 173.4406
3550.000000 97.517 169.4006
3600.000000 97.329 165.0898
3650.000000 97.048 160.8777
3700.000000 96.699 156.9162
3750.000000 96.289 153.2830
3820.000000 95.623 148.9533
3870.000000 95.118 146.5958
3950.000000 94.352 143.9900
4000.000000 93.951 142.7014
4060.000000 93.497 141.1608
4120.000000 93.058 139.7549
4180.000000 92.634 138.4616
4250.000000 92.152 137.0749
4310.000000 91.749 136.0515
4370.000000 91.363 135.0179
4440.000000 90.899 133.8911
4500.000000 90.491 133.0234
4550.000000 90.138 132.4944
4620.000000 89.658 132.0719
4680.000000 89.269 131.9329
4750.000000 88.843 131.8885
4820.000000 88.436 132.0087
4870.000000 88.163 132.1532
4940.000000 87.785 132.4096
5000.000000 87.458 132.7745
5080.000000 87.045 133.7773
5150.000000 86.766 134.9260
5220.000000 86.556 135.8849
5300.000000 86.322 136.6269
5380.000000 86.055 137.4872
