* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 30, 2023 9:09:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cap Faunus (PP) L5
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 80.785 -95.3931
20.600000 80.893 -96.1841
20.900000 80.980 -96.9595
21.200001 81.019 -97.5222
21.400000 81.021 -97.7247
21.799999 81.000 -97.6287
22.000000 80.999 -97.3354
22.400000 81.068 -96.4501
22.700001 81.210 -95.8212
23.000000 81.428 -95.5465
23.299999 81.694 -95.8477
23.600000 81.964 -96.7967
24.000000 82.255 -98.9067
24.299999 82.385 -100.8555
24.700001 82.423 -103.4568
25.000000 82.368 -105.1092
25.400000 82.244 -106.6355
25.799999 82.149 -107.3806
26.200001 82.154 -107.6598
26.500000 82.233 -107.8221
26.900000 82.403 -108.1867
27.200001 82.550 -108.5681
27.600000 82.740 -109.0859
28.000000 82.912 -109.4674
28.500000 83.106 -109.7330
29.000000 83.278 -109.9870
29.500000 83.417 -110.4407
30.000000 83.527 -111.1223
30.400000 83.614 -111.8055
30.700001 83.688 -112.4029
31.100000 83.797 -113.3202
31.500000 83.903 -114.3356
32.000000 84.012 -115.5664
32.500000 84.097 -116.5365
33.000000 84.191 -117.2336
33.500000 84.312 -117.9106
34.000000 84.442 -118.8205
34.500000 84.545 -119.9586
35.000000 84.611 -121.1192
35.500000 84.663 -122.1201
36.000000 84.724 -122.9200
36.500000 84.805 -123.5594
37.000000 84.909 -124.1012
37.500000 85.031 -124.6573
38.200001 85.193 -125.6878
38.700001 85.273 -126.5750
39.500000 85.355 -127.8309
40.000000 85.419 -128.4686
40.599998 85.496 -129.2609
41.200001 85.527 -130.0640
41.799999 85.533 -130.7759
42.500000 85.596 -131.7779
43.099998 85.706 -132.9423
43.700001 85.831 -133.9621
44.400002 85.978 -134.6097
45.000000 86.051 -135.0919
45.500000 86.036 -135.6539
46.200001 86.011 -136.6643
46.799999 86.136 -137.9649
47.500000 86.346 -139.5583
48.200001 86.427 -138.6951
48.700001 86.529 -135.8655
49.400002 86.923 -132.2988
50.000000 87.195 -133.0640
50.799999 86.981 -138.3719
51.500000 86.542 -142.6716
52.200001 86.434 -144.7262
53.000000 86.623 -145.8571
53.799999 86.688 -146.4970
54.500000 86.664 -146.9294
55.200001 86.666 -147.8446
56.000000 86.698 -149.1318
57.000000 86.766 -150.1226
58.000000 86.797 -150.9650
59.000000 86.810 -152.0648
60.000000 86.852 -153.3746
60.799999 86.862 -154.3616
61.500000 86.846 -155.1467
62.200001 86.818 -155.9442
63.000000 86.783 -156.8887
64.000000 86.733 -157.9206
65.000000 86.672 -158.6618
66.000000 86.593 -159.2119
67.000000 86.518 -159.5635
68.000000 86.488 -159.7325
69.000000 86.513 -159.6647
70.000000 86.604 -159.6409
71.000000 86.713 -160.2058
72.000000 86.792 -161.1817
73.000000 86.857 -162.2544
74.000000 86.893 -163.3690
75.000000 86.885 -164.4648
76.199997 86.843 -165.6738
77.500000 86.796 -166.6892
78.800003 86.762 -167.3758
80.000000 86.697 -168.0090
81.199997 86.614 -168.6037
82.500000 86.582 -169.3145
83.800003 86.581 -169.9357
85.000000 86.581 -170.4492
86.199997 86.575 -171.0918
87.500000 86.566 -171.7430
88.500000 86.548 -172.0695
90.000000 86.481 -172.5211
91.199997 86.427 -172.9366
92.500000 86.420 -173.4907
93.800003 86.420 -174.0811
95.000000 86.429 -174.5798
96.199997 86.449 -175.1240
97.500000 86.414 -175.6864
98.800003 86.302 -176.1599
100.000000 86.257 -176.5946
101.500000 86.300 -177.4801
103.000000 86.303 -178.2666
104.400002 86.281 -178.8692
106.000000 86.250 -179.4463
107.500000 86.200 -179.9875
109.000000 86.158 179.3729
110.599998 86.123 178.7101
112.000000 86.080 178.2524
113.800003 86.010 177.7199
115.000000 85.963 177.3499
117.199997 85.909 176.7214
118.000000 85.905 176.5568
120.599998 85.876 175.9663
122.000000 85.808 175.3946
124.099998 85.715 174.6467
125.000000 85.674 174.4091
126.500000 85.609 174.0373
128.000000 85.536 173.7903
131.500000 85.381 172.8005
132.000000 85.368 172.6730
134.000000 85.317 172.3687
136.000000 85.270 172.0861
138.000000 85.235 171.7137
140.000000 85.206 171.2008
143.000000 85.116 170.8030
145.000000 85.057 170.5179
147.500000 84.997 169.7170
150.000000 84.952 168.7430
152.500000 84.865 168.9766
155.000000 84.775 168.8590
157.500000 84.699 168.5125
160.000000 84.616 168.1689
162.500000 84.528 167.9528
165.000000 84.464 167.7440
167.500000 84.418 166.9901
170.000000 84.377 166.1570
172.500000 84.307 166.4135
175.000000 84.212 166.3462
177.500000 84.085 166.0042
180.000000 84.021 166.0477
182.500000 84.040 166.0775
185.000000 83.992 165.6069
187.500000 83.928 165.1998
190.000000 83.869 165.0529
192.500000 83.763 165.1182
195.000000 83.685 165.1407
197.500000 83.657 165.2288
200.000000 83.609 165.1639
203.000000 83.487 164.6579
206.000000 83.386 164.4503
209.000000 83.308 164.3537
212.000000 83.229 164.1573
214.000000 83.178 164.1205
218.000000 83.074 164.1678
220.000000 83.011 164.1727
224.000000 82.872 163.8591
227.000000 82.807 163.6369
230.000000 82.739 163.5841
233.000000 82.649 163.6215
236.000000 82.549 163.7598
240.000000 82.403 164.0177
243.000000 82.330 163.7826
247.000000 82.227 162.7619
250.000000 82.134 162.5925
254.000000 82.029 163.9639
258.000000 81.950 164.6730
262.000000 81.828 165.1006
265.000000 81.722 165.4360
269.000000 81.608 165.9969
272.000000 81.575 166.4925
276.000000 81.552 167.1511
280.000000 81.520 167.8404
285.000000 81.502 168.3843
290.000000 81.503 168.5463
295.000000 81.497 168.8251
300.000000 81.501 169.0684
304.000000 81.513 169.1687
307.000000 81.517 169.1907
311.000000 81.493 169.2910
315.000000 81.458 169.3164
320.000000 81.423 169.2623
325.000000 81.319 169.4614
330.000000 81.260 169.6435
335.000000 81.265 169.6640
340.000000 81.231 169.9296
345.000000 81.158 169.8253
350.000000 81.095 169.7043
355.000000 81.062 169.5464
360.000000 81.044 169.4661
365.000000 80.997 169.1837
370.000000 80.894 169.0517
375.000000 80.748 169.7755
382.000000 80.649 170.7201
387.000000 80.638 171.2597
395.000000 80.494 171.4804
400.000000 80.401 171.6233
406.000000 80.345 171.9713
412.000000 80.277 172.3574
418.000000 80.178 172.7123
425.000000 80.138 173.0688
431.000000 80.105 173.3503
437.000000 80.048 173.7193
444.000000 79.945 174.1907
450.000000 79.884 174.7884
455.000000 79.849 175.2459
462.000000 79.780 175.8162
468.000000 79.736 176.3732
475.000000 79.701 176.9719
482.000000 79.661 177.5270
487.000000 79.637 177.8450
494.000000 79.616 178.2560
500.000000 79.605 178.6883
508.000000 79.588 179.2505
515.000000 79.549 179.8652
522.000000 79.509 -179.5095
530.000000 79.471 -178.9443
538.000000 79.426 -178.4748
545.000000 79.384 -177.9520
552.000000 79.351 -177.3911
560.000000 79.334 -176.8277
570.000000 79.311 -176.2109
580.000000 79.280 -175.6274
590.000000 79.273 -174.8657
600.000000 79.260 -174.0855
608.000000 79.240 -173.4604
615.000000 79.212 -172.9160
622.000000 79.194 -172.3064
630.000000 79.182 -171.6375
640.000000 79.161 -171.0672
650.000000 79.135 -170.4765
660.000000 79.104 -169.8491
670.000000 79.081 -169.1196
680.000000 79.056 -168.4282
690.000000 79.042 -167.6525
700.000000 79.052 -166.8612
710.000000 79.069 -166.2251
720.000000 79.083 -165.5232
730.000000 79.090 -164.6838
740.000000 79.084 -163.9473
750.000000 79.074 -163.3105
762.000000 79.071 -162.5042
775.000000 79.090 -161.5489
788.000000 79.108 -160.6898
800.000000 79.111 -159.9748
812.000000 79.120 -159.1622
825.000000 79.146 -158.1883
838.000000 79.173 -157.3383
850.000000 79.192 -156.6054
862.000000 79.202 -155.8366
875.000000 79.221 -154.8800
885.000000 79.237 -154.1243
900.000000 79.264 -153.1293
912.000000 79.282 -152.4032
925.000000 79.314 -151.5394
938.000000 79.353 -150.5901
950.000000 79.375 -149.7097
962.000000 79.387 -148.8712
975.000000 79.417 -147.9296
988.000000 79.462 -146.9169
1000.000000 79.504 -145.9275
1015.000000 79.559 -144.9108
1030.000000 79.605 -143.9801
1044.000000 79.669 -142.9193
1060.000000 79.745 -141.6446
1075.000000 79.820 -140.5151
1090.000000 79.893 -139.3962
1106.000000 79.983 -138.1033
1120.000000 80.078 -136.9940
1138.000000 80.207 -135.7378
1150.000000 80.293 -134.8302
1172.000000 80.446 -133.2447
1180.000000 80.502 -132.7092
1206.000000 80.672 -130.9045
1220.000000 80.796 -129.9220
1241.000000 80.993 -128.4120
1250.000000 81.082 -127.7560
1265.000000 81.242 -126.6416
1280.000000 81.424 -125.5661
1315.000000 81.889 -123.6335
1320.000000 81.952 -123.4246
1340.000000 82.191 -122.7292
1360.000000 82.427 -121.9901
1380.000000 82.652 -121.2465
1400.000000 82.857 -120.6109
1430.000000 83.153 -119.5721
1450.000000 83.341 -118.7268
1475.000000 83.619 -117.5309
1500.000000 83.962 -116.6498
1525.000000 84.294 -116.2058
1550.000000 84.591 -115.6838
1575.000000 84.871 -115.1260
1600.000000 85.168 -114.3622
1625.000000 85.516 -113.7970
1650.000000 85.856 -113.6442
1675.000000 86.166 -113.5908
1700.000000 86.465 -113.4616
1725.000000 86.776 -113.3833
1750.000000 87.092 -113.4172
1775.000000 87.394 -113.5623
1800.000000 87.686 -113.7149
1825.000000 87.972 -113.9307
1850.000000 88.253 -114.2067
1875.000000 88.530 -114.4724
1900.000000 88.812 -114.7831
1925.000000 89.091 -115.2169
1950.000000 89.363 -115.7427
1975.000000 89.618 -116.2882
2000.000000 89.871 -116.8259
2030.000000 90.159 -117.5394
2060.000000 90.425 -118.1179
2090.000000 90.716 -118.6163
2120.000000 91.016 -119.3469
2140.000000 91.209 -119.9037
2180.000000 91.562 -121.0962
2200.000000 91.720 -121.6255
2240.000000 92.058 -122.3954
2270.000000 92.369 -123.0538
2300.000000 92.673 -124.1012
2330.000000 92.939 -125.2961
2360.000000 93.179 -126.4191
2400.000000 93.498 -127.7725
2430.000000 93.747 -128.7787
2470.000000 94.087 -130.2919
2500.000000 94.332 -131.5114
2540.000000 94.640 -133.1765
2580.000000 94.948 -134.7958
2620.000000 95.276 -136.5794
2650.000000 95.510 -138.0919
2690.000000 95.798 -140.1724
2720.000000 96.007 -141.7352
2760.000000 96.287 -143.9772
2800.000000 96.523 -146.4296
2850.000000 96.766 -149.3074
2900.000000 97.017 -151.9673
2950.000000 97.298 -154.6880
3000.000000 97.584 -157.8272
3040.000000 97.777 -160.5035
3070.000000 97.914 -162.5185
3110.000000 98.087 -165.3695
3150.000000 98.223 -168.4012
3200.000000 98.338 -172.1588
3250.000000 98.420 -175.8138
3300.000000 98.499 -179.4531
3350.000000 98.539 176.7170
3400.000000 98.547 172.9644
3450.000000 98.529 169.0687
3500.000000 98.453 165.1946
3550.000000 98.353 161.4563
3600.000000 98.229 157.6371
3650.000000 98.055 153.7970
3700.000000 97.829 150.0619
3750.000000 97.556 146.4613
3820.000000 97.085 141.9880
3870.000000 96.762 139.2614
3950.000000 96.228 134.8596
4000.000000 95.849 132.3557
4060.000000 95.405 129.8520
4120.000000 95.007 127.2985
4180.000000 94.573 124.5717
4250.000000 93.998 121.5558
4310.000000 93.449 119.3721
4370.000000 92.899 117.6695
4440.000000 92.260 115.8835
4500.000000 91.696 114.7343
4550.000000 91.236 114.0111
4620.000000 90.600 113.2724
4680.000000 90.068 112.9642
4750.000000 89.476 112.8144
4820.000000 88.888 112.9644
4870.000000 88.488 113.3236
4940.000000 87.971 114.0540
5000.000000 87.569 114.7882
5080.000000 87.077 115.8720
5150.000000 86.693 116.8442
5220.000000 86.338 117.7056
5300.000000 85.939 118.5115
5380.000000 85.504 119.3304
5450.000000 85.107 120.3222
5520.000000 84.702 121.5104
