* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 3, 2024 11:20:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Capra Audio Faunus V1.1 L4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 63.816 -54.9071
20.600000 63.926 -55.6337
20.900000 64.052 -56.2262
21.200001 64.186 -56.6019
21.400000 64.282 -56.7775
21.799999 64.492 -57.1290
22.000000 64.600 -57.3749
22.400000 64.803 -58.0804
22.700001 64.931 -58.7582
23.000000 65.037 -59.4716
23.299999 65.131 -60.1287
23.600000 65.228 -60.6737
24.000000 65.390 -61.2360
24.299999 65.541 -61.6013
24.700001 65.770 -62.1181
25.000000 65.944 -62.5514
25.400000 66.158 -63.1476
25.799999 66.344 -63.6960
26.200001 66.512 -64.1920
26.500000 66.632 -64.5783
26.900000 66.786 -65.1877
27.200001 66.893 -65.7224
27.600000 67.018 -66.4634
28.000000 67.135 -67.1021
28.500000 67.301 -67.6511
29.000000 67.520 -68.0956
29.500000 67.769 -68.7502
30.000000 67.992 -69.7067
30.400000 68.133 -70.5560
30.700001 68.222 -71.1541
31.100000 68.337 -71.8516
31.500000 68.466 -72.4619
32.000000 68.651 -73.2099
32.500000 68.838 -74.0096
33.000000 69.002 -74.8217
33.500000 69.131 -75.5686
34.000000 69.231 -76.1970
34.500000 69.322 -76.6810
35.000000 69.432 -77.0373
35.500000 69.583 -77.3583
36.000000 69.771 -77.7677
36.500000 69.971 -78.3174
37.000000 70.158 -78.9550
37.500000 70.327 -79.6165
38.200001 70.547 -80.6005
38.700001 70.695 -81.3708
39.500000 70.916 -82.5376
40.000000 71.060 -83.1096
40.599998 71.246 -83.7110
41.200001 71.429 -84.4041
41.799999 71.577 -85.2482
42.500000 71.703 -86.2816
43.099998 71.805 -87.1085
43.700001 71.933 -87.9366
44.400002 72.107 -89.0510
45.000000 72.245 -90.1088
45.500000 72.334 -90.9383
46.200001 72.437 -91.8915
46.799999 72.524 -92.6074
47.500000 72.623 -93.5444
48.200001 72.693 -94.5943
48.700001 72.727 -95.2992
49.400002 72.768 -96.1157
50.000000 72.808 -96.6545
50.799999 72.864 -97.1322
51.500000 72.925 -97.3299
52.200001 73.010 -97.4568
53.000000 73.131 -97.6956
53.799999 73.259 -98.0116
54.500000 73.380 -98.2758
55.200001 73.513 -98.5645
56.000000 73.674 -99.0037
57.000000 73.878 -99.7175
58.000000 74.085 -100.5805
59.000000 74.275 -101.5182
60.000000 74.445 -102.4451
60.799999 74.572 -103.2088
61.500000 74.675 -103.8778
62.200001 74.776 -104.5227
63.000000 74.892 -105.2671
64.000000 75.031 -106.2630
65.000000 75.161 -107.2758
66.000000 75.288 -108.2590
67.000000 75.403 -109.1804
68.000000 75.511 -110.0683
69.000000 75.621 -110.9805
70.000000 75.735 -111.9119
71.000000 75.840 -112.8202
72.000000 75.934 -113.6895
73.000000 76.023 -114.6048
74.000000 76.109 -115.5202
75.000000 76.196 -116.3715
76.199997 76.290 -117.3800
77.500000 76.378 -118.4869
78.800003 76.472 -119.6237
80.000000 76.557 -120.6273
81.199997 76.630 -121.5395
82.500000 76.711 -122.5224
83.800003 76.795 -123.5644
85.000000 76.864 -124.4997
86.199997 76.925 -125.4300
87.500000 76.982 -126.4195
88.500000 77.024 -127.1413
90.000000 77.087 -128.1965
91.199997 77.135 -129.0753
92.500000 77.182 -130.0250
93.800003 77.226 -130.9388
95.000000 77.264 -131.7635
96.199997 77.298 -132.5726
97.500000 77.333 -133.4334
98.800003 77.365 -134.2690
100.000000 77.389 -135.0005
101.500000 77.417 -135.9261
103.000000 77.444 -136.8452
104.400002 77.467 -137.6815
106.000000 77.485 -138.6244
107.500000 77.499 -139.4857
109.000000 77.508 -140.3483
110.599998 77.508 -141.2492
112.000000 77.500 -141.9967
113.800003 77.488 -142.8234
115.000000 77.486 -143.3399
117.199997 77.488 -144.2320
118.000000 77.485 -144.5553
120.599998 77.485 -145.6544
122.000000 77.504 -146.2391
124.099998 77.513 -147.1560
125.000000 77.506 -147.5664
126.500000 77.482 -148.2350
128.000000 77.446 -148.8324
131.500000 77.383 -149.7373
132.000000 77.381 -149.8496
134.000000 77.381 -150.3257
136.000000 77.384 -150.8375
138.000000 77.389 -151.4318
140.000000 77.389 -152.0568
143.000000 77.381 -152.9246
145.000000 77.373 -153.5163
147.500000 77.355 -154.2117
150.000000 77.336 -154.8179
152.500000 77.314 -155.5356
155.000000 77.287 -156.2936
157.500000 77.248 -157.0119
160.000000 77.206 -157.6190
162.500000 77.162 -158.1373
165.000000 77.112 -158.6374
167.500000 77.060 -159.1339
170.000000 77.009 -159.5649
172.500000 76.963 -159.9446
175.000000 76.922 -160.2949
177.500000 76.881 -160.5845
180.000000 76.844 -160.8529
182.500000 76.807 -161.0803
185.000000 76.771 -161.3315
187.500000 76.739 -161.5892
190.000000 76.704 -161.8242
192.500000 76.671 -162.0896
195.000000 76.648 -162.3322
197.500000 76.623 -162.5062
200.000000 76.596 -162.6795
203.000000 76.556 -162.9481
206.000000 76.511 -163.2400
209.000000 76.465 -163.4812
212.000000 76.425 -163.6989
214.000000 76.400 -163.8655
218.000000 76.345 -164.2055
220.000000 76.314 -164.3071
224.000000 76.263 -164.4880
227.000000 76.227 -164.6510
230.000000 76.190 -164.8175
233.000000 76.146 -164.9178
236.000000 76.099 -165.0309
240.000000 76.039 -165.2623
243.000000 75.990 -165.2768
247.000000 75.944 -165.2502
250.000000 75.907 -165.3133
254.000000 75.857 -165.3675
258.000000 75.812 -165.3696
262.000000 75.760 -165.3624
265.000000 75.722 -165.3896
269.000000 75.675 -165.3987
272.000000 75.640 -165.3772
276.000000 75.592 -165.3715
280.000000 75.546 -165.3529
285.000000 75.489 -165.2885
290.000000 75.432 -165.2163
295.000000 75.378 -165.0995
300.000000 75.320 -164.9114
304.000000 75.276 -164.8216
307.000000 75.246 -164.7747
311.000000 75.206 -164.6738
315.000000 75.168 -164.5182
320.000000 75.112 -164.3150
325.000000 75.061 -164.1612
330.000000 75.013 -163.9635
335.000000 74.961 -163.7783
340.000000 74.913 -163.5920
345.000000 74.869 -163.3828
350.000000 74.823 -163.1599
355.000000 74.775 -162.9493
360.000000 74.731 -162.6809
365.000000 74.690 -162.3792
370.000000 74.647 -162.1003
375.000000 74.601 -161.7989
382.000000 74.542 -161.3902
387.000000 74.504 -161.0941
395.000000 74.443 -160.5499
400.000000 74.405 -160.2068
406.000000 74.363 -159.8177
412.000000 74.326 -159.4055
418.000000 74.290 -158.9729
425.000000 74.248 -158.4884
431.000000 74.214 -158.1054
437.000000 74.180 -157.7002
444.000000 74.142 -157.2480
450.000000 74.104 -156.8065
455.000000 74.069 -156.4160
462.000000 74.017 -155.8520
468.000000 73.971 -155.3289
475.000000 73.931 -154.6838
482.000000 73.906 -154.0641
487.000000 73.889 -153.6598
494.000000 73.864 -153.0683
500.000000 73.843 -152.5553
508.000000 73.818 -151.8869
515.000000 73.799 -151.3271
522.000000 73.781 -150.7340
530.000000 73.761 -150.0436
538.000000 73.740 -149.3867
545.000000 73.727 -148.8065
552.000000 73.717 -148.2408
560.000000 73.702 -147.6252
570.000000 73.678 -146.8907
580.000000 73.650 -146.1041
590.000000 73.620 -145.3205
600.000000 73.594 -144.5201
608.000000 73.577 -143.8468
615.000000 73.561 -143.2555
622.000000 73.543 -142.6736
630.000000 73.519 -141.9678
640.000000 73.495 -141.0077
650.000000 73.487 -140.0324
660.000000 73.487 -139.1399
670.000000 73.481 -138.2634
680.000000 73.478 -137.3869
690.000000 73.475 -136.5378
700.000000 73.468 -135.6206
710.000000 73.467 -134.6855
720.000000 73.471 -133.7830
730.000000 73.477 -132.9232
740.000000 73.482 -132.0945
750.000000 73.487 -131.2699
762.000000 73.490 -130.2709
775.000000 73.491 -129.1354
788.000000 73.501 -127.9962
800.000000 73.515 -126.9437
812.000000 73.527 -125.9177
825.000000 73.538 -124.8159
838.000000 73.550 -123.7193
850.000000 73.565 -122.7060
862.000000 73.579 -121.6734
875.000000 73.598 -120.5409
885.000000 73.612 -119.6880
900.000000 73.633 -118.4176
912.000000 73.646 -117.4049
925.000000 73.659 -116.2443
938.000000 73.678 -115.0586
950.000000 73.699 -113.9764
962.000000 73.724 -112.9196
975.000000 73.746 -111.7922
988.000000 73.767 -110.6050
1000.000000 73.795 -109.4760
1015.000000 73.841 -108.1015
1030.000000 73.886 -106.8055
1044.000000 73.919 -105.6334
1060.000000 73.940 -104.1998
1075.000000 73.971 -102.6486
1090.000000 74.025 -101.0733
1106.000000 74.095 -99.4471
1120.000000 74.167 -98.0693
1138.000000 74.282 -96.3683
1150.000000 74.360 -95.3190
1172.000000 74.498 -93.4946
1180.000000 74.543 -92.8638
1206.000000 74.669 -90.7321
1220.000000 74.744 -89.5133
1241.000000 74.877 -87.7395
1250.000000 74.938 -87.0133
1265.000000 75.032 -85.8709
1280.000000 75.116 -84.7026
1315.000000 75.341 -81.8716
1320.000000 75.375 -81.4871
1340.000000 75.503 -79.9985
1360.000000 75.630 -78.4665
1380.000000 75.781 -76.9737
1400.000000 75.916 -75.7054
1430.000000 76.085 -73.5406
1450.000000 76.211 -72.0345
1475.000000 76.368 -70.2011
1500.000000 76.525 -68.2221
1525.000000 76.713 -66.1416
1550.000000 76.952 -64.0580
1575.000000 77.219 -62.3773
1600.000000 77.461 -60.9310
1625.000000 77.695 -59.5683
1650.000000 77.908 -58.2431
1675.000000 78.116 -56.8364
1700.000000 78.336 -55.3720
1725.000000 78.581 -53.9152
1750.000000 78.851 -52.5847
1775.000000 79.139 -51.5445
1800.000000 79.419 -50.7847
1825.000000 79.677 -50.2549
1850.000000 79.876 -50.1071
1875.000000 79.970 -49.8038
1900.000000 80.050 -48.7752
1925.000000 80.194 -47.4469
1950.000000 80.381 -46.3631
1975.000000 80.539 -45.4306
2000.000000 80.707 -44.1509
2030.000000 80.995 -42.7555
2060.000000 81.286 -42.0402
2090.000000 81.503 -41.6448
2120.000000 81.644 -40.8537
2140.000000 81.763 -39.8381
2180.000000 82.185 -38.0939
2200.000000 82.424 -37.7516
2240.000000 82.837 -37.9216
2270.000000 83.076 -38.2203
2300.000000 83.297 -38.7230
2330.000000 83.454 -39.5610
2360.000000 83.544 -40.3889
2400.000000 83.526 -41.7250
2430.000000 83.375 -41.9938
2470.000000 83.211 -41.0280
2500.000000 83.176 -40.0796
2540.000000 83.114 -39.3081
2580.000000 83.011 -37.3765
2620.000000 83.087 -35.7710
2650.000000 83.055 -35.1767
2690.000000 82.935 -32.8952
2720.000000 83.028 -30.4282
2760.000000 83.286 -28.7483
2800.000000 83.451 -28.0185
2850.000000 83.519 -27.0739
2900.000000 83.541 -26.0074
2950.000000 83.465 -24.3425
3000.000000 83.412 -22.2446
3040.000000 83.376 -20.0647
3070.000000 83.394 -18.1948
3110.000000 83.486 -15.9168
3150.000000 83.531 -13.8374
3200.000000 83.671 -10.3106
3250.000000 83.906 -7.5170
3300.000000 84.160 -4.3756
3350.000000 84.572 -1.8373
3400.000000 84.910 -0.2316
3450.000000 85.245 1.4201
3500.000000 85.561 2.6947
3550.000000 85.826 3.9512
3600.000000 86.107 5.8331
3650.000000 86.538 7.7023
3700.000000 87.032 8.6492
3750.000000 87.547 9.0355
3820.000000 88.252 7.9114
3870.000000 88.669 6.2979
3950.000000 89.117 2.1315
4000.000000 89.160 -0.7298
4060.000000 89.039 -3.5257
4120.000000 88.796 -5.4963
4180.000000 88.533 -6.2599
4250.000000 88.349 -6.6195
4310.000000 88.268 -7.3036
4370.000000 88.146 -8.8366
4440.000000 87.817 -10.9586
4500.000000 87.368 -12.4230
4550.000000 86.907 -12.9952
4620.000000 86.202 -12.7445
4680.000000 85.583 -11.4657
4750.000000 84.925 -8.8865
4820.000000 84.372 -5.4518
4870.000000 84.057 -2.7693
