* Measurement data measured by REW V5.30
* Source: EXCL: Abigail Mic (3- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 0.250
* Format: 256k Log Swept Sine, 1 sweep at -15.0 dBFS with no timing reference
* Dated: Feb 3, 2024 11:25:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Capra Audio Faunus V1.1 R4
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.299999 62.657 -47.2059
20.600000 62.801 -47.7108
20.900000 62.964 -48.3469
21.200001 63.116 -49.0617
21.400000 63.207 -49.5629
21.799999 63.368 -50.5578
22.000000 63.445 -51.0257
22.400000 63.606 -51.8811
22.700001 63.743 -52.4761
23.000000 63.896 -53.0714
23.299999 64.057 -53.6942
23.600000 64.217 -54.3422
24.000000 64.412 -55.1850
24.299999 64.541 -55.7397
24.700001 64.697 -56.3183
25.000000 64.813 -56.6434
25.400000 64.980 -57.0193
25.799999 65.161 -57.4512
26.200001 65.348 -58.0090
26.500000 65.484 -58.4945
26.900000 65.655 -59.1599
27.200001 65.778 -59.6273
27.600000 65.940 -60.1835
28.000000 66.104 -60.6901
28.500000 66.310 -61.3332
29.000000 66.510 -62.0340
29.500000 66.704 -62.7735
30.000000 66.903 -63.5354
30.400000 67.069 -64.1808
30.700001 67.194 -64.6962
31.100000 67.353 -65.4173
31.500000 67.497 -66.1386
32.000000 67.653 -66.9651
32.500000 67.796 -67.6692
33.000000 67.942 -68.3034
33.500000 68.099 -68.9604
34.000000 68.259 -69.6748
34.500000 68.413 -70.3895
35.000000 68.562 -71.0214
35.500000 68.713 -71.5502
36.000000 68.872 -72.0408
36.500000 69.035 -72.5799
37.000000 69.192 -73.1976
37.500000 69.342 -73.8572
38.200001 69.546 -74.7649
38.700001 69.693 -75.3966
39.500000 69.927 -76.4309
40.000000 70.067 -77.0908
40.599998 70.231 -77.8812
41.200001 70.397 -78.6865
41.799999 70.564 -79.5273
42.500000 70.751 -80.5243
43.099998 70.898 -81.3511
43.700001 71.037 -82.1611
44.400002 71.188 -83.1515
45.000000 71.307 -84.0631
45.500000 71.400 -84.8417
46.200001 71.527 -85.9106
46.799999 71.634 -86.8036
47.500000 71.747 -87.8408
48.200001 71.835 -88.8496
48.700001 71.880 -89.5177
49.400002 71.927 -90.3487
50.000000 71.958 -90.9465
50.799999 71.992 -91.5116
51.500000 72.031 -91.7420
52.200001 72.096 -91.7785
53.000000 72.210 -91.7271
53.799999 72.364 -91.7198
54.500000 72.522 -91.8335
55.200001 72.693 -92.0967
56.000000 72.894 -92.5795
57.000000 73.137 -93.3917
58.000000 73.359 -94.3345
59.000000 73.560 -95.3578
60.000000 73.747 -96.4057
60.799999 73.891 -97.2279
61.500000 74.012 -97.9325
62.200001 74.124 -98.6208
63.000000 74.246 -99.4027
64.000000 74.392 -100.4124
65.000000 74.529 -101.4230
66.000000 74.661 -102.3909
67.000000 74.790 -103.3529
68.000000 74.915 -104.3281
69.000000 75.035 -105.3064
70.000000 75.150 -106.2780
71.000000 75.261 -107.2333
72.000000 75.365 -108.1850
73.000000 75.463 -109.1407
74.000000 75.555 -110.0803
75.000000 75.643 -110.9569
76.199997 75.750 -111.9505
77.500000 75.860 -113.0471
78.800003 75.966 -114.1378
80.000000 76.063 -115.1458
81.199997 76.156 -116.1490
82.500000 76.250 -117.2180
83.800003 76.338 -118.2847
85.000000 76.409 -119.2663
86.199997 76.480 -120.2233
87.500000 76.559 -121.2595
88.500000 76.617 -122.0509
90.000000 76.698 -123.1964
91.199997 76.755 -124.0949
92.500000 76.810 -125.0575
93.800003 76.864 -126.0068
95.000000 76.910 -126.8746
96.199997 76.953 -127.7295
97.500000 77.000 -128.6413
98.800003 77.045 -129.5466
100.000000 77.083 -130.3778
101.500000 77.124 -131.3949
103.000000 77.161 -132.3652
104.400002 77.193 -133.2831
106.000000 77.221 -134.3506
107.500000 77.240 -135.3116
109.000000 77.256 -136.2087
110.599998 77.271 -137.1142
112.000000 77.285 -137.8959
113.800003 77.302 -138.8936
115.000000 77.310 -139.5551
117.199997 77.314 -140.7649
118.000000 77.313 -141.2018
120.599998 77.298 -142.5680
122.000000 77.281 -143.2348
124.099998 77.249 -144.0899
125.000000 77.239 -144.4093
126.500000 77.229 -144.9247
128.000000 77.227 -145.4583
131.500000 77.221 -146.7428
132.000000 77.219 -146.9276
134.000000 77.210 -147.6572
136.000000 77.201 -148.3295
138.000000 77.193 -148.9819
140.000000 77.184 -149.6531
143.000000 77.163 -150.7058
145.000000 77.142 -151.3937
147.500000 77.103 -152.1899
150.000000 77.060 -152.8800
152.500000 77.029 -153.4596
155.000000 77.004 -154.0796
157.500000 76.978 -154.7269
160.000000 76.944 -155.3633
162.500000 76.903 -155.9731
165.000000 76.861 -156.5218
167.500000 76.817 -157.0210
170.000000 76.776 -157.4987
172.500000 76.732 -157.9661
175.000000 76.684 -158.4161
177.500000 76.627 -158.8266
180.000000 76.571 -159.1399
182.500000 76.523 -159.3499
185.000000 76.487 -159.5414
187.500000 76.458 -159.7467
190.000000 76.431 -159.9684
192.500000 76.399 -160.2378
195.000000 76.369 -160.5334
197.500000 76.344 -160.8020
200.000000 76.315 -161.0577
203.000000 76.276 -161.3520
206.000000 76.236 -161.6428
209.000000 76.197 -161.9029
212.000000 76.156 -162.0921
214.000000 76.129 -162.2220
218.000000 76.083 -162.5399
220.000000 76.060 -162.6985
224.000000 76.007 -162.9180
227.000000 75.958 -163.0904
230.000000 75.912 -163.2718
233.000000 75.870 -163.4372
236.000000 75.830 -163.5921
240.000000 75.774 -163.7400
243.000000 75.733 -163.8111
247.000000 75.677 -163.9378
250.000000 75.637 -164.0187
254.000000 75.584 -164.1097
258.000000 75.530 -164.1729
262.000000 75.476 -164.2141
265.000000 75.436 -164.2281
269.000000 75.382 -164.2313
272.000000 75.344 -164.2337
276.000000 75.295 -164.2292
280.000000 75.245 -164.2234
285.000000 75.181 -164.1764
290.000000 75.119 -164.0876
295.000000 75.058 -163.9848
300.000000 75.001 -163.8743
304.000000 74.955 -163.7525
307.000000 74.923 -163.6557
311.000000 74.881 -163.5375
315.000000 74.838 -163.4263
320.000000 74.783 -163.2548
325.000000 74.730 -163.0645
330.000000 74.678 -162.8699
335.000000 74.628 -162.6490
340.000000 74.579 -162.4093
345.000000 74.533 -162.1693
350.000000 74.487 -161.9287
355.000000 74.441 -161.6714
360.000000 74.398 -161.3950
365.000000 74.354 -161.1263
370.000000 74.311 -160.8779
375.000000 74.268 -160.6171
382.000000 74.207 -160.1988
387.000000 74.168 -159.8683
395.000000 74.110 -159.3412
400.000000 74.073 -159.0222
406.000000 74.029 -158.6327
412.000000 73.985 -158.2334
418.000000 73.941 -157.8097
425.000000 73.894 -157.3017
431.000000 73.856 -156.8656
437.000000 73.816 -156.4455
444.000000 73.766 -155.9214
450.000000 73.728 -155.4308
455.000000 73.699 -155.0214
462.000000 73.659 -154.4497
468.000000 73.628 -153.9534
475.000000 73.595 -153.3895
482.000000 73.558 -152.8288
487.000000 73.529 -152.4003
494.000000 73.495 -151.7380
500.000000 73.475 -151.1695
508.000000 73.454 -150.4579
515.000000 73.435 -149.8488
522.000000 73.416 -149.2367
530.000000 73.397 -148.5504
538.000000 73.379 -147.8753
545.000000 73.365 -147.2864
552.000000 73.351 -146.7083
560.000000 73.336 -146.0736
570.000000 73.313 -145.2615
580.000000 73.291 -144.4185
590.000000 73.274 -143.5857
600.000000 73.257 -142.7560
608.000000 73.242 -142.1013
615.000000 73.225 -141.5184
622.000000 73.211 -140.9056
630.000000 73.198 -140.2068
640.000000 73.183 -139.3500
650.000000 73.171 -138.4748
660.000000 73.160 -137.6184
670.000000 73.148 -136.7493
680.000000 73.135 -135.8536
690.000000 73.121 -134.9609
700.000000 73.111 -134.0040
710.000000 73.114 -133.0325
720.000000 73.121 -132.1425
730.000000 73.127 -131.2905
740.000000 73.132 -130.4550
750.000000 73.131 -129.5981
762.000000 73.132 -128.5391
775.000000 73.133 -127.4401
788.000000 73.126 -126.3138
800.000000 73.125 -125.1568
812.000000 73.138 -123.9892
825.000000 73.157 -122.8118
838.000000 73.175 -121.6516
850.000000 73.191 -120.5679
862.000000 73.209 -119.4734
875.000000 73.231 -118.3306
885.000000 73.248 -117.4691
900.000000 73.269 -116.1882
912.000000 73.283 -115.1427
925.000000 73.298 -113.9504
938.000000 73.318 -112.7225
950.000000 73.344 -111.5885
962.000000 73.376 -110.4713
975.000000 73.415 -109.2940
988.000000 73.453 -108.1656
1000.000000 73.483 -107.1604
1015.000000 73.513 -105.8795
1030.000000 73.542 -104.5425
1044.000000 73.569 -103.2577
1060.000000 73.600 -101.7309
1075.000000 73.642 -100.2159
1090.000000 73.698 -98.7249
1106.000000 73.764 -97.2018
1120.000000 73.819 -95.8674
1138.000000 73.893 -94.1568
1150.000000 73.942 -92.9683
1172.000000 74.061 -90.7087
1180.000000 74.115 -89.9337
1206.000000 74.295 -87.6719
1220.000000 74.385 -86.5172
1241.000000 74.511 -84.8460
1250.000000 74.558 -84.1297
1265.000000 74.629 -82.8568
1280.000000 74.706 -81.4945
1315.000000 74.934 -78.2809
1320.000000 74.972 -77.8371
1340.000000 75.129 -76.1570
1360.000000 75.280 -74.5735
1380.000000 75.428 -73.0033
1400.000000 75.576 -71.3707
1430.000000 75.835 -68.9785
1450.000000 76.018 -67.5528
1475.000000 76.225 -65.9373
1500.000000 76.428 -64.1918
1525.000000 76.650 -62.5948
1550.000000 76.851 -61.1516
1575.000000 77.042 -59.5368
1600.000000 77.267 -57.9543
1625.000000 77.481 -56.7054
1650.000000 77.650 -55.3410
1675.000000 77.842 -53.7825
1700.000000 78.043 -52.3288
1725.000000 78.249 -50.8319
1750.000000 78.473 -49.3763
1775.000000 78.701 -48.0497
1800.000000 78.921 -46.7515
1825.000000 79.165 -45.2508
1850.000000 79.456 -43.9707
1875.000000 79.733 -43.0370
1900.000000 80.001 -42.2092
1925.000000 80.261 -41.5942
1950.000000 80.501 -41.0535
1975.000000 80.736 -40.6717
2000.000000 80.940 -40.5031
2030.000000 81.123 -40.2869
2060.000000 81.268 -39.8788
2090.000000 81.395 -39.1670
2120.000000 81.563 -38.2360
2140.000000 81.683 -37.7960
2180.000000 81.890 -36.7767
2200.000000 82.010 -36.1693
2240.000000 82.307 -35.2506
2270.000000 82.496 -35.1347
2300.000000 82.640 -34.8555
2330.000000 82.800 -34.6779
2360.000000 82.917 -34.8717
2400.000000 82.950 -35.0272
2430.000000 82.933 -34.5798
2470.000000 82.952 -33.7335
2500.000000 82.959 -33.1522
2540.000000 82.917 -32.0814
2580.000000 82.923 -30.3334
2620.000000 82.996 -28.6671
2650.000000 83.084 -27.4920
2690.000000 83.193 -26.4584
2720.000000 83.238 -25.5845
2760.000000 83.328 -24.5178
2800.000000 83.336 -23.8214
2850.000000 83.288 -22.2007
2900.000000 83.212 -20.2516
2950.000000 83.201 -17.4844
3000.000000 83.223 -14.9538
3040.000000 83.263 -12.5913
3070.000000 83.308 -10.9803
3110.000000 83.337 -8.4460
3150.000000 83.484 -5.3816
3200.000000 83.736 -2.5701
3250.000000 83.983 0.4095
3300.000000 84.280 2.8467
3350.000000 84.527 5.3289
3400.000000 84.814 8.1294
3450.000000 85.183 11.0762
3500.000000 85.686 13.8575
3550.000000 86.276 15.6692
3600.000000 86.852 16.4716
3650.000000 87.379 16.8428
3700.000000 87.901 16.7441
3750.000000 88.383 16.1134
3820.000000 88.977 14.5620
3870.000000 89.367 13.0999
3950.000000 89.875 9.5313
4000.000000 90.058 6.7166
4060.000000 90.113 3.2890
4120.000000 90.022 -0.0177
4180.000000 89.795 -2.7580
4250.000000 89.469 -5.3457
4310.000000 89.122 -7.3348
4370.000000 88.696 -8.9619
4440.000000 88.126 -10.2576
4500.000000 87.567 -10.9068
4550.000000 87.063 -10.8383
4620.000000 86.344 -10.0581
4680.000000 85.704 -8.6096
4750.000000 84.969 -5.8970
4820.000000 84.307 -1.8185
4870.000000 83.940 1.7143
4940.000000 83.610 6.9545
