* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:43:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cate 300ohm Philphone L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	88.363	148.7657
20.299999	88.582	147.4769
20.600000	88.800	146.2278
20.900000	89.020	144.9943
21.200001	89.239	143.7524
21.400000	89.383	142.9147
21.799999	89.663	141.2271
22.000000	89.798	140.3859
22.400000	90.060	138.7318
22.700001	90.253	137.5226
23.000000	90.445	136.3315
23.299999	90.637	135.1392
23.600000	90.827	133.9301
24.000000	91.073	132.2818
24.299999	91.248	131.0294
24.700001	91.469	129.3694
25.000000	91.627	128.1529
25.400000	91.831	126.5779
25.799999	92.032	125.0369
26.200001	92.232	123.4941
26.500000	92.378	122.3204
26.900000	92.564	120.7327
27.200001	92.696	119.5363
27.600000	92.861	117.9553
28.000000	93.016	116.4095
28.500000	93.204	114.5267
29.000000	93.389	112.6558
29.500000	93.570	110.7325
30.000000	93.737	108.7099
30.400000	93.850	107.0297
30.700001	93.918	105.7590
31.100000	93.985	104.1081
31.500000	94.027	102.5728
32.000000	94.055	100.9092
32.500000	94.077	99.5836
33.000000	94.118	98.5714
33.500000	94.199	97.7666
34.000000	94.330	96.9894
34.500000	94.500	96.0425
35.000000	94.688	94.8008
35.500000	94.862	93.2475
36.000000	95.002	91.4684
36.500000	95.096	89.5825
37.000000	95.146	87.7039
37.500000	95.152	85.9182
38.200001	95.099	83.7038
38.700001	95.028	82.3914
39.500000	94.872	80.8654
40.000000	94.762	80.3610
40.599998	94.646	80.2995
41.200001	94.596	80.7610
41.799999	94.644	81.4546
42.500000	94.818	82.0920
43.099998	95.027	82.2576
43.700001	95.255	82.0512
44.400002	95.515	81.4412
45.000000	95.722	80.7244
45.500000	95.886	80.0651
46.200001	96.112	79.0854
46.799999	96.306	78.1647
47.500000	96.530	76.9424
48.200001	96.740	75.5570
48.700001	96.877	74.4888
49.400002	97.045	72.9272
50.000000	97.169	71.5789
50.799999	97.314	69.8306
51.500000	97.432	68.3282
52.200001	97.542	66.7864
53.000000	97.646	64.9741
53.799999	97.723	63.2130
54.500000	97.782	61.7714
55.200001	97.842	60.3828
56.000000	97.910	58.7852
57.000000	97.980	56.8066
58.000000	98.044	54.9236
