* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS with no timing reference
* Dated: Nov 11, 2023 10:42:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Cate 300ohm Philphone R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	89.834	151.2397
20.299999	90.070	149.7769
20.600000	90.294	148.3242
20.900000	90.507	146.9056
21.200001	90.712	145.5386
21.400000	90.847	144.6560
21.799999	91.115	142.9404
22.000000	91.249	142.0938
22.400000	91.517	140.3904
22.700001	91.714	139.0884
23.000000	91.903	137.7658
23.299999	92.085	136.4382
23.600000	92.258	135.1230
24.000000	92.479	133.4111
24.299999	92.641	132.1623
24.700001	92.856	130.5275
25.000000	93.017	129.3018
25.400000	93.230	127.6387
25.799999	93.435	125.9247
26.200001	93.626	124.1698
26.500000	93.755	122.8506
26.900000	93.910	121.1302
27.200001	94.014	119.9012
27.600000	94.144	118.3755
28.000000	94.271	116.9844
28.500000	94.440	115.3839
29.000000	94.624	113.8358
29.500000	94.817	112.2599
30.000000	95.012	110.6251
30.400000	95.164	109.2718
30.700001	95.275	108.2275
31.100000	95.416	106.7937
31.500000	95.545	105.3224
32.000000	95.685	103.4758
32.500000	95.805	101.6895
33.000000	95.913	100.0018
33.500000	96.020	98.3898
34.000000	96.129	96.8013
34.500000	96.235	95.1989
35.000000	96.336	93.5641
35.500000	96.428	91.8778
36.000000	96.500	90.1313
36.500000	96.544	88.3600
37.000000	96.550	86.6591
37.500000	96.524	85.1382
38.200001	96.454	83.4491
38.700001	96.399	82.5817
39.500000	96.336	81.7374
40.000000	96.330	81.4960
40.599998	96.373	81.3850
41.200001	96.479	81.2820
41.799999	96.635	80.9922
42.500000	96.843	80.2833
43.099998	97.015	79.4001
43.700001	97.170	78.3807
44.400002	97.330	77.1291
45.000000	97.455	76.0462
45.500000	97.553	75.1535
46.200001	97.688	73.9280
46.799999	97.805	72.8747
47.500000	97.944	71.5888
48.200001	98.077	70.2287
48.700001	98.167	69.2197
49.400002	98.286	67.7483
50.000000	98.377	66.4288
50.799999	98.475	64.6437
51.500000	98.546	63.1232
52.200001	98.609	61.6319
53.000000	98.671	59.9228
53.799999	98.714	58.2368
54.500000	98.739	56.8164
55.200001	98.754	55.4615
56.000000	98.760	54.0146
57.000000	98.761	52.3503
58.000000	98.755	50.8647
59.000000	98.766	49.5896
60.000000	98.806	48.2673
60.799999	98.833	47.1071
61.500000	98.847	46.1136
62.200001	98.860	45.1574
63.000000	98.876	44.0612
64.000000	98.886	42.7210
65.000000	98.896	41.4833
66.000000	98.914	40.2407
67.000000	98.923	38.9723
68.000000	98.925	37.7465
69.000000	98.925	36.5235
70.000000	98.915	35.2969
71.000000	98.896	34.0853
72.000000	98.865	32.8892
73.000000	98.818	31.7466
74.000000	98.756	30.7209
75.000000	98.688	29.8771
76.199997	98.623	29.0843
