* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (2- KM-HIFI-384KHZ), MICROPHONE (Master Volume), 0, volume: 1.000
* Format: 256k Log Swept Sine, 1 sweep at -24.5 dBFS with no timing reference
* Dated: Dec 16, 2023 5:53:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Focal Elex L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.000000 86.777 -114.2591
20.299999 86.849 -114.8696
20.600000 86.924 -115.4697
20.900000 87.000 -116.0776
21.200001 87.075 -116.7046
21.400000 87.122 -117.1307
21.799999 87.210 -117.9848
22.000000 87.250 -118.4022
22.400000 87.327 -119.1986
22.700001 87.383 -119.7612
23.000000 87.441 -120.3062
23.299999 87.501 -120.8522
23.600000 87.561 -121.4113
24.000000 87.636 -122.1810
24.299999 87.688 -122.7624
24.700001 87.748 -123.5113
25.000000 87.789 -124.0339
25.400000 87.845 -124.6735
25.799999 87.906 -125.2732
26.200001 87.971 -125.8741
26.500000 88.021 -126.3415
26.900000 88.084 -126.9845
27.200001 88.127 -127.4655
27.600000 88.178 -128.0789
28.000000 88.227 -128.6441
28.500000 88.291 -129.2989
29.000000 88.360 -129.9485
29.500000 88.428 -130.6262
30.000000 88.489 -131.3196
30.400000 88.532 -131.8637
30.700001 88.561 -132.2588
31.100000 88.599 -132.7669
31.500000 88.633 -133.2536
32.000000 88.675 -133.8251
32.500000 88.717 -134.3478
33.000000 88.766 -134.8428
33.500000 88.823 -135.3636
34.000000 88.881 -135.9547
34.500000 88.928 -136.5953
35.000000 88.962 -137.2138
35.500000 88.989 -137.7506
36.000000 89.021 -138.2183
36.500000 89.061 -138.6774
37.000000 89.101 -139.1689
37.500000 89.133 -139.6724
38.200001 89.167 -140.2995
38.700001 89.193 -140.6678
39.500000 89.253 -141.2402
40.000000 89.294 -141.6690
40.599998 89.332 -142.2545
41.200001 89.352 -142.8144
41.799999 89.366 -143.2622
42.500000 89.397 -143.6891
43.099998 89.437 -144.0923
43.700001 89.477 -144.5633
44.400002 89.514 -145.1397
45.000000 89.538 -145.6062
45.500000 89.553 -145.9457
46.200001 89.576 -146.3224
46.799999 89.604 -146.6041
47.500000 89.637 -146.9595
48.200001 89.657 -147.2216
48.700001 89.683 -147.2902
49.400002 89.761 -147.4388
50.000000 89.842 -147.9037
50.799999 89.887 -148.8962
51.500000 89.864 -149.6026
52.200001 89.845 -150.0397
53.000000 89.850 -150.5408
53.799999 89.851 -151.1232
54.500000 89.850 -151.5783
55.200001 89.856 -151.9928
56.000000 89.870 -152.4551
57.000000 89.895 -153.0236
58.000000 89.911 -153.6043
59.000000 89.913 -154.0071
60.000000 89.940 -154.3004
60.799999 89.966 -154.6461
61.500000 89.978 -154.9794
62.200001 89.985 -155.2787
63.000000 89.997 -155.6148
64.000000 90.010 -156.0692
65.000000 90.018 -156.4965
66.000000 90.027 -156.8721
67.000000 90.042 -157.2186
68.000000 90.057 -157.5608
69.000000 90.071 -157.8654
70.000000 90.095 -158.1514
71.000000 90.123 -158.5544
72.000000 90.133 -159.0179
73.000000 90.134 -159.4104
74.000000 90.140 -159.7867
75.000000 90.141 -160.1609
76.199997 90.140 -160.5508
77.500000 90.144 -160.9450
78.800003 90.148 -161.3456
80.000000 90.150 -161.6975
81.199997 90.156 -162.0374
82.500000 90.166 -162.4367
83.800003 90.169 -162.8348
85.000000 90.170 -163.1476
86.199997 90.173 -163.4248
87.500000 90.178 -163.7105
88.500000 90.184 -163.9379
90.000000 90.188 -164.3239
91.199997 90.182 -164.6140
92.500000 90.176 -164.8748
93.800003 90.172 -165.1148
95.000000 90.170 -165.3399
96.199997 90.168 -165.5680
97.500000 90.167 -165.8389
98.800003 90.159 -166.1494
100.000000 90.144 -166.3915
101.500000 90.135 -166.6033
103.000000 90.139 -166.8736
104.400002 90.137 -167.1826
106.000000 90.128 -167.5014
107.500000 90.121 -167.7800
109.000000 90.115 -168.0435
110.599998 90.110 -168.3067
112.000000 90.104 -168.5368
113.800003 90.092 -168.8005
115.000000 90.083 -168.9572
117.199997 90.068 -169.2474
118.000000 90.061 -169.3598
120.599998 90.042 -169.7177
122.000000 90.034 -169.9213
124.099998 90.023 -170.2251
125.000000 90.017 -170.3516
126.500000 90.004 -170.5563
128.000000 89.986 -170.7358
131.500000 89.947 -171.0924
132.000000 89.943 -171.1422
134.000000 89.924 -171.3389
136.000000 89.904 -171.5122
138.000000 89.882 -171.6457
140.000000 89.865 -171.7662
143.000000 89.840 -171.9996
145.000000 89.816 -172.1346
147.500000 89.783 -172.2769
150.000000 89.753 -172.4047
152.500000 89.740 -172.5154
155.000000 89.736 -172.6772
157.500000 89.711 -172.7725
160.000000 89.684 -172.7615
162.500000 89.670 -172.8143
165.000000 89.652 -172.9388
167.500000 89.636 -173.0445
170.000000 89.626 -173.1751
172.500000 89.616 -173.2840
175.000000 89.599 -173.3241
177.500000 89.571 -173.3314
180.000000 89.550 -173.4166
182.500000 89.539 -173.6076
185.000000 89.532 -173.7181
187.500000 89.521 -173.7700
190.000000 89.495 -173.8162
192.500000 89.472 -173.8367
195.000000 89.461 -173.8505
197.500000 89.452 -173.8939
200.000000 89.435 -173.9561
203.000000 89.417 -173.9523
206.000000 89.405 -173.8877
209.000000 89.386 -173.8030
212.000000 89.372 -173.7951
214.000000 89.362 -173.8483
218.000000 89.339 -173.9132
220.000000 89.330 -173.9329
224.000000 89.305 -173.9825
227.000000 89.283 -173.9264
230.000000 89.264 -173.8949
233.000000 89.250 -174.0363
236.000000 89.235 -174.2117
240.000000 89.201 -174.0650
243.000000 89.183 -173.8826
247.000000 89.175 -173.7773
250.000000 89.170 -173.6961
254.000000 89.153 -173.6159
258.000000 89.132 -173.6056
262.000000 89.116 -173.6049
265.000000 89.107 -173.5725
269.000000 89.097 -173.4655
272.000000 89.089 -173.3848
276.000000 89.081 -173.3319
280.000000 89.066 -173.3240
285.000000 89.028 -173.2875
290.000000 88.994 -173.1870
295.000000 88.982 -173.1128
300.000000 88.981 -172.9349
304.000000 88.986 -172.7603
307.000000 88.980 -172.6650
311.000000 88.963 -172.5627
315.000000 88.945 -172.4565
320.000000 88.922 -172.2969
325.000000 88.904 -172.1123
330.000000 88.889 -171.8393
335.000000 88.884 -171.5932
340.000000 88.880 -171.4281
345.000000 88.869 -171.2862
350.000000 88.857 -171.1415
355.000000 88.847 -170.9621
360.000000 88.834 -170.7808
365.000000 88.833 -170.6029
370.000000 88.843 -170.4253
375.000000 88.851 -170.2982
382.000000 88.837 -170.0672
387.000000 88.829 -169.8106
395.000000 88.818 -169.5222
400.000000 88.810 -169.3693
406.000000 88.808 -169.0791
412.000000 88.800 -168.8648
418.000000 88.795 -168.7386
425.000000 88.805 -168.5110
431.000000 88.793 -168.2714
437.000000 88.775 -168.0090
444.000000 88.778 -167.7449
450.000000 88.790 -167.4748
455.000000 88.800 -167.2433
462.000000 88.825 -166.9834
468.000000 88.852 -166.6913
475.000000 88.853 -166.3687
482.000000 88.832 -166.1852
487.000000 88.828 -166.0683
494.000000 88.843 -165.8705
500.000000 88.856 -165.6599
508.000000 88.867 -165.3136
515.000000 88.863 -165.0758
522.000000 88.861 -164.8739
530.000000 88.871 -164.5471
538.000000 88.893 -164.2038
545.000000 88.914 -163.8941
552.000000 88.935 -163.5198
560.000000 88.945 -163.1656
570.000000 88.952 -162.7934
580.000000 88.971 -162.3831
590.000000 88.995 -161.9883
600.000000 89.011 -161.5272
608.000000 89.035 -161.0964
615.000000 89.063 -160.7598
622.000000 89.090 -160.4631
630.000000 89.118 -160.1178
640.000000 89.157 -159.6703
650.000000 89.210 -159.2689
660.000000 89.263 -158.9578
670.000000 89.304 -158.6154
680.000000 89.349 -158.2046
690.000000 89.412 -157.8145
700.000000 89.451 -157.3541
710.000000 89.377 -156.9046
720.000000 89.328 -156.7131
730.000000 89.461 -156.5627
740.000000 89.580 -156.1456
750.000000 89.669 -155.7444
762.000000 89.744 -155.4911
775.000000 89.801 -155.1376
788.000000 89.882 -154.6638
800.000000 89.970 -154.3502
812.000000 90.043 -154.0580
825.000000 90.133 -153.6715
838.000000 90.226 -153.4087
850.000000 90.304 -153.2057
862.000000 90.387 -153.0168
875.000000 90.471 -152.8474
885.000000 90.526 -152.7352
900.000000 90.589 -152.4400
912.000000 90.657 -152.0379
925.000000 90.760 -151.6377
938.000000 90.871 -151.3317
950.000000 90.990 -151.1380
962.000000 91.122 -151.1161
975.000000 91.255 -151.1846
988.000000 91.369 -151.3259
1000.000000 91.452 -151.5895
1015.000000 91.499 -151.8943
1030.000000 91.533 -151.7854
1044.000000 91.602 -151.4223
1060.000000 91.738 -151.1022
1075.000000 91.903 -151.0585
1090.000000 92.070 -151.2773
1106.000000 92.223 -151.8046
1120.000000 92.312 -152.4339
1138.000000 92.362 -153.0289
1150.000000 92.395 -153.1334
1172.000000 92.531 -153.1838
1180.000000 92.597 -153.3549
1206.000000 92.731 -154.2245
1220.000000 92.784 -154.4612
1241.000000 92.912 -154.8901
1250.000000 92.956 -155.2115
1265.000000 92.988 -155.7994
1280.000000 92.992 -156.1497
1315.000000 93.158 -156.5469
1320.000000 93.187 -156.6765
1340.000000 93.307 -157.2799
1360.000000 93.413 -158.1645
1380.000000 93.480 -159.2676
1400.000000 93.499 -160.4349
1430.000000 93.412 -161.8922
1450.000000 93.339 -162.1486
1475.000000 93.348 -162.2889
1500.000000 93.402 -162.8945
1525.000000 93.412 -164.0168
1550.000000 93.297 -164.9178
1575.000000 93.215 -165.0507
1600.000000 93.194 -165.3782
1625.000000 93.153 -165.7994
1650.000000 93.119 -166.1853
1675.000000 93.067 -166.7419
1700.000000 92.997 -167.2904
1725.000000 92.862 -167.9911
1750.000000 92.672 -167.9012
1775.000000 92.554 -167.6405
1800.000000 92.417 -167.4101
1825.000000 92.279 -166.9087
1850.000000 92.143 -166.1377
1875.000000 92.033 -164.8099
1900.000000 92.065 -163.2785
1925.000000 92.184 -162.4300
1950.000000 92.283 -162.4493
1975.000000 92.221 -162.6606
2000.000000 92.092 -161.9611
2030.000000 92.052 -160.4944
2060.000000 92.115 -159.3601
2090.000000 92.137 -158.5679
2120.000000 92.131 -157.1005
2140.000000 92.191 -155.8913
2180.000000 92.410 -154.0284
2200.000000 92.523 -153.3075
2240.000000 92.710 -151.7508
2270.000000 92.945 -149.8883
2300.000000 93.371 -148.5803
2330.000000 93.810 -148.6250
2360.000000 94.140 -149.5640
2400.000000 94.365 -150.7864
2430.000000 94.501 -151.0335
2470.000000 94.757 -151.1362
2500.000000 94.958 -151.3836
2540.000000 95.244 -151.6425
2580.000000 95.568 -152.1322
2620.000000 95.919 -152.8319
2650.000000 96.198 -153.6606
2690.000000 96.538 -155.3588
2720.000000 96.735 -156.9208
2760.000000 96.930 -158.9279
2800.000000 97.098 -160.8425
2850.000000 97.264 -163.1058
2900.000000 97.452 -165.1700
2950.000000 97.657 -167.7951
3000.000000 97.746 -170.6419
3040.000000 97.798 -172.6790
3070.000000 97.833 -174.2515
3110.000000 97.853 -176.3026
3150.000000 97.881 -178.2883
3200.000000 97.906 178.8970
3250.000000 97.848 175.8261
3300.000000 97.688 173.1524
3350.000000 97.535 171.2428
3400.000000 97.497 169.4081
3450.000000 97.499 166.7707
3500.000000 97.422 163.4889
3550.000000 97.251 159.8870
3600.000000 96.961 156.1634
3650.000000 96.544 152.6929
3700.000000 96.032 149.6417
3750.000000 95.432 146.9605
3820.000000 94.383 144.3602
3870.000000 93.513 144.0652
3950.000000 92.114 147.1403
4000.000000 91.475 151.2072
4060.000000 91.135 156.3376
4120.000000 91.132 160.3700
4180.000000 91.246 162.7679
4250.000000 91.353 164.2596
4310.000000 91.384 164.8326
4370.000000 91.355 165.2288
4440.000000 91.269 165.7055
4500.000000 91.193 166.3014
4550.000000 91.149 166.7226
4620.000000 91.084 167.0340
4680.000000 90.988 167.0882
4750.000000 90.806 167.3128
4820.000000 90.597 168.0300
4870.000000 90.467 168.7949
4940.000000 90.330 169.9808
